,Regione Puglia,,,,,
,Suolo Comunale Zona 167 V.le Michelangelo,,,,,
Parm,SO2,NOX,NO,NO2,CO,PM10



01/01/2006 1.00,5,"50,681862","20,33212301","21,78607368","0,44852034","30,23768044"
01/01/2006 2.00,2,"44,19178832","14,04729289","23,07615744","0,73443697","30,23768044"
01/01/2006 3.00,4,"49,02302992","15,94819475","24,57520368","0,80953171","30,23768044"
01/01/2006 4.00,2,"40,50191512","12,30352799","22,57257488","0,6918236","30,23768044"
01/01/2006 5.00,1,"31,49832624","8,92751866","17,8055","0,4179321","30,23768044"
01/01/2006 6.00,1,"23,97586816","8,09534319","11,69641718","0,34678206","30,23768044"
01/01/2006 7.00,2,"21,64261632","7,85878354","9,68342342","0,32555343","30,23768044"
01/01/2006 8.00,2,"24,19505984","8,87175781","10,58933285","0,38819664","30,23768044"
01/01/2006 9.00,2,"29,5956568","10,78702137","13,34990904","0,38386517","30,23768044"
01/01/2006 10.00,2,"34,95864472","12,25959618","16,16628886","0,36553623","30,23768044"
01/01/2006 11.00,2,"31,48794408","12,60091006","12,72952814","0,39194794","30,23768044"
01/01/2006 12.00,2,"29,46724688","11,43418194","12,106545","0,4209879","30,23768044"
01/01/2006 13.00,"2,04563855","35,42425496","12,212285","16,68803351","0,43742139","30,23768044"
01/01/2006 14.00,"1,97824806","36,18685616","13,28693464","15,85999411","0,42160535","30,23768044"
01/01/2006 15.00,"1,67716318","19,43645512","8,96300204","5,70025516","0,32392942","30,23768044"
01/01/2006 16.00,"1,57064158","22,992756","9,70139938","8,11689123","0,31518959","30,23768044"
01/01/2006 17.00,"1,75868386","30,06516752","11,23225523","13,1110945","0,39666503","30,23768044"
01/01/2006 18.00,"1,75940898","24,73588816","9,95738977","9,45629694","0,3450031","30,23768044"
01/01/2006 19.00,"1,65868429","22,90845592","9,59917281","8,18048818","0,36027742","30,23768044"
01/01/2006 20.00,"1,56013495","24,82408872","10,01399484","9,45759519","0,34399771","30,23768044"
01/01/2006 21.00,"1,6978154","28,23643512","10,15591965","12,65424696","0,37280583","30,23768044"
01/01/2006 22.00,"1,59998915","23,70868528","9,64310587","8,91118957","0,3504553","30,23768044"
01/01/2006 23.00,"1,67752523","24,354578","9,89824955","9,16557352","0,36070264","30,23768044"
02/01/2006 0.00,"1,79564063","23,20156552","9,52736058","8,58153018","0,33951246","30,23768044"
02/01/2006 1.00,,"29,12484592","12,04754134","11,31873408","0,34968291","11,22004986"
02/01/2006 2.00,1,,,,"0,26940625","11,22004986"
02/01/2006 3.00,1,"18,04221516","8,43581534","5,10063858",,"11,22004986"
02/01/2006 4.00,1,"20,33654824","9,28995796","6,30506282","0,16913587","11,22004986"
02/01/2006 5.00,"0,6557016","26,27539232","9,52060308","11,81582349","0,14948115","11,22004986"
02/01/2006 6.00,1,"22,81767416","7,98635663","10,5646757","0,18449406","11,22004986"
02/01/2006 7.00,1,"17,33536214","7,18712939","6,3154469","0,20437246","11,22004986"
02/01/2006 8.00,1,"37,16608696","11,14101349","20,12089376","0,21145799","11,22004986"
02/01/2006 9.00,1,"42,43829312","13,12557284","22,53752792","0,31261028","11,22004986"
02/01/2006 10.00,1,"31,88611808","11,98332832","13,9832686","0,29109506","11,22004986"
02/01/2006 11.00,1,"42,52257408","15,31118974","19,94309688","0,27017282","11,22004986"
02/01/2006 12.00,1,"40,158214","13,94506383","19,11764824","0,2960265","11,22004986"
02/01/2006 13.00,1,"42,16720976","16,21602541","18,8373108","0,33823329","11,22004986"
02/01/2006 14.00,1,"37,45403416","11,61582745","20,58552888","0,30586959","11,22004986"
