,Provincia di TARANTO,,,,
,STATTE sc.elementare,,,,
Parm,SO2,NOX,NO,NO2,PM10



01/01/2006 1.00,"3,21637","111,266123","30,089024","65,176541","43,664211"
01/01/2006 2.00,"2,829379","81,412385","15,538093","57,6281","43,664211"
01/01/2006 3.00,"2,086748","86,387564","19,19739","56,992148","43,664211"
01/01/2006 4.00,"2,092383","51,677935","13,704193","30,686872","43,664211"
01/01/2006 5.00,"1,626055","56,13951","14,632148","33,727794","43,664211"
01/01/2006 6.00,"1,845057","61,022625","14,777623","38,391048","43,664211"
01/01/2006 7.00,"1,64477","41,603055","14,460424","19,444695","43,664211"
01/01/2006 8.00,"1,683444","41,57841","14,946817","18,67378","43,664211"
01/01/2006 9.00,"1,620271","45,881766","15,458573","22,194896","43,664211"
01/01/2006 10.00,"1,598086","47,964698","14,694735","25,451262","43,664211"
01/01/2006 11.00,"1,46462","63,228809","15,560926","39,396893","43,664211"
01/01/2006 12.00,"1,433894","41,37606","11,814495","23,277318","43,664211"
01/01/2006 13.00,"1,188614","35,279001","10,634483","18,986563","43,664211"
01/01/2006 14.00,"1,370839","28,08986","10,26399","12,36093","43,664211"
01/01/2006 15.00,"1,455189","25,191134","10,513522","9,077317","43,664211"
01/01/2006 16.00,"1,406786","31,037896","10,613334","14,774974","43,664211"
01/01/2006 17.00,"1,308525","43,32412","10,918703","26,601178","43,664211"
01/01/2006 18.00,"1,175801","37,284094","10,324886","21,468088","43,664211"
01/01/2006 19.00,"1,188881","38,402098","10,439089","22,411641","43,664211"
01/01/2006 20.00,,"48,955572","13,530798","28,364979","43,664211"
01/01/2006 21.00,"1,311076","44,027087","11,331496","26,671252","43,664211"
01/01/2006 22.00,"1,365203","49,292811","11,836488","31,165791","43,664211"
01/01/2006 23.00,"1,260003","43,881833","11,411011","26,403898","43,664211"
02/01/2006 0.00,"0,967269","49,190349","11,951534","30,886752","43,664211"
02/01/2006 1.00,,"47,836307","12,091102","29,317633","27,38434"
02/01/2006 2.00,"1,494428",,,,"27,38434"
02/01/2006 3.00,"1,248614","68,619022","14,082308","47,059538","27,38434"
02/01/2006 4.00,"1,215277","64,114636","14,204976","42,363839","27,38434"
02/01/2006 5.00,"1,424669","27,211812","12,602855","7,893657","27,38434"
02/01/2006 6.00,"1,386647","26,809757","12,618928","7,466658","27,38434"
02/01/2006 7.00,"1,155129","30,648806","12,930217","10,830742","27,38434"
02/01/2006 8.00,"1,273172","32,436029","13,109548","12,344057","27,38434"
02/01/2006 9.00,"1,199559","34,655152","12,695058","15,200675","27,38434"
02/01/2006 10.00,"1,195406","29,009417","11,048972","12,0767","27,38434"
02/01/2006 11.00,"0,913645","27,357086","9,479852","12,830759","27,38434"
02/01/2006 12.00,"1,037649","18,44298","6,141138","9,03319","27,38434"
02/01/2006 13.00,"0,987051","15,803636","5,656445","7,1357","27,38434"
02/01/2006 14.00,"1,121822","16,872343","6,064163","7,579573","27,38434"
02/01/2006 15.00,"1,106132","23,632165","7,396435","12,299932","27,38434"
02/01/2006 16.00,"1,221832","31,68767","8,040999","19,37202","27,38434"
02/01/2006 17.00,"1,163137","52,186357","8,530768","39,133419","27,38434"
02/01/2006 18.00,"1,18114","83,296873","10,435705","67,342668","27,38434"
02/01/2006 19.00,"1,506202","41,910426","9,282763","27,69658","27,38434"
02/01/2006 20.00,"0,859992","32,157162","8,148426","19,677023","27,38434"
02/01/2006 21.00,"1,212578","78,980534","12,980958","59,118065","27,38434"
02/01/2006 22.00,"1,595921","92,816662","19,419855","63,084357","27,38434"
02/01/2006 23.00,"1,282633","65,851288","9,138961","51,874643","27,38434"
03/01/2006 0.00,"1,394952","62,514158","9,574593","47,866805","27,38434"
03/01/2006 1.00,"1,19499","46,811687","9,141499","32,817967","19,36548"
03/01/2006 2.00,"1,220705","44,11917","10,481377","28,067777","19,36548"
03/01/2006 3.00,"1,433538","50,445825","11,675769","32,566196","19,36548"
03/01/2006 4.00,"1,253745","35,954718","12,312727","17,087776","19,36548"
03/01/2006 5.00,"1,363869","28,891391","12,706892","9,414764","19,36548"
03/01/2006 6.00,"1,020299","30,197457","13,074857","10,157146","19,36548"
03/01/2006 7.00,"1,288239","47,07887","14,14068","25,414916","19,36548"
03/01/2006 8.00,"1,051916","68,816149","15,102454","45,691579","19,36548"
03/01/2006 9.00,"1,44638","92,855589","19,495984","63,006475","19,36548"
03/01/2006 10.00,"1,141901","41,730144","11,378865","24,300048","19,36548"
03/01/2006 11.00,"1,307517","57,079833","13,787093","35,965312","19,36548"
03/01/2006 12.00,"1,469841","40,596597","10,982984","23,7731","19,36548"
03/01/2006 13.00,"1,418144","29,207864","8,796376","15,731503","19,36548"
03/01/2006 14.00,"1,734102","38,949428","9,107663","25,002191","19,36548"
03/01/2006 15.00,"1,506766","32,751201","8,612818","19,558918","19,36548"
03/01/2006 16.00,"1,447418","45,662554","9,828358","30,614197","19,36548"
03/01/2006 17.00,"1,35076","43,243722","9,349587","28,928253","19,36548"
03/01/2006 18.00,"1,308555","63,57251","10,077894","48,153641","19,36548"
03/01/2006 19.00,"1,373063","62,628304","9,92056","47,4502","19,36548"
03/01/2006 20.00,"1,495822","47,851871","9,533144","33,257956","19,36548"
03/01/2006 21.00,"1,241526","41,765172","9,201557","27,675797","19,36548"
03/01/2006 22.00,"1,369178","46,330511","9,315752","32,069116","19,36548"
03/01/2006 23.00,"1,4551","33,41914","9,332669","19,122829","19,36548"
04/01/2006 0.00,"1,388486","29,791503","9,748845","14,85414","19,36548"
04/01/2006 1.00,,"30,908188","9,89603","15,745784","22,50087"
04/01/2006 2.00,"0,670072",,,,"22,50087"
04/01/2006 3.00,"0,693971","30,838151","12,467521","11,730166","22,50087"
04/01/2006 4.00,"1,064051","34,953443","13,371768","14,460888","22,50087"
04/01/2006 5.00,"0,770161","36,310064","13,558718","15,531626","22,50087"
04/01/2006 6.00,"0,76334","36,393102","13,713508","15,377188","22,50087"
04/01/2006 7.00,"0,871193","42,675648","13,535861","21,936624","22,50087"
04/01/2006 8.00,"0,841471","60,715272","13,701662","39,734343","22,50087"
04/01/2006 9.00,"0,73994","56,121386","12,772871","36,562353","22,50087"
04/01/2006 10.00,"0,914944","40,277542","10,682696","23,914568","22,50087"
04/01/2006 11.00,"0,710385","42,818321","11,597107","25,058002","22,50087"
04/01/2006 12.00,"0,809032","73,674636","16,153887","48,940143","22,50087"
04/01/2006 13.00,"0,860213","64,32991","13,544328","43,592912","22,50087"
04/01/2006 14.00,"0,771159","44,724872","10,830732","28,137851","22,50087"
04/01/2006 15.00,"0,638187","36,457958","8,998545","22,676415","22,50087"
04/01/2006 16.00,"0,824891","37,505906","8,22794","24,907451","22,50087"
04/01/2006 17.00,"0,630923","47,407007","8,755774","34,005531","22,50087"
04/01/2006 18.00,"0,599538","68,66053","10,437392","52,69359","22,50087"
04/01/2006 19.00,"0,686762","57,157671","9,392727","42,785645","22,50087"
