NetC,SIMAGE Brindisi,,
Stat,Quartiere Bozzano,,
Parm,SO2,NO2,PM10
PtId,1,4,5
Unit,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver
01/01/2006 1.00,"0,160645","7,079893",
01/01/2006 2.00,"0,098344","4,743723","32,234421"
01/01/2006 3.00,"0,158291","3,107105",
01/01/2006 4.00,"0,151656","6,663276","31,25762"
01/01/2006 5.00,"0,147034","8,471212",
01/01/2006 6.00,"0,105376","8,244083","28,81562"
01/01/2006 7.00,"0,128743","7,083786",
01/01/2006 8.00,"0,451649","5,706744","26,86202"
01/01/2006 9.00,"0,97008","6,27002",
01/01/2006 10.00,"0,234941","7,275871","2,930403"
01/01/2006 11.00,"0,224534","7,027976",
01/01/2006 12.00,"0,23962","6,351786","5,372406"
01/01/2006 13.00,"0,099619","4,007829",
01/01/2006 14.00,"0,770103","3,99485","30,28083"
01/01/2006 15.00,"0,476461","5,952042",
01/01/2006 16.00,"0,268516","5,909212","24,908421"
01/01/2006 17.00,"0,49963","7,461467",
01/01/2006 18.00,"0,731225","7,464062","26,86202"
01/01/2006 19.00,"0,74841","8,501064",
01/01/2006 20.00,"0,734599","7,819678","25,88522"
01/01/2006 21.00,"0,776314","7,258999",
01/01/2006 22.00,"1,159253","7,46536","27,35042"
01/01/2006 23.00,"0,9145","5,349829",
02/01/2006 0.00,"0,745915","4,694403","26,37361"
02/01/2006 1.00,,"3,547085",
02/01/2006 2.00,"0,138915",,"29,30402"
02/01/2006 3.00,"0,063327","3,798872",
02/01/2006 4.00,"0,113311","3,247276","3,907204"
02/01/2006 5.00,"0,070894","3,096723",
02/01/2006 6.00,"0,127962","4,061042","24,908421"
02/01/2006 7.00,"0,119684","1,979254",
02/01/2006 8.00,"0,039031","6,628233","1,953602"
02/01/2006 9.00,"0,08802","6,369956",
02/01/2006 10.00,"0,094991","4,669744","4,395605"
02/01/2006 11.00,"0,115217","2,007808",
02/01/2006 12.00,"0,110125","1,914361","3,418803"
02/01/2006 13.00,"0,128076","1,989639",
02/01/2006 14.00,"0,135416","3,853383","4,395605"
02/01/2006 15.00,"0,128047","7,164254",
02/01/2006 16.00,"0,054963","2,180426","3,907204"
02/01/2006 17.00,"0,068504","18,881437",
02/01/2006 18.00,"0,251572","54,963573","2,930403"
02/01/2006 19.00,"0,948313","55,141389",
02/01/2006 20.00,"0,06219","25,893833","30,28083"
02/01/2006 21.00,"0,080851","18,996947",
02/01/2006 22.00,"0,089415","7,075998","26,37361"
02/01/2006 23.00,"0,131832","8,497169",
03/01/2006 0.00,"0,09061","9,561424","30,76923"
03/01/2006 1.00,"0,086825","4,018213",
03/01/2006 2.00,"0,061933","8,585425","33,211231"
03/01/2006 3.00,"0,034253","7,170744",
03/01/2006 4.00,"0,045404","6,279105","4,395605"
03/01/2006 5.00,"0,030468","3,62236",
03/01/2006 6.00,"0,057153","2,826766","0,4884"
03/01/2006 7.00,"1,448443","37,171038",
03/01/2006 8.00,"4,581397","38,218431","4,395605"
03/01/2006 9.00,"2,458688","56,105708",
03/01/2006 10.00,"0,47646","58,580752","34,18803"
03/01/2006 11.00,,"11,165589",
03/01/2006 12.00,"0,122586","1,582107","31,746031"
03/01/2006 13.00,"0,074792","1,00585",
03/01/2006 14.00,"0,098375","1,813127","28,327221"
03/01/2006 15.00,"0,081051","7,108447",
03/01/2006 16.00,"0,135729","4,750211","94,74968"
03/01/2006 17.00,"0,141504","32,649253",
03/01/2006 18.00,"0,139114","40,583155","67,399261"
03/01/2006 19.00,"0,140906","21,247444",
03/01/2006 20.00,"0,122984","15,750971","36,630032"
03/01/2006 21.00,"0,103553","24,388305",
03/01/2006 22.00,"0,131832","24,908751","36,630032"
03/01/2006 23.00,"0,087821","4,133723",
04/01/2006 0.00,"0,072288","12,358337","28,81562"
04/01/2006 1.00,,"3,740466",
04/01/2006 2.00,"0,083805",,"26,86202"
04/01/2006 3.00,"0,010002","4,006531",
04/01/2006 4.00,"0,040917","8,171402","4,395605"
04/01/2006 5.00,"0,062437","7,304425",
04/01/2006 6.00,"0,016064","3,484786","1,465201"
04/01/2006 7.00,"0,054101","6,416679",
04/01/2006 8.00,"2,817693","65,446473","0,4884"
04/01/2006 9.00,"7,046885","64,066855",
04/01/2006 10.00,"2,542334","58,082352","28,81562"
04/01/2006 11.00,"0,435088","47,909652",
04/01/2006 12.00,"0,126995","49,133524","29,79241"
04/01/2006 13.00,"0,127904","4,25702",
04/01/2006 14.00,"0,107143","4,260915","23,93162"
04/01/2006 15.00,"0,682108","1,461403",
04/01/2006 16.00,"0,116538","1,631425","4,395605"
04/01/2006 17.00,"0,108658","22,127404",
04/01/2006 18.00,"1,294202","70,744399","31,25762"
