,Regione Puglia,,,,,,
,Bari Via Caldarola,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE



03/01/2006 10.00,"0,49079708","58,5690532","134,5611108","1,21804012","9,10608174","21,68511009","4,4651385"
03/01/2006 11.00,,,,,,"21,68511009","4,463613"
03/01/2006 12.00,"0,45229956","48,34054152","67,12490904","0,79041406","40,9040436","21,68511009","3,2427045"
03/01/2006 13.00,"0,24208566","38,81415448","45,55879184","0,64905878","47,73135255","21,68511009","2,6721675"
03/01/2006 14.00,"0,29866849","33,72909488","35,33737368","0,53203686","50,91385635","21,68511009","2,0629845"
03/01/2006 15.00,"0,32869033","34,45718448","37,86127104","0,47741351","52,8200589","21,68511009","1,775682"
03/01/2006 16.00,"0,3581752","45,39696016","58,31844736","0,53586622","41,6551611","21,68511009","2,165193"
03/01/2006 17.00,"0,27151052","47,36194168","53,85295224","0,56600127","39,3913548","21,68511009","2,0863755"
03/01/2006 18.00,"0,33537507","58,13686472","100,32743912","0,74395269","18,98122002","21,68511009","1,9806075"
03/01/2006 19.00,"0,61601826","69,38164264","150,7240116","1,20635634","5,42534465","21,68511009","4,6003995"
03/01/2006 20.00,"0,65714167","68,92218904","165,99848248","1,35250792","1,83438255","21,68511009","5,3428095"
03/01/2006 21.00,"0,78486975","65,59184832","165,47191768","1,36620249","1,7520888","21,68511009","5,2136505"
03/01/2006 22.00,"0,60748258","60,9208132","130,30052472","1,1899543","1,51867779","21,68511009","4,44429"
03/01/2006 23.00,"0,45319452","57,60735544","104,16648656","1,01014587","2,82339383","21,68511009","3,576789"
04/01/2006 0.00,"0,4722948","51,06345896","78,72763248","0,82503669","14,43117963","21,68511009","2,9670975"
04/01/2006 1.00,,"44,06144728","57,69590016","0,6445712","34,3849422","32,13959122","2,415375"
04/01/2006 2.00,"0,48062505",,,"0,5147436","35,68817595","32,13959122","1,9989135"
04/01/2006 3.00,"0,36863301","30,31957824","28,85508184",,"44,9229312","32,13959122","1,562112"
04/01/2006 4.00,"0,4099405","25,83802232","22,93828312","0,38561733","37,9280223","32,13959122","1,3012515"
04/01/2006 5.00,"0,27215022","27,03466664","24,30010512","0,36854309",,"32,13959122","2,797767"
04/01/2006 6.00,"0,35491368","29,8250968","28,22215248","0,37001565","33,05038695","32,13959122","2,521143"
04/01/2006 7.00,"0,51939716","45,29443872","52,74406872","0,44160141","9,93111998","32,13959122","2,442834"
04/01/2006 8.00,"0,73159929","56,0343148","87,38233872","0,67111456","4,56702782","32,13959122","2,0426445"
04/01/2006 9.00,"0,77320476","61,2206148","124,31242752","1,04356972","6,56491658","32,13959122","3,5823825"
04/01/2006 10.00,"0,86088948","61,00387048","129,84271544","1,1754384","9,05928702","32,13959122","4,0613895"
04/01/2006 11.00,"0,76187233","62,46138808","136,1538068","1,16328046","15,53895924","32,13959122","4,491072"
04/01/2006 12.00,"0,87013503","63,45165112","135,24851304","1,16366841","20,2450605","32,13959122","4,760577"
04/01/2006 13.00,"0,67970483","58,67549424","112,367284","1,04082032","35,55969795","32,13959122","4,359879"
04/01/2006 14.00,"0,77201182","60,8442376","115,86779272","1,02769543","31,5699174","32,13959122","3,686625"
04/01/2006 15.00,"0,77633712","54,38213648","87,06718376","0,92567638","43,59464025","32,13959122","4,0074885"
04/01/2006 16.00,"0,53982665","54,72476688","82,64969896","0,80565575","37,79836725","32,13959122","3,491361"
04/01/2006 17.00,"0,77141586","62,72484256","103,85521296","0,92335337","19,32388521","32,13959122",
04/01/2006 18.00,"0,83524074","71,96441048","166,60674704","1,22518973","4,18868604","32,13959122",
04/01/2006 19.00,"1,4919807","75,2363396","249,4664792","1,52683036","2,83831643","32,13959122",
04/01/2006 20.00,"1,94546507","77,60754464","321,539128","2,00753732","1,89769388","32,13959122",
04/01/2006 21.00,"1,60546366","73,81126864","293,9216264","2,08229887","2,62596663","32,13959122",
04/01/2006 22.00,"1,88253514","70,75350264","311,080488","2,58383486","1,39523118","32,13959122","8,1558315"
04/01/2006 23.00,"1,01210111","58,89353872","169,8880832","1,69544198","7,95117624","32,13959122","5,524344"
05/01/2006 0.00,"0,79363527","50,3431512","105,141836","1,15271158","16,49005554","32,13959122","3,921552"
05/01/2006 1.00,"0,63228314","45,02058296","76,44497216","0,87162854","22,8171741","28,36059952","3,033711"
05/01/2006 2.00,"0,48360689","39,88359344","54,61041016","0,64997564","33,17299965","28,36059952","2,483514"
05/01/2006 3.00,"0,4694411","31,77969616","34,66161552","0,49038578","42,78710415","28,36059952","2,024847"
05/01/2006 4.00,"0,46586126","27,18651768","25,28709864","0,39762033","43,1011371","28,36059952","1,8250065"
05/01/2006 5.00,"0,4427479","25,30329328","22,45062752","0,37864947","38,7300123","28,36059952","2,862855"
05/01/2006 6.00,"0,3319488","29,21509232","28,15341608","0,39885989","26,22824505","28,36059952","3,114054"
05/01/2006 7.00,"0,63064272","35,52922376","40,86117992","0,4770675","13,41695355","28,36059952","4,3756425"
05/01/2006 8.00,"0,5553359","45,28663776","68,5204396","0,66011929","3,41405547","28,36059952","2,5897905"
05/01/2006 9.00,"0,69745046","48,76104768","95,43914344","0,87979752","6,2553644","28,36059952","3,744594"
05/01/2006 10.00,"0,63496802","50,40934464","117,6589352","1,03547763","10,57714287","28,36059952","4,7885445"
05/01/2006 11.00,"0,84359133","49,1672712","109,83948616","1,06811627","17,15102498","28,36059952","5,056524"
05/01/2006 12.00,"0,83717915","48,22631864","103,26381224","1,04701579","21,93189285","28,36059952","5,187717"
05/01/2006 13.00,"0,9734785","47,89795176","97,35219504","1,04449823","25,17396735","28,36059952","5,0387265"
05/01/2006 14.00,"0,83568822","49,06993128","99,88519352","1,08151144","21,9707754","28,36059952","4,996521"
05/01/2006 15.00,"0,67150273","48,51055656","91,6429248","1,01232442","28,06464255","28,36059952","4,94262102"
05/01/2006 16.00,"0,69745046","46,46769928","73,31149096","0,88730827","29,7051111","28,36059952","4,146309"
05/01/2006 17.00,"0,61841533","48,07964912","76,21667936","0,88068758","21,2813832","28,36059952","3,9139245"
05/01/2006 18.00,"0,7785735","56,04729728","104,25470624","1,01685511","12,73952337","28,36059952","4,2485175"
05/01/2006 19.00,"0,74874896","55,97202184","117,3087524","1,20888905","8,34746304","28,36059952","5,1048315"
05/01/2006 20.00,"0,97288152","51,71499208","118,5331016","1,250045","4,51917575","28,36059952","5,3804385"
05/01/2006 21.00,"1,04878532","48,46772776","110,81869784","1,18426561","3,37667117","28,36059952","5,185683"
05/01/2006 22.00,"0,60201112","45,11532256","94,34712376","1,05456499","6,53650379","28,36059952","4,8221055"
05/01/2006 23.00,"0,60916978","41,38263968","69,85503472","0,87333293","9,05779077","28,36059952","4,165632"
06/01/2006 0.00,"0,69014332","39,60065568","58,898204","0,76600964","8,39980386","28,36059952","3,875787"
06/01/2006 1.00,,"37,8342736","53,36271544","0,71227052","13,60836582","27,67521095","3,6912015"
06/01/2006 2.00,"0,97843638",,,"0,64610434","14,48917229","27,67521095","3,4491555"
06/01/2006 3.00,"1,17774092","33,84199848","40,4539048",,"15,48362792","27,67521095","4,2597045"
06/01/2006 4.00,"1,01010881","29,93670024","32,37507384","0,58084803","16,37340989","27,67521095","4,91261952"
06/01/2006 5.00,"1,23151886","28,2390928","27,9225612","0,5464817",,"27,67521095","2,886246"
06/01/2006 6.00,"1,26784","27,6420708","27,01338608","0,53237937","16,0085982","27,67521095","2,733696"
06/01/2006 7.00,"0,95429178","28,76732104","30,3349316","0,54706303","13,75065321","27,67521095","2,7311535"
06/01/2006 8.00,"0,94970308","30,7829132","35,03906344","0,58169965","11,31063455","27,67521095","2,8013265"
06/01/2006 9.00,"1,2940247","31,27739464","38,89883696","0,63524421","17,19651696","27,67521095","3,248298"
06/01/2006 10.00,"1,37881504","32,76867816","43,68985008","0,69521958","21,0423423","27,67521095","3,862566"
06/01/2006 11.00,"1,45430797","35,08795328","49,53921256","0,76650826","28,10869215","27,67521095","4,188006"
06/01/2006 12.00,"1,7704953","38,36120168","52,44055784","0,82466273","35,3168067","27,67521095","4,597857"
06/01/2006 13.00,"1,29555427","40,78561768","53,97099912","0,83396176","36,54949725","27,67521095","4,3563195"
06/01/2006 14.00,"1,3756359","41,49944376","55,67260264","0,79246679","35,3272605","27,67521095","4,038507"
06/01/2006 15.00,"1,3513418","34,84526312","39,14269344","0,67410512","45,1425408","27,67521095","3,466953"
06/01/2006 16.00,"1,1928871","31,1592904","32,19219104","0,59429213","44,64409005","27,67521095","4,0003695"
06/01/2006 17.00,"1,13035177","36,51950592","40,1167236","0,60355272","37,7553351","27,67521095","3,9820635"
06/01/2006 18.00,"1,29840288","47,95116272","66,11845136","0,70606806","18,45159939","27,67521095","4,324284"
06/01/2006 19.00,"1,12939172","52,1614632","83,83123848","0,9029251","9,1034264","27,67521095","3,6749295"
06/01/2006 20.00,"1,62772782","55,36591784","94,82309704","1,03872216","3,25022208","27,67521095","4,4254755"
06/01/2006 21.00,"1,48055165","52,89087208","85,6171612","0,99370306","9,39891582","27,67521095","4,2302115"
06/01/2006 22.00,"1,48469084","50,70266456","76,36975408","0,93942222","9,75857642","27,67521095","3,856464"
06/01/2006 23.00,"1,34006429","49,79025816","74,30106568","0,89052717","8,54976003","27,67521095","3,5600085"
07/01/2006 0.00,"1,46939414","46,0601756","62,11470424","0,7787128","16,51450626","27,67521095","3,3525405"
07/01/2006 1.00,"1,67871614","41,77199936","51,09041816","0,69661525","25,0418784","41,75471115","2,961504"
07/01/2006 2.00,"1,47284381","40,87775696","47,54968096","0,65368616","21,78254715","41,75471115","2,777427"
07/01/2006 3.00,"1,42524414","37,3501552","39,90269432","0,59712075","31,25309145","41,75471115","2,680812"
07/01/2006 4.00,"1,47827255","34,15218224","32,5825832","0,54295641","33,60655305","41,75471115","3,637809"
07/01/2006 5.00,"1,4483992","31,5084216","29,3622016","0,51099347","35,4720177","41,75471115","2,5043625"
07/01/2006 6.00,"1,55526454","30,93866472","28,9043732","0,4908844","36,0615003","41,75471115","2,387916"
07/01/2006 7.00,"1,32209797","33,8510996","33,4865768","0,53113981","29,06529465","41,75471115","3,436443"
07/01/2006 8.00,"1,2434259","37,02438864","39,23993776","0,55748512","25,6167576","41,75471115","2,5602975"
07/01/2006 9.00,"1,3800751","44,49363576","54,77641","0,66891271","22,0332588","41,75471115","2,841498"
07/01/2006 10.00,"2,25596432","46,384642","63,79946304","0,78630743","31,1978898","41,75471115","4,1803785"
07/01/2006 11.00,"2,30479354","49,1218612","70,12611808","0,87406222","40,86990915","41,75471115","4,3898805"
07/01/2006 12.00,"2,37620728","49,77857584","64,97972152","0,90370099","50,1375021","41,75471115","4,4681895"
07/01/2006 13.00,"2,4958197","54,04078712","76,33990776","0,97979413","44,98882605","41,75471115","4,389372"
07/01/2006 14.00,"2,30914223","58,20045784","89,11252664","1,05794","41,7623325","41,75471115","4,764645"
07/01/2006 15.00,"2,15068855","54,10828072","69,6825532","0,92838035","55,07869815","41,75471115","4,53124452"
07/01/2006 16.00,"1,96883979","44,42096064","49,9840776","0,82698807","51,13139115","41,75471115","3,6718785"
07/01/2006 17.00,"2,07819475","53,74486688","70,68381024","0,87309294","32,9708064","41,75471115","3,532041"
07/01/2006 18.00,"1,69263378","68,48091856","109,64232072","1,05937295","15,46537965","41,75471115","4,411746"
