,ILVA 1 ARIA,ILVA 1 ARIA
Stazione,TAMBURI-VIA ORSINI,TAMBURI-VIA ORSINI
,IPA 2,IPA
Unit,ng/m3,ng/m3
01/09/2013 01.00.00,,
01/09/2013 02.00.00,,
01/09/2013 03.00.00,,
01/09/2013 04.00.00,,
01/09/2013 05.00.00,,
01/09/2013 06.00.00,,
01/09/2013 07.00.00,,
01/09/2013 08.00.00,,
01/09/2013 09.00.00,,
01/09/2013 10.00.00,,
01/09/2013 11.00.00,,
01/09/2013 12.00.00,,
01/09/2013 13.00.00,,
01/09/2013 14.00.00,,
01/09/2013 15.00.00,,
01/09/2013 16.00.00,,
01/09/2013 17.00.00,,
01/09/2013 18.00.00,,
01/09/2013 19.00.00,,
01/09/2013 20.00.00,,
01/09/2013 21.00.00,,
01/09/2013 22.00.00,,
01/09/2013 23.00.00,,
02/09/2013 00.00.00,,
02/09/2013 01.00.00,,
02/09/2013 02.00.00,,
02/09/2013 03.00.00,,
02/09/2013 04.00.00,,
02/09/2013 05.00.00,,
02/09/2013 06.00.00,,
02/09/2013 07.00.00,,
02/09/2013 08.00.00,,
02/09/2013 09.00.00,,
02/09/2013 10.00.00,,
02/09/2013 11.00.00,,
02/09/2013 12.00.00,,
02/09/2013 13.00.00,,
02/09/2013 14.00.00,,
02/09/2013 15.00.00,,
02/09/2013 16.00.00,,
02/09/2013 17.00.00,,7
02/09/2013 18.00.00,,13
02/09/2013 19.00.00,,19
02/09/2013 20.00.00,,16
02/09/2013 21.00.00,,23
02/09/2013 22.00.00,,20
02/09/2013 23.00.00,,20
03/09/2013 00.00.00,,5
03/09/2013 01.00.00,,3
03/09/2013 02.00.00,,3
03/09/2013 03.00.00,,2
03/09/2013 04.00.00,,2
03/09/2013 05.00.00,,19
03/09/2013 06.00.00,,15
03/09/2013 07.00.00,,27
03/09/2013 08.00.00,,15
03/09/2013 09.00.00,,31
03/09/2013 10.00.00,,32
03/09/2013 11.00.00,,23
03/09/2013 12.00.00,,14
03/09/2013 13.00.00,,15
03/09/2013 14.00.00,,6
03/09/2013 15.00.00,,18
03/09/2013 16.00.00,,20
03/09/2013 17.00.00,,15
03/09/2013 18.00.00,,21
03/09/2013 19.00.00,,24
03/09/2013 20.00.00,,19
03/09/2013 21.00.00,,14
03/09/2013 22.00.00,,17
03/09/2013 23.00.00,,10
04/09/2013 00.00.00,,5
04/09/2013 01.00.00,,5
04/09/2013 02.00.00,,5
04/09/2013 03.00.00,,5
04/09/2013 04.00.00,,8
04/09/2013 05.00.00,,18
04/09/2013 06.00.00,,31
04/09/2013 07.00.00,,33
04/09/2013 08.00.00,,28
04/09/2013 09.00.00,,27
04/09/2013 10.00.00,,18
04/09/2013 11.00.00,,22
