"NetC","SIMAGE Brindisi","","",""
"2013-10-28 11:00:00","3.54109535","19.95711184","12.09183216",""
"2013-10-28 12:00:00","3.35149808","15.06721964","9.20990515","48.59584045"
"2013-10-28 13:00:00","3.67607973","11.77943813","7.45812119",""
"2013-10-28 14:00:00","3.63263044","13.2682915","8.61520814","25.88521957"
"2013-10-28 15:00:00","2.20695102","14.07614974","9.2941689",""
"2013-10-28 16:00:00","1.63270706","13.41597629","8.09600072","13.18680954"
"2013-10-28 17:00:00","1.01427342","18.24952758","9.97443174",""
"2013-10-28 18:00:00","1.5571348","31.47347024","13.41202036","14.16361046"
"2013-10-28 19:00:00","1.61970878","29.92494144","10.21747753",""
"2013-10-28 20:00:00","1.57343731","30.5077764","8.91275932","22.95482063"
"2013-10-28 21:00:00","1.70719112","45.11723456","20.5062",""
"2013-10-28 22:00:00","1.63156802","49.6284456","21.82354888","31.25761986"
"2013-10-28 23:00:00","1.60554197","46.65444432","27.4401636",""
"2013-10-29 00:00:00","1.90953852","40.37786456","23.43372056","47.61904144"
"2013-10-29 01:00:00","1.72640123","","",""
"2013-10-29 02:00:00","","20.04361072","7.06833131","62.02685165"
"2013-10-29 03:00:00","1.2941325","21.56166224","6.79469926",""
"2013-10-29 04:00:00","1.15168334","17.76640916","5.80964068","54.21244049"
"2013-10-29 05:00:00","1.7698851","21.78391312","6.37960788",""
"2013-10-29 06:00:00","1.5596112","22.61005008","5.49205557","43.9560318"
"2013-10-29 07:00:00","1.96606338","28.21352936","6.2321315",""
"2013-10-29 08:00:00","1.5493039","23.4092852","6.34790692","31.50181961"
"2013-10-29 09:00:00","1.66804984","24.23913144","9.33610862",""
"2013-10-29 10:00:00","2.62879855","29.74609296","17.43809964","43.71184158"
"2013-10-29 11:00:00","3.67051165","33.76809968","17.5326098",""
"2013-10-29 12:00:00","3.27216089","34.103388","16.4236823","43.71184158"
"2013-10-29 13:00:00","3.76520656","25.88926392","14.03190032",""
"2013-10-29 14:00:00","3.3559505","12.92182371","7.37504479","29.30401993"
"2013-10-29 15:00:00","2.53889067","8.0485315","5.55304072",""
"2013-10-29 16:00:00","3.06912091","10.32149798","7.53308115","16.36141014"
"2013-10-29 17:00:00","2.1558366","13.51113653","7.11864942",""
"2013-10-29 18:00:00","1.57891691","20.94760432","9.65164407","15.87300968"
"2013-10-29 19:00:00","1.40158567","29.46753368","8.84860407",""
"2013-10-29 20:00:00","1.68778167","27.68065496","6.6433721","25.39682007"
"2013-10-29 21:00:00","2.07124864","29.60131632","11.98021534",""
"2013-10-29 22:00:00","1.56700987","20.08160216","13.35328946","36.38582993"
"2013-10-29 23:00:00","1.86241786","15.33489964","6.25949222",""
"2013-10-30 00:00:00","1.65768661","31.00277408","8.96196273","89.86569214"
"2013-10-30 01:00:00","1.91024432","34.34135552","9.59599531",""
"2013-10-30 02:00:00","1.9937746","29.34572016","9.42229585","54.21244049"
"2013-10-30 03:00:00","2.07614753","22.84937512","10.80741557",""
"2013-10-30 04:00:00","1.96498231","25.9062616","11.20537925","27.59461975"
"2013-10-30 05:00:00","1.52605223","19.32569296","7.2379085",""
"2013-10-30 06:00:00","1.52156116","12.7430345","5.21919787","31.99023056"
"2013-10-30 07:00:00","1.6012604","10.11513964","5.92489222",""
"2013-10-30 08:00:00","1.68414183","24.64858624","10.87656687","31.99023056"
"2013-10-30 09:00:00","1.99970473","18.01169964","8.17577701",""
"2013-10-30 10:00:00","1.71612648","17.39787881","9.42064579","40.53723145"
"2013-10-30 11:00:00","1.76845215","15.48752886","9.71460814",""
"2013-10-30 12:00:00","1.74251966","7.7631177","4.69994838","22.22220993"
"2013-10-30 13:00:00","1.57612118","8.3345361","5.20301853",""
"2013-10-30 14:00:00","2.13458944","8.15698778","5.01108814","11.96580982"
"2013-10-30 15:00:00","1.83350048","8.00464345","5.10593099",""
"2013-10-30 16:00:00","2.04945637","10.25281129","6.62529414","7.81440783"
"2013-10-30 17:00:00","1.71381281","15.42280575","7.74013163",""
"2013-10-30 18:00:00","1.4448997","30.18092","12.11647593","6.83760691"
"2013-10-30 19:00:00","1.69908665","25.10192144","8.48763186",""
"2013-10-30 20:00:00","1.47346825","21.58908032","6.49122279","35.65322113"
"2013-10-30 21:00:00","1.59235148","31.71505144","8.16933548",""
"2013-10-30 22:00:00","1.88077268","35.4896836","7.47526036","33.94382095"
"2013-10-30 23:00:00","1.32045348","31.19525512","4.4730915",""
"2013-10-31 00:00:00","1.62859329","31.46046864","4.34971778","35.16482162"
"2013-10-31 01:00:00","1.66574633","","",""
"2013-10-31 02:00:00","","28.73294328","4.97625724","43.9560318"
"2013-10-31 03:00:00","1.82886703","17.82016886","4.32936072",""
"2013-10-31 04:00:00","1.75836452","21.84400728","4.33749819","55.67765045"
"2013-10-31 05:00:00","1.71918867","18.9793246","3.03443386",""
"2013-10-31 06:00:00","1.87982789","22.97007968","4.39198637","54.94504166"
"2013-10-31 07:00:00","1.56075837","22.85233872","3.98915665",""
"2013-10-31 08:00:00","1.8243363","21.61747352","5.52630714","42.97924042"
"2013-10-31 09:00:00","1.56737192","17.70399766","6.6883672",""
"2013-10-31 10:00:00","2.51650751","15.42720335","8.58949557","79.60928345"
"2013-10-31 11:00:00","3.55412617","8.57696814","5.29030515",""
"2013-10-31 12:00:00","2.850591","6.8435738","4.33782897","41.02563095"
"2013-10-31 13:00:00","3.14145401","9.47678402","6.0870279",""
"2013-10-31 14:00:00","2.90829558","7.60382706","4.61780886","20.02441978"
"2013-10-31 15:00:00","1.85572092","9.09584479","5.63215928",""
"2013-10-31 16:00:00","2.27556089","12.27180298","7.77843855","9.52380943"
"2013-10-31 17:00:00","2.13918831","22.92185904","11.74509478",""
"2013-10-31 18:00:00","1.56992053","28.94305296","12.42338443","21.97801971"
"2013-10-31 19:00:00","1.23788732","40.26572576","15.81289964",""
"2013-10-31 20:00:00","1.81654303","45.9259532","18.41563067","22.95482063"
"2013-10-31 21:00:00","1.81652675","55.02330656","22.04281704",""
"2013-10-31 22:00:00","1.60475379","40.55585264","19.34917232","30.28083038"
"2013-10-31 23:00:00","1.81536534","28.26033512","21.7424036",""
"2013-11-01 00:00:00","1.7080454","24.21173248","11.82600106","62.51525116"
"2013-11-01 01:00:00","1.68372384","23.0550872","11.53133701",""
"2013-11-01 02:00:00","1.64193836","26.86937424","12.60268797","50.79365158"
"2013-11-01 03:00:00","1.8430135","25.812","10.01953964",""
