, Brindisi,,,
,S. Pancrazio S.,,,
Parm,SO2,NOX,NO2,PM10
,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,,,,,,
,,,,,,,
04/01/2007 13.00,"0,65097051","10,64556859","5,26806286","49,5475502"
04/01/2007 14.00,"0,82468632","11,8841794","5,9689141","49,5475502"
04/01/2007 15.00,"0,93163607","11,08135163","5,57825426","49,5475502"
04/01/2007 16.00,"0,55916694","11,98793599","6,5205089","49,5475502"
04/01/2007 17.00,"0,47323654","19,81646512","13,08384468","49,5475502"
04/01/2007 18.00,"0,76039361","24,8007432","17,97941934","49,5475502"
04/01/2007 19.00,"0,61913333","37,01825112","30,1858912","49,5475502"
04/01/2007 20.00,"0,69548155","41,7924004","34,2638048","49,5475502"
04/01/2007 21.00,"0,68126288","72,43732456","50,05891328","49,5475502"
04/01/2007 22.00,"1,67100931","146,41155296","69,68144424","49,5475502"
04/01/2007 23.00,"1,1424439","91,95549856","63,38287648","49,5475502"
05/01/2007 0.00,"0,66518919","49,70523152","41,2567536","49,5475502"
05/01/2007 1.00,"0,49271006","30,94191512","24,71667256","55,37429047"
05/01/2007 2.00,"0,46983671","35,02479992","23,67187928","55,37429047"
05/01/2007 3.00,"0,45839953","26,94723088","21,94180608","55,37429047"
05/01/2007 4.00,"0,49178255","26,3389472","21,4667888","55,37429047"
05/01/2007 5.00,"0,29828508","19,92671104","15,28114567","55,37429047"
05/01/2007 6.00,"0,41759851","26,96539488","21,48755312","55,37429047"
05/01/2007 7.00,"0,39781582","29,81872984","22,36363152","55,37429047"
05/01/2007 8.00,"0,34495928","30,5087324","21,9534884","55,37429047"
05/01/2007 9.00,"0,5427851",,,"55,37429047"
05/01/2007 10.00,"0,30941208","21,60758848","15,2889256","55,37429047"
05/01/2007 11.00,"0,42810818","21,65818","15,32396874","55,37429047"
05/01/2007 12.00,"0,54402178","26,31302048","19,09168902","55,37429047"
05/01/2007 13.00,"0,47632822","39,78598584","27,71084544","55,37429047"
05/01/2007 14.00,"0,5427851","37,4280692","28,6985464","55,37429047"
05/01/2007 15.00,"0,4083255","29,36608296","22,83474832","55,37429047"
05/01/2007 16.00,"0,37463331","38,47993688","30,30011408","55,37429047"
05/01/2007 17.00,"0,39132431","39,56159352","31,0438056","55,37429047"
05/01/2007 18.00,"0,47941889","33,367268","26,23906432","55,37429047"
05/01/2007 19.00,"0,36937847","25,87073664","18,96839561","55,37429047"
05/01/2007 20.00,"0,33321293","30,9393148","22,87109544","55,37429047"
05/01/2007 21.00,"0,34495928","34,27774328","24,3662412","55,37429047"
05/01/2007 22.00,"0,4512907","48,6974928","31,79265952","55,37429047"
05/01/2007 23.00,"0,32672244","40,4007512","26,26891064","55,37429047"
06/01/2007 0.00,"0,2429552","22,1276716","16,86973278","55,37429047"
06/01/2007 1.00,,"16,83084079","12,12082573","43,70682144"
06/01/2007 2.00,"0,51966056",,,"43,70682144"
06/01/2007 3.00,"0,3546218","11,94773046","7,48612626","43,70682144"
06/01/2007 4.00,"0,35315528","10,85697461","6,51402148","43,70682144"
06/01/2007 5.00,"0,35786501","9,9944867","5,69636042","43,70682144"
06/01/2007 6.00,"0,3364714","11,22920659","6,74504079","43,70682144"
06/01/2007 7.00,"0,33166811","12,95937157","8,44135954","43,70682144"
06/01/2007 8.00,"0,42529008","16,27184465","10,81516682","43,70682144"
06/01/2007 9.00,"0,33244815","16,16030622","10,47512335","43,70682144"
06/01/2007 10.00,"0,58365427","16,58830742","10,83982397","43,70682144"
06/01/2007 11.00,"0,64088187","17,10320519","11,27331834","43,70682144"
06/01/2007 12.00,"0,52783114","14,03326549","8,57763734","43,70682144"
06/01/2007 13.00,"0,48666501","14,15907318","8,19216858","43,70682144"
06/01/2007 14.00,"0,56444415","12,70905444","7,06042519","43,70682144"
06/01/2007 15.00,"0,42566433","11,68963149","6,18825492","43,70682144"
06/01/2007 16.00,"0,94145622","55,5960844","36,71808624","43,70682144"
06/01/2007 17.00,"0,80389274","26,132738","18,67378126","43,70682144"
06/01/2007 18.00,"0,60860433","18,07982611","12,20648333","43,70682144"
06/01/2007 19.00,"0,49358875","22,2534812","15,04493528","43,70682144"
06/01/2007 20.00,"0,54679208","27,23905944","20,15204024","43,70682144"
06/01/2007 21.00,"0,40196213","27,55161408","21,02939968","43,70682144"
06/01/2007 22.00,"0,45532209","31,43477136","24,74781904","43,70682144"
06/01/2007 23.00,"0,47125848","32,15976352","25,79261232","43,70682144"
07/01/2007 0.00,"0,4114121","34,80170776","28,84779712","43,70682144"
07/01/2007 1.00,"0,37570319","36,52669504","31,24496712","76,1207428"
07/01/2007 2.00,"0,39301253","23,1185656","18,30907682","76,1207428"
07/01/2007 3.00,"0,39478923","30,09629488","25,416216","76,1207428"
07/01/2007 4.00,"0,38484094","31,07158696","26,0963144","76,1207428"
07/01/2007 5.00,"0,34432976","33,04947448","27,87827928","76,1207428"
07/01/2007 6.00,"0,36223099","38,74059984","33,34101624","76,1207428"
07/01/2007 7.00,"0,41418749","46,29160408","35,99517816","76,1207428"
07/01/2007 8.00,"0,46025047","62,09914056","45,57345688","76,1207428"
07/01/2007 9.00,"0,65815867","77,54999344","41,04130944","76,1207428"
07/01/2007 10.00,"0,57794788","63,93175432","45,00109968","76,1207428"
07/01/2007 11.00,"0,47939855","32,22461856","24,837358","76,1207428"
07/01/2007 12.00,"0,43414713","19,08627997","13,55626546","76,1207428"
07/01/2007 13.00,"0,5389022","17,16416358","11,41348706","76,1207428"
07/01/2007 14.00,"0,45691268","13,9489635","8,66199861","76,1207428"
07/01/2007 15.00,"0,62927994","14,08644203","8,88523417","76,1207428"
07/01/2007 16.00,"0,48622872","17,96439676","12,7632692","76,1207428"
07/01/2007 17.00,"0,59191943","30,69029592","24,8620228","76,1207428"
07/01/2007 18.00,"0,70599937","41,92599184","34,9711492","76,1207428"
07/01/2007 19.00,"0,85039201","50,78562624","39,6279208","76,1207428"
07/01/2007 20.00,"0,62344846","67,88232872","51,17768184","76,1207428"
07/01/2007 21.00,"0,95380565","85,3058876","51,41909096","76,1207428"
07/01/2007 22.00,"1,37719292","135,00853792","65,13239472","76,1207428"
07/01/2007 23.00,"0,56491197","57,76593672","44,59097568","76,1207428"
08/01/2007 0.00,"0,48370249","44,71579104","34,51041456","76,1207428"
08/01/2007 1.00,,"44,08544288","34,53506024","75,09551239"
08/01/2007 2.00,"0,27082405",,,"75,09551239"
08/01/2007 3.00,"0,24331827","37,75232528","30,60899768","75,09551239"
08/01/2007 4.00,"0,13691464","25,42589072","20,64264032","75,09551239"
08/01/2007 5.00,"0,14815961","20,25742968","15,52254332","75,09551239"
08/01/2007 6.00,"0,26085033","25,34677216","17,57967559","75,09551239"
08/01/2007 7.00,"0,13858761","25,71251864","17,40706023","75,09551239"
08/01/2007 8.00,"0,46340215","108,63976352","40,59871968","75,09551239"
08/01/2007 9.00,"0,35108366","89,59500072","33,97438536","75,09551239"
08/01/2007 10.00,"0,31220883","64,23782728","34,58438984","75,09551239"
08/01/2007 11.00,"0,80060783","51,23307248","37,88098376","75,09551239"
08/01/2007 12.00,"0,38490908","36,50073008","29,66026328","75,09551239"
08/01/2007 13.00,"0,34448536","22,34686328","16,45831054","75,09551239"
08/01/2007 14.00,"0,39674187","31,0923704","23,06057464","75,09551239"
08/01/2007 15.00,"0,28324569","25,08867128","18,68157266","75,09551239"
08/01/2007 16.00,"0,34463994","29,22600984","22,68029696","75,09551239"
08/01/2007 17.00,"0,58547876","42,45903832","35,15934736","75,09551239"
08/01/2007 18.00,"0,94975698","71,86274944","58,63524664","75,09551239"
08/01/2007 19.00,"0,68745234","57,75037304","50,37299752","75,09551239"
08/01/2007 20.00,"0,51290259","56,8476796","48,1510432","75,09551239"
08/01/2007 21.00,"0,3950384","52,38350376","40,14576688","75,09551239"
08/01/2007 22.00,"0,51822964","62,10820344","44,46768992","75,09551239"
08/01/2007 23.00,"0,48564293","68,5360224","46,87652312","75,09551239"
09/01/2007 0.00,"0,33448011","27,28054984","21,4849528","75,09551239"
09/01/2007 1.00,"0,29724673","21,16920512","15,13837472","51,54090118"
09/01/2007 2.00,"0,25152647","19,06163811","13,49915976","51,54090118"
09/01/2007 3.00,"0,18127313","17,952724","12,48812093","51,54090118"
09/01/2007 4.00,"0,27457271","17,34833315","12,27916036","51,54090118"
09/01/2007 5.00,"0,19902182","16,52994362","11,41607974","51,54090118"
09/01/2007 6.00,"0,19923945","19,97080176","13,53550497","51,54090118"
09/01/2007 7.00,"0,18272846","38,13363544","26,0560668","51,54090118"
09/01/2007 8.00,"0,25322995","32,94444832","21,33440192","51,54090118"
09/01/2007 9.00,"0,39318034","66,62167064","28,43377264","51,54090118"
09/01/2007 10.00,"0,23504701","48,40436408","31,99384016","51,54090118"
09/01/2007 11.00,"0,22717949","25,39086288","18,47261018","51,54090118"
09/01/2007 12.00,"0,28916259","17,11617429","11,26422487","51,54090118"
09/01/2007 13.00,"0,25258009","14,62079632","8,80606207","51,54090118"
09/01/2007 14.00,"0,22095342","18,42482357","11,42126699","51,54090118"
09/01/2007 15.00,"0,24319419","12,0916945","6,70870132","51,54090118"
09/01/2007 16.00,"0,42895738","18,83336826","12,48681886","51,54090118"
09/01/2007 17.00,"0,21587351","29,263638","23,34091208","51,54090118"
09/01/2007 18.00,"0,26106695","30,57098712","23,91456944","51,54090118"
09/01/2007 19.00,"0,21810379","39,57327584","30,7400844","51,54090118"
09/01/2007 20.00,"0,24898601","35,15057128","26,788076","51,54090118"
09/01/2007 21.00,"0,50580902","46,42519552","34,46756664","51,54090118"
09/01/2007 22.00,"0,37942643","40,93119736","31,618744","51,54090118"
09/01/2007 23.00,"0,36697428","41,05700696","32,64795448","51,54090118"
10/01/2007 0.00,"0,29015315","35,70570136","28,49996608","51,54090118"
10/01/2007 1.00,,"23,90323128","18,31167141","58,60548019"
10/01/2007 2.00,"0,49802185",,,"58,60548019"
10/01/2007 3.00,"0,45991283","15,59482266","10,80348067","58,60548019"
10/01/2007 4.00,"0,55128824","14,3575101","9,70418966","58,60548019"
10/01/2007 5.00,"0,42483446","13,11371012","8,5335103","58,60548019"
10/01/2007 6.00,"0,44395101","19,23282712","12,52965148","58,60548019"
10/01/2007 7.00,"0,39903622","22,1160084","15,38237651","58,60548019"
10/01/2007 8.00,"0,45112798","29,1858196","19,28636312","58,60548019"
10/01/2007 9.00,"0,77833756","119,13230328","42,50788992","58,60548019"
10/01/2007 10.00,"0,46609924","50,02170576","27,84843296","58,60548019"
10/01/2007 11.00,"0,48973228","24,03552256","16,04948478","58,60548019"
10/01/2007 12.00,"0,53495624","22,5556728","15,85739953","58,60548019"
10/01/2007 13.00,"0,49876426","24,06795008","17,24352687","58,60548019"
10/01/2007 14.00,"0,49325822","18,91118666","11,96637628","58,60548019"
10/01/2007 15.00,"0,51243681","15,48068964","9,63799813","58,60548019"
10/01/2007 16.00,"0,4071407","15,03063926","9,44591287","58,60548019"
10/01/2007 17.00,"0,84181158","21,7385796","15,46673969","58,60548019"
10/01/2007 18.00,"1,12101368","27,13011368","20,25069944","58,60548019"
10/01/2007 19.00,"0,51559154","31,65266288","24,15987904","58,60548019"
10/01/2007 20.00,"0,49362943","39,6887224","31,03600464","58,60548019"
10/01/2007 21.00,"0,52351092","46,11652224","35,43448416","58,60548019"
10/01/2007 22.00,"0,53062585","52,82576848","42,178242","58,60548019"
10/01/2007 23.00,"0,55815604","41,07907144","34,11585424","58,60548019"
11/01/2007 0.00,"0,44970418","41,59655424","34,04836064","58,60548019"
11/01/2007 1.00,"0,44951909","37,67840736","31,03600464","71,75144958"
11/01/2007 2.00,"0,52697584","33,04043072","27,34745072","71,75144958"
11/01/2007 3.00,"0,34236695","27,14177688","21,64200448","71,75144958"
11/01/2007 4.00,"0,45929347","25,28709864","20,44926064","71,75144958"
11/01/2007 5.00,"0,34038685","23,1004016","18,25846236","71,75144958"
11/01/2007 6.00,"0,35956544","23,73981264","16,68933558","71,75144958"
11/01/2007 7.00,"0,51837609","63,11854248","23,6407328","71,75144958"
11/01/2007 8.00,"0,47847206","50,33037904","24,04695632","71,75144958"
