SIMAGE Brindisi,,,,,,,
,Via Taranto,,,,,,,
Parm,SO2,NOX,NO2,CO,O3,BENZENE,PM10



26/01/2010 11.00,"0,23668844","34,58123504","23,34221224","0,34479573","65,57946045",,"20,5"
26/01/2010 12.00,"0,20190704","32,24538288","22,95545288","0,34527688","70,5402873",,"20,5"
26/01/2010 13.00,"0,21548094","31,87833624","22,47913544","0,34003321","70,45751475",,"20,5"
26/01/2010 14.00,"0,20303185","35,99101","27,04634896","0,35340159","68,36025105",,"20,5"
26/01/2010 15.00,"0,19926793","25,8422096","19,3330924","0,28627545","70,504896",,"20,5"
26/01/2010 16.00,"0,19601251","15,1940579","11,23956772","0,27490855","73,00736415",,"20,5"
26/01/2010 17.00,"2,74109061","15,43529494","11,30056817","0,26622114","75,5318172",,"20,5"
26/01/2010 18.00,"2,71859355","15,31467642","10,80088609","0,23407996","82,0612527","0,9038079","20,5"
26/01/2010 19.00,"2,43782528","12,7466673","8,56465869","0,22247306","84,89078115","0,591894","20,5"
26/01/2010 20.00,"2,66189987","13,33938348","8,90340199","0,22583525","84,1498581","1,2463335","20,5"
26/01/2010 21.00,"2,77978644","13,97101077","9,75610619","0,22803594","83,48370765","1,1903985","20,5"
26/01/2010 22.00,"2,58810838","16,20050984","12,52575674","0,21634749","78,5562372","1,228536","20,5"
26/01/2010 23.00,"2,30913918","9,37453218","6,08702026","0,20425945","85,6630656","1,0836135","20,5"
27/01/2010 0.00,"2,56651035","6,15025392","4,87221194","0,19785545","85,1637969","1,0497474","20,5"
27/01/2010 1.00,"2,51251681","10,41600431","9,17595568","0,19261178","78,36334065","0,97047225","12,19999981"
27/01/2010 2.00,"2,35323427","5,50954846","5,00978607","0,18300519","83,6332329","0,8885529","12,19999981"
27/01/2010 3.00,"2,32083773","1,53691531","1,04478754","0,18356556","88,06139475","0,83439765","12,19999981"
27/01/2010 4.00,"2,32983716","1,71719397","1,09151109","0,18004376","88,9811895","0,7985484","12,19999981"
27/01/2010 5.00,"2,21734985","2,38902679","1,60416991","0,16618492","86,4253551","0,388494","12,19999981"
27/01/2010 6.00,"2,17685392","6,53415866","5,4770196","0,1747733","83,20668195","0,99437175","12,19999981"
27/01/2010 7.00,"2,04276959","7,40183382","5,95853194","0,19356009","83,131251","0,9116388","12,19999981"
27/01/2010 8.00,"2,25064643","16,41191777","12,80480166","0,21235737","77,4555558","0,99081225","12,19999981"
27/01/2010 9.00,"2,07516613","25,10811632","18,3869545","0,21430758","75,05589","0,96620085","12,19999981"
27/01/2010 10.00,"2,07786524","25,23004456","19,05664779","0,19432433","73,75094055","0,9413352","12,19999981"
27/01/2010 11.00,"2,06346758","23,66589472","17,61212414","0,20539882","73,00401255","0,49655025","12,19999981"
27/01/2010 12.00,"2,114762","28,54250808","20,98268952","0,21847711","71,08294725","1,2097215","12,19999981"
27/01/2010 13.00,"1,94738008","19,305464","13,99365458","0,2251945","77,98421085","1,00382985","12,19999981"
27/01/2010 14.00,"1,6792104","19,04607252","12,91641658","0,2220723","81,5766672","1,070901","12,19999981"
27/01/2010 15.00,"1,94648003","15,09159764","10,79050202","0,22443376","82,949706","1,0247292","12,19999981"
27/01/2010 16.00,"1,93118232","23,55434864","15,01377924","0,22475413","81,11743815","0,9504882","12,19999981"
27/01/2010 17.00,"2,04546871","18,67513878","13,97028994","0,23820289","80,21031165","1,0352043","12,19999981"
27/01/2010 18.00,"1,75750211","17,22382371","13,74316346","0,23087854","79,67964165","1,02701745","12,19999981"
27/01/2010 19.00,"2,07696622","19,61803776","14,32720872","0,2335592","76,9248858","0,93467385","12,19999981"
27/01/2010 20.00,"1,83399271","56,30166976","38,95042272","0,40888005","55,73122275","0,9555732","12,19999981"
27/01/2010 21.00,"2,20835143","67,9186376","47,10885024","0,48505241","51,24765975","1,988235","12,19999981"
27/01/2010 22.00,"1,92038381","62,70482392","46,69482576","0,42789285","50,56748445","1,9287405","12,19999981"
27/01/2010 23.00,"1,70080843","47,52503528","36,15741136","0,34307503","58,39654275","1,694322","12,19999981"
28/01/2010 0.00,"2,85267788","150,4723924","64,95587888","0,26341932","47,45895525","0,6656265","12,19999981"
28/01/2010 1.00,,"32,58388336","27,14108856","0,24740989","68,98903515","1,329219","24,10000038"
28/01/2010 2.00,"0,04756712",,,"0,3122934","71,2444824","1,1560239","24,10000038"
28/01/2010 3.00,"0,03563263","16,70114218","15,24998772",,"76,23535395","1,553976","24,10000038"
28/01/2010 4.00,"0,01329829","11,24866119","10,09355316","0,29000112",,"1,501092","24,10000038"
28/01/2010 5.00,"0,02472124","16,13306786","14,11306281","0,29008267","75,540276","1,4934645","24,10000038"
28/01/2010 6.00,"0,09104286","12,45614464","10,45045664","0,29908579","80,0317791","1,496007","24,10000038"
28/01/2010 7.00,"0,15412432","31,96909888","27,40846264","0,39076896","61,7215494","1,548891","24,10000038"
28/01/2010 8.00,"0,15770517","65,51146784","49,94340936","0,49177679","45,06718965","1,7507655","24,10000038"
28/01/2010 9.00,"0,19180315","76,53445376","53,8759536","0,56874834","44,42982705","2,3162175","24,10000038"
28/01/2010 10.00,"0,19299711","93,08384624","61,06228208","0,62421749","40,98761415","2,3802885","24,10000038"
28/01/2010 11.00,"0,03938333","64,00049072","45,16333288","0,50564379","52,04111115","2,545551","24,10000038"
28/01/2010 12.00,"0,0020462","55,6985676","36,68823992","0,49740374","56,8044729","2,1463785","24,10000038"
28/01/2010 13.00,,"53,8905804","32,23523016","0,49973491","61,80966855","2,31876","24,10000038"
28/01/2010 14.00,,"45,25403816","32,00810368","0,48671254","74,1009633","2,3335065","24,10000038"
28/01/2010 15.00,,"43,59908744","32,10156224","0,41311599","80,8651704","1,9602675","24,10000038"
28/01/2010 16.00,,"42,520012","31,91726456","0,37219886","79,9497846","0,9686925","24,10000038"
28/01/2010 17.00,"0,25420322","46,99847048","35,81088048","0,50651055","67,63391145","1,9104345","24,10000038"
28/01/2010 18.00,"0,07655061","67,15475536","49,98623816","0,5251389",,"1,8128025","24,10000038"
28/01/2010 19.00,"0,22521974","68,86024024","53,10891656","0,61629898","51,51510945","2,451987","24,10000038"
28/01/2010 20.00,"0,40764614","130,423734","71,113016","0,82329968","38,1321906","2,9843865","24,10000038"
28/01/2010 21.00,"1,56272729","176,8528491","90,02168264","1,03721348","27,95990505","4,161564","24,10000038"
28/01/2010 22.00,"0,14099688","105,7864094","69,29598504","0,854531","33,0217986","4,42547652","24,10000038"
28/01/2010 23.00,"0,11968565","106,7941673","71,91378072","0,84062323","27,5753289","3,4959375","24,10000038"
29/01/2010 0.00,"0,18634796","97,2160224","62,15378552","0,80332342","30,7565958","3,552381","24,10000038"
29/01/2010 1.00,"0,03205279","50,46787096","40,02506232","0,63651639","42,8456973","3,1389705","27,60000038"
29/01/2010 2.00,"0,0020462","30,63324184","26,43634448","0,52324927","49,91320425","2,4331725","27,60000038"
29/01/2010 3.00,,"36,52669504","32,40526432","0,47875442","43,4632296","2,1199365","27,60000038"
29/01/2010 4.00,,"24,585452","21,86134912","0,39892862","51,31086135","1,8463635","27,60000038"
29/01/2010 5.00,,"14,32767907","12,21556724","0,32710055","76,72345065","1,5036345","27,60000038"
29/01/2010 6.00,"0,0071607","18,72053349","15,74188987","0,32469016","75,00336165","1,3022685","27,60000038"
29/01/2010 7.00,"0,00051155","26,42714776","21,1332404","0,30748661","84,4071333","0,6137595","27,60000038"
29/01/2010 8.00,"0,10161356","102,4687453","68,23042744","0,71927683","46,27903245","1,2137895","27,60000038"
29/01/2010 9.00,"0,06990146","123,2346331","78,64195576","0,67112505","33,5033916","2,798784","27,60000038"
29/01/2010 10.00,"0,02045899","91,40555","59,68524056","0,58004418","45,83159385","2,4046965","27,60000038"
29/01/2010 11.00,"0,00051155","85,24493304","51,20752816","0,56722219","53,22290925","2,2460445","27,60000038"
29/01/2010 12.00,,"56,27442376","35,06070728","0,45339121",,"1,9195875","27,60000038"
29/01/2010 13.00,,"29,3323744","18,30648415","0,48357752",,,"27,60000038"
29/01/2010 14.00,"0,00051155","113,2336686","17,16436051","2,36320134","70,22489775",,"27,60000038"
29/01/2010 15.00,,,,,"73,9690539",,"27,60000038"
29/01/2010 16.00,,,,,"70,4553003",,"27,60000038"
29/01/2010 17.00,"0,02710814","45,7222296","31,16189072","0,59457989","68,94893565",,"27,60000038"
29/01/2010 18.00,"0,05745542","67,75523808","39,68503224","0,64354484","49,25664975",,"27,60000038"
29/01/2010 19.00,"0,59365239","155,5915621","64,74303504","1,01284751","25,8713994","2,62319895","27,60000038"
29/01/2010 20.00,"0,00255776","121,8896558","53,36588936","1,12338271","25,04521005","4,19054952","27,60000038"
29/01/2010 21.00,"0,00153465","85,00759648","38,92317672","0,80981597","31,84297305","4,6370115","27,60000038"
29/01/2010 22.00,,"48,3084008","24,07292128","0,7341597","36,70323195","3,574755","27,60000038"
29/01/2010 23.00,,"37,76656968","23,10080312","0,79571015","42,33503715","4,028337","27,60000038"
30/01/2010 0.00,,"34,73427152","25,00479184","0,85251671","38,853822","5,3184015","27,60000038"
30/01/2010 1.00,,,,"0,67923461","49,9804158","4,25767152","10,60000038"
30/01/2010 2.00,"0,10054977",,,"0,54728671","56,68682775","2,879127","10,60000038"
30/01/2010 3.00,"0,12320243",,,,"54,38886705","2,292318","10,60000038"
30/01/2010 4.00,"0,13829878",,,"0,44581638",,"1,0693755","10,60000038"
30/01/2010 5.00,"0,11316159",,,"0,38258018","64,66471305","1,562112","10,60000038"
30/01/2010 6.00,"0,10810507",,,"0,32861505","68,220621","1,296675","10,60000038"
30/01/2010 7.00,"0,11479388",,,"0,34352705","66,8519712","1,0897155","10,60000038"
30/01/2010 8.00,"0,12237866",,,"0,47781893","48,99933465","1,226502","10,60000038"
30/01/2010 9.00,"0,14583983",,,"0,4693587","58,1171829","1,6907625","10,60000038"
30/01/2010 10.00,"0,1324612",,,"0,4064219","69,37606515","1,649574","10,60000038"
30/01/2010 11.00,"0,12484895",,,"0,3747607","73,4791218","1,672965","10,60000038"
30/01/2010 12.00,"0,13156726",,,"0,33784418","83,9861883","1,445157","10,60000038"
30/01/2010 13.00,"0,12905323",,,"0,33630638","79,0481643","1,0836135","10,60000038"
30/01/2010 14.00,"0,12401095",,,"0,31118199","82,7120616","1,133955","10,60000038"
30/01/2010 15.00,"0,10645753",,,"0,28695581","91,9940385","0,85900905","10,60000038"
30/01/2010 16.00,"0,11646989",,,"0,28810916","93,9638616","0,8066844","10,60000038"
30/01/2010 17.00,"0,12655345",,,"0,32160757","91,0994007","0,8407539","10,60000038"
30/01/2010 18.00,"0,11402706",,,"0,33745973","90,1826982","0,9213003","10,60000038"
30/01/2010 19.00,"0,11395688",,,"0,33656268","83,67423015","0,93294495","10,60000038"
30/01/2010 20.00,"0,12908171",,,"0,36322487","72,24479535","1,0876815","10,60000038"
30/01/2010 21.00,"0,1223929",,,"0,3801861","69,14440575","1,1466675","10,60000038"
30/01/2010 22.00,"0,14838233",,,"0,36343806","67,76582085","1,237689","10,60000038"
30/01/2010 23.00,"0,14079857",,,"0,22914385","78,6104214","1,077003","10,60000038"
31/01/2010 0.00,"0,12486319",,,"0,16996884","83,59534785","0,84965265","10,60000038"
31/01/2010 1.00,"0,12746264",,,"0,19993614","81,50259285","0,7666146","11,60000038"
31/01/2010 2.00,"0,13747501",,,"0,22873377","70,69140855","0,96559065","11,60000038"
31/01/2010 3.00,"0,10476829",,,"0,15773634","68,50201575","0,8468559","11,60000038"
31/01/2010 4.00,"0,13662276",,,"0,13311873","75,03037395","0,7107813","11,60000038"
31/01/2010 5.00,"0,1391795",,,"0,13936546","71,0623389","0,5666724","11,60000038"
31/01/2010 6.00,"0,1333704",,,"0,14338238","72,44660955","0,6208785","11,60000038"
31/01/2010 7.00,"0,11818862",,,"0,12607747","78,35887185","0,6415236","11,60000038"
31/01/2010 8.00,"0,11233782",,,"0,13761097","76,59158115","0,6023691","11,60000038"
31/01/2010 9.00,"0,13158149",,,"0,21017532","73,9388895","0,79229385","11,60000038"
31/01/2010 10.00,"0,11736485",,,"0,22538673","79,1895699","1,107513","11,60000038"
31/01/2010 11.00,"0,13910831",,,"0,21560189","83,7090429","0,49065165","11,60000038"
31/01/2010 12.00,"0,1198504",,,"0,19714247","86,83786125","1,03800105","11,60000038"
31/01/2010 13.00,"0,12737722",,,"0,17432711","89,71157895","1,1314125","11,60000038"
31/01/2010 14.00,"0,12402518",,,"0,15018598","93,92689425","1,03393305","11,60000038"
31/01/2010 15.00,"0,11399858",,,"0,11032201","99,3133344","0,458667","11,60000038"
31/01/2010 16.00,"0,09386096",,,"0,12057634","98,6219073","0,46227735","11,60000038"
31/01/2010 17.00,"0,09471321",,,"0,15992887","92,4872025","0,7196292","11,60000038"
31/01/2010 18.00,"0,12318819",,,"0,24281862","76,0031958","0,97057395","11,60000038"
31/01/2010 19.00,"0,10056401",,,"0,32100993","74,45904585","1,4375295","11,60000038"
31/01/2010 20.00,"0,10390181",,,"0,29580049","73,9928742","1,6510995","11,60000038"
31/01/2010 21.00,"0,11064757",,,"0,26529264","72,3144408","1,4090535","11,60000038"
31/01/2010 22.00,"0,11733638",,,"0,16249071","89,3910822","1,08864765","11,60000038"
31/01/2010 23.00,"0,10475405",,,"0,14275095","89,06276505","0,38325645","11,60000038"
01/02/2010 0.00,"0,12490591",,,"0,16526923","85,1928042","0,69405165","11,60000038"
01/02/2010 1.00,,,,"0,18992296","80,8211208","0,79381935","20,20000076"
01/02/2010 2.00,"0,11228392",,,"0,185821","73,1849391","0,75466485","20,20000076"
01/02/2010 3.00,"0,0944254",,,,"87,78369075","0,67889835","20,20000076"
01/02/2010 4.00,"0,10973227",,,"0,25861369",,"0,56102805","20,20000076"
01/02/2010 5.00,"0,11314837",,,"0,23763321","83,29414275","0,6710166","20,20000076"
01/02/2010 6.00,"0,11310566",,,"0,2468402","79,49598195","0,5780628","20,20000076"
01/02/2010 7.00,"0,11570002",,,"0,33714052","71,1436152","0,84833055","20,20000076"
01/02/2010 8.00,"0,12864338","40,2723604","22,71144344","0,49183737","47,5542564","1,2920985","20,20000076"
01/02/2010 9.00,"0,11663668","37,19463312","18,00537857","0,54364609","53,1402963","1,7782245","20,20000076"
01/02/2010 10.00,,,,"0,4009231","67,94130105","1,6002495","20,20000076"
01/02/2010 11.00,,,,"0,38038648","72,7894104","1,08986805","20,20000076"
01/02/2010 12.00,"0,41698322","49,22535776","40,10163792","0,39691317","81,9352086","1,4263425","20,20000076"
01/02/2010 13.00,"0,42228281","38,44750936","27,8808796","0,39550003","84,3848691","1,314981","20,20000076"
01/02/2010 14.00,"0,56819587","33,37633088","23,25915496","0,39040548","86,00502855","1,02457665","20,20000076"
01/02/2010 15.00,"0,23397305","25,91354632","18,98656343","0,36291614","88,8787662","0,81995625","20,20000076"
01/02/2010 16.00,"0,21304014","23,76445832","18,02613715","0,3433488","88,1795586","1,258029","20,20000076"
01/02/2010 17.00,"0,2840542","36,79513984","27,89386208","0,4363892","78,62975295","1,1724993","20,20000076"
01/02/2010 18.00,"0,66544242","64,3338288","49,62412448","0,5387228","61,0047858","0,1763478","20,20000076"
01/02/2010 19.00,"0,95647325","45,9076936","35,66551112","0,43634726","73,8198678","1,832634","20,20000076"
01/02/2010 20.00,"1,04665369","39,2814664","30,5778512","0,42517141","75,1434306","1,3765095","20,20000076"
01/02/2010 21.00,"1,89015959","53,81146184","42,5052896","0,45771336","64,68793485","1,7365275","20,20000076"
01/02/2010 22.00,"1,12959105","27,0004036","21,4486248","0,37032321","89,5668816","1,385154","20,20000076"
01/02/2010 23.00,"1,27718216","31,21556056","23,64201384","0,37760213","80,78072205","1,18989","20,20000076"
02/02/2010 0.00,"1,18788549","22,52974608","19,77826336","0,37580454","78,76142295","0,885807","20,20000076"
02/02/2010 1.00,"1,28601481","12,44317363","11,36156862","0,34232127","83,8873161","0,542061","22,2999897"
02/02/2010 2.00,"1,51742705","7,33568818","6,93323322","0,30378657","86,62036635","0,95389515","22,2999897"
02/02/2010 3.00,"1,31516203","5,68074894","5,6587227","0,28700241","88,46298825","0,7494273","22,2999897"
02/02/2010 4.00,"1,43086815","3,97133681","3,95591462","0,28678689","90,05611545","0,79870095","22,2999897"
02/02/2010 5.00,"1,73470707","7,0607292","6,73595688","0,28481804","86,5302921","0,67411845","22,2999897"
02/02/2010 6.00,"1,49181289","8,392724","7,60423432","0,30318659","82,79866455","0,68652585","22,2999897"
02/02/2010 7.00,"1,72587443","26,2883748","22,24810848","0,34630324","70,9890825","0,59774175","22,2999897"
02/02/2010 8.00,"2,25670978","43,47455888","33,23589448","0,42842642","65,17232085","0,91789335","22,2999897"
02/02/2010 9.00,"2,10214002","49,28761248","35,42282096","0,46820302","64,1404869","0,795294","22,2999897"
02/02/2010 10.00,"1,10097369",,,"0,43069468","77,94510885","1,39329","22,2999897"
02/02/2010 11.00,"0,27124712",,,"0,37503331","89,5668816",,"22,2999897"
02/02/2010 12.00,"0,18168502","46,01923968","29,61223384","0,41061474","82,09391085","0,6147765","22,2999897"
02/02/2010 13.00,"0,06253431","36,07404816","24,89965096","0,3699807","84,7486773","1,2280275","22,2999897"
02/02/2010 14.00,"0,02093291","50,39393392","36,73236888","0,4411855","76,28127885","0,56952","22,2999897"
02/02/2010 15.00,"0,16357835","41,90522752","30,976312","0,37289204","83,54220105","0,5112459","22,2999897"
02/02/2010 16.00,"1,34333801","36,2374668","27,038548","0,41708049","84,89349435","0,9474372","22,2999897"
02/02/2010 17.00,"1,60840177","33,6720408","25,76404704","0,41082793","87,8982237","1,4873625","22,2999897"
02/02/2010 18.00,"1,65786458","33,60068496","26,11965992","0,44867878","86,06946705","1,1863305","22,2999897"
02/02/2010 19.00,"2,16750057","33,89123248","25,10343192","0,49153797","87,6085497","1,416681","22,2999897"
02/02/2010 20.00,"1,94138791","30,87185944","22,9580532","0,43900113","89,61817305","0,9561834","22,2999897"
02/02/2010 21.00,"1,85217972","34,57215304","25,92498008","0,47453945","89,20169685","1,4243085","22,2999897"
02/02/2010 22.00,"1,39818787","23,0135012","17,5887595","0,39986761","95,27555415","1,674999","22,2999897"
02/02/2010 23.00,"1,49799524","21,58554312","17,6367813","0,36257363","90,75464475","0,97525215","22,2999897"
03/02/2010 0.00,"1,39642134","24,8993068","22,11832192","0,39378748","79,68514785","1,0317465","22,2999897"
03/02/2010 1.00,,"16,9540539","14,86581912","0,36861066","81,68713035","0,94504725",43
03/02/2010 2.00,"0,10199696",,,"0,32159825","88,6674159","0,91504575",43
03/02/2010 3.00,"0,12546526","17,79578895","16,90088691",,"85,68072135","0,73707075",43
03/02/2010 4.00,"0,02076104","12,25900406","11,51082125","0,24146606",,"0,7116966",43
03/02/2010 5.00,"0,03791071","12,90360044","12,1792335","0,25470279","78,6850743","0,86806035",43
03/02/2010 6.00,"0,21031255","28,60606296","23,97038072","0,32442338","65,6320686","0,7026453",43
03/02/2010 7.00,"0,50276514","96,11746368","66,4523248","0,56690997","31,28193915","1,2341295",43
03/02/2010 8.00,"2,83064458","178,3884528","73,10912488","0,6344159","20,806254","1,7660205",43
03/02/2010 9.00,"3,45345843","206,7711368","79,5037324","1,00097732","28,99487115","3,157785",43
03/02/2010 10.00,"0,30238054","78,36968696","44,45988896","0,49221017","55,8898053","4,055796",43
03/02/2010 11.00,,"41,64454544","28,15473536","0,38588528","80,76583935","0,789192",43
03/02/2010 12.00,"0,02707864","41,04274344","28,39484432","0,42644942","84,08013285","1,508211",43
03/02/2010 13.00,"0,02888382","41,15949016","29,55384136","0,40342086","90,2954157",,43
03/02/2010 14.00,"0,01083207","42,63803976","31,9678752","0,40844434","88,90324485","1,6602525",43
03/02/2010 15.00,,"44,01542544","33,9120924","0,34621587","86,63540865","1,363797",43
03/02/2010 16.00,,"54,35619064","41,52540872","0,38158643","79,26555945","1,195992",43
03/02/2010 17.00,,"97,11613952","69,599668","0,58521329","51,03822465","1,8300915",43
03/02/2010 18.00,,"74,10910088","59,90456608","0,50182958","58,0765647","1,9887435",43
03/02/2010 19.00,,"68,67089488","55,54631504","0,61483691","59,3570355","2,287233",43
03/02/2010 20.00,,"61,40007512","50,77533968","0,51570473","58,65349875","2,7565785",43
03/02/2010 21.00,,"91,05926768","69,90337008","0,7147776","41,2198521","2,3935095",43
03/02/2010 22.00,"0,00361035","75,97288024","58,85849176","0,78032516","36,94235265","3,694761",43
03/02/2010 23.00,"0,02798174","94,87108824","64,24595328","0,97565255","31,0116366","4,294791",43
04/02/2010 0.00,"0,08394521","90,9516412","56,44313864","0,90265482","35,7756966","4,517514",43
04/02/2010 1.00,"0,00902689","42,0232744","33,72389424","0,59487463","50,61352905","3,2844015",
04/02/2010 2.00,"0,00180518","32,61371056","29,17484472","0,53200657","44,3968497","2,2541805",
04/02/2010 3.00,"0,0009031","25,09515296","22,3117016","0,42261773","49,4234118","1,777716",
04/02/2010 4.00,,"19,9370932","17,889867","0,39644135","52,97600805","1,371933",
04/02/2010 5.00,"0,09928971","22,77486448","20,89573176","0,39912201","44,61524235","1,203111",
04/02/2010 6.00,"0,97574234","43,09068664","34,44032064","0,52877253","40,5831678","1,363797",
04/02/2010 7.00,"3,0346385","132,8101968","65,44647896","0,70243326","20,6120607","1,6673715",
04/02/2010 8.00,"6,06205529","326,1889208","89,51163752","1,25912851","20,07781965","2,2877415",
04/02/2010 9.00,"9,72131282","454,0940728","115,0835668","1,84778903","22,9553079","5,358573",
04/02/2010 10.00,"5,22261027","314,076592","108,4540892","1,60253439","27,41279625","5,7404565",
04/02/2010 11.00,"0,07040488","69,12096056","42,9647432","0,48756998","63,32295585","4,257162",
04/02/2010 12.00,,"61,83453888","52,14459936","0,47386492","139,2265014","1,496007",
04/02/2010 13.00,,"60,41826312","54,556052","0,50510672","168,8886402","1,903824",
04/02/2010 14.00,"0,01985794","49,2694676","41,93033208","0,44317649","139,8603329","2,352321",
04/02/2010 15.00,"0,00451345","22,05505384","18,63355087","0,34715253","119,8942532","0,4612095",
04/02/2010 16.00,,"25,16648968","19,98072504","0,36617814","109,6511651","0,93172455",
04/02/2010 17.00,,"47,82722688","37,35145536","0,48280396","91,2052554","1,07400285",
04/02/2010 18.00,,"44,35780728","36,00816064","0,51055426","83,80127175","1,5107535",
04/02/2010 19.00,"0,00541553","86,22934536","75,66074624","0,52349392","49,7364273","1,60686",
04/02/2010 20.00,"0,17781838","116,0610386","98,57337032","0,59478959","40,6543095","1,7741565",
04/02/2010 21.00,"1,18244454","177,2367787","112,3372847","0,86289919","30,4567473","2,0629845",
04/02/2010 22.00,"2,13923102","177,1693234","101,9542834","1,10223796","27,4682772","3,617469",
04/02/2010 23.00,"2,77829145","145,4686693","81,25977056","1,16868024","30,4162089","5,102289",
05/02/2010 0.00,"1,9334309","79,4280172","56,81305328","0,96650148","30,9810333","4,727016",
05/02/2010 1.00,,"69,23506872","53,4904944","1,02677042","26,55059715","4,123935",
05/02/2010 2.00,"0,35698734",,,"1,07567712","28,71034425","4,79007",
05/02/2010 3.00,"0,15776213","55,48713864","50,6157068",,"37,00140465","4,3898805",
05/02/2010 4.00,"0,08671959","53,80366088","48,00957432","0,78729186",,"3,818835",
05/02/2010 5.00,"0,00476261","44,54069008","41,5228084","0,67633726","34,42538085","3,107952",
05/02/2010 6.00,"0,26147273","58,61027592","52,52227672","0,60424822","29,9788251","2,447919",
05/02/2010 7.00,"0,24643741","80,63938392","65,21027048","0,49095896","29,58347595","1,8921285",
05/02/2010 8.00,"0,32743841","109,0560824","76,20713848","0,51412615","26,41788975","1,3490505",
05/02/2010 9.00,"1,2787697","179,4493834","91,06519488","0,60696384","29,1116385","1,1222595",
05/02/2010 10.00,,"56,20176776","39,13473952","0,47653393",,"2,0640015",
05/02/2010 11.00,,"36,74326728","28,20274568","0,36693656","77,2823499","1,4487165",
05/02/2010 12.00,,,,,,"1,099377",
05/02/2010 13.00,,"31,18573336","24,2468368","0,32900416","83,16043785","1,0663245",
05/02/2010 14.00,,"30,4996504","25,03853864","0,32866398","82,76502885","1,02213585",
05/02/2010 15.00,,"31,86533464","26,19623552","0,31712232","81,0808299","0,87731505",
05/02/2010 16.00,,"28,08597984","23,53171056","0,31767453","81,2726691","0,83338065",
05/02/2010 17.00,,"29,36738312","25,1683252","0,34207196","76,8170361","0,94148775",
05/02/2010 18.00,,"31,99246352","27,66153496","0,40889986","69,2243055","1,1049705",
05/02/2010 19.00,,"30,23246752","24,49082712","0,40109203","68,8198791","1,5371955",
05/02/2010 20.00,,"26,74750336","23,31236592","0,37240973","74,5843518","1,2666735",
05/02/2010 21.00,,"23,97716832","19,5134896","0,35386759","84,71374485","0,9723537",
05/02/2010 22.00,,"14,55594702","12,73341523","0,34084172","92,019774","0,8703486",
05/02/2010 23.00,,"9,40565954","7,83785013","0,29870833","95,5661259","0,3597129",
06/02/2010 0.00,,"4,76378815","4,15838203","0,36248043","95,9664027","0,548163",
06/02/2010 1.00,,"3,75603796","3,0084689","0,42752588","94,7337321","0,509517",15
06/02/2010 2.00,,"1,84559433","1,43544738","0,40223839","94,31268735","0,43929315",15
06/02/2010 3.00,,"1,92600731","1,52240323","0,40482702","92,71297665","0,39546045",15
06/02/2010 4.00,,"1,82743798","1,56912678","0,40355367","92,07377865","0,404766",15
06/02/2010 5.00,,"2,26711194","1,90657374","0,40287448","90,9740748","0,39230775",15
06/02/2010 6.00,,"4,40193259","4,01302032","0,404954","86,55999765","0,3998844",15
06/02/2010 7.00,,"25,37789952","22,32858456","0,43049663","73,390464","0,46502325",15
06/02/2010 8.00,,"50,99443576","42,73761672","0,51344696","53,7431853","0,61136955",15
06/02/2010 9.00,,"53,55466112","38,68696824","0,53199026","62,7735528","1,5453315",15
06/02/2010 10.00,,"41,92081032","27,85103328","0,5153995","63,2846319","0,9267921",15
06/02/2010 11.00,,"23,6814584","17,4408013","0,48815947","77,84887005","1,01491515",15
06/02/2010 12.00,,"26,34932936","19,44601512","0,50517313","81,6306918","0,9710316",15
06/02/2010 13.00,,"23,80336752","17,49012325","0,46359195","85,81554345","0,96447195",15
06/02/2010 14.00,,"28,22735312","21,55504672","0,47895247","82,5482721","0,9360468",15
06/02/2010 15.00,,"15,39249482","12,67890411","0,42519355","89,37438405","0,7471899",15
06/02/2010 16.00,,"15,61298092","12,95794904","0,44241924","86,47828245","0,7100694",15
06/02/2010 17.00,,"18,96825412","15,76654511","0,4774671","85,60295625","0,8282448",15
06/02/2010 18.00,,"31,38548","26,88671608","0,55638653","75,08088735","1,06006995",15
06/02/2010 19.00,,"75,69143384","57,69949472","0,73090236","48,97591335","1,4812605",15
06/02/2010 20.00,,"123,6107426","76,90930136","0,84164493","33,255852","2,2196025",15
06/02/2010 21.00,,"80,909148","59,06615408","0,6740457","46,468338","2,2328235",15
06/02/2010 22.00,,"45,4861932","36,4468308","0,55591936","57,89755335","1,6338105",15
06/02/2010 23.00,,"23,80336752","19,18254152","0,50148241","78,364797","0,5425695",15
07/02/2010 0.00,,"19,16927224","15,61599041","0,46117341","83,8197255","0,82626165",15
07/02/2010 1.00,,"17,85674734","14,99042416","0,44882557","82,92845925","0,71581545","15,30000019"
07/02/2010 2.00,"0,11494541",,,"0,45192447","78,1508133","0,65774475","15,30000019"
07/02/2010 3.00,"0,09882698","24,64898776","22,50250008",,"76,00816335","0,7049844","15,30000019"
07/02/2010 4.00,"0,10932953","24,90190712","22,2507088","0,30792465",,"0,72618885","15,30000019"
07/02/2010 5.00,"0,11676889","29,83689384","27,33188704","0,32716462","55,8858153","0,77205555","15,30000019"
07/02/2010 6.00,"0,13981614","24,41295136","20,49468976","0,40178753","49,8687357","0,8833662","15,30000019"
07/02/2010 7.00,"0,11844694","32,29207392","26,90876144","0,43495858","42,73555335","1,1537865","15,30000019"
