Stat,Surbo-ENEL,,,,,  ,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
05/01/2014 10.00,"3,9","3,1","3,4","13,9",,,
05/01/2014 11.00,"3,8","3,4","3,6",,,,
05/01/2014 12.00,"3,6","3,3","3,6","20,0",,,
05/01/2014 13.00,"4,6","2,8","3,1",,,,
05/01/2014 14.00,"4,2","3,0","3,2","13,4",,,
05/01/2014 15.00,"4,1","2,3","2,6",,,,
05/01/2014 16.00,"4,0","2,4","2,6","12,2",,,
05/01/2014 17.00,"3,9","3,8","3,9",,,,
05/01/2014 18.00,"3,8","3,6","3,9","17,6",,,
05/01/2014 19.00,"3,4","2,7","2,9",,,,
05/01/2014 20.00,"3,5","4,4","4,4","12,2",,,
05/01/2014 21.00,"3,7","6,8","7,3",,,,
05/01/2014 22.00,"4,0","11,8","12,3","7,3",,,
05/01/2014 23.00,"3,9","12,8","13,8",,,,
06/01/2014 0.00,"3,4","14,4","15,2","7,8",,,
06/01/2014 1.00,"2,8",,,,,,
06/01/2014 2.00,,"14,0","16,3","11,2",,,
06/01/2014 3.00,"3,5","13,1","15,6",,,,
06/01/2014 4.00,"3,6","11,1","12,8","14,9",,,
06/01/2014 5.00,"2,9","11,7","13,9",,,,
06/01/2014 6.00,"3,3","15,7","19,2","15,6",,,
06/01/2014 7.00,"3,4","13,9","16,0",,,,
06/01/2014 8.00,"3,3","12,4","16,0","21,5",,,
06/01/2014 9.00,"3,3","9,9","15,5",,,,
06/01/2014 10.00,"3,5","7,8","11,2","14,9",,,
06/01/2014 11.00,"3,3","7,1","8,4",,,,
06/01/2014 12.00,"3,1","7,4","8,5","15,9",,,
06/01/2014 13.00,"3,2","7,1","8,3",,,,
06/01/2014 14.00,"3,4","6,9","7,8","9,3",,,
06/01/2014 15.00,"3,8","5,7","6,4",,,,
06/01/2014 16.00,"2,3","8,1","9,4","6,3",,,
06/01/2014 17.00,"3,3","10,4","12,1",,,,
06/01/2014 18.00,"3,0","9,6","11,6","3,9",,,
06/01/2014 19.00,"3,0","23,4","25,3",,,,
06/01/2014 20.00,"3,1","24,2","27,7","2,9",,,
06/01/2014 21.00,"3,3","18,1","20,7",,,,
06/01/2014 22.00,"3,9","18,9","21,2","8,1",,,
06/01/2014 23.00,"3,7","17,0","18,9",,,,
07/01/2014 0.00,"3,5","21,4","23,8","15,6",,,
07/01/2014 1.00,"2,9","14,0","15,8",,,,
07/01/2014 2.00,"3,4","11,2","12,1","15,9",,,
07/01/2014 3.00,"3,3","7,9","8,4",,,,
07/01/2014 4.00,"2,8","8,1","9,3","15,1",,,
07/01/2014 5.00,"3,0","7,0","7,8",,,,
07/01/2014 6.00,"3,0","8,6","10,0","15,4",,,
07/01/2014 7.00,"2,5","11,1","12,6",,,,
07/01/2014 8.00,"2,9","14,7","16,4","9,3",,,
07/01/2014 9.00,"2,1","16,6","20,8",,,,
07/01/2014 10.00,"2,3","13,4","17,5","17,8",,,
07/01/2014 11.00,"3,0","10,1","13,1",,,,
07/01/2014 12.00,"3,2","7,0","8,7","13,9",,,
07/01/2014 13.00,"3,5","7,1","8,4",,,,
07/01/2014 14.00,"3,4","4,8","5,7","17,6",,,
07/01/2014 15.00,"3,3","7,9","9,3",,,,
07/01/2014 16.00,"3,4","14,0","15,8","9,8",,,
07/01/2014 17.00,"2,7","26,0","30,0",,,,
07/01/2014 18.00,"1,7","15,6","18,4","7,8",,,
07/01/2014 19.00,"3,2","15,9","18,5",,,,
07/01/2014 20.00,"3,1","32,0","37,6","25,9",,,
07/01/2014 21.00,"3,1","37,0","48,3",,,,
07/01/2014 22.00,"3,4","40,9","56,9","23,9",,,
07/01/2014 23.00,"2,9","22,3","27,4",,,,
08/01/2014 0.00,"2,9","14,6","16,7","27,4",,,
08/01/2014 1.00,"2,9",,,,,,
08/01/2014 2.00,,"9,5","10,7","29,8",,,
08/01/2014 3.00,"1,9","7,3","8,3",,,,
08/01/2014 4.00,"3,0","6,7","7,4","31,5",,,
08/01/2014 5.00,"2,9","9,3","10,6",,,,
08/01/2014 6.00,"2,7","10,5","12,0","20,8",,,
08/01/2014 7.00,"3,2","9,4","9,9",,,,
08/01/2014 8.00,"3,2","17,5","18,9","19,3",,,
08/01/2014 9.00,"3,1","18,0","21,6",,,,
08/01/2014 10.00,"3,0","14,4","18,4","17,1",,,
08/01/2014 11.00,"3,5","13,9","17,8",,,,
08/01/2014 12.00,"4,7","12,1","15,8","28,3",,,
08/01/2014 13.00,"3,6","7,5","9,4",,,,
08/01/2014 14.00,"3,7","8,2","9,6","15,6",,,
08/01/2014 15.00,"3,6","4,7","5,3",,,,
08/01/2014 16.00,"3,6","4,3","5,1","12,2",,,
08/01/2014 17.00,"3,5","7,1","8,1",,,,
08/01/2014 18.00,"3,3","6,9","7,8","8,1",,,
08/01/2014 19.00,"3,2","7,8","8,7",,,,
08/01/2014 20.00,"3,3","7,6","8,4","17,1",,,
08/01/2014 21.00,"3,3","5,5","6,0",,,,
08/01/2014 22.00,"3,3","10,1","10,8","25,6",,,
08/01/2014 23.00,"3,5","7,4","8,2",,,,
09/01/2014 0.00,"3,0","4,1","4,8","14,2",,,
09/01/2014 1.00,"3,4","7,1","7,7",,,,
09/01/2014 2.00,"3,4","4,9","5,8","14,9",,,
09/01/2014 3.00,"3,5","8,8","9,6",,,,
09/01/2014 4.00,"2,8","8,2","9,2","14,2",,,
09/01/2014 5.00,"2,3","6,8","7,5",,,,
09/01/2014 6.00,"3,2","7,2","8,2","19,8",,,
09/01/2014 7.00,"3,0","8,1","9,2",,,,
09/01/2014 8.00,"3,1","12,9","14,1","23,7",,,
09/01/2014 9.00,"3,4","13,9","16,1",,,,
09/01/2014 10.00,"3,2","12,4","14,7","26,1",,,
09/01/2014 11.00,"3,7","9,4","11,6",,,,
09/01/2014 12.00,"2,5","4,7","5,4","18,8",,,
09/01/2014 13.00,"2,7","4,8","5,6",,,,
09/01/2014 14.00,"3,3","5,5","6,4","10,3",,,
09/01/2014 15.00,"3,2","4,9","5,7",,,,
09/01/2014 16.00,"3,5","7,8","8,9","6,3",,,
