,Provincia di TARANTO,,,,,
,MARTINA FRANCA,,,,,
Parm,NOX,NO,NO2,CO,O3,Benzene
,,,,,,,
,,,,,,
,,,,,,
,,,,,
,,,,
04/01/2008 1.00,"17,851559","1,879561","14,980037","0,489888","48,048059","0,679568"
04/01/2008 2.00,"0,43296","52,230935","0,469623",,,
04/01/2008 3.00,"13,462597","0,072746","13,560162","56,216087","0,417248",
04/01/2008 4.00,"6,609382",0,"7,146085","0,280886","0,52332",
04/01/2008 5.00,"7,90117","0,411101","7,55621","0,251099","57,025837","0,669885"
04/01/2008 6.00,"22,092662","4,383386","15,382375","0,286259","48,182122","0,405803"
04/01/2008 7.00,"35,090936","8,619586","21,889895","0,37807","42,294439","0,485028"
04/01/2008 8.00,"49,139775","13,710116","28,137851","0,494296","37,312643","0,180895"
04/01/2008 9.00,"60,265207","19,548433","30,313095","0,647422","34,519085","0,573935"
04/01/2008 10.00,"85,859697","30,250598","39,504614","0,62846","26,957717","0,239433"
04/01/2008 11.00,"72,49566","23,341396","36,732369","0,681238","26,575854","0,990303"
04/01/2008 12.00,"50,475653","14,380055","28,446754","0,528508","34,240143","0,514517"
04/01/2008 13.00,"54,880173","15,464483","31,190455","0,563669","32,807497","0,451577"
04/01/2008 14.00,"52,239528","14,420669","30,149563","0,517684","32,831876","0,433532"
04/01/2008 15.00,"46,517277","13,931745","25,173507","0,448153","34,693768","0,463461"
04/01/2008 16.00,"40,211366","10,38748","24,301348","0,449893","36,483921","0,248235"
04/01/2008 17.00,"45,189182","13,222888","24,932096","0,474229","36,788596","0,762313"
04/01/2008 18.00,"55,16292","16,765466","29,477264","0,60515","33,840685","0,730183"
04/01/2008 19.00,"40,590095","11,448228","23,052792","0,581368","38,29977","0,862663"
04/01/2008 20.00,"27,716332","6,702807","17,451184","0,480786","42,599115","0,566012"
04/01/2008 21.00,"24,351995","5,696201","15,62897","0,405882","44,103527","0,541365"
04/01/2008 22.00,"16,60387","3,479978","11,27591","0,313913","47,203096","0,534763"
04/01/2008 23.00,"8,648226","0,913557","7,25251","0,209065","51,850407","0,363991"
05/01/2008 0.00,"5,527707","0,231774","5,175914","0,197925","52,661538","0,434413"
05/01/2008 1.00,"4,375992","0,208088","4,176552","0,185599","53,120585","0,312055"
05/01/2008 2.00,"2,586167",0,"2,972128","0,182438","55,627044","0,169892"
05/01/2008 3.00,"2,041439",0,"2,704765","0,14222","55,792249","0,081865"
05/01/2008 4.00,"0,425409",0,"1,367958","0,101292","61,468704","0,202461"
05/01/2008 5.00,"16,251091","7,976712","4,625615","0,214988","64,347548","0,217867"
05/01/2008 6.00,"14,33157","2,862481","9,95987","0,174457","57,143663","0,091988"
05/01/2008 7.00,"8,152783","1,219768","6,286893","0,161579","59,468677","0,078784"
05/01/2008 8.00,"9,929639","2,072423","6,756723","0,200057","58,576314","0,088467"
05/01/2008 9.00,"12,028143","2,686537","7,914423","0,251889","56,4991","0,119716"
05/01/2008 10.00,"12,15784","2,711913","8,005276","0,268877","56,216087","0,213906"
05/01/2008 11.00,"10,388766","2,275436","6,904679","0,244778","59,413156","0,272003"
05/01/2008 12.00,"11,195485","2,79481","6,915063","0,256235","59,314302","0,194979"
05/01/2008 13.00,"11,916603","3,043502","7,255107","0,241617","57,7679","0,114435"
05/01/2008 14.00,"10,093055","2,041971","6,966978","0,199346","60,055007","0,046215"
05/01/2008 15.00,"6,803928","0,903407","5,42251","0,180463","60,883729","0,105633"
05/01/2008 16.00,"6,998474","1,099653","5,316085","0,199267","60,600697","0,009242"
05/01/2008 17.00,"7,221555","1,108112","5,52634","0,218862","59,895205","0,107393"
05/01/2008 18.00,"19,410509","4,369852","12,719141","0,256155","55,449648","0,238553"
05/01/2008 19.00,"18,274373","3,73036","12,563402","0,261055","58,681926","0,449817"
05/01/2008 20.00,"11,79728","2,953836","7,273274","0,203297","61,828901","0,187497"
05/01/2008 21.00,"7,416101","1,081043","5,762553","0,212541","62,860734","0,172972"
05/01/2008 22.00,"5,704094","0,62934","4,742425","0,181647","63,609556","0,212585"
05/01/2008 23.00,"3,512206","0,165794","3,270638","0,147752","65,609582","0,13336"
06/01/2008 0.00,"2,020686",0,"2,193404","0,132977","66,447768","0,090668"
06/01/2008 1.00,"2,96229","0,005075","3,073362","0,13029","64,629206","0,00132"
06/01/2008 2.00,"0,115041","65,510732","0,122798",,,
06/01/2008 3.00,"9,081416",0,"9,71587","66,484336","0,03257",
06/01/2008 4.00,"4,0725",0,"4,944893","0,173656","0,057658",
06/01/2008 5.00,"5,512143",0,"6,214212","0,278258","60,909444","0,00176"
06/01/2008 6.00,"8,560033","0,050753","9,015019","0,294146","53,654088","0,405364"
06/01/2008 7.00,"16,072109","0,380649","15,784712","0,461274","44,118428","0,288728"
06/01/2008 8.00,"14,915207","0,050753","15,161737","0,358165","44,79142","0,29489"
06/01/2008 9.00,"9,164422","0,473697","8,469913","0,25254","53,238389","0,182656"
06/01/2008 10.00,"14,819233","1,881253","11,943011","0,373187","49,90726","0,161089"
06/01/2008 11.00,"22,090062","2,886166","17,67701","0,509799","43,912603","0,413726"
06/01/2008 12.00,"27,381713","4,380001","20,680286","0,566348","42,225372","0,541806"
06/01/2008 13.00,"26,198874","3,537498","20,789309","0,516249","42,107549","0,742947"
06/01/2008 14.00,"24,074432","3,403849","18,868458","0,45333","45,935632","0,563372"
06/01/2008 15.00,"9,296714","0,150568","9,157786","0,28046","53,999402","0,108713"
06/01/2008 16.00,"5,05042","0,153951","4,817701","0,206452","58,767234","0,16417"
06/01/2008 17.00,"9,968546","0,705469","8,89302","0,269921","56,488266","0,123238"
06/01/2008 18.00,"15,122725","1,104729","13,438161","0,351165","50,685887","0,412406"
06/01/2008 19.00,"17,005931","1,399097","14,871017","0,346289","49,186863","0,549728"
06/01/2008 20.00,"9,903699","1,094578","8,231107","0,27936","57,900605","0,209504"
06/01/2008 21.00,"11,21883","1,194392","9,393998","0,292572","56,763155","0,316897"
06/01/2008 22.00,"9,522389","0,891565","8,16102","0,252462","57,91551","0,231511"
06/01/2008 23.00,"6,89731","0,346813","6,393319","0,236653","58,379964","0,158008"
07/01/2008 0.00,"6,892123","0,099815","6,95919","0,244361","55,954741","0,069101"
07/01/2008 1.00,"9,799941","1,143639","8,220722","0,240036","52,193009","0,073943"
07/01/2008 2.00,"6,196945","0,08628","6,64251","0,198194","54,122613","0,249557"
07/01/2008 3.00,"2,202263",0,"3,026639","0,159106","56,423267","0,086266"
07/01/2008 4.00,"2,254141",0,"2,961743","0,148803","56,814608","0,298411"
07/01/2008 5.00,"6,89731","0,603963","6,613956","0,165083","56,514001","0,053256"
07/01/2008 6.00,"5,102298","0,240232","5,121403","0,174048","54,06033","0,082305"
07/01/2008 7.00,"36,80814","9,198173","22,720544","0,438702","33,323404","0,160649"
07/01/2008 8.00,"174,30558","76,341264","57,29325","1,287241","5,053559","0,914599"
07/01/2008 9.00,"328,842576","170,014603","68,210961","2,75899","4,417125","2,738956"
07/01/2008 10.00,"93,638954","33,057247","42,982925","0,870876","18,116704","2,023737"
07/01/2008 11.00,"42,919484","11,397474","25,461644","0,464184","36,814335","0,645237"
07/01/2008 12.00,"65,956332","23,250027","30,32866","0,558955","38,122397","0,439254"
07/01/2008 13.00,"61,551812","21,529504","28,560959","0,459308","39,966693","0,373234"
07/01/2008 14.00,"77,872949","27,716321","35,400754","0,633592","35,502182","0,783879"
07/01/2008 15.00,"63,834471","20,093185","33,048995","0,520888","34,494728","0,548407"
07/01/2008 16.00,"64,2158","15,056776","41,158092","0,656479","20,24131","0,610026"
07/01/2008 17.00,"79,330733","21,346795","46,632532","0,938356","11,855275","0,855621"
07/01/2008 18.00,"85,724807","23,965657","49,012817","1,010712","15,002238","1,171638"
07/01/2008 19.00,"71,372511","18,31343","43,322953","0,795294","15,883767","0,94849"
