SIMAGE Brindisi,,,,,,,
,Torchiarolo,,,,,,,
Parm,SO2,NO2,CO,PM10,O3,BENZENE,NOX



03/01/2010 15.00,"3,4130876","6,78268042",,"25,20000076","64,90363425","1,94924119","15,06565754"
03/01/2010 16.00,"2,71058162","7,23044597",,"25,20000076","65,3396016","1,3373906","15,4923624"
03/01/2010 17.00,"2,9993303","9,65227503",,"25,20000076","62,0200014","1,44909686","17,63755948"
03/01/2010 18.00,"3,90011567","12,37131876",,"25,20000076","54,78631095","1,31980565","20,73732256"
03/01/2010 19.00,"3,97174197","15,98977685",,"25,20000076","59,34819765","2,35821553","26,10031048"
03/01/2010 20.00,"3,02460071","12,61920574",,"25,20000076","65,7632598","1,23908026","22,11470824"
03/01/2010 21.00,"3,56007766","13,80935117",,"25,20000076","66,22520205","1,39106887","22,78264632"
03/01/2010 22.00,"3,35895675","14,62052482",,"25,20000076","59,16916635","1,13713109","23,63216704"
03/01/2010 23.00,"3,98460193","17,79252134",,"25,20000076","51,6635175","2,14931966","28,069116"
04/01/2010 0.00,"3,06318061","12,61920574",,"25,20000076","54,9393873","1,26651892","21,97851648"
04/01/2010 1.00,,"7,1746366",,"38,09999084","60,5440206","0,84317538","14,40420114"
04/01/2010 2.00,"0,64548583",,,"38,09999084","61,1344209","0,70107098",
04/01/2010 3.00,"0,40788819","10,9397623",,"38,09999084","68,1549057","0,60423123","16,95275565"
04/01/2010 4.00,"0,55177844","5,79499858","0,13116269","38,09999084",,"0,54038397","11,5275111"
04/01/2010 5.00,"0,24632452","5,2722291","0,10827976","38,09999084","64,8096498","0,48247599","11,86410722"
04/01/2010 6.00,"8,5978797","11,08123309",,"38,09999084","48,94626765",,"21,27556968"
04/01/2010 7.00,"3,33552711","28,81535048","0,98116999","38,09999084","30,1454475","0,98039207","44,5731176"
04/01/2010 8.00,"5,25319655","55,66311912","1,25819651","38,09999084","6,59343909","1,94054177","98,55579904"
04/01/2010 9.00,"5,84730964","54,03300528","1,39904151","38,09999084","8,03449542","3,06995485","113,2907035"
04/01/2010 10.00,"6,05291856","53,71242024","1,38280025","38,09999084","12,06783879","4,98280065","113,9404967"
04/01/2010 11.00,"5,07802948","58,12130104","1,21971772","38,09999084","20,44581735","3,95833486","99,35992888"
04/01/2010 12.00,"3,52698448","49,0543676","1,28046781","38,09999084","23,2232763","3,95363835","80,08299192"
04/01/2010 13.00,"2,05014386","34,78945184","0,92235963","38,09999084","29,4732123","3,35444331","54,65190056"
04/01/2010 14.00,"1,99556045","33,53181472","0,74886084","38,09999084","26,7923712","1,97674493","50,24349776"
04/01/2010 15.00,"3,443861","23,05539312","0,93802538","38,09999084","36,9911304","2,12376449","36,08051072"
04/01/2010 16.00,"5,55072803","17,21626749","0,90974384","38,09999084","35,118783","3,15458552","30,73308648"
04/01/2010 17.00,"2,35100602","20,29610944",,"38,09999084",,,"37,89759904"
04/01/2010 18.00,"2,21353711","16,54267754","0,81944586","38,09999084","48,822438","2,37233251","31,53073464"
04/01/2010 19.00,"2,6272517","20,60889352","0,90071975","38,09999084","39,2305578","2,35488079","37,14144128"
04/01/2010 20.00,"2,04074881","23,69524392","0,85394617","38,09999084","44,7089076","3,33853234","41,1335252"
04/01/2010 21.00,"1,59421259","19,64067584","0,80720986","38,09999084","56,4713877","2,14799858","34,39703296"
04/01/2010 22.00,"1,12900628","14,68022319","0,8065994","38,09999084","55,8019455","2,13515285","26,23648312"
04/01/2010 23.00,"0,84134376","8,94104162","0,5620927","38,09999084","66,74226615","1,4337127","17,66738859"
05/01/2010 0.00,"0,61944351","7,46406178","0,51737534","38,09999084","68,3361315","1,12878966","14,92947534"
05/01/2010 1.00,"0,45926093","7,07470018","0,40065049","34,5","71,298906","0,86269669","14,14091491"
05/01/2010 2.00,"0,3112081","6,22589264","0,46774284","34,5","65,04340395","0,74378804","13,06831733"
05/01/2010 3.00,"0,57972458","8,81774439","0,64004867","34,5","43,10821935","2,12109995","15,41584034"
05/01/2010 4.00,"0,26851648","8,02214781","0,69235135","34,5","24,36212205","1,61921045","14,8827843"
05/01/2010 5.00,"0,32631055","7,26289261","0,74369989","34,5","31,5829647","1,14113502","14,65581269"
05/01/2010 6.00,"0,21369509","5,39395658","0,51619519","34,5","69,30009555","0,69176849","12,37443532"
05/01/2010 7.00,"1,08357994","7,93908479","0,5599957","34,5","63,53271015","0,44689421","14,87759704"
05/01/2010 8.00,"0,93647801","15,87686942","0,48360082","34,5","55,48288515","0,89825915","24,90968896"
05/01/2010 9.00,"0,84348455","15,33435472","0,44052495","34,5","66,66318435","1,25150698","24,67883408"
05/01/2010 10.00,"1,07192512","14,07022827","0,48470641","34,5","68,8365174","1,22947164","23,74629432"
05/01/2010 11.00,"1,01115835","18,79708232","0,61610909","34,5","67,3544718","1,75205811","31,37769816"
05/01/2010 12.00,"1,14434671","19,87948464","0,55473456","34,5","66,213252","1,94289002","32,77324784"
05/01/2010 13.00,"0,83159276","18,4816941","0,49191077","34,5","71,8456557","1,65129883","30,60599584"
05/01/2010 14.00,"1,23091883","16,92295139","0,5917501","34,5","73,5526974","1,85123188","28,51916256"
05/01/2010 15.00,"0,35687242","12,27916036","0,61645276","34,5","77,44807455","1,91104165","22,1458356"
05/01/2010 16.00,"1,08916835","14,76977554","0,63455919","34,5","76,9967856","1,37891165","24,99658936"
05/01/2010 17.00,"0,8155384","17,67960436","0,63356778","34,5","75,4083666","1,61984302","28,458208"
05/01/2010 18.00,"1,13471368","18,40252774","0,62156129","34,5","74,9652372","1,86557972","29,38424696"
05/01/2010 19.00,"2,28916835","17,70557314","0,62095083","34,5","77,67442725","1,62978827","29,11578304"
05/01/2010 20.00,"0,63954045","13,77950676","0,60364359","34,5","80,23632645","1,49525951","23,89026792"
05/01/2010 21.00,"0,64500988","13,29150318","0,66158836","34,5","82,64010195","1,14313037","23,16265632"
05/01/2010 22.00,"0,21381408","12,80999848","0,58892964","34,5","81,7715787","1,11138472","23,26772072"
05/01/2010 23.00,"0,17409616","9,78595634","0,58401217","34,5","78,10526745","0,74884964","18,65438594"
06/01/2010 0.00,"0,28040826","7,22006381","0,63768605","34,5","76,9504218","0,61793429","15,53516252"
06/01/2010 1.00,,"4,32061714","0,67748478","69,69998169","78,3806772","0,41310032","11,71038434"
06/01/2010 2.00,"0,64686183",,"0,56308295","69,69998169","77,3062899","0,25934009",
06/01/2010 3.00,"0,71781589","12,10913767",,"69,69998169","75,70695825","0,21915333","18,8411501"
06/01/2010 4.00,"0,84308486","6,0571682","0,06538213","69,69998169",,"0,22584824","12,47041198"
06/01/2010 5.00,"0,783329","4,84616476","0,05438919","69,69998169","53,81526465","0,21702068","11,17974124"
06/01/2010 6.00,"0,92419265","9,60036041","0,14626575","69,69998169","39,0125043",,"19,20688128"
06/01/2010 7.00,"1,46009165","11,00595","0,36195269","69,69998169","26,731803","0,40906588","18,39109971"
06/01/2010 8.00,"3,144564","17,30322716","0,48569782","69,69998169","16,61740437","0,83356168","27,6683608"
06/01/2010 9.00,"2,21640098","14,22727039","0,20616772","69,69998169","32,87283195","1,3471782","24,65548856"
06/01/2010 10.00,"1,89318211","13,39662876","0,26994798","69,69998169","35,25358515","1,39018612","25,44273544"
06/01/2010 11.00,"2,50239969","13,49007776","0,19890511","69,69998169","46,16978625","1,16725565","27,3480052"
06/01/2010 12.00,"3,02087138","14,97354885","0,17880304","69,69998169","43,253595","1,65052184","29,23509184"
06/01/2010 13.00,"3,25992129","18,79837483","0,13685838","69,69998169","46,5098739","2,22177685","34,57471512"
06/01/2010 14.00,"3,99367967","16,48816642","0,21180982","69,69998169","57,7443174","3,23443832","30,81870584"
