SIMAGE Brindisi,,,,,,,
,Torchiarolo,,,,,,,
Parm,SO2,NO2,CO,PM10,O3,BENZENE,NOX



16/02/2010 17.00,"3,46539394","22,09235696","0,71085038",31,"83,3768355","2,70983515","28,7967276"
16/02/2010 18.00,"2,31961631","20,90221344","0,6628885",31,"85,20499365","2,41463056","26,50626632"
16/02/2010 19.00,"2,7901812","24,1793432","0,78788717",31,"79,3820874","2,56237625","30,72788584"
16/02/2010 20.00,"2,87987246","22,67769664","0,74427423",31,"80,440794","2,61145057","28,57623576"
16/02/2010 21.00,"1,81295912","17,02418223","0,58941777",31,"79,55200155","2,31954411","22,39615464"
16/02/2010 22.00,"1,46727675","15,94175506","0,55556054",31,"78,8120361","1,91889391","22,15879896"
16/02/2010 23.00,"1,09515645","7,88976475","0,47158851",31,"86,7003858","1,57231658","10,82065999"
17/02/2010 0.00,"0,78457482","5,38487076","0,39972315",31,"94,0200807","1,02243993","7,44333761"
17/02/2010 1.00,,"3,98187193","0,36994342",62,"98,19032895","0,76331749","5,13731647"
17/02/2010 2.00,"1,79755564",,"0,34020214",62,"96,7609314","0,76443212",
17/02/2010 3.00,"1,66196208","13,7094224",,62,"105,620906","0,7216571","14,68953463"
17/02/2010 4.00,"1,57680765","5,8209559","0,2749668",62,,"0,61571723","6,06335543"
17/02/2010 5.00,"2,01594215","4,54164626","0,19720654",62,"97,5505524","0,5127236","4,93031762"
17/02/2010 6.00,"1,73141911","5,49908599","0,23847434",62,"82,4206719","0,43911111","6,00239896"
17/02/2010 7.00,"2,14710566","9,90665707","0,36090302",62,"61,9297476","0,82563314","11,42245626"
17/02/2010 8.00,"1,99813956","15,32396874","0,39844398",62,"55,19053785","1,07987297","19,34307304"
17/02/2010 9.00,"4,00294963","23,6004852","0,58249301",62,"53,7454197","1,57009545","33,59292224"
17/02/2010 10.00,"6,41511396","17,72763571","0,66674931",62,"59,3646963","2,45134832","23,70480392"
17/02/2010 11.00,"4,98499025",,,62,"52,6102248","4,0521409",
17/02/2010 12.00,"6,57742208",,,62,"51,35838225",,
17/02/2010 13.00,,,,62,,,
17/02/2010 14.00,,,,62,,,
17/02/2010 15.00,,,,62,,"4,45726285",
17/02/2010 16.00,"7,78789717","32,23425504","0,78852326",62,"51,63871965","4,02725084","38,71671896"
17/02/2010 17.00,"6,19771699","18,30648415","0,7857226",62,"50,89442505","4,54168504","25,40902688"
17/02/2010 18.00,"7,77340797","22,0365648","1,00221805",62,"40,02311145","4,34752042","29,25325584"
17/02/2010 19.00,"12,77757783","34,12883672","1,31616458",62,"22,85833095","6,79569672","47,97508184"
17/02/2010 20.00,"14,36051799","42,30542824","1,75315957",62,"11,79640907","8,45825272","66,11457"
17/02/2010 21.00,"9,61895889","39,01271568","1,26667887",62,"11,60437635","8,3749472","63,89802664"
17/02/2010 22.00,"6,87870527","27,8562148","0,90791596",62,"19,44388047","5,1903134","44,04785296"
17/02/2010 23.00,"5,42979453","20,29870976","0,70192532",62,"21,5884137","3,37283067","30,52299592"
18/02/2010 0.00,"2,89740046","12,89045735","0,47566601",62,"37,91080545","2,654968","19,75161008"
18/02/2010 1.00,"2,00556468","11,41997639","0,3318421","59,20000076","39,6572883","1,22541483","15,51570792"
18/02/2010 2.00,"1,72725348","6,11687231","0,29056615","59,20000076","41,2509741","0,92037788","9,0541804"
18/02/2010 3.00,"1,56126281","6,76321244","0,24049794","59,20000076","39,11063835","0,62961046","9,25520999"
18/02/2010 4.00,"1,54997309","5,0331488","0,25010686","59,20000076","39,20875245","0,52550322","7,48224681"
18/02/2010 5.00,"1,30528797","3,50814907","0,21046541","59,20000076","55,7133675","0,79662932","5,30073511"
18/02/2010 6.00,"1,74310037","5,37708318","0,21863439","59,20000076","54,58641195","0,40652033","7,72478018"
18/02/2010 7.00,"1,66129798","7,5497232","0,30387045","59,20000076","53,18895435","0,48654297","10,35634226"
18/02/2010 8.00,"2,08471169","13,51084782","0,28515822","59,20000076","51,58405665","0,52749959","17,24068564"
18/02/2010 9.00,"2,99873332","17,57708101","0,39225783","59,20000076","52,6829625","1,09533544","24,96934336"
18/02/2010 10.00,"2,47323111","11,96897086","0,37926459","59,20000076","59,7879954","1,37473789","17,14341073"
18/02/2010 11.00,"1,97350782","10,72301033","0,39054645","59,20000076","56,2221723","1,42678998","15,04231202"
18/02/2010 12.00,"3,10118387","10,52573973","0,33390415","59,20000076","67,94848305","1,23675641","14,63635809"
18/02/2010 13.00,"2,77104329","10,17012685","0,35218882","59,20000076","73,87052085","1,34449637","13,85298683"
18/02/2010 14.00,"4,70488608","12,46346378","0,50445432","59,20000076","69,96127845","2,4100866","17,44820074"
18/02/2010 15.00,"4,38576368","9,88978558","0,47274768","59,20000076","69,15250545","3,09232478","14,4353285"
18/02/2010 16.00,"5,45515037","9,87810518","0,54915304","59,20000076","69,4903188","3,10920901","14,73233475"
18/02/2010 17.00,"7,60953063","13,50954574","0,71569678","59,20000076","63,5472537","3,88734317","19,91502872"
18/02/2010 18.00,"9,52659088","20,32077424","1,0555133","59,20000076","53,9220171","4,40343609","25,8992828"
18/02/2010 19.00,"13,60708371","31,17227288","1,5482186","59,20000076","35,42144445","8,23696979","41,80666392"
18/02/2010 20.00,"16,99934823","39,02309784","1,82244562","59,20000076","20,19656205","11,40424137","55,65705808"
18/02/2010 21.00,"17,05910715","42,24053496","1,62777528","59,20000076","10,71572156","10,39909959","69,29994288"
18/02/2010 22.00,"9,82361794","30,798496","1,07014221","59,20000076","24,12264225","8,17169772","46,8778424"
18/02/2010 23.00,"8,23705929","25,03203784","0,94572953","59,20000076","27,3142233","4,27322552","36,91448688"
19/02/2010 0.00,"6,33536387","19,95607936","0,90426019","59,20000076","22,2906537","3,65815002","28,30127104"
19/02/2010 1.00,,"16,37006218","0,82781522","111,0998001","18,17117022","3,24348962","22,92920112"
19/02/2010 2.00,"2,24648893",,"0,63575215","111,0998001","19,01637591","2,13429654",
19/02/2010 3.00,"1,17377055","18,4816941",,"111,0998001","14,75392275","1,70712095","23,63216704"
19/02/2010 4.00,"0,98808262","12,66593502","0,38949096","111,0998001",,"1,560796","17,6998142"
19/02/2010 5.00,"0,78651627","8,51346106","0,25122177","111,0998001",,"0,93847031","12,05217728"
19/02/2010 6.00,"0,67453034","8,06368027","0,20230109","111,0998001",,"0,64119714","11,16306095"
19/02/2010 7.00,"0,90071114","11,65099762","0,27156267","111,0998001",,"0,69587005","16,65574748"
19/02/2010 8.00,"0,96893048","17,796418","0,22943394","111,0998001",,"0,83874838","24,82668904"
19/02/2010 9.00,"1,85231397","17,82886464","0,24462554","111,0998001",,"0,81199619","23,56861216"
19/02/2010 10.00,"1,5050166","13,82622648","0,31189031","111,0998001",,"1,04995894","19,93449288"
19/02/2010 11.00,"1,12142048","10,64124938","0,27676905","111,0998001",,"1,12427214","15,24074894"
19/02/2010 12.00,"0,9638231","10,74248022","0,28279909","111,0998001",,"0,92074502","15,03582651"
19/02/2010 13.00,"1,44081034","30,07038728","0,33730012","111,0998001",,"0,99214655","49,34598584"
19/02/2010 14.00,"1,52453385","16,54267754","0,35033764","111,0998001",,"1,24732914","24,79814288"
19/02/2010 15.00,"0,95251406","10,1688286","0,3133384","111,0998001",,"1,1467692","13,74144649"
19/02/2010 16.00,"1,54514539","13,6730791","0,42856506","111,0998001",,"1,25388167","18,08112436"
19/02/2010 17.00,"2,68371147","16,68025167","0,42057782","111,0998001",,"1,78609811","22,8760284"
19/02/2010 18.00,"1,3711316","12,52186008","0,33898355","111,0998001",,"1,2585253","16,89439185"
19/02/2010 19.00,"1,68742064","14,73084913","0,42496288","111,0998001",,"1,34710701","19,42867328"
19/02/2010 20.00,"2,15255067","14,37133386","0,47550873","111,0998001",,"2,39519772","19,7153012"
19/02/2010 21.00,"1,97233522","14,11694799","0,47037924","111,0998001",,"1,7363841","19,29378168"
19/02/2010 22.00,"2,12737891","14,97095618","0,53650813","111,0998001",,"1,99630184","20,0265748"
19/02/2010 23.00,"1,67848223","15,76264846","0,50647793","111,0998001",,"1,79146686","25,17037104"
20/02/2010 0.00,"3,66851121","20,01187152","1,02603414","111,0998001",,"2,06923803","30,32066808"
20/02/2010 1.00,"1,09004704","9,83787096","0,49273559","106,3000031",,"3,0738825","14,41846657"
20/02/2010 2.00,"0,88320043","5,85729728","0,31423895","106,3000031",,"1,31344635","8,88946542"
20/02/2010 3.00,"0,6539188","5,69895691","0,20719525","106,3000031",,"0,61272725","8,57429899"
20/02/2010 4.00,"0,34200795","4,78785067","0,18707104","106,3000031",,"0,55697632","7,13076767"
20/02/2010 5.00,"0,45746897","5,61459374","0,24251106","106,3000031",,"0,40061867","7,97768998"
20/02/2010 6.00,"0,50507678","8,9942545","0,25805449","106,3000031",,"1,21935249","15,15125778"
20/02/2010 7.00,"1,87858003","11,28499493","0,29121738","106,3000031",,"0,72400535","15,87626714"
20/02/2010 8.00,"2,36705835","20,56216424","0,41494038","106,3000031",,"1,05710234","32,97035592"
20/02/2010 9.00,"2,36304527","24,99180936","0,53231879","106,3000031",,"1,43896449","40,01814088"
20/02/2010 10.00,"3,47698672","22,66213296","0,59762636","106,3000031",,"1,87223801","35,53320072"
20/02/2010 11.00,"3,30388519","17,34475962","0,56054791","106,3000031",,"2,80801328","27,66186"
20/02/2010 12.00,"2,59798142","15,28243627","0,48717621","106,3000031",,"2,8687953","26,23520208"
20/02/2010 13.00,"3,678908","15,22792515","0,58153422","106,3000031",,"1,9693544","22,80469168"
20/02/2010 14.00,"5,97719986","10,67629252","0,62624692","106,3000031",,"3,72597476","16,63888746"
20/02/2010 15.00,"3,37903538","9,3044459","0,62467999","106,3000031",,"3,26755286","13,93339982"
20/02/2010 16.00,"2,19961133","7,03446788","0,5181454","106,3000031",,"3,45512021","10,73246517"
20/02/2010 17.00,"4,41308437","10,22981949","0,6794548","106,3000031",,"2,78979474","15,21221616"
20/02/2010 18.00,"4,9227224","15,26427036","0,79029639","106,3000031",,"4,10153151","20,5803856"
20/02/2010 19.00,"8,82653486","23,02942816","1,16040524","106,3000031",,"5,25815747","32,04175488"
20/02/2010 20.00,"10,11977952","36,58699952","1,4289925","106,3000031",,"7,01012507","57,48707152"
20/02/2010 21.00,"9,0071144","26,396116","1,09231915","106,3000031",,"7,14433652","42,23594616"
20/02/2010 22.00,"6,02626706","18,40512041","0,9870381","106,3000031",,"5,72759043","30,54504128"
20/02/2010 23.00,"3,45491579","21,34868456","0,98457179","106,3000031",,"3,58965202","30,61894008"
21/02/2010 0.00,"1,91050061","13,62635938","0,63971548","106,3000031",,"2,46688707","19,32360888"
21/02/2010 1.00,,"12,44399579","0,58736737",43,,"1,62602333","18,36905053"
21/02/2010 2.00,"0,90353229",,"0,38655399",43,,"1,14249678",
21/02/2010 3.00,"0,73010633","11,93782438",,43,,"0,74814588","14,99432464"
21/02/2010 4.00,"0,78160315","7,65484878","0,31649788",43,,"0,58287626","9,4821816"
21/02/2010 5.00,"0,48345231","5,1742066","0,26546506",43,,"0,53341548","6,57332216"
21/02/2010 6.00,"0,69589547","7,54323387","0,24788754",43,,"0,48137254","10,0917597"
21/02/2010 7.00,"0,55514979","5,66131919","0,22933142",43,,"0,50909698","7,18912956"
21/02/2010 8.00,"1,37591456","10,78790743","0,31853896",43,,"0,50206544","13,31603987"
21/02/2010 9.00,"3,05729828","10,39724759","0,45054278",43,,"1,48743878","13,31992888"
21/02/2010 10.00,"1,40292404","6,33231838","0,45956571",43,,"1,59824804","8,02827386"
21/02/2010 11.00,"1,30299159","5,38357251","0,38079423",43,,"1,24691014","7,02571283"
21/02/2010 12.00,"2,64538582","8,18178642","0,47176559",43,,"1,2490194","11,58198398"
21/02/2010 13.00,"3,5233487","9,31742456","0,54720283",43,,"2,36027597","12,74147814"
21/02/2010 14.00,"1,13028566","8,08444459","0,40617492",43,,"1,59715274","10,68317954"
21/02/2010 15.00,"1,73186049","5,66910486","0,41406081",43,,"1,17366682","6,88304513"
21/02/2010 16.00,"1,3272389","6,23627671","0,3908377",43,,"1,12186694","8,20984885"
21/02/2010 17.00,"0,85662724","6,05327728","0,38507095",43,,"1,13875626","7,57044163"
21/02/2010 18.00,"3,71093944","15,1747161","0,57799844",43,,"1,04014285","17,65960866"
21/02/2010 19.00,"7,07460693","41,5565552","1,29768884",43,,"3,07617787","53,17465112"
21/02/2010 20.00,"8,95069429","57,48663176","1,3786179",43,,"6,98212909","80,85727544"
21/02/2010 21.00,"5,64320486","45,36451352","1,06270834",43,,"5,67573157","62,80726888"
21/02/2010 22.00,"7,95857316","44,69091592","1,23445264",43,,"4,39605776","63,94341752"
21/02/2010 23.00,"8,20888432","46,7545184","1,34919699",43,,"5,52087603","66,63465312"
22/02/2010 0.00,"4,26242803","40,00819848","1,05435296",43,,"4,36710784","62,8967696"
22/02/2010 1.00,"2,20094157","30,78551352","0,75440973","48,59999084",,"2,81918197","40,37610552"
22/02/2010 2.00,"1,66853902","18,39083968","0,5789386","48,59999084",,"1,83718813","25,06142528"
22/02/2010 3.00,"1,48427997","12,88916675","0,52041016","48,59999084",,"1,49752742","18,17061552"
22/02/2010 4.00,"1,25869717","8,40631832","0,44152102","48,59999084",,"1,2456633","12,84134572"
22/02/2010 5.00,"0,92630903","12,52446422","0,41233428","48,59999084",,"0,98068598","16,46120148"
22/02/2010 6.00,"1,02996268","11,21750515","0,41864974","48,59999084",,"0,79019171","16,20699534"
22/02/2010 7.00,"2,24940772","12,00790874","0,56787576","48,59999084",,"1,23300775","17,2303073"
22/02/2010 8.00,"5,74910914","25,43177968","0,75107434","48,59999084",,"3,16064989","34,0105604"
22/02/2010 9.00,"2,78598099","35,10611728","0,61153763","48,59999084",,"2,35478621","47,23966928"
22/02/2010 10.00,"3,33896965","29,3163136","0,55253853","48,59999084",,"2,01254232","40,34495904"
22/02/2010 11.00,"2,6690026","25,19038968","0,62267852","48,59999084",,"1,98607693","34,21548856"
22/02/2010 12.00,"2,73931594","21,23188048","0,60251587","48,59999084",,"1,87137763","27,93034304"
22/02/2010 13.00,"2,51745434","27,20988232","0,7106302","48,59999084",,"2,73000429","36,42681216"
22/02/2010 14.00,"3,64407779","20,82045632","0,67312768","48,59999084",,"2,84726134","26,59834824"
22/02/2010 15.00,"3,95638934","15,15655019","0,7029412","48,59999084",,"3,0402259","19,45850048"
22/02/2010 16.00,"3,75325376","16,35708161","0,73236327","48,59999084",,"2,89558613","21,14457856"
22/02/2010 17.00,"3,01495447","16,06116137","0,70545177","48,59999084",,"3,02686252","20,85275"
22/02/2010 18.00,"3,2517914","14,78146359","0,7561351","48,59999084",,"2,60366747","19,16927224"
22/02/2010 19.00,"4,83858395","19,98980704","0,84251752","48,59999084",,"2,96213963","26,0276736"
22/02/2010 20.00,"3,67822967","19,409668","0,87064411","48,59999084",,"3,56125433","25,08088944"
22/02/2010 21.00,"3,85999808","22,23772632","0,88064797","48,59999084",,"2,81819345","29,41667448"
22/02/2010 22.00,"4,06340418","21,57192968","0,80466201","48,59999084",,"3,12396263","28,1741804"
22/02/2010 23.00,"3,07545478","16,28439502","0,77202337","48,59999084",,"2,68537935","21,09916856"
23/02/2010 0.00,"1,73062992","10,08057259","0,58705865","48,59999084",,"2,1714323","13,34327631"
23/02/2010 1.00,,"6,59319166","0,52503871","55,5",,"1,27250803","8,64693014"
23/02/2010 2.00,"1,94614239",,"0,42704473","55,5",,"1,13067416",
23/02/2010 3.00,"1,96558234","13,56535894",,"55,5",,"0,78256726","15,58833906"
23/02/2010 4.00,"1,62634674","7,66393461","0,34349559","55,5",,"0,68439524","9,06585316"
23/02/2010 5.00,"1,88422946","5,61595699","0,23810736","55,5",,"1,87517816","6,68564069"
23/02/2010 6.00,"1,52227916","6,5062339","0,2545292","55,5",,"0,77882877","7,86485522"
23/02/2010 7.00,"2,92955596","11,74443706","0,39627592","55,5",,"1,100454","14,29525538"
23/02/2010 8.00,"3,84213345","22,62578584","0,50148357","55,5",,"1,30245461","31,51907144"
23/02/2010 9.00,"4,51383144","28,41300832","0,50425511","55,5",,"1,67730352","44,05559656"
23/02/2010 10.00,"4,12432451","26,39091536","0,60680773","55,5",,"2,5781072","37,95723432"
23/02/2010 11.00,"7,3630739","27,24361","0,82909089","55,5",,"2,71317701","38,25684472"
23/02/2010 12.00,"5,09497982","17,5316538","0,57257187","55,5",,"3,90788962","28,64237184"
23/02/2010 13.00,"3,67275922","13,04620887","0,48395498","55,5",,"2,50285429","19,18613608"
23/02/2010 14.00,"4,69745283","14,8476513","0,53048858","55,5",,"2,48721893","20,23798464"
23/02/2010 15.00,"7,6054728","15,64195154","0,77416464","55,5",,"3,98827534","21,75284312"
23/02/2010 16.00,"6,61400865","19,24871584","0,74305098","55,5",,"5,05430897","26,6294756"
23/02/2010 17.00,"6,12556694","19,24871584","0,67461772","55,5",,"3,77105939","27,3480052"
23/02/2010 18.00,"6,49918833","24,44411696","0,8529431","55,5",,"3,79119497","32,4840196"
23/02/2010 19.00,"8,41468139","27,4798376","0,96201623","55,5",,"5,1411801","35,9378564"
23/02/2010 20.00,"10,75846671","35,601918","1,154981","55,5",,"5,76991696","47,7130996"
23/02/2010 21.00,"14,62772457","33,53569608","1,33904518","55,5",,"7,66088099","50,86214448"
23/02/2010 22.00,"13,19155785","28,04441296","1,26104726","55,5",,"8,11349786","42,27875584"
23/02/2010 23.00,"5,55854368","18,09362884","0,70955723","55,5",,"4,8904835","27,00300392"
24/02/2010 0.00,"3,27857307","11,15780678","0,47560077","55,5",,"1,95059481","16,67260941"
24/02/2010 1.00,"2,52558932","8,78789234","0,41103181","76,5","42,51989385","1,25908566","12,96326249"
24/02/2010 2.00,"2,31645243","8,47510443","0,42407165","76,5","30,2671026","1,11583003","12,05019262"
24/02/2010 3.00,"1,55596627","5,20706241","0,2280604","76,5","39,4337685","0,79268743","7,93489178"
24/02/2010 4.00,"2,12630089","5,34204196","0,26096932","76,5","34,63752915","0,75814808","7,50299774"
24/02/2010 5.00,"1,3841909","5,97929626","0,21564616","76,5","33,47508255","0,77235862","8,35900206"
24/02/2010 6.00,"1,61112835","6,32323256","0,16317922","76,5","59,4347607","0,56424584","9,29801202"
24/02/2010 7.00,"1,84857548","9,35895702","0,25444998","76,5","51,16490715","0,36611797","11,96070146"
24/02/2010 8.00,"5,24676707","20,0923476","0,39252695","76,5","29,15806215","0,75550591","24,80334352"
24/02/2010 9.00,"6,91837336","20,65172232","0,63210454","76,5","36,94734015","3,74089822","28,09506184"
24/02/2010 10.00,"4,97651458","14,83597471","0,54110639","76,5","45,9305259","3,16089397","22,21327184"
24/02/2010 11.00,"4,64277687","11,7314584","0,49070849","76,5","54,03882435","2,67890207","18,15764451"
24/02/2010 12.00,"3,60781564","17,40575816","0,45678485","76,5","48,322491","1,76454992","24,08351376"
24/02/2010 13.00,"3,00552586","16,55305205","0,281464","76,5","47,72963685","1,51411977","22,89807376"
24/02/2010 14.00,"2,62260909","18,12867198","0,3693784","76,5","58,22577075","1,50249139","23,39353032"
24/02/2010 15.00,"2,14932577","11,49135135","0,29340991","76,5","71,8641693","1,2557438","15,95149096"
24/02/2010 16.00,"2,9610555","14,7048899","0,32487423","76,5","67,01043405","1,1896327","19,44683728"
24/02/2010 17.00,"4,45648281","20,69975176","0,54255215","76,5","58,3065483","1,47588871","26,6385576"
24/02/2010 18.00,"17,10638748","41,2048428","1,84985923","76,5","21,20311935","6,19853669","55,5131036"
24/02/2010 19.00,"16,71999867","37,1295104","1,57218032","76,5","5,05319136","11,34926235","59,3651144"
24/02/2010 20.00,"32,18063607","49,15688904","2,98774153","76,5","9,35424378","12,08855016","107,6813162"
24/02/2010 21.00,"25,32605607","34,62071784","2,62172066","76,5","3,61126122","17,9677458","122,6276496"
24/02/2010 22.00,"23,19002046","35,3631092","2,51936143","76,5","5,59985927","13,58065188","128,1319917"
24/02/2010 23.00,"19,45199628","22,31948344","2,16349121","76,5","3,1941167","10,5408999","52,90874928"
25/02/2010 0.00,"13,18973742","22,62968632","1,67262662","76,5","3,76597946","9,43215531","49,5898232"
25/02/2010 1.00,,"16,06765261","1,01990857","65,90000153","3,76515752","6,38387274","32,0741824"
25/02/2010 2.00,"1,27706419",,"0,70674609","65,90000153","10,61936306","2,86797865",
25/02/2010 3.00,"0,54433705","18,89831316",,"65,90000153","20,24196825","1,81143057","27,67484248"
25/02/2010 4.00,"0,19376189","11,12275408","0,31228641","65,90000153",,"1,1031999","18,02275865"
25/02/2010 5.00,"0,16842842","9,93019188","0,26801291","65,90000153","28,3187856","0,68742284","15,78485251"
25/02/2010 6.00,"0,69264005","11,51601806","0,24181206","65,90000153","40,7557353","0,62747069","19,13426352"
25/02/2010 7.00,"1,3253605","13,51214033","0,4222228","65,90000153","33,35941245","0,85822494","18,35089418"
25/02/2010 8.00,"0,89243784","24,08978512","0,41745096","65,90000153","23,86101795","1,32562899","34,73687184"
25/02/2010 9.00,"0,90363704","20,03003552","0,43649754","65,90000153","41,35828515","1,56027733","34,66033448"
25/02/2010 10.00,,,"0,37599676","65,90000153","61,5003039","1,17912302",
25/02/2010 11.00,,"14,80481867","0,35045763","65,90000153","69,67543485","0,78309915","18,51950198"
25/02/2010 12.00,,"11,7392498","0,32984645","65,90000153","71,1023985","0,84239941","15,28614364"
25/02/2010 13.00,,"11,49265342","0,28021745","65,90000153","74,250708","0,60920639","15,11494316"
25/02/2010 14.00,,"9,80277811","0,2982866","65,90000153","79,27278135","0,55728752","12,33401182"
25/02/2010 15.00,"21,49911558","8,1727006","0,3066548","65,90000153","78,6219525","0,86121391","10,23442741"
25/02/2010 16.00,"28,56347217","9,10846782","0,28557529","65,90000153","78,8780307","0,78991","11,19937557"
25/02/2010 17.00,"32,38949736","16,75422886","0,30262739","65,90000153","70,5025818","0,72919815","20,01101112"
25/02/2010 18.00,"31,89234708","37,85631896","0,50795049","65,90000153","44,02591935","1,06966738","45,22289168"
25/02/2010 19.00,"29,43099351","37,9653412","1,45865456","65,90000153","25,71796395","3,96499316","50,36410672"
25/02/2010 20.00,"27,39437982","61,17648584","2,92517171","65,90000153","14,96790845","15,60199023","101,2158882"
25/02/2010 21.00,"26,35206669","48,21075496","2,62015956","65,90000153","7,34747129","17,4823317","93,71417528"
25/02/2010 22.00,"25,25269986","30,26506712","2,1244509","65,90000153","2,77230786","11,8623897","77,647276"
25/02/2010 23.00,"14,76077868","37,33197208","2,39074427","65,90000153","4,63553612","9,7852272","118,1180446"
26/02/2010 0.00,"12,72143943","32,04315064","1,9340666","65,90000153","3,45884921","9,85109219","90,94123992"
26/02/2010 1.00,,"28,19366368","1,85936796",53,"3,484868","8,26454372","65,20797608"
26/02/2010 2.00,,"24,22735352","1,35313818",53,"2,72757198","6,10355601","44,55625376"
26/02/2010 3.00,,"22,11962208","0,83032696",53,"6,23640392","4,03129952","34,36204336"
26/02/2010 4.00,,"25,5719484","0,69817751",53,"8,32068216","2,33952206","36,93913256"
26/02/2010 5.00,,"20,4505608","0,4848765",53,"14,31195444","4,72309648","29,90174888"
26/02/2010 6.00,,"18,33632856","0,50298409",53,"15,35546712","1,4054401","30,17669448"
26/02/2010 7.00,,"23,91456944","0,75852218",53,"14,77344981","1,58448905","40,24379512"
26/02/2010 8.00,,"33,6732836","0,68523203",53,"9,57097659","2,2879571","58,13944592"
26/02/2010 9.00,,"34,65446464","1,08672715",53,"11,72646437","2,85917346","58,7814764"
26/02/2010 10.00,,"34,85046376","0,85875878",53,"21,99309945","4,3231592","64,77219304"
26/02/2010 11.00,,"39,22557864","0,6727176",53,"34,73432655","2,89517628","70,9367296"
26/02/2010 12.00,,"20,229916","0,66947075",53,"47,79599055","2,49482304","29,96010312"
26/02/2010 13.00,,"21,51091776","0,60282925",53,"55,4716533","2,2354799","31,95873584"
26/02/2010 14.00,,"18,28830677","0,52324228",53,"63,98405895","1,96562302","28,24679816"
26/02/2010 15.00,,"12,71135075","0,43461956",53,"65,87799225","1,53601883","17,35352041"
26/02/2010 16.00,,"23,90030592","0,57451393",53,"56,23444155","1,47305941","31,03009656"
26/02/2010 17.00,,"24,10016728","0,61960758",53,"57,0930696","2,55771737","31,07418728"
26/02/2010 18.00,,"25,04111984","0,57678218",53,"54,12688365","3,27668044","33,37113024"
26/02/2010 19.00,,"24,39868784","0,72046979",53,"46,8072486","3,19562452","32,02749136"
26/02/2010 20.00,,"24,3415764","0,69555743",53,"52,4520612","3,47833221","32,79139272"
26/02/2010 21.00,,"27,22026448","0,75543377",53,"42,2059407","2,7312491","37,48644256"
26/02/2010 22.00,,"25,5356204","0,70654571",53,"44,3545956","3,13307597","33,50472168"
26/02/2010 23.00,,"19,22277","0,6363463",53,"46,38684225","2,57874385","25,58670904"
27/02/2010 0.00,,"12,75937446","0,55402158",53,"46,9058415","1,80971997","17,31590754"
27/02/2010 1.00,,"9,66785018","0,49969763","33,70000076","51,0976956","1,40969116","13,53522773"
27/02/2010 2.00,,,"0,78363143","33,70000076","50,78956785","1,10821371",
27/02/2010 3.00,,"17,83405381",,"33,70000076","45,0817731","9,91915593","22,18734512"
27/02/2010 4.00,,"11,35897403","0,38204311","33,70000076",,"1,41324252","15,25371994"
27/02/2010 5.00,,"11,55603431","0,3182349","33,70000076","37,531935","0,81624013","14,80531962"
27/02/2010 6.00,,"17,79252134","0,33721158","33,70000076","27,4521975","0,72639428","24,52447832"
27/02/2010 7.00,,"18,30648415","0,35031667","33,70000076","32,8538196","0,98355189","24,08741424"
27/02/2010 8.00,,"25,68487112","0,41107025","33,70000076","29,8152351","0,9615796","35,29586416"
27/02/2010 9.00,,"31,72646608","0,56625757","33,70000076","30,068241","2,10164881","49,74415984"
27/02/2010 10.00,,"15,25778103","0,37754388","33,70000076","59,793342","1,79999135","20,9694776"
27/02/2010 11.00,,"10,42710347","0,33603843","33,70000076","70,1686587","1,44666419","13,86984685"
27/02/2010 12.00,,"9,95597711","0,32453755","33,70000076","78,23609955","1,16305544","13,24340873"
27/02/2010 13.00,,"10,50886442","0,27332997","33,70000076","81,1307049","0,85123409","13,86984685"
27/02/2010 14.00,,"7,54842495","0,23417083","33,70000076","81,76453635","0,80018882","10,0269104"
27/02/2010 15.00,,"7,40565974","0,2000573","33,70000076","84,73313625","0,75742906","9,40695778"
27/02/2010 16.00,,"8,65421103","0,24199497","33,70000076","85,3858005","0,81204297","11,67277147"
27/02/2010 17.00,,"8,94493637","0,22935938","33,70000076","81,52768995","0,75180403","11,48600731"
27/02/2010 18.00,,"19,63549432","0,34456623","33,70000076","66,34957035","0,84259264","24,0731316"
27/02/2010 19.00,,"33,10480776","0,72207166","33,70000076","55,1009025","1,30641989","50,03595016"
27/02/2010 20.00,,"29,33579688","1,0546279","33,70000076","33,0018486","7,91194371","37,69915256"
27/02/2010 21.00,,"26,98275584","0,60795875","33,70000076","35,7295722","4,37933319","34,42817944"
27/02/2010 22.00,,"18,02095181","0,48754901","33,70000076","50,022231","1,92987446","22,76190112"
27/02/2010 23.00,,"22,63356768","0,79546084","33,70000076","37,83559395","2,04437238","27,58534176"
28/02/2010 0.00,,"14,20390766","0,44029195","33,70000076","43,48080555","3,34355734","17,94883308"
28/02/2010 1.00,,"19,26689896","0,79960707","38,59999084","33,37461435","1,8962982","23,72424896"
28/02/2010 2.00,,"18,16242069","0,65826694","38,59999084","31,6992333","2,34577661","21,98629832"
28/02/2010 3.00,,"12,03776271","0,3978475","38,59999084","36,7805781","1,49643007","14,76735303"
28/02/2010 4.00,,"11,4303509","0,53863892","38,59999084","29,04147435","1,29957142","14,27839345"
28/02/2010 5.00,,"11,17078543","0,46349059","38,59999084","30,4611762","1,50366603","13,6934572"
28/02/2010 6.00,,"10,94235688","0,42671737","38,59999084","33,66528585","1,31648311","13,96582351"
28/02/2010 7.00,,"14,56211704","0,4785121","38,59999084","32,1607965","1,2936362","18,35608334"
