"NetC","SIMAGE Brindisi","","","","",""
"Stat","MESAGNE 2","","","","",""
"Parm","NOX","NO2","CO","O3","BENZENE","TOLUENE"
"PtId","1","3","4","5","6","7"
"Unit","ug/m3 293K","ug/m3 293K","mg/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3 293K"
"Field","Aver","Aver","Aver","Aver","Aver","Aver"
"2013-01-03 15:00:00","","","0.61985922","60.30875025","0.5409423","3.24428085"
"2013-01-03 16:00:00","","","0.68867111","58.6239129","0.65520225","3.21743205"
"2013-01-03 17:00:00","","","0.82854684","49.2651684","0.64930365","3.5565507"
"2013-01-03 18:00:00","","","0.9193481","36.2026665","0.8543817","4.83934365"
"2013-01-03 19:00:00","","","1.00659262","35.3653251","1.16746515","5.40082935"
"2013-01-03 20:00:00","","","1.09089319","32.0574156","1.2419604","5.5593288"
"2013-01-03 21:00:00","","","1.07485114","30.32860845","0.96803145","4.8247497"
"2013-01-03 22:00:00","","","1.20190487","29.26966245","1.05864615","4.9287888"
"2013-01-03 23:00:00","","","1.25991022","29.22313905","1.42313895","5.00969115"
"2013-01-04 00:00:00","","","0.96352374","30.97478895","1.03332285","4.2624504"
"2013-01-04 01:00:00","","","0.69274162","44.4711834","0.4724982","2.4821919"
"2013-01-04 02:00:00","","","0.56784081","50.25307245","0.54709515","2.31067485"
"2013-01-04 03:00:00","","","0.48980212","50.68020195","0.32935545","1.53348345"
"2013-01-04 04:00:00","","","0.45708542","","0.35844165","1.57701105"
"2013-01-04 05:00:00","","","0.42792547","48.78475245","0.33525405","1.3952223"
"2013-01-04 06:00:00","","","0.43065157","50.39008905","0.28908225","1.3573899"
"2013-01-04 07:00:00","","","0.42772742","49.75488105","0.3289995","1.4472927"
"2013-01-04 08:00:00","","","0.46133301","44.9406069","0.3016422","1.5115671"
"2013-01-04 09:00:00","","","0.49243036","47.30290635","0.43258095","2.10778335"
"2013-01-04 10:00:00","","","0.49843593","48.85242285","0.47865105","2.19839805"
"2013-01-04 11:00:00","","","0.5014195","48.49547745","0.3445596","2.0315592"
"2013-01-04 12:00:00","","","0.49086926","49.811559","0.7874631","3.1138506"
"2013-01-04 13:00:00","","","0.49750743","49.7134449","0.34867845","2.00659185"
"2013-01-04 14:00:00","","","0.49966151","51.3923571","0.3424239","1.83176955"
"2013-01-04 15:00:00","","","0.49381321","56.41977705","0.3306267","1.654659"
"2013-01-04 16:00:00","","","0.51040864","57.22918845","0.4086306","1.64982825"
"2013-01-04 17:00:00","63.68835672","17.7798314","0.56693211","","0.3667302","4.2687558"
"2013-01-04 18:00:00","73.4924044","79.8052548","0.65085754","40.1770656","0.43522515","9.89836032"
"2013-01-04 19:00:00","53.3251064","59.56516696","0.62863167","40.6321251","0.52065315","12.93323985"
"2013-01-04 20:00:00","50.38422096","55.33458016","0.66047928","39.3820182","0.5488749","13.2500862"
"2013-01-04 21:00:00","52.34589472","54.9779348","0.70070323","35.78908305","0.487143","12.08286513"
"2013-01-04 22:00:00","48.50942848","50.89652224","0.66281044","35.21560035","0.562401","12.60952875"
"2013-01-04 23:00:00","47.04709264","49.37011528","0.64145366","33.63651795","0.4675149","10.2254265"
"2013-01-05 00:00:00","41.99992888","44.82423968","0.57337223","34.85278965","0.449514","8.86371333"
"2013-01-05 01:00:00","37.85025792","41.06786712","0.51671129","37.6269768","0.33545745","6.94900845"
"2013-01-05 02:00:00","34.28745624","37.57091472","0.48304628","38.50914585","0.32264325","6.18686865"
"2013-01-05 03:00:00","32.17727744","34.71757976","0.45429991","38.64616245","0.3182193","5.95865385"
"2013-01-05 04:00:00","31.96133616","34.45087488","0.44122162","39.20272755","0.2530296","4.9707909"
"2013-01-05 05:00:00","30.50418184","33.26170648","0.42209698","38.48548515","0.2850651","4.95477315"
"2013-01-05 06:00:00","31.42373912","33.93939576","0.44489603","36.615432","0.3032694","4.58244945"
"2013-01-05 07:00:00","32.20387336","34.60974296","0.43300254","37.131339","0.26670825","4.30623225"
"2013-01-05 08:00:00","40.40203224","42.48398992","0.50432384","31.45267125","0.3855447","4.94694225"
"2013-01-05 09:00:00","40.61864272","41.45372784","0.54573377","34.06787685","0.39444345","5.12827335"
"2013-01-05 10:00:00","43.06604096","43.3002992","0.59587537","33.17810685","0.53275545","5.98489245"
"2013-01-05 11:00:00","45.4861932","45.4435556","0.66934959","34.7157531","0.53824725","6.0656931"
"2013-01-05 12:00:00","42.22235184","42.41833184","0.64824911","36.95795355","0.4816512","5.0588631"
"2013-01-05 13:00:00","39.0979144","42.90797592","0.63856912","36.9537441","0.6033861","5.6558421"
"2013-01-05 14:00:00","35.65445976","40.60340408","0.64155269","42.81004665","0.76686885","5.2349058"
"2013-01-05 15:00:00","29.56712976","36.07940176","0.56023452","44.63866365","0.46573515","3.9453498"
"2013-01-05 16:00:00","28.41734856","35.45601328","0.54395481","42.3516156","0.4867362","3.731373"
"2013-01-05 17:00:00","29.08010512","36.2966432","0.59237804","39.3507366","0.5053473","3.5701785"
"2013-01-05 18:00:00","34.14088232","40.41453672","0.68560949","34.1803749","0.61187805","4.048677"
"2013-01-05 19:00:00","35.1570912","40.75171792","0.69890564","30.53497125","0.834957","4.7159307"
"2013-01-05 20:00:00","37.76853904","42.24001872","0.73355856","27.2152314","0.6481341","3.9522654"
"2013-01-05 21:00:00","34.60068008","39.57392592","0.66450901","27.81574635","0.6756948","3.9075174"
"2013-01-05 22:00:00","33.13316272","37.88867","0.65245825","28.390047","0.57974085","3.43862955"
"2013-01-05 23:00:00","31.0411288","35.2347184","0.59135051","29.0370654","0.51505965","3.2023296"
"2013-01-06 00:00:00","25.22031248","29.88390992","0.46947287","35.03884335","0.4095459","2.5977231"
"2013-01-06 01:00:00","23.0316652","27.58501672","0.42099023","40.79705175","0.25796205","1.97852265"
"2013-01-06 02:00:00","20.78724488","25.88354704","0.36304546","45.6857394","0.2924892","1.90621395"
"2013-01-06 03:00:00","18.49421005","23.11776256","0.33769739","51.18090705","0.2245536","1.49839695"
"2013-01-06 04:00:00","16.73940322","20.92423968","0.31161886","","0.21473955","1.371933"
"2013-01-06 05:00:00","15.12726409","18.90908154","0.30918867","53.7005322","0.19745055","1.26174105"
