"NetC","SIMAGE Brindisi","","","",""
"Stat","P.za San Giusto Casale","","","",""
"Parm","SO2","NOX","NO","NO2","PM10"
"PtId","1","2","3","4","5"
"Unit","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3"
"Arch","2","2","2","2","4"
"Field","Aver","Aver","Aver","Aver","Aver"
"2013-01-03 22:00:00","0.649708","12.391295","0.406695","12.706306","27.35042"
"2013-01-03 23:00:00","0.649708","10.599525","0.403317","10.918921",""
"2013-01-04 00:00:00","0.655123","15.303652","0.404584","15.623213","17.3382"
"2013-01-04 01:00:00","0.643392","9.076229","0.414297","9.37808",""
"2013-01-04 02:00:00","","7.174216","0.49665","7.348703","15.38461"
"2013-01-04 03:00:00","0.664147","","","",""
"2013-01-04 04:00:00","0.649708","7.507539","0.758066","7.280582","28.571421"
"2013-01-04 05:00:00","0.700241","6.926493","0.410919","7.232572",""
"2013-01-04 06:00:00","0.707461","8.254595","0.470044","8.470441","27.10622"
"2013-01-04 07:00:00","0.721898","8.133976","0.584915","8.1733",""
"2013-01-04 08:00:00","0.649708","9.226677","0.418943","9.521462","29.30402"
"2013-01-04 09:00:00","0.756188","9.281798","0.768202","9.040067",""
"2013-01-04 10:00:00","0.797698","9.499692","1.15885","8.657938","24.42001"
"2013-01-04 11:00:00","0.713777","10.368015","1.186722","9.49486",""
"2013-01-04 12:00:00","0.649708","13.284262","1.641141","11.703292","12.21001"
"2013-01-04 13:00:00","0.649708","10.592392","0.963738","10.050864",""
"2013-01-04 14:00:00","0.667756","9.443272","0.922772","8.964161",""
"2013-01-04 15:00:00","0.655123","7.41221","0.66938","7.321455",""
"2013-01-04 16:00:00","0.689413","6.886936","0.77876","6.627913","16.60561"
"2013-01-04 17:00:00","0.649708","6.096429","0.527479","6.223074",""
"2013-01-04 18:00:00","0.759799","6.171005","0.505096","6.33207","12.69841"
"2013-01-04 19:00:00","0.859059","6.152849","0.718791","5.985623",""
"2013-01-04 20:00:00","0.667756","6.789015","0.465398","7.011338","13.91941"
"2013-01-04 21:00:00","0.653318","6.519891","0.416409","6.817354",""
"2013-01-04 22:00:00","0.651514","10.203948","0.426545","10.487482","18.55921"
"2013-01-04 23:00:00","0.696632","5.014753","0.396982","5.341386",""
"2013-01-05 00:00:00","0.649708","11.22791","0.430767","11.505419","27.10622"
"2013-01-05 01:00:00","0.673171","9.580102","0.388958","9.921108",""
"2013-01-05 02:00:00","0.859962","8.00363","0.410075","8.31149","21.48962"
"2013-01-05 03:00:00","0.788674","6.676826","0.421055","6.967223",""
"2013-01-05 04:00:00","1.100895","6.809766","0.364042","7.187808","21.24542"
"2013-01-05 05:00:00","1.172183","5.102298","0.408384","5.411455",""
"2013-01-05 06:00:00","1.478087","6.768262","0.502562","6.933486","18.80341"
"2013-01-05 07:00:00","0.919518","8.559383","0.398671","8.885011",""
"2013-01-05 08:00:00","0.913202","8.382347","0.441326","8.642368","20.26862"
"2013-01-05 09:00:00","1.164061","9.132646","0.555774","9.217184",""
"2013-01-05 10:00:00","1.1027","12.121526","1.451519","10.83134","11.23321"
"2013-01-05 11:00:00","1.837232","13.072208","1.16265","12.226205",""
"2013-01-05 12:00:00","1.884155","12.917867","1.591307","11.413294","5.372406"
"2013-01-05 13:00:00","1.949126","9.112544","1.210795","8.190816",""
"2013-01-05 14:00:00","1.949126","9.4316","1.182922","8.552834","2.686203"
"2013-01-05 15:00:00","1.834034","11.384621","1.76231","9.616664",""
"2013-01-05 16:00:00","1.712704","9.292822","0.716257","9.130895","1.221001"
"2013-01-05 17:00:00","1.642319","9.308386","0.502562","9.474747",""
"2013-01-05 18:00:00","1.869717","10.899126","0.527901","11.027271","0.976801"
"2013-01-05 19:00:00","1.91664","11.332964","0.54226","11.439241",""
"2013-01-05 20:00:00","1.862498","11.748645","0.439637","12.012761","12.21001"
"2013-01-05 21:00:00","1.91664","11.347878","0.597585","11.369176",""
"2013-01-05 22:00:00","1.940102","9.903699","0.662199","9.825089","25.39682"
"2013-01-05 23:00:00","1.941907","7.834374","1.407597","6.609747",""
"2013-01-06 00:00:00","1.949126","10.516518","3.432628","6.182203","32.722832"
"2013-01-06 01:00:00","1.949126","5.758567","1.837942","3.871905",""
"2013-01-06 02:00:00","","6.008234","1.540206","4.579072","16.11721"
"2013-01-06 03:00:00","3.293662","","","",""
"2013-01-06 04:00:00","3.069873","4.125677","0.770314","3.878393","7.814408"
"2013-01-06 05:00:00","2.22074","5.138612","1.310885","4.061348",""
"2013-01-06 06:00:00","3.223277","5.525112","1.205305","4.610214","3.907204"
"2013-01-06 07:00:00","2.905641","5.482312","1.170252","4.621243",""
"2013-01-06 08:00:00","2.010487","10.762944","3.000593","7.092438","1.953602"
"2013-01-06 09:00:00","2.212619","7.418695","2.03221","5.234339",""
