,,,Provincia Bari,,,,
,Altamura,,,,
Parm,NO2,CO,O3,PM10,Benzene,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
07/01/2009 8.00,,,,,,,
07/01/2009 9.00,,,,,,,
07/01/2009 10.00,,,,,,,
07/01/2009 11.00,,,,,,,
07/01/2009 12.00,,,,,,,
07/01/2009 13.00,,,,,,,
07/01/2009 14.00,,,,,,,
07/01/2009 15.00,,,,,,,
07/01/2009 16.00,,,,,,,
07/01/2009 17.00,,,,,,,
07/01/2009 18.00,,,,,,,
07/01/2009 19.00,,,,,,,
07/01/2009 20.00,,,,,,,
07/01/2009 21.00,,,,,,,
07/01/2009 22.00,,,,,,,
07/01/2009 23.00,,,,,,,
08/01/2009 0.00,,,,,,,
08/01/2009 1.00,,,,,,,
08/01/2009 2.00,,,,,,,
08/01/2009 3.00,,,,,,,
08/01/2009 4.00,,,,,,,
08/01/2009 5.00,,,,,,,
08/01/2009 6.00,,,,,,,
08/01/2009 7.00,,,,,,,
08/01/2009 8.00,,,,,,,
08/01/2009 9.00,,,,,,,
08/01/2009 10.00,,,,,,,
08/01/2009 11.00,,,,,,,
08/01/2009 12.00,,,,,,,
08/01/2009 13.00,,,,,,,
08/01/2009 14.00,,,,,,,
08/01/2009 15.00,,,,,,,
08/01/2009 16.00,,,,,,,
08/01/2009 17.00,,,,,,,
08/01/2009 18.00,,,,,,,
08/01/2009 19.00,,,,,,,
08/01/2009 20.00,,,,,,,
08/01/2009 21.00,,,,,,,
08/01/2009 22.00,,,,,,,
08/01/2009 23.00,,,,,,,
09/01/2009 0.00,,,,,,,
09/01/2009 1.00,,,,,,,
09/01/2009 2.00,,,,,,,
09/01/2009 3.00,,,,,,,
09/01/2009 4.00,,,,,,,
09/01/2009 5.00,,,,,,,
09/01/2009 6.00,,,,,,,
09/01/2009 7.00,,,,,,,
09/01/2009 8.00,,,,,,,
09/01/2009 9.00,,,,,,,
09/01/2009 10.00,,,,,,,
09/01/2009 11.00,,,,,,,
09/01/2009 12.00,,,,,,,
09/01/2009 13.00,,,,,,,
09/01/2009 14.00,,,,,,,
09/01/2009 15.00,,,,,,,
09/01/2009 16.00,,,,,,,
09/01/2009 17.00,,,,,,,
09/01/2009 18.00,,,,,,,
09/01/2009 19.00,,,,,,,
09/01/2009 20.00,,,,,,,
09/01/2009 21.00,,,,,,,
09/01/2009 22.00,,,,,,,
09/01/2009 23.00,,,,,,,
10/01/2009 0.00,,,,,,,
10/01/2009 1.00,,,,,,,
