Stat,S. Pietro  Vernotico,,,,,  ,
,,,,,,,,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
,,,,,,,,
,,,,,,,
,,,,,,,,,
05/01/2014 5.00,"0,3","5,4","12,3","16,3",,,
05/01/2014 6.00,"0,2","5,2","12,3","16,3",,,
05/01/2014 7.00,"0,3","5,4","12,6","16,3",,,
05/01/2014 8.00,"0,3","6,1","13,3","16,3",,,
05/01/2014 9.00,"0,5","6,9","14,2","16,3",,,
05/01/2014 10.00,"0,3","5,8","12,9","16,3",,,
05/01/2014 11.00,"0,3","6,2","13,3","16,3",,,
05/01/2014 12.00,"0,3","6,0","13,4","16,3",,,
05/01/2014 13.00,"0,3","6,2","13,6","16,3",,,
05/01/2014 14.00,"0,5","5,9","13,1","16,3",,,
05/01/2014 15.00,"0,3","5,5","12,4","16,3",,,
05/01/2014 16.00,"0,3","5,8","12,4","16,3",,,
05/01/2014 17.00,"0,2","6,2","13,1","16,3",,,
05/01/2014 18.00,"0,4","6,5","13,5","16,3",,,
05/01/2014 19.00,"0,3","10,3","17,5","16,3",,,
05/01/2014 20.00,"0,5","14,3","21,6","16,3",,,
05/01/2014 21.00,"0,4","12,4","19,6","16,3",,,
05/01/2014 22.00,"0,2","11,9","19,0","16,3",,,
05/01/2014 23.00,"0,3","11,0","17,9","16,3",,,
06/01/2014 0.00,"0,3","10,4","17,7","16,3",,,
06/01/2014 1.00,,"8,1","15,0","18,5",,,
06/01/2014 2.00,"1,0",,,"18,5",,,
06/01/2014 3.00,"1,2","8,5","15,5","18,5",,,
06/01/2014 4.00,"0,9","8,5","15,8","18,5",,,
06/01/2014 5.00,"1,0","7,9","15,4","18,5",,,
06/01/2014 6.00,"0,9","8,2","15,4","18,5",,,
06/01/2014 7.00,"1,2","10,4","17,7","18,5",,,
06/01/2014 8.00,"1,2","9,9","17,4","18,5",,,
06/01/2014 9.00,"1,7","13,9","24,1","18,5",,,
06/01/2014 10.00,"1,4","11,8","21,1","18,5",,,
06/01/2014 11.00,"1,2","7,1","15,9","18,5",,,
06/01/2014 12.00,"1,3","5,8","14,2","18,5",,,
06/01/2014 13.00,"1,1","5,9","13,9","18,5",,,
06/01/2014 14.00,"1,2","6,1","13,6","18,5",,,
06/01/2014 15.00,"1,2","6,1","13,2","18,5",,,
06/01/2014 16.00,"1,0","7,9","14,9","18,5",,,
06/01/2014 17.00,"1,0","10,3","17,1","18,5",,,
06/01/2014 18.00,"1,1","19,4","26,7","18,5",,,
06/01/2014 19.00,"1,4","23,7","31,4","18,5",,,
06/01/2014 20.00,"1,7","35,0","43,7","18,5",,,
06/01/2014 21.00,"1,6","25,3","33,3","18,5",,,
06/01/2014 22.00,"1,7","23,8","32,2","18,5",,,
06/01/2014 23.00,"1,1","14,9","22,5","18,5",,,
07/01/2014 0.00,"0,9","14,9","22,5","18,5",,,
07/01/2014 1.00,"1,2","10,9","18,4","23,7",,,
07/01/2014 2.00,"1,4","9,6","16,9","23,7",,,
07/01/2014 3.00,"1,2","7,3","14,7","23,7",,,
07/01/2014 4.00,"1,0","7,5","14,9","23,7",,,
07/01/2014 5.00,"1,2","7,5","15,0","23,7",,,
07/01/2014 6.00,"1,0","8,7","16,2","23,7",,,
07/01/2014 7.00,"1,2","11,8","19,6","23,7",,,
07/01/2014 8.00,"1,1","16,2","25,3","23,7",,,
07/01/2014 9.00,"1,3","17,1","27,3","23,7",,,
07/01/2014 10.00,"1,2","13,5","24,3","23,7",,,
07/01/2014 11.00,"1,1","10,7","20,1","23,7",,,
07/01/2014 12.00,"3,0","8,6","17,7","23,7",,,
07/01/2014 13.00,,,,"23,7",,,
07/01/2014 14.00,,,,"23,7",,,
07/01/2014 15.00,"0,5","11,0","18,5","23,7",,,
07/01/2014 16.00,"1,1","11,9","18,7","23,7",,,
07/01/2014 17.00,"1,4","17,9","24,8","23,7",,,
07/01/2014 18.00,"1,0","30,4","38,6","23,7",,,
07/01/2014 19.00,"1,2","34,2","42,0","23,7",,,
07/01/2014 20.00,"1,6","40,4","52,5","23,7",,,
07/01/2014 21.00,"1,1","40,2","51,3","23,7",,,
07/01/2014 22.00,"0,9","31,7","40,5","23,7",,,
07/01/2014 23.00,"0,8","25,1","32,9","23,7",,,
08/01/2014 0.00,"0,6","21,6","29,2","23,7",,,
08/01/2014 1.00,,"14,3","21,0","19,3",,,
08/01/2014 2.00,"0,4",,,"19,3",,,
08/01/2014 3.00,"0,4","9,8","16,4","19,3",,,
08/01/2014 4.00,"0,3","8,7","15,3","19,3",,,
08/01/2014 5.00,"0,3","8,5","15,2","19,3",,,
08/01/2014 6.00,"0,3","8,9","15,7","19,3",,,
08/01/2014 7.00,"0,2","13,0","20,3","19,3",,,
08/01/2014 8.00,"0,3","22,2","31,2","19,3",,,
08/01/2014 9.00,"0,3","32,1","46,3","19,3",,,
08/01/2014 10.00,"0,3","20,7","31,3","19,3",,,
08/01/2014 11.00,"0,2","13,3","22,8","19,3",,,
08/01/2014 12.00,"0,3","10,7","19,3","19,3",,,
08/01/2014 13.00,"0,1","10,3","18,6","19,3",,,
08/01/2014 14.00,"0,1","12,9","21,1","19,3",,,
08/01/2014 15.00,"0,1","9,4","16,2","19,3",,,
08/01/2014 16.00,"0,1","10,2","16,8","19,3",,,
08/01/2014 17.00,,"10,5","16,8","19,3",,,
08/01/2014 18.00,,"19,6","26,4","19,3",,,
08/01/2014 19.00,,"18,0","24,4","19,3",,,
08/01/2014 20.00,"0,1","17,1","23,8","19,3",,,
08/01/2014 21.00,"0,1","17,6","24,5","19,3",,,
08/01/2014 22.00,,"14,6","21,1","19,3",,,
08/01/2014 23.00,"0,1","14,9","21,2","19,3",,,
09/01/2014 0.00,,"13,1","18,9","19,3",,,
09/01/2014 1.00,,"8,8","14,7","40,2",,,
09/01/2014 2.00,,"11,4","17,4","40,2",,,
09/01/2014 3.00,,"9,8","15,9","40,2",,,
09/01/2014 4.00,,"9,6","15,8","40,2",,,
09/01/2014 5.00,,"8,5","14,8","40,2",,,
09/01/2014 6.00,,"8,4","14,5","40,2",,,
09/01/2014 7.00,,"11,7","18,5","40,2",,,
09/01/2014 8.00,,"16,5","23,9","40,2",,,
09/01/2014 9.00,,"17,1","25,3","40,2",,,
09/01/2014 10.00,,"15,2","24,2","40,2",,,
09/01/2014 11.00,,"13,4","22,4","40,2",,,
09/01/2014 12.00,,"10,2","18,1","40,2",,,
09/01/2014 13.00,,"8,8","16,4","40,2",,,
09/01/2014 14.00,,"8,4","15,7","40,2",,,
09/01/2014 15.00,,"10,0","16,9","40,2",,,
09/01/2014 16.00,,"11,5","18,2","40,2",,,
09/01/2014 17.00,,"18,8","25,8","40,2",,,
09/01/2014 18.00,,"32,5","40,2","40,2",,,
09/01/2014 19.00,,"41,4","50,8","40,2",,,
09/01/2014 20.00,,"44,3","53,8","40,2",,,
09/01/2014 21.00,,"44,0","55,9","40,2",,,
09/01/2014 22.00,,"36,3","47,0","40,2",,,
09/01/2014 23.00,,"33,1","43,2","40,2",,,
10/01/2014 0.00,,"29,8","38,7","40,2",,,
10/01/2014 1.00,,"24,5","32,2","76,0",,,
10/01/2014 2.00,"0,1",,,"76,0",,,
10/01/2014 3.00,"0,3","12,6","19,6","76,0",,,
10/01/2014 4.00,"0,2","16,5","23,5","76,0",,,
10/01/2014 5.00,"0,2","15,4","22,5","76,0",,,
10/01/2014 6.00,"0,1","15,3","22,5","76,0",,,
10/01/2014 7.00,"0,3","18,2","27,3","76,0",,,
10/01/2014 8.00,"0,1","28,8","42,7","76,0",,,
10/01/2014 9.00,,"33,1","63,3","76,0",,,
10/01/2014 10.00,,"28,8","47,3","76,0",,,
10/01/2014 11.00,"1,6","26,6","33,9","76,0",,,
10/01/2014 12.00,"1,8","30,6","38,1","76,0",,,
10/01/2014 13.00,"1,7","18,5","26,4","76,0",,,
10/01/2014 14.00,"1,8","11,3","18,2","76,0",,,
10/01/2014 15.00,"1,4","10,7","17,4","76,0",,,
10/01/2014 16.00,"1,6","13,7","20,4","76,0",,,
10/01/2014 17.00,"1,6","23,6","32,1","76,0",,,
10/01/2014 18.00,"2,3","47,9","79,1","76,0",,,
10/01/2014 19.00,"2,9","46,4","97,5","76,0",,,
10/01/2014 20.00,"2,1","31,5","57,9","76,0",,,
10/01/2014 21.00,"3,0","43,8","120,3","76,0",,,
10/01/2014 22.00,"3,7","41,7","192,0","76,0",,,
10/01/2014 23.00,"4,1","42,3","191,7","76,0",,,
11/01/2014 0.00,"3,3","32,0","106,2","76,0",,,
11/01/2014 1.00,"3,2","24,7","94,7","55,4",,,
11/01/2014 2.00,"2,1","22,9","55,8","55,4",,,
11/01/2014 3.00,"2,0","18,6","41,7","55,4",,,
11/01/2014 4.00,"1,4","14,2","26,6","55,4",,,
11/01/2014 5.00,"1,4","15,7","24,1","55,4",,,
11/01/2014 6.00,"1,3","18,4","28,0","55,4",,,
11/01/2014 7.00,"1,3","27,5","41,0","55,4",,,
11/01/2014 8.00,"1,8","28,2","48,8","55,4",,,
11/01/2014 9.00,"1,8","40,3","70,5","55,4",,,
11/01/2014 10.00,,,,"55,4",,,
11/01/2014 11.00,"1,9","29,0","39,2","55,4",,,
11/01/2014 12.00,"1,7","26,3","37,1","55,4",,,
11/01/2014 13.00,"1,3","15,1","22,8","55,4",,,
11/01/2014 14.00,"1,0","10,7","17,3","55,4",,,
11/01/2014 15.00,"1,1","10,0","16,4","55,4",,,
11/01/2014 16.00,"1,6","8,8","14,8","55,4",,,
11/01/2014 17.00,"1,2","14,1","20,8","55,4",,,
11/01/2014 18.00,"1,7","32,4","59,6","55,4",,,
11/01/2014 19.00,"1,8","36,3","81,3","55,4",,,
11/01/2014 20.00,"2,3","32,1","104,8","55,4",,,
11/01/2014 21.00,"1,6","39,1","61,7","55,4",,,
11/01/2014 22.00,"1,5","34,3","52,9","55,4",,,
11/01/2014 23.00,"1,6","27,9","66,6","55,4",,,
12/01/2014 0.00,"1,9","27,8","64,7","55,4",,,
12/01/2014 1.00,,"25,7","48,7","44,6",,,
12/01/2014 2.00,"1,0",,,"44,6",,,
12/01/2014 3.00,"1,3","26,3","34,7","44,6",,,
12/01/2014 4.00,"1,3","24,1","32,5","44,6",,,
12/01/2014 5.00,"1,2","21,0","30,7","44,6",,,
12/01/2014 6.00,"1,2","15,6","23,2","44,6",,,
12/01/2014 7.00,"1,2","15,8","24,3","44,6",,,
12/01/2014 8.00,"1,4","27,9","51,7","44,6",,,
12/01/2014 9.00,"1,3","23,7","35,5","44,6",,,
12/01/2014 10.00,"1,5","31,4","45,6","44,6",,,
12/01/2014 11.00,"1,4","29,1","40,1","44,6",,,
12/01/2014 12.00,"1,0","8,1","15,4","44,6",,,
12/01/2014 13.00,"1,3","7,3","14,2","44,6",,,
12/01/2014 14.00,"0,9","6,7","12,8","44,6",,,
12/01/2014 15.00,"0,9","7,9","13,6","44,6",,,
12/01/2014 16.00,"0,8","7,8","13,3","44,6",,,
12/01/2014 17.00,"0,7","13,9","19,9","44,6",,,
12/01/2014 18.00,"0,8","15,9","21,8","44,6",,,
12/01/2014 19.00,"0,8","16,0","22,1","44,6",,,
12/01/2014 20.00,"0,7","16,1","22,4","44,6",,,
12/01/2014 21.00,"0,5","16,6","23,2","44,6",,,
12/01/2014 22.00,"0,8","21,4","28,1","44,6",,,
12/01/2014 23.00,"0,7","17,5","24,0","44,6",,,
13/01/2014 0.00,"0,7","13,1","19,3","44,6",,,
13/01/2014 1.00,"0,7","11,3","17,1","37,5",,,
13/01/2014 2.00,"0,7","9,5","15,9","37,5",,,
13/01/2014 3.00,"0,7","8,2","14,3","37,5",,,
13/01/2014 4.00,"0,8","8,1","14,7","37,5",,,
13/01/2014 5.00,"0,7","8,4","14,9","37,5",,,
13/01/2014 6.00,"0,4","8,8","15,3","37,5",,,
13/01/2014 7.00,"0,6","13,1","20,1","37,5",,,
13/01/2014 8.00,"0,9","17,7","25,2","37,5",,,
13/01/2014 9.00,"0,6","22,8","32,9","37,5",,,
13/01/2014 10.00,"0,8","23,4","35,2","37,5",,,
13/01/2014 11.00,"0,6","19,2","31,1","37,5",,,
13/01/2014 12.00,"0,6","10,7","18,7","37,5",,,
13/01/2014 13.00,"0,8","7,6","15,1","37,5",,,
13/01/2014 14.00,"0,6","7,3","14,2","37,5",,,
13/01/2014 15.00,"0,7","7,7","13,8","37,5",,,
13/01/2014 16.00,"0,8","11,3","17,3","37,5",,,
13/01/2014 17.00,"0,8","22,2","31,6","37,5",,,
13/01/2014 18.00,"0,8","30,0","46,8","37,5",,,
13/01/2014 19.00,"0,8","36,0","69,7","37,5",,,
13/01/2014 20.00,"0,9","40,2","85,2","37,5",,,
13/01/2014 21.00,"1,2","39,3","103,8","37,5",,,
13/01/2014 22.00,"1,2","36,1","92,6","37,5",,,
13/01/2014 23.00,"1,0","27,9","47,4","37,5",,,
14/01/2014 0.00,"1,0","23,6","36,5","37,5",,,
14/01/2014 1.00,,"19,5","29,1","20,0",,,
14/01/2014 2.00,,,,"20,0",,,
14/01/2014 3.00,,"12,1","19,6","20,0",,,
14/01/2014 4.00,,"10,8","18,5","20,0",,,
14/01/2014 5.00,,"12,4","19,6","20,0",,,
14/01/2014 6.00,,"11,8","19,0","20,0",,,
14/01/2014 7.00,,"13,7","21,4","20,0",,,
14/01/2014 8.00,,"15,7","23,8","20,0",,,
14/01/2014 9.00,,"20,2","29,4","20,0",,,
14/01/2014 10.00,,"19,9","28,5","20,0",,,
14/01/2014 11.00,,"15,9","24,2","20,0",,,
14/01/2014 12.00,,"11,1","18,5","20,0",,,
14/01/2014 13.00,,"12,1","20,2","20,0",,,
14/01/2014 14.00,,"9,8","16,8","20,0",,,
14/01/2014 15.00,,"8,9","15,8","20,0",,,
14/01/2014 16.00,,"9,1","15,7","20,0",,,
14/01/2014 17.00,,"11,5","19,3","20,0",,,
14/01/2014 18.00,"1,2","17,1","22,7","20,0",,,
14/01/2014 19.00,"1,9","21,2","27,2","20,0",,,
14/01/2014 20.00,"2,1","14,9","20,5","20,0",,,
14/01/2014 21.00,"1,8","16,3","22,8","20,0",,,
14/01/2014 22.00,"1,6","13,6","20,3","20,0",,,
14/01/2014 23.00,"2,0","10,7","17,2","20,0",,,
15/01/2014 0.00,"1,9","9,3","15,7","20,0",,,
15/01/2014 1.00,"1,7","8,7","15,4","25,5",,,
15/01/2014 2.00,"1,7","6,3","12,8","25,5",,,
15/01/2014 3.00,"1,7","5,6","12,3","25,5",,,
