,TARANTO,,,,
,TAR v.Alto Adige,,,,
Parm,SO2,NO2,PM10,PM2.5,BENZENE



01/01/2010 1.00,"0,119099","22,806183","31,6","12,2","0,417027"
01/01/2010 2.00,"0,079519","35,180109","31,6","12,2","0,744346"
01/01/2010 3.00,"0,075921","34,793331","31,6","12,2","1,13456"
01/01/2010 4.00,"0,106865","24,646577","31,6","12,2","0,809997"
01/01/2010 5.00,"0,084196","15,874264","31,6","12,2","0,440076"
01/01/2010 6.00,"0,087795","14,512805","31,6","12,2","0,417446"
01/01/2010 7.00,"0,101827","14,911246","31,6","12,2","0,379704"
01/01/2010 8.00,"0,091393","21,121557","31,6","12,2","0,380607"
01/01/2010 9.00,"0,060448","7,051339","31,6","12,2","0,475104"
01/01/2010 10.00,"0,0403","4,944893","31,6","12,2","0,365481"
01/01/2010 11.00,"0,052533","6,369956","31,6","12,2","0,328685"
01/01/2010 12.00,"0,033103","9,020211","31,6","12,2","0,493955"
01/01/2010 13.00,"0,025907","12,982615","31,6","12,2","0,544622"
01/01/2010 14.00,"0,028785","12,908634","31,6","12,2","0,534932"
01/01/2010 15.00,"0,02015","4,868319","31,6","12,2","0,37279"
01/01/2010 16.00,"0,021589","3,937745","31,6","12,2","0,252414"
01/01/2010 17.00,"0,025547","5,671701","31,6","12,2","0,255263"
01/01/2010 18.00,"0,103267","15,041038","31,6","12,2","0,300368"
01/01/2010 19.00,"0,080238","22,75169","31,6","12,2","0,532807"
01/01/2010 20.00,"0,075921","20,833419","31,6","12,2","0,49802"
01/01/2010 21.00,"0,053252","19,719852","31,6","12,2","0,510552"
01/01/2010 22.00,"0,107224","18,381757","31,6","12,2","0,391116"
01/01/2010 23.00,"0,131692","27,997683","31,6","12,2","0,432143"
02/01/2010 0.00,"0,13709","15,235718","31,6","12,2","0,467443"
02/01/2010 1.00,,"13,885925","14,1",4,"0,33605"
02/01/2010 2.00,"0,478344",,"14,1",4,"0,297069"
02/01/2010 3.00,"0,466383","19,321907","14,1",4,"0,268874"
02/01/2010 4.00,"0,637941","7,778148","14,1",4,
02/01/2010 5.00,"0,683092","5,785915","14,1",4,"0,269178"
02/01/2010 6.00,"1,03358","5,326469","14,1",4,"0,23781"
02/01/2010 7.00,"1,026428","6,41019","14,1",4,"0,256855"
02/01/2010 8.00,"0,867725","13,226606","14,1",4,"0,298991"
02/01/2010 9.00,"0,835537","18,904802","14,1",4,"0,482569"
02/01/2010 10.00,"0,873983","31,965275","14,1",4,"0,795255"
02/01/2010 11.00,"0,828384","21,387631","14,1",4,"0,877549"
02/01/2010 12.00,"0,694269","22,763373","14,1",4,"0,766953"
02/01/2010 13.00,"0,680411","23,069655","14,1",4,"0,76176"
02/01/2010 14.00,"0,787702","22,507681","14,1",4,"0,78367"
02/01/2010 15.00,"0,832855","17,501799","14,1",4,"0,862812"
02/01/2010 16.00,"0,673258","9,257722","14,1",4,"0,597576"
02/01/2010 17.00,"0,702316","12,880081","14,1",4,"0,557541"
02/01/2010 18.00,"0,577589","16,989139","14,1",4,"0,676621"
02/01/2010 19.00,"0,638835","20,826937","14,1",4,"0,681012"
02/01/2010 20.00,"0,62453","29,338378","14,1",4,"0,801365"
02/01/2010 21.00,"0,662529","25,231918","14,1",4,"0,897614"
02/01/2010 22.00,"0,694716","27,808203","14,1",4,"0,783412"
02/01/2010 23.00,"0,658952","10,930668","14,1",4,"0,653134"
03/01/2010 0.00,"0,658058","11,396609","14,1",4,"0,50005"
03/01/2010 1.00,"0,685328","12,584162","11,7","4,8","0,50603"
03/01/2010 2.00,"0,682646","11,432955","11,7","4,8","0,464304"
03/01/2010 3.00,"0,835984","15,727608","11,7","4,8","0,398284"
03/01/2010 4.00,"0,914665","15,103331","11,7","4,8","0,435293"
03/01/2010 5.00,"0,891865","20,599811","11,7","4,8","0,776654"
03/01/2010 6.00,"0,699186","18,194868","11,7","4,8","0,448332"
03/01/2010 7.00,"0,863701","16,298676","11,7","4,8","0,554464"
03/01/2010 8.00,"0,843584","23,414886","11,7","4,8","1,42654"
03/01/2010 9.00,"1,111814","16,937223","11,7","4,8","1,255139"
03/01/2010 10.00,"1,145343","15,734097","11,7","4,8","1,181577"
03/01/2010 11.00,"1,08365","14,438825","11,7","4,8","1,281824"
03/01/2010 12.00,"1,094379","17,911927","11,7","4,8","1,224182"
03/01/2010 13.00,"1,494042","22,84643","11,7","4,8","1,365658"
03/01/2010 14.00,"2,106054","21,858748","11,7","4,8","1,324731"
03/01/2010 15.00,"1,958081","11,32782","11,7","4,8","1,213936"
03/01/2010 16.00,"1,485102","10,52704","11,7","4,8","0,7148"
03/01/2010 17.00,"1,423408","10,027359","11,7","4,8","0,735829"
03/01/2010 18.00,"1,245482","13,922267","11,7","4,8","0,627338"
03/01/2010 19.00,"1,184684","20,259781","11,7","4,8","0,692628"
03/01/2010 20.00,"1,279011","25,775729","11,7","4,8","0,823347"
03/01/2010 21.00,"1,384068","26,634906","11,7","4,8","0,717311"
03/01/2010 22.00,"1,363504","23,525209","11,7","4,8","0,799907"
03/01/2010 23.00,"1,398374","26,586895","11,7","4,8","0,672669"
04/01/2010 0.00,"1,416702","17,723739","11,7","4,8","0,802396"
04/01/2010 1.00,,"16,406394","19,700001","15,1","0,585302"
04/01/2010 2.00,"0,194782",,"19,700001","15,1","0,516699"
04/01/2010 3.00,"0,293458","21,223525","19,700001","15,1","0,459548"
04/01/2010 4.00,"0,260864","13,286316","19,700001","15,1",
04/01/2010 5.00,"0,255444","10,054615","19,700001","15,1","0,489974"
04/01/2010 6.00,"0,364275","15,631564","19,700001","15,1","0,577299"
04/01/2010 7.00,"0,387457","25,466827","19,700001","15,1","0,635506"
04/01/2010 8.00,"0,448871","50,994683","19,700001","15,1","1,007301"
04/01/2010 9.00,"0,330407","52,173145","19,700001","15,1","1,470152"
04/01/2010 10.00,"0,423583","56,336714","19,700001","15,1","1,89279"
04/01/2010 11.00,"0,485149","56,635234","19,700001","15,1","1,695651"
04/01/2010 12.00,"0,755254","53,39434","19,700001","15,1","1,832062"
04/01/2010 13.00,"0,982187","59,102482","19,700001","15,1","1,98453"
04/01/2010 14.00,"0,799448","61,546378","19,700001","15,1","1,614362"
04/01/2010 15.00,"0,673156","48,785691","19,700001","15,1","1,504499"
04/01/2010 16.00,"0,722378","42,903748","19,700001","15,1","1,383916"
04/01/2010 17.00,"0,758355","43,574747","19,700001","15,1","1,800375"
04/01/2010 18.00,"1,083342","54,257531","19,700001","15,1","2,059997"
04/01/2010 19.00,"1,048419","62,576891","19,700001","15,1","2,599592"
04/01/2010 20.00,"1,135122","66,288808","19,700001","15,1","2,863168"
04/01/2010 21.00,"1,047215","58,052506","19,700001","15,1","2,504049"
04/01/2010 22.00,"1,072955","44,823301","19,700001","15,1","1,98026"
04/01/2010 23.00,"0,827747","37,517569","19,700001","15,1","1,671862"
05/01/2010 0.00,"0,693628","31,642106","19,700001","15,1","1,36874"
05/01/2010 1.00,"0,663372","33,755058","28,700001","11,1","1,348516"
05/01/2010 2.00,"0,636427","50,770136","28,700001","11,1","1,299768"
05/01/2010 3.00,"0,578776","53,171208","28,700001","11,1","1,813236"
05/01/2010 4.00,"0,385047","40,69476","28,700001","11,1","1,875558"
05/01/2010 5.00,"0,415756","33,858881","28,700001","11,1","1,208048"
05/01/2010 6.00,"0,284947","29,299449","28,700001","11,1","0,998748"
05/01/2010 7.00,"0,40853","52,131614","28,700001","11,1","1,349698"
05/01/2010 8.00,"0,772052","69,802148","28,700001","11,1","2,73332"
05/01/2010 9.00,"1,239437","82,042371","28,700001","11,1","5,906824"
05/01/2010 10.00,"0,945008","72,121442","28,700001","11,1","3,672184"
05/01/2010 11.00,"0,88856","79,508933","28,700001","11,1","3,247987"
05/01/2010 12.00,"0,980682","72,386211","28,700001","11,1","3,89072"
05/01/2010 13.00,"0,787406","62,323799","28,700001","11,1","3,2536"
05/01/2010 14.00,"0,553035","32,644071","28,700001","11,1","1,341675"
05/01/2010 15.00,"0,382338","20,893131","28,700001","11,1","0,840312"
05/01/2010 16.00,"0,194481","14,454399","28,700001","11,1","0,408046"
05/01/2010 17.00,"0,196287","17,748397","28,700001","11,1","0,478696"
05/01/2010 18.00,"0,104466","21,301954","28,700001","11,1","0,599468"
05/01/2010 19.00,"0,154892","28,553176","28,700001","11,1","0,801449"
05/01/2010 20.00,"0,1716","38,195066","28,700001","11,1","0,811286"
05/01/2010 21.00,"0,118164","32,204082","28,700001","11,1","1,00861"
05/01/2010 22.00,"0,122078","23,761437","28,700001","11,1","0,786892"
05/01/2010 23.00,"0,076468","15,239613","28,700001","11,1","0,484006"
06/01/2010 0.00,"0,064576","10,516655","28,700001","11,1","0,299498"
06/01/2010 1.00,,"10,790502","30,79999","7,5","0,104867"
06/01/2010 2.00,"0,553396",,"30,79999","7,5","0,309419"
06/01/2010 3.00,"0,628876","58,591784","30,79999","7,5","0,582672"
06/01/2010 4.00,"0,558167","57,445101","30,79999","7,5",
06/01/2010 5.00,"0,270735","11,779477","30,79999","7,5","0,762485"
06/01/2010 6.00,"0,270139","9,216189","30,79999","7,5","0,285788"
06/01/2010 7.00,"0,444715","33,039915","30,79999","7,5","0,403712"
06/01/2010 8.00,"0,486607","36,54937","30,79999","7,5","0,725307"
06/01/2010 9.00,"0,578442","24,265","30,79999","7,5","0,454191"
06/01/2010 10.00,"0,795508","28,097623","30,79999","7,5","0,738871"
06/01/2010 11.00,"0,440094","29,039876","30,79999","7,5","1,565846"
06/01/2010 12.00,"0,254783","22,65045","30,79999","7,5","0,796581"
06/01/2010 13.00,"0,30085","27,448671","30,79999","7,5","0,802389"
06/01/2010 14.00,"0,280724","30,972409","30,79999","7,5","0,973081"
06/01/2010 15.00,"0,305919","12,620508","30,79999","7,5","0,645905"
06/01/2010 16.00,"0,243005","8,941042","30,79999","7,5","0,359235"
06/01/2010 17.00,"0,330517","12,311609","30,79999","7,5","0,358948"
06/01/2010 18.00,"0,342444","24,200106","30,79999","7,5","0,451406"
06/01/2010 19.00,"0,457536","41,965377","30,79999","7,5","0,701987"
06/01/2010 20.00,"0,356755","45,688979","30,79999","7,5","0,817415"
06/01/2010 21.00,"0,528499","67,07531","30,79999","7,5","1,189125"
06/01/2010 22.00,"0,650002","65,926698","30,79999","7,5","1,737295"
06/01/2010 23.00,"0,543109","59,214104","30,79999","7,5","0,784067"
07/01/2010 0.00,"0,772101","83,113108","30,79999","7,5","1,509903"
07/01/2010 1.00,"0,466332","22,024882","24,200001","8,5","1,358216"
07/01/2010 2.00,"0,396561","16,994336","24,200001","8,5","0,549763"
07/01/2010 3.00,"0,521344","13,858673","24,200001","8,5","0,384988"
07/01/2010 4.00,"0,534165","8,725593","24,200001","8,5","0,341341"
07/01/2010 5.00,"0,513741","4,271297","24,200001","8,5","0,331884"
07/01/2010 6.00,"0,45858","8,340126","24,200001","8,5","0,280959"
07/01/2010 7.00,"0,786712","42,292445","24,200001","8,5","0,444699"
