Stat,BR-Via Dei Mille,,,,,  ,
,,,,,,,,,,,,,,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,
01/01/2014 1.00,"2,6","12,0","13,6",,,,
01/01/2014 2.00,"3,1","16,4","19,1","17,8",,,
01/01/2014 3.00,"2,6","17,0","20,8",,,,
01/01/2014 4.00,"3,3","29,3","40,7","10,5",,,
01/01/2014 5.00,"3,3","16,4","20,8",,,,
01/01/2014 6.00,"2,9","16,2","19,6","15,4",,,
01/01/2014 7.00,"2,3","24,2","27,6",,,,
01/01/2014 8.00,"2,1","16,9","18,4","19,0",,,
01/01/2014 9.00,"2,3","14,1","15,6",,,,
01/01/2014 10.00,"2,6","20,2","26,1","16,8",,,
01/01/2014 11.00,"2,8","26,5","34,2",,,, 
01/01/2014 12.00,"2,9","21,5","28,9","9,5",,,
01/01/2014 13.00,"2,2","14,5","18,6",,,,
01/01/2014 14.00,"2,8","23,2","31,2","14,7",,,
01/01/2014 15.00,"2,5","22,6","28,8",,,,
01/01/2014 16.00,"2,0","23,9","27,5","8,5",,,
01/01/2014 17.00,"2,1","18,1","21,2",,,,
01/01/2014 18.00,"2,8","28,2","37,9","10,7",,,
01/01/2014 19.00,"3,4","39,6","68,7",,,,
01/01/2014 20.00,"2,6","29,0","40,2","15,4",,,
01/01/2014 21.00,"2,9","32,7","50,3",,,,
01/01/2014 22.00,"3,3","34,1","63,6","20,8",,,
01/01/2014 23.00,"3,1","29,7","47,0",,,,
02/01/2014 0.00,"2,9","26,3","43,0","19,5",,,
02/01/2014 1.00,,"22,6","34,1",,,,
02/01/2014 2.00,"3,4",,,"21,0",,,
02/01/2014 3.00,"3,2","20,2","37,6",,,,
02/01/2014 4.00,"3,3","19,0","40,0","16,4",,,
02/01/2014 5.00,"2,7","14,1","21,5",,,,
02/01/2014 6.00,"2,8","13,0","19,9","15,6",,,
02/01/2014 7.00,"2,6","13,8","20,8",,,,
02/01/2014 8.00,"3,7","24,9","60,0","17,6",,,
02/01/2014 9.00,"5,3","37,0","131,5",,,,
