"NetC","SIMAGE Brindisi","","","","","","","","","","",""
"Stat","valzani_sanpietrovernotico","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3
21/02/2012 7.00,"1,182919","15,511791","18,317335","0,16944","106,219527"
21/02/2012 8.00,"1,020735","19,123593","22,157191","0,177346","102,543003"
21/02/2012 9.00,"1,023414","28,170375","31,101413","0,242093","93,854079"
21/02/2012 10.00,"1,053924","26,809776","30,515366","0,237636","94,507083"
21/02/2012 11.00,"1,22574","23,300473","26,275085","0,211012","99,851568"
21/02/2012 12.00,"1,261602","23,956575","26,432328","0,210421","101,694529"
21/02/2012 13.00,"1,246079","34,552555","39,752257","0,303515","97,00562"
21/02/2012 14.00,"1,385781","25,138382","28,602334","0,314006","97,484499"
21/02/2012 15.00,"1,452155","19,461483","22,74649","0,268839","98,376505"
21/02/2012 16.00,"1,248755","16,387681","19,380853","0,222415","102,123872"
21/02/2012 17.00,"1,343498","13,984723","16,172464","0,203771","108,245151"
21/02/2012 18.00,"1,090321","21,146013","23,771915","0,3293","102,902401"
21/02/2012 19.00,"1,834328","35,55557","40,090298","0,484431","82,666595"
21/02/2012 20.00,"1,720852","51,822693","58,656486","1,025975","66,394998"
21/02/2012 21.00,"2,210077","62,762297","89,725512","1,736318","53,449062"
21/02/2012 22.00,"2,170469","74,818106","85,271205","1,803159","44,780609"
21/02/2012 23.00,"1,482129","49,961841","53,364797","0,912021","66,606687"
22/02/2012 0.00,"1,341355","42,710312","45,961534","0,586219","72,076658"
22/02/2012 1.00,"1,853596","28,833017","31,958237","0,400401","83,963249"
22/02/2012 2.00,"2,092858","23,23405","25,439331","0,33494","95,820791"
22/02/2012 3.00,"2,064489","21,216546","23,805145","0,250293","102,455941"
22/02/2012 4.00,"1,903375","18,795559","21,345758","0,204018","104,531938"
22/02/2012 5.00,"1,829509","22,632897","25,198592","0,209756","100,274968"
22/02/2012 6.00,"2,019527","21,897257","24,564687","0,230296","96,042731"
22/02/2012 7.00,"2,285013","30,857902","42,932277","0,352598","88,049466"
22/02/2012 8.00,"3,077194","65,818897","106,073876","1,038215","61,910099"
22/02/2012 9.00,"4,649242","116,474562","202,332807","2,430998","23,482068"
22/02/2012 10.00,"4,88208","131,171129","177,943299","2,353397","14,008671"
22/02/2012 11.00,"2,891995","73,277093","80,352428","0,877469","54,220748"
22/02/2012 12.00,"2,49914","25,920697","29,055038","0,304093","93,610191"
22/02/2012 13.00,"2,446127","13,76001","16,970103","0,190621","107,988234"
22/02/2012 14.00,"2,138351","12,472417","15,807689","0,177494","110,688208"
22/02/2012 15.00,"2,111591","12,01643","15,138126","0,187468","110,393704"
22/02/2012 16.00,"2,039866","14,327534","17,317044","0,231183","111,419735"
22/02/2012 17.00,"2,149593","18,305127","21,307672","0,328537","106,335637"
22/02/2012 18.00,"2,296255","32,961522","37,31069","0,656137","89,918919"
22/02/2012 19.00,"2,489481","40,151539","46,030423","0,689509","81,393008"
22/02/2012 20.00,"2,288759","34,245811","38,493397","0,605231","89,30087"
22/02/2012 21.00,"1,950478","31,514003","34,717579","0,560014","95,487886"
22/02/2012 22.00,"2,03023","24,789003","28,029231","0,444756","102,561793"
22/02/2012 23.00,"2,339076","20,666253","23,643026","0,385279","107,650183"
23/02/2012 0.00,"2,145312","20,092977","22,947517","0,315878","110,549913"
23/02/2012 1.00,"2,083757","16,896157","19,294928","0,241206","119,046799"
23/02/2012 2.00,"2,062883",,,"0,206481","109,857648"
23/02/2012 3.00,"1,950478",,,,"113,488068"
23/02/2012 4.00,,,,"0,177321","127,877427"
23/02/2012 5.00,"0,406057","16,679644","19,117406","0,177346",
23/02/2012 6.00,"0,247648","15,987461","18,21763","0,176139","135,534339"
23/02/2012 7.00,"0,041029","17,717098","20,266033","0,177001","134,56381"
23/02/2012 8.00,"0,342201","33,685692","36,635468","0,233055","121,269606"
23/02/2012 9.00,"0,533617","61,833925","65,546667","0,54078","95,994094"
23/02/2012 10.00,"0,6792","45,953904","52,698485","0,481772","77,945251"
23/02/2012 11.00,"0,407558","29,97299","35,044246","0,292284","91,715777"
23/02/2012 12.00,"0,371545","24,010705","27,758491","0,254702","100,083743"
23/02/2012 13.00,"0,559664","24,59136","30,07683","0,269996","99,336836"
23/02/2012 14.00,"0,456098","26,700717","32,995","0,334053","98,475538"
23/02/2012 15.00,"0,490753","22,322084","25,680893","0,326419","103,510138"
23/02/2012 16.00,"0,503209","22,905186","26,831974","0,388284","103,707344"
23/02/2012 17.00,"0,441958","25,696877","30,155471","0,517655","101,216486"
23/02/2012 18.00,"0,442175","32,950833","38,907613","0,723051","94,698284"
23/02/2012 19.00,"0,407813","43,68134","49,709781","0,972803","88,122046"
23/02/2012 20.00,"0,373744","43,80436","47,834855","0,935148","88,056331"
23/02/2012 21.00,"0,496834","45,207595","49,846775","1,105326","85,395595"
23/02/2012 22.00,"0,533944","34,441027","37,715213","0,76849","90,353392"
23/02/2012 23.00,"0,26677","24,938272","27,786043","0,459828","101,645868"
24/02/2012 0.00,"0,391255","20,175825","22,850253","0,352672","106,968991"
24/02/2012 1.00,,"15,762747","18,421093","0,281423",
24/02/2012 2.00,,"14,831089","17,272459","0,223942",
24/02/2012 3.00,,"13,02272","15,246746","0,204264",
24/02/2012 4.00,,"12,136167","14,715799","0,178996",
24/02/2012 5.00,,"11,955742","14,820366","0,177469",
24/02/2012 6.00,,"11,510416","14,69148","0,177518",
24/02/2012 7.00,,"13,819878","16,785284","0,182099",
24/02/2012 8.00,,"21,302661","29,0198","0,213056",
24/02/2012 9.00,,"28,724779","37,373117","0,263938",
24/02/2012 10.00,,"22,803486","28,345381","0,236502",
24/02/2012 11.00,,"20,041316","24,807071","0,212022",
24/02/2012 12.00,,"19,74853","24,608471","0,209411",
24/02/2012 13.00,,"18,93416","23,614653","0,217858",
24/02/2012 14.00,,"19,376189","24,024835","0,236256",
24/02/2012 15.00,,"18,53148","22,601389","0,235887",
24/02/2012 16.00,,"18,912018","22,408467","0,285807",
24/02/2012 17.00,,"20,3341","24,63765","0,352131",
24/02/2012 18.00,,"24,927603","29,208667","0,42956",
24/02/2012 19.00,,"34,014535","39,207508","0,605059",
24/02/2012 20.00,,"35,673674","40,062728","0,687144",
24/02/2012 21.00,,"34,117898","39,294256","0,659068",
24/02/2012 22.00,,"31,29749","34,827805","0,530831",
24/02/2012 23.00,,"24,975175","27,734993","0,426014",
25/02/2012 0.00,,"18,670901","21,12041","0,312257",
25/02/2012 1.00,,"15,634808","18,14954","0,250466",
25/02/2012 2.00,,,,"0,230542",
25/02/2012 3.00,,,,"0,219656",
25/02/2012 4.00,,"21,66642","23,540391","0,20951",
25/02/2012 5.00,"0,622661","15,465861","18,142244","0,184093",
25/02/2012 6.00,"0,477446","13,939617","16,872019","0,206899",
25/02/2012 7.00,"0,67089","18,708626","22,266615","0,224016",
25/02/2012 8.00,"0,849329","34,886351","42,986597","0,728174",
25/02/2012 9.00,"1,612381","50,512934","68,915555","2,319016",
25/02/2012 10.00,"1,549152","36,940757","45,219009","0,778144",
25/02/2012 11.00,"1,342313","26,561292","34,74756","0,331664",
25/02/2012 12.00,"1,160123","19,978162","24,219379","0,225198",
25/02/2012 13.00,"1,323023","19,057999","23,628438","0,224632",
25/02/2012 14.00,"1,486458","20,98938","26,580681","0,236182",
25/02/2012 15.00,"0,959929","17,505508","20,531093","0,209436",
25/02/2012 16.00,"1,196024","17,460473","20,737762","0,207414",
25/02/2012 17.00,"1,246931","18,912016","22,97266","0,218154",
25/02/2012 18.00,"2,588706","40,831389","45,559461","0,363828",
25/02/2012 19.00,"1,599522","52,294249","56,428932","0,603779",
25/02/2012 20.00,"1,411975","51,291252","60,34985","0,729036",
25/02/2012 21.00,"1,395899","48,853034","57,967461","0,820332",
25/02/2012 22.00,"1,394826","63,598818","83,262512","1,887755",
25/02/2012 23.00,"1,682044","62,731955","73,015606","2,339013",
26/02/2012 0.00,"1,435016","50,455537","56,309775","2,325419",
26/02/2012 1.00,"1,318737","41,858211","46,507066","2,377212",
26/02/2012 2.00,"1,197097","33,718502","38,105087","1,923072",
26/02/2012 3.00,"1,194417","28,585354","31,491327",,
26/02/2012 4.00,"0,83068","23,487466","26,204552","0,60432",
26/02/2012 5.00,"0,99508","18,947283","21,772135","0,38954",
26/02/2012 6.00,"0,808068","17,424316","20,46706","0,29817",
26/02/2012 7.00,"1,259791","19,009613","21,663514","0,305559",
26/02/2012 8.00,"1,01437","26,748268","30,491867","0,366366",
26/02/2012 9.00,"1,222282","36,961253","42,200285","0,595553",
26/02/2012 10.00,"1,489137","35,823749","40,984389","0,641287",
26/02/2012 11.00,"1,644534","24,273967","27,948984","0,388777",
26/02/2012 12.00,"1,255505","18,049248","21,366829","0,289649",
26/02/2012 13.00,"1,455914","19,274507","22,570586","0,275488",
26/02/2012 14.00,"2,147165","20,787628","24,081563","0,256156",
26/02/2012 15.00,"2,164311","20,404633","23,534406","0,25719",
26/02/2012 16.00,"1,443054","18,738971","21,057181","0,296127",
26/02/2012 17.00,"1,141904","19,172809","22,112605","0,392052",
26/02/2012 18.00,"0,8788","22,809223","25,551202","0,542973",
26/02/2012 19.00,"1,180486","24,300219","27,259153","0,57191",
26/02/2012 20.00,"0,96936","24,587248","27,739046","0,508394",
26/02/2012 21.00,"0,977933","18,616772","21,413042","0,26773",
26/02/2012 22.00,"1,015871","17,279974","20,27414","0,228154",
26/02/2012 23.00,"0,971503","13,938795","16,432668","0,183577",
27/02/2012 0.00,"0,894877","11,963942","14,673647","0,152718",
27/02/2012 1.00,"1,710979","10,242505","13,062157","0,155574",
27/02/2012 2.00,"1,558261",,,"0,157052",
27/02/2012 3.00,"1,556653","15,695891","18,71378","0,157643",
27/02/2012 4.00,,"13,226929","16,0225","0,158407",
27/02/2012 5.00,"1,387589","12,990736","16,013583","0,158653",
27/02/2012 6.00,"0,784745","9,481432","12,268569","0,15885",
27/02/2012 7.00,"1,161728","9,196029","12,703867","0,159343",
27/02/2012 8.00,"1,002361","13,991283","19,198449","0,159219",
27/02/2012 9.00,"1,153485","15,888226","20,795352","0,169859",
27/02/2012 10.00,"1,642574","13,280238","17,138709","0,159244",
27/02/2012 11.00,"0,973785","10,855957","14,569078","0,129691",
27/02/2012 12.00,"1,130405","10,726377","14,518011","0,142079",
27/02/2012 13.00,"1,208988","10,976515","15,05139","0,144689",
27/02/2012 14.00,"1,616197","12,405989","17,237603","0,127425",
27/02/2012 15.00,"2,228932","12,773403","16,510486","0,129346",
27/02/2012 16.00,"1,754679","13,316322","16,497516","0,158875",
27/02/2012 17.00,"1,641475","12,062356","14,951687","0,159515",
27/02/2012 18.00,"1,583773","14,914741","18,221682","0,171608",
27/02/2012 19.00,"1,422758","17,667891","21,166623","0,204609",
27/02/2012 20.00,"1,371103","17,608843","20,378708","0,211357",
27/02/2012 21.00,"1,969","18,100916","21,63839","0,205496",
27/02/2012 22.00,"1,655213","14,7704","17,878796","0,165131",
27/02/2012 23.00,"1,774465","10,853497","13,786841","0,160008",
28/02/2012 0.00,"2,109134","11,666238","13,78522","0,159589",
28/02/2012 1.00,"1,99263","9,631514","12,168864","0,159589",
28/02/2012 2.00,"1,912398","8,549774","11,006451","0,159589",
28/02/2012 3.00,"1,773364","7,676343","10,408222","0,141217",
28/02/2012 4.00,"1,885469","7,591871","10,461722","0,135922",
28/02/2012 5.00,"1,415066","7,037468","9,35524","0,135995",
28/02/2012 6.00,"1,377146","7,474593","10,063713","0,136218",
28/02/2012 7.00,"1,609054","11,329988","14,600691","0,13469",
28/02/2012 8.00,"1,783256","18,355973","24,386354","0,138803",
28/02/2012 9.00,"1,745888","16,738694","21,194175","0,151511",
28/02/2012 10.00,"1,676646","13,440981","17,043867","0,133238",
28/02/2012 11.00,"1,340804","12,310035","16,277031","0,134443",
28/02/2012 12.00,"2,210247","11,500573","16,170842","0,133705",
28/02/2012 13.00,"2,427317","12,132066","15,736355","0,135503",
28/02/2012 14.00,"1,814032","14,857334","19,359763","0,155279",
28/02/2012 15.00,"1,192502","14,366079","18,207092","0,17146",
28/02/2012 16.00,"1,273285","14,649841","18,085501","0,194955",
28/02/2012 17.00,"1,201294","16,373739","19,42219","0,226405",
28/02/2012 18.00,"1,167772","21,535582","25,213983","0,277705",
28/02/2012 19.00,"1,058963","24,085329","27,379131","0,374542",
28/02/2012 20.00,"1,033899","24,24936","27,579872","0,386304",
28/02/2012 21.00,"1,139747","23,397257","27,306973","0,356957",
28/02/2012 22.00,"1,109523","21,562636","24,726002","0,302087",
28/02/2012 23.00,"0,882562","17,532571","20,586217","0,265932",
29/02/2012 0.00,"0,835593","14,605555","17,389997","0,270957",
29/02/2012 1.00,"1,564539","13,860065","16,558313","0,234778",
29/02/2012 2.00,"1,332635",,,"0,193133",
29/02/2012 3.00,"1,272734","15,035002","17,168701",,
29/02/2012 4.00,,"10,796908","13,302097","0,165869",
29/02/2012 5.00,"0,563214","9,530639","11,989719","0,15954",
29/02/2012 6.00,"0,64468","11,217631","13,437469","0,188034",
29/02/2012 7.00,"0,81178","14,029829","17,575628","0,192295",
29/02/2012 8.00,"0,993972","26,284914","36,499295","0,232512",
29/02/2012 9.00,"0,969717","29,603112","36,022652","0,237143",
29/02/2012 10.00,"1,328712","23,055259","30,134381","0,210249",
29/02/2012 11.00,"1,427356","19,593525","23,501176","0,184438",
29/02/2012 12.00,"1,162152","17,551434","21,846722","0,196334",
29/02/2012 13.00,"1,087226","18,725029","22,055856","0,212219",
29/02/2012 14.00,"1,0123","22,110482","26,166466","0,236995",
29/02/2012 15.00,"1,17994","19,263838","22,113407","0,258371",
29/02/2012 16.00,"1,27427","19,895334","23,344717","0,33888",
29/02/2012 17.00,"0,960014","21,919397","25,139414","0,325655","59,630948"
29/02/2012 18.00,"0,57845","22,380304","25,971097","0,383876","59,593403"
29/02/2012 19.00,"0,74494","25,34832","28,485606","0,492017","58,665488"
29/02/2012 20.00,"0,66732","25,188401","28,083551","0,551936","55,591653"
29/02/2012 21.00,"0,297059","23,453853","27,723636","0,457513","52,021799"
29/02/2012 22.00,"0,549811","21,000031","24,726806","0,379295","50,679065"
29/02/2012 23.00,"0,678551","17,214363","19,585113","0,291743","50,004714"
01/03/2012 0.00,"0,368336","15,611846","18,267078","0,268961","46,656009"
01/03/2012 1.00,"0,099344","14,225838","17,063322","0,274282","41,250056"
01/03/2012 2.00,"0,011265","13,76821","16,906875","0,284625","33,484739"
01/03/2012 3.00,"0,028335","13,864164","16,180569","0,262165","34,845388"
01/03/2012 4.00,"0,04677","11,794996","15,030314","0,209977","36,369089"
01/03/2012 5.00,"0,003754","10,587776","13,600402","0,173676","44,191624"
01/03/2012 6.00,"0,021167","10,842835","13,345868","0,16183","44,322236"
01/03/2012 7.00,,"17,462861","20,951811","0,202663","37,449781"
01/03/2012 8.00,"0,131289","25,938","32,846686","0,367252","31,389968"
01/03/2012 9.00,"0,43487","25,129358","33,244689","0,223425","39,563323"
01/03/2012 10.00,"1,164308","19,464771","24,986206","0,164366","50,62959"
01/03/2012 11.00,"0,797226","15,793093","19,491081","0,158037","57,31254"
01/03/2012 12.00,"0,470571","12,467498","16,902012","0,130651","62,699677"
01/03/2012 13.00,"0,47165","11,87947","15,538566","0,125529","68,260143"
01/03/2012 14.00,"0,838191","16,39014","21,656229","0,152669","64,209717"
01/03/2012 15.00,"0,792913","13,795275","18,069289","0,144689","65,920388"
01/03/2012 16.00,"0,951928","13,267936","17,270838","0,152176","67,783836"
01/03/2012 17.00,"0,291864","16,150666","21,15932","0,164121","65,365519"
01/03/2012 18.00,"0,278767","20,908178","24,776268","0,252239","59,756435"
01/03/2012 19.00,"0,322068","29,339047","34,784823","0,418822","48,544195"
01/03/2012 20.00,"0,169684","33,265779","38,006199","0,535091","39,84075"
01/03/2012 21.00,"0,121873","30,989123","35,88646","0,494579","37,096388"
01/03/2012 22.00,"0,148016","29,245549","33,119051","0,476059","32,812942"
01/03/2012 23.00,"0,068959","24,713555","28,488857","0,480244","35,477924"
02/03/2012 0.00,"0,092174","18,969423","22,407664","0,337723","40,687528"
02/03/2012 1.00,"0,052915","15,262472","17,740179","0,242389","40,458761"
02/03/2012 2.00,,,,"0,207121","38,013169"
02/03/2012 3.00,"0,000341",,,"0,178848","39,882584"
02/03/2012 4.00,,"17,853412","20,727896","0,180055","40,910327"
02/03/2012 5.00,"0,616367","13,308942","16,629647","0,175302",
02/03/2012 6.00,"0,651302","14,31277","16,978208","0,171608","40,319629"
02/03/2012 7.00,"0,776438","20,516161","25,885171","0,223892","33,85521"
02/03/2012 8.00,"1,3503","41,362027","59,838332","0,579224","18,22638"
02/03/2012 9.00,"1,666785","49,917539","73,369023","0,408479","13,631372"
02/03/2012 10.00,"1,195013","36,210851","42,644501","0,235985","23,176493"
02/03/2012 11.00,"1,253583","25,028481","30,367034","0,164835","38,098515"
02/03/2012 12.00,"1,176745","19,023553","23,955926","0,130233","47,007686"
02/03/2012 13.00,"1,3503","16,422125","20,790494","0,12447","53,162263"
02/03/2012 14.00,"1,29603","17,492385","22,80404","0,149615","55,527635"
02/03/2012 15.00,"1,371795","17,430877","21,736476","0,158136","57,332171"
02/03/2012 16.00,"1,233163","15,696318","19,119028","0,154713","59,610461"
02/03/2012 17.00,"1,528693","18,506056","22,500072","0,164047","56,753421"
02/03/2012 18.00,"1,459378","24,575777","29,246773","0,256697","52,506664"
02/03/2012 19.00,"1,251434","42,883348","50,671977","0,677317","37,331098"
02/03/2012 20.00,"1,315373","51,349474","56,976087","0,770313","20,977565"
02/03/2012 21.00,"1,640992","60,105916","69,051728","1,180122","15,330919"
02/03/2012 22.00,"1,365884","45,620911","49,777886","0,666112","17,013394"
02/03/2012 23.00,"1,233701","34,382787","38,060519","0,570137","18,187115"
03/03/2012 0.00,"0,931584","29,849588","33,790965","0,638742","16,499851"
03/03/2012 1.00,"1,751682","24,830838","27,98709","0,579914","17,897738"
03/03/2012 2.00,"1,869894","19,974892","22,234991","0,438648","21,094512"
03/03/2012 3.00,"1,771027","17,792549","21,152035",,"23,562326"
03/03/2012 4.00,"1,429287","16,44673","19,346801","0,374394","28,597787"
03/03/2012 5.00,"1,400273","16,114581","18,846662","0,340137","26,48937"
03/03/2012 6.00,"1,495915","15,631528","19,370299","0,354174","19,554606"
03/03/2012 7.00,"1,53138","20,680191","24,878389","0,485736","15,26007"
03/03/2012 8.00,"2,246559","42,108337","57,86532","2,844453","11,872073"
03/03/2012 9.00,"3,500139","64,031846","103,072992","2,294807","8,614679"
03/03/2012 10.00,"2,448057","43,837148","51,313145","0,82282","25,48038"
03/03/2012 11.00,"2,415279","28,501705","33,248722","0,363508","44,46819"
03/03/2012 12.00,"2,241185","22,496764","27,43263","0,258077","55,69236"
03/03/2012 13.00,"1,971985","20,241426","24,342588","0,224064","62,713364"
03/03/2012 14.00,"2,283634","21,482276","28,124066","0,248225","65,900738"
03/03/2012 15.00,"2,28041","19,579586","26,925184","0,196605","71,381821"
03/03/2012 16.00,"1,972523","17,133172","19,820193","0,189191","73,417658"
03/03/2012 17.00,"2,485668","17,759746","20,724836","0,216455","71,899102"
03/03/2012 18.00,"2,237961","24,684856","28,56505","0,366143","64,105578"
03/03/2012 19.00,"2,186916","39,760327","44,211425","0,834025","50,638129"
03/03/2012 20.00,"2,112764","46,856846","51,386931","0,941551","36,084843"
03/03/2012 21.00,"1,881177","47,661378","51,633367","1,114094","32,172727"
03/03/2012 22.00,"2,090197","52,079381","56,730472","1,304419","25,197847"
03/03/2012 23.00,"2,02142","44,931196","49,180463","1,228909","25,965243"
04/03/2012 0.00,"2,034314","35,727786","39,175923","0,793635","30,655848"
04/03/2012 1.00,"1,098832","28,540232","32,393561","0,58676","29,37458"
04/03/2012 2.00,"0,892499",,,"0,472487","32,040418"
04/03/2012 3.00,"0,904661",,,"0,336196","39,68454"
04/03/2012 4.00,,"22,664847","24,928254","0,246107","48,389682"
04/03/2012 5.00,"0,37086","16,419665","19,344372","0,211701",
04/03/2012 6.00,"0,309976","14,858974","18,644011","0,210938","37,092956"
04/03/2012 7.00,"0,377062","17,570299","20,211713","0,22175","38,422045"
04/03/2012 8.00,"0,382815","20,298021","23,651937","0,229188","42,888988"
04/03/2012 9.00,"0,408314","20,751547","24,469852","0,224779","39,890244"
04/03/2012 10.00,"0,468787","20,001948","24,528206","0,212515","41,735781"
04/03/2012 11.00,"0,406781","17,622785","21,169854","0,184734","51,432837"
04/03/2012 12.00,"0,481882","16,344214","19,915027","0,177445","57,709464"
04/03/2012 13.00,"0,416421","16,599273","20,090129","0,177494","62,892614"
04/03/2012 14.00,"0,375494","15,681555","19,386513","0,178848","68,984866"
04/03/2012 15.00,"0,516377","13,626328","16,88661","0,183896","74,202152"
04/03/2012 16.00,"0,680818","14,614576","17,385946","0,17737","79,772831"
04/03/2012 17.00,"0,731776","15,802113","18,885573","0,17737","80,717782"
04/03/2012 18.00,"0,70758","15,770951","18,502965","0,198896","77,296517"
04/03/2012 19.00,"0,399386","18,453568","21,722691","0,258988","63,786355"
04/03/2012 20.00,"0,562329","27,605301","31,382727","0,330679","37,030631"
04/03/2012 21.00,"0,267552","32,485856","37,210176","0,470762","23,499146"
04/03/2012 22.00,"0,270743","39,096039","46,200669","0,628012","12,824706"
04/03/2012 23.00,"0,339787","29,611315","32,930185","0,408356","20,042867"
05/03/2012 0.00,"0,183703","26,45468","29,951193","0,374024","16,201607"
05/03/2012 1.00,"0,396322","21,355147","25,834103","0,357844","14,506327"
05/03/2012 2.00,"0,441739","23,343951","28,321862","0,443919","10,013753"
05/03/2012 3.00,"0,536673","27,61597","32,628623","0,709211","8,757232"
05/03/2012 4.00,"0,317317","25,550896","28,851199","0,642395","11,99158"
05/03/2012 5.00,"0,470497","22,043236","25,916795","0,543464","13,29078"
05/03/2012 6.00,"0,275926","21,670895","26,108895","0,524648","17,063757"
05/03/2012 7.00,"0,640035","29,431721","35,769713","1,160543","16,168315"
05/03/2012 8.00,"0,694896","34,863387","43,348941","1,45822","19,625454"
05/03/2012 9.00,"0,878241","39,100955","48,170449","0,722756","25,989144"
05/03/2012 10.00,"1,03379","32,987754","37,347191","0,418207","38,724228"
05/03/2012 11.00,"0,989422","29,389064","34,164724","0,355283","45,256076"
05/03/2012 12.00,"0,773471","28,017817","32,71537","0,299254","48,838699"
05/03/2012 13.00,"0,64946","29,503879","34,202027","0,314178","46,936845"
05/03/2012 14.00,"0,900156","37,059645","44,69212","0,381733","42,999132"
05/03/2012 15.00,"0,877171","31,461499","35,867799","0,286743","47,044413"
05/03/2012 16.00,"0,911916","27,989118","32,97395","0,315878","54,121696"
05/03/2012 17.00,"0,705585","28,414767","32,203874","0,396017","58,39746"
05/03/2012 18.00,"1,104881","42,734097","49,500645","0,848038","45,785332"
05/03/2012 19.00,"1,048756","53,87381","59,766212","1,333036","31,058759"
05/03/2012 20.00,"1,212857","61,749435","71,010955","1,777251","21,045015"
05/03/2012 21.00,"1,37215","62,675378","70,651878","1,818207","16,432936"
05/03/2012 22.00,"1,139627","51,105905","56,745041","1,184382","11,299297"
05/03/2012 23.00,"1,03646","43,467292","47,764321","1,461841","12,391925"
06/03/2012 0.00,"0,960023","31,549261","34,947783","0,91249","20,801726"
06/03/2012 1.00,"0,811745","24,67172","27,638513","0,719923","25,118466"
06/03/2012 2.00,"0,584494",,,"0,541346","18,82818"
06/03/2012 3.00,"0,591588","23,468156","26,746623",,"19,904587"
06/03/2012 4.00,"0,522037","17,679193","21,117792","0,440499","19,92914"
06/03/2012 5.00,"0,327297","16,874014","20,185786","0,509453",
06/03/2012 6.00,"0,534178","18,415023","22,152317","0,588878","17,178142"
06/03/2012 7.00,"0,569243","21,93498","27,687155","0,56031","14,910941"
06/03/2012 8.00,"0,903361","29,173372","38,524198","0,607079","12,502895"
06/03/2012 9.00,"1,286624","43,194183","56,531069","0,658206","16,493543"
06/03/2012 10.00,"1,029511","35,685949","42,33403","0,38885","35,535957"
06/03/2012 11.00,"0,670307","25,083431","30,036296","0,239999","45,248397"
06/03/2012 12.00,"0,922178","23,769601","30,133577","0,18003","48,039699"
06/03/2012 13.00,"0,928576","19,848585","24,178845","0,173355","55,115326"
06/03/2012 14.00,"0,806076","21,652865","27,97168","0,168849","60,795271"
06/03/2012 15.00,"1,349163","21,622521","27,597176","0,198255","62,613475"
06/03/2012 16.00,"1,197891","19,310587","25,224519","0,143679","63,468811"
06/03/2012 17.00,"1,164216","18,910377","23,642223","0,16252","65,095794"
06/03/2012 18.00,"0,890534","25,287633","29,954424","0,203451","52,682524"
06/03/2012 19.00,"0,802977","26,972985","32,251692","0,196113","41,402875"
06/03/2012 20.00,"0,638235","27,296935","32,297905","0,239261","38,042176"
06/03/2012 21.00,"0,823183","30,105031","37,204498","0,311076","31,967001"
06/03/2012 22.00,"0,516202","31,317183","35,470621","0,32307","28,10526"
06/03/2012 23.00,"0,655873","26,699894","30,268144","0,288738","30,008811"
07/03/2012 0.00,"0,553242","24,797205","28,752292","0,362794","29,926876"
07/03/2012 1.00,"0,221528","19,101464","22,551943","0,308366","42,974376"
07/03/2012 2.00,"0,1473","16,308949","20,487328","0,248003","45,744354"
07/03/2012 3.00,"0,16617","16,599273","20,073113","0,234605","42,987142"
07/03/2012 4.00,"0,041195","16,274504","19,499188","0,220297","42,300006"
07/03/2012 5.00,"0,115566","16,149025","19,144951","0,210914","41,335402"
07/03/2012 6.00,"0,158276","16,588611","19,529187","0,196728","40,641443"
07/03/2012 7.00,"0,088358","19,750998","23,61708","0,20451","39,559054"
07/03/2012 8.00,"0,341515","27,037782","35,297144","0,242683","36,920529"
07/03/2012 9.00,"0,408884","35,480945","44,977427","0,290068","31,921735"
07/03/2012 10.00,"0,158632","26,265219","32,100088","0,205151","40,687528"
07/03/2012 11.00,"0,36434","22,591083","27,671763","0,167397","45,54545"
07/03/2012 12.00,"0,77935","20,526008","24,20397","0,150427","51,641093"
07/03/2012 13.00,"0,318851","20,024911","24,744644","0,155722","55,960388"
07/03/2012 14.00,"0,290341","22,461486","27,693637","0,156584","57,259591"
07/03/2012 15.00,"0,130535","20,470235","24,11074","0,154935","60,407742"
07/03/2012 16.00,"0,396215","19,300741","23,148564","0,155008","63,141011"
07/03/2012 17.00,"0,366494","19,938794","22,209064","0,183478","61,316844"
07/03/2012 18.00,"0,404286","26,444834","30,931225","0,259455","52,792649"
07/03/2012 19.00,"0,581129","40,081006","48,128288","0,448499","39,718654"
07/03/2012 20.00,"0,18821","39,993226","43,676428","0,602251","34,78564"
07/03/2012 21.00,"0,289984","37,236812","40,955994","0,61528","31,81251"
07/03/2012 22.00,"0,209627","31,222022","34,618673","0,438303","26,630197"
07/03/2012 23.00,"0,206046","28,260582","31,388406","0,360972","24,368126"
08/03/2012 0.00,"0,029809","27,030403","30,390532","0,396091","25,697216"
08/03/2012 1.00,,"24,245268","27,867915","0,30551","29,105694"
08/03/2012 2.00,"0,041231",,,"0,247585","31,566666"
08/03/2012 3.00,"0,011707",,,"0,208402","31,543624"
08/03/2012 4.00,,"21,71485","24,713172","0,173873","36,846275"
08/03/2012 5.00,"0,864513","15,551976","18,936639","0,154097",
08/03/2012 6.00,"0,944846","12,962031","16,676662","0,154368","49,765735"
08/03/2012 7.00,"1,100726","12,041034","15,697447","0,155205","57,503742"
08/03/2012 8.00,"0,904413","13,325345","16,63451","0,169957","54,405127"
08/03/2012 9.00,"1,053908","14,131525","17,194641","0,184783","58,878916"
08/03/2012 10.00,"0,962581","14,193033","17,68587","0,198969","61,467087"
08/03/2012 11.00,"0,977087","12,220642","15,934955","0,177518","66,937895"
08/03/2012 12.00,"1,159777","10,773125","14,134592","0,177543","69,293853"
08/03/2012 13.00,"0,816101","10,4705","14,886837","0,171509","69,051441"
08/03/2012 14.00,"0,887389","11,694941","15,609089","0,150699","67,859787"
