"NetC","SIMAGE Brindisi","","","","","","","","","","",""
"Stat","valzani_sanpietrovernotico","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3
04/01/2012 13.00,"0,921334","19,997034","25,464474","0,242979","43,962858"
04/01/2012 14.00,"0,946412","17,847498","22,941036","0,246378","46,201886"
04/01/2012 15.00,"0,800959","15,737323","20,360868","0,231355","48,292388"
04/01/2012 16.00,"0,846155","17,99348","22,483054","0,251525","50,375207"
04/01/2012 17.00,"0,970771","20,954927","26,277514","0,270636","46,196738"
04/01/2012 18.00,"0,728443","23,367736","27,010307","0,272237","47,770834"
04/01/2012 19.00,"0,720532","27,456032","31,32355","0,32802","48,920632"
04/01/2012 20.00,"0,84296","29,844234","35,719485","0,412074","37,755355"
04/01/2012 21.00,"0,996095","35,950054","41,432656","0,491844","26,64558"
04/01/2012 22.00,"0,889836","38,926274","45,106336","0,59309","23,450487"
04/01/2012 23.00,"0,914725","31,889618","36,22693","0,50512","27,381395"
05/01/2012 0.00,"0,767047","27,774247","30,777197","0,446529","34,35372"
05/01/2012 1.00,"1,300898","25,681294","29,989279","0,423354","35,28756"
05/01/2012 2.00,"1,323234","22,477892","25,14995","0,410622","35,535119"
05/01/2012 3.00,"1,568924","19,650943","22,482231","0,380009","32,781363"
05/01/2012 4.00,"1,553125","17,634267","20,745103","0,329227","29,722008"
05/01/2012 5.00,"1,77103","16,172808","19,524329","0,304179","34,020814"
05/01/2012 6.00,"1,347204","15,004955","17,758825","0,275242","31,593978"
05/01/2012 7.00,"1,596162","17,051159","19,935295","0,236601","32,316129"
05/01/2012 8.00,"1,925199","25,044064","35,299591","0,287138","27,98574"
05/01/2012 9.00,"1,933371","37,4804","50,684938","0,356637","13,173835"
05/01/2012 10.00,"2,000921","37,549289","47,507368","0,360406","15,200316"
05/01/2012 11.00,"1,993839","26,618692","32,923682","0,298835","25,588788"
05/01/2012 12.00,"1,951893","20,68675","26,530414","0,26539","34,441642"
05/01/2012 13.00,"2,023257","21,448643","28,493713","0,255391","42,361471"
05/01/2012 14.00,"1,842938","18,893154","24,919746","0,244284","49,064052"
05/01/2012 15.00,"1,774299","17,020816","22,567354","0,216627","52,477658"
05/01/2012 16.00,"1,900685","20,643289","26,126733","0,255884","46,157476"
05/01/2012 17.00,"1,822237","21,080411","26,822242","0,253643","44,54416"
05/01/2012 18.00,"1,82006","22,105568","28,33322","0,235049","42,773779"
05/01/2012 19.00,"1,374442","22,029298","27,611765","0,220248","40,316216"
05/01/2012 20.00,"1,720367","20,051163","25,174271","0,207613","39,852698"
05/01/2012 21.00,"1,649547","18,364175","22,936179","0,198525","44,034558"
05/01/2012 22.00,"1,410942","13,983903","17,186536","0,160623","51,420866"
05/01/2012 23.00,"1,435456","10,111287","13,350733","0,1605","58,878916"
06/01/2012 0.00,"1,323636","8,924925","11,509523","0,157764","61,123549"
06/01/2012 1.00,"1,821695","7,578749","10,96592","0,141734","67,086426"
06/01/2012 2.00,"1,408218",,,"0,157643","59,558392"
06/01/2012 3.00,"1,717098",,,,"60,27286"
06/01/2012 4.00,,"16,011165","19,172751","0,15656","61,986925"
06/01/2012 5.00,"0,281393","11,21681","14,270774","0,149689",
06/01/2012 6.00,"0,442237","11,211889","13,459355","0,181656","53,81357"
06/01/2012 7.00,"0,243555","13,558259","16,293244","0,195004","48,1114"
06/01/2012 8.00,"0,535909","16,338474","19,456224","0,233769","46,670511"
06/01/2012 9.00,"0,508746","15,051702","18,521608","0,247733","50,147297"
06/01/2012 10.00,"0,492771","13,474607","17,37865","0,223622","52,559613"
06/01/2012 11.00,"0,46843","13,437702","17,079536","0,24783","54,186593"
06/01/2012 12.00,"0,370182","14,279967","17,848802","0,269036","54,425614"
06/01/2012 13.00,"0,499321","14,028188","17,554552","0,253766","52,115726"
06/01/2012 14.00,"0,564302","12,780785","15,381308","0,218745","53,168226"
06/01/2012 15.00,"0,447418","11,505494","14,604744","0,205643","57,349249"
06/01/2012 16.00,"0,759762","12,902983","16,9393","0,221577","55,71626"
06/01/2012 17.00,"0,737945","13,731305","17,43458","0,252239","57,1606"
06/01/2012 18.00,"0,910811","14,430869","18,014167","0,268987","57,861404"
06/01/2012 19.00,"0,859505","13,705881","17,618589","0,25911","56,055171"
06/01/2012 20.00,"0,920644","12,512604","16,171652","0,234901","56,655248"
06/01/2012 21.00,"1,112032","13,208887","17,081157","0,243152","54,389766"
06/01/2012 22.00,"0,827648","12,314955","15,699068","0,216357","53,237373"
06/01/2012 23.00,"0,870488","10,440154","13,75928","0,196334","54,676546"
07/01/2012 0.00,"0,726331","8,402972","11,619271","0,168898","56,867774"
07/01/2012 1.00,"0,585595","7,701767","11,034012","0,159022","57,616398"
07/01/2012 2.00,"0,662136","6,943154","10,114781","0,141832","56,430751"
07/01/2012 3.00,"0,386723","6,761088","9,615446","0,141857","56,215649"
07/01/2012 4.00,"0,408876","6,576559","9,071528","0,141832","55,420082"
07/01/2012 5.00,"0,689237","6,538833","9,036672","0,141882","55,771762"
07/01/2012 6.00,"0,495295","6,665953","9,026133","0,141882","55,156304"
