NetC,ARPA Puglia,CERRATE,,,,,
Stat,Cerrate,,,,,,
Parm,SO2,NO2,NOx,CO,O3,PM10,BENZENE
,,,,,,,
,,,,,
,,,,,,,
,,,,,,,,,,,
,,,,,,,
24/02/2009 14.00,"5,2","4,4","12,8",,"99,2",,"1,2"
24/02/2009 15.00,"4,6","4,8","14,2",,"102,3",,"1,1"
24/02/2009 16.00,"4,5","5,3","15,4",,"101,1",,"1,0"
24/02/2009 17.00,"4,9","6,9","16,8",,"97,6",,"1,0"
24/02/2009 18.00,"2,1","13,1","22,1",,"67,6",,"1,0"
24/02/2009 19.00,"1,6","13,5","21,2",,"68,2",,"1,1"
24/02/2009 20.00,"1,7","8,4","15,0",,"73,0",,"1,1"
24/02/2009 21.00,"1,8","13,1","19,1",,"67,2",,"1,1"
24/02/2009 22.00,"1,5","25,2","30,8",,"61,9",,"1,4"
24/02/2009 23.00,"1,8","21,0","26,0",,"64,9",,"2,2"
25/02/2009 0.00,"2,2","14,8","19,5",,"46,8",,"2,4"
25/02/2009 1.00,,"15,8","20,5",,"55,5",,"2,4"
25/02/2009 2.00,"1,1",,,,"57,1",,"2,3"
25/02/2009 3.00,"1,1","7,2","9,6",,"58,8",,"1,9"
25/02/2009 4.00,"1,5","4,7","7,5",,,,"0,9"
25/02/2009 5.00,"1,7","3,5","6,6",,"73,2",,"0,6"
25/02/2009 6.00,"1,5","5,0","8,2",,"82,4",,"1,3"
25/02/2009 7.00,"1,8","5,1","8,6",,"80,9",,"1,4"
25/02/2009 8.00,"2,5","3,8","7,7",,"80,8",,"1,3"
25/02/2009 9.00,"5,5","4,5","8,9",,"81,5",,"1,2"
25/02/2009 10.00,"10,2","5,4","10,4",,"86,6",,"1,1"
25/02/2009 11.00,"12,9","5,5","11,1",,"90,2",,"1,3"
25/02/2009 12.00,"13,0","5,0","11,4",,"98,1",,"1,2"
25/02/2009 13.00,"12,4","5,0","12,4",,"103,2",,"1,3"
25/02/2009 14.00,"10,4","5,7","14,4",,"106,4",,"1,4"
25/02/2009 15.00,"10,4","5,5","14,9",,"108,1",,"1,4"
25/02/2009 16.00,"8,6","5,5","15,2",,"107,8",,"1,3"
25/02/2009 17.00,"7,1","4,9","14,3",,"101,0",,"1,3"
25/02/2009 18.00,"6,2","5,0","13,8",,"104,7",,"1,2"
25/02/2009 19.00,"6,6","4,2","11,6",,"104,8",,"1,2"
25/02/2009 20.00,"6,6","4,0","10,7",,"104,6",,"1,2"
25/02/2009 21.00,"6,5","3,9","10,0",,"104,7",,"1,2"
25/02/2009 22.00,"6,8","3,9","9,6",,"103,5",,"1,1"
25/02/2009 23.00,"6,9","3,9","9,5",,"102,5",,"1,1"
26/02/2009 0.00,"6,6","3,9","9,3",,"102,1",,"1,1"
26/02/2009 1.00,"7,5","3,9","9,3",,"103,8",,"1,1"
26/02/2009 2.00,"8,2","4,2","9,3",,"104,0",,"1,2"
26/02/2009 3.00,"8,3","3,7","8,8",,"103,5",,"1,1"
26/02/2009 4.00,"7,5","4,0","8,9",,"103,1",,"1,1"
26/02/2009 5.00,"7,0","3,9","8,5",,"102,8",,"1,1"
26/02/2009 6.00,"6,8","3,5","8,2",,"102,6",,"1,1"
26/02/2009 7.00,"6,4","3,7","8,5",,"101,2",,"1,0"
26/02/2009 8.00,"6,6","3,9","8,7",,"99,4",,"1,0"
26/02/2009 9.00,"8,3","3,9","8,9",,"99,1",,"1,0"
26/02/2009 10.00,"8,9","4,2","10,0",,"99,0",,"1,0"
26/02/2009 11.00,"8,9","3,9","10,5",,"96,9",,"1,0"
26/02/2009 12.00,"8,4","3,5","11,3",,"90,1",,"0,9"
26/02/2009 13.00,"6,9","3,4","12,1",,"88,0",,"0,8"
26/02/2009 14.00,"6,5","3,4","12,9",,"88,8",,"0,7"
26/02/2009 15.00,"3,8","3,5","13,5",,"89,1",,"0,8"
26/02/2009 16.00,"1,9","4,7","14,6",,"88,1",,"0,8"
26/02/2009 17.00,"2,8","4,5","13,7",,"86,4",,"0,8"
26/02/2009 18.00,"1,5","5,6","13,6",,"82,9",,"0,9"
26/02/2009 19.00,"1,5","7,6","15,1",,"76,8",,"0,5"
26/02/2009 20.00,"0,9","11,5","18,5",,"73,3",,"1,1"
26/02/2009 21.00,"1,0","13,1","19,5",,"67,4",,"1,7"
26/02/2009 22.00,"1,4","12,2","18,1",,"70,4",,"1,8"
26/02/2009 23.00,"1,6","9,4","14,9",,"69,8",,"2,0"
27/02/2009 0.00,"1,5","8,4","13,7",,"68,8",,"1,9"
27/02/2009 1.00,,"7,7","12,6",,"72,6",,"1,6"
27/02/2009 2.00,"1,2",,,,"68,3",,"1,4"
27/02/2009 3.00,"1,4","5,1","7,9",,"71,6",,"1,4"
27/02/2009 4.00,"1,1","4,3","7,6",,,,"1,2"
27/02/2009 5.00,"2,7","12,0","15,6",,"61,1",,"1,0"
27/02/2009 6.00,"3,3","10,3","14,0",,"63,4",,"1,5"
27/02/2009 7.00,"2,8","7,4","11,2",,"65,1",,"1,4"
27/02/2009 8.00,"3,0","11,8","16,6",,"62,8",,"1,2"
27/02/2009 9.00,"3,0","12,9","19,0",,"68,7",,"1,9"
27/02/2009 10.00,"2,9","11,2","18,1",,"76,6",,"1,7"
27/02/2009 11.00,"3,2","8,6","15,5",,"82,6",,"1,5"
27/02/2009 12.00,"8,0","10,4","18,9",,"82,4",,"1,1"
27/02/2009 13.00,"9,8","13,2","23,5",,"81,8",,"0,9"
27/02/2009 14.00,"4,8","7,0","16,8",,"95,1",,"0,9"
27/02/2009 15.00,"3,0","6,4","16,3",,"98,4",,"1,0"
27/02/2009 16.00,"2,0","6,4","15,9",,"96,3",,"1,4"
27/02/2009 17.00,"1,4","6,6","15,6",,"93,5",,"1,0"
27/02/2009 18.00,"2,0","8,9","17,6",,"83,4",,"0,9"
27/02/2009 19.00,"1,7","9,4","17,6",,"75,3",,"0,8"
27/02/2009 20.00,"1,0","15,4","23,5",,"61,8",,"0,9"
27/02/2009 21.00,"1,6","24,5","32,0",,"55,3",,"1,4"
27/02/2009 22.00,"1,4","11,6","18,2",,"71,1",,"0,6"
27/02/2009 23.00,"1,5","11,8","18,1",,"69,3",,"1,1"
28/02/2009 0.00,"1,3","10,0","16,0",,"73,1",,"1,3"
28/02/2009 1.00,"1,0","9,2","15,1",,"71,0",,"1,1"
28/02/2009 2.00,"0,9","10,1","15,8",,"68,2",,"1,3"
28/02/2009 3.00,"1,0","9,5","15,0",,"72,5",,"1,3"
28/02/2009 4.00,"0,8","9,3","14,3",,"73,5",,"1,2"
28/02/2009 5.00,"0,8","7,5","12,3",,"75,9",,"1,1"
28/02/2009 6.00,"1,0","6,4","11,2",,"79,8",,"1,0"
28/02/2009 7.00,"0,8","6,9","11,7",,"79,3",,"0,9"
28/02/2009 8.00,"0,9","8,5","13,9",,"79,0",,"0,9"
28/02/2009 9.00,"0,8","9,9","16,3",,"81,8",,"1,2"
28/02/2009 10.00,"2,0","11,9","19,4",,"81,6",,"1,2"
28/02/2009 11.00,"3,6","6,8","13,9",,"86,5",,"1,0"
28/02/2009 12.00,"2,6","7,5","16,1",,"90,7",,"0,8"
28/02/2009 13.00,"3,0","7,8","17,3",,"97,2",,"0,8"
28/02/2009 14.00,"1,3","8,6","19,2",,"106,9",,"0,8"
28/02/2009 15.00,"1,3","7,7","18,3",,"108,2",,"1,0"
28/02/2009 16.00,"1,7","5,6","16,2",,"109,9",,"0,9"
28/02/2009 17.00,"1,7","6,3","16,9",,"107,9",,"0,8"
28/02/2009 18.00,"1,1","9,3","19,5",,"88,3",,
28/02/2009 19.00,"0,7","14,3","23,4",,"64,5",,
28/02/2009 20.00,"0,6","10,9","19,0",,"52,4",,
28/02/2009 21.00,"0,3","19,6","26,9",,"44,4",,
28/02/2009 22.00,"0,6","45,2","60,3",,"42,0",,
28/02/2009 23.00,"0,6","40,8","47,1",,"53,9",,
01/03/2009 0.00,"0,5","25,3","31,1",,"52,5",,
01/03/2009 1.00,,"27,4","32,8",,"48,2",,
01/03/2009 2.00,"0,8",,,,"55,3",,
01/03/2009 3.00,"0,8","12,4","15,6",,"61,3",,
01/03/2009 4.00,"0,7","8,5","12,3",,,,
01/03/2009 5.00,"1,1","7,9","11,9",,"46,6",,
01/03/2009 6.00,"0,8","6,5","10,8",,"42,4",,
01/03/2009 7.00,"0,8","5,1","9,4",,"39,2",,
01/03/2009 8.00,"0,8","8,9","14,0",,"44,3",,
01/03/2009 9.00,"1,0","10,3","16,2",,"51,2",,
01/03/2009 10.00,"0,9","10,2","16,8",,"64,2",,
01/03/2009 11.00,"1,0","8,6","15,7",,"70,1",,
01/03/2009 12.00,"1,8","6,3","13,9",,"75,9",,
01/03/2009 13.00,"1,8","3,9","12,0",,"80,8",,
01/03/2009 14.00,"0,9","4,3","13,4",,"81,3",,
01/03/2009 15.00,"1,0","3,9","13,2",,"84,6",,
01/03/2009 16.00,"0,8","4,5","13,9",,"81,3",,
01/03/2009 17.00,"1,1","4,5","13,7",,"81,7",,
01/03/2009 18.00,"0,8","5,7","14,6",,"85,0",,
01/03/2009 19.00,"1,0","8,8","17,1",,"78,6",,
01/03/2009 20.00,"0,8","10,5","18,3",,"75,7",,
01/03/2009 21.00,"0,6","8,6","15,9",,"78,4",,
01/03/2009 22.00,"0,6","4,6","11,9",,"84,7",,
01/03/2009 23.00,"0,5","4,2","11,6",,"84,8",,
02/03/2009 0.00,"0,7","4,2","11,7",,"83,6",,
02/03/2009 1.00,"0,4","3,5","10,9",,"81,2",,
02/03/2009 2.00,"0,4","3,6","11,0",,"77,6",,
02/03/2009 3.00,"0,7","3,3","10,7",,"75,1",,
02/03/2009 4.00,"0,6","3,9","11,4",,"72,4",,
02/03/2009 5.00,"0,7","3,6","11,1",,"66,7",,
02/03/2009 6.00,"0,8","4,1","11,5",,"60,3",,
02/03/2009 7.00,"0,7","6,2","13,5",,"52,3",,
02/03/2009 8.00,"0,5","10,5","18,0",,"58,0",,
02/03/2009 9.00,"0,7","16,5","25,0",,"51,9",,
02/03/2009 10.00,"0,6","7,9","16,0",,"71,4",,"1,0"
02/03/2009 11.00,"0,5","6,1","14,5",,"79,3",,"0,0"
02/03/2009 12.00,"0,5","4,3","13,2",,"83,3",,"0,7"
02/03/2009 13.00,"0,4","5,1","14,1",,"81,0",,"0,6"
02/03/2009 14.00,"0,2","4,8","14,0",,"82,0",,"0,3"
02/03/2009 15.00,"0,3","4,4","13,8",,"85,6",,"0,6"
02/03/2009 16.00,"0,4","5,0","15,1",,"85,6",,"0,3"
02/03/2009 17.00,"0,2","5,2","15,3",,"87,0",,"0,6"
02/03/2009 18.00,"0,3","7,2","17,1",,"84,1",,"0,8"
02/03/2009 19.00,"0,2","8,6","17,8",,"75,5",,"0,6"
02/03/2009 20.00,"0,2","11,4","20,0",,"75,2",,"1,1"
02/03/2009 21.00,"0,2","10,4","18,6",,"72,1",,"1,2"
02/03/2009 22.00,"0,2","10,1","17,9",,"68,6",,"1,3"
02/03/2009 23.00,"0,1","6,5","14,0",,"65,9",,"1,0"
03/03/2009 0.00,"0,2","6,7","14,2",,"63,0",,"0,9"
03/03/2009 1.00,,"7,3","15,0",,"56,4",,"0,9"
03/03/2009 2.00,"0,9",,,,"38,9",,"1,0"
03/03/2009 3.00,"0,7","4,7","9,8",,"46,5",,"0,9"
03/03/2009 4.00,"0,9","4,1","9,6",,,,"0,7"
03/03/2009 5.00,"0,6","4,0","9,6",,"34,1",,"0,7"
03/03/2009 6.00,"0,9","4,6","10,0",,"26,0",,"0,6"
03/03/2009 7.00,"0,8","9,1","14,7",,"24,6",,"0,7"
03/03/2009 8.00,"1,4","23,6","44,4",,"16,1",,"0,7"
03/03/2009 9.00,"1,2","20,9","35,9",,"35,5",,"1,0"
03/03/2009 10.00,"2,6","7,6","14,9",,"72,1",,"1,1"
03/03/2009 11.00,"2,3","5,9","14,0",,"79,9",,"1,0"
03/03/2009 12.00,"2,3","7,0","16,3",,"83,5",,"0,0"
03/03/2009 13.00,"4,0","7,4","17,6",,"84,2",,"0,9"
03/03/2009 14.00,"4,3","8,0","22,1",,"84,5",,"0,7"
03/03/2009 15.00,"3,7","5,2","17,2",,"88,9",,"0,6"
03/03/2009 16.00,"2,5","5,3","16,3",,"85,7",,"0,6"
03/03/2009 17.00,"1,9","6,3","16,7",,"75,7",,"0,3"
03/03/2009 18.00,"1,2","7,6","17,3",,"55,7",,"0,7"
03/03/2009 19.00,"1,1","11,6","20,8",,"45,2",,"0,8"
03/03/2009 20.00,"0,9","16,7","25,5",,"58,3",,"1,1"
03/03/2009 21.00,"1,2","13,1","21,2",,"58,4",,"1,5"
03/03/2009 22.00,"0,8","14,2","22,0",,"56,3",,"1,3"
03/03/2009 23.00,"0,9","10,7","19,0",,"58,0",,"1,4"
04/03/2009 0.00,"0,9","10,4","18,3",,"52,2",,"1,4"
04/03/2009 1.00,"0,8","8,6","16,6",,"43,3",,"1,4"
04/03/2009 2.00,"1,0","7,1","15,1",,"52,0",,"0,0"
04/03/2009 3.00,"0,9","7,9","15,3",,"60,5",,"1,1"
04/03/2009 4.00,"0,8","6,8","14,2",,"64,9",,"0,4"
04/03/2009 5.00,"0,6","5,2","12,6",,"65,2",,"0,5"
04/03/2009 6.00,"0,6","4,9","12,3",,"68,5",,"0,3"
04/03/2009 7.00,"0,9","5,3","12,7",,"70,1",,"0,3"
04/03/2009 8.00,"0,8","7,2","14,7",,"72,6",,"0,5"
04/03/2009 9.00,"1,0","8,0","15,9",,"70,3",,"0,6"
04/03/2009 10.00,"1,4","6,8","14,2",,"71,2",,"0,8"
04/03/2009 11.00,"1,0","4,9","12,3",,"76,6",,"0,4"
04/03/2009 12.00,"1,3","4,7","12,7",,"78,3",,"0,3"
04/03/2009 13.00,"1,7","4,4","12,7",,"76,9",,"0,6"
04/03/2009 14.00,"1,3","4,4","13,3",,"74,4",,"0,0"
04/03/2009 15.00,,"4,3","13,1",,"75,1",,"0,5"
04/03/2009 16.00,,"4,1","11,9",,"76,2",,
04/03/2009 17.00,"0,5","4,9","11,0",,"74,9",,
04/03/2009 18.00,"0,3","4,8","9,7",,"76,6",,
04/03/2009 19.00,"0,4","4,5","8,7","0,2","78,3",,"0,3"
04/03/2009 20.00,"0,3","4,7","8,8","0,4","78,1",,"0,0"
04/03/2009 21.00,"0,3","4,1","8,5","0,3","75,5",,"0,3"
04/03/2009 22.00,"0,2","3,4","7,6","0,3","74,5",,"0,3"
04/03/2009 23.00,"0,3","2,5","6,5","0,2","74,7",,"0,2"
05/03/2009 0.00,"0,4","2,6","6,8","0,3","76,4",,"0,2"
05/03/2009 1.00,,"2,3","6,2","0,2","75,5",,"0,4"
05/03/2009 2.00,"0,8",,,"0,4","75,0",,"0,4"
05/03/2009 3.00,"0,7","1,7","3,9",,"73,7",,"0,2"
05/03/2009 4.00,"0,4","1,9","4,5","0,5",,,"0,2"
05/03/2009 5.00,"0,4","2,1","4,8","0,4","69,4",,"0,2"
05/03/2009 6.00,"0,9","2,2","5,0","0,4","78,7",,"0,1"
05/03/2009 7.00,"1,0","3,5","6,3","0,3","72,6",,"0,1"
05/03/2009 8.00,"0,7","5,0","7,9","0,4","62,4",,"0,3"
05/03/2009 9.00,"0,9","4,1","7,3","0,4","62,8",,"0,3"
05/03/2009 10.00,"0,5","3,4","7,2","0,6","66,6",,"0,0"
05/03/2009 11.00,"0,7","3,6","7,8","0,5","71,4",,"0,4"
05/03/2009 12.00,"1,5","3,0","7,3","0,6","74,3",,"0,0"
05/03/2009 13.00,"2,5","3,2","7,6","0,5","77,0",,"0,0"
05/03/2009 14.00,"2,3","3,3","7,8","0,6","77,3",,"0,4"
05/03/2009 15.00,"2,0","3,7","8,1","0,5","75,3",,"0,4"
05/03/2009 16.00,"1,6","3,7","7,9","0,6","76,2",,"0,0"
05/03/2009 17.00,"1,5","4,5","8,4","0,4","75,3",,"0,0"
05/03/2009 18.00,"1,4","4,3","7,9","0,5","78,6",,"1,6"
05/03/2009 19.00,"0,9","4,6","8,1","0,3","79,0",,"2,4"
05/03/2009 20.00,"0,7","4,6","8,0","0,4","79,3",,"0,4"
05/03/2009 21.00,"1,3","4,1","7,4","0,4","86,7",,"0,6"
05/03/2009 22.00,"1,2","4,9","8,4","0,6","72,4",,"0,7"
05/03/2009 23.00,"1,3","6,0","9,5","0,4","59,2",,"0,6"
06/03/2009 0.00,"1,3","4,3","7,8","0,6","53,1",,"0,7"
06/03/2009 1.00,"1,7","2,8","6,3","0,4","61,4",,"0,7"
06/03/2009 2.00,"0,9","2,5","5,8","0,5","47,3",,"0,0"
06/03/2009 3.00,"0,5","3,0","6,4","0,4","50,7",,"0,2"
06/03/2009 4.00,"1,0","2,4","5,6","0,4","60,8",,"0,5"
06/03/2009 5.00,"1,5","2,3","5,6","0,4","68,4",,"0,5"
06/03/2009 6.00,"1,1","2,0","5,2","0,4","73,1",,"0,4"
06/03/2009 7.00,"1,3","2,3","5,7","0,4","73,0",,"0,2"
06/03/2009 8.00,"1,7","2,6","6,2","0,5","77,5",,"0,2"
06/03/2009 9.00,"1,5","2,0","5,7","0,4","80,0",,"0,5"
06/03/2009 10.00,"1,6","2,3","6,2","0,5","76,9",,"0,4"
06/03/2009 11.00,"2,0","3,4","7,1","0,3","81,7",,"0,4"
06/03/2009 12.00,"1,9","2,4","6,2","0,5","77,0",,"0,4"
06/03/2009 13.00,"1,7","4,4","8,8","0,5","66,1",,"0,4"
06/03/2009 14.00,"1,3","3,3","7,6","0,6","74,0",,"0,0"
06/03/2009 15.00,"1,2","3,4","7,8","0,5","76,6",,"0,5"
06/03/2009 16.00,"1,7","3,6","8,2","0,7","76,2",,"0,5"
06/03/2009 17.00,"1,3","3,7","8,2","0,6","79,4",,"0,5"
06/03/2009 18.00,"1,1","5,0","9,3","0,7","74,3",,"0,6"
06/03/2009 19.00,"0,8","5,3","9,2","0,5","67,4",,"0,8"
06/03/2009 20.00,"0,4","5,0","8,9","0,6","68,3",,"0,6"
06/03/2009 21.00,"1,1","4,0","7,7","0,4","72,8",,"0,6"
06/03/2009 22.00,"1,3","4,9","8,6","0,6","66,9",,"0,5"
06/03/2009 23.00,"1,5","4,4","8,1","0,5","68,0",,"0,6"
07/03/2009 0.00,"1,9","3,9","7,5","0,6","74,3",,"0,6"
07/03/2009 1.00,,"3,4","7,3","0,5","72,3",,"0,5"
07/03/2009 2.00,"0,5",,,"0,6","64,5",,"0,6"
07/03/2009 3.00,"0,6","2,8","4,7",,"50,6",,"0,6"
07/03/2009 4.00,"0,5","2,4","4,8","0,4",,,"0,5"
07/03/2009 5.00,"0,9","2,2","4,8","0,3","30,2",,"0,5"
07/03/2009 6.00,"1,1","2,6","5,1","0,4","30,2",,"0,3"
07/03/2009 7.00,"1,2","3,1","5,8","0,3","26,2",,"0,3"
07/03/2009 8.00,"1,1","5,4","8,9","0,4","30,8",,"0,6"
07/03/2009 9.00,"0,8","4,7","7,8","0,3","56,5",,"0,6"
07/03/2009 10.00,"0,8","6,5","10,3","0,5","60,0",,"0,3"
07/03/2009 11.00,"1,1","4,0","7,7","0,3","69,6",,"1,0"
07/03/2009 12.00,"0,9","2,7","6,5","0,5","77,2",,"0,6"
07/03/2009 13.00,"0,6","4,0","8,2","0,4","79,0",,"0,5"
07/03/2009 14.00,"0,8","3,9","7,9","0,5","78,3",,"0,5"
07/03/2009 15.00,"0,9","3,2","7,1","0,3","73,2",,"0,5"
07/03/2009 16.00,"0,7","2,8","6,7","0,4","66,0",,"0,4"
07/03/2009 17.00,"0,8","3,2","6,9","0,3","65,6",,"0,5"
07/03/2009 18.00,"1,0","6,0","9,8","0,4","49,9",,"0,5"
07/03/2009 19.00,"1,0","8,2","12,2","0,2","35,7",,"0,5"
07/03/2009 20.00,"0,9","8,3","12,5","0,4","31,0",,"0,6"
07/03/2009 21.00,"0,6","5,5","9,2","0,2","60,9",,"0,5"
07/03/2009 22.00,"0,6","4,9","8,5","0,4","62,5",,"0,4"
07/03/2009 23.00,"0,3","3,7","7,2","0,3","61,1",,"0,4"
08/03/2009 0.00,"0,2","4,5","8,1","0,4","57,3",,"0,5"
08/03/2009 1.00,"0,1","4,2","7,8","0,4","53,4",,"0,7"
08/03/2009 2.00,"0,2","5,3","8,8","0,5","44,0",,"1,0"
08/03/2009 3.00,"0,5","9,2","12,7","0,5","29,0",,"1,1"
08/03/2009 4.00,"1,2","8,2","11,7","0,6","23,8",,"1,4"
08/03/2009 5.00,"0,7","8,6","12,1","0,5","18,1",,"1,5"
08/03/2009 6.00,"1,6","9,8","13,3","0,6","15,1",,"1,7"
08/03/2009 7.00,"1,5","9,0","13,8","0,4","17,6",,"1,6"
08/03/2009 8.00,"1,4","7,1","13,2","0,5","20,8",,"1,6"
08/03/2009 9.00,"1,4","5,6","11,0","0,4","32,3",,"1,7"
08/03/2009 10.00,"1,3","4,5","9,8","0,6","39,3",,"1,5"
08/03/2009 11.00,"1,5","4,5","9,9","0,5","44,7",,"1,4"
08/03/2009 12.00,"2,6","3,6","8,4","0,6","57,0",,"1,3"
08/03/2009 13.00,"2,3","3,7","8,6","0,5","62,9",,"1,1"
08/03/2009 14.00,"1,5","4,0","9,0","0,6","66,0",,"1,0"
08/03/2009 15.00,"1,4","4,2","9,1","0,5","69,8",,"0,9"
08/03/2009 16.00,"1,4","3,7","8,5","0,5","73,1",,"0,9"
08/03/2009 17.00,"2,0","6,4","11,4","0,5","72,5",,"0,8"
08/03/2009 18.00,"1,9","6,0","10,7","0,6","71,2",,"0,7"
08/03/2009 19.00,"1,4","6,7","11,2","0,5","70,6",,"0,7"
08/03/2009 20.00,"1,2","6,5","10,5","0,5","66,3",,"0,8"
08/03/2009 21.00,"0,9","8,0","11,6","0,4","59,0",,"0,9"
08/03/2009 22.00,"1,0","7,1","10,7","0,5","55,0",,"1,0"
08/03/2009 23.00,"0,9","7,7","11,2","0,4","56,7",,"1,0"
09/03/2009 0.00,"1,1","6,6","10,1","0,5","58,9",,"1,1"
09/03/2009 1.00,,"6,3","9,8","0,4","62,1",,"1,1"
09/03/2009 2.00,"0,5",,,"0,5","50,5",,"1,0"
09/03/2009 3.00,"0,6","6,0","7,7",,"54,3",,"1,1"
09/03/2009 4.00,"0,7","5,3","7,3","0,5",,,"1,1"
09/03/2009 5.00,"0,8","6,9","9,1","0,4","37,8",,"1,0"
09/03/2009 6.00,"0,6","7,0","9,2","0,4","36,2",,"1,1"
09/03/2009 7.00,"1,0","9,8","12,5","0,3","38,7",,"1,0"
09/03/2009 8.00,"0,9","11,5","15,2","0,5","46,1",,"1,1"
09/03/2009 9.00,"1,0","9,3","13,3","0,5","63,7",,"1,1"
09/03/2009 10.00,"0,6","5,7","9,5","0,6","78,1",,"1,2"
09/03/2009 11.00,"1,8","4,3","8,2","0,5","87,7",,"1,1"
09/03/2009 12.00,"3,7","4,1","8,5","0,7","95,3",,"0,5"
09/03/2009 13.00,"2,5","4,1","8,7","0,5","97,2",,"0,9"
09/03/2009 14.00,"2,9","4,2","8,9","0,6","96,2",,"0,8"
09/03/2009 15.00,"2,1","3,4","7,8","0,4","94,9",,"0,7"
09/03/2009 16.00,"1,0","3,5","7,9","0,6","93,8",,"0,7"
09/03/2009 17.00,"0,4","4,2","8,6","0,5","86,0",,"0,7"
09/03/2009 18.00,"0,3","5,5","9,8","0,6","80,3",,"0,7"
09/03/2009 19.00,"0,3","7,6","11,4","0,5","72,1",,"0,9"
09/03/2009 20.00,"0,9","9,8","13,8","0,6","59,6",,"1,1"
09/03/2009 21.00,"0,3","9,6","13,3","0,5","59,7",,"1,2"
09/03/2009 22.00,"1,0","4,1","7,8","0,5","70,8",,"0,4"
09/03/2009 23.00,"0,7","3,2","6,8","0,4","86,1",,"0,5"
10/03/2009 0.00,"0,4","3,3","6,9","0,4","87,9",,"0,2"
10/03/2009 1.00,"0,5","3,0","6,4","0,3","85,3",,"0,5"
10/03/2009 2.00,"0,4","2,8","6,1","0,4","82,3",,"0,5"
10/03/2009 3.00,"0,3","3,1","6,5","0,3","78,9",,"0,5"
10/03/2009 4.00,"0,4","3,2","6,5","0,4","76,8",,"0,5"
10/03/2009 5.00,"0,3","2,9","5,9","0,2","78,1",,"0,5"
10/03/2009 6.00,"0,4","3,2","6,1","0,2","77,5",,"0,5"
10/03/2009 7.00,"0,7","4,3","7,3","0,2","78,0",,"0,5"
10/03/2009 8.00,"0,9","7,4","11,1","0,4","73,7",,"0,7"
10/03/2009 9.00,"1,8","4,6","8,4","0,4","77,6",,"0,7"
10/03/2009 10.00,"1,8","4,9","9,3","0,6","78,1",,"0,7"
10/03/2009 11.00,"1,3","2,7","7,1","0,5","80,3",,"0,6"
10/03/2009 12.00,"1,6","3,1","8,0","0,7","80,9",,"0,5"
10/03/2009 13.00,"2,1","4,6","10,3","0,6","82,1",,"0,2"
10/03/2009 14.00,"1,7","4,0","9,5","0,7","85,1",,"0,5"
10/03/2009 15.00,"1,1","2,8","8,1","0,5","87,3",,"0,5"
10/03/2009 16.00,"1,7","3,5","8,9","0,6","87,0",,"0,5"
10/03/2009 17.00,"4,1","5,9","11,6","0,6","83,4",,"0,4"
10/03/2009 18.00,"1,5","4,4","9,8","0,7","82,7",,"0,4"
10/03/2009 19.00,"0,9","6,5","11,3","0,4","63,4",,"0,5"
10/03/2009 20.00,"1,0","9,8","15,8","0,5","43,0",,"0,5"
10/03/2009 21.00,"0,8","9,4","13,3","0,3","38,6",,"0,5"
10/03/2009 22.00,"0,4","24,9","28,6","0,5","19,7",,"0,7"
10/03/2009 23.00,"0,5","28,9","33,0","0,5","9,2",,"1,4"
11/03/2009 0.00,"0,5","41,6","47,1","1,1","11,2",,"3,0"
11/03/2009 1.00,,"22,8","26,0","0,7","20,5",,"4,7"
11/03/2009 2.00,"2,2",,,"0,6","30,6",,"2,7"
11/03/2009 3.00,"2,4","8,2","9,9",,"33,9",,"1,6"
11/03/2009 4.00,"0,9","5,3","7,3","0,4",,,"1,3"
11/03/2009 5.00,"0,9","4,7","6,7","0,3","52,4",,"0,8"
11/03/2009 6.00,"0,9","5,8","8,1","0,4","49,5",,"0,7"
11/03/2009 7.00,"0,9","7,7","10,3","0,3","64,3",,"0,7"
11/03/2009 8.00,"0,9","6,2","9,1","0,4","74,8",,"0,3"
11/03/2009 9.00,"0,9","5,9","9,3","0,4","70,6",,"0,6"
11/03/2009 10.00,"1,6","7,8","12,0","0,7","80,7",,"0,6"
11/03/2009 11.00,"1,2","6,4","10,3","0,6","72,0",,"0,8"
11/03/2009 12.00,"0,9","7,3","11,3","0,7","70,1",,"0,7"
11/03/2009 13.00,"0,8","5,7","9,8","0,5","70,2",,"0,5"
11/03/2009 14.00,"0,9","3,5","7,4","0,6","74,7",,"0,3"
11/03/2009 15.00,"0,8","4,3","8,1","0,4","73,3",,"0,6"
11/03/2009 16.00,"0,9","6,6","10,4","0,5","68,5",,"0,6"
11/03/2009 17.00,"0,7","10,0","14,1","0,5","61,2",,"0,8"
11/03/2009 18.00,"0,5","4,4","7,9","0,5","59,4",,"0,8"
11/03/2009 19.00,"0,7","6,3","9,7","0,4","36,9",,"0,4"
11/03/2009 20.00,"0,4","10,9","14,4","0,6","23,4",,"1,0"
11/03/2009 21.00,"0,4","18,5","21,9","0,5","15,2",,"1,7"
11/03/2009 22.00,"0,4","26,8","30,4","0,7","19,2",,"1,8"
11/03/2009 23.00,"0,6","26,1","29,6","0,7","15,0",,"2,1"
12/03/2009 0.00,"0,5","13,1","16,2","0,7","41,3",,"3,1"
12/03/2009 1.00,"0,5","6,6","9,7","0,5","57,4",,"1,7"
12/03/2009 2.00,"0,3","5,9","9,0","0,5","56,3",,"0,6"
12/03/2009 3.00,"0,3","5,0","8,1","0,4","53,8",,"0,8"
