NetC,ARPA Puglia,CERRATE,,,,,
Stat,Cerrate,,,,,,
Parm,SO2,NO2,NOx,CO,O3,PM10,BENZENE
,,,,,,,
,,,,,
,,,,,,,
,,,,,,,,,,,
,,,,,,,
02/01/2009 16.00,"0,5","9,7","16,9","0,5","35,5",,"0,9"
02/01/2009 17.00,"0,3","8,3","15,0","0,5","26,5",,"1,0"
02/01/2009 18.00,"0,4","11,8","18,9","0,5","21,5",,"0,9"
02/01/2009 19.00,"0,6","25,0","33,1","0,5","8,7",,"1,1"
02/01/2009 20.00,"0,5","27,6","35,6","0,6","5,5",,"1,1"
02/01/2009 21.00,"0,4","25,5","38,7","0,9","4,4",,"2,1"
02/01/2009 22.00,"0,8","23,8","45,0","0,9","3,6",,"2,6"
02/01/2009 23.00,"0,9","19,5","38,7","0,9","3,2",,"2,9"
03/01/2009 0.00,"0,9","20,5","34,1","0,9","4,1",,"2,8"
03/01/2009 1.00,"0,8","16,6","23,9","0,8","9,1",,"2,7"
03/01/2009 2.00,"0,5","10,1","16,7","0,8","17,2",,"2,2"
03/01/2009 3.00,"0,7","10,4","16,7","0,7","25,5",,"2,1"
03/01/2009 4.00,"0,5","4,8","11,3","0,6","39,0",,"1,5"
03/01/2009 5.00,"0,1","3,1","9,6","0,5","34,6",,"1,4"
03/01/2009 6.00,"0,2","3,7","10,2","0,5","31,6",,"0,9"
03/01/2009 7.00,"0,0","6,3","12,6","0,4","27,9",,"0,8"
03/01/2009 8.00,"0,0","11,6","18,3","0,5","23,5",,"0,8"
03/01/2009 9.00,"0,0","12,5","19,7","0,5","19,3",,"0,6"
03/01/2009 10.00,"0,0","11,4","19,3","0,6","21,7",,"1,0"
03/01/2009 11.00,"0,0","9,0","16,7","0,6","30,6",,"0,9"
03/01/2009 12.00,"0,0","4,6","11,4","0,6","43,9",,"0,9"
03/01/2009 13.00,"0,0","4,6","11,6","0,6","43,3",,"0,8"
03/01/2009 14.00,"0,1","8,0","15,8","0,7","40,1",,"0,8"
03/01/2009 15.00,"0,0","7,5","15,0","0,7","45,8",,"1,0"
03/01/2009 16.00,"0,0","7,1","14,2","0,6","46,9",,"1,0"
03/01/2009 17.00,"0,0","7,1","13,9","0,6","46,1",,"0,9"
03/01/2009 18.00,"0,0","4,8","11,4","0,5","48,1",,"1,0"
03/01/2009 19.00,"0,1","4,1","10,7","0,5","47,5",,"0,9"
03/01/2009 20.00,"0,0","4,6","11,2","0,5","49,1",,"0,8"
03/01/2009 21.00,"0,0","4,3","10,9","0,6","50,6",,"0,9"
03/01/2009 22.00,"0,0","4,4","11,0","0,5","50,9",,"0,8"
03/01/2009 23.00,"0,0","3,4","10,0","0,5","51,4",,"0,8"
04/01/2009 0.00,"0,0","3,0","9,4","0,5","54,0",,"0,8"
04/01/2009 1.00,,"3,3","9,7","0,5","55,8",,"0,8"
04/01/2009 2.00,"1,5","3,1","9,3","0,4","56,9",,"0,8"
04/01/2009 3.00,"1,4","2,5","8,5",,"59,0",,"0,6"
04/01/2009 4.00,"1,4","3,3","9,3","0,4",,,"0,7"
04/01/2009 5.00,"1,3","3,1","9,0","0,3","56,5",,"0,8"
04/01/2009 6.00,"1,3","3,7","9,8","0,3","54,6",,"0,8"
04/01/2009 7.00,"1,3","3,2","9,5","0,3","53,6",,"0,8"
04/01/2009 8.00,"1,5","4,2","10,5","0,3","51,8",,"0,8"
04/01/2009 9.00,"1,5","3,9","10,0","0,3","56,0",,"0,8"
04/01/2009 10.00,"1,5","5,1","11,3","0,2","50,5",,"0,8"
04/01/2009 11.00,"1,3","6,1","12,1","0,1","45,7",,"0,8"
04/01/2009 12.00,"1,2","5,3","11,3","0,2","52,1",,"0,8"
04/01/2009 13.00,"1,6","6,8","13,2","0,3","45,7",,"0,9"
04/01/2009 14.00,"2,2","6,9","13,4","0,3","46,3",,"0,9"
04/01/2009 15.00,"2,9","6,4","12,5","0,3","48,2",,"0,9"
04/01/2009 16.00,"3,0","6,7","12,5","0,2","49,8",,"0,8"
04/01/2009 17.00,"2,6","6,6","12,2","0,2","46,4",,"0,8"
04/01/2009 18.00,"3,3","6,0","11,6","0,2","45,8",,"0,8"
04/01/2009 19.00,"3,4","6,0","11,6","0,2","43,0",,"0,9"
04/01/2009 20.00,"2,9","6,6","12,2","0,2","39,0",,"1,3"
04/01/2009 21.00,"2,0","10,6","16,1","0,3","32,2",,"1,2"
04/01/2009 22.00,"1,9","12,6","18,0","0,2","27,0",,"1,5"
04/01/2009 23.00,"1,4","9,5","14,7","0,2","29,4",,"1,4"
05/01/2009 0.00,"1,7","8,9","13,9","0,2","28,2",,"1,3"
05/01/2009 1.00,"2,5","8,5","13,5","0,1","31,6",,"1,5"
05/01/2009 2.00,"2,5","6,8","11,7","0,1","33,8",,"1,2"
05/01/2009 3.00,"2,4","5,5","10,6","0,1","40,7",,"1,1"
05/01/2009 4.00,"1,9","5,1","10,1","0,1","40,1",,"0,9"
05/01/2009 5.00,"2,9","5,3","10,4","0,1","34,2",,"0,9"
05/01/2009 6.00,"2,7","7,2","12,1","0,1","29,3",,"0,9"
05/01/2009 7.00,"2,8","7,7","12,6","0,0","34,0",,"1,0"
05/01/2009 8.00,"2,7","12,3","17,9","0,0","31,3",,"0,9"
05/01/2009 9.00,"2,3","14,5","22,0","0,0","29,5",,"1,0"
05/01/2009 10.00,"3,2","10,5","14,8","0,0","43,4",,"1,7"
05/01/2009 11.00,"3,7","7,7","12,4","0,0","50,8",,"2,2"
05/01/2009 12.00,"8,4","13,3","21,4","0,2","50,1",,"1,1"
05/01/2009 13.00,"8,6","9,5","16,8","0,4","57,1",,"1,5"
05/01/2009 14.00,"8,4","8,8","16,3","0,6","62,5",,"1,2"
05/01/2009 15.00,"5,3","4,7","11,9","0,7","66,2",,"1,1"
05/01/2009 16.00,"4,8","6,4","14,0","0,8","59,0",,"1,0"
05/01/2009 17.00,"3,4","15,7","25,9","0,6","40,8",,"0,9"
05/01/2009 18.00,"4,1","12,0","19,0","0,4","30,0",,"1,1"
05/01/2009 19.00,"4,0","24,8","33,5","0,5","23,3",,"1,2"
05/01/2009 20.00,"3,5","17,7","23,2","0,4","31,0",,"2,4"
05/01/2009 21.00,"3,7","17,1","22,2","0,4","34,4",,"1,7"
05/01/2009 22.00,"3,9","13,6","19,0","0,5","39,5",,"2,1"
05/01/2009 23.00,"4,0","9,7","14,9","0,4","47,1",,"1,9"
06/01/2009 0.00,"3,9","7,4","12,5","0,3","49,3",,"1,4"
06/01/2009 1.00,,"5,6","10,6","0,3","52,0",,"1,2"
06/01/2009 2.00,"1,0","5,8","11,3","0,4","51,2",,"1,1"
06/01/2009 3.00,"0,7","5,2","10,6",,"50,4",,"0,9"
06/01/2009 4.00,"1,1","5,6","11,1","0,4",,,"0,8"
06/01/2009 5.00,"1,1","5,0","10,2","0,3","52,2",,"0,8"
06/01/2009 6.00,"1,0","4,8","10,0","0,3","53,5",,"1,0"
06/01/2009 7.00,"1,0","4,4","9,6","0,2","53,4",,"0,8"
06/01/2009 8.00,"0,9","5,5","10,9","0,3","50,1",,"0,9"
06/01/2009 9.00,"1,0","6,2","11,9","0,3","47,3",,"1,1"
06/01/2009 10.00,"1,0","7,3","13,5","0,3","47,3",,"0,8"
06/01/2009 11.00,"1,2","7,6","14,6","0,4","50,8",,"1,1"
06/01/2009 12.00,"2,1","5,7","12,3","0,5","61,2",,"0,8"
06/01/2009 13.00,"2,9","3,2","9,6","0,6","68,5",,"0,9"
06/01/2009 14.00,"2,6","3,0","9,6","0,6","69,4",,"1,1"
06/01/2009 15.00,"3,1","3,4","10,0","0,6","71,0",,"1,3"
06/01/2009 16.00,"3,5","5,0","12,2","0,7","68,6",,"1,2"
06/01/2009 17.00,"1,6","7,4","14,4","0,5","53,1",,"0,9"
06/01/2009 18.00,"1,1","19,6","27,5","0,4","25,3",,"1,2"
06/01/2009 19.00,"1,0","14,6","20,1","0,3","18,4",,"1,0"
06/01/2009 20.00,"1,2","41,2","53,2","1,2","15,7",,"1,9"
06/01/2009 21.00,"1,6","34,9","52,8","1,3","13,1",,"6,2"
06/01/2009 22.00,"2,3","33,5","58,4","1,6","12,8",,"6,9"
06/01/2009 23.00,"1,9","43,8","59,8","1,4","14,1",,"7,4"
07/01/2009 0.00,"1,7","27,1","34,8","1,1","15,0",,"7,0"
07/01/2009 1.00,"1,4","19,1","23,4","0,6","20,6",,"5,7"
07/01/2009 2.00,"1,0","13,5","17,7","0,5","18,2",,"3,5"
07/01/2009 3.00,"1,0","18,5","23,0","0,7","12,0",,"3,3"
07/01/2009 4.00,"1,0","18,1","22,4","0,8","10,0",,"4,3"
07/01/2009 5.00,"0,7","13,8","18,0","0,7","14,8",,"4,5"
07/01/2009 6.00,"0,9","13,7","17,7","0,5","15,8",,"3,7"
07/01/2009 7.00,"1,0","17,6","21,8","0,3","14,6",,"2,9"
07/01/2009 8.00,"1,6","29,4","46,1","0,3","9,2",,"2,4"
07/01/2009 9.00,"1,6","33,7","61,0","0,4","9,6",,"2,4"
07/01/2009 10.00,"1,6","18,7","27,1","0,4","24,9",,"2,2"
07/01/2009 11.00,"2,2","10,3","16,2","0,4","41,7",,"1,7"
07/01/2009 12.00,"2,2","5,7","11,3","0,5","55,6",,"1,1"
07/01/2009 13.00,"2,0","5,9","11,9","0,6","58,4",,"0,9"
07/01/2009 14.00,"1,8","6,1","12,4","0,6","59,6",,"1,3"
07/01/2009 15.00,"1,3","5,6","12,1","0,6","62,7",,"1,2"
07/01/2009 16.00,"0,9","4,1","10,4","0,6","62,6",,"0,9"
07/01/2009 17.00,"0,9","2,8","8,5","0,5","60,3",,"0,7"
07/01/2009 18.00,"1,2","2,9","8,2","0,4","53,6",,"0,8"
07/01/2009 19.00,"1,3","5,2","10,2","0,4","49,9",,"0,9"
07/01/2009 20.00,"1,0","5,2","10,4","0,5","54,3",,"0,9"
07/01/2009 21.00,"1,0","4,7","10,0","0,4","53,5",,"0,8"
07/01/2009 22.00,"1,5","4,0","9,3","0,4","59,8",,"0,8"
07/01/2009 23.00,"1,1","4,3","9,5","0,4","59,0",,"0,7"
08/01/2009 0.00,"0,8","5,3","10,7","0,5","50,4",,"0,9"
08/01/2009 1.00,,"5,0","10,3","0,5","40,6",,"1,1"
