"NetC","Provincia Bari","","","","","","","","","","",""
"Stat","Andria","","","","","","","","","","",""
Parm,NO2,NOX,CO,O3,PM10,BENZENE
,,,,,
,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
01/01/2012 1.00,"29,11515208","48,06976408","0,43724664","18,90217613",,"2,23380491"
01/01/2012 2.00,"29,66609488","39,24385736","0,55634808","23,6153736","29,54821968","3,04138528"
01/01/2012 3.00,"19,29479504","25,74817744","0,38637575","31,59886485",,"3,43096442"
01/01/2012 4.00,"12,8774787","18,72117974","0,30357104","37,78340475","149,93890381","2,5022746"
01/01/2012 5.00,"11,91380775","16,91384645","0,25603555","39,17974515",,"1,4989563"
01/01/2012 6.00,"16,02742413","21,77943904","0,30864578","36,02565015","78,87667084","1,24821088"
01/01/2012 7.00,"15,4297444","21,88968496","0,26367911","37,33552725",,"1,31860254"
01/01/2012 8.00,"16,51347556","23,14579248","0,30734331","36,9369462","44,4444313","0,71305633"
01/01/2012 9.00,"15,6374029","22,99470624","0,32983597","39,34660695",,"0,83071001"
01/01/2012 10.00,"16,07024719","24,6865968","0,32375234","39,6708543","30,52503014","0,96508418"
01/01/2012 11.00,"16,29477909","26,67098512","0,40203568","43,251201",,"1,22580637"
01/01/2012 12.00,"17,47259786","28,40178488","0,38171458","44,6948229","21,73381996","2,01142769"
01/01/2012 13.00,"15,17601818","25,6534952","0,33508895","48,52105335",,"2,36929371"
01/01/2012 14.00,"14,44985205","23,38444832","0,30669091","52,1324622","11,96580982","2,24885345"
01/01/2012 15.00,"6,09270463","11,21718394","0,19559418","57,87090015",,"2,02198211"
01/01/2012 16.00,"14,05594754","21,15234128","0,2969154","44,54011065","10,98900986","1,05269772"
01/01/2012 17.00,"35,48706416","64,36625632","0,70795536","22,5338442",,"1,20735799"
01/01/2012 18.00,"60,05446688","158,85991576","1,6172064","7,7139468","11,72161007","4,67666738"
01/01/2012 19.00,"55,48077168","120,48959384","1,14855952","8,30774459",,"11,41631316"
01/01/2012 20.00,"44,53128304","70,46526864","0,65516921","12,27516518","23,68741989","9,96049698"
01/01/2012 21.00,"38,27942544","57,44365","0,53430978","17,65715847",,"6,97060851"
01/01/2012 22.00,"42,9498296","62,81767016","0,60001228","13,45802861","29,05982971","5,0427823"
01/01/2012 23.00,"37,187922","51,03917656","0,49414174","16,89312933",,"4,79699577"
02/01/2012 0.00,"25,1189956","34,05593216","0,35059161","27,9503091","15,14041042","3,79546231"
02/01/2012 1.00,"13,7756101","19,02207883","0,24934146",,,"2,26055709"
02/01/2012 2.00,"12,79636783","17,64728582","0,28402001","37,19096955","17,09399986","1,24291638"
02/01/2012 3.00,,,"0,27835229","40,42677975",,"1,49845492"
02/01/2012 4.00,"22,62903624","26,94334952",,"43,40116515","10,7448101","1,4513607"
02/01/2012 5.00,"15,06634777","20,74575448","0,22536692","41,69949",,"0,73128097"
02/01/2012 6.00,"18,48559075","26,23908344","0,28636982","35,30417835","14,65200996","0,42508058"
02/01/2012 7.00,"25,39998312","36,56818544","0,32873038","26,97617055",,"0,97394531"
02/01/2012 8.00,"29,99056128","46,60934024","0,45553364","21,9130401","10,98900986","1,82249044"
