"NetC","SIMAGE Brindisi","","","",""
"Stat","Via Dei Mille","","","",""
Parm,SO2,NOX,NO2,PM10
06/01/2011 0.00,"0,4","105,2","78,8","35,2"
06/01/2011 1.00,,"60,7","47,5",
06/01/2011 2.00,"0,4",,,"41,5"
06/01/2011 3.00,"0,2","28,8","24,1",
06/01/2011 4.00,"0,1","23,5","20,9","23,4"
06/01/2011 5.00,"0,1",18,"17,2",
06/01/2011 6.00,"0,2","26,3","23,6","17,3"
06/01/2011 7.00,"0,2",40,"30,2",
06/01/2011 8.00,"0,1","45,3","32,4","15,9"
06/01/2011 9.00,"0,3","64,2","36,2",
06/01/2011 10.00,"0,4","63,3",38,"15,4"
06/01/2011 11.00,"0,3","32,1","21,1",
06/01/2011 12.00,"0,2","38,6","23,7","18,6"
06/01/2011 13.00,"0,4","41,1","25,6",
06/01/2011 14.00,"0,4","26,8","19,3","16,1"
06/01/2011 15.00,"0,4",32,"24,5",
06/01/2011 16.00,"0,3","73,2","48,8",11
06/01/2011 17.00,"0,4","90,9","64,5",
06/01/2011 18.00,"0,4","121,6","84,4","14,4"
06/01/2011 19.00,"0,8","183,2","110,8",
06/01/2011 20.00,"3,5","356,7","135,3","28,6"
06/01/2011 21.00,2,"248,5","124,6",
06/01/2011 22.00,"0,3","119,5","82,9","36,4"
06/01/2011 23.00,"0,2","88,6","66,2",
07/01/2011 0.00,"0,2","84,3","62,3","42,2"
07/01/2011 1.00,"0,1",45,"37,5",
07/01/2011 2.00,0,"40,6","34,5","35,7"
07/01/2011 3.00,0,"36,6","31,6",
07/01/2011 4.00,0,27,"24,2","37,6"
07/01/2011 5.00,0,"21,1","19,1",
07/01/2011 6.00,0,"29,3","26,3","30,8"
07/01/2011 7.00,"0,1","64,5",47,
07/01/2011 8.00,"0,3","108,2","59,8","25,9"
07/01/2011 9.00,"0,3","112,6","58,5",
07/01/2011 10.00,"0,3","94,8","53,7","24,7"
07/01/2011 11.00,"0,2","76,7","48,7",
07/01/2011 12.00,0,47,"32,7","20,5"
07/01/2011 13.00,"0,3","63,5","41,6",
07/01/2011 14.00,"0,4","84,4","51,9","15,6"
07/01/2011 15.00,"0,3","52,8",37,
07/01/2011 16.00,"0,2",61,"46,8","10,7"
07/01/2011 17.00,"0,4","91,1","68,4",
07/01/2011 18.00,"0,4","98,6","75,1","16,1"
07/01/2011 19.00,"0,3","114,6","79,5",
07/01/2011 20.00,"0,4","127,4","83,9","24,9"
07/01/2011 21.00,"1,1","201,3","104,2",
07/01/2011 22.00,"0,4","158,3","93,8",32
07/01/2011 23.00,"0,4","148,9",87,
08/01/2011 0.00,"0,4","123,5","78,6","46,2"
08/01/2011 1.00,,"81,8","56,6",
08/01/2011 2.00,"0,2",,,54
08/01/2011 3.00,"0,2","47,7","37,5",
08/01/2011 4.00,0,"33,1","29,5","45,2"
08/01/2011 5.00,0,"26,7","24,3",
08/01/2011 6.00,0,"32,1","28,6","38,3"
08/01/2011 7.00,0,"61,8","49,9",
08/01/2011 8.00,"0,4","99,5","65,2",30
08/01/2011 9.00,"0,4","115,3","71,2",
08/01/2011 10.00,"0,6",124,"68,2","21,7"
08/01/2011 11.00,0,"55,9","38,8",
08/01/2011 12.00,0,"42,1",31,"20,5"
08/01/2011 13.00,"0,1","42,6","31,3",
08/01/2011 14.00,"0,3",55,36,"19,5"
08/01/2011 15.00,0,"31,5","24,2",
08/01/2011 16.00,"0,1","35,9",28,"18,3"
08/01/2011 17.00,0,"44,7","37,9",
08/01/2011 18.00,"0,2","65,3","52,6","16,8"
08/01/2011 19.00,"0,1","66,4","54,3",
08/01/2011 20.00,"0,5","138,9","89,9","22,7"
08/01/2011 21.00,"0,7","167,2","99,7",
08/01/2011 22.00,"0,5","111,6","73,6","27,4"
08/01/2011 23.00,"0,5","111,4","68,8",
09/01/2011 0.00,"0,3","93,8",59,"38,3"
09/01/2011 1.00,"0,3","83,2","54,8",
09/01/2011 2.00,"0,3","79,8","51,5","46,4"
09/01/2011 3.00,"0,2","81,5","51,2",
09/01/2011 4.00,0,"58,2","42,4","41,8"
09/01/2011 5.00,0,27,"23,3",
09/01/2011 6.00,0,"28,3","25,8","38,1"
09/01/2011 7.00,"0,3","87,3",51,
09/01/2011 8.00,"0,2","75,6","44,9","23,9"
09/01/2011 9.00,"0,3","98,7","51,6",
09/01/2011 10.00,"0,5","105,2","56,1","26,4"
09/01/2011 11.00,"0,2","61,8","37,2",
09/01/2011 12.00,"0,1","63,8","40,2","25,4"
09/01/2011 13.00,"0,1","50,1","34,4",
09/01/2011 14.00,0,"33,5","25,1","34,7"
09/01/2011 15.00,0,"16,9","13,7",
09/01/2011 16.00,0,27,"22,5","28,6"
09/01/2011 17.00,"0,1","50,9","39,9",
09/01/2011 18.00,"0,1","63,8","49,2","22,7"
09/01/2011 19.00,"0,1","62,6","49,2",
09/01/2011 20.00,"0,1","60,4","46,4","29,5"
09/01/2011 21.00,0,"74,6","53,6",
09/01/2011 22.00,0,"59,6","45,3",33
09/01/2011 23.00,0,"51,2","38,7",
10/01/2011 0.00,0,"35,1","27,7","31,5"
10/01/2011 1.00,,"22,8","18,7",
10/01/2011 2.00,0,,,"29,8"
10/01/2011 3.00,0,"13,4",12,
10/01/2011 4.00,0,"13,1","11,4","16,4"
10/01/2011 5.00,0,"12,7","11,8",
10/01/2011 6.00,0,"22,5","19,8","17,3"
10/01/2011 7.00,"0,1","68,9","50,7",
10/01/2011 8.00,"0,9","165,7","76,1","18,3"
10/01/2011 9.00,1,"173,4","81,6",
10/01/2011 10.00,"0,7","141,5","71,5","26,6"
10/01/2011 11.00,"0,5","114,7","66,6",
10/01/2011 12.00,"0,5","101,3",63,"33,9"
10/01/2011 13.00,"0,1",89,"58,1",
10/01/2011 14.00,,"85,3","53,2","33,9"
10/01/2011 15.00,"0,5","62,2","42,1",
10/01/2011 16.00,"0,5","64,5","49,4",33
10/01/2011 17.00,"0,5","76,3","54,4",
10/01/2011 18.00,1,"137,9","86,1","30,5"
10/01/2011 19.00,"1,1","108,3","69,8",
10/01/2011 20.00,"1,2","137,3","81,2","28,8"
10/01/2011 21.00,,,,
10/01/2011 22.00,"0,8","106,2","68,1","35,4"
10/01/2011 23.00,"0,5","60,1","45,4",
11/01/2011 0.00,"0,5","49,9","40,8","40,5"
11/01/2011 1.00,"0,5","33,3","26,8",
11/01/2011 2.00,"0,5","21,2",17,"32,5"
11/01/2011 3.00,"0,5","11,8","10,6",
11/01/2011 4.00,"0,3","7,9","7,6","23,9"
11/01/2011 5.00,"0,5","12,1","11,3",
11/01/2011 6.00,"0,5","26,8",23,"17,8"
11/01/2011 7.00,"0,5","54,6","44,2",
11/01/2011 8.00,"1,5",145,"74,6","14,9"
11/01/2011 9.00,"1,3","122,8","67,4",
11/01/2011 10.00,"0,6","97,3","59,6","18,3"
11/01/2011 11.00,"0,8","88,4","54,4",
11/01/2011 12.00,"0,6",51,"33,5","28,8"
11/01/2011 13.00,"0,5","42,1","29,3",
11/01/2011 14.00,"0,5","45,9","30,5","26,9"
11/01/2011 15.00,"0,6","47,8","31,9",
11/01/2011 16.00,"0,6","56,1","39,9","23,4"
11/01/2011 17.00,"0,6","71,6","52,4",
11/01/2011 18.00,"0,5","91,4","66,7","20,5"
11/01/2011 19.00,"0,6","99,1","69,8",
11/01/2011 20.00,"1,2","111,8","74,2","25,4"
11/01/2011 21.00,"0,9","105,7","70,9",
11/01/2011 22.00,"1,5","128,2","70,1","37,1"
11/01/2011 23.00,"0,9","101,6","63,4",
12/01/2011 0.00,"1,1",111,"57,9","45,7"
12/01/2011 1.00,,"40,4","31,7",
12/01/2011 2.00,"0,5",,,"34,7"
12/01/2011 3.00,"0,5","28,5",22,
12/01/2011 4.00,"0,5","15,9","14,8","23,4"
12/01/2011 5.00,"0,5","16,2","15,2",
12/01/2011 6.00,"0,5","24,9","23,1","20,8"
12/01/2011 7.00,"0,9","73,4","47,1",
12/01/2011 8.00,"1,6","136,1","60,8","19,5"
12/01/2011 9.00,"1,7","158,2","72,1",
12/01/2011 10.00,"0,7",75,"44,3","21,2"
12/01/2011 11.00,"0,5","32,5","22,9",
12/01/2011 12.00,"0,4",29,"20,5","27,1"
12/01/2011 13.00,"0,5",38,"24,6",
12/01/2011 14.00,"0,5","42,7","28,9","17,3"
12/01/2011 15.00,"0,5","28,7",21,
12/01/2011 16.00,"0,5","26,8","20,9","19,5"
12/01/2011 17.00,"0,5","30,2","22,4",
12/01/2011 18.00,"0,5","36,5","26,6","22,7"
12/01/2011 19.00,"0,5","54,1","41,8",
12/01/2011 20.00,"0,6","65,8","47,3","22,7"
12/01/2011 21.00,"0,5","32,9","26,9",
12/01/2011 22.00,"0,5","32,1","25,6","25,4"
12/01/2011 23.00,"0,5","35,4","24,7",
13/01/2011 0.00,"0,4","28,4","25,9",21
13/01/2011 1.00,"0,4","27,6","23,1",
13/01/2011 2.00,"0,4","21,9","19,8","12,5"
13/01/2011 3.00,"0,3","17,7","16,4",
13/01/2011 4.00,"0,3","15,2","14,9","6,8"
13/01/2011 5.00,"0,4","15,7","15,5",
13/01/2011 6.00,"0,5","16,7","15,9","11,2"
13/01/2011 7.00,"0,4",17,16,
13/01/2011 8.00,"0,3","22,8","18,7",20
13/01/2011 9.00,"0,5","26,7","18,8",
13/01/2011 10.00,"0,5","26,3",18,"17,1"
13/01/2011 11.00,"0,5","29,5","19,9",
13/01/2011 12.00,"0,5","31,4","22,4","16,4"
13/01/2011 13.00,"0,5","31,4",22,
13/01/2011 14.00,"0,5","33,1","20,4","20,8"
13/01/2011 15.00,"0,5",24,"17,8",
13/01/2011 16.00,"0,5","26,6","20,5","20,8"
13/01/2011 17.00,"0,5","33,2","26,1",
13/01/2011 18.00,"0,5","63,9","48,2","19,8"
13/01/2011 19.00,"0,5","93,7","69,4",
13/01/2011 20.00,"0,4","121,2","72,8","26,6"
13/01/2011 21.00,"0,5","87,7","63,2",
13/01/2011 22.00,"0,5","58,4","46,3","24,4"
13/01/2011 23.00,"0,5","58,3",44,
14/01/2011 0.00,"0,5","59,4",42,"25,4"
14/01/2011 1.00,,"61,5","41,9",
14/01/2011 2.00,"0,5",,,"26,9"
14/01/2011 3.00,"0,3","33,8","30,6",
14/01/2011 4.00,"0,4",32,"29,6","24,2"
14/01/2011 5.00,"0,2","24,5","22,9",
14/01/2011 6.00,"0,3","28,3","27,2","24,2"
