"NetC","SIMAGE Brindisi","","","",""
"Stat","Via Dei Mille","","","",""
Parm,SO2,NOX,NO2,PM10
20/03/2011 20.00,"0,5","17,2","10,9","17,3"
20/03/2011 21.00,"0,5","17,2",11,
20/03/2011 22.00,"0,5","26,5","15,9",12
20/03/2011 23.00,"0,6","36,7","22,8",
21/03/2011 0.00,"0,5","29,1","17,7","15,9"
21/03/2011 1.00,,"24,4","13,1",
21/03/2011 2.00,"0,6",,,"13,4"
21/03/2011 3.00,"1,5","9,4","5,7",
21/03/2011 4.00,"1,3","7,8","4,9","9,8"
21/03/2011 5.00,"0,5","7,1","4,4",
21/03/2011 6.00,"0,5","8,1","5,3","12,5"
21/03/2011 7.00,"0,5",16,10,
21/03/2011 8.00,"0,9","26,3","15,2","13,9"
21/03/2011 9.00,"1,1","53,3","28,3",
21/03/2011 10.00,"0,6","41,8","23,9","12,5"
21/03/2011 11.00,"0,5","23,5","13,9",
21/03/2011 12.00,"0,9","28,3","14,8",20
21/03/2011 13.00,"1,4","23,5","12,9",
21/03/2011 14.00,"0,9","30,9","16,6","14,4"
21/03/2011 15.00,"0,7","17,4","9,8",
21/03/2011 16.00,"0,5","17,5","9,5","14,9"
21/03/2011 17.00,"0,5","16,1","8,8",
21/03/2011 18.00,"0,5","19,3","10,8","17,1"
21/03/2011 19.00,"0,6","23,9","13,7",
21/03/2011 20.00,"0,5",32,"17,9","16,4"
21/03/2011 21.00,"0,5","29,4","16,3",
21/03/2011 22.00,"0,5","24,7","15,7",21
21/03/2011 23.00,"0,5","20,9","11,9",
22/03/2011 0.00,"0,5","23,5","16,1","24,9"
22/03/2011 1.00,"0,5","20,5","13,4",
22/03/2011 2.00,"0,5","12,9","8,7","25,9"
22/03/2011 3.00,"0,5","9,8","7,4",
22/03/2011 4.00,"0,5","9,2","5,8","22,5"
22/03/2011 5.00,"0,6","45,6","30,1",
22/03/2011 6.00,"0,5","23,8","17,4","22,2"
22/03/2011 7.00,"0,5","16,8","10,6",
22/03/2011 8.00,"0,6","36,2",21,"21,7"
22/03/2011 9.00,"0,5","43,1","23,4",
22/03/2011 10.00,"1,6","47,1","25,7","24,2"
22/03/2011 11.00,"2,1","66,4","35,7",
22/03/2011 12.00,"2,2",55,"30,7",23
22/03/2011 13.00,"1,8","39,7","21,9",
22/03/2011 14.00,2,44,"24,2","24,2"
22/03/2011 15.00,2,31,"17,3",
22/03/2011 16.00,2,"24,9","14,3","20,3"
22/03/2011 17.00,2,"28,9","17,5",
22/03/2011 18.00,"0,8","22,3","13,1",19
22/03/2011 19.00,"0,5","26,8","15,6",
22/03/2011 20.00,"0,5","27,6","17,4","26,1"
22/03/2011 21.00,"0,5","18,5","11,2",
22/03/2011 22.00,"0,5",18,"12,2","23,4"
22/03/2011 23.00,"0,5","20,1","13,8",
23/03/2011 0.00,"0,5","19,6",13,"20,8"
23/03/2011 1.00,,"34,2","22,1",
23/03/2011 2.00,"0,5",,,"23,9"
23/03/2011 3.00,"0,5","13,9","9,5",
23/03/2011 4.00,"0,5","11,1","7,8","17,1"
23/03/2011 5.00,"0,5","12,6","8,9",
23/03/2011 6.00,"0,5","11,8","8,5",21
23/03/2011 7.00,"0,5","25,5","17,8",
23/03/2011 8.00,"1,2","28,5","17,1","22,5"
23/03/2011 9.00,"2,1","38,7","22,1",
23/03/2011 10.00,"3,9","26,3","15,1","20,8"
23/03/2011 11.00,"4,5","32,9","17,9",
23/03/2011 12.00,"2,5","34,2","18,1","25,4"
23/03/2011 13.00,"2,1","27,7","14,7",
23/03/2011 14.00,2,"28,5","14,9","20,5"
23/03/2011 15.00,"3,5",19,"10,2",
23/03/2011 16.00,"5,7","17,9","9,9","19,5"
23/03/2011 17.00,"3,7","18,7","10,9",
23/03/2011 18.00,"3,2","21,6","13,4",19
23/03/2011 19.00,3,"20,6",13,
23/03/2011 20.00,"0,9","20,2","12,8","23,7"
23/03/2011 21.00,"0,5","19,6","12,1",
23/03/2011 22.00,"0,5",15,10,"24,4"
23/03/2011 23.00,"0,5","13,3","8,8",
24/03/2011 0.00,"0,5","12,6","9,2","16,4"
24/03/2011 1.00,"0,5","17,6","13,6",
24/03/2011 2.00,"0,5","13,9","10,1","13,9"
24/03/2011 3.00,"0,5","13,5","10,3",
24/03/2011 4.00,"0,5","10,6","7,4","9,5"
24/03/2011 5.00,"0,5","10,8",8,
24/03/2011 6.00,"0,5","13,4","9,9","13,9"
24/03/2011 7.00,"0,5","19,6","14,8",
24/03/2011 8.00,"0,5","25,1","17,1","12,9"
24/03/2011 9.00,"0,5","26,3","16,5",
24/03/2011 10.00,"0,5","23,1",14,"9,8"
24/03/2011 11.00,"0,7","27,9",18,
24/03/2011 12.00,"0,6","24,2","15,6","12,5"
24/03/2011 13.00,"0,6","19,7","11,6",
24/03/2011 14.00,1,"27,4","16,1",12
24/03/2011 15.00,"0,5","17,5","11,3",
24/03/2011 16.00,"0,5",16,"9,5","15,6"
24/03/2011 17.00,"0,5",19,12,
24/03/2011 18.00,"0,5","25,4","15,7","10,7"
24/03/2011 19.00,"0,5",43,"29,2",
24/03/2011 20.00,"0,5","57,5","41,1","18,6"
24/03/2011 21.00,"0,5","61,2","46,1",
24/03/2011 22.00,"0,5","42,8","35,4","21,7"
24/03/2011 23.00,"0,5","36,2",28,
25/03/2011 0.00,"0,5","23,4","17,6","14,9"
25/03/2011 1.00,,"20,1","14,5",
25/03/2011 2.00,"0,5",,,11
25/03/2011 3.00,"0,5","16,6","11,8",
25/03/2011 4.00,"0,4",14,"10,1","8,3"
25/03/2011 5.00,"0,4","14,3","10,2",
25/03/2011 6.00,"0,5","25,5","19,7","8,8"
25/03/2011 7.00,"0,5","41,9","31,6",
25/03/2011 8.00,"0,5","73,8",49,"9,3"
25/03/2011 9.00,"0,5","54,5","32,4",
25/03/2011 10.00,"0,5","27,2","16,8","5,9"
25/03/2011 11.00,"0,5","25,4","15,9",
25/03/2011 12.00,"0,6","28,1","17,3","6,6"
25/03/2011 13.00,"0,5","25,2","17,8",
25/03/2011 14.00,"1,1","37,5","26,2","6,1"
25/03/2011 15.00,"4,5","47,4","34,6",
25/03/2011 16.00,"1,1","43,1","30,4","3,9"
25/03/2011 17.00,"2,1","57,6",38,
25/03/2011 18.00,"1,3","82,1","59,3","3,7"
25/03/2011 19.00,"0,5","74,5","58,4",
25/03/2011 20.00,"0,5","69,7","56,6","11,2"
25/03/2011 21.00,"0,5","69,8","54,6",
25/03/2011 22.00,"0,5","56,5","45,4","15,1"
25/03/2011 23.00,"0,5","47,7",38,
26/03/2011 0.00,"0,5",31,"24,8","15,4"
26/03/2011 1.00,"0,5","35,9",28,
26/03/2011 2.00,"0,5","43,1","32,3","13,4"
26/03/2011 3.00,"0,5","37,7","30,1",
26/03/2011 4.00,"0,5","27,8","21,3","8,1"
26/03/2011 5.00,"0,5","21,6","17,5",
26/03/2011 6.00,"0,5",21,17,"12,7"
26/03/2011 7.00,"0,5","52,2","37,4",
26/03/2011 8.00,"1,2","106,5","62,6","7,8"
26/03/2011 9.00,"1,5",99,"56,9",
26/03/2011 10.00,"1,8","38,3","27,5","15,4"
26/03/2011 11.00,"3,2","44,7",33,
26/03/2011 12.00,"2,4","39,1","27,2","10,3"
26/03/2011 13.00,"1,9","42,6","29,2",
26/03/2011 14.00,"1,5","42,3","27,7","9,5"
26/03/2011 15.00,1,"25,3","18,5",
26/03/2011 16.00,"0,9","27,9",20,"8,3"
26/03/2011 17.00,1,"41,8","31,8",
26/03/2011 18.00,"0,6","36,3",29,"5,9"
26/03/2011 19.00,"0,6","55,3",45,
26/03/2011 20.00,1,"59,3","46,9","10,3"
26/03/2011 21.00,"0,4","74,1","57,7",
26/03/2011 22.00,"0,4","72,5","58,2",20
26/03/2011 23.00,"0,4","60,8","47,2",
27/03/2011 0.00,"0,4","71,4",53,19
27/03/2011 1.00,,63,"49,8",
27/03/2011 2.00,"0,7",,,"21,2"
27/03/2011 3.00,"0,9","77,6","51,7",
27/03/2011 4.00,"0,5","35,8","28,6","16,8"
27/03/2011 5.00,"0,5","24,4","18,8",
27/03/2011 6.00,"0,5","32,2","26,9","17,8"
27/03/2011 7.00,"0,5","41,5","32,3",
27/03/2011 8.00,"0,5","46,1","30,2","16,8"
27/03/2011 9.00,"0,5","30,9","20,4",
27/03/2011 10.00,"0,5","23,8","16,5",21
27/03/2011 11.00,"4,2","60,8","36,1",
27/03/2011 12.00,"6,5","58,6","40,4","11,7"
27/03/2011 13.00,"2,6","51,9","35,2",
27/03/2011 14.00,"3,2","39,7","28,3","13,9"
27/03/2011 15.00,"2,6","35,9","26,5",
27/03/2011 16.00,"2,1","33,9","21,7","7,8"
27/03/2011 17.00,"1,7",36,"23,8",
27/03/2011 18.00,1,"41,7","28,1","8,3"
27/03/2011 19.00,1,"90,1","57,4",
27/03/2011 20.00,"1,6","111,8","80,2","14,2"
27/03/2011 21.00,"0,4","61,5",50,
27/03/2011 22.00,"0,5",49,"38,3","11,5"
27/03/2011 23.00,"0,4","33,3","26,4",
28/03/2011 0.00,"0,5","21,6","16,3","15,4"
28/03/2011 1.00,"0,4",18,"13,5",
28/03/2011 2.00,"0,5","12,3","9,2","14,4"
28/03/2011 3.00,"0,4","13,7",10,
28/03/2011 4.00,"0,4","12,1","8,6","9,3"
28/03/2011 5.00,"0,5","22,3","16,5",
28/03/2011 6.00,"0,5","46,6","36,6","8,5"
28/03/2011 7.00,1,"98,5","61,8",
28/03/2011 8.00,"0,7","79,5","51,8",10
28/03/2011 9.00,"0,5","42,3","28,9",
28/03/2011 10.00,"0,5","42,5","27,5","13,9"
28/03/2011 11.00,"0,5","30,8","20,5",
28/03/2011 12.00,"0,5","25,9","16,8",
28/03/2011 13.00,,"41,3","24,7",
28/03/2011 14.00,"0,7","26,1",17,
28/03/2011 15.00,"0,8","24,9","16,4",
28/03/2011 16.00,"0,5","29,2","19,9",
28/03/2011 17.00,"0,5",37,"27,7",
28/03/2011 18.00,"0,6","55,4","39,3",
28/03/2011 19.00,1,"75,4","50,5",
28/03/2011 20.00,"0,6","61,1","43,4",
28/03/2011 21.00,"0,5","48,3","33,7",
28/03/2011 22.00,"0,5",37,"26,5",
28/03/2011 23.00,"0,5",31,"21,7",
29/03/2011 0.00,"0,5","22,4","16,5",
29/03/2011 1.00,,"14,5","9,5",
29/03/2011 2.00,"0,5",,,
29/03/2011 3.00,"0,5","7,4",4,
29/03/2011 4.00,"0,5","7,8","5,1","9,8"
29/03/2011 5.00,"0,5","14,4","10,6",
29/03/2011 6.00,"0,5","33,4","25,6","20,3"
29/03/2011 7.00,"0,5","68,9","50,7",
29/03/2011 8.00,"0,7","75,8","54,7","20,5"
29/03/2011 9.00,"0,6","50,9","34,6",
29/03/2011 10.00,"0,6","29,1","17,7","24,4"
29/03/2011 11.00,"0,7","29,3","17,1",
29/03/2011 12.00,"0,5","21,7","12,1","21,7"
29/03/2011 13.00,"0,5","28,2","16,4",
29/03/2011 14.00,"0,6","18,4","10,6",12
29/03/2011 15.00,"0,6","17,9","10,7",
29/03/2011 16.00,"0,5","22,5","13,9","12,7"
29/03/2011 17.00,"0,5","25,9",16,
29/03/2011 18.00,"0,6","46,4","31,3","10,7"
29/03/2011 19.00,"0,5","67,3","49,3",
29/03/2011 20.00,"0,5","51,3","37,2","25,4"
29/03/2011 21.00,"0,5","43,8",33,
29/03/2011 22.00,"0,5","36,8","28,1","23,9"
29/03/2011 23.00,"0,5","36,8",25,
30/03/2011 0.00,"0,5",28,"19,4","22,5"
30/03/2011 1.00,"0,5",19,"12,8",
30/03/2011 2.00,"0,5","14,9","10,2","20,3"
30/03/2011 3.00,"0,5","10,2","6,3",
30/03/2011 4.00,"0,5",10,"6,1","11,2"
30/03/2011 5.00,"0,5","11,4","8,1",
30/03/2011 6.00,"0,5","14,8","10,6","16,4"
30/03/2011 7.00,"0,5","18,7","11,9",
30/03/2011 8.00,"0,5",27,"16,9","12,9"
30/03/2011 9.00,"0,5","21,7","12,7",
30/03/2011 10.00,"0,3","23,2","13,3","12,9"
30/03/2011 11.00,"0,5","24,3","14,2",
30/03/2011 12.00,"0,7","21,8","12,8",11
30/03/2011 13.00,"0,9",26,"14,9",
30/03/2011 14.00,"1,1","19,7","11,4","9,3"
30/03/2011 15.00,"1,2","19,5","10,8",
30/03/2011 16.00,"1,5","22,6","12,4",9
30/03/2011 17.00,"0,8","25,4","15,1",
30/03/2011 18.00,"0,5","26,5","16,6",
30/03/2011 19.00,"0,5","36,2","26,1",
30/03/2011 20.00,"0,5","59,9","42,4",
30/03/2011 21.00,"0,5","47,9","38,4",
30/03/2011 22.00,"0,5","42,3","34,8",
30/03/2011 23.00,"0,5",46,"34,8",
31/03/2011 0.00,"0,5","23,1","15,9",
31/03/2011 1.00,,"13,6","9,1",
31/03/2011 2.00,"0,5",,,
31/03/2011 3.00,"0,5","11,8","8,5",
31/03/2011 4.00,"0,5","11,4","7,7",
31/03/2011 5.00,"0,5","10,6",7,
31/03/2011 6.00,"0,5","14,3","9,6",
31/03/2011 7.00,"0,5","19,9","14,2",
31/03/2011 8.00,"0,5","25,4","16,1",
31/03/2011 9.00,"0,5","23,2","14,2",
31/03/2011 10.00,"0,5","21,8","13,9",
31/03/2011 11.00,"0,6","12,7","6,5",
31/03/2011 12.00,"0,5","14,6","7,4",
31/03/2011 13.00,"0,6","23,3",12,
31/03/2011 14.00,"0,5","15,1","8,7",
31/03/2011 15.00,"0,5","16,5","9,5",
31/03/2011 16.00,"0,8","17,7","10,4",
31/03/2011 17.00,"0,6","18,2","10,8",
31/03/2011 18.00,"0,5","20,4",13,
31/03/2011 19.00,"0,5","25,3","18,8",
31/03/2011 20.00,"0,5","20,8","13,9",
31/03/2011 21.00,"0,5","13,9","9,3",
31/03/2011 22.00,"0,5","16,8","12,5",
31/03/2011 23.00,"0,5","14,4","9,7",
01/04/2011 0.00,"0,5","14,2","8,9",
01/04/2011 1.00,"0,5","13,2","8,6",
01/04/2011 2.00,"0,5","15,1","10,8",
01/04/2011 3.00,"0,5","13,1",9,
01/04/2011 4.00,"0,5",10,"6,6",
01/04/2011 5.00,"0,5",9,"5,7",
01/04/2011 6.00,"0,5","10,9","7,2",
01/04/2011 7.00,"0,5","15,2","10,5",
01/04/2011 8.00,"0,5","22,5","14,6",
01/04/2011 9.00,"0,5","20,7","13,4",
01/04/2011 10.00,"0,6","20,2","12,8",
01/04/2011 11.00,"0,9","16,5",10,
01/04/2011 12.00,"1,5","22,1","13,4",
01/04/2011 13.00,"2,1","25,6","14,6",
01/04/2011 14.00,"2,2","16,4","9,8",
01/04/2011 15.00,"2,1","16,8","9,4",
01/04/2011 16.00,"2,1","14,8","8,8",
01/04/2011 17.00,"1,9","15,9","9,4",
01/04/2011 18.00,2,"21,1","13,4",
01/04/2011 19.00,"1,4","28,2","17,3",
01/04/2011 20.00,"1,2","20,5","13,4",
01/04/2011 21.00,"1,2","15,3","10,5",
01/04/2011 22.00,"1,3","17,8","11,6",
01/04/2011 23.00,"1,3","16,4","11,5",
02/04/2011 0.00,"1,7","17,1","12,7",
02/04/2011 1.00,,"14,3","10,6",
02/04/2011 2.00,"1,8",,,
02/04/2011 3.00,"1,4","12,3",9,
02/04/2011 4.00,"0,6","11,5","8,2","39,8"
02/04/2011 5.00,"0,9",12,"8,4",
02/04/2011 6.00,"0,6","12,8","9,1","48,1"
02/04/2011 7.00,"1,4","17,8","12,8",
02/04/2011 8.00,"1,7","24,8","16,1","49,3"
02/04/2011 9.00,"2,7","17,4","11,2",
02/04/2011 10.00,"4,9","24,2","14,2","48,6"
02/04/2011 11.00,"5,7","15,4","9,3",
02/04/2011 12.00,"5,8",16,"10,2","50,8"
02/04/2011 13.00,"3,5","21,5","11,6",
02/04/2011 14.00,"2,8","10,1","5,9","59,1"
02/04/2011 15.00,2,"10,9","6,3",
02/04/2011 16.00,2,"12,5","6,7","76,2"
02/04/2011 17.00,2,"14,8","8,4",
02/04/2011 18.00,"1,4","21,3","12,4","69,1"
02/04/2011 19.00,"0,6","20,8","13,2",
02/04/2011 20.00,1,"30,5","17,7","65,7"
02/04/2011 21.00,1,"22,1",15,
02/04/2011 22.00,"0,6","17,3","11,4","59,3"
02/04/2011 23.00,"0,6",22,"15,3",
03/04/2011 0.00,"0,5","22,5","14,1","45,9"
03/04/2011 1.00,"0,5","18,5","12,1",
03/04/2011 2.00,"0,5","13,3","8,7","30,5"
03/04/2011 3.00,"0,5","11,5","7,7",
03/04/2011 4.00,"0,5","11,1","7,6",23
03/04/2011 5.00,"0,5","14,7","10,2",
03/04/2011 6.00,"0,5","14,4","9,8","19,8"
03/04/2011 7.00,"0,5","13,9","9,4",
03/04/2011 8.00,"0,5","15,8",10,"22,5"
03/04/2011 9.00,"1,6","20,6","13,6",
03/04/2011 10.00,"2,4","17,2","11,4","19,8"
03/04/2011 11.00,"3,3","23,7","14,8",
03/04/2011 12.00,"3,4","25,2","15,7","23,9"
03/04/2011 13.00,"2,5","15,1","8,7",
03/04/2011 14.00,2,"10,7","5,5","26,4"
03/04/2011 15.00,"2,6","12,5","6,6",
03/04/2011 16.00,4,"15,5","9,6","29,8"
03/04/2011 17.00,"3,8","19,9","13,3",
03/04/2011 18.00,"3,3","20,8","14,5","34,4"
03/04/2011 19.00,"3,5","27,9","21,6",
03/04/2011 20.00,"3,1","38,3","31,1",30
03/04/2011 21.00,"3,1","52,5","41,2",
03/04/2011 22.00,3,"66,8","53,1","35,9"
03/04/2011 23.00,"2,2","72,6","58,7",
04/04/2011 0.00,"1,7","49,7","43,9","49,8"
04/04/2011 1.00,,"32,4","26,9",
04/04/2011 2.00,"1,5",,,
04/04/2011 3.00,"1,4","27,1","20,1",
04/04/2011 4.00,"0,7",26,"20,1",
04/04/2011 5.00,"0,9","40,5","30,5",
04/04/2011 6.00,"1,7","106,6","69,1",
04/04/2011 7.00,"2,2","175,6","84,2",
04/04/2011 8.00,"2,4","159,7","77,2",
04/04/2011 9.00,2,"48,1",34,
04/04/2011 10.00,"2,4","32,5","22,1",
04/04/2011 11.00,"4,2","50,1","29,8",
04/04/2011 12.00,"6,2","60,3","37,3",
04/04/2011 13.00,"5,3","64,9","38,8",
04/04/2011 14.00,"3,6","28,1","18,8",
04/04/2011 15.00,"3,2","46,7","31,9",
04/04/2011 16.00,"3,2",40,"27,3",
04/04/2011 17.00,"5,6","70,8","51,1",
04/04/2011 18.00,"6,7","106,3","76,3",
04/04/2011 19.00,5,"123,5","94,1",
04/04/2011 20.00,"3,6","170,7","111,2",
04/04/2011 21.00,"2,2","110,6",85,
04/04/2011 22.00,2,"87,3","65,2",
04/04/2011 23.00,"1,9","68,7","52,1",
05/04/2011 0.00,"1,6","38,2","30,9",
05/04/2011 1.00,"1,7","26,9","22,1",
05/04/2011 2.00,"1,8","32,8","26,4",
05/04/2011 3.00,"1,7","20,8","16,2",
05/04/2011 4.00,"0,8","20,6","16,4","46,4"
05/04/2011 5.00,"1,1","34,6","28,4",
05/04/2011 6.00,"0,8","58,4","44,8","43,5"
05/04/2011 7.00,"1,3",90,"65,5",
05/04/2011 8.00,2,"115,5","73,4","47,6"
05/04/2011 9.00,2,"102,2","65,8",
05/04/2011 10.00,"2,9","63,6","48,5","57,9"
05/04/2011 11.00,"5,2","42,7","28,1",
05/04/2011 12.00,"2,8","26,9","15,9","61,8"
05/04/2011 13.00,"1,9","25,4","13,5",
05/04/2011 14.00,"1,6","20,7","11,9","58,1"
05/04/2011 15.00,2,"22,2","13,9",
05/04/2011 16.00,"1,7","23,6","16,6","55,4"
05/04/2011 17.00,"1,5","37,8","25,3",
05/04/2011 18.00,"1,7","60,7","37,4","58,4"
05/04/2011 19.00,"1,6","44,5","28,5",
05/04/2011 20.00,"1,9","61,5","41,3",53
05/04/2011 21.00,"1,5","17,8","11,4",
05/04/2011 22.00,"0,8","12,4","6,5","55,2"
05/04/2011 23.00,"0,5","10,4","5,7",
06/04/2011 0.00,"0,8","13,5","7,8",43
06/04/2011 1.00,,"8,4","3,4",
06/04/2011 2.00,"0,6",,,"45,2"
06/04/2011 3.00,"0,5","8,8","4,3",
06/04/2011 4.00,"0,5","7,7","3,9","34,7"
06/04/2011 5.00,"0,6","9,3","5,2",
06/04/2011 6.00,"1,1","14,9",8,"26,1"
06/04/2011 7.00,"1,9","21,8","12,5",
06/04/2011 8.00,"1,6","29,9","15,5","33,7"
06/04/2011 9.00,"1,2","26,6","13,8",
06/04/2011 10.00,"1,4","26,8","12,8","34,9"
06/04/2011 11.00,"0,8","28,6","14,4",
06/04/2011 12.00,"0,5","28,1","14,4","49,1"
06/04/2011 13.00,"0,7","29,4","14,5",
06/04/2011 14.00,"0,8","16,9","9,1","52,5"
06/04/2011 15.00,"1,4","17,7","8,9",
06/04/2011 16.00,2,"19,8","10,8","56,4"
06/04/2011 17.00,"1,9","20,6",12,
06/04/2011 18.00,"0,9","13,6","8,9","62,5"
06/04/2011 19.00,"0,6","4,3","2,8",
06/04/2011 20.00,"0,5","22,5","14,8","68,6"
06/04/2011 21.00,"0,7","18,2","11,4",
06/04/2011 22.00,"0,5","14,4","8,3","64,7"
06/04/2011 23.00,"0,5","24,2","14,3",
07/04/2011 0.00,"0,5","21,1","13,1","60,1"
07/04/2011 1.00,"0,5","19,2","12,1",
07/04/2011 2.00,"0,5","11,6","6,5",53
07/04/2011 3.00,"0,5",10,"6,4",
07/04/2011 4.00,"1,1","8,6","4,6","42,5"
07/04/2011 5.00,"2,2",11,"6,5",
07/04/2011 6.00,"2,7","24,7","17,2","38,3"
07/04/2011 7.00,"1,8",28,"19,5",
07/04/2011 8.00,"0,9","28,4","17,7","39,3"
07/04/2011 9.00,"0,8","27,5","16,7",
07/04/2011 10.00,"1,8",23,"14,5","47,6"
07/04/2011 11.00,"1,9","20,7","11,9",
07/04/2011 12.00,"1,8","20,1","11,5","45,4"
07/04/2011 13.00,"1,9","27,8","15,6",
07/04/2011 14.00,2,"16,1","9,2",
07/04/2011 15.00,"1,9","17,2","10,2",
07/04/2011 16.00,"1,1","18,8","11,2",
07/04/2011 17.00,"0,8","15,2","9,2",
07/04/2011 18.00,"0,5","20,9","12,1",
07/04/2011 19.00,"0,6","22,3","13,3",
07/04/2011 20.00,"0,5","24,4",14,
07/04/2011 21.00,"0,5",22,"13,4",
07/04/2011 22.00,"0,5","20,3","12,7",
07/04/2011 23.00,"0,5","14,7","10,3",
08/04/2011 0.00,"0,5",27,"19,1",
08/04/2011 1.00,,"20,6","15,4",
08/04/2011 2.00,"0,5",,,
08/04/2011 3.00,"0,5","14,9","10,5",
08/04/2011 4.00,"0,5","15,2","11,6","11,5"
08/04/2011 5.00,"0,5","22,3","17,8",
08/04/2011 6.00,"0,6","60,1","44,5","7,3"
08/04/2011 7.00,"1,4","131,9","73,7",
08/04/2011 8.00,2,"134,7","73,1","22,5"
08/04/2011 9.00,"1,8","63,5","42,1",
08/04/2011 10.00,"3,1","81,9","46,2","44,2"
08/04/2011 11.00,"2,3","47,3","27,7",
08/04/2011 12.00,"3,1","49,8",32,"42,5"
08/04/2011 13.00,"2,7",69,"40,6",
08/04/2011 14.00,2,"29,2","17,6","40,8"
08/04/2011 15.00,"3,2","29,2","18,2",
08/04/2011 16.00,"2,3","28,8","17,9",41
08/04/2011 17.00,"1,9","34,5","22,1",
08/04/2011 18.00,2,"50,4","33,7","28,8"
08/04/2011 19.00,"1,9","40,3","29,2",
08/04/2011 20.00,2,"80,1","63,2","34,7"
08/04/2011 21.00,2,"58,9","48,6",
08/04/2011 22.00,2,"54,5","45,1",43
08/04/2011 23.00,"1,7","53,9","43,5",
09/04/2011 0.00,"1,6","36,3",29,"91,6"
09/04/2011 1.00,"1,8",32,"23,8",
09/04/2011 2.00,"1,5","18,2","13,9","47,9"
09/04/2011 3.00,"0,7","18,2","14,4",
09/04/2011 4.00,"0,6","22,3","17,4","41,3"
09/04/2011 5.00,"0,8","42,5","33,8",
09/04/2011 6.00,"0,8","39,5","27,7","39,8"
09/04/2011 7.00,1,"76,3","55,9",
09/04/2011 8.00,"0,9",51,"33,7","35,4"
09/04/2011 9.00,"0,6","29,8","18,9",
09/04/2011 10.00,2,"30,7","20,2","54,7"
09/04/2011 11.00,"3,5","31,3","21,9",
09/04/2011 12.00,"3,3","26,2","16,3",43
09/04/2011 13.00,3,"25,9","15,4",
09/04/2011 14.00,"2,5","14,9","9,5","39,3"
09/04/2011 15.00,2,"14,1",9,
09/04/2011 16.00,2,"16,8","10,7","36,6"
09/04/2011 17.00,2,"16,4","10,8",
09/04/2011 18.00,2,"22,4","16,4","36,1"
09/04/2011 19.00,"1,8","34,2","28,3",
09/04/2011 20.00,"1,8","46,2","39,5",43
09/04/2011 21.00,"1,8","43,4","35,9",
09/04/2011 22.00,"1,7","57,6","47,9","56,7"
09/04/2011 23.00,"1,1",38,"29,8",
10/04/2011 0.00,1,35,29,"59,3"
10/04/2011 1.00,,"31,5","25,6",
10/04/2011 2.00,1,,,"57,9"
10/04/2011 3.00,"0,6","15,9",11,
10/04/2011 4.00,"0,5","10,8","7,4","55,4"
10/04/2011 5.00,"0,5","13,8","9,5",
10/04/2011 6.00,"0,5","13,7","8,6","53,5"
10/04/2011 7.00,"0,6","17,9","11,7",
10/04/2011 8.00,"0,8","23,8","17,3","50,1"
10/04/2011 9.00,"1,5","20,6","11,7",
10/04/2011 10.00,"2,2","20,2","11,5","36,1"
10/04/2011 11.00,2,"21,8","12,1",
10/04/2011 12.00,2,"28,6","15,9","28,6"
10/04/2011 13.00,"2,4","14,7","7,2",
10/04/2011 14.00,"2,4","11,8","6,1","26,9"
10/04/2011 15.00,2,"12,3","6,7",
10/04/2011 16.00,"2,9","17,4",11,"26,6"
10/04/2011 17.00,"2,5","18,4","11,5",
10/04/2011 18.00,"3,6","18,7","13,1","28,1"
10/04/2011 19.00,"1,5","15,6","10,3",
10/04/2011 20.00,"1,3",16,"10,1","39,1"
10/04/2011 21.00,"0,7","11,9","7,1",
10/04/2011 22.00,"0,5","12,6","7,5",41
10/04/2011 23.00,"0,6","12,5","7,7",
11/04/2011 0.00,"0,5","10,2","5,9","44,9"
11/04/2011 1.00,"0,5","10,3","5,2",
11/04/2011 2.00,"0,5","10,2","5,9","64,5"
11/04/2011 3.00,"0,5",9,"5,2",
11/04/2011 4.00,"0,5","8,3","4,3",52
11/04/2011 5.00,"0,7","9,2","5,4",
11/04/2011 6.00,"0,5","15,3","9,2","50,8"
11/04/2011 7.00,"1,1","24,6","14,8",
11/04/2011 8.00,"1,8","28,4","17,1","45,9"
11/04/2011 9.00,"1,8","18,9","10,3",
11/04/2011 10.00,"1,3","26,9","14,2","49,3"
11/04/2011 11.00,"0,6","25,2","12,7",
11/04/2011 12.00,1,"24,6",13,"48,8"
11/04/2011 13.00,"1,5","18,4","9,5",
11/04/2011 14.00,"0,8","13,6","7,3","45,4"
11/04/2011 15.00,"0,6","14,6","8,1",
11/04/2011 16.00,"0,6","13,1","6,8","49,8"
11/04/2011 17.00,"0,5","17,1","9,6",
11/04/2011 18.00,"0,5","17,2","10,2","58,6"
11/04/2011 19.00,"0,5",22,"13,7",
11/04/2011 20.00,"0,5","19,4",12,"60,8"
11/04/2011 21.00,"0,5","16,1",11,
11/04/2011 22.00,"0,5","16,4","10,2","60,1"
11/04/2011 23.00,"0,5","14,6","8,9",
12/04/2011 0.00,"0,5","8,9","4,8","56,9"
12/04/2011 1.00,,"9,5","5,3",
12/04/2011 2.00,"0,5",,,41
12/04/2011 3.00,"0,5","11,1","6,8",
12/04/2011 4.00,"0,5","9,7","6,1","30,8"
12/04/2011 5.00,"0,6","12,5","8,5",
12/04/2011 6.00,"0,5",23,"17,4","30,5"
12/04/2011 7.00,"0,5","29,3","20,9",
