, Brindisi,,,,,,,
,Terminale Passeggeri,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10-FAI,BENZ,PM2.5-FAI
,,,,,,
,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,
03/01/2010 9.00,"16,54132194","7,08796755","10,43416066","0,5404703","42,2606037","7,0999999",,"4,30000019"
03/01/2010 10.00,"9,08452437","7,00366365","10,50549547","0,5778633","32,1811854","7,0999999",,"4,30000019"
03/01/2010 11.00,"1,84896092","8,97992788","15,26377133","0,57924383","33,48254385","7,0999999",,"4,30000019"
03/01/2010 12.00,"8,58334169","6,89179826","9,66084079","0,5829928","43,21227855","7,0999999",,"4,30000019"
03/01/2010 13.00,"15,31770822","7,45598358","10,50711685","0,57223868","47,1064986","7,0999999",,"4,30000019"
03/01/2010 14.00,"29,1522033","4,92039816","6,97934492","0,5055436","60,2026362","7,0999999",,"4,30000019"
03/01/2010 15.00,"17,51886234","5,83962849","7,85156108","0,51501505","61,4759649","7,0999999",,"4,30000019"
03/01/2010 16.00,"16,04691756","7,09120839","9,23932318","0,53820088","56,27214705","7,0999999",,"4,30000019"
03/01/2010 17.00,"3,91465369","8,10609226","10,76975299","0,53277431","52,05794895","7,0999999",,"4,30000019"
03/01/2010 18.00,"15,60443103","6,38435729","8,4335777","0,51846811","65,2216971","7,0999999",,"4,30000019"
03/01/2010 19.00,"29,4050295","6,71508549","9,58464186","0,48068133","64,2337332","7,0999999",,"4,30000019"
03/01/2010 20.00,"24,42932649","6,67941904","9,1339433","0,44989854","68,00095155","7,0999999",,"4,30000019"
03/01/2010 21.00,"28,35299385","9,38685502","13,46259658","0,42039841","63,0593565","7,0999999",,"4,30000019"
03/01/2010 22.00,"25,60326993","6,62916212","8,73674442","0,43006791","67,5588795","7,0999999",,"4,30000019"
03/01/2010 23.00,"15,53218335","7,8693943","10,76002665","0,43835455","61,10814675","7,0999999",,"4,30000019"
04/01/2010 0.00,"8,48852169","7,44463586","9,77756839","0,42977083","61,3588584","7,0999999",,"4,30000019"
04/01/2010 1.00,"1,2665057","8,43519908","12,35530576",,"57,63784425","8,30000019",,"4,30000019"
04/01/2010 2.00,,"6,25141784","8,39304713","0,43529643","61,99221105","8,30000019",,"4,30000019"
04/01/2010 3.00,"3,11998311","5,20086753","7,23549747","0,41852392","65,20192665","8,30000019",,"4,30000019"
04/01/2010 4.00,"3,2825292","5,68561306","7,96828868","0,40056778",,"8,30000019",,"4,30000019"
04/01/2010 5.00,"0,12642429","5,77153643","8,1093331","0,39889018","68,8287768","8,30000019",,"4,30000019"
04/01/2010 6.00,"0,11062214","6,86586007","9,20203536","0,3868534","65,5188723","8,30000019",,"4,30000019"
04/01/2010 7.00,"0,30929004","13,17564171","20,29115736","0,39030646","49,50406965","8,30000019",,"4,30000019"
04/01/2010 8.00,"0,21672779","18,79154326","25,65739568","0,40046875","30,6275193","8,30000019",,"4,30000019"
04/01/2010 9.00,"0,10712366","25,9409644","52,92882528","0,59366303","14,77567424","8,30000019",,"4,30000019"
04/01/2010 10.00,"0,12868203","23,72004256","54,1065408","0,55566423","19,74732596","8,30000019",,"4,30000019"
04/01/2010 11.00,"0,12642429","22,98887464","46,64083088","0,49044869","19,13626743","8,30000019",,"4,30000019"
04/01/2010 12.00,"0,13997073","14,80820865","24,26962784","0,44555775","47,4129306","8,30000019",,"4,30000019"
04/01/2010 13.00,"0,13545525","14,66229819","21,5638228","0,40342902","51,104718","8,30000019",,"4,30000019"
04/01/2010 14.00,"0,17277508","11,32177225","16,14107723","0,35687212","61,3603746","8,30000019",,"4,30000019"
04/01/2010 15.00,"0,52827557","11,26584625","15,39346802","0,36120126","50,50551975","8,30000019",,"4,30000019"
04/01/2010 16.00,"1,2010353","14,39317654","19,89720888","0,36011548","45,14012685","8,30000019","4,3315047","4,30000019"
04/01/2010 17.00,"2,41561705","10,71949607","13,47232484","0,39869329","53,76451185","8,30000019","2,4097815","4,30000019"
04/01/2010 18.00,"4,16750328","9,42252146","12,10239405","0,39464725","60,2994336","8,30000019","1,9327068","4,30000019"
04/01/2010 19.00,"5,96454025","11,1069667","15,70798438","0,3822167","57,77713515","8,30000019","1,78213995","4,30000019"
04/01/2010 20.00,"1,56450704","7,91803176","10,25258567","0,40145551","60,7950714","8,30000019","1,8104634","4,30000019"
04/01/2010 21.00,"1,47646128","6,53999409","8,85347202","0,41240651","63,74681355","8,30000019","1,96916625","4,30000019"
04/01/2010 22.00,"1,95732532","6,42813062","8,2001225","0,4360863","65,5799592","8,30000019","1,9572165","4,30000019"
04/01/2010 23.00,"4,78156585","6,09740242","8,15797055","0,45493017","66,47788875","8,30000019","1,95462315","4,30000019"
05/01/2010 0.00,"5,02989996","6,28546291","8,59732138","0,46805273","62,4024828","8,30000019","1,95828435","4,30000019"
05/01/2010 1.00,"2,02505447","6,95664757","9,44683828","0,50998341","60,043116","20,89999962","2,0010492","7,4000001"
05/01/2010 2.00,"0,14448621","8,77241278","12,70710994","0,58309182","52,64763105","20,89999962","2,04411915","7,4000001"
05/01/2010 3.00,"0,15351513","8,57624541","12,1510315","0,59147866","52,868298","20,89999962","1,97018325","7,4000001"
05/01/2010 4.00,"0,16931931","7,7721213","12,28559233","0,62462873","48,64522215","20,89999962","1,98228555","7,4000001"
05/01/2010 5.00,"0,17834824","7,01663274","11,9694546","0,64041448","47,28052245","20,89999962","1,9864044","7,4000001"
05/01/2010 6.00,"0,14448621","12,64712476","19,63295136","0,65353704","33,65565","20,89999962","2,00445615","7,4000001"
05/01/2010 7.00,"0,10159016","10,68058687","16,31107698","0,64495332","52,77834345","20,89999962","1,92472335","7,4000001"
05/01/2010 8.00,"0,13093977","15,61071138","21,95452088","0,66754617","42,8503656","20,89999962","1,8877554","7,4000001"
05/01/2010 9.00,"0,17157705","15,41940813","21,43250664","0,69724435","44,2693692","20,89999962","1,88017875","7,4000001"
05/01/2010 10.00,"0,11287988","13,48853669","18,36516152","0,70997081","46,1449884","20,89999962","2,01777885","7,4000001"
05/01/2010 11.00,"0,14900169","11,2172107","14,60069164","0,70839223","55,380402","20,89999962","2,10849525","7,4000001"
05/01/2010 12.00,"0,13093977","11,95324275","15,08057305","0,7193444","54,04289415","20,89999962","2,09802015","7,4000001"
05/01/2010 13.00,,"11,51065108","14,40614564","0,75604656",,"20,89999962","1,7517825","7,4000001"
05/01/2010 14.00,,"10,44064617","13,04756448","0,77844252",,"20,89999962","1,7176113","7,4000001"
05/01/2010 15.00,,"10,75840527","13,33614264","0,75900566",,"20,89999962","1,6666596","7,4000001"
05/01/2010 16.00,,"9,06423178","11,51389192","0,7504231",,"20,89999962","1,6927965","7,4000001"
05/01/2010 17.00,,"9,10151961","11,11993579","0,77775167",,"20,89999962","1,8989424","7,4000001"
05/01/2010 18.00,,"8,75620094","10,82487404","0,77360777",,"20,89999962","1,8335493","7,4000001"
05/01/2010 19.00,,"8,06556168","10,0175091","0,77104244",,"20,89999962","1,7933778","7,4000001"
05/01/2010 20.00,,"7,02149687","9,06261041","0,76877418",,"20,89999962","1,73525625","7,4000001"
05/01/2010 21.00,,"6,03255311","7,78184765","0,73266384",,"20,89999962","1,62175905","7,4000001"
05/01/2010 22.00,,"6,54810097","8,74809406","0,73631379",,"20,89999962","1,66788","7,4000001"
05/01/2010 23.00,,"6,66482857","8,4076376","0,74095165",,"20,89999962","1,6916778","7,4000001"
06/01/2010 0.00,,"6,68104042","8,80483648","0,73256482",,"20,89999962","1,6137756","7,4000001"
06/01/2010 1.00,,"6,2222369","8,08015215",,,"32,79999161","1,4932611","10,39999962"
06/01/2010 2.00,,"6,53675134","8,68324475","0,71036574",,"32,79999161","1,5345513","10,39999962"
06/01/2010 3.00,,"7,25008794","9,78567527","0,72595461",,"32,79999161","1,5464502","10,39999962"
06/01/2010 4.00,,"6,41516152","9,22311134","0,75111278",,"32,79999161","1,58026545","10,39999962"
06/01/2010 5.00,,"6,64375259","10,16179626","0,769366",,"32,79999161","1,56145095","10,39999962"
06/01/2010 6.00,,"7,23063334","11,4117567","0,77686394",,"32,79999161","1,60355475","10,39999962"
06/01/2010 7.00,,"9,75000691","15,27349767","0,79521502",,"32,79999161","1,5990291","10,39999962"
06/01/2010 8.00,,"10,50711685","16,67747354","0,79669457",,"32,79999161","1,63498005","10,39999962"
06/01/2010 9.00,,"10,29635709","16,30297201","0,85401723",,"32,79999161","1,7783262","10,39999962"
06/01/2010 10.00,,"10,88161838","18,18682737","0,87039597",,"32,79999161","1,8776871","10,39999962"
06/01/2010 11.00,,"8,51435588","13,86014918","0,85149617",,"32,79999161","1,8848061","10,39999962"
06/01/2010 12.00,,"8,46924606","12,84004938","0,85490613",,"32,79999161","1,4645817","10,39999962"
06/01/2010 13.00,,"6,53026774","9,76297601","0,82945088",,"32,79999161","1,62694575","10,39999962"
06/01/2010 14.00,,"6,87558642","9,64462703","0,82185391",,"32,79999161","4,02045525","10,39999962"
06/01/2010 15.00,,"8,43033495","10,93025392","0,78100785",,"32,79999161","2,4592077","10,39999962"
06/01/2010 16.00,,"7,20469515","9,39982411","0,769366",,"32,79999161","1,6029954","10,39999962"
06/01/2010 17.00,,"7,8304851","10,65140402","0,75732922",,"32,79999161","2,60153685","10,39999962"
06/01/2010 18.00,,"7,707272","10,73084379","0,81139571",,"32,79999161","2,7588159","10,39999962"
06/01/2010 19.00,,"7,0198755","9,13232384","0,83458154",,"32,79999161","2,46749625","10,39999962"
06/01/2010 20.00,,"6,68752592","8,07366665","0,7819946",,"32,79999161","2,55658545","10,39999962"
06/01/2010 21.00,,"11,76356088","13,64093074","0,82096618",,"32,79999161","3,32665785","10,39999962"
06/01/2010 22.00,,"19,54540088","32,08228928","0,82856315",,"32,79999161","2,1922452","10,39999962"
06/01/2010 23.00,,"11,9759401","15,7128485","0,83162127",,"32,79999161","1,68410115","10,39999962"
07/01/2010 0.00,,"10,40011559","13,66687084","0,83063452",,"32,79999161","1,84143105","10,39999962"
07/01/2010 1.00,,"12,73953363","17,16545991","0,84119175",,"21,20000076","1,7759871",10
07/01/2010 2.00,,"8,20822747","11,11669495","0,82037436",,"21,20000076","1,6945254",10
07/01/2010 3.00,,"8,12554686","10,9967246","0,79699048",,"21,20000076","1,5239745",10
07/01/2010 4.00,,"7,45598358","9,72730956","0,77094458",,"21,20000076","1,512279",10
07/01/2010 5.00,,"8,84698843","11,2626035","0,8190917",,"21,20000076","1,62481005",10
07/01/2010 6.00,,"10,75840527","14,5196324","0,86348868",,"21,20000076","1,74186675",10
07/01/2010 7.00,,"15,96737968","21,97235984","0,85036729",,"21,20000076","1,7940897",10
07/01/2010 8.00,,"13,59067382","18,8012696","0,8388233",,"21,20000076","1,653642",10
07/01/2010 9.00,,"15,01572374","21,65622976","0,88322145",,"21,20000076","1,82434545",10
07/01/2010 10.00,,"12,42826003","17,09574839","0,88430723",,"21,20000076","2,37342375",10
07/01/2010 11.00,,"11,73437802","17,13951981","0,87444085",,"21,20000076","3,0433725",10
07/01/2010 12.00,,"9,72730956","14,04137237","0,8696061",,"21,20000076","2,27955465",10
07/01/2010 13.00,,"8,73998909","12,24019954","0,85470808",,"21,20000076","1,79210655",10
07/01/2010 14.00,,"7,40734612","9,79540162","0,81889365",,"21,20000076","2,6745066",10
07/01/2010 15.00,,"9,25229419","12,25154726","0,78594046",,"21,20000076","1,458378",10
07/01/2010 16.00,,"11,9175763","14,46613082","0,80123341",,"21,20000076","1,50429555",10
07/01/2010 17.00,,"15,98683428","19,42542288","0,82658964",,"21,20000076","1,6832367",10
07/01/2010 18.00,,"19,82101568","24,82246352","0,87868261",,"21,20000076","1,90112895",10
07/01/2010 19.00,,"22,35497016","33,5916412","0,95346862",,"21,20000076","1,961793",10
07/01/2010 20.00,,"8,51788161","10,86864737","0,87375",,"21,20000076","1,72956105",10
07/01/2010 21.00,,"9,23446097","11,69871158","0,90048792",,"21,20000076","1,8619236",10
07/01/2010 22.00,,"7,90019662","10,03209957","0,84632241",,"21,20000076","1,7738514",10
07/01/2010 23.00,,"8,65082106","11,18154234","0,85056417",,"21,20000076","1,6453026",10
08/01/2010 0.00,,"7,47057405","9,17123113","0,81100077",,"21,20000076","1,509228",10
08/01/2010 1.00,,"8,54220034","11,63710502",,,"25,60000038","1,36303425","10,80000019"
