,Provincia di TARANTO
Stazione,TAR v.Alto Adige
,IPA TOT
Unit,ng/m3
24/10/2013 16.00.00,14
24/10/2013 17.00.00,19
24/10/2013 18.00.00,35
24/10/2013 19.00.00,41
24/10/2013 20.00.00,36
24/10/2013 21.00.00,22
24/10/2013 22.00.00,12
24/10/2013 23.00.00,11
25/10/2013 00.00.00,7
25/10/2013 01.00.00,4
25/10/2013 02.00.00,2
25/10/2013 03.00.00,2
25/10/2013 04.00.00,2
25/10/2013 05.00.00,5
25/10/2013 06.00.00,16
25/10/2013 07.00.00,52
25/10/2013 08.00.00,93
25/10/2013 09.00.00,37
25/10/2013 10.00.00,36
25/10/2013 11.00.00,16
25/10/2013 12.00.00,14
25/10/2013 13.00.00,20
25/10/2013 14.00.00,9
25/10/2013 15.00.00,14
25/10/2013 16.00.00,14
25/10/2013 17.00.00,32
25/10/2013 18.00.00,40
25/10/2013 19.00.00,29
25/10/2013 20.00.00,51
25/10/2013 21.00.00,61
25/10/2013 22.00.00,38
25/10/2013 23.00.00,20
26/10/2013 00.00.00,24
26/10/2013 01.00.00,14
26/10/2013 02.00.00,3
26/10/2013 03.00.00,2
26/10/2013 04.00.00,3
26/10/2013 05.00.00,4
26/10/2013 06.00.00,14
26/10/2013 07.00.00,19
26/10/2013 08.00.00,33
26/10/2013 09.00.00,18
26/10/2013 10.00.00,11
26/10/2013 11.00.00,16
26/10/2013 12.00.00,16
26/10/2013 13.00.00,12
26/10/2013 14.00.00,6
26/10/2013 15.00.00,5
26/10/2013 16.00.00,10
26/10/2013 17.00.00,15
26/10/2013 18.00.00,50
26/10/2013 19.00.00,75
26/10/2013 20.00.00,31
26/10/2013 21.00.00,27
26/10/2013 22.00.00,19
26/10/2013 23.00.00,26
27/10/2013 00.00.00,39
27/10/2013 01.00.00,32
27/10/2013 02.00.00,40
27/10/2013 03.00.00,17
27/10/2013 04.00.00,3
27/10/2013 05.00.00,3
27/10/2013 06.00.00,3
27/10/2013 07.00.00,7
27/10/2013 08.00.00,9
27/10/2013 09.00.00,10
27/10/2013 10.00.00,13
27/10/2013 11.00.00,7
27/10/2013 12.00.00,9
27/10/2013 13.00.00,14
27/10/2013 14.00.00,9
27/10/2013 15.00.00,4
27/10/2013 16.00.00,3
27/10/2013 17.00.00,7
27/10/2013 18.00.00,20
27/10/2013 19.00.00,34
27/10/2013 20.00.00,48
27/10/2013 21.00.00,48
27/10/2013 22.00.00,31
27/10/2013 23.00.00,34
28/10/2013 00.00.00,25
28/10/2013 01.00.00,46
28/10/2013 02.00.00,39
28/10/2013 03.00.00,8
28/10/2013 04.00.00,6
28/10/2013 05.00.00,12
28/10/2013 06.00.00,13
28/10/2013 07.00.00,42
28/10/2013 08.00.00,139
28/10/2013 09.00.00,109
28/10/2013 10.00.00,20
28/10/2013 11.00.00,13
28/10/2013 12.00.00,14
28/10/2013 13.00.00,18
28/10/2013 14.00.00,15
28/10/2013 15.00.00,11
28/10/2013 16.00.00,12
28/10/2013 17.00.00,37
28/10/2013 18.00.00,39
28/10/2013 19.00.00,33
28/10/2013 20.00.00,25
28/10/2013 21.00.00,17
28/10/2013 22.00.00,17
28/10/2013 23.00.00,11
29/10/2013 00.00.00,14
29/10/2013 01.00.00,8
29/10/2013 02.00.00,14
29/10/2013 03.00.00,9
29/10/2013 04.00.00,11
29/10/2013 05.00.00,8
29/10/2013 06.00.00,5
29/10/2013 07.00.00,27
29/10/2013 08.00.00,98
29/10/2013 09.00.00,60
29/10/2013 10.00.00,20
29/10/2013 11.00.00,13
29/10/2013 12.00.00,10
29/10/2013 13.00.00,11
29/10/2013 14.00.00,15
29/10/2013 15.00.00,12
29/10/2013 16.00.00,13
29/10/2013 17.00.00,26
29/10/2013 18.00.00,43
29/10/2013 19.00.00,61
29/10/2013 20.00.00,80
29/10/2013 21.00.00,66
29/10/2013 22.00.00,42
29/10/2013 23.00.00,21
30/10/2013 00.00.00,13
30/10/2013 01.00.00,14
30/10/2013 02.00.00,11
30/10/2013 03.00.00,7
30/10/2013 04.00.00,3
30/10/2013 05.00.00,4
30/10/2013 06.00.00,12
30/10/2013 07.00.00,32
30/10/2013 08.00.00,39
30/10/2013 09.00.00,46
30/10/2013 10.00.00,19
30/10/2013 11.00.00,15
30/10/2013 12.00.00,12
30/10/2013 13.00.00,14
30/10/2013 14.00.00,15
30/10/2013 15.00.00,7
30/10/2013 16.00.00,9
30/10/2013 17.00.00,14
30/10/2013 18.00.00,38
30/10/2013 19.00.00,47
30/10/2013 20.00.00,46
30/10/2013 21.00.00,40
30/10/2013 22.00.00,26
30/10/2013 23.00.00,13
31/10/2013 00.00.00,13
31/10/2013 01.00.00,12
31/10/2013 02.00.00,7
31/10/2013 03.00.00,5
31/10/2013 04.00.00,3
31/10/2013 05.00.00,3
31/10/2013 06.00.00,4
31/10/2013 07.00.00,13
31/10/2013 08.00.00,19
31/10/2013 09.00.00,31
31/10/2013 10.00.00,30
31/10/2013 11.00.00,31
31/10/2013 12.00.00,21
31/10/2013 13.00.00,14
31/10/2013 14.00.00,13
31/10/2013 15.00.00,7
31/10/2013 16.00.00,10
31/10/2013 17.00.00,21
31/10/2013 18.00.00,22
31/10/2013 19.00.00,22
31/10/2013 20.00.00,33
31/10/2013 21.00.00,42
31/10/2013 22.00.00,31
31/10/2013 23.00.00,28
01/11/2013 00.00.00,23
01/11/2013 01.00.00,32
01/11/2013 02.00.00,27
01/11/2013 03.00.00,11
01/11/2013 04.00.00,4
01/11/2013 05.00.00,12
01/11/2013 06.00.00,12
01/11/2013 07.00.00,13
01/11/2013 08.00.00,17
01/11/2013 09.00.00,12
01/11/2013 10.00.00,8
01/11/2013 11.00.00,8
01/11/2013 12.00.00,7
01/11/2013 13.00.00,5
01/11/2013 14.00.00,6
01/11/2013 15.00.00,3
01/11/2013 16.00.00,5
01/11/2013 17.00.00,11
01/11/2013 18.00.00,17
01/11/2013 19.00.00,27
01/11/2013 20.00.00,13
01/11/2013 21.00.00,14
01/11/2013 22.00.00,11
01/11/2013 23.00.00,15
02/11/2013 00.00.00,11
02/11/2013 01.00.00,8
02/11/2013 02.00.00,8
02/11/2013 03.00.00,6
02/11/2013 04.00.00,6
02/11/2013 05.00.00,4
02/11/2013 06.00.00,5
02/11/2013 07.00.00,8
02/11/2013 08.00.00,21
02/11/2013 09.00.00,22
02/11/2013 10.00.00,17
02/11/2013 11.00.00,13
02/11/2013 12.00.00,11
02/11/2013 13.00.00,11
02/11/2013 14.00.00,7
02/11/2013 15.00.00,3
02/11/2013 16.00.00,5
02/11/2013 17.00.00,11
02/11/2013 18.00.00,22
02/11/2013 19.00.00,50
02/11/2013 20.00.00,67
02/11/2013 21.00.00,74
02/11/2013 22.00.00,73
02/11/2013 23.00.00,65
03/11/2013 00.00.00,55
03/11/2013 01.00.00,48
03/11/2013 02.00.00,29
03/11/2013 03.00.00,43
03/11/2013 04.00.00,20
03/11/2013 05.00.00,37
03/11/2013 06.00.00,21
03/11/2013 07.00.00,18
03/11/2013 08.00.00,16
03/11/2013 09.00.00,21
03/11/2013 10.00.00,14
03/11/2013 11.00.00,9
03/11/2013 12.00.00,9
03/11/2013 13.00.00,7
03/11/2013 14.00.00,7
03/11/2013 15.00.00,3
03/11/2013 16.00.00,3
03/11/2013 17.00.00,4
03/11/2013 18.00.00,8
03/11/2013 19.00.00,12
03/11/2013 20.00.00,15
03/11/2013 21.00.00,19
03/11/2013 22.00.00,20
03/11/2013 23.00.00,15
04/11/2013 00.00.00,38
04/11/2013 01.00.00,47
04/11/2013 02.00.00,25
04/11/2013 03.00.00,13
04/11/2013 04.00.00,8
04/11/2013 05.00.00,5
04/11/2013 06.00.00,11
04/11/2013 07.00.00,37
04/11/2013 08.00.00,60
04/11/2013 09.00.00,64
04/11/2013 10.00.00,20
04/11/2013 11.00.00,14
04/11/2013 12.00.00,11
04/11/2013 13.00.00,15
04/11/2013 14.00.00,11
04/11/2013 15.00.00,11
04/11/2013 16.00.00,10
04/11/2013 17.00.00,17
04/11/2013 18.00.00,
04/11/2013 19.00.00,
04/11/2013 20.00.00,
04/11/2013 21.00.00,
04/11/2013 22.00.00,
04/11/2013 23.00.00,
05/11/2013 00.00.00,
05/11/2013 01.00.00,
05/11/2013 02.00.00,
05/11/2013 03.00.00,
05/11/2013 04.00.00,
05/11/2013 05.00.00,
05/11/2013 06.00.00,
05/11/2013 07.00.00,
05/11/2013 08.00.00,
05/11/2013 09.00.00,
05/11/2013 10.00.00,14
05/11/2013 11.00.00,14
05/11/2013 12.00.00,21
05/11/2013 13.00.00,16
05/11/2013 14.00.00,16
05/11/2013 15.00.00,13
05/11/2013 16.00.00,14
05/11/2013 17.00.00,18
05/11/2013 18.00.00,30
05/11/2013 19.00.00,44
05/11/2013 20.00.00,32
05/11/2013 21.00.00,27
05/11/2013 22.00.00,10
05/11/2013 23.00.00,4
06/11/2013 00.00.00,5
06/11/2013 01.00.00,3
06/11/2013 02.00.00,2
06/11/2013 03.00.00,2
06/11/2013 04.00.00,1
06/11/2013 05.00.00,2
06/11/2013 06.00.00,3
06/11/2013 07.00.00,7
06/11/2013 08.00.00,20
06/11/2013 09.00.00,16
06/11/2013 10.00.00,10
06/11/2013 11.00.00,10
06/11/2013 12.00.00,9
06/11/2013 13.00.00,9
06/11/2013 14.00.00,10
06/11/2013 15.00.00,9
06/11/2013 16.00.00,10
06/11/2013 17.00.00,16
06/11/2013 18.00.00,21
06/11/2013 19.00.00,15
06/11/2013 20.00.00,11
06/11/2013 21.00.00,12
06/11/2013 22.00.00,7
06/11/2013 23.00.00,6
07/11/2013 00.00.00,8
07/11/2013 01.00.00,8
07/11/2013 02.00.00,3
07/11/2013 03.00.00,2
07/11/2013 04.00.00,2
07/11/2013 05.00.00,2
07/11/2013 06.00.00,4
07/11/2013 07.00.00,24
07/11/2013 08.00.00,36
07/11/2013 09.00.00,25
07/11/2013 10.00.00,28
07/11/2013 11.00.00,19
07/11/2013 12.00.00,12
07/11/2013 13.00.00,15
07/11/2013 14.00.00,23
07/11/2013 15.00.00,37
07/11/2013 16.00.00,151
07/11/2013 17.00.00,124
07/11/2013 18.00.00,44
07/11/2013 19.00.00,47
07/11/2013 20.00.00,35
07/11/2013 21.00.00,32
07/11/2013 22.00.00,27
07/11/2013 23.00.00,34
08/11/2013 00.00.00,31
08/11/2013 01.00.00,16
08/11/2013 02.00.00,10
08/11/2013 03.00.00,16
08/11/2013 04.00.00,6
08/11/2013 05.00.00,4
08/11/2013 06.00.00,8
08/11/2013 07.00.00,20
08/11/2013 08.00.00,118
08/11/2013 09.00.00,77
08/11/2013 10.00.00,28
08/11/2013 11.00.00,17
08/11/2013 12.00.00,15
08/11/2013 13.00.00,21
08/11/2013 14.00.00,18
08/11/2013 15.00.00,14
08/11/2013 16.00.00,14
08/11/2013 17.00.00,21
08/11/2013 18.00.00,67
08/11/2013 19.00.00,60
08/11/2013 20.00.00,52
08/11/2013 21.00.00,67
08/11/2013 22.00.00,42
08/11/2013 23.00.00,36
09/11/2013 00.00.00,31
09/11/2013 01.00.00,42
09/11/2013 02.00.00,13
09/11/2013 03.00.00,8
09/11/2013 04.00.00,4
09/11/2013 05.00.00,5
09/11/2013 06.00.00,5
09/11/2013 07.00.00,16
09/11/2013 08.00.00,51
09/11/2013 09.00.00,28
09/11/2013 10.00.00,28
09/11/2013 11.00.00,23
09/11/2013 12.00.00,13
09/11/2013 13.00.00,15
09/11/2013 14.00.00,13
09/11/2013 15.00.00,9
09/11/2013 16.00.00,7
09/11/2013 17.00.00,18
09/11/2013 18.00.00,34
09/11/2013 19.00.00,60
09/11/2013 20.00.00,59
09/11/2013 21.00.00,63
09/11/2013 22.00.00,91
09/11/2013 23.00.00,62
10/11/2013 00.00.00,28
10/11/2013 01.00.00,35
10/11/2013 02.00.00,22
10/11/2013 03.00.00,7
10/11/2013 04.00.00,5
10/11/2013 05.00.00,13
10/11/2013 06.00.00,10
10/11/2013 07.00.00,12
10/11/2013 08.00.00,46
10/11/2013 09.00.00,39
10/11/2013 10.00.00,19
10/11/2013 11.00.00,14
10/11/2013 12.00.00,18
10/11/2013 13.00.00,17
10/11/2013 14.00.00,15
10/11/2013 15.00.00,4
10/11/2013 16.00.00,4
10/11/2013 17.00.00,5
10/11/2013 18.00.00,7
10/11/2013 19.00.00,7
10/11/2013 20.00.00,10
10/11/2013 21.00.00,10
10/11/2013 22.00.00,12
10/11/2013 23.00.00,5
11/11/2013 00.00.00,4
11/11/2013 01.00.00,2
11/11/2013 02.00.00,2
11/11/2013 03.00.00,2
11/11/2013 04.00.00,1
11/11/2013 05.00.00,1
11/11/2013 06.00.00,2
11/11/2013 07.00.00,7
11/11/2013 08.00.00,17
11/11/2013 09.00.00,31
11/11/2013 10.00.00,14
11/11/2013 11.00.00,16
11/11/2013 12.00.00,20
11/11/2013 13.00.00,38
11/11/2013 14.00.00,34
11/11/2013 15.00.00,19
11/11/2013 16.00.00,19
11/11/2013 17.00.00,20
11/11/2013 18.00.00,26
11/11/2013 19.00.00,34
11/11/2013 20.00.00,36
11/11/2013 21.00.00,28
11/11/2013 22.00.00,33
11/11/2013 23.00.00,11
12/11/2013 00.00.00,8
12/11/2013 01.00.00,4
12/11/2013 02.00.00,4
12/11/2013 03.00.00,2
12/11/2013 04.00.00,4
12/11/2013 05.00.00,1
12/11/2013 06.00.00,3
12/11/2013 07.00.00,12
12/11/2013 08.00.00,42
12/11/2013 09.00.00,46
12/11/2013 10.00.00,60
12/11/2013 11.00.00,37
12/11/2013 12.00.00,38
12/11/2013 13.00.00,84
12/11/2013 14.00.00,47
12/11/2013 15.00.00,25
12/11/2013 16.00.00,25
12/11/2013 17.00.00,30
12/11/2013 18.00.00,28
12/11/2013 19.00.00,30
12/11/2013 20.00.00,28
12/11/2013 21.00.00,25
12/11/2013 22.00.00,13
12/11/2013 23.00.00,9
13/11/2013 00.00.00,8
13/11/2013 01.00.00,3
13/11/2013 02.00.00,4
13/11/2013 03.00.00,2
13/11/2013 04.00.00,2
13/11/2013 05.00.00,1
13/11/2013 06.00.00,2
13/11/2013 07.00.00,5
13/11/2013 08.00.00,17
13/11/2013 09.00.00,22
13/11/2013 10.00.00,17
13/11/2013 11.00.00,18
13/11/2013 12.00.00,19
13/11/2013 13.00.00,24
13/11/2013 14.00.00,26
13/11/2013 15.00.00,21
13/11/2013 16.00.00,26
13/11/2013 17.00.00,73
13/11/2013 18.00.00,22
13/11/2013 19.00.00,18
13/11/2013 20.00.00,18
13/11/2013 21.00.00,20
13/11/2013 22.00.00,10
13/11/2013 23.00.00,6
14/11/2013 00.00.00,6
14/11/2013 01.00.00,4
14/11/2013 02.00.00,6
14/11/2013 03.00.00,5
14/11/2013 04.00.00,15
14/11/2013 05.00.00,5
14/11/2013 06.00.00,4
14/11/2013 07.00.00,9
14/11/2013 08.00.00,30
14/11/2013 09.00.00,62
14/11/2013 10.00.00,40
14/11/2013 11.00.00,50
14/11/2013 12.00.00,27
14/11/2013 13.00.00,41
14/11/2013 14.00.00,47
14/11/2013 15.00.00,67
14/11/2013 16.00.00,77
14/11/2013 17.00.00,58
14/11/2013 18.00.00,69
14/11/2013 19.00.00,64
14/11/2013 20.00.00,54
14/11/2013 21.00.00,78
14/11/2013 22.00.00,49
14/11/2013 23.00.00,9
15/11/2013 00.00.00,43
15/11/2013 01.00.00,46
15/11/2013 02.00.00,43
15/11/2013 03.00.00,30
15/11/2013 04.00.00,11
15/11/2013 05.00.00,12
15/11/2013 06.00.00,10
15/11/2013 07.00.00,20
15/11/2013 08.00.00,51
15/11/2013 09.00.00,64
15/11/2013 10.00.00,50
15/11/2013 11.00.00,43
15/11/2013 12.00.00,40
15/11/2013 13.00.00,80
15/11/2013 14.00.00,64
15/11/2013 15.00.00,24
15/11/2013 16.00.00,29
15/11/2013 17.00.00,33
15/11/2013 18.00.00,36
15/11/2013 19.00.00,35
15/11/2013 20.00.00,29
15/11/2013 21.00.00,26
15/11/2013 22.00.00,13
15/11/2013 23.00.00,7
16/11/2013 00.00.00,6
16/11/2013 01.00.00,4
16/11/2013 02.00.00,3
16/11/2013 03.00.00,3
16/11/2013 04.00.00,2
16/11/2013 05.00.00,2
16/11/2013 06.00.00,3
16/11/2013 07.00.00,7
16/11/2013 08.00.00,20
16/11/2013 09.00.00,28
16/11/2013 10.00.00,20
16/11/2013 11.00.00,16
16/11/2013 12.00.00,19
