"NetC","Provincia Bari","","","","","","","","","","",""
"Stat","Altamura","","","","","","","","","","",""
Parm,NO2,NOX,CO,O3,PM10,BENZENE
03/01/2012 19.00,"76,2772324","179,45846536","1,12486459","1,24967598",,"6,87306194"
03/01/2012 20.00,"71,10261472","126,37652712","0,87755606","0,70019712","33,45542145","6,07859578"
03/01/2012 21.00,"99,39298736","210,56378","1,21595943","0,02095149",,"6,00378017"
03/01/2012 22.00,"93,88805256","233,889224","1,5260102","0,38524448","32,72283173","7,97621913"
03/01/2012 23.00,"33,7712736","46,52570936","0,59528704","6,42411147",,"7,16616948"
04/01/2012 0.00,"29,95098288","38,36904088","0,61760495","15,725388","32,72283173","3,84887718"
04/01/2012 1.00,"25,7867616","33,7083688","0,61483225","6,28488441",,"3,5939824"
04/01/2012 2.00,"17,76267885","22,2625632","0,50918772","12,13990617","16,36141014","3,32882711"
04/01/2012 3.00,"10,15779636","11,78171723","0,42731501",,,"2,49198968"
04/01/2012 4.00,,,"0,42591934","26,0620815","10,01220989","1,81032916"
04/01/2012 5.00,"22,57712544","24,3065868",,"18,61944473",,"1,90028586"
04/01/2012 6.00,"21,83085272","24,93886608","0,66947308","12,50353083","10,7448101","3,07459847"
04/01/2012 7.00,"43,29050976","72,31927768","0,7835324","1,48352789",,"3,32694159"
04/01/2012 8.00,"57,53206088","127,4251444","1,151606","0,64545233","7,57020807","2,99712036"
04/01/2012 9.00,"82,96711008","405,0931456","2,00273636",,,"6,5362529"
04/01/2012 10.00,"60,09666472","183,68079232","1,13829471","1,12261443","15,14041042","8,83413185"
04/01/2012 11.00,"45,23537704","88,43485648","0,87258151","11,1362516",,"6,04537547"
04/01/2012 12.00,"39,18923152","69,64815632","0,69214281","21,7081536","20,02441978","4,65382556"
04/01/2012 13.00,"40,86414352","70,1008032","0,67975653","28,08291675",,"4,95946661"
04/01/2012 14.00,"38,31187208","67,9426332","0,60454879","29,71107615","18,55920982","3,86240938"
04/01/2012 15.00,"24,65177928","35,55719632","0,40124348","37,62412395",,"3,34330207"
04/01/2012 16.00,"35,67589328","56,36392448","0,47924256","25,93230675","11,72161007","1,57784092"
04/01/2012 17.00,"41,20677392","63,76057296","0,68227293","18,65526894",,"2,30747435"
04/01/2012 18.00,"57,98241336","106,5749756","0,93373119","6,39842784","22,95482063","3,28612328"
04/01/2012 19.00,"52,43078752","95,6738988","0,74202578","6,7262243",,"5,18413513"
04/01/2012 20.00,"61,99610288","101,96942648","0,97040073","3,13196646","30,52503014","5,16932761"
04/01/2012 21.00,"68,55164344","121,88642456","1,03988599","1,80929543",,"6,04958992"
04/01/2012 22.00,"76,56472072","129,30963072","0,97802915",,"29,7924099","6,25157629"
04/01/2012 23.00,"67,93970784","120,80344864","1,0069328",,,"6,82664199"
05/01/2012 0.00,"42,29244576","51,7116652","0,59973268","13,18006725","30,52503014","5,1154205"
05/01/2012 1.00,"33,19889728","44,75275","0,54497186","19,16216453",,"3,87017316"
