,,Lecce,,,
,GALATINA FRAZ SANTA BARBARA,,,
Parm,SO2,NO2,NOX,O3,PM10
,,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,
06/01/2009 1.00,,"13,3","27,9",,
06/01/2009 2.00,"0,8",,,,
06/01/2009 3.00,"1,1","9,9","24,6",,
06/01/2009 4.00,"0,9","8,4","24,4",,
06/01/2009 5.00,"1,0","8,0","22,6",,
06/01/2009 6.00,"0,7","7,5","21,2",,
06/01/2009 7.00,"0,7","7,4","19,4",,
06/01/2009 8.00,"0,8","8,2","20,0",,
06/01/2009 9.00,"0,9","13,2","25,8",,
06/01/2009 10.00,"1,1","13,2","27,7",,
06/01/2009 11.00,"1,4","13,9","32,2",,
06/01/2009 12.00,"1,6","13,5","38,3",,
06/01/2009 13.00,"1,5","13,3","41,2",,
06/01/2009 14.00,"1,5","9,6","35,5",,
06/01/2009 15.00,"1,5","7,9","31,1",,
06/01/2009 16.00,"1,2","8,0","31,3",,
06/01/2009 17.00,"1,4","11,6","39,7",,
06/01/2009 18.00,"1,2","14,2","43,6",,
06/01/2009 19.00,"1,3","11,4","37,8",,
06/01/2009 20.00,"1,1","10,3","33,6",,
06/01/2009 21.00,"1,2","16,4","37,1",,
06/01/2009 22.00,"0,9","22,1","39,2",,
06/01/2009 23.00,"0,9","22,5","36,6",,
07/01/2009 0.00,"0,8","17,7","29,3",,
07/01/2009 1.00,"1,0","27,6","39,9",,
07/01/2009 2.00,"1,0","25,9","36,9",,
07/01/2009 3.00,"0,9","31,4","43,5",,
07/01/2009 4.00,"1,0","32,4","45,0",,
07/01/2009 5.00,"0,8","27,5","34,2",,
07/01/2009 6.00,"0,8","18,6","22,8",,
07/01/2009 7.00,"0,8","21,6","26,3",,
07/01/2009 8.00,"0,7","29,2","41,5",,
07/01/2009 9.00,"1,1","52,1","77,1",,
07/01/2009 10.00,"0,8","30,7","51,6",,
07/01/2009 11.00,"1,2","27,6","48,3",,
07/01/2009 12.00,"1,4","29,0","55,9",,
07/01/2009 13.00,"1,7","20,5","50,1",,
07/01/2009 14.00,"1,7","15,1","44,7",,
07/01/2009 15.00,"1,5","15,6","44,4",,
07/01/2009 16.00,"1,4","12,9","42,3",,
07/01/2009 17.00,"1,2","23,8","60,7",,
07/01/2009 18.00,"1,4","36,1","70,6",,
07/01/2009 19.00,"1,2","23,0","53,9",,
07/01/2009 20.00,"1,4","18,5","49,1",,
07/01/2009 21.00,"1,4","23,8","56,0",,
07/01/2009 22.00,"1,2","20,6","53,0",,
07/01/2009 23.00,"1,3","16,6","48,6",,
08/01/2009 0.00,"1,3","24,6","62,7",,
08/01/2009 1.00,,"33,9","81,2",,
08/01/2009 2.00,"1,0",,,,
08/01/2009 3.00,"0,8","27,8","63,6",,
08/01/2009 4.00,"1,0","9,8","40,5",,
08/01/2009 5.00,"0,9","12,1","42,4",,
08/01/2009 6.00,"0,9","38,2","78,3",,
08/01/2009 7.00,"0,9","27,1","59,4",,
08/01/2009 8.00,"1,1","17,4","48,3",,
08/01/2009 9.00,"1,1","19,3","53,0",,
08/01/2009 10.00,"1,1","25,5","61,5",,
08/01/2009 11.00,"0,8","22,0","55,9",,
08/01/2009 12.00,"0,9","13,4","42,3",,
08/01/2009 13.00,"0,9","8,7","35,9",,
08/01/2009 14.00,"0,9","7,7","33,7",,
08/01/2009 15.00,"1,1","7,7","31,1",,
08/01/2009 16.00,,,,,
08/01/2009 17.00,,,,,
08/01/2009 18.00,"0,5","13,1","15,7",,
08/01/2009 19.00,"0,5","14,7","19,7",,
08/01/2009 20.00,"0,4","16,1","20,6",,
08/01/2009 21.00,"0,4","21,2","27,6",,
08/01/2009 22.00,"0,5","26,8","33,4",,
08/01/2009 23.00,"0,6","40,2","46,8",,
09/01/2009 0.00,"0,6","36,3","42,1",,
09/01/2009 1.00,"0,6","30,8","36,4",,
09/01/2009 2.00,"0,6","23,5","29,2",,
09/01/2009 3.00,"0,5","18,0","24,4",,
09/01/2009 4.00,"0,6","15,2","21,2",,
09/01/2009 5.00,"0,5","14,8","20,4",,
09/01/2009 6.00,"0,5","13,5","21,1",,
09/01/2009 7.00,"0,6","14,9","22,2",,
09/01/2009 8.00,"0,5","17,5","24,0",,
09/01/2009 9.00,"0,4","21,1","31,8",,
09/01/2009 10.00,"0,5","17,5","28,3",,
09/01/2009 11.00,"0,5","29,5","39,9",,
09/01/2009 12.00,"0,4","11,6","16,8",,
09/01/2009 13.00,"0,5","9,6","14,5",,
09/01/2009 14.00,"0,4","7,3","10,3",,
09/01/2009 15.00,"0,5","7,7","10,8",,
09/01/2009 16.00,"0,5","11,3","15,9",,
09/01/2009 17.00,"0,5","21,9","28,2",,
09/01/2009 18.00,"0,6","17,0","22,2",,
09/01/2009 19.00,"0,4","15,3","19,8",,
09/01/2009 20.00,"0,4","11,3","15,6",,
09/01/2009 21.00,"0,5","11,7","16,2",,
09/01/2009 22.00,"0,5","11,7","16,1",,
09/01/2009 23.00,"0,4","10,1","14,9",,
10/01/2009 0.00,"0,4","8,0","13,9",,
10/01/2009 1.00,,"7,1","12,6",,
10/01/2009 2.00,"0,7",,,,
10/01/2009 3.00,"0,7","7,0","11,0",,
10/01/2009 4.00,"0,7","7,3","11,2",,
10/01/2009 5.00,"0,6","7,9","12,2",,
10/01/2009 6.00,"0,7","6,0","9,1",,
10/01/2009 7.00,"0,7","6,9","10,9",,
10/01/2009 8.00,"0,6","8,8","13,7",,
10/01/2009 9.00,"0,7","14,4","20,7",,
10/01/2009 10.00,"0,7","12,0","18,0",,
