NetC,SIMAGE Brindisi,
Stat,Mesagne,
Parm,SO2,NO2
PtId,1,4
Unit,ug/m3 293K,ug/m3 293K
Field,Aver,Aver
08/04/2006 15.00,"2,04381","6,8307"
08/04/2006 16.00,"2,277566","7,274573"
08/04/2006 17.00,"2,007566","7,793721"
08/04/2006 18.00,"2,388278","12,652956"
08/04/2006 19.00,"2,489851","18,373974"
08/04/2006 20.00,"2,580917","27,806885"
08/04/2006 21.00,"2,165333","27,69138"
08/04/2006 22.00,"2,329039","17,587458"
08/04/2006 23.00,"2,315181","11,500444"
09/04/2006 0.00,"2,415841","11,724969"
09/04/2006 1.00,"2,534927","12,116929"
09/04/2006 2.00,"2,721476","12,296036"
09/04/2006 3.00,"3,088025","9,66136"
09/04/2006 4.00,"2,529293","8,681466"
09/04/2006 5.00,"2,494115","8,621764"
09/04/2006 6.00,"2,384014","9,827489"
09/04/2006 7.00,"2,41843","17,237038"
09/04/2006 8.00,"2,199597","24,871104"
09/04/2006 9.00,"1,899445","11,745739"
09/04/2006 10.00,"1,621221","11,283693"
09/04/2006 11.00,"2,322186","9,714571"
09/04/2006 12.00,"1,948937","9,70419"
09/04/2006 13.00,"2,202795","12,637372"
09/04/2006 14.00,"2,446907","9,913146"
09/04/2006 15.00,"2,975791","10,215548"
09/04/2006 16.00,"2,328887","9,125339"
09/04/2006 17.00,"2,216653","11,330422"
09/04/2006 18.00,"1,981982","12,606227"
09/04/2006 19.00,"2,369394","16,109183"
09/04/2006 20.00,"2,153911","26,989237"
09/04/2006 21.00,"2,302846","21,349985"
09/04/2006 22.00,"2,771882","15,007287"
09/04/2006 23.00,"2,704421","10,172713"
10/04/2006 0.00,"2,02447","9,913146"
10/04/2006 1.00,,"7,30053"
10/04/2006 2.00,"0,226328",
10/04/2006 3.00,"0,38948","7,068211"
10/04/2006 4.00,"0,391935","5,61719"
10/04/2006 5.00,"0,296251","6,367359"
10/04/2006 6.00,"0,314652","12,77106"
10/04/2006 7.00,"0,27785","19,946977"
10/04/2006 8.00,"0,245955","22,55181"
10/04/2006 9.00,"0,18646","14,198718"
10/04/2006 10.00,"0,084643","9,979337"
10/04/2006 11.00,"0,08403","9,625019"
10/04/2006 12.00,"0,10795","8,751552"
10/04/2006 13.00,"0,090163","7,948168"
10/04/2006 14.00,"0,044775","8,31936"
10/04/2006 15.00,"0,048455","9,089"
10/04/2006 16.00,"0,08219","9,802827"
10/04/2006 17.00,"0,111631","10,347935"
10/04/2006 18.00,"0,092617","12,033865"
10/04/2006 19.00,"0,163152","13,458931"
10/04/2006 20.00,"0,1699","11,278505"
10/04/2006 21.00,"0,090163","8,301191"
10/04/2006 22.00,"0,066856","5,711935"
10/04/2006 23.00,"0,080349","4,520488"
11/04/2006 0.00,"0,109177","3,609384"
11/04/2006 1.00,"0,111631","3,270638"
11/04/2006 2.00,"0,098136","3,297892"
11/04/2006 3.00,"0,174806","3,589914"
11/04/2006 4.00,"0,149045","3,563956"
11/04/2006 5.00,"0,073602","4,783956"
11/04/2006 6.00,"0,079736","6,617851"
11/04/2006 7.00,"0,058269","9,952084"
11/04/2006 8.00,"0,088937","13,461523"
11/04/2006 9.00,"0,057043","11,355079"
11/04/2006 10.00,"0,060722","10,906013"
11/04/2006 11.00,"0,09323","10,591927"
11/04/2006 12.00,"0,057043","11,901481"
11/04/2006 13.00,"0,054588","12,159763"
11/04/2006 14.00,"0,034348","10,651635"
11/04/2006 15.00,"0,041708","10,65552"
11/04/2006 16.00,"0,033735","11,708103"
11/04/2006 17.00,"0,015334","9,966361"
11/04/2006 18.00,"0,028828","11,370652"
11/04/2006 19.00,"0,025147","11,24087"
11/04/2006 20.00,"0,103657","17,159161"
11/04/2006 21.00,"0,093844","14,932016"
11/04/2006 22.00,"0,134939","7,665233"
11/04/2006 23.00,"0,003681","7,959849"
12/04/2006 0.00,"0,011654","6,106488"
12/04/2006 1.00,,"4,673637"
12/04/2006 2.00,"0,73893",
12/04/2006 3.00,"0,787196","4,549042"
12/04/2006 4.00,"0,588484","5,142169"
12/04/2006 5.00,"0,648226","6,076636"
12/04/2006 6.00,"0,802495","8,873551"
12/04/2006 7.00,"0,684288","11,221402"
12/04/2006 8.00,"0,889921","17,623802"
12/04/2006 9.00,"0,670082","11,390121"
12/04/2006 10.00,"0,47301","9,270701"
12/04/2006 11.00,"0,991007","14,273992"
12/04/2006 12.00,"1,389705","14,075415"
12/04/2006 13.00,"1,148556","13,878142"
12/04/2006 14.00,"1,672017","9,879403"
12/04/2006 15.00,"1,755619","9,160382"
12/04/2006 16.00,"1,596613","8,772316"
12/04/2006 17.00,"1,746329","10,124701"
12/04/2006 18.00,"1,325593","11,968971"
12/04/2006 19.00,"1,857433","20,118312"
12/04/2006 20.00,"1,439975","25,926279"
12/04/2006 21.00,"1,69952","31,636906"
12/04/2006 22.00,"2,001321","20,93596"
12/04/2006 23.00,"1,497712","15,105926"
13/04/2006 0.00,"1,543247","10,585436"
13/04/2006 1.00,"1,875647","7,974126"
13/04/2006 2.00,"1,586595","11,379736"
13/04/2006 3.00,"1,974001","8,440061"
13/04/2006 4.00,"2,18364","7,410851"
13/04/2006 5.00,"2,087108","11,231776"
13/04/2006 6.00,"2,322064","28,777702"
13/04/2006 7.00,"2,496006","39,315134"
13/04/2006 8.00,"2,248299","28,486982"
13/04/2006 9.00,"1,731029","18,218223"
13/04/2006 10.00,"1,987661","13,16172"
13/04/2006 11.00,"1,817545","16,492052"
13/04/2006 12.00,"1,755619","12,116929"
13/04/2006 13.00,"1,391162","10,619186"
13/04/2006 14.00,"1,670925","9,089"
13/04/2006 15.00,"1,90151","8,76583"
13/04/2006 16.00,"1,44471","8,652912"
13/04/2006 17.00,"1,178426","8,832019"
13/04/2006 18.00,"1,231792","8,146743"
13/04/2006 19.00,"1,570203","9,462786"
13/04/2006 20.00,"1,106118","12,519267"
13/04/2006 21.00,"1,168409","9,904062"
13/04/2006 22.00,"1,360928","6,930636"
13/04/2006 23.00,"1,386426","5,589937"
14/04/2006 0.00,"1,482231","5,536724"
14/04/2006 1.00,,"4,941"
14/04/2006 2.00,"0,866947",
14/04/2006 3.00,"1,036601","5,876765"
14/04/2006 4.00,"0,996628","5,10583"
14/04/2006 5.00,"0,655489","5,3057"
14/04/2006 6.00,"0,674041","6,700914"
14/04/2006 7.00,"0,647677","8,75804"
14/04/2006 8.00,"0,837105","10,106529"
14/04/2006 9.00,"0,714196","8,183085"
14/04/2006 10.00,"0,952018","7,619807"
14/04/2006 11.00,"1,209001","7,571787"
14/04/2006 12.00,"0,831551","7,351148"
14/04/2006 13.00,"0,462277","6,619149"
14/04/2006 14.00,"0,750263","6,083125"
14/04/2006 15.00,"0,955313","5,898829"
14/04/2006 16.00,"1,26362","7,562702"
14/04/2006 17.00,"0,59556","8,839807"
14/04/2006 18.00,"0,239957","9,086403"
14/04/2006 19.00,"0,171302","17,379797"
14/04/2006 20.00,"0,298177","19,875603"
14/04/2006 21.00,"0,38752","26,301376"
14/04/2006 22.00,"0,771927","27,9873"
14/04/2006 23.00,"0,513113","34,259921"
15/04/2006 0.00,"0,266077","18,40512"
15/04/2006 1.00,"0,434693","13,282419"
15/04/2006 2.00,"0,289511","9,647084"
15/04/2006 3.00,"0,734274","10,49978"
15/04/2006 4.00,"0,842047","12,066314"
15/04/2006 5.00,"1,219132","14,273992"
15/04/2006 6.00,"0,906309","16,516719"
15/04/2006 7.00,"1,116241","23,692643"
15/04/2006 8.00,"1,266795","26,255947"
15/04/2006 9.00,"1,491922","20,139057"
15/04/2006 10.00,"1,991914","14,399887"
15/04/2006 11.00,"2,579603","11,872927"
15/04/2006 12.00,"1,905806","10,944951"
15/04/2006 13.00,"1,253612","8,53351"
15/04/2006 14.00,"1,042521","6,890404"
15/04/2006 15.00,"1,129056","6,83719"
15/04/2006 16.00,"1,206988","7,641872"
15/04/2006 17.00,"1,129484","8,376468"
15/04/2006 18.00,"1,23384","11,688634"
15/04/2006 19.00,"0,846869","15,422605"
15/04/2006 20.00,"1,633138","21,900276"
15/04/2006 21.00,"1,55661","22,407759"
15/04/2006 22.00,"1,354367","17,783436"
15/04/2006 23.00,"1,86205","11,983252"
16/04/2006 0.00,"1,917035","9,121446"
16/04/2006 1.00,,"7,220064"
16/04/2006 2.00,"1,396305",
16/04/2006 3.00,"1,270957","5,630169"
16/04/2006 4.00,"1,4055","4,789149"
16/04/2006 5.00,"1,483345","4,829383"
16/04/2006 6.00,"1,272182","5,465339"
16/04/2006 7.00,"1,367497","6,486766"
16/04/2006 8.00,"1,321525","6,996828"
16/04/2006 9.00,"1,000338","7,99619"
16/04/2006 10.00,"0,456955","9,38102"
16/04/2006 11.00,"0,419872","11,144828"
16/04/2006 12.00,"0,191548","9,422552"
16/04/2006 13.00,"0,13914","7,177233"
16/04/2006 14.00,"0,226792","4,225872"
16/04/2006 15.00,"0,178676","4,721657"
16/04/2006 16.00,"0,143431","6,129851"
16/04/2006 17.00,"0,242422","6,728169"
16/04/2006 18.00,"0,221889","8,22851"
16/04/2006 19.00,"0,339882","11,636717"
16/04/2006 20.00,"0,530817","22,923006"
16/04/2006 21.00,"0,342333","22,468753"
16/04/2006 22.00,"0,556254","18,529715"
16/04/2006 23.00,"0,553802","18,610184"
17/04/2006 0.00,"0,646051","14,572503"
17/04/2006 1.00,"0,730945","9,658764"
17/04/2006 2.00,"0,551657","10,201267"
17/04/2006 3.00,"0,725429","9,242147"
17/04/2006 4.00,"0,701524","8,177894"
17/04/2006 5.00,"0,670263","10,800886"
17/04/2006 6.00,"0,639616","16,711397"
17/04/2006 7.00,"0,451439","19,220169"
17/04/2006 8.00,"0,43489","24,633596"
17/04/2006 9.00,"0,376965","18,833415"
17/04/2006 10.00,"0,270311","16,398614"
17/04/2006 11.00,"0,139753","11,090317"
17/04/2006 12.00,"0,20871","10,222037"
17/04/2006 13.00,"0,296975","10,903418"
17/04/2006 14.00,"0,239664","10,860586"
17/04/2006 15.00,"0,441325","8,341425"
17/04/2006 16.00,"0,389837","7,862509"
17/04/2006 17.00,"0,308315","8,966999"
17/04/2006 18.00,"0,258972","9,872914"
17/04/2006 19.00,"0,23476","12,943675"
17/04/2006 20.00,"0,357351","17,721146"
17/04/2006 21.00,"0,530817","18,864561"
17/04/2006 22.00,"0,417727","15,766545"
17/04/2006 23.00,"0,479942","21,265628"
18/04/2006 0.00,"0,466456","10,86319"
18/04/2006 1.00,,"9,063042"
18/04/2006 2.00,"0,833714",
18/04/2006 3.00,"1,022109","6,974766"
18/04/2006 4.00,"0,768281","6,295977"
18/04/2006 5.00,"1,170619","6,433553"
18/04/2006 6.00,"0,870842","9,073424"
18/04/2006 7.00,"1,056296","13,14225"
18/04/2006 8.00,"0,964396","11,680842"
18/04/2006 9.00,"0,688697","21,96517"
18/04/2006 10.00,"0,445898","19,982024"
18/04/2006 11.00,"0,171117","12,773654"
18/04/2006 12.00,"0,053853","8,052"
18/04/2006 13.00,"0,045031","6,051979"
18/04/2006 14.00,"0,05661","5,108424"
18/04/2006 15.00,"0,097781","5,804084"
18/04/2006 16.00,"0,106604","7,493913"
18/04/2006 17.00,"0,241145","7,08768"
18/04/2006 18.00,"0,344072","8,523126"
18/04/2006 19.00,"0,469608","9,477063"
18/04/2006 20.00,"0,639622","9,635401"
18/04/2006 21.00,"0,861284","8,476403"
18/04/2006 22.00,"0,871393","6,979956"
18/04/2006 23.00,"0,860182","5,069488"
19/04/2006 0.00,"1,064383","4,790447"
19/04/2006 1.00,"1,266563","4,101276"
19/04/2006 2.00,"1,564134","3,968893"
19/04/2006 3.00,"1,202783","3,500361"
19/04/2006 4.00,"1,009794","3,972788"
19/04/2006 5.00,"1,095261","6,005253"
19/04/2006 6.00,"1,029828","10,13768"
19/04/2006 7.00,"1,099489","14,578992"
19/04/2006 8.00,"0,940686","19,335692"
19/04/2006 9.00,"0,736852","16,839888"
19/04/2006 10.00,"0,722515","14,432336"
19/04/2006 11.00,"0,509676","9,065637"
19/04/2006 12.00,"0,879848","9,035785"
19/04/2006 13.00,"0,53982","8,528317"
19/04/2006 14.00,"0,629513","8,944936"
19/04/2006 15.00,"0,409321","7,515978"
19/04/2006 16.00,"0,546436","6,724276"
19/04/2006 17.00,"0,417225","8,207744"
19/04/2006 18.00,"0,558016","6,700914"
19/04/2006 19.00,"0,776921","8,096127"
19/04/2006 20.00,"0,827466","9,353766"
19/04/2006 21.00,"0,990863","9,857338"
19/04/2006 22.00,"0,891428","14,145499"
19/04/2006 23.00,"1,025969","8,889127"
20/04/2006 0.00,"0,900618","7,571787"
20/04/2006 1.00,,"6,669765"
20/04/2006 2.00,"0,426696",
20/04/2006 3.00,"0,538072","6,305063"
20/04/2006 4.00,"0,43149","7,920913"
20/04/2006 5.00,"0,482384","14,647784"
20/04/2006 6.00,"0,439235","29,327995"
20/04/2006 7.00,"0,528852","32,368916"
20/04/2006 8.00,"0,651661","43,177605"
20/04/2006 9.00,"0,37027","29,620015"
20/04/2006 10.00,"0,234554","11,631529"
20/04/2006 11.00,"0,148624","11,351182"
20/04/2006 12.00,"0,288029","11,349891"
20/04/2006 13.00,"0,202838","8,928061"
20/04/2006 14.00,"0,262582","9,869019"
20/04/2006 15.00,"0,787008","15,603013"
20/04/2006 16.00,"0,924201","14,31423"
20/04/2006 17.00,"0,586384","9,743125"
20/04/2006 18.00,"0,631377","12,760676"
20/04/2006 19.00,"0,735008","22,567393"
20/04/2006 20.00,"0,709931","35,117817"
20/04/2006 21.00,"0,834952","48,472926"
20/04/2006 22.00,"1,030782","42,590965"
20/04/2006 23.00,"0,946697","36,902381"
21/04/2006 0.00,"0,891009","35,347525"
21/04/2006 1.00,"1,010498","24,475263"
21/04/2006 2.00,"0,695548","16,798356"
21/04/2006 3.00,"0,620682","13,937841"
21/04/2006 4.00,"0,792541","9,522488"
21/04/2006 5.00,"0,63064","11,80025"
21/04/2006 6.00,"0,936739","25,67839"
21/04/2006 7.00,"1,152485","34,938702"
21/04/2006 8.00,"0,515575","31,653791"
21/04/2006 9.00,"0,342611","18,146848"
21/04/2006 10.00,"0,132766","13,24219"
21/04/2006 11.00,"0,111008","11,762614"
21/04/2006 12.00,"0,115802","14,63869"
21/04/2006 13.00,"0,143092","16,658188"
21/04/2006 14.00,"0,377646","8,85668"
21/04/2006 15.00,"0,209106","10,886543"
21/04/2006 16.00,"0,182923","12,5608"
21/04/2006 17.00,"0,399405","12,405057"
21/04/2006 18.00,"0,221277","12,431015"
21/04/2006 19.00,"0,132397","18,737374"
21/04/2006 20.00,"0,160057","30,756968"
21/04/2006 21.00,"0,312","23,370777"
21/04/2006 22.00,"0,4042","23,722489"
21/04/2006 23.00,"0,303519","17,439507"
22/04/2006 0.00,"0,194355","11,483569"
22/04/2006 1.00,,"11,988438"
22/04/2006 2.00,"0,958048",
22/04/2006 3.00,"0,92996","8,207744"
22/04/2006 4.00,"1,315463","7,756083"
22/04/2006 5.00,"1,007431","9,185041"
22/04/2006 6.00,"1,072865","23,490181"
22/04/2006 7.00,"1,00527","25,156642"
22/04/2006 8.00,"1,101569","23,150132"
22/04/2006 9.00,"0,867921","10,95144"
22/04/2006 10.00,"1,200954","11,272015"
22/04/2006 11.00,"1,394786","10,898232"
22/04/2006 12.00,"1,393242","11,626333"
22/04/2006 13.00,"1,477194","8,951423"
22/04/2006 14.00,"1,532752","8,498467"
22/04/2006 15.00,"1,475961","7,063019"
22/04/2006 16.00,"1,437071","6,81902"
22/04/2006 17.00,"1,286758","9,734041"
22/04/2006 18.00,"1,406823","12,664633"
22/04/2006 19.00,"1,347871","15,592627"
22/04/2006 20.00,"1,274104","22,706261"
22/04/2006 21.00,"1,457133","29,975647"
22/04/2006 22.00,"1,751584","18,686759"
22/04/2006 23.00,"1,077494","14,580294"
23/04/2006 0.00,"1,092927","11,379736"
23/04/2006 1.00,"1,199719","11,120159"
23/04/2006 2.00,"1,187991","8,973488"
23/04/2006 3.00,"1,236448","8,721701"
23/04/2006 4.00,"1,118544","7,480935"
23/04/2006 5.00,"1,671644","9,988425"
23/04/2006 6.00,"1,410218","13,340825"
23/04/2006 7.00,"1,758065","22,107939"
23/04/2006 8.00,"1,186139","14,479056"
23/04/2006 9.00,"1,425959","10,481613"
23/04/2006 10.00,"1,865784","9,806722"
23/04/2006 11.00,"1,600346","7,46536"
23/04/2006 12.00,"1,693558","8,926764"
23/04/2006 13.00,"1,659298","6,498446"
23/04/2006 14.00,"1,387686","5,68468"
23/04/2006 15.00,"1,422255","6,002659"
23/04/2006 16.00,"1,261449","7,039657"
23/04/2006 17.00,"1,308055","7,972827"
23/04/2006 18.00,"1,117002","10,99946"
23/04/2006 19.00,"1,36886","14,357052"
23/04/2006 20.00,"1,549111","57,624198"
23/04/2006 21.00,"1,559296","56,052478"
23/04/2006 22.00,"1,346945","27,370814"
23/04/2006 23.00,"1,133977","23,456435"
24/04/2006 0.00,"1,352501","22,146867"
24/04/2006 1.00,,"19,22797"
24/04/2006 2.00,"0,857559",
24/04/2006 3.00,"0,693874","14,790547"
24/04/2006 4.00,"0,512658","11,615946"
24/04/2006 5.00,"0,696095","17,625104"
24/04/2006 6.00,"0,709056","31,198237"
24/04/2006 7.00,"0,673135","47,812292"
24/04/2006 8.00,"0,823982","34,788149"
24/04/2006 9.00,"0,803121","18,442756"
24/04/2006 10.00,"1,076793","17,270776"
24/04/2006 11.00,"2,506141","22,468753"
24/04/2006 12.00,"3,286671","14,149396"
24/04/2006 13.00,"2,599464","10,242798"
24/04/2006 14.00,"1,667469","7,431615"
24/04/2006 15.00,"1,285783","9,29536"
24/04/2006 16.00,"1,500327","8,103914"
24/04/2006 17.00,"1,19962","9,454999"
24/04/2006 18.00,"0,516115","12,285651"
24/04/2006 19.00,"0,519942","21,549865"
24/04/2006 20.00,"0,63783","36,740151"
24/04/2006 21.00,"0,788554","29,780967"
24/04/2006 22.00,"0,772383","29,422753"
24/04/2006 23.00,"0,662889","28,91657"
25/04/2006 0.00,"0,652149","22,507681"
25/04/2006 1.00,"0,566973","17,717249"
25/04/2006 2.00,"0,598576","10,981294"
25/04/2006 3.00,"0,377612","10,318081"
25/04/2006 4.00,"0,542779","8,865764"
25/04/2006 5.00,"0,297374","11,457612"
25/04/2006 6.00,"0,508585","23,984663"
25/04/2006 7.00,"0,478342","24,937297"
25/04/2006 8.00,"0,421928","21,560247"
25/04/2006 9.00,"0,729055","20,669905"
25/04/2006 10.00,"1,052105","12,499797"
25/04/2006 11.00,"1,418977","10,689271"
25/04/2006 12.00,"1,240356","7,997488"
25/04/2006 13.00,"0,927304","6,388127"
25/04/2006 14.00,"0,437112","4,55034"
25/04/2006 15.00,"0,211087","6,024723"
25/04/2006 16.00,"0,25565","3,984466"
25/04/2006 17.00,"0,319717","5,065595"
25/04/2006 18.00,"0,256021","7,53285"
25/04/2006 19.00,"0,663259","9,673041"
25/04/2006 20.00,"0,379834","13,453744"
25/04/2006 21.00,"0,670048","15,235718"
25/04/2006 22.00,"0,374279","13,605589"
25/04/2006 23.00,"0,694614","12,551714"
26/04/2006 0.00,"0,720908","11,030607"
26/04/2006 1.00,,"8,94753"
26/04/2006 2.00,"1,151739",
26/04/2006 3.00,"0,955524","6,86185"
26/04/2006 4.00,"0,8524","6,089617"
26/04/2006 5.00,"0,951436","9,931317"
26/04/2006 6.00,"1,054653","11,008544"
26/04/2006 7.00,"0,64708","26,529783"
26/04/2006 8.00,"0,286982","29,925017"
26/04/2006 9.00,"0,367809","40,147065"
26/04/2006 10.00,"0,465916","45,472236"
26/04/2006 11.00,"0,407293","46,318447"
26/04/2006 12.00,"0,182371","12,694487"
26/04/2006 13.00,"0,181814","11,593882"
26/04/2006 14.00,"0,226222","10,028657"
26/04/2006 15.00,"0,152549","9,896275"
26/04/2006 16.00,"0,182836","9,146105"
26/04/2006 17.00,"0,298688","10,22333"
26/04/2006 18.00,"0,625155","15,370698"
26/04/2006 19.00,"0,567926","15,686076"
26/04/2006 20.00,"0,59589","20,64654"
26/04/2006 21.00,"0,77436","16,360967"
26/04/2006 22.00,"0,492301","8,257061"
26/04/2006 23.00,"0,73757","6,78917"
27/04/2006 0.00,"0,686101","4,929317"
27/04/2006 1.00,"0,657393","4,555531"
27/04/2006 2.00,"0,749368","5,794999"
27/04/2006 3.00,"0,428012","7,181128"
27/04/2006 4.00,"0,540427","9,66785"
27/04/2006 5.00,"0,65535","12,362225"
27/04/2006 6.00,"0,516178","19,03848"
27/04/2006 7.00,"0,50856","30,548003"
27/04/2006 8.00,"0,608432","36,372855"
27/04/2006 9.00,"0,578145","24,226071"
27/04/2006 10.00,"0,356847","16,128652"
27/04/2006 11.00,"0,114272","12,07799"
27/04/2006 12.00,"0,165928","12,515382"
27/04/2006 13.00,"0,197979","12,774945"
27/04/2006 14.00,"0,29172","10,325861"
27/04/2006 15.00,"0,277041","8,311572"
27/04/2006 16.00,"0,388528","9,063042"
27/04/2006 17.00,"0,322657","10,494591"
27/04/2006 18.00,"0,525561","11,792457"
27/04/2006 19.00,"0,41807","11,949501"
27/04/2006 20.00,"0,519894","12,114336"
27/04/2006 21.00,"0,598027","10,612697"
27/04/2006 22.00,"0,507073","8,376468"
27/04/2006 23.00,"0,511997","5,349829"
28/04/2006 0.00,"0,685915","4,106467"
28/04/2006 1.00,,"3,540596"
28/04/2006 2.00,"0,775559",
28/04/2006 3.00,"1,107543","3,226509"
28/04/2006 4.00,"1,016023","4,033786"
28/04/2006 5.00,"0,80046","6,529595"
28/04/2006 6.00,"0,741645","9,144807"
28/04/2006 7.00,"1,187636","15,866484"
28/04/2006 8.00,"1,258715","25,632959"
28/04/2006 9.00,"1,209842","16,787972"
28/04/2006 10.00,"0,885664","13,64063"
28/04/2006 11.00,"0,62959","10,540011"
28/04/2006 12.00,"0,138165","9,493934"
28/04/2006 13.00,"0,171428","10,245402"
28/04/2006 14.00,"0,285619","7,780744"
28/04/2006 15.00,"0,304946","8,745064"
28/04/2006 16.00,"0,772214","12,101358"
28/04/2006 17.00,"0,647429","13,24219"
28/04/2006 18.00,"0,754096","15,967713"
28/04/2006 19.00,"0,867173","16,510226"
28/04/2006 20.00,"0,507128","14,916443"
28/04/2006 21.00,"0,701785","12,488121"
28/04/2006 22.00,"0,752888","8,624361"
28/04/2006 23.00,"0,446734","5,527638"
29/04/2006 0.00,"0,469498","4,56202"
29/04/2006 1.00,"0,528313","4,282977"
29/04/2006 2.00,"0,710426","4,164871"
29/04/2006 3.00,"0,681437","3,922169"
29/04/2006 4.00,"0,775373","4,41536"
29/04/2006 5.00,"1,094443","8,232405"
29/04/2006 6.00,"0,789682","13,331743"
29/04/2006 7.00,"0,909728","12,524464"
29/04/2006 8.00,"0,784201","11,904073"
29/04/2006 9.00,"0,826662","11,517308"
29/04/2006 10.00,"0,377791","9,540658"
29/04/2006 11.00,"0,125527","5,835235"
29/04/2006 12.00,"0,136584","8,188275"
29/04/2006 13.00,"0,112055","7,636679"
29/04/2006 14.00,"0,103972","6,009148"
29/04/2006 15.00,"0,096353","4,61783"
29/04/2006 16.00,"0,125249","5,013679"
29/04/2006 17.00,"0,202275","5,335552"
29/04/2006 18.00,"0,377977","7,588659"
29/04/2006 19.00,"0,634213","9,967659"
29/04/2006 20.00,"0,562784","12,466058"
29/04/2006 21.00,"0,574492","13,038417"
29/04/2006 22.00,"0,553121","9,475765"
29/04/2006 23.00,"0,609985","9,718466"
30/04/2006 0.00,"0,616861","8,283021"
30/04/2006 1.00,,"6,517914"
30/04/2006 2.00,"0,369875",
30/04/2006 3.00,"0,34552","5,057808"
30/04/2006 4.00,"0,524755","5,606808"
30/04/2006 5.00,"0,406686","8,578935"
30/04/2006 6.00,"0,53993","8,24668"
30/04/2006 7.00,"0,496691","8,482891"
30/04/2006 8.00,"0,217715","6,179169"
30/04/2006 9.00,"0,207701","7,774255"
30/04/2006 10.00,"0,091673","7,828764"
30/04/2006 11.00,"0,035265","7,981915"
30/04/2006 12.00,"0,088119","9,114957"
30/04/2006 13.00,"0,045836","6,913765"
30/04/2006 14.00,"0,099493","5,653531"
30/04/2006 15.00,"0,124435","6,376445"
30/04/2006 16.00,"0,17939","6,009148"
30/04/2006 17.00,"0,147926","9,210999"
30/04/2006 18.00,"0,333589","11,452422"
30/04/2006 19.00,"0,367372","12,690592"
30/04/2006 20.00,"0,243122","20,150758"
30/04/2006 21.00,"0,310996","24,832176"
30/04/2006 22.00,"0,401587","14,380418"
30/04/2006 23.00,"0,490817","12,297338"
01/05/2006 0.00,"0,471037","13,466713"
01/05/2006 1.00,"0,607063","9,181148"
01/05/2006 2.00,"0,72442","7,669128"
01/05/2006 3.00,"0,736227","5,990978"
01/05/2006 4.00,"0,497834","5,120106"
01/05/2006 5.00,"0,490231","6,608765"
01/05/2006 6.00,"0,622857","6,28949"
01/05/2006 7.00,"0,458952","7,060425"
01/05/2006 8.00,"0,671351","7,90534"
01/05/2006 9.00,"0,401093","8,891722"
01/05/2006 10.00,"0,209803","7,804105"
01/05/2006 11.00,"0,393025","8,523126"
01/05/2006 12.00,"0,482875","8,33753"
01/05/2006 13.00,"0,116677","4,567212"
01/05/2006 14.00,"0,042127","3,586021"
01/05/2006 15.00,"0,042127","4,168766"
01/05/2006 16.00,"0,241267","8,026042"
01/05/2006 17.00,"0,216757","9,109764"
01/05/2006 18.00,"0,456263","16,284394"
01/05/2006 19.00,"0,506766","17,161756"
01/05/2006 20.00,"0,296932","21,368148"
01/05/2006 21.00,"0,427302","28,537593"
01/05/2006 22.00,"0,906529","26,17547"
01/05/2006 23.00,"0,568891","14,684119"
02/05/2006 0.00,"0,478794","12,456974"
02/05/2006 1.00,,"10,311592"
02/05/2006 2.00,"0,138873",
02/05/2006 3.00,"0,085764","8,231107"
02/05/2006 4.00,"0,18898","7,422531"
02/05/2006 5.00,"0,205307","9,902764"
02/05/2006 6.00,"0,169838","19,831474"
02/05/2006 7.00,"0,188041","25,697853"
02/05/2006 8.00,"0,249408","18,303891"
02/05/2006 9.00,"0,127613","12,018292"
02/05/2006 10.00,"0,015201","7,775551"
02/05/2006 11.00,"0,007506","7,706765"
02/05/2006 12.00,"0,004691","9,103275"
02/05/2006 13.00,"0,002627","10,453061"
02/05/2006 14.00,"0,01126","7,050041"
02/05/2006 15.00,"0,004129","7,866401"
02/05/2006 16.00,"0,00488","8,114296"
02/05/2006 17.00,"0,004129","6,462106"
02/05/2006 18.00,"0,004691","8,773615"
02/05/2006 19.00,"0,002815","10,955335"
02/05/2006 20.00,"0,044101","14,848953"
02/05/2006 21.00,"0,086889","13,850881"
02/05/2006 22.00,"0,168899","10,528332"
02/05/2006 23.00,"0,130615","7,793721"
03/05/2006 0.00,"0,12142","5,517254"
03/05/2006 1.00,"0,202679","6,171381"
03/05/2006 2.00,"0,16402","4,686616"
03/05/2006 3.00,"0,109409","5,513361"
03/05/2006 4.00,"0,148256","5,84302"
03/05/2006 5.00,"0,146567","9,18634"
03/05/2006 6.00,"0,251097","23,953517"
03/05/2006 7.00,"0,14713","28,71151"
03/05/2006 8.00,"0,136996","19,527772"
03/05/2006 9.00,"0,164958","13,496567"
03/05/2006 10.00,"0,003378","12,209076"
03/05/2006 11.00,"0,000375","12,150669"
03/05/2006 12.00,"0,004316","12,816488"
03/05/2006 13.00,"0,001501","9,255126"
03/05/2006 14.00,"0,003941","7,488723"
03/05/2006 15.00,"0,007131","6,434851"
03/05/2006 16.00,"0,000939","5,757361"
03/05/2006 17.00,"0,001689","8,00268"
03/05/2006 18.00,"0,007695","7,735319"
03/05/2006 19.00,"0,011447","10,764543"
03/05/2006 20.00,"0,028901","17,211079"
03/05/2006 21.00,"0,063431","16,909972"
03/05/2006 22.00,"0,122922","14,577689"
03/05/2006 23.00,"0,128176","8,981276"
04/05/2006 0.00,"0,141312","6,297275"
