NetC,SIMAGE Brindisi,
Stat,Mesagne,
Parm,SO2,NO2
PtId,1,4
Unit,ug/m3 293K,ug/m3 293K
Field,Aver,Aver
07/01/2006 6.00,"0,50218","11,968971"
07/01/2006 7.00,"0,583473","35,987394"
07/01/2006 8.00,"0,569476","44,513118"
07/01/2006 9.00,"0,539282","41,309965"
07/01/2006 10.00,"0,372479","25,043719"
07/01/2006 11.00,"0,407197","21,054065"
07/01/2006 12.00,"0,506032","17,706865"
07/01/2006 13.00,"0,501997","20,680286"
07/01/2006 14.00,"0,659937","20,544"
07/01/2006 15.00,"0,910538","16,636124"
07/01/2006 16.00,"0,897275","18,536206"
07/01/2006 17.00,"0,933521","23,100803"
07/01/2006 18.00,"0,97215","39,844664"
07/01/2006 19.00,"0,822278","36,574015"
07/01/2006 20.00,"0,71623","41,398222"
07/01/2006 21.00,"0,735729","37,33717"
07/01/2006 22.00,"0,519417","35,483811"
07/01/2006 23.00,"0,573022","45,578654"
08/01/2006 0.00,"0,463613","35,047725"
08/01/2006 1.00,,"27,840651"
08/01/2006 2.00,"2,427982",
08/01/2006 3.00,"2,521882","19,688704"
08/01/2006 4.00,"2,327969","17,634187"
08/01/2006 5.00,"2,523879","18,663394"
08/01/2006 6.00,"2,156694","17,608229"
08/01/2006 7.00,"2,31089","18,24289"
08/01/2006 8.00,"2,194752","30,163826"
08/01/2006 9.00,"1,857178","29,630416"
08/01/2006 10.00,"1,64201","19,000844"
08/01/2006 11.00,"2,050047","16,181861"
08/01/2006 12.00,"1,933938","17,618613"
08/01/2006 13.00,"2,573516","23,268237"
08/01/2006 14.00,"2,544888","19,329192"
08/01/2006 15.00,"3,017767","16,8957"
08/01/2006 16.00,"2,885625","15,856097"
08/01/2006 17.00,"2,844251","18,267546"
08/01/2006 18.00,"2,946844","31,008739"
08/01/2006 19.00,"2,467606","45,782419"
08/01/2006 20.00,"2,766384","60,497705"
08/01/2006 21.00,"2,566912","62,536659"
08/01/2006 22.00,"2,150028","54,090097"
08/01/2006 23.00,"2,303273","44,088712"
09/01/2006 0.00,"2,319215","29,076222"
09/01/2006 1.00,"2,495988","15,397949"
09/01/2006 2.00,"2,209188","11,562738"
09/01/2006 3.00,"2,131445","10,580251"
09/01/2006 4.00,"2,08878","11,248651"
09/01/2006 5.00,"2,240887","12,712655"
09/01/2006 6.00,"2,418429","22,039145"
09/01/2006 7.00,"2,308003","42,727233"
09/01/2006 8.00,"1,958634","77,236347"
09/01/2006 9.00,"2,396435","89,355903"
09/01/2006 10.00,"2,052535","51,839597"
09/01/2006 11.00,"1,735173","26,453207"
09/01/2006 12.00,"2,706058","21,044982"
09/01/2006 13.00,"3,693345","23,013864"
09/01/2006 14.00,"3,685973","20,44796"
09/01/2006 15.00,"3,19021","17,200693"
09/01/2006 16.00,"2,671839","17,956054"
09/01/2006 17.00,"2,28816","28,852978"
09/01/2006 18.00,"2,336631","46,650694"
09/01/2006 19.00,"2,223195","59,92923"
09/01/2006 20.00,"2,410043","57,102472"
09/01/2006 21.00,"2,461708","69,726855"
09/01/2006 22.00,"2,469633","47,385286"
09/01/2006 23.00,"2,035333","29,887389"
10/01/2006 0.00,"2,543537","27,569395"
10/01/2006 1.00,,"10,210349"
10/01/2006 2.00,"1,347388",
10/01/2006 3.00,"1,642574","17,018992"
10/01/2006 4.00,"1,295215","12,144181"
10/01/2006 5.00,"1,50409","12,486819"
10/01/2006 6.00,"1,280768","17,921012"
10/01/2006 7.00,"1,528934","32,651853"
10/01/2006 8.00,"1,806638","57,525576"
10/01/2006 9.00,"1,422196","70,957244"
10/01/2006 10.00,"1,302944","45,335968"
10/01/2006 11.00,"1,296963","21,606956"
10/01/2006 12.00,"1,571539","19,931415"
10/01/2006 13.00,"1,639905","18,959314"
10/01/2006 14.00,"1,558656","19,841855"
10/01/2006 15.00,"1,791363","14,974839"
10/01/2006 16.00,"1,662726","16,129954"
10/01/2006 17.00,"1,863227","20,314292"
10/01/2006 18.00,"1,370668","32,213166"
10/01/2006 19.00,"1,620306","54,876617"
10/01/2006 20.00,"1,562428","77,641286"
10/01/2006 21.00,"1,54789","113,888179"
10/01/2006 22.00,"1,168049","44,167867"
10/01/2006 23.00,"1,118085","22,274073"
11/01/2006 0.00,"1,170533","37,904346"
11/01/2006 1.00,"1,25574","13,761329"
11/01/2006 2.00,"1,478142","7,127913"
11/01/2006 3.00,"1,287117","6,573721"
11/01/2006 4.00,"1,386402","7,756083"
11/01/2006 5.00,"1,333401","9,967659"
11/01/2006 6.00,"1,612853","17,443393"
11/01/2006 7.00,"1,860376","47,11663"
11/01/2006 8.00,"1,727689","89,194953"
11/01/2006 9.00,"1,728425","86,858774"
11/01/2006 10.00,"1,461764","50,851913"
11/01/2006 11.00,"1,483755","39,106173"
11/01/2006 12.00,"2,186295","32,005522"
11/01/2006 13.00,"2,443938","34,629817"
11/01/2006 14.00,"2,935302","39,260625"
11/01/2006 15.00,"2,360389","19,213687"
11/01/2006 16.00,"2,339501","25,086548"
