TARANTO -  V. Machiavelli,,,,,,
,SO2,NO2,CO,PM10,BENZENE,PM2.5
05/01/2011 5.00,"4,856518","11,696417","0,382463","25,79999","1,058951","19,1"
05/01/2011 6.00,"4,86013","13,70163","0,35014","25,79999","1,186839","19,1"
05/01/2011 7.00,"4,755378","18,14165","0,405096","25,79999","1,205145","19,1"
05/01/2011 8.00,"4,439316","25,061902","0,483353","25,79999","1,509736","19,1"
05/01/2011 9.00,"4,45557","38,021151","0,504575","25,79999","1,779241","19,1"
05/01/2011 10.00,"4,814978","38,932259","0,575184","25,79999","1,720255","19,1"
05/01/2011 11.00,"6,859448","37,016586","0,711616","25,79999","2,318251","19,1"
05/01/2011 12.00,"4,580189","25,019074","0,503124","25,79999","3,018456","19,1"
05/01/2011 13.00,"4,65735","20,780954","0,494358","25,79999","2,126547","19,1"
05/01/2011 14.00,"4,814978","32,1963","0,464564","25,79999","1,977556","19,1"
05/01/2011 15.00,"4,603668","44,013437","0,400624","25,79999","1,442106","19,1"
05/01/2011 16.00,"4,605474","21,301954","0,414394","25,79999","1,402951","19,1"
05/01/2011 17.00,"3,962514","36,311862","0,480687","25,79999","1,358203","19,1"
05/01/2011 18.00,"4,511558","71,289494","0,644341","25,79999","1,94247","19,1"
05/01/2011 19.00,"4,601863","66,440656","0,791835","25,79999","2,35588","19,1"
05/01/2011 20.00,"4,484467","48,482011","0,810271","25,79999","2,977776","19,1"
05/01/2011 21.00,"4,302055","42,248314","0,710282","25,79999","1,589062","19,1"
05/01/2011 22.00,"3,805386","39,631819","0,640889","25,79999","2,535889","19,1"
05/01/2011 23.00,"4,004054","34,323515","0,635672","25,79999","2,465716","19,1"
06/01/2011 0.00,"4,016696","31,129443","0,555453","25,79999","1,838227","19,1"
06/01/2011 1.00,,"22,174133","0,436791","30,5","1,539229",19
06/01/2011 2.00,"3,899302",,"0,490808","30,5","1,374984",19
06/01/2011 3.00,"3,910138","21,190351",,"30,5","1,54584",19
06/01/2011 4.00,"3,798162","19,10597","0,458558","30,5","1,485837",19
06/01/2011 5.00,"4,081714","16,769803","0,441024","30,5","1,455835",19
06/01/2011 6.00,"3,774683","12,294734","0,419763","30,5","1,339389",19
06/01/2011 7.00,"3,899302","21,630322","0,513946","30,5","1,472616",19
06/01/2011 8.00,"4,345401","37,43321","0,663947","30,5","1,629742",19
06/01/2011 9.00,"4,293024","35,194394","0,626015","30,5","2,34927",19
06/01/2011 10.00,"3,998635","31,54995","0,689994","30,5","1,601266",19
06/01/2011 11.00,"4,693972","45,188015","0,692858","30,5","1,442614",19
06/01/2011 12.00,"4,697584","41,095818","0,673754","30,5","2,646234",19
06/01/2011 13.00,"4,088939","50,750673","0,588712","30,5","2,644709",19
06/01/2011 14.00,"4,06546","25,926279","0,406622","30,5","2,289267",19
06/01/2011 15.00,"4,164794","30,481811","0,392617","30,5","1,416681",19
06/01/2011 16.00,"3,897496","23,914568","0,399169","30,5","1,096834",19
06/01/2011 17.00,"3,971545","22,601121","0,37979","30,5","0,583758",19
06/01/2011 18.00,"4,01489","23,179978","0,456557","30,5","1,214298",19
06/01/2011 19.00,"5,103948","69,231087","1,06594","30,5","1,948572",19
06/01/2011 20.00,"5,743298","71,816442","1,378928","30,5","4,385304",19
06/01/2011 21.00,"5,569916","65,16226","1,14957","30,5","4,658877",19
06/01/2011 22.00,"4,908894","56,360079","0,797513","30,5","4,474291",19
06/01/2011 23.00,"4,381522","50,687079","0,605186","30,5","2,347744",19
07/01/2011 0.00,"4,305668","45,764254","0,728435","30,5","1,879924",19
07/01/2011 1.00,"4,603668","51,311368","0,696466","29,200001","2,636064","21,700001"
07/01/2011 2.00,"4,332759","42,097765","0,536343","29,200001","1,873822","21,700001"
07/01/2011 3.00,"4,354431","28,202745","0,495665","29,200001","1,564654","21,700001"
07/01/2011 4.00,"3,924587","20,249398","0,426509","29,200001","1,506177","21,700001"
07/01/2011 5.00,"4,096162","13,958613","0,40823","29,200001","1,372441","21,700001"
07/01/2011 6.00,"3,781907","15,365499","0,448201","29,200001","1,184296","21,700001"
07/01/2011 7.00,"4,64882","37,975723","0,573492","29,200001","1,29159","21,700001"
07/01/2011 8.00,"4,054623","34,154801","0,490645","29,200001","1,680592","21,700001"
07/01/2011 9.00,"5,858886","55,907126","1,193112","29,200001","2,405205","21,700001"
07/01/2011 10.00,"6,839581","65,728112","1,580395","29,200001","6,524055","21,700001"
07/01/2011 11.00,"4,842069","49,406079","0,60899","29,200001","2,761664","21,700001"
07/01/2011 12.00,"3,879435","39,47867","0,634527","29,200001","0,999711","21,700001"
07/01/2011 13.00,"4,132284","61,914973","0,635155","29,200001","2,122988","21,700001"
07/01/2011 14.00,"4,045593","45,59814","0,534853","29,200001","2,148921","21,700001"
07/01/2011 15.00,"3,976962","43,133474","0,515358","29,200001","2,353338","21,700001"
07/01/2011 16.00,"3,899302","37,975723","0,511867","29,200001","1,690254","21,700001"
07/01/2011 17.00,"3,438755","21,809437","0,434002","29,200001","0,648846","21,700001"
07/01/2011 18.00,"3,980085","32,02663","0,511742","29,200001","1,445665","21,700001"
07/01/2011 19.00,"4,164794","47,193206","0,624132","29,200001","1,447699","21,700001"
07/01/2011 20.00,"4,193691","67,986417","0,847528","29,200001","2,236891","21,700001"
