TARANTO -  V. Machiavelli,,,,,,
,SO2,NO2,CO,PM10,BENZENE,PM2.5
21/03/2011 3.00,"15,907842","39,200911",,"30,29999","4,386321","12,5"
21/03/2011 4.00,"16,966204","43,39305",,"30,29999","5,002623","12,5"
21/03/2011 5.00,"14,007863","27,464254",,"30,29999","4,116307","12,5"
21/03/2011 6.00,"10,639549","26,290975",,"30,29999","2,863872","12,5"
21/03/2011 7.00,"9,391556","35,116497",,"30,29999","3,826971","12,5"
21/03/2011 8.00,"8,307914","53,268549",,"30,29999","2,838447","12,5"
21/03/2011 9.00,"7,123134","35,52664",,"30,29999","4,865836","12,5"
21/03/2011 10.00,"6,193009","30,472729",,"30,29999","2,836921","12,5"
21/03/2011 11.00,"6,295954","32,703766",,"30,29999","2,899975","12,5"
21/03/2011 12.00,"5,150907","28,384442",,"30,29999","2,918281","12,5"
21/03/2011 13.00,"5,259271","41,19444",,"30,29999","4,358862","12,5"
21/03/2011 14.00,"5,223149","33,592806",,"30,29999","6,806272","12,5"
21/03/2011 15.00,"5,093112","52,378207",,"30,29999","6,53575","12,5"
21/03/2011 16.00,"6,064777","69,887805",,"30,29999","7,0651","12,5"
21/03/2011 17.00,"7,471704","46,422269",,"30,29999","6,552022","12,5"
21/03/2011 18.00,"6,689677","42,593547",,"30,29999","2,263842","12,5"
21/03/2011 19.00,"5,941965","39,299551",,"30,29999","2,62386","12,5"
21/03/2011 20.00,"5,849855","36,422182",,"30,29999","2,062476","12,5"
21/03/2011 21.00,"6,052135","39,68503",,"30,29999","2,141802","12,5"
21/03/2011 22.00,"6,947946","55,249092",,"30,29999","3,262027","12,5"
21/03/2011 23.00,"11,972419","49,368451",,"30,29999","4,275977","12,5"
22/03/2011 0.00,"9,749157","41,063372",,"30,29999","2,666574","12,5"
22/03/2011 1.00,"8,450594","12,989103",,"36,599991","4,124443","14,8"
22/03/2011 2.00,"6,758309","6,173978",,"36,599991","2,634539","14,8"
22/03/2011 3.00,"5,573527","5,417319",,"36,599991","1,431427","14,8"
22/03/2011 4.00,"5,506703","9,221381",,"36,599991","1,97959","14,8"
22/03/2011 5.00,"5,432654","7,570487",,"36,599991","1,965861","14,8"
22/03/2011 6.00,"5,223149","11,661373",,"36,599991","1,439563","14,8"
22/03/2011 7.00,"5,159938","21,449925",,"36,599991","1,568722","14,8"
22/03/2011 8.00,"5,322483","29,579787",,"36,599991","1,601266","14,8"
22/03/2011 9.00,"5,741491","19,748397",,"36,599991","1,866703","14,8"
22/03/2011 10.00,"6,507264","14,237658",,"36,599991","1,467022","14,8"
22/03/2011 11.00,"6,606597","12,754185",,"36,599991","1,401934","14,8"
22/03/2011 12.00,"6,094568","12,646811",,"36,599991","1,338372","14,8"
22/03/2011 13.00,"6,267057","11,822312",,"36,599991","1,179211","14,8"
22/03/2011 14.00,"6,315821","11,810636",,"36,599991","1,293624","14,8"
22/03/2011 15.00,"6,104512","10,098742",,"36,599991","1,120225","14,8"
22/03/2011 16.00,"6,00879","11,544569",,"36,599991","1,148701","14,8"
22/03/2011 17.00,"5,456133","13,283721",,"36,599991","1,275826","14,8"
22/03/2011 18.00,"5,040737","17,060524",,"36,599991","1,419223","14,8"
22/03/2011 19.00,"5,167162","28,32345",,"36,599991","1,707034","14,8"
22/03/2011 20.00,"5,680085","43,210051",,"36,599991","3,926128","14,8"
22/03/2011 21.00,"7,639669","70,255101",,"36,599991","5,823342","14,8"
22/03/2011 22.00,"9,853909","68,593822",,"36,599991","5,245686","14,8"
22/03/2011 23.00,"10,838209","67,325798",,"36,599991","5,139918","14,8"
23/03/2011 0.00,"10,538408","58,723505",,"36,599991","5,522818","14,8"
23/03/2011 1.00,,"60,344555",,"55,099991","4,719897","23,200001"
23/03/2011 2.00,"11,721382",,,"55,099991","5,377896","23,200001"
23/03/2011 3.00,"14,300444","69,892983",,"55,099991","5,633164","23,200001"
23/03/2011 4.00,"14,17041","60,52235",,"55,099991","6,664909","23,200001"
23/03/2011 5.00,"17,408679","54,681937",,"55,099991","6,028267","23,200001"
23/03/2011 6.00,"12,611776","25,643341",,"55,099991","3,123207","23,200001"
23/03/2011 7.00,"9,415034","28,262457",,"55,099991","2,054848","23,200001"
23/03/2011 8.00,"8,307914","36,350792",,"55,099991","3,892059","23,200001"
23/03/2011 9.00,"9,182052","28,223508",,"55,099991","4,615654","23,200001"
23/03/2011 10.00,"10,691924","19,669241",,"55,099991","1,981116","23,200001"
23/03/2011 11.00,"11,109118","17,595249",,"55,099991","1,536178","23,200001"
23/03/2011 12.00,"11,351133","25,326656",,"55,099991","1,568214","23,200001"
23/03/2011 13.00,"15,803091","35,339743",,"55,099991","2,703694","23,200001"
23/03/2011 14.00,"28,05546","50,396359",,"55,099991","3,262536","23,200001"
23/03/2011 15.00,"19,761997","20,091046",,"55,099991","3,01032","23,200001"
23/03/2011 16.00,"22,406075","31,553849",,"55,099991","1,766529","23,200001"
23/03/2011 17.00,"15,250433","19,630292",,"55,099991","2,351812","23,200001"
23/03/2011 18.00,"20,525958","41,92125",,"55,099991","3,0271","23,200001"
23/03/2011 19.00,"27,77912","70,526376",,"55,099991","3,687133","23,200001"
23/03/2011 20.00,,,,"55,099991","5,246703","23,200001"
23/03/2011 21.00,"21,625863","51,783785",,"55,099991","4,975164","23,200001"
23/03/2011 22.00,"27,817054","73,894344",,"55,099991","4,907025","23,200001"
23/03/2011 23.00,"23,850937","66,056482",,"55,099991","5,433322","23,200001"
24/03/2011 0.00,"22,72937","36,738849",,"55,099991","4,724474","23,200001"
24/03/2011 1.00,"11,576897","18,585528",,"48,599991","2,443342","20,9"
24/03/2011 2.00,"9,808758","14,258417",,"48,599991","1,323117","20,9"
24/03/2011 3.00,"11,277086","45,633168",,"48,599991","1,082596","20,9"
24/03/2011 4.00,"35,025082","74,444632",,"48,599991","5,364675","20,9"
24/03/2011 5.00,"29,095758","63,773532",,"48,599991","3,777646","20,9"
24/03/2011 6.00,"28,275803","54,680635",,"48,599991","7,105271","20,9"
24/03/2011 7.00,"16,680843","53,651425",,"48,599991","2,448427","20,9"
24/03/2011 8.00,"18,687384","61,058379",,"48,599991","4,35276","20,9"
24/03/2011 9.00,"29,377509","54,513201",,"48,599991","4,253602","20,9"
24/03/2011 10.00,"29,700793","43,177605",,"48,599991","5,191785","20,9"
24/03/2011 11.00,"27,213831","33,276121",,"48,599991","2,495718","20,9"
24/03/2011 12.00,"33,679562","37,215168",,"48,599991","1,735002","20,9"
24/03/2011 13.00,"25,823165","33,960121",,"48,599991","1,692796","20,9"
24/03/2011 14.00,"18,403836","28,486982",,"48,599991","1,549908","20,9"
24/03/2011 15.00,"21,311601","29,193027",,"48,599991","1,339389","20,9"
24/03/2011 16.00,"25,953188","38,986768",,"48,599991","2,291301","20,9"
24/03/2011 17.00,,"39,951086",,"48,599991",,"20,9"
24/03/2011 18.00,"9,1965","20,763345",,"48,599991",,"20,9"
24/03/2011 19.00,"7,139389","25,677088",,"48,599991",,"20,9"
24/03/2011 20.00,"6,375421","39,665549",,"48,599991",,"20,9"
24/03/2011 21.00,"10,834599","66,862465",,"48,599991",,"20,9"
24/03/2011 22.00,"7,273038","46,540373",,"48,599991",,"20,9"
24/03/2011 23.00,"6,164111","53,441162",,"48,599991",,"20,9"
25/03/2011 0.00,"6,079226","31,736848",,"48,599991",,"20,9"
25/03/2011 1.00,,"25,364305",,"39,099991",,"16,29999"
25/03/2011 2.00,"5,228568",,,"39,099991",,"16,29999"
25/03/2011 3.00,"4,456342","45,257345",,"39,099991",,"16,29999"
25/03/2011 4.00,"4,592832","37,856317",,"39,099991",,"16,29999"
25/03/2011 5.00,"4,332759","38,618174",,"39,099991",,"16,29999"
25/03/2011 6.00,"4,117836","51,764318",,"39,099991",,"16,29999"
25/03/2011 7.00,"4,332759","70,515975",,"39,099991",,"16,29999"
25/03/2011 8.00,"4,094357","52,309431",,"39,099991",,"16,29999"
25/03/2011 9.00,"5,028095","41,322944",,"39,099991",,"16,29999"
25/03/2011 10.00,"6,538425","40,380558",,"39,099991",,"16,29999"
25/03/2011 11.00,"7,585488","45,333367",,"39,099991",,"16,29999"
25/03/2011 12.00,"7,229691","26,405198",,"39,099991",,"16,29999"
25/03/2011 13.00,"6,17856","22,505081",,"39,099991",,"16,29999"
25/03/2011 14.00,"5,938352","24,595948",,"39,099991","0,54918","16,29999"
25/03/2011 15.00,"5,436266","17,930094",,"39,099991","0,818227","16,29999"
25/03/2011 16.00,"5,338738","15,787316",,"39,099991","0,789802","16,29999"
25/03/2011 17.00,"4,923342","14,843756",,"39,099991","0,920334","16,29999"
25/03/2011 18.00,"4,338176","16,388228",,"39,099991","1,138786","16,29999"
25/03/2011 19.00,"4,013084","25,660225",,"39,099991","1,232096","16,29999"
25/03/2011 20.00,"3,798162","40,130183",,"39,099991","1,267182","16,29999"
25/03/2011 21.00,"3,841507","42,892067",,"39,099991","1,487362","16,29999"
25/03/2011 22.00,"3,801774","52,78575",,"39,099991","2,034","16,29999"
25/03/2011 23.00,"3,400826","44,026398",,"39,099991","1,659235","16,29999"
26/03/2011 0.00,"3,633809","37,373518",,"39,099991","1,334304","16,29999"
26/03/2011 1.00,"3,657288","22,84513",,33,"1,251418","18,9"
26/03/2011 2.00,"3,220219","23,697843",,33,"1,255487","18,9"
26/03/2011 3.00,"3,303299","27,870497",,33,"1,381086","18,9"
26/03/2011 4.00,"3,173263","19,330492",,33,"1,726866","18,9"
26/03/2011 5.00,"3,160619","18,068972",,33,"1,289556","18,9"
26/03/2011 6.00,"3,312329","17,026784",,33,"1,195992","18,9"
26/03/2011 7.00,"3,570597","35,021777",,33,"1,314472","18,9"
26/03/2011 8.00,"3,276208","33,734275",,33,"1,733985","18,9"
26/03/2011 9.00,"3,411664","45,93687",,33,"1,689237","18,9"
26/03/2011 10.00,"3,52364","34,762187",,33,"1,901281","18,9"
26/03/2011 11.00,"3,576015","28,156016",,33,"1,094088","18,9"
26/03/2011 12.00,"3,808998","20,602411",,33,"0,843551","18,9"
26/03/2011 13.00,"4,025726","17,330486",,33,"0,787666","18,9"
26/03/2011 14.00,"4,079909","17,475842",,33,"0,910113","18,9"
26/03/2011 15.00,"3,332196","11,828802",,33,"0,780395","18,9"
26/03/2011 16.00,"3,214802","9,894978",,33,"0,772971","18,9"
26/03/2011 17.00,"3,267177","8,978679",,33,"0,846551","18,9"
26/03/2011 18.00,,,,33,,"18,9"
26/03/2011 19.00,"3,023359","15,076082",,33,"1,184296","18,9"
26/03/2011 20.00,"3,075734","21,86523",,33,"1,146159","18,9"
26/03/2011 21.00,"2,846363","26,915261",,33,"1,341423","18,9"
26/03/2011 22.00,"2,656726","37,556517",,33,"1,109547","18,9"
26/03/2011 23.00,"2,750642","50,924587",,33,"1,72534","18,9"
27/03/2011 0.00,"3,045031","35,642147",,33,"1,512279","18,9"
27/03/2011 1.00,,"36,135347",,"29,4","1,160905","15,9"
27/03/2011 2.00,"2,821079",,,"29,4","1,675507","15,9"
27/03/2011 3.00,"2,895127","31,792677",,"29,4","1,699915","15,9"
27/03/2011 4.00,"2,961952","26,094995",,"29,4","1,746697","15,9"
27/03/2011 5.00,"2,925831","25,228016",,"29,4","1,636353","15,9"
27/03/2011 6.00,"3,272596","41,036108",,"29,4","1,776699","15,9"
27/03/2011 7.00,"2,777733","34,463685",,"29,4","1,602792","15,9"
27/03/2011 8.00,"2,80663","22,595938",,"29,4","1,361763","15,9"
27/03/2011 9.00,"3,08657","20,470025",,"29,4","1,218874","15,9"
27/03/2011 10.00,"3,117274","36,745352",,"29,4","1,315998","15,9"
27/03/2011 11.00,"3,310523","27,800402",,"29,4","1,872297","15,9"
27/03/2011 12.00,"2,896934","28,986665",,"29,4","1,095868","15,9"
27/03/2011 13.00,"3,612137","36,437747",,"29,4","1,091343","15,9"
27/03/2011 14.00,"4,052817","39,974452",,"29,4","0,985168","15,9"
27/03/2011 15.00,"3,715083","24,231254",,"29,4","0,776785","15,9"
27/03/2011 16.00,"3,476681","11,386226",,"29,4","0,739918","15,9"
27/03/2011 17.00,"2,981818","14,904756",,"29,4","0,638625","15,9"
27/03/2011 18.00,"2,972788","13,569244",,"29,4","0,663186","15,9"
27/03/2011 19.00,"2,924024","14,588076",,"29,4","0,812329","15,9"
27/03/2011 20.00,"2,88971","14,929424",,"29,4","0,720341","15,9"
27/03/2011 21.00,"2,951115","22,460952",,"29,4","0,913012","15,9"
27/03/2011 22.00,"2,895127","43,256763",,"29,4","1,24074","15,9"
27/03/2011 23.00,"3,429723","35,86149",,"29,4","1,265656","15,9"
28/03/2011 0.00,"2,996267","21,989836",,"29,4","0,965438","15,9"
28/03/2011 1.00,"2,853588","24,608931",,"35,400002","0,906859","15,3"
28/03/2011 2.00,"2,685623","11,287589",,"35,400002","0,892316","15,3"
28/03/2011 3.00,"2,660339","9,098083",,"35,400002","0,781768","15,3"
28/03/2011 4.00,"2,685623","7,58217",,"35,400002","0,675593","15,3"
28/03/2011 5.00,"2,904158","9,431638",,"35,400002","0,705391","15,3"
28/03/2011 6.00,"2,683817","16,407696",,"35,400002","0,778819","15,3"
28/03/2011 7.00,"2,626023","27,330568",,"35,400002","1,133447","15,3"
28/03/2011 8.00,"2,810242","31,80174",,"35,400002","1,178703","15,3"
28/03/2011 9.00,"2,817466","18,45184",,"35,400002","1,266165","15,3"
28/03/2011 10.00,"2,808436","17,016399",,"35,400002","1,065307","15,3"
28/03/2011 11.00,"2,96737","11,464101",,"35,400002","1,01044","15,3"
28/03/2011 12.00,"2,924024","9,257722",,"35,400002","0,87579","15,3"
28/03/2011 13.00,"2,927637","11,297976",,"35,400002","0,720036","15,3"
28/03/2011 14.00,"2,900546","8,432275",,"35,400002","0,811515","15,3"
28/03/2011 15.00,"2,739806","9,435531",,"35,400002","0,666999","15,3"
28/03/2011 16.00,"2,940279","10,476416",,"35,400002","0,893892","15,3"
28/03/2011 17.00,"2,759672","13,584828",,"35,400002","1,046188","15,3"
28/03/2011 18.00,"3,126305","15,074779",,"35,400002","1,160905","15,3"
28/03/2011 19.00,"2,864424","14,150698",,"35,400002","1,134972","15,3"
28/03/2011 20.00,"2,530302","15,944358",,"35,400002","1,11514","15,3"
28/03/2011 21.00,"2,748836","13,863862",,"35,400002","0,95181","15,3"
28/03/2011 22.00,"2,965564","7,606829",,"35,400002","0,752529","15,3"
28/03/2011 23.00,"2,774121","7,761276",,"35,400002","0,918249","15,3"
29/03/2011 0.00,"2,497792","6,272616",,"35,400002","0,799718","15,3"
29/03/2011 1.00,,"7,809298",,"23,700001","0,612132","10,6"
29/03/2011 2.00,"2,407489",,,"23,700001","0,559248","10,6"
29/03/2011 3.00,"2,996267","8,969593",,"23,700001","0,645287","10,6"
29/03/2011 4.00,"2,378592","20,494689",,"23,700001","0,690594","10,6"
29/03/2011 5.00,"2,615187","24,46358",,"23,700001","1,673473","10,6"
29/03/2011 6.00,"2,887903","36,736249",,"23,700001","1,733476","10,6"
29/03/2011 7.00,"2,754255","36,361171",,"23,700001","1,32566","10,6"
29/03/2011 8.00,"2,593515","30,406535",,"23,700001","0,947132","10,6"
29/03/2011 9.00,"3,019746","47,677326",,"23,700001","1,597198","10,6"
29/03/2011 10.00,"2,942085","39,560425",,"23,700001","1,156329","10,6"
29/03/2011 11.00,"2,992656","28,798467",,"23,700001","0,979473","10,6"
29/03/2011 12.00,"2,74909","17,179729",,"23,700001","1,030424","10,6"
29/03/2011 13.00,"2,998073","24,416851",,"23,700001","0,770784","10,6"
29/03/2011 14.00,"2,810242","19,207186",,"23,700001","0,922012","10,6"
29/03/2011 15.00,"2,931249","25,339639",,"23,700001","0,733308","10,6"
29/03/2011 16.00,"2,878873","22,664733",,"23,700001","0,928979","10,6"
29/03/2011 17.00,"2,449029","21,099493",,"23,700001","1,2802","10,6"
29/03/2011 18.00,"2,790375","21,736744",,"23,700001","0,880163","10,6"
29/03/2011 19.00,"2,985431","21,831502",,"23,700001","0,875993","10,6"
29/03/2011 20.00,"3,144366","37,638272",,"23,700001","1,07141","10,6"
29/03/2011 21.00,"3,250923","35,46953",,"23,700001","1,164821","10,6"
29/03/2011 22.00,"2,550168","31,954893",,"23,700001","1,501092","10,6"
29/03/2011 23.00,"2,878873","21,464188",,"23,700001","1,209721","10,6"
30/03/2011 0.00,"2,90777","9,532871",,"23,700001","0,820465","10,6"
30/03/2011 1.00,"2,868037","9,092892",,"32,799992","0,771089","12,4"
30/03/2011 2.00,"3,17868","17,235734",,"32,799992","1,117734","12,4"
30/03/2011 3.00,"3,158813","17,427821",,"32,799992","5,688589","12,4"
30/03/2011 4.00,"2,922218","17,190309",,"32,799992","3,214228","12,4"
30/03/2011 5.00,"2,840946","38,30539",,"32,799992","1,440072","12,4"
30/03/2011 6.00,"3,713276","63,31408",,"32,799992","1,656693","12,4"
30/03/2011 7.00,"4,323727","82,922327",,"32,799992","3,201516","12,4"
30/03/2011 8.00,"3,265371","70,426415",,"32,799992","3,117105","12,4"
30/03/2011 9.00,"3,142559","67,016917",,"32,799992","2,067561","12,4"
30/03/2011 10.00,"3,001686","47,529355",,"32,799992","2,281639","12,4"
30/03/2011 11.00,"2,860813","25,068385",,"32,799992","1,294641","12,4"
30/03/2011 12.00,"2,691042","23,057993",,"32,799992","1,104462","12,4"
30/03/2011 13.00,"2,804824","19,237052",,"32,799992","0,921656","12,4"
30/03/2011 14.00,"2,824691","24,843859",,"32,799992","0,942047","12,4"
30/03/2011 15.00,"2,849976","25,834141",,"32,799992","0,868111","12,4"
30/03/2011 16.00,"2,784958","32,397482",,"32,799992","0,750343","12,4"
30/03/2011 17.00,"2,775927","17,517373",,"32,799992","0,845686","12,4"
30/03/2011 18.00,"3,27079","40,916703",,"32,799992","1,069172","12,4"
30/03/2011 19.00,"2,817466","41,312543",,"32,799992","1,649574","12,4"
30/03/2011 20.00,"2,676593","44,383312",,"32,799992","1,74568","12,4"
30/03/2011 21.00,"2,792181","34,808914",,"32,799992","1,363288","12,4"
30/03/2011 22.00,"2,900546","22,007999",,"32,799992","1,336846","12,4"
30/03/2011 23.00,"2,821079","30,053523",,"32,799992","2,189092","12,4"
31/03/2011 0.00,"2,660339","28,890625",,"32,799992","3,061678","12,4"
31/03/2011 1.00,,"9,316126",,"59,900002","4,496666","27,4"
31/03/2011 2.00,"2,808436",,,"59,900002","6,582024","27,4"
31/03/2011 3.00,"2,602545","49,799337",,"59,900002","8,184816","27,4"
31/03/2011 4.00,"2,631442","46,298984",,"59,900002","5,770966","27,4"
31/03/2011 5.00,"2,833721","62,009733",,"59,900002","3,21016","27,4"
31/03/2011 6.00,"2,765091","73,580241",,"59,900002","7,479526","27,4"
31/03/2011 7.00,"3,187711","46,535191",,"59,900002","5,855378","27,4"
31/03/2011 8.00,"3,646452","74,170783",,"59,900002","5,658588","27,4"
31/03/2011 9.00,"9,996589","66,793671",,"59,900002","5,438407","27,4"
31/03/2011 10.00,"18,490524","47,830475",,"59,900002","3,86104","27,4"
31/03/2011 11.00,"14,020504","22,379195",,"59,900002","2,741832","27,4"
31/03/2011 12.00,"9,156767","22,782838",,"59,900002","1,320066","27,4"
31/03/2011 13.00,"6,673423","17,303226",,"59,900002","1,390239","27,4"
31/03/2011 14.00,"5,663831","18,004076",,"59,900002","1,410579","27,4"
31/03/2011 15.00,,"26,36145",,"59,900002",,"27,4"
31/03/2011 16.00,,,,"59,900002",,"27,4"
31/03/2011 17.00,"7,713718","29,10347",,"59,900002",,"27,4"
31/03/2011 18.00,"4,191884","26,394815",,"59,900002",,"27,4"
31/03/2011 19.00,"5,826376","44,650688",,"59,900002","1,379052","27,4"
31/03/2011 20.00,"6,991291","25,87567",,"59,900002","3,4339","27,4"
31/03/2011 21.00,"4,506141","16,38304",,"59,900002","4,477342","27,4"
31/03/2011 22.00,"5,102144","17,55631",,"59,900002","4,74583","27,4"
31/03/2011 23.00,"2,884291","13,063084",,"59,900002","4,633452","27,4"
01/04/2011 0.00,"1,878312","8,554276",,"59,900002","2,374186","27,4"
01/04/2011 1.00,"5,504897","30,494792",,"71,199982","1,954165","39,400002"
01/04/2011 2.00,"7,318189","22,808783",,"71,199982","6,366928","39,400002"
01/04/2011 3.00,"3,366511","6,260936",,"71,199982","5,538582","39,400002"
01/04/2011 4.00,"2,683817","7,095466",,"71,199982","3,884431","39,400002"
01/04/2011 5.00,"2,006542","10,468633",,"71,199982","3,296097","39,400002"
01/04/2011 6.00,"4,51517","78,933971",,"71,199982","4,305978","39,400002"
01/04/2011 7.00,"17,161254","79,58551",,"71,199982","6,01047","39,400002"
01/04/2011 8.00,"19,949827","97,769982",,"71,199982","4,980249","39,400002"
01/04/2011 9.00,"28,839291","80,862607",,"71,199982","4,401576","39,400002"
01/04/2011 10.00,"41,023897","61,244477",,"71,199982","4,80024","39,400002"
01/04/2011 11.00,"44,286596","44,145803",,"71,199982","4,226143","39,400002"
01/04/2011 12.00,,,,"71,199982",,"39,400002"
01/04/2011 13.00,"13,402829","18,704924",,"71,199982","2,341134","39,400002"
01/04/2011 14.00,"8,690801","14,886589",,"71,199982",,"39,400002"
01/04/2011 15.00,"11,026039","26,593395",,"71,199982",,"39,400002"
01/04/2011 16.00,"16,986055","37,511088",,"71,199982",,"39,400002"
01/04/2011 17.00,"17,350894","37,420231",,"71,199982","3,839683","39,400002"
01/04/2011 18.00,"36,908811","65,189502",,"71,199982","2,749968","39,400002"
01/04/2011 19.00,"17,932445","47,394389",,"71,199982","3,106935","39,400002"
01/04/2011 20.00,"19,675309","47,917416",,"71,199982","3,07795","39,400002"
01/04/2011 21.00,"10,390303","15,531626",,"71,199982","5,220261","39,400002"
01/04/2011 22.00,"25,01585","83,855497",,"71,199982","4,434628","39,400002"
01/04/2011 23.00,"33,740967","76,531622",,"71,199982","6,069964","39,400002"
02/04/2011 0.00,"43,46483","95,489636",,"71,199982","4,225126","39,400002"
02/04/2011 1.00,,"15,74967",,"52,700001","7,04425","26,9"
02/04/2011 2.00,"8,499358",,,"52,700001","5,260941","26,9"
02/04/2011 3.00,"4,883608","16,044288",,"52,700001","1,402951","26,9"
02/04/2011 4.00,"3,509191","12,368715",,"52,700001","0,925673","26,9"
02/04/2011 5.00,"3,055867","13,657505",,"52,700001","0,971337","26,9"
02/04/2011 6.00,"2,311767","21,635522",,"52,700001","2,786071","26,9"
02/04/2011 7.00,"2,351501","26,926944",,"52,700001","5,053473","26,9"
02/04/2011 8.00,"2,22327","27,745891",,"52,700001","7,371216","26,9"
02/04/2011 9.00,"3,240087","26,054766",,"52,700001","3,03727","26,9"
02/04/2011 10.00,"4,255096","23,303283",,"52,700001","2,822683","26,9"
02/04/2011 11.00,"6,308597","21,399314",,"52,700001","1,507194","26,9"
02/04/2011 12.00,"8,528255","22,571275",,"52,700001","1,48126","26,9"
02/04/2011 13.00,"13,303498","24,332494",,"52,700001","1,920604","26,9"
02/04/2011 14.00,"14,807947","23,9678",,"52,700001","2,148412","26,9"
02/04/2011 15.00,"12,019384","19,169558",,"52,700001","2,442325","26,9"
02/04/2011 16.00,"11,015208","20,860685",,"52,700001","3,441528","26,9"
02/04/2011 17.00,"9,082718","19,670541",,"52,700001","3,339319","26,9"
02/04/2011 18.00,"9,088136","28,113206",,"52,700001","2,609622","26,9"
02/04/2011 19.00,"11,768337","61,229693",,"52,700001","4,703116","26,9"
02/04/2011 20.00,"19,30506","82,28248",,"52,700001","6,543378","26,9"
02/04/2011 21.00,"26,500437","72,791135",,"52,700001","8,559072","26,9"
02/04/2011 22.00,"10,305423","23,374658",,"52,700001","8,822475","26,9"
02/04/2011 23.00,"5,37486","17,214974",,"52,700001","6,076575","26,9"
03/04/2011 0.00,"4,260515","15,02157",,"52,700001","5,944873","26,9"
03/04/2011 1.00,"3,691604","12,328483",,"35,5","6,184885","17,5"
03/04/2011 2.00,"5,92571","30,32346",,"35,5","4,649725","17,5"
03/04/2011 3.00,"5,936547","14,815204",,"35,5","9,223173","17,5"
03/04/2011 4.00,"3,77107","9,497829",,"35,5","7,788695","17,5"
03/04/2011 5.00,"2,853588","10,3038",,"35,5","3,599163","17,5"
03/04/2011 6.00,"2,140191","22,532346",,"35,5","2,064001","17,5"
03/04/2011 7.00,"2,26481","41,242469",,"35,5","1,284979","17,5"
03/04/2011 8.00,"2,34247","27,209881",,"35,5","1,957216","17,5"
03/04/2011 9.00,"3,377348","22,170232",,"35,5","2,1118","17,5"
03/04/2011 10.00,"3,194935","29,038576",,"35,5","1,198535","17,5"
03/04/2011 11.00,"3,664512","27,150169",,"35,5","1,180737","17,5"
03/04/2011 12.00,"3,924587","27,329286",,"35,5","1,107106","17,5"
03/04/2011 13.00,"3,250923","22,338967",,"35,5","1,110056","17,5"
03/04/2011 14.00,"15,557465","22,431104",,"35,5","1,107665","17,5"
03/04/2011 15.00,"19,02692","30,167726",,"35,5","2,106715","17,5"
03/04/2011 16.00,"16,122765","21,848365",,"35,5","2,163667","17,5"
03/04/2011 17.00,"4,831233","8,084444",,"35,5","1,80187","17,5"
03/04/2011 18.00,,,,"35,5",,"17,5"
03/04/2011 19.00,,,,"35,5",,"17,5"
03/04/2011 20.00,,,,"35,5",,"17,5"
03/04/2011 21.00,,,,"35,5",,"17,5"
03/04/2011 22.00,,,,"35,5",,"17,5"
03/04/2011 23.00,,,,"35,5",,"17,5"
04/04/2011 0.00,,,,"35,5",,"17,5"
04/04/2011 1.00,,,,"37,799992",,"22,29999"
04/04/2011 2.00,,,,"37,799992",,"22,29999"
04/04/2011 3.00,,,,"37,799992",,"22,29999"
04/04/2011 4.00,,,,"37,799992",,"22,29999"
04/04/2011 5.00,,,,"37,799992",,"22,29999"
04/04/2011 6.00,,,,"37,799992",,"22,29999"
04/04/2011 7.00,,,,"37,799992",,"22,29999"
04/04/2011 8.00,,,,"37,799992",,"22,29999"
04/04/2011 9.00,,,,"37,799992",,"22,29999"
04/04/2011 10.00,,,,"37,799992","2,883195","22,29999"
04/04/2011 11.00,"4,296637","55,779942",,"37,799992","4,323775","22,29999"
04/04/2011 12.00,"2,999879","39,891373",,"37,799992","1,270233","22,29999"
04/04/2011 13.00,"2,842752","39,039979",,"37,799992","1,065663","22,29999"
04/04/2011 14.00,"3,212996","33,230692",,"37,799992","1,06907","22,29999"
04/04/2011 15.00,"2,848169","31,213802",,"37,799992","0,944386","22,29999"
04/04/2011 16.00,"2,734387","33,045115",,"37,799992","0,960658","22,29999"
04/04/2011 17.00,"2,095039","27,242329",,"37,799992","0,789446","22,29999"
04/04/2011 18.00,"1,760917","37,296942",,"37,799992","0,756546","22,29999"
04/04/2011 19.00,"1,408733","38,021151",,"37,799992","0,983846","22,29999"
04/04/2011 20.00,"1,468333","38,893328",,"37,799992","1,150735","22,29999"
04/04/2011 21.00,"1,762722","51,308768",,"37,799992","1,099072","22,29999"
04/04/2011 22.00,"1,414152","45,409922",,"37,799992","1,758901","22,29999"
04/04/2011 23.00,"1,228126","31,225501",,"37,799992","1,521432","22,29999"
05/04/2011 0.00,"1,477364","35,455267",,"37,799992","1,020966","22,29999"
05/04/2011 1.00,,,,47,"1,16955","24,4"
05/04/2011 2.00,"1,193812","33,564259",,47,"1,122259","24,4"
05/04/2011 3.00,"1,323848","29,10737",,47,"1,114123","24,4"
05/04/2011 4.00,"1,134211","22,100156",,47,"0,995236","24,4"
05/04/2011 5.00,"1,273278","20,44666",,47,"0,932792","24,4"
05/04/2011 6.00,"2,120324","57,699494",,47,"0,982168","24,4"
05/04/2011 7.00,"2,165476","74,779486",,47,"2,43063","24,4"
05/04/2011 8.00,"2,602545","82,017725",,47,"2,391475","24,4"
05/04/2011 9.00,"1,83316","70,778147",,47,"2,846583","24,4"
05/04/2011 10.00,"1,311343","43,085409",,47,,"24,4"
05/04/2011 11.00,"1,518904","43,216535",,47,"1,089156","24,4"
