,Provincia Bari,,,,,
,Monopoli,,,,,
Parm,O3,NO2,CO,Benzene,PM10,BENZENE
,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,
07/04/2010 13.00,"92,4612276","4,03638305","0,06012682","1,26615585",,
07/04/2010 14.00,"95,0556852","5,91180649","0,07825189","1,01508194","29,30401993",
07/04/2010 15.00,"93,51652275","10,51016649","0,11902339","1,12694177",,
07/04/2010 16.00,"96,14278065","1,38353276","0,11480959","1,16263542","20,51280975",
07/04/2010 17.00,"98,26526115","5,52633964","0,1261264","1,07423676",,
07/04/2010 18.00,"90,2459397","10,47382128","0,1556207","1,35121874","20,02441978",
07/04/2010 19.00,"71,1794055","23,41488736","0,20413829","1,89295125",,
07/04/2010 20.00,"48,1290558","44,89597792","0,30289651","2,56233353","10,25640965",
07/04/2010 21.00,"59,78215005","31,09569728","0,2049002","3,43542193",,
07/04/2010 22.00,"69,4785084","15,59652434","0,134674","2,5271972","12,21000957",
07/04/2010 23.00,"69,11922885","12,11692907","0,13066058","1,90996363",,
08/04/2010 0.00,"61,5188574","14,46997202","0,15634417","2,10021585","31,74603081",
08/04/2010 1.00,"69,74099055","8,2349993","0,11705687","1,85825935",,
08/04/2010 2.00,,"6,99423366","0,11340576","1,33565153","30,28083038",
08/04/2010 3.00,"71,9722983",,"0,10341356","1,06367318",,
08/04/2010 4.00,"68,09699085","19,8042092",,"1,04099001","19,04759979",
08/04/2010 5.00,"59,19414375","19,60434784","0,12596097","1,02475564",,
08/04/2010 6.00,"33,7295448","44,9271244","0,23776252","1,71081774","24,42000961",
08/04/2010 7.00,"43,90953105","40,75577136","0,28995219","3,19568961",,
08/04/2010 8.00,"57,3003501","35,20865784","0,30122473","3,79768954","16,11721039",
08/04/2010 9.00,"77,29354185","16,83858439","0,14136576","3,00165821",,
08/04/2010 10.00,"88,3187697","6,42446722","0,0946714","1,93709516","45,90964127",
08/04/2010 11.00,"78,6730245","13,5991","0,11898145","1,68757827",,
08/04/2010 12.00,"89,9932929","7,14089362","0,06060563","2,26500341","24,42000961",
08/04/2010 13.00,"95,585637","3,86895686",,"1,34599238",,
08/04/2010 14.00,"97,44487725","2,66842544",,"0,98995187","27,35042",
08/04/2010 15.00,"100,06698555","2,78004226",,"0,88798847",,
08/04/2010 16.00,"95,7530973","2,38678784","0,05480743","0,76790009","17,09399986",
08/04/2010 17.00,"85,34851395","6,95789228","0,05457676","1,0714573",,
08/04/2010 18.00,"82,20946125","10,89692967","0,07842547","1,21233824","10,7448101",
08/04/2010 19.00,"75,39310485","15,33176014","0,13129667","1,77130585",,
08/04/2010 20.00,"63,33791835","28,31176792","0,25778072","2,84876752","10,7448101",
08/04/2010 21.00,"23,6997222","52,25492176","0,43123757","4,12237289",,
08/04/2010 22.00,"21,67433835","41,80056464","0,54845404","5,12967173","19,04759979",
08/04/2010 23.00,"24,3655335","39,2424616","0,95834997","7,19886399",,
09/04/2010 0.00,"26,71650135","26,91396208","0,74918937","8,02413915",,
09/04/2010 1.00,"36,2226963","19,46027864","0,45145498","6,65257227",,
09/04/2010 2.00,"44,16337485","13,71720424","0,23539524","5,49205018",,
09/04/2010 3.00,"48,89587395","11,33820398","0,16451198","3,64668944",,
09/04/2010 4.00,"41,2037325","15,48360544","0,15961782","3,03390423","59,58485031",
09/04/2010 5.00,"30,7340124","26,92174392","0,1869359","3,56285",,
09/04/2010 6.00,"21,02181375","39,34498304","0,1986092","3,08227275","31,25761986",
09/04/2010 7.00,"10,82321615","61,3984308","0,37090455","4,14583508",,
09/04/2010 8.00,"49,3769682","32,5467332","0,17947524","4,27059352","37,11843109",
09/04/2010 9.00,"69,03260595",,"0,07852916","2,65873802",,
09/04/2010 10.00,"78,83384145",,,"1,92842218","50,30524063",
09/04/2010 11.00,"76,5307137",,,"1,65377523",,
09/04/2010 12.00,"88,0689159",,,"1,52345685","42,97924042",
09/04/2010 13.00,"92,1130203",,,"0,25329809",,
09/04/2010 14.00,"96,27536835",,,,"22,95482063",
09/04/2010 15.00,"93,2306991",,,"0,4615624",,
09/04/2010 16.00,"94,1463642",,"0,75386801","1,06089372","18,07081032",
09/04/2010 17.00,"97,7000577",,"0,78667324","1,54825232",,
09/04/2010 18.00,"94,80154215",,"0,82344996","1,63542855","10,25640965",
09/04/2010 19.00,"84,09525495",,"0,87053111","1,82567975",,
09/04/2010 20.00,"66,8676918",,"0,93732056","2,92337769","20,02441978",
09/04/2010 21.00,"72,68728635",,"0,84807224","2,88357129",,
09/04/2010 22.00,"69,56950035",,"0,78970224","1,93876304","18,55920982",
09/04/2010 23.00,"75,05287755",,"0,75693662","1,62408696",,
10/04/2010 0.00,"78,05770665",,"0,73801702","1,85725862","34,67642975",
10/04/2010 1.00,"77,56597905",,"0,74773312","1,76129857",,
10/04/2010 2.00,,,"0,77259072","1,54891948","18,07081032",
10/04/2010 3.00,"79,31132475",,"0,77093992","1,46596991",,
10/04/2010 4.00,"82,9139556",,,"0,96849215","20,02441978",
10/04/2010 5.00,"79,3419879",,"0,22927666","0,82104953",,
10/04/2010 6.00,"75,24850725",,"0,29987916","1,28850544","10,7448101",
10/04/2010 7.00,"70,52813775",,"0,32704579","1,81355915",,
10/04/2010 8.00,"56,5831077",,"0,41920545","3,17801008","15,62880993",
10/04/2010 9.00,"79,28064165",,"0,3530917","3,15165758",,
10/04/2010 10.00,"86,1844788",,"0,33782437","2,842096","26,37360954",
10/04/2010 11.00,"88,7227173",,"0,3615461","2,45269788",,
10/04/2010 12.00,"92,17596255",,"0,35617662","2,48060741","24,90842056",
10/04/2010 13.00,"96,5482245",,"0,37256467","2,50518119",,
10/04/2010 14.00,"107,1907116",,"0,36010267","2,12490048","27,35042",
10/04/2010 15.00,"104,9565111",,"0,32404126","1,94643528",,
10/04/2010 16.00,"107,593542",,"0,35501511","2,13824352","32,23442078",
10/04/2010 17.00,"107,99495595",,"0,36238723","2,19328356",,
10/04/2010 18.00,"102,33693645",,"0,41976698","3,04391151","28,32722092",
10/04/2010 19.00,"82,6431942",,"0,51368928","4,16807382",,
10/04/2010 20.00,"74,5962819",,"0,51845646","4,35632357","24,42000961",
10/04/2010 21.00,"84,4345047",,"0,43074594","4,37022291",,
10/04/2010 22.00,"85,56425325",,"0,45422651","3,45421406","32,23442078",
10/04/2010 23.00,"89,86846575",,"0,46296052","3,6915005",,
11/04/2010 0.00,"89,6150409",,"0,43891958","3,13119757","36,63003159",
11/04/2010 1.00,"80,98125945",,"0,37172354","3,07159832",,
11/04/2010 2.00,"81,28669395",,"0,33774399","2,85632891","27,8388195",
11/04/2010 3.00,"70,34407905",,"0,36238723","2,70021331",,
11/04/2010 4.00,"65,8704711",,"0,36631445","2,86033182","32,23442078",
11/04/2010 5.00,"67,19493165",,"0,35553587","2,53253442",,
11/04/2010 6.00,"69,4971018",,"0,39203881","2,54009581","39,07204056",
11/04/2010 7.00,"63,4335786",,"0,52643205","3,0137778",,
11/04/2010 8.00,"67,9525329",,"0,5179357","5,02170294","40,53723145",
11/04/2010 9.00,"86,5205964",,"0,44028146","3,65992061",,
11/04/2010 10.00,"95,56119825",,"0,41051105","3,43686811","41,5140419",
11/04/2010 11.00,"98,56495005",,"0,41507902","2,98976033",,
11/04/2010 12.00,"108,2151042",,"0,37268467","2,96596558","33,69963074",
11/04/2010 13.00,"92,7748416",,"0,2930674","2,96485298",,
11/04/2010 14.00,"91,9132011",,"0,27563784","1,65077304","31,25761986",
11/04/2010 15.00,"101,806047",,"0,31338151","1,89762132",,
11/04/2010 16.00,"90,065871",,"0,2750367","1,4562962","34,18803024",
11/04/2010 17.00,"77,22523305",,"0,32315935","1,40781581",,
11/04/2010 18.00,"76,9544517",,"0,35481473","2,43913212","30,28083038",
11/04/2010 19.00,"83,59287405",,"0,2941893","1,5677116",,
11/04/2010 20.00,"80,47839975",,"0,30921547","1,17030767","24,90842056",
11/04/2010 21.00,"71,47380765",,"0,30661053","1,39803125",,
11/04/2010 22.00,"61,01936925",,"0,36026344","1,35711226","23,44322014",
11/04/2010 23.00,"52,27887525",,"0,35204902","2,36785771",,
12/04/2010 0.00,"43,05287805",,"0,36611407","1,84135783","11,23320961",
12/04/2010 1.00,"46,54747965",,"0,3532513","2,06163189",,
12/04/2010 2.00,,,"0,30733166","1,80944538","5,37240601",
12/04/2010 3.00,"49,66235295",,"0,29907764","2,27167493",,
12/04/2010 4.00,"56,389473","11,03060715",,"2,04951128","6,83760691",
12/04/2010 5.00,"48,72266805","13,00337625","0,36927937","1,58739259",,
12/04/2010 6.00,"29,25705405","36,27163424","0,57215131","2,61392798","10,7448101",
12/04/2010 7.00,"32,37069045","50,58326016","0,75157529","4,5973902",,
12/04/2010 8.00,"52,6453767","29,6719456","0,79902923","5,63170869","27,8388195",
12/04/2010 9.00,"60,2122122","20,4323968","0,60021732","5,16458635",,
12/04/2010 10.00,"71,96836815","6,94751012","0,46657435","4,24435187","43,9560318",
12/04/2010 11.00,"78,13966125","4,67882843","0,40634152","3,11707652",,
12/04/2010 12.00,"75,71513775","13,84569446","0,48839014","3,26340655","38,58362961",
12/04/2010 13.00,"73,7544318","11,59259175","0,48110539","3,8195947",,
12/04/2010 14.00,"78,8900805","2,38029851","0,36760643","3,20881094","25,88521957",
12/04/2010 15.00,"69,1959366","9,66655194","0,43484557","3,01166549",,
12/04/2010 16.00,"76,2696081","7,09676466","0,45045075","3,03379236","28,81562042",
12/04/2010 17.00,"67,0526283","13,33823246","0,52688756","2,77893826",,
12/04/2010 18.00,"65,2412481","12,98261575","0,53242131","4,29149795","22,95482063",
12/04/2010 19.00,"63,7084098","11,47318353","0,49886116","3,25662418",,
12/04/2010 20.00,"73,45588005","2,54123346","0,37190645","2,95996019","27,35042",
12/04/2010 21.00,"64,9866462",,"0,32668231","2,37063717",,
12/04/2010 22.00,"68,3482212",,"0,29280295","1,92175066","22,95482063",
12/04/2010 23.00,"68,97068115",,"0,26286594","1,43461376",,
13/04/2010 0.00,"70,16361135",,"0,25390942","1,09892138","20,51280975",
13/04/2010 1.00,"69,2425797",,"0,27269971","0,87219852",,
13/04/2010 2.00,"57,69170925","2,06751061","0,32043092","1,15196099","15,14041042",
13/04/2010 3.00,"47,9242491",,"0,29933277","1,46830494",,
13/04/2010 4.00,"42,4527222",,"0,28173661","1,52367957","16,60560989",
13/04/2010 5.00,"33,67159005","1,8624467","0,32958782","1,73928255",,
13/04/2010 6.00,"26,23403055","1,65089346","0,34726437","2,08598294","14,65200996",
13/04/2010 7.00,"17,02773797","16,46090512","0,51227613","2,71633683",,
13/04/2010 8.00,"12,26663456","25,9119976","0,82450662","3,83404932","26,37360954",
13/04/2010 9.00,"12,43458164","30,26116664","0,85500282","5,14368192",,
13/04/2010 10.00,"31,0911174","18,88273992","0,64373007","4,59972523","26,86202049",
13/04/2010 11.00,"44,754633","28,71541024","0,72080181","4,53389889",,
13/04/2010 12.00,"52,3414584","19,29414496","0,60746246","4,72959918","21,97801971",
13/04/2010 13.00,"57,9289746","13,63283915","0,56299441","4,49020043",,
13/04/2010 14.00,"72,5415117","0,2530857","0,41020349","2,30937004","18,07081032",
13/04/2010 15.00,"68,48549715","2,12072348","0,38683476","2,40310591",,
13/04/2010 16.00,"63,2858688","7,65744528","0,46518101","2,81507634","39,56044006",
13/04/2010 17.00,"46,10351235","27,23324696","0,69990171","3,97648831",,
13/04/2010 18.00,"51,3297939","18,12607548","0,64583989","4,63830919","32,23442078",
13/04/2010 19.00,"46,0888491","25,4564636","0,67171687","4,37611642",,
13/04/2010 20.00,"55,72703325","12,51667282","0,48783327","4,37967389","30,28083038",
13/04/2010 21.00,"67,08329145","0,21285149","0,34352122","2,06018572",,
13/04/2010 22.00,"57,9689544","3,63663738","0,42509219","2,20251283","20,51280975",
13/04/2010 23.00,"60,9306516",,"0,34196944","1,70837084",,
14/04/2010 0.00,"59,5057827",,"0,34507417","1,33876456","11,72161007",
14/04/2010 1.00,"47,38709535",,"0,32835409","1,47375301",,
14/04/2010 2.00,,,"0,32608467","1,35611153","10,25640965",
14/04/2010 3.00,"49,47725685",,"0,28762802","1,85169868",,
14/04/2010 4.00,"35,3735844","1,54836246",,"1,75829639","7,81440783",
14/04/2010 5.00,"28,4200917","3,43287172","0,25536218","1,94910389",,
14/04/2010 6.00,"11,59228266","18,59590359","0,41778531","2,47115542","10,7448101",
14/04/2010 7.00,"7,21306415","37,74081504","0,54514777","4,25436017",,
14/04/2010 8.00,"34,3379799","23,31494712","0,60577787","5,34994579","11,72161007",
14/04/2010 9.00,"58,0068993","2,32448914","0,27502621","2,89113167",,
14/04/2010 10.00,"63,30264675","0,11550966","0,27474778","2,32004447","30,76922989",
14/04/2010 11.00,"68,23711965","0,47242461","0,24953834","2,09198731",,
14/04/2010 12.00,"71,3265168",,"0,2875919","2,09087573","21,97801971",
14/04/2010 13.00,"71,86438875",,"0,33437947","2,57890148",,
14/04/2010 14.00,"74,40789405","0,59831834","0,26617221","1,97212064","16,11721039",
14/04/2010 15.00,"82,0370733","1,10708433","0,32313139","1,53068467",,
14/04/2010 16.00,"89,6221032","0,09863817","0,29808156","2,07486306","20,51280975",
14/04/2010 17.00,"76,96077585","5,15125495","0,31276056","1,43572534",,
14/04/2010 18.00,"62,8049142","12,22725338","0,35907048","3,23038253","27,35042",
14/04/2010 19.00,"46,61530965","16,5076344","0,50350485","4,16407091",,
14/04/2010 20.00,"27,43398315","33,98346736","0,70629407","3,59976608","42,49084091",
14/04/2010 21.00,"40,07123085","22,67769664","0,52312927","5,4045414",,
14/04/2010 22.00,"51,7959855","6,95789228","0,37530475","3,1276401","55,67765045",
14/04/2010 23.00,"44,45715855","5,63665822","0,4177457","2,69543239",,
15/04/2010 0.00,"36,893535","0,15834037","0,32819681","2,09621192","52,2588501",
15/04/2010 1.00,"39,434367",,"0,25512219","2,24799104",,
15/04/2010 2.00,"39,09986535","1,5211069","0,2485411","1,99869586","71,79486084",
15/04/2010 3.00,"30,70267095",,"0,21120518","1,62341981",,
15/04/2010 4.00,"35,5394886","0,21025499","0,17694253","1,11137557",,
15/04/2010 5.00,"15,37609143","9,28238142","0,255721","1,23869176",,
15/04/2010 6.00,"10,31624076","18,29220151","0,44774096","3,24572702","51,28205109",
15/04/2010 7.00,"10,33055888","19,90804992","0,53226287","4,32085264",,
15/04/2010 8.00,"35,4257736","5,20316958","0,46760537","4,36544199","65,93405151",
15/04/2010 9.00,"51,25544025","0,79300009","0,32309178","3,04835885",,
15/04/2010 10.00,"49,4732469","4,1233389","0,33338223","3,39750512","33,21123123",
15/04/2010 11.00,"41,0426163","1,2771051","0,34315541","4,0757831",,
15/04/2010 12.00,"55,85543145",,"0,27634383","2,95251067","19,53602028",
15/04/2010 13.00,"61,525401","9,28367967","0,31571267","2,49028112",,
15/04/2010 14.00,"70,02467955",,"0,24096278","2,69065046","47,37483978",
15/04/2010 15.00,"61,9298673","3,05908528","0,23729303","2,09599022",,
15/04/2010 16.00,"70,3511214","1,06814836","0,25368691","2,08753895","55,18925095",
15/04/2010 17.00,"63,61171215","4,50102008","0,31690913","2,25277196",,
15/04/2010 18.00,"58,7521515","7,07340385","0,3473832","2,68486881","39,56044006",
15/04/2010 19.00,"49,94288985","19,2967644","0,45827139","2,76737396",,
15/04/2010 20.00,"38,7573438","23,09692176","0,51846228","4,35409939","38,58362961",
15/04/2010 21.00,"38,38270275","15,06569578","0,36744683","3,50614106",,
15/04/2010 22.00,"36,51622065","7,81967848","0,35045414","3,4850139","51,77045059",
15/04/2010 23.00,"22,56909585","13,47060978","0,40673645","3,40973658",,
16/04/2010 0.00,"14,73252638","11,86903254","0,41670885","3,62678574","25,88521957",
16/04/2010 1.00,"23,3063082","6,62434006","0,37686119","4,47507764",,
16/04/2010 2.00,,"0,29331992","0,27283252","2,63494327","12,69841003",
16/04/2010 3.00,"41,21045565",,"0,23118959","2,04050473",,
16/04/2010 4.00,"41,63762505","1,78716934",,"1,99046833","36,63003159",
16/04/2010 5.00,"32,70481305","6,84627546","0,27422469","1,80333016",,
16/04/2010 6.00,"43,76672895","5,4484677","0,30198781","2,53787163","55,67765045",
16/04/2010 7.00,"42,69748875","21,04238216","0,45664156","2,0535142",,
16/04/2010 8.00,"52,67536155","15,12150897","0,41527823","4,76095532","27,8388195",
16/04/2010 9.00,"71,74185585",,"0,15741364","1,5222334",,
16/04/2010 10.00,"75,72603045",,"0,14601295","0,4462179","14,65200996",
16/04/2010 11.00,"79,4012394",,"0,14021241","0,30188933",,
16/04/2010 12.00,"78,6503613",,"0,14425263","0,26575125","6,83760691",
16/04/2010 13.00,"73,81992765",,"0,18673669","0,61823328",,
16/04/2010 14.00,"75,2505222",,"0,17493524","0,77946338","3,41880298",
16/04/2010 15.00,"73,2342555",,"0,19501751","1,32843794",,
16/04/2010 16.00,"84,04454205",,,,"1,46520102",
16/04/2010 17.00,"75,89125635",,"0,19401794","1,1941675",,
16/04/2010 18.00,"70,993671",,"0,22706083","1,69674653","1,95360196",
16/04/2010 19.00,"60,2460873",,"0,22682084","1,91326278",,
16/04/2010 20.00,"56,4472881",,"0,23618162","2,40830075","9,76801014",
16/04/2010 21.00,"57,16997685",,"0,22874076","2,22029101",,
16/04/2010 22.00,"63,6821955",,"0,15129389","1,81154956","15,14041042",
16/04/2010 23.00,"64,44785655",,"0,11657107","1,27879919",,
17/04/2010 0.00,"67,901421",,"0,11297005","0,97909336","18,55920982",
17/04/2010 1.00,"70,1796312",,"0,09880948","1,1199621",,
17/04/2010 2.00,"69,50665785",,"0,09788913","0,59076106","11,72161007",
17/04/2010 3.00,"70,5624717",,"0,08380894","0,73928374",,
17/04/2010 4.00,"68,1351552",,"0,08393126","0,60384985","22,46640968",
17/04/2010 5.00,"55,60370235",,"0,11937056","0,68992365",,
17/04/2010 6.00,"57,83758365",,"0,13117201","1,33670005","11,72161007",
17/04/2010 7.00,"55,24639785",,"0,21217912","2,23581958",,
17/04/2010 8.00,"59,06937645",,"0,20617821","2,29482897","17,09399986",
17/04/2010 9.00,"61,1030994",,"0,27522543","2,02850922",,
17/04/2010 10.00,"72,81783915",,"0,27110482","2,56503062","34,18803024",
17/04/2010 11.00,"85,4594559",,"0,24414323","3,039215",,
17/04/2010 12.00,"84,151095",,"0,24030222","2,55604644","32,23442078",
17/04/2010 13.00,"89,59271685",,"0,21625895","2,03139343",,
17/04/2010 14.00,"92,97779295",,"0,20565862","1,8571376","34,67642975",
17/04/2010 15.00,"94,5037485",,"0,20809813","1,47945431",,
17/04/2010 16.00,"97,91434065",,"0,22826078","1,31418266","19,53602028",
17/04/2010 17.00,"100,8816438",,"0,26558389","1,97072023",,
17/04/2010 18.00,"96,2701614",,"0,28906679","2,05024963","10,25640965",
17/04/2010 19.00,"86,6012343",,"0,28962716","2,29993126",,
17/04/2010 20.00,"55,27057725",,"0,39999693","3,91781351","12,69841003",
17/04/2010 21.00,"56,99266125",,"0,37055388","4,22705982",,
17/04/2010 22.00,"63,51427635",,"0,33483032","3,5179464","7,32600689",
17/04/2010 23.00,"48,66030435",,"0,38803471","3,68798676",,
18/04/2010 0.00,"41,83106025",,"0,38555559","4,2440305","22,95482063",
18/04/2010 1.00,"47,55343845",,"0,30650801","3,78748292",,
18/04/2010 2.00,,,"0,31618916","3,41412494","27,35042",
18/04/2010 3.00,"45,51127665",,"0,26906491","3,26194309",,
18/04/2010 4.00,"39,9628824",,,"3,33271002","24,42000961",
18/04/2010 5.00,"33,6986223",,"0,32564779","3,2273356",,
18/04/2010 6.00,"31,25013885",,"0,32488821","2,86640128","24,90842056",
18/04/2010 7.00,"34,23721245",,"0,43348951","4,09273547",,
18/04/2010 8.00,"78,8875668",,"0,28836663","3,86845443","28,81562042",
18/04/2010 9.00,"90,4785966",,"0,2616858","2,17137433",,
18/04/2010 10.00,"92,49193065",,"0,26492566","1,86068693","57,63124084",
18/04/2010 11.00,"96,24592215",,"0,26912665","1,67356503",,
18/04/2010 12.00,"90,61694985",,"0,29740703","2,00588198","30,28083038",
18/04/2010 13.00,"96,9631446",,"0,28516637","2,18734733",,
18/04/2010 14.00,"96,46349685",,"0,21260551","1,66591109","28,81562042",
18/04/2010 15.00,"91,4295333",,"0,21568461","1,64528023",,
18/04/2010 16.00,"84,08807295",,"0,26840668","2,38434125","15,62880993",
18/04/2010 17.00,"73,92745815",,"0,30960691","2,40985269",,
18/04/2010 18.00,"75,17521095",,"0,3002473","2,55837537","17,09399986",
18/04/2010 19.00,"62,44655235",,"0,37504845","2,53619155",,
18/04/2010 20.00,"68,0661282",,"0,36280896","2,87061573","10,25640965",
18/04/2010 21.00,"71,5017975",,"0,35980792","2,73529269",,
18/04/2010 22.00,"65,1865053",,"0,32140719","2,69935496","10,7448101",
18/04/2010 23.00,"51,22352025",,"0,2682063","2,20420715",,
19/04/2010 0.00,"55,63027575",,"0,2748468","2,3240006","15,62880993",
19/04/2010 1.00,"53,29863945",,"0,28312646","1,96883471",,
19/04/2010 2.00,"49,48822935",,"0,24600606","2,11646955","15,62880993",
19/04/2010 3.00,"49,1014188",,"0,20040447","2,44778781",,
19/04/2010 4.00,"47,9020248",,"0,22376505","1,51006804","17,09399986",
19/04/2010 5.00,"37,9374786",,"0,26528565","1,66114136",,
19/04/2010 6.00,"56,1836289",,"0,23404501","1,60923063","14,65200996",
19/04/2010 7.00,"50,51972415",,"0,31008689","2,82314217",,
19/04/2010 8.00,"54,85932795",,"0,35832837","3,3080854","14,16361046",
19/04/2010 9.00,"54,8056026",,"0,27448565","2,77577946",,
19/04/2010 10.00,"62,91932745",,"0,26624561","2,30481185","14,65200996",
19/04/2010 11.00,"60,2156436",,"0,3211672","2,70955954",,
19/04/2010 12.00,"67,06282275",,"0,33280788","2,66474747","16,11721039",
19/04/2010 13.00,"76,50759165",,"0,3097269","2,71122335",,
19/04/2010 14.00,"87,27125505",,"0,2502455","2,35650087","20,02441978",
19/04/2010 15.00,"93,5274753",,"0,21164555","1,85769186",,
19/04/2010 16.00,"97,4050371",,"0,21200554","2,06411439","26,86202049",
19/04/2010 17.00,"93,41733135",,"0,21220592","1,95252915",,
19/04/2010 18.00,"64,92861165",,"0,36880871","3,01137361","18,07081032",
19/04/2010 19.00,"54,4510113",,"0,42005007","3,42144632",,
19/04/2010 20.00,"50,27797005",,"0,4262502","4,11702652","15,62880993",
19/04/2010 21.00,"66,01788165",,"0,29104729","3,47734979",,
19/04/2010 22.00,"73,8549399",,"0,24272542","2,34973477","26,37360954",
19/04/2010 23.00,"76,79634795",,"0,21888486","1,69841034",,
20/04/2010 0.00,"74,79779685",,"0,16388405","1,52482064","35,65322113",
20/04/2010 1.00,"70,51596825",,"0,17616431","1,36720293",,
20/04/2010 2.00,,,"0,18588391","1,0300054","19,53602028",
20/04/2010 3.00,"77,5284531",,"0,1932036","0,94415331",,
20/04/2010 4.00,"74,61988275",,,"0,98264269","15,14041042",
20/04/2010 5.00,"71,36236695",,"0,21148478","1,0691599",,
20/04/2010 6.00,"73,91389215",,"0,22377204","1,44085407","15,62880993",
20/04/2010 7.00,"69,3168336",,"0,28665058","2,1286705",,
20/04/2010 8.00,"62,3064834",,"0,36153445","3,74688632","18,07081032",
20/04/2010 9.00,"75,15007395",,"0,26271566","3,75520538",,
20/04/2010 10.00,"79,96724085",,"0,27604326","3,12662005","22,46640968",
20/04/2010 11.00,"91,4377128",,"0,24190293","2,75692326",,
20/04/2010 12.00,"97,0602213",,"0,20131899","2,12667413","33,69963074",
20/04/2010 13.00,"103,7430324",,"0,19763759","1,91237595",,
20/04/2010 14.00,"105,9550086",,"0,17210196","1,63485394","22,95482063",
20/04/2010 15.00,"109,53601365",,"0,16697945","1,45050439",,
20/04/2010 16.00,"102,6142614",,"0,20516116","1,52870253","26,86202049",
20/04/2010 17.00,"103,54036035",,"0,20644266","1,71926393",,
20/04/2010 18.00,"88,4244648","56,98566864","0,27188188","2,08796304","31,25761986",
20/04/2010 19.00,"88,52782575","43,987472","0,28941163","2,47130288",,
20/04/2010 20.00,"72,4159863","57,54634352","0,2669982","3,00815684","28,81562042",
20/04/2010 21.00,"65,01104505","56,88702856","0,18458959","2,27830171",,
20/04/2010 22.00,"80,32290945","28,9308544","0,2294153","2,07864528","24,90842056",
20/04/2010 23.00,"84,3589341","19,7860452","0,22737422","2,45355623",,
21/04/2010 0.00,"89,70359895","15,194186","0,14664671","1,72591917","29,7924099",
21/04/2010 1.00,"95,30192805","11,68992594","0,07856644","1,1470265",,
21/04/2010 2.00,"95,0133513","11,56922711","0,088893","1,04719778","20,51280975",
21/04/2010 3.00,"94,57714455","10,42839407","0,0613955","0,77278169",,
21/04/2010 4.00,"85,97897385","14,54654571",,"0,62459157","18,07081032",
21/04/2010 5.00,"81,0920019","20,0495188","0,09464344","0,51222934",,
21/04/2010 6.00,"54,3472314","53,51383992","0,296496","1,37385818","15,14041042",
21/04/2010 7.00,"60,3777573","51,72149288","0,38734969","3,69242393",,
21/04/2010 8.00,"59,96704665","61,89031192","0,51302406","5,00050662","21,97801971",
21/04/2010 9.00,"82,78318335","39,39301248","0,23558048","4,14497876",,
21/04/2010 10.00,"92,3611584","30,4921936","0,26899967","2,813381","48,84004974",
21/04/2010 11.00,"97,44946575","34,57270752","0,28364721","3,66081151",,
21/04/2010 12.00,"111,41642085","22,86849512","0,26523672","3,54578779","31,25761986",
21/04/2010 13.00,"118,22942565","17,79123074","0,23325863","2,2553409",,
21/04/2010 14.00,"116,68318095","19,70428808","0,15681366","1,72259155","34,18803024",
21/04/2010 15.00,"110,7131235","25,6796896","0,07435147","1,32704974",,
21/04/2010 16.00,"109,9842303","29,025594","0,12303332","1,98724749","24,90842056",
21/04/2010 17.00,"103,3605111","35,74858752","0,10843704","1,9874692",,
21/04/2010 18.00,"68,6443989","86,47203552","0,51230409","4,43425933","20,51280975",
21/04/2010 19.00,"41,62178475","111,8855556","0,6673155","6,22273722",,
21/04/2010 20.00,"16,7453517","135,81450328","0,82500873","6,79364339","16,60560989",
21/04/2010 21.00,"43,7505096","86,0372276","0,49353245","6,7670224",,
21/04/2010 22.00,"75,105765","29,62781664","0,16253614","3,68698909","32,23442078",
21/04/2010 23.00,"83,5026003","17,84054314","0,11014493","2,05036048",,
22/04/2010 0.00,"73,95415125","22,627086","0,10462283","2,07309958","45,42124176",
22/04/2010 1.00,"63,87956085","32,01460448","0,10854422","1,86046522",,
22/04/2010 2.00,,"34,40527368","0,1315984","2,1368787","26,86202049",
22/04/2010 3.00,"60,6832317",,"0,12103185","1,9983389",,
22/04/2010 4.00,"55,9694058","62,31211824",,"2,12024058","17,58241081",
22/04/2010 5.00,"55,53746835","53,10501608","0,19821427","1,58116855",,
22/04/2010 6.00,"28,3845408","81,31816304","0,31468514","2,2995987","24,42000961",
22/04/2010 7.00,"31,3051011","97,75572264","0,49451105","3,87411098",,
22/04/2010 8.00,"45,2045055","81,08843624","0,60921462","6,01786766","25,39682007",
22/04/2010 9.00,"74,39408865","48,09783224","0,31030824","4,35761211",,
22/04/2010 10.00,"92,7586023","33,27484192","0,20283116","3,05773864","47,37483978",
22/04/2010 11.00,"97,23037485","33,14763656","0,15910871","3,0929004",,
22/04/2010 12.00,"100,6483884","46,73895472","0,18179243","2,55116586","27,35042",
22/04/2010 13.00,"115,558779","30,76214888","0,19074545","2,72830488",,
22/04/2010 14.00,"109,9756917","31,7199844","0,18163166","2,11236494","22,95482063",
22/04/2010 15.00,"100,92252135","36,09639944","0,19146892","2,04714371",,
22/04/2010 16.00,"96,1177833","38,0665816","0,24402323","2,75082228","15,62880993",
22/04/2010 17.00,"89,0370096","46,83111312","0,31071016","3,09068131",,
22/04/2010 18.00,"72,2491245","67,00653712","0,49166029","3,91415333","13,18680954",
22/04/2010 19.00,"62,38554525","78,5212512","0,58476476","5,46237819",,
