,Provincia Bari,,,,,
,Monopoli,,,,,
Parm,O3,NO2,CO,Benzene,PM10,BENZENE
,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,
02/01/2010 8.00,"61,26886395","14,03777972","0,21986346",,"5,37240601",
02/01/2010 9.00,"57,55772505","13,14873987","0,20838938","4,14151181",,
02/01/2010 10.00,"54,44963475","17,08648475","0,22255228","4,61525685","13,18680954",
02/01/2010 11.00,"60,9581826","15,30710298","0,20249215","5,68813592",,
02/01/2010 12.00,"61,510638","16,04559004","0,2113578","5,56870656","16,60560989",
02/01/2010 13.00,"64,7241441","11,90148109","0,21440777","5,51517269",,
02/01/2010 14.00,"65,8107807","9,25642411","0,22929297","5,25302366","9,76801014",
02/01/2010 15.00,"66,5698782","7,47184935","0,22347496","4,71272105",,
02/01/2010 16.00,"65,8417032","8,31806231","0,20951244","4,8201193","15,14041042",
02/01/2010 17.00,"60,1484919","12,89175942","0,26640521","5,61782461",,
02/01/2010 18.00,"61,38976095","17,52645507","0,27679585","6,10415299","12,69841003",
02/01/2010 19.00,"65,16976725","10,66850112","0,22752683","6,32468842",,
02/01/2010 20.00,"63,45618195","12,96574044","0,22523994","5,88968701","12,69841003",
02/01/2010 21.00,"62,6759973","14,60754616","0,26427792","6,06320247",,
02/01/2010 22.00,"66,0722454","10,47641586","0,23025526","5,92379414","25,39682007",
02/01/2010 23.00,"64,1885664","12,00531416","0,18231085","5,03182514",,
03/01/2010 0.00,"63,5039622","10,43748754","0,19149804",,"36,63003159",
03/01/2010 1.00,"61,0917279","13,19027234","0,16967293",,,
03/01/2010 2.00,"69,70607805","7,9533617","0,14584053",,"24,90842056",
03/01/2010 3.00,"69,61047765","6,30636107","0,20895091",,,
03/01/2010 4.00,"65,5029123","10,58674018","0,19932102",,"19,04759979",
03/01/2010 5.00,"64,0550211","5,72751072","0,19378494",,,
03/01/2010 6.00,"58,7286903","7,02408381","0,19988371",,"21,0012207",
03/01/2010 7.00,"47,28463215","6,99682825","0,24706621",,,
