Stat,BR-CASALE,,,,,  ,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
01/01/2014 1.00,"1,8","16,5","23,1",,,,
01/01/2014 2.00,,,,,,,
01/01/2014 3.00,,,,,,,
01/01/2014 4.00,"1,2","10,0","10,7","46,4",,,
01/01/2014 5.00,"0,8","4,8","5,1",,,,
01/01/2014 6.00,"0,7","8,3","9,2","32,0",,,
01/01/2014 7.00,"0,8","11,7","12,8",,,,
01/01/2014 8.00,"0,7","9,7","10,4","24,7",,,
01/01/2014 9.00,"0,7","15,0","16,7",,,,
01/01/2014 10.00,"0,7","16,4","18,6","17,3",,,
01/01/2014 11.00,"0,7","12,8","15,0",,,, 
01/01/2014 12.00,"0,7","10,6","13,6","11,7",,,
01/01/2014 13.00,"0,7","8,9","10,1",,,,
01/01/2014 14.00,"0,7","17,3","22,1","14,2",,,
01/01/2014 15.00,"0,7","8,2","8,8",,,,
01/01/2014 16.00,"0,7","7,3","8,6","10,7",,,
01/01/2014 17.00,"0,7","11,3","12,2",,,,
01/01/2014 18.00,"0,7","26,8","29,1","6,3",,,
01/01/2014 19.00,"0,7","22,9","24,9",,,,
01/01/2014 20.00,"0,7","16,7","18,8","12,5",,,
01/01/2014 21.00,"0,7","23,8","28,0",,,,
01/01/2014 22.00,"0,7","26,6","32,5","12,7",,,
01/01/2014 23.00,"0,7","20,8","23,5",,,,
02/01/2014 0.00,"0,7","23,0","27,4","16,6",,,
02/01/2014 1.00,"0,7","14,3","16,1",,,,
02/01/2014 2.00,,"13,1","13,9","21,2",,,
02/01/2014 3.00,"0,9",,,,,,
02/01/2014 4.00,"0,7","12,0","13,3","22,0",,,
02/01/2014 5.00,"1,2","12,2","13,6",,,,
02/01/2014 6.00,"1,4","13,5","15,3","12,5",,,
02/01/2014 7.00,"0,8","22,7","30,4",,,,
02/01/2014 8.00,"1,7","32,8","72,8","19,0",,,
02/01/2014 9.00,"2,2","30,4","71,8",,,,
02/01/2014 10.00,"1,7","34,3","61,3","20,5",,,
02/01/2014 11.00,"1,1","25,0","31,1",,,,
