,ARPA Puglia,,
,Verdi,,
Parm,SO2,NO2,PM10



05/01/2010 10.00,"10,70275545","64,05603432","36,70000076"
05/01/2010 11.00,"9,27416131","64,56588824","36,70000076"
05/01/2010 12.00,"7,83472494","59,5407316","36,70000076"
05/01/2010 13.00,"6,8540298","58,00971672","36,70000076"
05/01/2010 14.00,"6,36097295","56,333256","36,70000076"
05/01/2010 15.00,"6,33930068","55,34037352","36,70000076"
05/01/2010 16.00,"8,76665594","73,8196432","36,70000076"
05/01/2010 17.00,"10,97186382","82,45056416","36,70000076"
05/01/2010 18.00,"13,75862688","95,9230324","36,70000076"
05/01/2010 19.00,"12,98743578","94,50926136","36,70000076"
05/01/2010 20.00,"9,55771413","79,82923128","36,70000076"
05/01/2010 21.00,"7,05811526","70,1701132","36,70000076"
05/01/2010 22.00,"6,12979664","64,40770848","36,70000076"
05/01/2010 23.00,"5,54643629","57,44196744","36,70000076"
06/01/2010 0.00,"5,13465197","49,38869992","36,70000076"
06/01/2010 1.00,,"48,22492288","18,2999897"
06/01/2010 2.00,"5,98531145",,"18,2999897"
06/01/2010 3.00,"5,30442284","43,81011488","18,2999897"
06/01/2010 4.00,"5,31887135","38,76014048","18,2999897"
06/01/2010 5.00,"5,07144034","32,15788976","18,2999897"
06/01/2010 6.00,"5,04976705","28,35300976","18,2999897"
06/01/2010 7.00,"5,0606042","29,24176472","18,2999897"
06/01/2010 8.00,"5,07505272","29,46565992","18,2999897"
06/01/2010 9.00,"5,04434949","30,82817024","18,2999897"
06/01/2010 10.00,"5,12742822","38,36148848","18,2999897"
06/01/2010 11.00,"5,12381584","40,82162064","18,2999897"
06/01/2010 12.00,"5,10575595","41,7581756","18,2999897"
06/01/2010 13.00,"5,12020447","41,57659296","18,2999897"
06/01/2010 14.00,"5,19064088","42,62781056","18,2999897"
06/01/2010 15.00,"5,10756113","38,85979392","18,2999897"
06/01/2010 16.00,"5,05518563","35,57233936","18,2999897"
06/01/2010 17.00,"5,06602176","32,29304904","18,2999897"
06/01/2010 18.00,"5,0606042","44,79169744","18,2999897"
06/01/2010 19.00,"5,69092148","54,18036312","18,2999897"
06/01/2010 20.00,"6,28692416","58,5968728","18,2999897"
06/01/2010 21.00,"6,30137268","60,2952068","18,2999897"
06/01/2010 22.00,"6,41515464","60,88089064","18,2999897"
06/01/2010 23.00,"5,81734679","58,33202256","18,2999897"
07/01/2010 0.00,"5,13645918","54,28001656","18,2999897"
07/01/2010 1.00,"5,0768579","48,01091272","20,5"
07/01/2010 2.00,"5,10575595","46,2347412","20,5"
07/01/2010 3.00,"5,17438616","43,14250184","20,5"
07/01/2010 4.00,"5,06963415","35,29519496","20,5"
07/01/2010 5.00,"5,07866409","28,9195736","20,5"
