Parm,Foggia,,,
,Unit,monte Sant'Angelo - Suolo Giuffreda,,,
01/01/2009 1.00,SO2,NO2,O3,PM10
,,,,,,,
,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
07/01/2009 1.00,"3,93903525",,,
07/01/2009 2.00,"3,78913148",,,
07/01/2009 3.00,"3,53266951",,,
07/01/2009 4.00,"3,2310568",,,
07/01/2009 5.00,"3,31774791",,,
07/01/2009 6.00,"3,35748109",,,
07/01/2009 7.00,"3,23828055",,,
07/01/2009 8.00,"3,4821002",,,
07/01/2009 9.00,"3,40082664",,,
07/01/2009 10.00,"3,36470585",,,
07/01/2009 11.00,"3,60310693",,,
07/01/2009 12.00,"4,29121828",,,
07/01/2009 13.00,"3,81622233",,,
07/01/2009 14.00,"3,73856217",,,
07/01/2009 15.00,"4,05281721",,,
07/01/2009 16.00,"4,4320921",,,
07/01/2009 17.00,"4,99197298",,,
07/01/2009 18.00,"4,76260286",,,
07/01/2009 19.00,"4,43570347",,,
07/01/2009 20.00,"4,25690368",,,
07/01/2009 21.00,"3,72772502",,,
07/01/2009 22.00,"4,19188484",,,
07/01/2009 23.00,"4,19910961",,,
08/01/2009 0.00,"3,90652583",,,
08/01/2009 1.00,"3,59226977",,,
08/01/2009 2.00,"3,70966514",,,
08/01/2009 3.00,,,,
08/01/2009 4.00,"3,44959078",,,
08/01/2009 5.00,"3,48751776",,,
08/01/2009 6.00,"3,91375059",,,
08/01/2009 7.00,"3,48571157",,,
08/01/2009 8.00,"3,00349186",,,
08/01/2009 9.00,"3,01071561",,,
08/01/2009 10.00,"3,81983471",,,
08/01/2009 11.00,"2,91499456",,,
08/01/2009 12.00,"3,22925061",,,
08/01/2009 13.00,"3,13894711",,,
08/01/2009 14.00,"4,07629669",,,
08/01/2009 15.00,"4,48085522",,,
08/01/2009 16.00,"4,02211398",,,
08/01/2009 17.00,"4,57657729",,,
08/01/2009 18.00,"3,98779938",,,
08/01/2009 19.00,"4,16840638",,,
08/01/2009 20.00,"4,16479399",,,
08/01/2009 21.00,"3,54531183",,,
08/01/2009 22.00,"4,2713522",,,
08/01/2009 23.00,"3,7692654",,,
09/01/2009 0.00,"4,17924251",,,
09/01/2009 1.00,"3,37734818",,,
09/01/2009 2.00,"3,77287677",,,
09/01/2009 3.00,"4,10338753",,,
09/01/2009 4.00,"3,81983471",,,
09/01/2009 5.00,"3,26898378",,,
09/01/2009 6.00,"3,6952156",,,
09/01/2009 7.00,"3,31774791",,,
09/01/2009 8.00,"3,18951642",,,
09/01/2009 9.00,"3,44236703",,,
09/01/2009 10.00,"3,56517893",,,
09/01/2009 11.00,"4,0022479",,,
09/01/2009 12.00,"3,03600128",,,
09/01/2009 13.00,"3,67896191",,,
09/01/2009 14.00,"3,52544576",,,
09/01/2009 15.00,"3,35928728",,,
09/01/2009 16.00,"3,67896191",,,
09/01/2009 17.00,"3,60852449",,,
09/01/2009 18.00,"3,89749588",,,
09/01/2009 19.00,"6,02323844",,,
09/01/2009 20.00,"5,72884948",,,
09/01/2009 21.00,"5,71620715",,,
09/01/2009 22.00,"5,60964894",,,
09/01/2009 23.00,"6,20203924",,,
10/01/2009 0.00,"6,03226838",,,
10/01/2009 1.00,"6,2634457",,,
10/01/2009 2.00,"6,10089961",,,
10/01/2009 3.00,,,,
10/01/2009 4.00,"6,10812336",,,
10/01/2009 5.00,"5,54101772","0,91889382",,
10/01/2009 6.00,"5,63854496","0,60870241",,
10/01/2009 7.00,"5,38208401","1,03959646",,
10/01/2009 8.00,"5,53921254","1,12655231",,
10/01/2009 9.00,"5,75052175","0,87995785",,
10/01/2009 10.00,"5,92571017",,,
10/01/2009 11.00,"5,87694604","0,56846819",,
10/01/2009 12.00,"5,84443763","9,00982965",,
