Stat,Maglie,,,,,,,  ,
,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,
,,,,
08/03/2014 8.00,"1,3","23,7","57,0","0,4","16,2","10,4",,,
08/03/2014 9.00,"2,6","20,5","44,2","0,4","29,4","10,4",,,
08/03/2014 10.00,"8,2","12,2","21,5","0,3","55,6","10,4",,,
08/03/2014 11.00,"7,2","10,6","18,7","0,3","64,8","10,4",,,
08/03/2014 12.00,"4,3","9,1","18,3","0,2","70,9","10,4",,,
08/03/2014 13.00,"4,5","10,5","20,4","0,2","77,3","10,4",,,
08/03/2014 14.00,"5,1","12,5","25,0","0,2","79,4","10,4",,,
08/03/2014 15.00,"4,8","6,3","12,0","0,2","87,3","10,4",,,
08/03/2014 16.00,"4,3","6,3","12,2","0,2","86,6","10,4",,,
08/03/2014 17.00,"3,6","8,0","14,9","0,2","83,2","10,4",,,
08/03/2014 18.00,"2,9","12,2","19,8","0,3","74,5","10,4",,,
08/03/2014 19.00,"2,9","20,1","29,4","0,4","62,2","10,4",,,
08/03/2014 20.00,"3,2","22,0","33,2","0,4","49,9","10,4",,,
08/03/2014 21.00,"3,3","14,8","22,7","0,3","59,6","10,4",,,
08/03/2014 22.00,"3,4","8,8","16,1","0,2","66,1","10,4",,,
08/03/2014 23.00,"1,3","8,7","15,6","0,2","63,3","10,4",,,
09/03/2014 0.00,"1,8","7,8","14,2","0,2","62,8","10,4",,,
09/03/2014 1.00,"1,7","8,9","16,0","0,2",,"9,4",,,
09/03/2014 2.00,"1,9",,,"0,2","66,4","9,4",,,
09/03/2014 3.00,"1,9","6,0","10,8",,"65,2","9,4",,,
09/03/2014 4.00,"2,0","5,3","11,3","0,2","64,9","9,4",,,
09/03/2014 5.00,,"6,0","12,5","0,2","66,3","9,4",,,
09/03/2014 6.00,"2,0","4,9","10,0","0,2","71,4","9,4",,,
09/03/2014 7.00,"2,5","5,6","11,2","0,2","68,7","9,4",,,
09/03/2014 8.00,"3,0","5,5","10,4","0,2","72,0","9,4",,,
09/03/2014 9.00,"3,5","5,0","10,0","0,2","77,4","9,4",,,
09/03/2014 10.00,"3,9","5,1","9,4","0,2","78,0","9,4",,,
09/03/2014 11.00,"3,9","6,1","13,8","0,2","79,5","9,4",,,
09/03/2014 12.00,"3,8","5,5","10,3","0,2","82,7","9,4",,,
09/03/2014 13.00,"3,6","6,4","10,9","0,2","86,3","9,4",,,
09/03/2014 14.00,"4,1","5,2","11,1","0,2","89,4","9,4",,,
09/03/2014 15.00,"3,9","4,6","9,9","0,2","92,4","9,4",,,
09/03/2014 16.00,"3,5","5,6","9,9","0,2","93,1","9,4",,,
09/03/2014 17.00,"3,4","6,1","10,9","0,2","92,6","9,4",,,
09/03/2014 18.00,"3,4","12,0","18,4","0,2","85,5","9,4",,,
09/03/2014 19.00,"3,7","27,0","38,5","0,3","60,0","9,4",,,
09/03/2014 20.00,"3,7","28,2","40,8","0,4","52,6","9,4",,,
09/03/2014 21.00,"4,0","25,3","37,0","0,3","52,0","9,4",,,
09/03/2014 22.00,"3,5","20,2","29,0","0,4","54,2","9,4",,,
09/03/2014 23.00,"2,3","9,9","16,6","0,2","68,4","9,4",,,
10/03/2014 0.00,"2,4","6,4","11,0","0,2","79,9","9,4",,,
10/03/2014 1.00,"2,7","5,3","10,8","0,2","80,4","13,9",,,
10/03/2014 2.00,"2,5","5,4","10,8","0,2","84,8","13,9",,,
10/03/2014 3.00,"2,1","4,7","11,2","0,2","88,2","13,9",,,
10/03/2014 4.00,"2,3","3,9","8,8","0,1","91,1","13,9",,,
10/03/2014 5.00,"2,2","5,2","11,1","0,2","81,2","13,9",,,
10/03/2014 6.00,"2,2","9,2","15,5","0,2","67,0","13,9",,,
10/03/2014 7.00,"2,1","10,7","18,8","0,2","66,1","13,9",,,
10/03/2014 8.00,"2,3","46,9","168,3","0,3","29,4","13,9",,,
10/03/2014 9.00,"0,9","21,3","38,0","0,2","54,2","13,9",,,
10/03/2014 10.00,"3,1","9,0","15,3","0,2","76,1","13,9",,,
10/03/2014 11.00,"2,0","8,9","16,3","0,3","80,0","13,9",,,
10/03/2014 12.00,"2,0","8,0","14,7","0,2","81,9","13,9",,,
10/03/2014 13.00,"2,3","10,2","18,2","0,3","77,3","13,9",,,
10/03/2014 14.00,"2,0","13,3","25,7","0,3","79,4","13,9",,,
10/03/2014 15.00,"1,7","10,9","19,3","0,2","81,2","13,9",,,
10/03/2014 16.00,"1,6","12,4","22,6","0,3","77,8","13,9",,,
10/03/2014 17.00,"2,2","15,4","26,8","0,3","76,0","13,9",,,
10/03/2014 18.00,"2,3","24,2","35,8","0,4","65,1","13,9",,,
10/03/2014 19.00,"2,8","33,2","49,1","0,6","51,9","13,9",,,
10/03/2014 20.00,"2,4","30,2","45,1","0,5","49,6","13,9",,,
10/03/2014 21.00,"2,3","27,6","40,5","0,6","45,1","13,9",,,
10/03/2014 22.00,"3,0","17,5","26,4","0,4","66,9","13,9",,,
10/03/2014 23.00,"2,7","13,3","20,6","0,4","60,2","13,9",,,
11/03/2014 0.00,"2,2","11,2","18,5","0,4","49,4","13,9",,,
11/03/2014 1.00,"1,7","7,5","14,8","0,4",,"17,4",,,
11/03/2014 2.00,"1,6",,,"0,3","59,2","17,4",,,
11/03/2014 3.00,"1,5","6,2","11,8",,"52,4","17,4",,,
11/03/2014 4.00,"1,4","6,6","11,6","0,3","45,4","17,4",,,
11/03/2014 5.00,,"5,4","10,3","0,3","40,5","17,4",,,
11/03/2014 6.00,"1,1","7,1","13,4","0,2","46,2","17,4",,,
11/03/2014 7.00,"1,2","9,7","17,6","0,2","46,6","17,4",,,
11/03/2014 8.00,"2,1","28,3","56,0","0,3","29,6","17,4",,,
11/03/2014 9.00,"3,0","19,1","35,4","0,3","45,6","17,4",,,
11/03/2014 10.00,"3,6","14,3","27,0","0,3","63,5","17,4",,,
11/03/2014 11.00,"3,9","12,2","22,3","0,3","72,8","17,4",,,
11/03/2014 12.00,"3,0","10,0","19,9","0,2","76,8","17,4",,,
11/03/2014 13.00,"3,1","10,2","19,5","0,2","80,1","17,4",,,
11/03/2014 14.00,"3,3","12,7","22,4","0,2","83,0","17,4",,,
11/03/2014 15.00,"2,9","9,8","17,5","0,2","85,1","17,4",,,
11/03/2014 16.00,"2,5","9,6","17,6","0,2","84,6","17,4",,,
11/03/2014 17.00,"2,4","12,3","21,0","0,2","80,8","17,4",,,
11/03/2014 18.00,"2,6","15,8","24,0","0,2","75,3","17,4",,,
11/03/2014 19.00,"2,8","30,2","44,7","0,4","55,9","17,4",,,
11/03/2014 20.00,"3,4","31,1","45,0","0,4","51,5","17,4",,,
11/03/2014 21.00,"3,5","20,2","29,4","0,4","63,2","17,4",,,
11/03/2014 22.00,"3,3","19,3","28,4","0,4","59,3","17,4",,,
11/03/2014 23.00,"2,5","10,2","16,4","0,3","77,0","17,4",,,
12/03/2014 0.00,"1,6","13,4","20,8","0,4","48,1","17,4",,,
12/03/2014 1.00,"1,9","10,5","17,0","0,3","58,0","21,1",,,
12/03/2014 2.00,"3,1","6,4","11,9","0,2","81,2","21,1",,,
12/03/2014 3.00,"5,2","5,5","9,7","0,2","89,4","21,1",,,
12/03/2014 4.00,"5,0","5,4","10,8","0,2","87,5","21,1",,,
12/03/2014 5.00,"4,1","6,6","13,5","0,2","78,2","21,1",,,
12/03/2014 6.00,"3,5","12,1","19,8","0,2","67,0","21,1",,,
12/03/2014 7.00,"1,9","10,8","17,8","0,2","62,3","21,1",,,
12/03/2014 8.00,"2,4","20,3","37,8","0,3","50,9","21,1",,,
12/03/2014 9.00,"3,8","18,2","31,4","0,3","66,0","21,1",,,
12/03/2014 10.00,"5,3","12,2","21,4","0,2","84,4","21,1",,,
12/03/2014 11.00,"7,4","9,8","17,3","0,2","96,1","21,1",,,
12/03/2014 12.00,"6,6","8,5","16,4","0,2","98,0","21,1",,,
12/03/2014 13.00,"5,1","8,6","15,9","0,2","98,8","21,1",,,
12/03/2014 14.00,"4,8","10,6","19,2","0,2","98,2","21,1",,,
12/03/2014 15.00,"4,6","9,2","16,1","0,2","102,5","21,1",,,
12/03/2014 16.00,"4,3","8,4","16,0","0,2","103,0","21,1",,,
12/03/2014 17.00,"4,0","10,2","17,4","0,2","102,3","21,1",,,
12/03/2014 18.00,"4,1","21,4","31,5","0,3","84,5","21,1",,,
12/03/2014 19.00,"4,0","46,1","64,4","0,4","49,5","21,1",,,
12/03/2014 20.00,"4,3","51,4","70,5","0,6","38,1","21,1",,,
12/03/2014 21.00,"3,1","49,3","69,5","0,5","34,5","21,1",,,
12/03/2014 22.00,"2,4","30,3","42,6","0,4","45,9","21,1",,,
12/03/2014 23.00,"2,2","20,4","29,9","0,4","48,4","21,1",,,
13/03/2014 0.00,"2,2","13,5","20,7","0,3","57,7","21,1",,,
13/03/2014 1.00,"2,1","8,6","14,4","0,3",,"29,0",,,
13/03/2014 2.00,"2,5",,,"0,3","70,0","29,0",,,
13/03/2014 3.00,"2,6","6,3","10,4",,"77,2","29,0",,,
13/03/2014 4.00,"2,2","6,1","11,3","0,3","76,1","29,0",,,
13/03/2014 5.00,,"6,2","11,4","0,2","71,2","29,0",,,
13/03/2014 6.00,"2,1","7,8","14,9","0,3","74,3","29,0",,,
13/03/2014 7.00,"2,8","13,8","22,8","0,3","65,5","29,0",,,
13/03/2014 8.00,"4,0","20,0","33,5","0,3","68,4","29,0",,,
13/03/2014 9.00,"4,4","20,1","34,4","0,3","71,3","29,0",,,
13/03/2014 10.00,"5,0","15,3","26,1","0,3","83,0","29,0",,,
13/03/2014 11.00,"4,8","10,8","18,0","0,3","95,5","29,0",,,
13/03/2014 12.00,"5,2","8,7","15,4","0,3","103,0","29,0",,,
13/03/2014 13.00,"5,1","9,2","16,8","0,3","106,6","29,0",,,
13/03/2014 14.00,"5,0","9,8","18,5","0,2","107,6","29,0",,,
13/03/2014 15.00,"4,5","6,7","12,0","0,2","113,1","29,0",,,
13/03/2014 16.00,"3,8","9,0","15,4","0,2","107,2","29,0",,,
13/03/2014 17.00,"3,3","11,7","19,5","0,3","99,9","29,0",,,
13/03/2014 18.00,"2,7","22,0","32,1","0,3","80,7","29,0",,,
13/03/2014 19.00,"2,5","32,4","47,3","0,4","62,4","29,0",,,
13/03/2014 20.00,"3,0","49,4","73,5","0,7","28,1","29,0",,,
13/03/2014 21.00,"2,5","33,9","49,7","0,6","39,6","29,0",,,
13/03/2014 22.00,"1,7","21,8","31,4","0,4","56,1","29,0",,,
13/03/2014 23.00,"2,7","29,8","42,2","0,6","32,7","29,0",,,
14/03/2014 0.00,"2,8","20,6","30,0","0,6","36,4","29,0",,,
14/03/2014 1.00,"2,2","18,2","27,3","0,5","27,4","36,6",,,
14/03/2014 2.00,"2,1","13,4","21,6","0,5","22,1","36,6",,,
14/03/2014 3.00,"1,8","11,5","17,6","0,4","37,6","36,6",,,
14/03/2014 4.00,"1,5","7,9","13,7","0,3","32,4","36,6",,,
14/03/2014 5.00,"1,2","9,1","14,5","0,4","35,8","36,6",,,
14/03/2014 6.00,"1,4","16,9","27,1","0,4","28,6","36,6",,,
14/03/2014 7.00,"1,5","30,0","66,9","0,5","10,7","36,6",,,
14/03/2014 8.00,"2,7","39,0","94,9","0,5","17,4","36,6",,,
14/03/2014 9.00,"4,0","23,5","41,2","0,4","48,7","36,6",,,
14/03/2014 10.00,"5,3","19,8","32,7","0,3","74,9","36,6",,,
14/03/2014 11.00,"5,0","14,1","23,5","0,2","85,5","36,6",,,
14/03/2014 12.00,"4,7","28,9","59,0","0,2","97,2","36,6",,,
14/03/2014 13.00,"4,6","29,6","74,5","0,3","95,3","36,6",,,
14/03/2014 14.00,"5,1","35,9","112,4","0,3","90,0","36,6",,,
14/03/2014 15.00,"5,1","33,2","95,3","0,3","98,1","36,6",,,
14/03/2014 16.00,"5,1","43,2","108,1","0,3","96,7","36,6",,,
14/03/2014 17.00,"5,0","14,5","22,4","0,3","101,6","36,6",,,
14/03/2014 18.00,"4,2","22,5","33,1","0,3","84,9","36,6",,,
14/03/2014 19.00,"3,8","34,1","48,5","0,4","61,6","36,6",,,
14/03/2014 20.00,"3,6","60,4","100,1","0,8","16,2","36,6",,,
14/03/2014 21.00,"3,0","51,2","76,9","0,6","20,9","36,6",,,
14/03/2014 22.00,"2,1","58,5","86,3","0,7","9,0","36,6",,,
14/03/2014 23.00,"3,2","48,4","73,8","0,8","10,9","36,6",,,
15/03/2014 0.00,"3,1","35,9","56,2","0,8","10,6","36,6",,,
15/03/2014 1.00,"2,8","31,3","55,4","0,7",,"35,4",,,
15/03/2014 2.00,"2,1",,,"0,6","22,1","35,4",,,
15/03/2014 3.00,"2,1","18,7","29,8",,"14,2","35,4",,,
15/03/2014 4.00,"1,8","10,8","16,7","0,5","24,1","35,4",,,
15/03/2014 5.00,,"7,8","13,6","0,4","51,2","35,4",,,
15/03/2014 6.00,"1,1","10,1","17,0","0,4","31,3","35,4",,,
15/03/2014 7.00,"1,4","15,1","25,8","0,4","44,0","35,4",,,
15/03/2014 8.00,"2,1","23,9","44,8","0,5","33,5","35,4",,,
15/03/2014 9.00,"3,0","15,7","27,4","0,4","68,6","35,4",,,
15/03/2014 10.00,"4,6","11,6","18,8","0,3","98,7","35,4",,,
15/03/2014 11.00,"5,8","9,3","16,5","0,3","108,8","35,4",,,
15/03/2014 12.00,"6,0","10,5","18,4","0,3","114,2","35,4",,,
15/03/2014 13.00,"5,5","9,8","17,9","0,3","117,6","35,4",,,
15/03/2014 14.00,"4,5","9,4","16,9","0,3","115,1","35,4",,,
15/03/2014 15.00,"4,0","8,9","16,5","0,3","114,3","35,4",,,
15/03/2014 16.00,"4,1","8,5","14,7","0,3","109,2","35,4",,,
15/03/2014 17.00,"2,3","8,2","13,5","0,3","99,7","35,4",,,
15/03/2014 18.00,"2,0","9,9","15,9","0,4","92,4","35,4",,,
15/03/2014 19.00,"2,3","20,4","31,3","0,5","69,6","35,4",,,
15/03/2014 20.00,"2,3","20,1","29,8","0,5","56,1","35,4",,,
15/03/2014 21.00,"1,9","20,0","30,4","0,5","47,3","35,4",,,
15/03/2014 22.00,"2,1","16,9","25,9","0,5","46,8","35,4",,,
15/03/2014 23.00,"3,7","16,2","24,6","0,5","54,9","35,4",,,
16/03/2014 0.00,"3,2","12,1","19,7","0,4","65,1","35,4",,,
16/03/2014 1.00,"3,2","9,7","16,9","0,4","65,3","22,7",,,
16/03/2014 2.00,"3,3","13,5","20,6","0,4","60,9","22,7",,,
16/03/2014 3.00,"3,1","12,7","19,2","0,3","55,4","22,7",,,
16/03/2014 4.00,"2,9","12,8","19,9","0,3","39,0","22,7",,,
16/03/2014 5.00,"2,9","9,6","16,0","0,3","42,4","22,7",,,
16/03/2014 6.00,"3,0","7,1","13,4","0,4","50,3","22,7",,,
16/03/2014 7.00,"3,0","6,0","11,1","0,3","57,9","22,7",,,
16/03/2014 8.00,"3,8","9,0","15,3","0,4","53,2","22,7",,,
16/03/2014 9.00,"4,2","7,4","13,0","0,3","70,7","22,7",,,
16/03/2014 10.00,"4,3","6,4","11,9","0,3","83,2","22,7",,,
16/03/2014 11.00,"3,2","6,9","12,9","0,3","90,0","22,7",,,
16/03/2014 12.00,"3,6","6,8","12,5","0,3","100,6","22,7",,,
16/03/2014 13.00,"3,6","6,8","13,1","0,2","101,1","22,7",,,
16/03/2014 14.00,"3,0","5,6","11,3","0,2","103,4","22,7",,,
16/03/2014 15.00,"3,2","5,4","11,4","0,2","110,7","22,7",,,
16/03/2014 16.00,"2,8","5,7","11,3","0,2","116,0","22,7",,,
16/03/2014 17.00,"2,3","7,0","13,5","0,2","117,1","22,7",,,
16/03/2014 18.00,"2,2","10,8","16,5","0,3","104,8","22,7",,,
16/03/2014 19.00,"1,8","12,9","20,1","0,3","93,5","22,7",,,
16/03/2014 20.00,"1,6","12,6","21,4","0,3","90,7","22,7",,,
16/03/2014 21.00,"1,6","11,6","18,4","0,3","101,7","22,7",,,
16/03/2014 22.00,"1,2","11,2","19,5","0,3","98,4","22,7",,,
16/03/2014 23.00,"2,2","11,6","18,9","0,4","101,2","22,7",,,
17/03/2014 0.00,"2,3","7,7","13,8","0,3","110,4","22,7",,,
17/03/2014 1.00,"2,3","8,3","13,6","0,3",,"32,7",,,
17/03/2014 2.00,"2,4",,,"0,3","100,7","32,7",,,
17/03/2014 3.00,"2,0","5,5","10,4",,"91,7","32,7",,,
17/03/2014 4.00,"1,8","5,7","10,8","0,3","78,7","32,7",,,
17/03/2014 5.00,,"6,6","12,2","0,3","68,5","32,7",,,
17/03/2014 6.00,"1,4","9,5","15,7","0,3","63,5","32,7",,,
17/03/2014 7.00,"1,7","20,0","30,4","0,3","49,2","32,7",,,
17/03/2014 8.00,"2,2","30,3","52,4","0,4","51,1","32,7",,,
17/03/2014 9.00,"3,1","16,6","28,6","0,4","96,5","32,7",,,
17/03/2014 10.00,"3,8","13,0","21,4","0,3","108,7","32,7",,,
17/03/2014 11.00,"4,3","12,2","20,4","0,3","112,9","32,7",,,
17/03/2014 12.00,"4,3","10,1","16,8","0,3","115,4","32,7",,,
17/03/2014 13.00,"4,4","10,5","17,4","0,3","110,6","32,7",,,
17/03/2014 14.00,"4,8","12,2","21,7","0,3","105,8","32,7",,,
17/03/2014 15.00,"4,5","10,0","17,1","0,3","108,7","32,7",,,
17/03/2014 16.00,"4,3","9,5","16,4","0,3","110,8","32,7",,,
17/03/2014 17.00,"4,1","12,5","20,2","0,3","115,4","32,7",,,
17/03/2014 18.00,"3,4","28,1","40,7","0,4","89,8","32,7",,,
17/03/2014 19.00,"3,6","55,0","78,3","0,5","46,8","32,7",,,
17/03/2014 20.00,"3,5","64,7","92,2","0,7","31,1","32,7",,,
17/03/2014 21.00,"3,3","59,3","84,0","0,7","29,1","32,7",,,
17/03/2014 22.00,"2,9","57,1","81,7","0,8","19,0","32,7",,,
17/03/2014 23.00,"3,0","42,4","59,1","0,8","30,5","32,7",,,
18/03/2014 0.00,"2,7","34,9","48,0","0,7","23,9","32,7",,,
18/03/2014 1.00,"2,8","26,5","37,2","0,7","24,6","46,2",,,
18/03/2014 2.00,"2,6","16,3","24,1","0,6","32,9","46,2",,,
18/03/2014 3.00,"2,2","11,1","17,4","0,5","37,3","46,2",,,
18/03/2014 4.00,"2,2","9,0","16,1","0,4","36,9","46,2",,,
18/03/2014 5.00,"1,6","10,2","17,7","0,4","47,8","46,2",,,
18/03/2014 6.00,"1,8","21,9","32,2","0,4","37,6","46,2",,,
18/03/2014 7.00,"2,5","17,8","28,3","0,4","60,7","46,2",,,
18/03/2014 8.00,"3,4","32,4","57,1","0,5","48,9","46,2",,,
18/03/2014 9.00,"4,8","23,0","36,2","0,4","85,5","46,2",,,
18/03/2014 10.00,"5,9","20,6","32,2","0,3","101,3","46,2",,,
18/03/2014 11.00,"5,1","18,5","28,3","0,4","108,7","46,2",,,
18/03/2014 12.00,"4,7","13,0","22,4","0,3","121,6","46,2",,,
18/03/2014 13.00,"3,7","11,0","18,0","0,3","136,2","46,2",,,
18/03/2014 14.00,"4,1","12,3","20,3","0,3","137,2","46,2",,,
18/03/2014 15.00,"4,7","10,0","17,3","0,3","140,6","46,2",,,
18/03/2014 16.00,"4,2","11,4","18,2","0,3","141,3","46,2",,,
18/03/2014 17.00,"3,3","14,1","21,7","0,3","134,6","46,2",,,
18/03/2014 18.00,"2,4","20,6","30,0","0,4","111,1","46,2",,,
18/03/2014 19.00,"3,4","35,4","49,3","0,6","84,4","46,2",,,
18/03/2014 20.00,"4,4","41,8","56,5","0,7","69,9","46,2",,,
18/03/2014 21.00,"3,3","22,2","31,6","0,5","75,2","46,2",,,
18/03/2014 22.00,"2,3","17,8","25,5","0,5","95,3","46,2",,,
18/03/2014 23.00,"1,8","13,0","20,2","0,5","96,8","46,2",,,
19/03/2014 0.00,"1,4","15,5","24,0","0,5","88,5","46,2",,,
19/03/2014 1.00,"1,1","15,1","22,7","0,5",,"25,2",,,
19/03/2014 2.00,"1,0",,,"0,4","67,5","25,2",,,
19/03/2014 3.00,"1,1","8,7","16,1",,"67,8","25,2",,,
19/03/2014 4.00,"0,8","7,0","12,5","0,3","80,1","25,2",,,
19/03/2014 5.00,,"8,0","14,4","0,4","88,2","25,2",,,
19/03/2014 6.00,"0,7","12,0","21,2","0,4","78,8","25,2",,,
19/03/2014 7.00,"1,2","15,9","25,6","0,4","77,4","25,2",,,
19/03/2014 8.00,"1,5","20,5","33,0","0,4","76,8","25,2",,,
19/03/2014 9.00,"3,5","14,1","23,2","0,3","100,2","25,2",,,
19/03/2014 10.00,"3,4","10,3","16,7","0,3","103,3","25,2",,,
19/03/2014 11.00,"3,0","8,2","14,4","0,3","103,1","25,2",,,
19/03/2014 12.00,"3,6","8,0","14,5","0,3","107,5","25,2",,,
19/03/2014 13.00,"4,3","9,0","15,6","0,3","111,9","25,2",,,
19/03/2014 14.00,"3,4","9,9","17,8","0,3","107,5","25,2",,,
19/03/2014 15.00,"3,6","7,2","14,1","0,3","110,2","25,2",,,
19/03/2014 16.00,"2,8","7,4","12,6","0,2","108,1","25,2",,,
19/03/2014 17.00,"2,2","9,2","15,8","0,3","99,0","25,2",,,
19/03/2014 18.00,"1,9","17,0","25,1","0,3","83,1","25,2",,,
19/03/2014 19.00,"2,4","38,7","54,6","0,4","43,7","25,2",,,
19/03/2014 20.00,"2,7","34,0","49,7","0,4","64,2","25,2",,,
19/03/2014 21.00,"2,4","20,2","30,6","0,3","93,1","25,2",,,
19/03/2014 22.00,"2,1","20,1","29,4","0,3","80,4","25,2",,,
19/03/2014 23.00,"0,9","6,5","13,1","0,3","110,8","25,2",,,
20/03/2014 0.00,"0,8","7,9","13,8","0,3","99,3","25,2",,,
20/03/2014 1.00,"0,7","6,5","12,3","0,3","96,2","13,3",,,
20/03/2014 2.00,"1,0","5,4","11,2","0,3","102,5","13,3",,,
20/03/2014 3.00,"0,6","4,9","9,4","0,2","106,6","13,3",,,
20/03/2014 4.00,"1,1","4,6","9,1","0,2","108,3","13,3",,,
20/03/2014 5.00,"0,8","5,5","10,8","0,2","103,9","13,3",,,
20/03/2014 6.00,"0,9","7,1","12,6","0,2","98,8","13,3",,,
20/03/2014 7.00,"1,0","10,2","18,2","0,2","79,5","13,3",,,
20/03/2014 8.00,"1,2","13,8","23,9","0,2","64,5","13,3",,,
20/03/2014 9.00,"1,5","9,8","17,2","0,2","70,4","13,3",,,
20/03/2014 10.00,"2,2","8,7","16,3","0,2","76,5","13,3",,,
20/03/2014 11.00,"2,7","9,3","16,5","0,2","88,6","13,3",,,
20/03/2014 12.00,"2,3","7,9","15,7","0,2","91,6","13,3",,,
20/03/2014 13.00,"2,0","9,3","16,8","0,2","87,2","13,3",,,
20/03/2014 14.00,"1,7","9,7","18,4","0,2","86,1","13,3",,,
20/03/2014 15.00,"1,9","7,5","15,0","0,2","93,1","13,3",,,
20/03/2014 16.00,"1,5","7,3","13,7","0,2","92,4","13,3",,,
20/03/2014 17.00,"1,3","9,9","17,6","0,2","89,2","13,3",,,
20/03/2014 18.00,"1,4","16,3","24,3","0,2","77,4","13,3",,,
20/03/2014 19.00,"1,6","23,7","34,8","0,3","66,7","13,3",,,
20/03/2014 20.00,"2,0","30,4","44,4","0,4","49,3","13,3",,,
20/03/2014 21.00,"1,5","35,6","51,5","0,4","41,4","13,3",,,
20/03/2014 22.00,"1,4","36,5","50,6","0,4","37,4","13,3",,,
20/03/2014 23.00,"1,6","31,2","43,2","0,4","43,5","13,3",,,
21/03/2014 0.00,"1,5","16,9","24,8","0,3","55,8","13,3",,,
21/03/2014 1.00,"1,6","15,2","22,2","0,3",,"18,3",,,
21/03/2014 2.00,"1,2",,,"0,3","52,4","18,3",,,
21/03/2014 3.00,"1,3","9,3","15,1",,"51,4","18,3",,,
21/03/2014 4.00,"1,0","8,2","13,3","0,3","41,6","18,3",,,
21/03/2014 5.00,,"7,6","13,2","0,2","40,3","18,3",,,
21/03/2014 6.00,"0,9","15,5","26,6","0,3","28,3","18,3",,,
21/03/2014 7.00,"1,4","22,2","47,0","0,3","22,2","18,3",,,
21/03/2014 8.00,"2,2","29,5","66,9","0,4","21,7","18,3",,,
21/03/2014 9.00,"2,8","16,2","29,8","0,3","58,9","18,3",,,
21/03/2014 10.00,"3,2","8,7","15,7","0,2","89,2","18,3",,,
21/03/2014 11.00,"3,0","7,8","15,5","0,3","98,2","18,3",,,
21/03/2014 12.00,"2,7","7,0","13,5","0,3","106,1","18,3",,,
21/03/2014 13.00,"2,5","6,9","13,7","0,2","105,0","18,3",,,
21/03/2014 14.00,"2,4","8,7","15,1","0,2","100,8","18,3",,,
21/03/2014 15.00,"2,4","6,4","11,8","0,2","103,2","18,3",,,
21/03/2014 16.00,"2,1","6,4","11,5","0,2","100,8","18,3",,,
21/03/2014 17.00,"1,8","7,6","13,5","0,2","97,3","18,3",,,
21/03/2014 18.00,"1,8","12,9","19,7","0,3","85,1","18,3",,,
21/03/2014 19.00,"1,9","15,7","23,3","0,3","75,4","18,3",,,
21/03/2014 20.00,"2,1","14,9","22,4","0,3","72,2","18,3",,,
21/03/2014 21.00,"2,1","19,1","28,8","0,4","67,0","18,3",,,
21/03/2014 22.00,"2,0","21,5","31,2","0,5","55,4","18,3",,,
21/03/2014 23.00,"0,1","17,8","26,3","0,4","58,8","18,3",,,
22/03/2014 0.00,"0,1","11,2","18,4","0,4","68,6","18,3",,,
22/03/2014 1.00,"0,2","9,7","15,0","0,3","65,2","14,2",,,
22/03/2014 2.00,,"8,1","14,0","0,3","69,0","14,2",,,
22/03/2014 3.00,,"6,3","11,4","0,2","70,2","14,2",,,
22/03/2014 4.00,,"5,4","10,8","0,2","74,1","14,2",,,
22/03/2014 5.00,,"5,7","11,2","0,2","72,9","14,2",,,
22/03/2014 6.00,,"8,2","13,7","0,2","65,9","14,2",,,
22/03/2014 7.00,,"12,8","19,3","0,2","66,7","14,2",,,
22/03/2014 8.00,"0,1","13,0","22,0","0,3","75,9","14,2",,,
22/03/2014 9.00,"1,0","5,9","11,4","0,2","89,6","14,2",,,
22/03/2014 10.00,"7,3","6,6","12,7","0,2","94,0","14,2",,,
22/03/2014 11.00,"6,0","6,6","12,3","0,2","95,9","14,2",,,
22/03/2014 12.00,"4,7","6,4","12,3","0,2","100,6","14,2",,,
22/03/2014 13.00,"4,2","9,3","17,1","0,2","92,8","14,2",,,
22/03/2014 14.00,"3,6","9,0","17,5","0,2","95,5","14,2",,,
22/03/2014 15.00,"3,2","6,0","11,3","0,2","103,0","14,2",,,
22/03/2014 16.00,"2,6","6,2","12,8","0,2","100,2","14,2",,,
22/03/2014 17.00,"4,0","7,8","14,2","0,2","97,9","14,2",,,
22/03/2014 18.00,"6,3","9,4","16,3","0,3","90,7","14,2",,,
22/03/2014 19.00,"6,7","12,3","19,3","0,3","85,0","14,2",,,
22/03/2014 20.00,"6,2","22,3","33,3","0,4","62,6","14,2",,,
22/03/2014 21.00,"5,6","26,0","39,3","0,4","52,8","14,2",,,
22/03/2014 22.00,"1,9","16,7","24,4","0,4","62,7","14,2",,,
22/03/2014 23.00,"2,7","13,0","19,8","0,3","68,6","14,2",,,
23/03/2014 0.00,"2,4","11,4","18,5","0,3","73,5","14,2",,,
23/03/2014 1.00,"2,3","9,8","15,7","0,3",,"11,7",,,
23/03/2014 2.00,"2,4",,,"0,2","71,8","11,7",,,
23/03/2014 3.00,"2,4","7,5","12,7",,"75,4","11,7",,,
23/03/2014 4.00,"2,1","5,4","10,5","0,2","73,9","11,7",,,
