Stat,Maglie,,,,,,,  ,
,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,
,,,,
04/01/2014 8.00,"0,3","25,4","73,0","0,7","8,0","30,7",,,
04/01/2014 9.00,"1,0","30,4","72,8","0,9","12,7","30,7",,,
04/01/2014 10.00,"1,2","27,6","52,5","0,6","28,1","30,7",,,
04/01/2014 11.00,"1,5","14,5","23,4","0,5","50,6","30,7",,,
04/01/2014 12.00,"1,1","10,2","18,0","0,4","66,1","30,7",,,
04/01/2014 13.00,"1,2","9,8","17,0","0,4","70,4","30,7",,,
04/01/2014 14.00,"0,8","7,5","13,5","0,4","74,5","30,7",,,
04/01/2014 15.00,"0,7","6,8","12,5","0,4","76,3","30,7",,,
04/01/2014 16.00,"0,4","7,7","14,3","0,4","71,0","30,7",,,
04/01/2014 17.00,"0,3","17,3","26,2","0,5","54,5","30,7",,,
04/01/2014 18.00,"1,6","30,9","45,4","0,8","36,9","30,7",,,
04/01/2014 19.00,"2,1","34,7","50,1","0,8","31,2","30,7",,,
04/01/2014 20.00,"1,9","25,2","35,9","0,7","45,8","30,7",,,
04/01/2014 21.00,"2,4","23,7","34,7","0,6","46,9","30,7",,,
04/01/2014 22.00,"1,9","15,4","23,4","0,5","57,8","30,7",,,
04/01/2014 23.00,"1,7","11,9","18,4","0,5","62,0","30,7",,,
05/01/2014 0.00,"1,7","9,0","15,1","0,4","67,6","30,7",,,
05/01/2014 1.00,"1,4","7,5","12,8","0,4","72,8","6,8",,,
05/01/2014 2.00,"1,5","6,4","11,4","0,4","75,8","6,8",,,
05/01/2014 3.00,"1,5","5,9","10,7","0,4","76,9","6,8",,,
05/01/2014 4.00,"1,0","4,8","9,4","0,4","77,6","6,8",,,
05/01/2014 5.00,"1,1","5,2","9,7","0,3","78,5","6,8",,,
05/01/2014 6.00,"1,2","4,9","10,0","0,3","78,2","6,8",,,
05/01/2014 7.00,"1,3","4,5","9,2","0,3","79,0","6,8",,,
05/01/2014 8.00,"1,4","5,9","11,6","0,4","82,4","6,8",,,
