,TA - v.Alto Adige,,,,,,,
Parm,SO2,NOX,NO2,PM10,PM2.5,BENZENE,CO,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K,mg/m3 293K,ng/m3 293K
04/01/2014 11.00,"0,6",,,"23,4","14,7","2,2","0,6",
04/01/2014 12.00,"0,6",,,"23,4","14,7","1,2","0,4",
04/01/2014 13.00,"0,7",,,"23,4","14,7","1,3","0,4",
04/01/2014 14.00,"0,5",,,"23,4","14,7","1,1","0,4",
04/01/2014 15.00,"0,4",,,"23,4","14,7","0,9","0,3",
04/01/2014 16.00,"0,6",,,"23,4","14,7","0,7","0,3",
04/01/2014 17.00,"0,8",,,"23,4","14,7","0,7","0,7",
04/01/2014 18.00,"1,1",,,"23,4","14,7","2,3","1,7",
04/01/2014 19.00,"1,1",,,"23,4","14,7","4,3","2,0",
04/01/2014 20.00,"1,3",,,"23,4","14,7","4,6","1,3",
04/01/2014 21.00,"1,2",,,"23,4","14,7","4,6","2,2",
04/01/2014 22.00,"0,4",,,"23,4","14,7","2,9","0,5",
04/01/2014 23.00,"0,4",,,"23,4","14,7","1,4","0,6",
05/01/2014 0.00,"0,3",,,"23,4","14,7","1,4","0,4",
05/01/2014 1.00,"0,1",,,"18,6","9,2","0,9","0,3",
05/01/2014 2.00,"0,3",,,"18,6","9,2","0,7","0,3",
05/01/2014 3.00,"0,1",,,"18,6","9,2","0,7","0,2",
05/01/2014 4.00,"0,1",,,"18,6","9,2","0,6","0,2",
05/01/2014 5.00,"0,1",,,"18,6","9,2","0,6","0,2",
05/01/2014 6.00,"0,1",,,"18,6","9,2","0,6","0,2",
05/01/2014 7.00,"0,1",,,"18,6","9,2","0,5","0,2",
05/01/2014 8.00,"0,1",,,"18,6","9,2","0,6","0,3",
05/01/2014 9.00,"0,1",,,"18,6","9,2","0,6","0,2",
05/01/2014 10.00,"0,1",,,"18,6","9,2","0,7","0,3",
05/01/2014 11.00,"0,1",,,"18,6","9,2","0,6","0,3",
05/01/2014 12.00,"0,1",,,"18,6","9,2","0,6","0,3",
05/01/2014 13.00,"0,1",,,"18,6","9,2","0,6","0,3",
05/01/2014 14.00,"0,1",,,"18,6","9,2","0,7","0,3",
05/01/2014 15.00,"0,2",,,"18,6","9,2","0,6","0,2",
05/01/2014 16.00,,,,"18,6","9,2","0,6","0,3",
05/01/2014 17.00,,,,"18,6","9,2","0,6","0,3",
05/01/2014 18.00,"0,1",,,"18,6","9,2","0,7","0,6",
05/01/2014 19.00,"0,1",,,"18,6","9,2","1,0","0,5",
05/01/2014 20.00,,,,"18,6","9,2","0,9","0,6",
05/01/2014 21.00,"0,2",,,"18,6","9,2","2,0","1,1",
05/01/2014 22.00,"0,3",,,"18,6","9,2","2,1","1,5",
05/01/2014 23.00,"0,3",,,"18,6","9,2","2,5","1,0",
06/01/2014 0.00,"0,2",,,"18,6","9,2","2,0","0,8",
06/01/2014 1.00,,,,"11,4","8,5","1,7","0,5",
06/01/2014 2.00,"1,0",,,"11,4","8,5","0,8","0,3",
06/01/2014 3.00,"0,8",,,"11,4","8,5","0,6",,
06/01/2014 4.00,"0,8",,,"11,4","8,5","0,5","0,2",
06/01/2014 5.00,"0,6",,,"11,4","8,5","0,7","0,3",
06/01/2014 6.00,"0,8",,,"11,4","8,5","0,6","0,3",
06/01/2014 7.00,"0,9",,,"11,4","8,5","0,6","0,3",
06/01/2014 8.00,"0,8",,,"11,4","8,5","0,7","0,4",
06/01/2014 9.00,"1,1",,,"11,4","8,5","0,8","0,3",
06/01/2014 10.00,"1,1",,,"11,4","8,5","0,8","0,5",
06/01/2014 11.00,"1,0",,,"11,4","8,5","1,4","0,5",
06/01/2014 12.00,"1,1",,,"11,4","8,5","1,3","0,5",
06/01/2014 13.00,"1,2",,,"11,4","8,5","0,8","0,4",
06/01/2014 14.00,"1,0",,,"11,4","8,5","1,2","0,4",
06/01/2014 15.00,"0,7",,,"11,4","8,5","0,7","0,3",
06/01/2014 16.00,"1,1",,,"11,4","8,5","0,5","0,3",
06/01/2014 17.00,"1,4",,,"11,4","8,5","0,8","0,4",
