,TA - v.Alto Adige,,,,,,,
Parm,SO2,NOX,NO2,PM10,PM2.5,BENZENE,CO,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K,mg/m3 293K,ng/m3 293K
18/02/2014 0.00,"2,1","20,2","17,2","29,8","13,1","0,4","0,2",
18/02/2014 1.00,"2,3","13,6","11,1","25,9","9,9","0,4","0,2",
18/02/2014 2.00,"2,4","7,1","5,4","25,9","9,9","0,3","0,2",
18/02/2014 3.00,"2,5","5,0","3,5","25,9","9,9","0,3","0,2",
18/02/2014 4.00,"2,3","5,2","3,9","25,9","9,9","0,4","0,2",
18/02/2014 5.00,"2,1","5,9","4,5","25,9","9,9","0,4","0,2",
18/02/2014 6.00,"2,3","7,6","5,9","25,9","9,9","0,4","0,2",
18/02/2014 7.00,"0,9","17,8","15,1","25,9","9,9","0,4","0,2",
18/02/2014 8.00,"1,5","33,2","26,6","25,9","9,9","0,5","0,3",
18/02/2014 9.00,"2,0","79,0","48,3","25,9","9,9","1,1","0,6",
18/02/2014 10.00,"2,5","50,0","33,4","25,9","9,9","1,3","0,4",
18/02/2014 11.00,"2,5","26,5","18,9","25,9","9,9","0,6","0,3",
18/02/2014 12.00,"2,7","33,0","21,5","25,9","9,9","0,6","0,3",
18/02/2014 13.00,"2,6","33,0","21,8","25,9","9,9","0,7","0,3",
18/02/2014 14.00,"2,8","37,8","26,3","25,9","9,9","1,2","0,3",
18/02/2014 15.00,"2,4","18,8","13,8","25,9","9,9","0,6","0,3",
18/02/2014 16.00,"2,6","17,5","13,1","25,9","9,9","0,4","0,2",
18/02/2014 17.00,"2,9","27,5","20,0","25,9","9,9","0,4","0,3",
18/02/2014 18.00,"2,8","33,0","26,2","25,9","9,9","0,6","0,4",
18/02/2014 19.00,"2,6","41,6","33,8","25,9","9,9","0,8","0,4",
18/02/2014 20.00,"2,3","39,7","32,2","25,9","9,9","0,7","0,4",
18/02/2014 21.00,"2,5","38,7","29,6","25,9","9,9","1,0","0,4",
18/02/2014 22.00,"2,6","18,1","14,5","25,9","9,9","0,5","0,3",
18/02/2014 23.00,"2,7","9,8","7,5","25,9","9,9","0,5","0,2",
19/02/2014 0.00,"2,6","8,0","6,1","25,9","9,9","0,4","0,2",
19/02/2014 1.00,,"5,8","4,4","31,4","9,3","0,3","0,2",
19/02/2014 2.00,"2,2",,,"31,4","9,3","0,3","0,2",
19/02/2014 3.00,"1,5","7,7","6,4","31,4","9,3","0,3",,
19/02/2014 4.00,"2,0","5,8","4,4","31,4","9,3","0,3","0,2",
19/02/2014 5.00,"1,9","4,4","3,2","31,4","9,3","0,4","0,2",
19/02/2014 6.00,"1,7","5,6","4,3","31,4","9,3","0,3","0,2",
19/02/2014 7.00,"1,4","12,6","10,0","31,4","9,3","0,3","0,2",
19/02/2014 8.00,"2,4","28,8","21,5","31,4","9,3","0,4","0,3",
19/02/2014 9.00,"1,7","36,2","24,9","31,4","9,3","0,8","0,3",
19/02/2014 10.00,"2,7","30,4","20,8","31,4","9,3","0,8","0,3",
19/02/2014 11.00,"2,4","28,9","20,7","31,4","9,3","0,6","0,3",
19/02/2014 12.00,"2,8","23,0","16,2","31,4","9,3","0,6","0,3",
19/02/2014 13.00,"2,9","27,1","18,6","31,4","9,3","0,6","0,3",
19/02/2014 14.00,"2,5","22,9","16,6","31,4","9,3","0,8","0,3",
19/02/2014 15.00,"2,7","14,8","11,3","31,4","9,3","0,5","0,2",
19/02/2014 16.00,"2,1","15,0","11,1","31,4","9,3","0,4","0,2",
19/02/2014 17.00,"2,0","18,7","13,8","31,4","9,3","0,5","0,3",
19/02/2014 18.00,"2,4","22,4","15,8","31,4","9,3","0,6","0,3",
19/02/2014 19.00,"2,0","25,7","18,2","31,4","9,3","0,6","0,3",
19/02/2014 20.00,"1,6","24,6","18,0","31,4","9,3","0,5","0,3",
19/02/2014 21.00,"1,8","24,1","18,6","31,4","9,3","0,6","0,3",
19/02/2014 22.00,"2,1","15,5","11,9","31,4","9,3","0,5","0,2",
19/02/2014 23.00,"2,4","8,0","6,0","31,4","9,3","0,4","0,2",
20/02/2014 0.00,"2,3","6,2","4,3","31,4","9,3","0,3","0,2",
20/02/2014 1.00,"2,2","5,8","3,8","33,2","9,3","0,3","0,2",
20/02/2014 2.00,"2,0","4,4","2,7","33,2","9,3","0,3","0,2",
20/02/2014 3.00,"2,1","2,9","1,9","33,2","9,3","0,3","0,2",
20/02/2014 4.00,"2,4","3,7","2,2","33,2","9,3","0,3","0,2",
20/02/2014 5.00,"2,3","3,3","2,1","33,2","9,3","0,3","0,2",
20/02/2014 6.00,"2,3","5,0","3,5","33,2","9,3","0,3","0,2",
20/02/2014 7.00,"2,3","12,0","9,8","33,2","9,3","0,3","0,2",
20/02/2014 8.00,"2,2","33,7","23,1","33,2","9,3","0,4","0,3",
20/02/2014 9.00,"0,4","37,8","24,6","33,2","9,3","0,8","0,3",
20/02/2014 10.00,"0,7","20,0","14,4","33,2","9,3","0,7","0,2",
20/02/2014 11.00,"0,4","22,0","14,7","33,2","9,3","0,5","0,2",
20/02/2014 12.00,"0,8","22,6","14,8","33,2","9,3","0,5","0,2",
20/02/2014 13.00,"0,8","24,4","15,8","33,2","9,3","0,5","0,3",
20/02/2014 14.00,"1,7","22,9","16,4","33,2","9,3","0,6","0,3",
20/02/2014 15.00,"1,9","15,5","11,3","33,2","9,3","0,5","0,2",
20/02/2014 16.00,"0,5","19,4","13,5","33,2","9,3","0,4","0,2",
20/02/2014 17.00,"0,2","26,3","18,4","33,2","9,3","0,5","0,3",
20/02/2014 18.00,"0,4","28,6","22,7","33,2","9,3","0,5","0,3",
20/02/2014 19.00,"0,3","45,7","33,1","33,2","9,3","0,7","0,4",
20/02/2014 20.00,"0,2","27,5","21,2","33,2","9,3","0,6","0,3",
20/02/2014 21.00,"0,4","26,3","21,0","33,2","9,3","0,6","0,3",
20/02/2014 22.00,"0,3","18,2","15,2","33,2","9,3","0,5","0,2",
20/02/2014 23.00,"0,7","14,6","11,9","33,2","9,3","0,3","0,2",
21/02/2014 0.00,"1,0","12,0","9,5","33,2","9,3","0,4","0,2",
21/02/2014 1.00,,"10,6","8,0","25,8","11,7","0,3","0,2",
21/02/2014 2.00,"0,3",,,"25,8","11,7","0,3","0,2",
21/02/2014 3.00,"0,4","7,9","6,3","25,8","11,7","0,2",,
21/02/2014 4.00,"0,4","6,0","4,5","25,8","11,7","0,3","0,2",
21/02/2014 5.00,"0,4","5,3","4,1","25,8","11,7","0,4","0,2",
21/02/2014 6.00,"0,1","10,2","7,9","25,8","11,7","0,3","0,2",
21/02/2014 7.00,"0,2","29,0","23,4","25,8","11,7","0,4","0,3",
21/02/2014 8.00,"0,4","65,0","44,2","25,8","11,7","0,8","0,4",
21/02/2014 9.00,"0,6","67,0","47,4","25,8","11,7","1,3","0,5",
21/02/2014 10.00,"1,4","45,3","30,5","25,8","11,7","1,1","0,3",
21/02/2014 11.00,"1,2","34,7","24,4","25,8","11,7","0,9","0,3",
21/02/2014 12.00,"1,5","33,9","23,4","25,8","11,7","0,8","0,3",
21/02/2014 13.00,"0,6","38,3","25,3","25,8","11,7","0,9","0,4",
21/02/2014 14.00,"1,0","32,5","22,7","25,8","11,7","1,0","0,3",
21/02/2014 15.00,"1,3","28,6","21,6","25,8","11,7","0,7","0,3",
21/02/2014 16.00,"2,1",,,"25,8","11,7","0,8","0,3",
21/02/2014 17.00,"2,8","76,0","56,9","25,8","11,7","1,0","0,4","47,06903076"
21/02/2014 18.00,"3,0","64,0","50,2","25,8","11,7","1,0","0,4","33,03345108"
21/02/2014 19.00,"3,3","74,2","53,2","25,8","11,7","1,2","0,4","39,02783966"
21/02/2014 20.00,"3,3","70,3","57,6","25,8","11,7","1,2","0,4","52,55408096"
21/02/2014 21.00,"2,0","74,5","52,5","25,8","11,7","1,6","0,4","32,57685089"
21/02/2014 22.00,"1,6","64,8","52,3","25,8","11,7","1,1","0,3","29,97599983"
21/02/2014 23.00,"0,3","39,9","31,6","25,8","11,7","0,9","0,3","13,15919018"
22/02/2014 0.00,"0,6","50,5","41,2","25,8","11,7","0,8","0,3","13,87125969"
22/02/2014 1.00,"1,2","50,8","42,2","27,0","11,7","1,0","0,2","10,63255024"
22/02/2014 2.00,"2,1","46,2","35,9","27,0","11,7","0,9","0,2","10,22992039"
22/02/2014 3.00,"0,9","36,6","32,9","27,0","11,7","1,1","0,3","4,65945387"
22/02/2014 4.00,"0,7","35,7","30,3","27,0","11,7","1,1","0,3","6,42860985"
22/02/2014 5.00,"1,6","32,6","27,0","27,0","11,7","1,0","0,3","5,72670889"
22/02/2014 6.00,"2,2","40,2","28,7","27,0","11,7","0,8","0,3","9,72628975"
22/02/2014 7.00,"1,4","77,8","36,4","27,0","11,7","0,8","0,3","34,60359955"
22/02/2014 8.00,"1,2","96,9","43,4","27,0","11,7","1,1","0,4","46,33628082"
22/02/2014 9.00,"1,6","92,6","47,0","27,0","11,7","1,2","0,5","39,96868134"
22/02/2014 10.00,"1,9","64,0","35,7","27,0","11,7","1,4","0,4","23,65212059"
22/02/2014 11.00,"3,3","34,9","22,4","27,0","11,7","0,9","0,3","16,67954063"
22/02/2014 12.00,"2,9","35,4","22,4","27,0","11,7","0,9","0,3","18,35379982"
22/02/2014 13.00,"2,9","34,1","22,1","27,0","11,7","0,9","0,3","15,28557014"
22/02/2014 14.00,"2,7","22,3","15,6","27,0","11,7","0,8","0,2","11,18330002"
22/02/2014 15.00,"4,3","16,7","12,1","27,0","11,7","0,5","0,2","8,04254246"
22/02/2014 16.00,"3,7","15,9","12,2","27,0","11,7","0,4","0,2","4,97803783"
22/02/2014 17.00,"3,6","20,4","16,9","27,0","11,7","0,5","0,2","7,42435408"
22/02/2014 18.00,"3,7","40,0","33,2","27,0","11,7","0,7","0,3","18,17959976"
22/02/2014 19.00,"4,4","67,9","50,4","27,0","11,7","1,3","0,5","40,30218124"
22/02/2014 20.00,"5,0","120,6","68,0","27,0","11,7","1,8","0,6","77,83878326"
22/02/2014 21.00,"4,6","75,4","55,7","27,0","11,7","1,6","0,4","40,01612091"
22/02/2014 22.00,"4,3","73,2","58,0","27,0","11,7","1,3","0,4","35,40819168"
22/02/2014 23.00,"4,2","65,5","52,6","27,0","11,7","1,6","0,4","21,92667961"
23/02/2014 0.00,"4,6","52,2","42,2","27,0","11,7","1,2","0,3","16,08168983"
23/02/2014 1.00,,"34,0","29,8","13,6","7,9","1,0","0,2","9,94218063"
23/02/2014 2.00,"4,9",,,"13,6","7,9","0,7","0,2","5,08479691"
23/02/2014 3.00,"4,1","36,6","33,5","13,6","7,9","0,6",,"4,86241722"
23/02/2014 4.00,"4,3","29,9","27,4","13,6","7,9","0,8","0,2","0,88966203"
23/02/2014 5.00,"4,4","24,6","22,2","13,6","7,9","0,9","0,3","1,32585001"
23/02/2014 6.00,"4,5","28,5","25,6","13,6","7,9","0,8","0,3","4,78112602"
23/02/2014 7.00,"5,0","26,5","23,7","13,6","7,9","0,9","0,3","1,73356903"
23/02/2014 8.00,"4,9","22,3","18,9","13,6","7,9","0,8","0,4","2,38429308"
23/02/2014 9.00,"4,7","19,3","14,6","13,6","7,9","0,6","0,2","6,67093706"
23/02/2014 10.00,"5,2","18,3","13,3","13,6","7,9","0,6","0,2","5,94327879"
23/02/2014 11.00,"5,3","22,4","16,5","13,6","7,9","0,7","0,3","12,82094955"
23/02/2014 12.00,"5,3","30,0","22,0","13,6","7,9","1,0","0,3","14,20746994"
23/02/2014 13.00,"5,4","55,4","38,6","13,6","7,9","1,0","0,3","30,65789986"
23/02/2014 14.00,"5,4","40,8","33,2","13,6","7,9","0,9","0,3","27,89163971"
23/02/2014 15.00,"4,8","18,8","14,8","13,6","7,9","0,7","0,2","3,70200896"
23/02/2014 16.00,"4,3","13,3","10,9","13,6","7,9","0,5","0,2","5,19426823"
23/02/2014 17.00,"4,8","25,5","21,0","13,6","7,9","0,5","0,2","17,73426056"
23/02/2014 18.00,"4,7","31,9","25,6","13,6","7,9","0,6","0,4","19,99484062"
23/02/2014 19.00,"4,5","28,1","24,0","13,6","7,9","1,1","0,3","12,30817032"
23/02/2014 20.00,"5,2","34,6","29,4","13,6","7,9","0,8","0,5","6,90987492"
23/02/2014 21.00,"5,2","50,1","42,9","13,6","7,9","1,2","0,5","9,35754585"
23/02/2014 22.00,"5,3","31,3","27,5","13,6","7,9","1,2","0,3","6,58281803"
23/02/2014 23.00,"5,4","21,1","18,2","13,6","7,9","0,9","0,2","4,92957306"
24/02/2014 0.00,"5,1","22,2","19,1","13,6","7,9","0,8","0,2","3,58982706"
24/02/2014 1.00,"5,5","21,3","18,6","14,8","8,5","0,8","0,5","2,30634189"
24/02/2014 2.00,"5,6","18,9","17,0","14,8","8,5","1,0","0,4","1,89557195"
24/02/2014 3.00,"5,1","34,5","32,2","14,8","8,5","0,9","0,6","0,97608602"
24/02/2014 4.00,"5,9","24,6","22,6","14,8","8,5","1,7","0,5","0,65919697"
24/02/2014 5.00,"5,9","28,8","26,0","14,8","8,5","0,7","0,4","1,16283"
24/02/2014 6.00,"5,9","28,2","24,4","14,8","8,5","1,0","0,5","3,26073694"
24/02/2014 7.00,"6,1","37,6","29,7","14,8","8,5","0,9","0,3","7,01527786"
24/02/2014 8.00,"6,3","57,0","37,4","14,8","8,5","1,2","0,4","20,33918953"
24/02/2014 9.00,"6,3","84,0","47,3","14,8","8,5","1,8","0,5","26,72306061"
24/02/2014 10.00,,"60,4","37,0","14,8","8,5","1,6","0,4","17,63529015"
24/02/2014 11.00,"6,5","49,6","30,5","14,8","8,5","1,4","0,4","16,12371063"
24/02/2014 12.00,"6,7","48,4","30,3","14,8","8,5","1,2","0,4","16,24333954"
24/02/2014 13.00,"7,4","39,4","26,1","14,8","8,5","1,0","0,4","13,33440971"
24/02/2014 14.00,"7,7","46,6","29,3","14,8","8,5","1,0","0,5","20,41443062"
24/02/2014 15.00,"7,6","41,1","28,5","14,8","8,5","1,0","0,3","12,74876022"
24/02/2014 16.00,"6,5","47,8","34,2","14,8","8,5","0,9","0,3","17,77696037"
24/02/2014 17.00,"6,5","46,7","34,0","14,8","8,5","1,0","0,3","29,63166046"
24/02/2014 18.00,"5,8","54,8","43,8","14,8","8,5","1,1","0,4","28,40340996"
24/02/2014 19.00,"6,0","67,2","52,2","14,8","8,5","1,3","0,4","28,59795952"
24/02/2014 20.00,"6,3","53,5","39,9","14,8","8,5","1,3","0,4","26,47360992"
24/02/2014 21.00,"6,5","55,5","44,8","14,8","8,5","1,4","0,6","23,41996002"
24/02/2014 22.00,"6,0","47,4","41,1","14,8","8,5","1,6","0,3","8,77968884"
24/02/2014 23.00,"6,5","37,6","32,9","14,8","8,5","1,6","0,3","6,44047213"
25/02/2014 0.00,"6,6","28,7","23,8","14,8","8,5","1,4","0,3","8,79290676"
25/02/2014 1.00,,"30,8","26,9","23,0","15,7","1,2","0,3","5,20647001"
25/02/2014 2.00,"5,5",,,"23,0","15,7","1,2","0,3","3,15499401"
25/02/2014 3.00,"5,5","39,2","35,4","23,0","15,7","1,2",,"2,26723695"
25/02/2014 4.00,"6,1","27,7","25,2","23,0","15,7","1,1","0,3","4,97973299"
25/02/2014 5.00,"6,3","29,1","26,1","23,0","15,7","1,4","0,3","4,24224615"
25/02/2014 6.00,"6,6","31,3","27,3","23,0","15,7","1,3","0,3","5,54538822"
25/02/2014 7.00,"6,1","44,6","36,4","23,0","15,7","1,3","0,4","12,82501984"
25/02/2014 8.00,"6,7","83,2","52,2","23,0","15,7","1,6","0,5","31,50111961"
25/02/2014 9.00,"6,4","79,9","46,3","23,0","15,7","2,1","0,5","25,43515968"
25/02/2014 10.00,"6,4","53,3","32,3","23,0","15,7","1,8","0,4","17,12014008"
25/02/2014 11.00,"6,7","74,8","42,9","23,0","15,7","1,6","0,6","24,11271095"
25/02/2014 12.00,"6,9","45,2","28,2","23,0","15,7","1,7","0,4","14,16238976"
25/02/2014 13.00,"6,7","46,4","31,1","23,0","15,7","1,3","0,4","17,95149994"
25/02/2014 14.00,"6,8","65,1","42,2","23,0","15,7","1,7","0,6","31,67941093"
25/02/2014 15.00,"6,7","33,9","25,0","23,0","15,7","1,5","0,3","9,36940765"
25/02/2014 16.00,"6,7","28,4","20,4","23,0","15,7","1,0","0,3","14,16238976"
25/02/2014 17.00,"6,7","49,4","37,1","23,0","15,7","1,2","0,4","21,75451088"
25/02/2014 18.00,"6,3","63,2","47,3","23,0","15,7","1,3","0,5","30,79821968"
25/02/2014 19.00,"6,2","67,7","54,7","23,0","15,7","1,7","0,6","35,57833099"
25/02/2014 20.00,"6,2","84,2","66,1","23,0","15,7","1,9","0,6","41,51144028"
25/02/2014 21.00,"5,9","101,1","71,7","23,0","15,7","2,2","0,7","41,86256027"
25/02/2014 22.00,"5,8","73,3","60,0","23,0","15,7","2,1","0,6","34,71273041"
25/02/2014 23.00,"5,8","51,4","43,7","23,0","15,7","1,9","0,5","17,63190079"
26/02/2014 0.00,"5,6","61,2","41,4","23,0","15,7","1,7","0,5","14,30982018"
26/02/2014 1.00,"5,1","36,5","31,8","24,3","18,6","1,6","0,4","8,89051533"
26/02/2014 2.00,"5,5","24,7","21,8","24,3","18,6","1,4","0,4","5,50471783"
26/02/2014 3.00,"5,9","26,5","21,4","24,3","18,6","1,3","0,3","4,76248598"
26/02/2014 4.00,"4,9","18,2","15,2","24,3","18,6","1,1","0,3","8,27537823"
26/02/2014 5.00,"5,4","66,5","52,0","24,3","18,6","1,1","0,4","6,38997412"
26/02/2014 6.00,"5,4","59,2","48,8","24,3","18,6","1,0","0,3","4,3347702"
26/02/2014 7.00,"6,3","69,3","49,8","24,3","18,6","1,2","0,5","31,28897095"
26/02/2014 8.00,"6,0","113,7","52,8","24,3","18,6","1,7","0,6","61,95975113"
26/02/2014 9.00,"5,7","122,9","59,2","24,3","18,6","2,3","0,7","49,24420166"
26/02/2014 10.00,"5,8","58,2","35,3","24,3","18,6","1,9","0,5","21,08481026"
26/02/2014 11.00,"6,3","43,3","27,7","24,3","18,6","1,6","0,4","21,06818962"
26/02/2014 12.00,"5,9","30,1","20,3","24,3","18,6","1,3","0,3","14,06579971"
26/02/2014 13.00,"5,9","30,9","21,3","24,3","18,6","1,0","0,4","14,67212963"
26/02/2014 14.00,"5,8","31,4","21,6","24,3","18,6","1,1","0,3","14,21119976"
26/02/2014 15.00,"6,1","22,9","16,7","24,3","18,6","1,0","0,3","8,065588"
26/02/2014 16.00,"5,9","18,7","14,4","24,3","18,6","0,8","0,3","7,24506521"
26/02/2014 17.00,"5,6","28,9","22,6","24,3","18,6","0,9","0,3","13,6719799"
26/02/2014 18.00,"4,4","53,1","39,9","24,3","18,6","1,1","0,5","27,73032951"
26/02/2014 19.00,"4,8","85,3","69,6","24,3","18,6","1,7","0,6","40,60924149"
26/02/2014 20.00,"5,8","113,9","87,3","24,3","18,6","2,0","0,7","51,06013107"
26/02/2014 21.00,"5,9","116,9","75,8","24,3","18,6","2,0","0,7","63,21511078"
26/02/2014 22.00,"5,0","83,1","59,7","24,3","18,6","2,8","0,7","35,08892059"
26/02/2014 23.00,"4,4","50,2","40,8","24,3","18,6","2,3","0,5","23,76021957"
27/02/2014 0.00,"4,2","52,9","42,5","24,3","18,6","1,8","0,5","18,0440197"
27/02/2014 1.00,,"30,1","25,0","22,0","14,8","1,5","0,4","14,21018028"
27/02/2014 2.00,"4,7",,,"22,0","14,8",,"0,4","4,82687998"
27/02/2014 3.00,"4,5","31,9","29,6","22,0","14,8",,,"6,8118701"
27/02/2014 4.00,"4,7","15,6","13,5","22,0","14,8",,"0,3","1,74848199"
27/02/2014 5.00,"5,2","47,5","33,8","22,0","14,8",,"0,3","2,98316312"
27/02/2014 6.00,"5,0","26,4","23,6","22,0","14,8","0,8","0,3","2,67305207"
27/02/2014 7.00,"4,5","50,8","39,7","22,0","14,8","0,8","0,5","26,89793968"
27/02/2014 8.00,"5,1","120,0","61,7","22,0","14,8","1,6","0,7","66,27081299"
27/02/2014 9.00,"5,6","178,3","83,8","22,0","14,8","2,2","0,8","80,31288147"
27/02/2014 10.00,"5,5","108,7","69,7","22,0","14,8","2,1","0,6","40,90816116"
27/02/2014 11.00,"6,0","79,8","55,7","22,0","14,8","1,7","0,6","18,89402962"
27/02/2014 12.00,"6,5","67,0","46,7","22,0","14,8","1,3","0,4","19,59152985"
27/02/2014 13.00,"6,4","61,5","42,2","22,0","14,8","1,3","0,5","22,66823959"
27/02/2014 14.00,"6,5","37,3","26,7","22,0","14,8","1,3","0,4","15,7217598"
27/02/2014 15.00,"5,9","28,6","21,1","22,0","14,8","1,0","0,3","14,76906013"
27/02/2014 16.00,"6,2","24,6","19,5","22,0","14,8","0,7","0,3","9,36872959"
27/02/2014 17.00,"6,0","32,5","26,7","22,0","14,8","0,8","0,3","14,60671043"
27/02/2014 18.00,"6,2","48,7","38,8","22,0","14,8","1,0","0,4","24,90847969"
27/02/2014 19.00,"5,9","87,7","67,2","22,0","14,8","1,4","0,6","39,11188126"
27/02/2014 20.00,"5,2","90,3","74,0","22,0","14,8","2,1","0,6","42,13708115"
27/02/2014 21.00,"6,0","124,0","94,0","22,0","14,8","1,7","0,7","55,77043152"
27/02/2014 22.00,"6,1","103,0","72,1","22,0","14,8","2,0","0,6","49,53364182"
27/02/2014 23.00,"5,7","50,2","43,3","22,0","14,8","1,4","0,4","21,14310074"
28/02/2014 0.00,"5,9","44,4","40,2","22,0","14,8","1,1","0,4","10,64780045"
28/02/2014 1.00,"6,0","43,5","33,2","15,8","9,8","1,2","0,4","10,94435978"
28/02/2014 2.00,"5,7","28,4","22,6","15,8","9,8","1,4","0,3","10,02318001"
28/02/2014 3.00,"5,7","26,0","23,0","15,8","9,8","0,9","0,4","1,82168806"
28/02/2014 4.00,"5,9","35,1","32,2","15,8","9,8","1,2","0,5","1,96335602"
28/02/2014 5.00,"5,9","25,9","22,4","15,8","9,8","1,1","0,4","2,5554471"
28/02/2014 6.00,"5,8","43,4","35,7","15,8","9,8","0,8","0,4","7,61889315"
28/02/2014 7.00,"6,1","127,1","58,6","15,8","9,8","1,1","0,7","65,05747986"
28/02/2014 8.00,"6,5","144,7","59,3","15,8","9,8","1,8","0,7","71,6230011"
28/02/2014 9.00,"5,9","121,1","65,1","15,8","9,8","1,9","0,7","57,71852112"
28/02/2014 10.00,"6,0","63,1","40,5","15,8","9,8","2,0","0,4","22,9224205"
28/02/2014 11.00,"6,1","43,5","28,8","15,8","9,8","1,2","0,4","21,87854958"
28/02/2014 12.00,"6,1","43,1","29,1","15,8","9,8","1,1","0,4","17,84745979"
28/02/2014 13.00,"6,3","43,7","29,5","15,8","9,8","1,1","0,4","23,53993034"
28/02/2014 14.00,"6,3","32,6","22,8","15,8","9,8","1,0","0,3","15,04528046"
28/02/2014 15.00,"5,6","18,2","13,3","15,8","9,8","0,6","0,2","7,0332408"
28/02/2014 16.00,"6,0","18,0","13,5","15,8","9,8","0,5","0,2","10,69592953"
28/02/2014 17.00,"5,6","28,0","21,1","15,8","9,8","0,5","0,3","12,94871998"
28/02/2014 18.00,"6,2","50,3","37,9","15,8","9,8","0,7","0,4","31,89291954"
28/02/2014 19.00,"6,0","63,6","47,4","15,8","9,8","1,0","0,4","36,55577087"
28/02/2014 20.00,"5,8","51,1","37,7","15,8","9,8","1,1","0,3","23,87071991"
28/02/2014 21.00,"5,9","55,2","40,9","15,8","9,8","0,9","0,3","21,16547012"
28/02/2014 22.00,"6,0","31,5","26,2","15,8","9,8","0,8","0,2","12,44779968"
28/02/2014 23.00,"6,0","35,3","29,4","15,8","9,8","0,5","0,2","12,91178036"
01/03/2014 0.00,"5,7","33,2","27,8","15,8","9,8","0,7","0,3","10,44242001"
01/03/2014 1.00,,"12,9","10,5","13,9","6,1","0,5","0,2","2,85437298"
01/03/2014 2.00,"5,6",,,"13,9","6,1","0,4","0,2","2,68593097"
01/03/2014 3.00,"5,7","19,1","17,3","13,9","6,1","0,4",,"1,28851497"
01/03/2014 4.00,"6,1","21,1","17,6","13,9","6,1","0,4","0,2","10,17671013"
01/03/2014 5.00,"6,3","25,1","23,2","13,9","6,1","0,6","0,2","2,05215311"
01/03/2014 6.00,"6,2","56,6","46,3","13,9","6,1","0,5","0,3","15,77497005"
01/03/2014 7.00,"5,4","83,5","59,1","13,9","6,1","0,7","0,4","27,61103058"
01/03/2014 8.00,"6,1","60,6","39,2","13,9","6,1","1,0","0,4","32,81003952"
01/03/2014 9.00,"5,7","26,8","19,7","13,9","6,1","0,6","0,3","13,71331978"
01/03/2014 10.00,"5,9","26,2","18,9","13,9","6,1","0,6","0,3","13,75298023"
01/03/2014 11.00,"5,3","23,6","16,7","13,9","6,1","0,6","0,3","12,90872955"
01/03/2014 12.00,"5,4","25,4","16,9","13,9","6,1","0,6","0,3","10,6389904"
01/03/2014 13.00,"5,6","22,3","15,6","13,9","6,1","0,6","0,2","10,77219009"
01/03/2014 14.00,"6,4","19,6","13,9","13,9","6,1","0,5","0,3","8,57057667"
01/03/2014 15.00,"6,5","13,6","9,7","13,9","6,1","0,4","0,2","3,825037"
01/03/2014 16.00,"6,2","14,1","10,7","13,9","6,1","0,4","0,2","6,82853413"
01/03/2014 17.00,"6,0","15,8","12,3","13,9","6,1","0,5","0,2","6,32998514"
01/03/2014 18.00,"6,5","19,3","15,2","13,9","6,1","0,5","0,2","9,39313221"
01/03/2014 19.00,"6,2","31,1","26,2","13,9","6,1","0,5","0,3","14,03596973"
01/03/2014 20.00,"6,4","31,9","25,1","13,9","6,1","0,7","0,3","11,97332001"
01/03/2014 21.00,"6,2","39,9","31,8","13,9","6,1","0,6","0,3","18,63171005"
01/03/2014 22.00,"6,4","43,9","35,9","13,9","6,1","0,7","0,3","24,80274963"
01/03/2014 23.00,"6,2","57,6","48,3","13,9","6,1","0,8","0,4","26,19231033"
02/03/2014 0.00,"6,3","42,0","34,1","13,9","6,1","0,9","0,4","16,51651955"
02/03/2014 1.00,"6,5","39,0","29,8","11,1","5,8","0,7","0,3","19,96570015"
02/03/2014 2.00,"6,6","58,2","50,0","11,1","5,8","0,9","0,4","18,13891983"
02/03/2014 3.00,"6,4","28,5","24,1","11,1","5,8","0,8","0,3","8,84679508"
02/03/2014 4.00,"6,3","23,6","21,0","11,1","5,8","0,6","0,3","13,5004797"
02/03/2014 5.00,"6,0","31,3","27,0","11,1","5,8","0,6","0,2","9,36703587"
02/03/2014 6.00,"6,2","48,2","38,2","11,1","5,8","0,6","0,3","18,0714798"
02/03/2014 7.00,"6,3","35,5","29,4","11,1","5,8","0,7","0,2","6,1740818"
02/03/2014 8.00,"6,0","69,9","41,8","11,1","5,8","0,6","0,4","27,54528046"
02/03/2014 9.00,"6,3","59,0","35,0","11,1","5,8","1,1","0,4","21,08616066"
02/03/2014 10.00,"6,4","36,4","23,1","11,1","5,8","1,0","0,3","9,6710453"
02/03/2014 11.00,"6,1","25,3","17,4","11,1","5,8","0,8","0,3","12,04483032"
02/03/2014 12.00,"6,4","25,7","17,1","11,1","5,8","0,6","0,3","11,09720993"
02/03/2014 13.00,"6,4","21,2","14,4","11,1","5,8","0,6","0,2","9,30297947"
02/03/2014 14.00,"6,9","16,3","11,3","11,1","5,8","0,5","0,2","7,91781902"
02/03/2014 15.00,"6,3","9,0","6,4","11,1","5,8","0,5","0,2","2,65712309"
02/03/2014 16.00,"6,5","9,2","6,8","11,1","5,8","0,4","0,2","2,88826489"
02/03/2014 17.00,"6,5","15,2","12,1","11,1","5,8","0,4","0,2","5,21460295"
02/03/2014 18.00,"6,4","31,0","25,3","11,1","5,8","0,5","0,3","16,46195984"
02/03/2014 19.00,"6,4","47,3","39,7","11,1","5,8","0,9","0,4","22,06427956"
