,Provincia di TARANTO,,,,
,MANDURIA,,,,
Parm,NOX,NO2,CO,O3,Benzene
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K


01/01/2009 1.00,"349,677266","80,691293","4,512598","11,348841",
01/01/2009 2.00,"465,930106","86,059289","5,270054","3,451639",
01/01/2009 3.00,"347,817459","79,061158","4,32024","0,222075",
01/01/2009 4.00,"253,571348","76,037124","3,041551",,
01/01/2009 5.00,"129,559965","65,181719","1,701694",,
01/01/2009 6.00,"104,608768","63,733285","1,168819",,
01/01/2009 7.00,"120,356649","60,52495","1,253189",,
01/01/2009 8.00,"72,63575","52,838961","1,012456",,
01/01/2009 9.00,"89,849198","59,990223","1,425376","0,262698",
01/01/2009 10.00,"135,676491","73,610101","2,281717","7,958135",
01/01/2009 11.00,"160,861145","81,303898","2,381258","7,760434",
01/01/2009 12.00,"58,968219","36,078233","0,70949","8,467283",
01/01/2009 13.00,"60,296333","35,875753","0,536155","19,825604",
01/01/2009 14.00,"41,381261","29,918535","0,519101","26,531166",
01/01/2009 15.00,"26,829202","22,94377","0,453179","29,400535",
01/01/2009 16.00,"35,99879","27,725128","0,626431","28,303703",
01/01/2009 17.00,"42,922066","33,098326","0,601833","25,147275",
01/01/2009 18.00,"53,881497","37,760278","0,716131","24,344266",
01/01/2009 19.00,"63,606214","43,382667","0,737041","22,87505",
01/01/2009 20.00,"72,778423","46,271717","0,734908","21,587296",
01/01/2009 21.00,"74,394466","49,887598","0,754915","22,746411",
01/01/2009 22.00,"54,755644","40,475434","0,607818","23,921787",
01/01/2009 23.00,"39,80933","30,868569","0,530744","26,387645",
02/01/2009 0.00,"37,594087","29,259221","0,472775","26,903552",
02/01/2009 1.00,"13,916537","12,40765","0,231222","39,232773",
02/01/2009 2.00,,,"0,325433","25,271842",
02/01/2009 3.00,"16,251091","13,853485",,"28,187256",
02/01/2009 4.00,"10,549592","10,042935","0,359759",,
02/01/2009 5.00,"9,766218","9,469275","0,345853","38,011373",
02/01/2009 6.00,"16,515674","14,676338","0,379719","31,881277",
02/01/2009 7.00,"47,822044","35,208656","0,581602","21,12284",
02/01/2009 8.00,"79,673136","55,670897","0,911994","9,64401",
02/01/2009 9.00,"126,122998","70,554923","1,270199","8,342705",
02/01/2009 10.00,"127,360287","63,027262","1,441571","15,890544",
02/01/2009 11.00,"125,881737","60,896145","1,245167","18,56085",
02/01/2009 12.00,"118,094697","64,602884","1,148971","18,426792",
02/01/2009 13.00,"138,664721","71,520522","1,145616","18,57304",
02/01/2009 14.00,"124,522497","68,634069","1,351591","16,426771",
02/01/2009 15.00,"106,045809","65,794325","1,236743","16,581139",
02/01/2009 16.00,"130,950334","74,264222","1,500549","14,502568",
02/01/2009 17.00,"159,23214","80,535543","1,672085","11,711733",
02/01/2009 18.00,"157,385244","72,390113","1,464149","9,662966",
02/01/2009 19.00,"131,702577","60,932493","1,37065","9,48964",
02/01/2009 20.00,"196,618601","78,913205","1,941045","11,102383",
02/01/2009 21.00,"171,369253","81,283111","1,996424","9,795669",
