,Comune Bari,,,,,
,Stadio S.Nicola,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE



03/01/2009 20.00,"1,12427723","10,26940745","0,3457953","46,9884345","5,86080599","0,45563736"
03/01/2009 21.00,"1,0136561","26,65016344","0,50621347","31,5917427",,"0,44087865"
03/01/2009 22.00,"1,20555078","34,80080912","0,47488313","24,4078275","3,41880298","0,58515841"
03/01/2009 23.00,"1,27102016","20,14295824","0,37355376","39,04727715",,"0,54418755"
04/01/2009 0.00,"1,14459587","5,74146067","0,32296014","54,50485635","8,30280876","0,50938377"
04/01/2009 1.00,"1,16942898","4,4922593","0,33420938","54,7748397",,"0,44231059"
04/01/2009 2.00,"1,16039903","4,70478574","0,31963057","53,894127","4,88400507","0,49550681"
04/01/2009 3.00,"1,14233813",,"0,32716113","52,42738305",,"0,51522135"
04/01/2009 4.00,"0,95721667","1,94680796","0,30133308",,"6,34920597","0,40915944"
04/01/2009 5.00,"1,01817057","1,37736656",,"51,2296848",,"0,42402798"
04/01/2009 6.00,"1,04977689","1,07398952","0,28697911","50,91876405","5,86080599","0,43955655"
04/01/2009 7.00,"0,94818571","1,63045226","0,29865707","46,6561872",,"0,31719518"
04/01/2009 8.00,"1,07686774","3,1732986","0,29962169","43,85945655","11,72161007","0,32611631"
04/01/2009 9.00,"0,98882198","4,90108887","0,30044302","43,09940145",,"0,31741485"
04/01/2009 10.00,"1,33649055","6,79598221","0,30821124","41,983977","8,30280876","0,37677918"
04/01/2009 11.00,"1,16491451","6,0740416","0,32341216","42,16330755",,"0,37677918"
04/01/2009 12.00,"1,18974762","8,61138032","0,33566912","41,5529772","11,72161007","0,39649372"
04/01/2009 13.00,"1,1829744","10,43812806","0,33528351","40,02462765",,"0,41620827"
04/01/2009 14.00,"1,16491451","9,9790148","0,33591028","40,85706135","13,18680954","0,43592281"
04/01/2009 15.00,"1,33874829","5,73334997","0,32109614","44,53560195",,"0,37666832"
04/01/2009 16.00,"1,1829744","4,77130231","0,29928384","46,13303835","19,04759979","0,34538947"
04/01/2009 17.00,"1,1942631","7,4384295","0,30507506","44,90575425",,"0,35673411"
04/01/2009 18.00,"1,33197507","10,86480616","0,31757318","42,7539273","11,23320961","0,34935476"
04/01/2009 19.00,"1,16039903","9,85084962","0,31655963","43,76074395",,"0,35706463"
04/01/2009 20.00,"1,25070253","9,86545156","0,31216874","44,0470065","17,58241081","0,37677918"
04/01/2009 21.00,"1,1039596","9,25058295","0,30657092","44,19341955",,"0,36323172"
04/01/2009 22.00,"1,09944412","14,55887238","0,32703065","39,3616293","16,11721039","0,39021578"
04/01/2009 23.00,"1,28005112","10,60361549","0,31110743","44,6737956",,"0,37666832"
05/01/2009 0.00,"1,35680919","5,71712665","0,29894716","49,4315514","12,21000957","0,34252662"
05/01/2009 1.00,"1,1942631","3,36473378","0,28895728","50,28044385",,"0,3518881"
05/01/2009 2.00,"1,07461102","2,36375015","0,26584252","50,0567046","12,21000957","0,34186557"
05/01/2009 3.00,"0,96398888",,"0,2608237","50,3281443",,"0,28206088"
05/01/2009 4.00,"1,05429237","0,39098488","0,26777292",,"11,72161007","0,29318483"
05/01/2009 5.00,"1,11976277","0,58404334",,"44,28770325",,"0,29736978"
05/01/2009 6.00,"1,04752017","3,32579781","0,28361226","39,8846784","11,72161007","0,31719518"
05/01/2009 7.00,"1,23941485","4,96922873","0,29205851","37,83080595",,"0,30056418"
05/01/2009 8.00,"1,1829744","13,09390371","0,32719025","28,74262335","11,23320961","0,35353971"
05/01/2009 9.00,"1,23715711","15,75454158","0,37149171","27,7330137",,"0,50674059"
05/01/2009 10.00,"1,53064297","12,20486578","0,41564754","33,99857055","11,72161007","0,76236863"
05/01/2009 11.00,"1,41099089","13,92616481","0,3797434","37,4711673",,"0,83913382"
05/01/2009 12.00,"2,18308508","15,9135282","0,36574826","42,1513575","22,46640968","0,63813394"
05/01/2009 13.00,"2,51269275","11,47967477","0,3391583","50,6918328",,"0,49396504"
05/01/2009 14.00,"1,93700871","10,19965004","0,31932417","53,76355425","20,02441978","0,34186557"
05/01/2009 15.00,"1,37035462","9,92385551","0,32125458","54,75008175",,"0,3180759"
05/01/2009 16.00,"1,5803102","14,57185294","0,33051982","49,85874075","20,02441978","0,27919701"
05/01/2009 17.00,"1,32294513","35,16422296","0,4002043","27,6785901",,
05/01/2009 18.00,"1,4719458","43,78856664","0,46651144","15,50878088","11,23320961",
05/01/2009 19.00,"1,56450704","40,02311208","0,62701698","14,73013038",,
05/01/2009 20.00,"1,40647541","32,0947364","0,73376477","17,07434715","14,65200996",
05/01/2009 21.00,"1,45388489","28,36172848","0,80301586","16,77575151",,"1,27219276"
05/01/2009 22.00,"1,48097574","23,64883968","0,63469084","21,7297794","24,90842056","1,43101053"
05/01/2009 23.00,"1,44259721","15,83241925","0,5635105","26,96096865",,"1,09784642"
06/01/2009 0.00,"1,24618705","9,90276424","0,45425331","32,3604162","41,5140419","0,81953013"
06/01/2009 1.00,"1,29359654","7,15938649","0,36946461","37,28641035",,"0,58295559"
06/01/2009 2.00,"1,32068739","4,61231186","0,33317369","39,05158635","32,72283173","0,43438002"
06/01/2009 3.00,"1,07912548",,"0,32226696","40,5676467",,"0,36036887"
06/01/2009 4.00,"0,92109487","2,31508019","0,30692275",,"22,46640968","0,35673411"
06/01/2009 5.00,"1,18748988","1,1210381",,"46,8759564",,"0,29847119"
06/01/2009 6.00,"1,10170186","0,29526634","0,23586241","47,74332255","16,11721039","0,25783086"
06/01/2009 7.00,"0,98430752","0,88904176","0,24401391","47,3963721",,"0,21884213"
06/01/2009 8.00,"1,34326377","2,77744577","0,28486697","44,43740805","15,14041042","0,21752105"
06/01/2009 9.00,"1,26311909","5,32776506","0,30879141","41,10009225",,"0,2965989"
06/01/2009 10.00,"1,23038389","6,60130237","0,35683251","45,1907799","11,72161007","0,53416501"
06/01/2009 11.00,"1,32971733","6,05943966","0,3357064","56,5293624",,"0,71313769"
06/01/2009 12.00,"1,6051433","6,07242022","0,32142933","61,3684743","17,58241081","0,49594717"
06/01/2009 13.00,"1,24392931","5,65061008","0,30608977","62,4142533",,"0,49297346"
06/01/2009 14.00,"1,6051433","6,54451979","0,29842174","62,1053076","21,0012207","0,31587308"
06/01/2009 15.00,"1,39292998","3,70542541","0,28375905","64,33238595",,"0,21818108"
06/01/2009 16.00,"1,39067224","4,48576997","0,290318","63,4782267","17,58241081","0,19846653"
06/01/2009 17.00,"1,13782265","18,15235974","0,35176826","41,9658225",,"0,26003368"
06/01/2009 18.00,"1,31391518","35,14473968","0,45913582","23,06872365","9,27960968","0,34803266"
06/01/2009 19.00,"1,48549122","49,59169696","0,65766464","13,44670499",,"0,51929647"
06/01/2009 20.00,"1,47646128","40,8878332","0,78963234","11,63596718","12,69841003","1,23177311"
06/01/2009 21.00,"1,50580986","42,63995176","0,99033272","11,78300466",,"1,10258258"
06/01/2009 22.00,"1,42002083","33,47372816","0,67999769","14,5470213","19,53602028","1,61714289"
06/01/2009 23.00,"1,21232299","18,21401027","0,49468463","25,83770385",,"0,8197498"
07/01/2009 0.00,"1,46065811","10,51438627","0,40935887","31,44999795","36,63003159","0,59044478"
07/01/2009 1.00,"1,25812562","10,67114542","0,44706176","32,80093215",,"0,61434122"
07/01/2009 2.00,"1,41550637","7,60553066","0,41712476","29,91185295","31,74603081","0,59099497"
07/01/2009 3.00,"1,35906693",,"0,38119033","32,06457765",,"0,54760162"
07/01/2009 4.00,"1,43356625","3,5431903","0,38721921",,"32,72283173","0,39649372"
07/01/2009 5.00,"1,52838523","3,67460014",,"40,5899508",,"0,39230775"
07/01/2009 6.00,"1,61643099","4,4289893","0,35546364","37,2174432","23,93161964","0,36124959"
07/01/2009 7.00,"1,49903664","25,08136744","0,44469099","15,19517685",,"0,42611995"
07/01/2009 8.00,"1,7676894","23,12806824","0,42328761","17,59778528","19,53602028","0,62877245"
07/01/2009 9.00,"2,45173784","35,21773984","0,74023634","10,96272051",,"0,73263155"
07/01/2009 10.00,"1,88056826","32,7517952","0,70027335","17,19407109","20,51280975","1,23860125"
07/01/2009 11.00,"1,54193065","34,88841696","0,6753039","21,795774",,"1,36151384"
07/01/2009 12.00,"1,60965878","18,76722644","0,35782626","50,84534805","24,90842056","0,89233004"
07/01/2009 13.00,"1,46968806","2,72553114","0,28291559","61,64887155",,"0,35001581"
07/01/2009 14.00,"1,18636101","3,35986582","0,29843689","60,1456191","24,42000961","0,29736978"
07/01/2009 15.00,"1,44711269","3,76545074","0,29848582","59,5482363",,"0,35673411"
07/01/2009 16.00,"1,45388489","5,11848327","0,32702249","55,81632945","16,60560989","0,25794069"
07/01/2009 17.00,"1,57579472","7,39462558","0,33382027","51,1391118",,"0,34505895"
07/01/2009 18.00,"1,58595353","13,85802304","0,430471","42,20975115","11,23320961","0,47259787"
07/01/2009 19.00,"1,44485495","31,2316596","0,62651953","24,65790075",,"0,84365032"
07/01/2009 20.00,"1,81284115","48,0488468","0,81263993","10,56392001","10,7448101","1,47925091"
07/01/2009 21.00,"1,51709755","36,90984072","0,77007549","11,41895307",,"1,41680304"
07/01/2009 22.00,"1,659325","31,18298008","0,83895961","10,05025539","16,11721039","1,59423395"
07/01/2009 23.00,"1,3884145","20,57124624","0,55136887","21,00968415",,"1,4105251"
08/01/2009 0.00,"1,21232299","20,63128304","0,56158825","20,4139572","27,35042","0,81314235"
08/01/2009 1.00,"1,12653497","24,20205776","0,51087697","19,3981052",,"0,85135918"
08/01/2009 2.00,"1,28908106","28,77057144","0,52418127","12,21489822","30,76922989","0,73340243"
08/01/2009 3.00,"1,33649055",,"0,53256927","12,06063086",,"0,65454425"
08/01/2009 4.00,"1,30488422","30,0376156","0,51063581",,"23,44322014","0,85246059"
08/01/2009 5.00,"1,36132366","16,72307474",,"22,8653733",,"1,15577779"
08/01/2009 6.00,"1,1942631","13,0338803","0,32419853","25,2103362","17,09399986","0,61324286"
