,TARANTO,,,
,S.VITO Colonia Marina,,,
Parm,SO2,NOX,NO2,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3


06/01/2009 0.00,"1,666672","27,772105","23,426589",
06/01/2009 1.00,,"24,717742","23,202043",
06/01/2009 2.00,"0,514728",,,
06/01/2009 3.00,"0,586785",,,
06/01/2009 4.00,"0,520925",,,
06/01/2009 5.00,"0,483256",,,
06/01/2009 6.00,"0,536965",,,
06/01/2009 7.00,,"8,13203","11,04618",
06/01/2009 8.00,"0,462842",,,
06/01/2009 9.00,"0,46345",,,
06/01/2009 10.00,"0,458954","8,652119","9,456297",
06/01/2009 11.00,"1,57371","7,671605","8,153233",
06/01/2009 12.00,"4,10834","5,206056","5,345935",
06/01/2009 13.00,"4,042602","5,482312","4,254425",
06/01/2009 14.00,"3,705162","6,436885","4,759297",
06/01/2009 15.00,"2,990182","6,025744","3,430275",
06/01/2009 16.00,"2,688588","9,19944","6,042893",
06/01/2009 17.00,"2,486269","41,513554","26,27931",
06/01/2009 18.00,"1,992928","35,208963","23,426589",
06/01/2009 19.00,"1,56812","27,814915","17,998888",
06/01/2009 20.00,"1,434457","22,913637","15,827544",
06/01/2009 21.00,"1,469695","21,029131","16,259736",
06/01/2009 22.00,"1,403228","20,850149","16,172777",
06/01/2009 23.00,"1,088267","20,092729","16,960588",
07/01/2009 0.00,"0,926048","16,671313","15,322676",
07/01/2009 1.00,"0,644867","11,000939","12,346649",
07/01/2009 2.00,"0,52214",,,
07/01/2009 3.00,"0,644139",,,
07/01/2009 4.00,"0,435623",,,
07/01/2009 5.00,"0,599665",,,
07/01/2009 6.00,"0,41691","1,778152","5,3057",
07/01/2009 7.00,"0,473413","5,9583","10,490696",
07/01/2009 8.00,"0,689585","42,139981","27,052829",
07/01/2009 9.00,"0,849252","38,000043","26,062547",
07/01/2009 10.00,"0,684238","22,306654","20,611494",
07/01/2009 11.00,"0,707082","12,858208","12,860613",
07/01/2009 12.00,"0,669171","3,1296","4,103871",
07/01/2009 13.00,"0,642195","6,66126","5,391362",
07/01/2009 14.00,"0,67075","6,420025","4,093488",
07/01/2009 15.00,"0,728955","7,024414","5,715828",
07/01/2009 16.00,"0,633325","12,234362","8,463424",
07/01/2009 17.00,"0,84986","36,241328","23,400623",
07/01/2009 18.00,"1,202247","64,527073","35,341044",
07/01/2009 19.00,"1,124356","63,92139","37,195701",
07/01/2009 20.00,"0,837101","31,439932","23,571938",
07/01/2009 21.00,"0,908672","40,481149","25,865287",
07/01/2009 22.00,"0,880116","53,278414","31,852369",
07/01/2009 23.00,"0,555191","30,826488","22,198798",
08/01/2009 0.00,"0,543648","5,910313","5,201871",
08/01/2009 1.00,,"3,150351","3,021445",
08/01/2009 2.00,"0,58578",,,
08/01/2009 3.00,"0,533349","7,32661","5,281042",
08/01/2009 4.00,"0,569508","7,534125","5,072085",
08/01/2009 5.00,"0,518886","10,31484","7,352447",
08/01/2009 6.00,"0,621939","11,982748","7,979319",
08/01/2009 7.00,"0,551429","27,678723","16,118268",
08/01/2009 8.00,"1,216757","111,766762","39,97703",
08/01/2009 9.00,"1,057657","94,999477","33,287824",
08/01/2009 10.00,"0,799119","30,718822","18,009273",
08/01/2009 11.00,"0,724993","30,830368","18,8438",
08/01/2009 12.00,"0,7268","31,393241","21,326619",
08/01/2009 13.00,"0,404984","21,922763","14,659462",
08/01/2009 14.00,"0,365209","23,719066","14,414156",
08/01/2009 15.00,"0,555044","15,898315","9,700297",
08/01/2009 16.00,"0,788272","11,279788","7,040957",
08/01/2009 17.00,"1,142631","29,809648","18,793187",
08/01/2009 18.00,"0,775615","37,439752","33,268339",
08/01/2009 19.00,"1,233029","78,223112","40,916703",
08/01/2009 20.00,"1,40117","55,149938","29,967846",
08/01/2009 21.00,"0,809966","12,635126","8,580231",
08/01/2009 22.00,"0,826238","12,679223","8,490679",
08/01/2009 23.00,"0,748496","15,587042","11,055273",
09/01/2009 0.00,"0,840702","17,631072","13,227908",
09/01/2009 1.00,"0,909404","19,865757","15,914504",
09/01/2009 2.00,"0,866013","16,022824","12,235035",
09/01/2009 3.00,"0,762959","12,332931","8,598404",
09/01/2009 4.00,"0,96726","10,139749","6,490659",
09/01/2009 5.00,"1,007034","9,460134","5,761256",
09/01/2009 6.00,"0,867821","9,133294","5,387467",
09/01/2009 7.00,"0,717761","9,360266","5,614593",
09/01/2009 8.00,"0,96726","12,207125","7,423829",
09/01/2009 9.00,"0,974491","13,262863","7,854723",
09/01/2009 10.00,"0,766576","13,644173","7,680808",
09/01/2009 11.00,"0,696065","11,517134","5,945553",
09/01/2009 12.00,"0,582164","11,083944","5,456253",
09/01/2009 13.00,"0,705105","12,22658","5,177212",
09/01/2009 14.00,"0,582163","12,611781","5,713232",
09/01/2009 15.00,"0,643635","14,886675","7,509489",
09/01/2009 16.00,"0,5677","13,906163","6,325829",
