,,,Provincia di Lecce,,,
,Maglie,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5



01/01/2009 1.00,"2,7","31,7","168,2","1,1","6,0",
01/01/2009 2.00,"2,6","34,7","207,4","1,3","5,5",
01/01/2009 3.00,"1,6","31,7","123,4","0,7","5,7",
01/01/2009 4.00,"1,3","31,5","121,4","0,8","6,1",
01/01/2009 5.00,"1,3","32,8","92,1","0,6","4,9","53,1"
01/01/2009 6.00,"1,2","33,2","72,9","0,4","4,1","53,1"
01/01/2009 7.00,"1,0","29,5","79,3","0,5","4,0","53,1"
01/01/2009 8.00,"0,8","35,0","89,6","0,5","5,3","53,1"
01/01/2009 9.00,"1,0","31,3","55,6","0,3","11,5","53,1"
01/01/2009 10.00,"1,4","30,5","52,6","0,3","12,5","53,1"
01/01/2009 11.00,"1,2","23,9","40,8","0,3","20,2","53,1"
01/01/2009 12.00,"1,1","17,4","29,7","0,2","33,2","53,1"
01/01/2009 13.00,"1,0","14,1","23,4","0,1","37,7","53,1"
01/01/2009 14.00,"0,8","10,4","17,2","0,1","42,5","53,1"
01/01/2009 15.00,"0,7","13,4","20,2","0,1","38,7","53,1"
01/01/2009 16.00,"0,6","17,3","25,5","0,1","33,3","53,1"
01/01/2009 17.00,"0,5","15,8","23,8","0,1","36,7","53,1"
01/01/2009 18.00,"0,5","17,8","26,8","0,1","38,9","53,1"
01/01/2009 19.00,"0,3","17,7","25,2","0,1","39,5","53,1"
01/01/2009 20.00,"0,3","14,6","21,8","0,1","43,9","53,1"
01/01/2009 21.00,"0,2","16,4","22,9","0,1","44,4","53,1"
01/01/2009 22.00,"0,1","15,5","21,8","0,1","42,0","53,1"
01/01/2009 23.00,"0,1","19,1","27,5","0,1","32,7","53,1"
02/01/2009 0.00,"0,1","16,2","25,3","0,1","32,6",
02/01/2009 1.00,,"10,9","19,4","0,1","34,0",
02/01/2009 2.00,,"13,7","23,1","0,1","24,9",
02/01/2009 3.00,,"8,8","18,4",,"28,8",
02/01/2009 4.00,,"7,8","17,5","0,1","34,7",
02/01/2009 5.00,,"9,2","17,8","0,1",,"62,8"
02/01/2009 6.00,,"10,9","20,2","0,1","29,3","62,8"
02/01/2009 7.00,,"19,8","31,2","0,1","19,8","62,8"
02/01/2009 8.00,"0,0","32,0","60,1","0,2","6,9","62,8"
02/01/2009 9.00,"0,0","25,6","48,5","0,2","10,6","62,8"
02/01/2009 10.00,"0,1","21,3","42,2","0,2","20,2","62,8"
02/01/2009 11.00,"0,2","21,0","38,3","0,2","23,3","62,8"
02/01/2009 12.00,"0,2","28,2","47,9","0,2","17,3","62,8"
02/01/2009 13.00,"0,2","24,9","42,1","0,2","21,0","62,8"
02/01/2009 14.00,"0,1","20,4","33,5","0,2","27,6","62,8"
02/01/2009 15.00,"0,2","23,4","37,1","0,2","22,9","62,8"
02/01/2009 16.00,"0,1","33,8","53,8","0,3","14,4","62,8"
02/01/2009 17.00,"0,5","46,3","95,4","0,5","3,6","62,8"
02/01/2009 18.00,"0,6","48,0","102,6","0,5","3,1","62,8"
02/01/2009 19.00,"0,7","50,1","132,3","0,6","2,4","62,8"
02/01/2009 20.00,"1,1","47,1","106,8","0,6","2,2","62,8"
02/01/2009 21.00,"0,9","47,3","98,5","0,6","3,0","62,8"
02/01/2009 22.00,"0,8","39,6","72,3","0,6","3,9","62,8"
02/01/2009 23.00,"0,7","32,7","53,2","0,3","6,5","62,8"
03/01/2009 0.00,"0,6","22,8","37,8","0,4","9,8",
03/01/2009 1.00,"0,5","20,3","34,0","0,3","12,5",
03/01/2009 2.00,"0,3","12,6","23,0","0,2","23,8",
03/01/2009 3.00,"0,2","7,6","15,1","0,1","36,5",
03/01/2009 4.00,"0,0","6,8","13,7","0,1","40,2",
03/01/2009 5.00,"0,0","8,8","15,9","0,1","33,6","26,3"
03/01/2009 6.00,,"11,2","19,7","0,1","30,2","26,3"
03/01/2009 7.00,"0,0","15,9","24,4","0,1","26,2","26,3"
03/01/2009 8.00,"0,1","27,1","41,4","0,2","14,2","26,3"
03/01/2009 9.00,"0,2","31,2","56,5","0,3","8,8","26,3"
03/01/2009 10.00,"0,5","22,1","43,9","0,2","20,4","26,3"
03/01/2009 11.00,"0,6","12,2","24,1","0,1","32,9","26,3"
03/01/2009 12.00,"0,6","14,0","25,6","0,2","32,6","26,3"
03/01/2009 13.00,"0,6","14,1","24,5","0,2","34,7","26,3"
03/01/2009 14.00,"0,3","13,5","23,0","0,1","33,4","26,3"
03/01/2009 15.00,"0,4","15,9","25,3","0,2","24,8","26,3"
03/01/2009 16.00,"0,2","17,7","30,5","0,2","26,5","26,3"
03/01/2009 17.00,"0,4","21,9","34,6","0,2","22,5","26,3"
03/01/2009 18.00,"0,5","30,1","51,7","0,3","13,1","26,3"
03/01/2009 19.00,"0,4","21,1","40,7","0,2","16,1","26,3"
03/01/2009 20.00,"0,4","25,7","47,6","0,2","9,8","26,3"
03/01/2009 21.00,"0,3","17,8","31,6","0,2","19,8","26,3"
03/01/2009 22.00,"0,2","11,8","23,0","0,2","29,9","26,3"
03/01/2009 23.00,"0,1","11,8","22,0","0,1","32,7","26,3"
04/01/2009 0.00,"0,1","8,6","16,9","0,1","35,2",
04/01/2009 1.00,"0,0","8,5","18,4","0,1","37,2",
04/01/2009 2.00,"0,0","7,5","17,2","0,1","40,3",
04/01/2009 3.00,,"7,1","14,7",,"40,2",
04/01/2009 4.00,,"6,2","14,3","0,1","42,5",
04/01/2009 5.00,,"6,8","14,0","0,1",,"12,8"
04/01/2009 6.00,,"7,2","13,6","0,1","39,8","12,8"
04/01/2009 7.00,,"6,8","13,7","0,1","40,3","12,8"
04/01/2009 8.00,,"8,2","15,0","0,1","38,0","12,8"
04/01/2009 9.00,,"9,4","16,7","0,1","35,2","12,8"
04/01/2009 10.00,,"10,8","18,3","0,2","40,2","12,8"
04/01/2009 11.00,,"11,0","19,0","0,1","36,6","12,8"
04/01/2009 12.00,"0,0","13,4","23,1","0,2","33,9","12,8"
04/01/2009 13.00,,"14,3","23,8","0,1","32,9","12,8"
04/01/2009 14.00,,"10,9","19,8","0,1","36,1","12,8"
04/01/2009 15.00,"0,0","11,1","19,5","0,1","36,0","12,8"
04/01/2009 16.00,"0,0","12,5","21,7","0,2","34,1","12,8"
04/01/2009 17.00,,"14,2","22,3","0,2","32,0","12,8"
04/01/2009 18.00,,"14,1","23,0","0,2","31,9","12,8"
04/01/2009 19.00,,"16,7","26,9","0,2","27,6","12,8"
04/01/2009 20.00,,"31,8","47,3","0,2","14,4","12,8"
04/01/2009 21.00,,"27,9","44,8","0,2","15,4","12,8"
04/01/2009 22.00,,"21,4","36,4","0,2","16,9","12,8"
04/01/2009 23.00,,"15,1","26,4","0,2","21,4","12,8"
05/01/2009 0.00,,"10,8","21,0","0,2","30,8",
05/01/2009 1.00,,"10,6","20,6","0,2","31,5",
05/01/2009 2.00,,"10,2","19,0","0,1","28,4",
05/01/2009 3.00,,"10,3","19,0","0,2","26,3",
05/01/2009 4.00,,"8,2","15,6","0,1","28,1",
05/01/2009 5.00,,"7,9","16,4","0,1","29,9","9,0"
05/01/2009 6.00,,"13,8","23,9","0,1","24,8","9,0"
05/01/2009 7.00,,"17,8","30,9","0,2","19,0","9,0"
05/01/2009 8.00,,"30,0","55,5","0,3","10,3","9,0"
05/01/2009 9.00,,"24,4","52,7","0,2","15,5","9,0"
05/01/2009 10.00,"0,1","29,9","62,1","0,2","20,6","9,0"
05/01/2009 11.00,"0,3","22,9","45,2","0,2","31,5","9,0"
05/01/2009 12.00,"0,4","20,0","39,0","0,2","39,9","9,0"
05/01/2009 13.00,"0,5","16,5","30,4","0,1","43,2","9,0"
05/01/2009 14.00,"0,0","14,2","25,5","0,2","45,5","9,0"
05/01/2009 15.00,,"15,5","26,3","0,1","44,6","9,0"
05/01/2009 16.00,,"22,7","35,0","0,2","36,4","9,0"
05/01/2009 17.00,,"48,0","77,9","0,3","15,7","9,0"
05/01/2009 18.00,,"56,9","103,2","0,5","4,7","9,0"
05/01/2009 19.00,"0,0","43,2","74,3","0,3","9,1","9,0"
05/01/2009 20.00,"0,0","34,2","58,6","0,3","9,7","9,0"
05/01/2009 21.00,,"29,9","50,3","0,3","15,6","9,0"
05/01/2009 22.00,,"25,7","42,3","0,2","17,0","9,0"
05/01/2009 23.00,,"21,8","35,2","0,2","17,4","9,0"
06/01/2009 0.00,,"20,1","31,7","0,2","16,2",
06/01/2009 1.00,,"15,6","25,9","0,2","19,7",
06/01/2009 2.00,,"11,5","22,0","0,1","25,0",
06/01/2009 3.00,,"8,9","18,1",,"31,7",
06/01/2009 4.00,,"8,7","17,1","0,2","32,2",
06/01/2009 5.00,,"7,7","14,0","0,2",,"24,0"
06/01/2009 6.00,,"9,8","18,4","0,2","30,2","24,0"
06/01/2009 7.00,,"10,4","18,0","0,2","31,1","24,0"
06/01/2009 8.00,,"10,9","20,0","0,1","31,8","24,0"
06/01/2009 9.00,,"12,8","23,6","0,2","30,8","24,0"
06/01/2009 10.00,"0,0","13,4","24,6","0,2","31,9","24,0"
06/01/2009 11.00,"0,4","12,5","23,2","0,2","39,2","24,0"
06/01/2009 12.00,"0,6","10,5","19,7","0,2","49,2","24,0"
06/01/2009 13.00,"0,7","10,4","18,9","0,2","51,5","24,0"
06/01/2009 14.00,"0,6","10,0","18,3","0,2","52,5","24,0"
06/01/2009 15.00,"0,6","11,1","18,3","0,2","51,7","24,0"
06/01/2009 16.00,"0,5","18,7","27,4","0,2","42,8","24,0"
06/01/2009 17.00,"0,4","43,3","60,3","0,3","17,1","24,0"
06/01/2009 18.00,"0,4","37,6","59,1","0,4","17,2","24,0"
06/01/2009 19.00,"0,3","40,0","74,5","0,6","10,2","24,0"
06/01/2009 20.00,"0,6","50,4","132,0","0,8","3,1","24,0"
06/01/2009 21.00,"0,7","53,1","162,0","0,9","2,4","24,0"
06/01/2009 22.00,"0,9","46,4","128,2","1,0","3,8","24,0"
06/01/2009 23.00,"0,6","43,5","109,4","0,8","2,4","24,0"
07/01/2009 0.00,"0,6","27,8","67,3","0,4","7,9",
07/01/2009 1.00,"0,5","29,0","63,2","0,6","1,9",
07/01/2009 2.00,"0,4","24,6","47,7","0,5","2,1",
07/01/2009 3.00,"0,4","21,2","43,8","0,4","2,6",
07/01/2009 4.00,"0,4","17,3","32,7","0,4","4,2",
07/01/2009 5.00,"0,4","16,6","33,7","0,4","4,4","29,8"
07/01/2009 6.00,"0,6","22,6","42,9","0,5","3,6","29,8"
07/01/2009 7.00,"0,6","26,3","73,7","0,6","3,0","29,8"
07/01/2009 8.00,"2,4","51,5","225,0","1,4","3,2","29,8"
07/01/2009 9.00,"3,2","52,0","148,2","1,0","4,7","29,8"
07/01/2009 10.00,"4,3","51,0","134,5","0,9","4,3","29,8"
07/01/2009 11.00,"5,1","34,3","81,7","0,4","15,4","29,8"
07/01/2009 12.00,"4,2","17,4","36,5","0,2","41,0","29,8"
07/01/2009 13.00,"3,0","23,5","36,2","0,2","40,7","29,8"
07/01/2009 14.00,"1,2","28,6","44,2","0,3","31,4","29,8"
07/01/2009 15.00,"1,0","15,8","22,5","0,2","45,7","29,8"
07/01/2009 16.00,"1,2","29,3","38,6","0,3","32,6","29,8"
07/01/2009 17.00,"1,2","35,5","47,8","0,4","23,4","29,8"
07/01/2009 18.00,"1,2","22,4","32,7","0,3","37,5","29,8"
07/01/2009 19.00,"1,1","32,7","43,8","0,4","27,9","29,8"
07/01/2009 20.00,"1,2","32,6","45,3","0,4","27,2","29,8"
07/01/2009 21.00,"1,1","30,7","40,2","0,4","28,3","29,8"
07/01/2009 22.00,"1,1","38,3","61,3","0,5","16,7","29,8"
07/01/2009 23.00,"1,1","30,4","48,2","0,4","17,0","29,8"
08/01/2009 0.00,"1,0","29,7","54,4","0,4","4,3",
08/01/2009 1.00,"1,1","20,7","34,8","0,3","20,9",
08/01/2009 2.00,"1,0","13,8","26,6","0,2","24,5",
08/01/2009 3.00,"0,9","8,6","19,0",,"32,4",
08/01/2009 4.00,"0,9","6,5","15,1","0,1","39,2",
08/01/2009 5.00,"0,8","7,0","14,9","0,2",,"34,0"
08/01/2009 6.00,"0,8","20,3","38,7","0,3","9,6","34,0"
08/01/2009 7.00,"1,0","36,6","155,3","0,7","1,0","34,0"
08/01/2009 8.00,"2,5","60,4","211,4","1,0","3,2","34,0"
08/01/2009 9.00,"3,2","35,0","81,4","0,5","18,3","34,0"
08/01/2009 10.00,"4,0","16,0","34,5","0,2","39,3","34,0"
08/01/2009 11.00,"3,8","18,9","35,5","0,2","40,4","33,9"
08/01/2009 12.00,"4,4","14,2","25,0","0,2","48,7","33,9"
08/01/2009 13.00,"4,8","15,6","26,0","0,2","49,6","33,9"
08/01/2009 14.00,"4,3","14,8","24,8","0,2","51,0","33,9"
08/01/2009 15.00,"3,2","15,3","21,1","0,2","50,9","33,9"
08/01/2009 16.00,"2,8","24,6","32,7","0,3","39,5","33,9"
08/01/2009 17.00,"2,8","38,2","51,2","0,3","19,7","33,9"
08/01/2009 18.00,"2,9","43,4","58,7","0,5","14,1","33,9"
08/01/2009 19.00,"3,1","47,8","77,9","0,5","7,9","33,9"
08/01/2009 20.00,"3,9","46,4","86,5","0,7","5,5","33,9"
08/01/2009 21.00,"3,3","42,8","70,2","0,4","7,9","33,9"
08/01/2009 22.00,"2,7","30,7","47,0","0,3","11,3","33,9"
