,Comune Bari,,
,Piazza Duca Savoia,,
Parm,CO,PM10,BENZENE



05/01/2009 15.00,"1,27662215",,"6,15589388"
05/01/2009 16.00,"1,08521964","50,30524063","6,02320691"
05/01/2009 17.00,"1,25723888",,"4,96757616"
05/01/2009 18.00,"1,21529655","25,39682007","4,55570337"
05/01/2009 19.00,"1,19635132",,"4,5345996"
05/01/2009 20.00,"1,19766194","13,18680954","4,19949607"
05/01/2009 21.00,"1,1427718",,"4,18121346"
05/01/2009 22.00,"0,88162424","6,34920597","4,25898752"
05/01/2009 23.00,"0,70376602",,"3,8485914"
06/01/2009 0.00,"0,59386691","3,41880298","3,28798032"
06/01/2009 1.00,,,"3,10895171"
06/01/2009 2.00,"0,43310506","1,95360196","3,20392121"
06/01/2009 3.00,"0,34965145",,"10,45175985"
06/01/2009 4.00,"0,33153687","0,97680098","2,38311271"
06/01/2009 5.00,"0,26587397",,"1,85127968"
06/01/2009 6.00,"0,29947956","6,83760691","1,45493546"
06/01/2009 7.00,"0,34114928",,"1,23676455"
06/01/2009 8.00,"0,47597357","21,0012207","0,54050194"
06/01/2009 9.00,"0,6858355",,"1,12379619"
06/01/2009 10.00,"0,91281828","18,55920982","1,40957624"
06/01/2009 11.00,"1,04188164",,"1,93230203"
06/01/2009 12.00,"1,04573546","50,30524063","2,6510078"
06/01/2009 13.00,"1,17181875",,"3,01426901"
06/01/2009 14.00,"1,27252018","67,39926147","3,65382065"
06/01/2009 15.00,"0,95222557",,"3,65617399"
06/01/2009 16.00,"0,62946698","51,28205109","3,84355929"
06/01/2009 17.00,"0,77704219",,"3,36428482"
06/01/2009 18.00,"0,92394053","34,67642975","3,03428967"
06/01/2009 19.00,"1,2116233",,"2,85791747"
06/01/2009 20.00,"1,49747702","45,42124176","2,47576548"
06/01/2009 21.00,"1,07636331",,"2,98140872"
06/01/2009 22.00,"0,88938081","61,53845978","3,71796487"
06/01/2009 23.00,"0,87817933",,"3,71651666"
07/01/2009 0.00,"0,95703119","57,14284134","3,09714332"
07/01/2009 1.00,,,"2,71804437"
07/01/2009 2.00,"0,67929519","51,28205109","2,49035027"
07/01/2009 3.00,"0,52613497",,"12,12055515"
07/01/2009 4.00,"0,44538882","54,70085144","3,31066146"
07/01/2009 5.00,"0,38370906",,"2,29520526"
07/01/2009 6.00,"0,47787718","38,58362961","1,65416779"
07/01/2009 7.00,"0,6623258",,"1,63205211"
07/01/2009 8.00,"1,21745296","42,00244141",
07/01/2009 9.00,"2,13194418",,"0,34574746"
07/01/2009 10.00,"2,42898889","48,35165024","0,56746973"
07/01/2009 11.00,"2,26777619",,"0,16071753"
07/01/2009 12.00,"1,86778392","69,35285187","1,44400779"
07/01/2009 13.00,"1,32198958",,"0,20460413"
07/01/2009 14.00,"1,12793087","77,65567017","1,13444011"
07/01/2009 15.00,"1,04122807",,"3,14342801"
07/01/2009 16.00,"0,9957523","61,05006027",
07/01/2009 17.00,"1,71252903",,"0,22357525"
07/01/2009 18.00,"2,23322229","57,63124084","0,22951554"
07/01/2009 19.00,"2,37382148",,"12,17402901"
07/01/2009 20.00,"2,3089636","61,05006027","5,21301894"
07/01/2009 21.00,"2,14131544",,"6,55015325"
07/01/2009 22.00,"1,84022002","77,16725922","8,47260158"
07/01/2009 23.00,"1,27603615",,"9,22038337"
08/01/2009 0.00,"1,03483572","71,79486084","8,44411439"
08/01/2009 1.00,,,"6,98213011"
08/01/2009 2.00,"0,93953289","74,23686981","5,46410302"
08/01/2009 3.00,"0,72781977",,"12,01406508"
08/01/2009 4.00,"0,86648273","61,53845978","5,68327262"
08/01/2009 5.00,"0,81027964",,"3,49665754"
08/01/2009 6.00,"0,68653101","49,32844162","3,16582947"
08/01/2009 7.00,"0,64877103",,"3,01252994"
08/01/2009 8.00,"0,88226848","53,23564148","2,29569953"
08/01/2009 9.00,"1,44223389",,"2,46574803"
08/01/2009 10.00,"1,28572313","42,00244141","2,82587891"
08/01/2009 11.00,"1,22725877",,"3,29914597"
08/01/2009 12.00,"1,69667338","47,86323166","4,05006724"
08/01/2009 13.00,"1,62718346",,"3,99898943"
08/01/2009 14.00,"1,68762949","77,16725922","4,89926529"
08/01/2009 15.00,"1,06705962",,"5,52705024"
08/01/2009 16.00,"0,85533718","60,56166077","6,75566455"
08/01/2009 17.00,"1,20770541",,"4,94411499"
08/01/2009 18.00,"1,45976597","49,81684113","4,17253946"
08/01/2009 19.00,"1,67362968",,"4,31073044"
08/01/2009 20.00,"1,68001505","53,23564148","5,5421415"
08/01/2009 21.00,"1,21773955",,"4,64955721"
08/01/2009 22.00,"1,02358881","78,14408112","6,3049454"
08/01/2009 23.00,"0,92700914",,"5,50566374"
09/01/2009 0.00,"0,78311067","72,77165985","4,46201123"
09/01/2009 1.00,,,"3,95043378"
09/01/2009 2.00,"0,55367441","70,32967377","3,27000688"
09/01/2009 3.00,"0,47238187",,"10,99212246"
09/01/2009 4.00,"0,3660896","55,67765045","3,39745325"
09/01/2009 5.00,"0,37931119",,
09/01/2009 6.00,"0,46158232","38,0952301","1,99409495"
09/01/2009 7.00,"0,63227812",,"1,85442017"
09/01/2009 8.00,"1,02111901","21,0012207","1,50280666"
09/01/2009 9.00,"1,46229169",,"1,78873926"
09/01/2009 10.00,"1,42103788","37,11843109","2,39220876"
09/01/2009 11.00,"1,35282247",,"3,83807664"
09/01/2009 12.00,"1,45153175","55,67765045","4,50916748"
09/01/2009 13.00,"1,1477813",,"5,31641123"
09/01/2009 14.00,"1,2302901","68,86447144","4,91323582"
09/01/2009 15.00,"1,2694807",,"5,15067989"
09/01/2009 16.00,"1,19991505","55,67765045","5,02814868"
09/01/2009 17.00,"1,3247914",,"5,49104742"
09/01/2009 18.00,"1,43084485","61,05006027","4,34913846"
09/01/2009 19.00,"1,22310321",,"4,31351397"
09/01/2009 20.00,"1,31371225","51,28205109","4,29401605"
09/01/2009 21.00,"1,3671974",,"4,79860975"
09/01/2009 22.00,"1,35603903","56,16604996","4,27101456"
09/01/2009 23.00,"1,11974907",,"5,04902159"
10/01/2009 0.00,"0,88087747","52,2588501","4,72816623"
10/01/2009 1.00,,,"4,39661813"
10/01/2009 2.00,"0,59949502","49,32844162","4,07151272"
10/01/2009 3.00,"0,45252328",,"10,93525182"
10/01/2009 4.00,"0,32000453","37,11843109","3,50050993"
10/01/2009 5.00,"0,27146597",,"2,28712723"
10/01/2009 6.00,"0,28404797","21,48962021","1,96526911"
10/01/2009 7.00,"0,44113191",,"1,72431943"
10/01/2009 8.00,"0,68306979","21,48962021","1,6448002"
10/01/2009 9.00,"1,19556028",,"1,36186572"
10/01/2009 10.00,"0,9768793","19,04759979","1,54114655"
10/01/2009 11.00,"0,80145826",,"2,37763718"
10/01/2009 12.00,"0,81209587","26,86202049","2,7646545"
10/01/2009 13.00,"0,86499852",,"2,89829338"
10/01/2009 14.00,"0,82598617","24,42000961","2,36321307"
10/01/2009 15.00,"0,63584186",,"2,65972349"
10/01/2009 16.00,"0,55586927","26,86202049","2,86935261"
10/01/2009 17.00,"0,5597592",,"2,03346709"
10/01/2009 18.00,"0,68763426","24,90842056","2,17591727"
10/01/2009 19.00,"0,88139007",,"2,27015859"
10/01/2009 20.00,"1,0172815","24,90842056","2,12436554"
10/01/2009 21.00,"1,05145328",,"2,10085351"
10/01/2009 22.00,"0,99946166","31,74603081","2,58604692"
10/01/2009 23.00,"0,84202006",,"3,35197403"
11/01/2009 0.00,"0,70398504","40,53723145","3,30904646"
11/01/2009 1.00,,,"3,47829662"
11/01/2009 2.00,"0,64163657","41,5140419","2,42601282"
11/01/2009 3.00,"0,56578924",,"10,69386687"
11/01/2009 4.00,"0,45205961","44,4444313","2,69993262"
11/01/2009 5.00,"0,3820501",,"2,60355763"
11/01/2009 6.00,"0,3827258","31,25761986","2,04498869"
11/01/2009 7.00,"0,41421575",,"1,81571417"
11/01/2009 8.00,"0,54851462","31,74603081","1,66016911"
11/01/2009 9.00,"0,60323584",,"1,35598034"
11/01/2009 10.00,"0,74575495","32,23442078","1,68244751"
11/01/2009 11.00,"0,86143013",,"1,89420318"
11/01/2009 12.00,"0,83835847","37,11843109","2,19407987"
11/01/2009 13.00,"0,93227378",,"2,38903979"
11/01/2009 14.00,"0,86957115","46,88644028","2,42298013"
11/01/2009 15.00,"0,67836669",,"2,88485068"
11/01/2009 16.00,"0,63035704","39,07204056","3,15719209"
11/01/2009 17.00,"0,58290426",,"2,35627103"
11/01/2009 18.00,"0,77152591","27,35042","2,30506813"
11/01/2009 19.00,"1,02872879",,"2,42687727"
11/01/2009 20.00,"1,17553626","41,5140419","2,30065943"
11/01/2009 21.00,"1,19642471",,"2,46891903"
11/01/2009 22.00,"1,12446965","50,30524063","3,07557987"
11/01/2009 23.00,"0,98230703",,"3,37340934"
