,Foggia,,
,Manfredonia - Capitaneria di Porto,,
Parm,SO2,NO2,PM10



06/01/2009 8.00,"1,02058493","37,52017024",
06/01/2009 9.00,"1,5039752","40,27945392",
06/01/2009 10.00,"1,19102802","40,01338",
06/01/2009 11.00,"1,12709635","34,65058328",
06/01/2009 12.00,"0,80890349","23,32274808",
06/01/2009 13.00,"0,76107704","17,92620838",
06/01/2009 14.00,"0,58965762","19,3084276",
06/01/2009 15.00,"0,61174076","9,23955262",
06/01/2009 16.00,"0,59221944","10,56727028",
06/01/2009 17.00,"0,58184909","16,04559004",
06/01/2009 18.00,"1,23690184","52,63779976",
06/01/2009 19.00,"1,22506803","46,92845304",
06/01/2009 20.00,"1,15479231","46,82721264",
06/01/2009 21.00,"1,23934264","51,45671912",
06/01/2009 22.00,"1,11758028","51,61895232",
06/01/2009 23.00,"1,28643686","49,62152416",
07/01/2009 0.00,"1,65709268","53,3464252",
07/01/2009 1.00,"1,24178243","42,63249496",
07/01/2009 2.00,"0,92920137","30,99317584",
07/01/2009 3.00,"0,89516137","21,86913096",
07/01/2009 4.00,"0,73679718","16,44663586",
07/01/2009 5.00,"0,67786813","13,55107821",
07/01/2009 6.00,"0,81036696","21,66146864",
07/01/2009 7.00,"0,84538328","38,57924616",
07/01/2009 8.00,"1,79703392","47,96026384",
07/01/2009 9.00,"3,16241032","60,50288824",
07/01/2009 10.00,"4,35746464","70,53543904",
07/01/2009 11.00,"1,82716966","69,46339976",
07/01/2009 12.00,"1,2825326","47,8694056",
07/01/2009 13.00,"1,05132985","29,89907208",
07/01/2009 14.00,"0,74289816","20,23511664",
07/01/2009 15.00,"0,67664773","19,7613804",
07/01/2009 16.00,"0,69165458","28,91399056",
07/01/2009 17.00,"0,83818496","27,14238872",
07/01/2009 18.00,"0,92114978","29,84196064",
07/01/2009 19.00,"0,77888979","37,6746216",
07/01/2009 20.00,"0,8677105","38,5441992",
07/01/2009 21.00,"0,78145161","33,01266848",
07/01/2009 22.00,"0,74655834","28,4960656",
07/01/2009 23.00,"0,85380201","25,84580416",
08/01/2009 0.00,"0,86136646","21,5096176",
08/01/2009 1.00,,"28,13655224",
08/01/2009 2.00,"0,62507363",,
08/01/2009 3.00,"0,60699442","17,28895408",
08/01/2009 4.00,"0,56179589","13,29021066",
08/01/2009 5.00,"0,51119708","11,69901941",
08/01/2009 6.00,"0,3665624","15,86648344",
08/01/2009 7.00,"0,4760099","28,0586956",
08/01/2009 8.00,"0,73373194","38,17170336",
08/01/2009 9.00,"1,32155489","45,80318368",
08/01/2009 10.00,"3,11347634","57,2958524",
08/01/2009 11.00,"2,07087845","54,13682688",
08/01/2009 12.00,"0,73009108","36,07305392",
08/01/2009 13.00,"0,72256833","34,75052352",
08/01/2009 14.00,"0,65025149","38,0574996",
