,Comune Bari,,,,
,Via M.L.King,,,,
Parm,SO2,NO2,CO,PM10,BENZENE



04/01/2009 10.00,"0,18423972","30,47791096","0,46181066","15,62880993","1,66502935"
04/01/2009 11.00,"0,26950195","32,67261928","0,44077426",,"1,70085623"
04/01/2009 12.00,"1,19219045","35,1852932","0,55748046","21,0012207","1,67200088"
04/01/2009 13.00,"2,37530215","35,20477648","0,49721268",,"2,12607003"
04/01/2009 14.00,"1,99300982","32,20928432","0,4644156","25,88521957","1,84821342"
04/01/2009 15.00,"1,77540538","19,92491376","0,39210522",,"1,5846233"
04/01/2009 16.00,"1,643711","22,39347784","0,46796769","23,44322014","1,28066742"
04/01/2009 17.00,"2,23721287","25,36300504","0,48162382",,"1,20236859"
04/01/2009 18.00,"3,55971052","40,51436224","0,48044018","24,90842056","1,25651265"
04/01/2009 19.00,"2,58197079","33,46952176","0,43300021",,"1,56419787"
04/01/2009 20.00,"2,89521797","36,89200176","0,43840698","20,02441978","1,42802564"
04/01/2009 21.00,"2,94155656","38,41181232","0,44485642",,"1,45072101"
04/01/2009 22.00,"3,77472059","38,978988","0,52626196","23,44322014","1,69323686"
04/01/2009 23.00,"2,94248305","31,2696128","0,3693085",,"1,44699167"
05/01/2009 0.00,"3,18344289","32,9412744","0,38381042","22,95482063","1,24516497"
05/01/2009 1.00,"1,80756393","26,08461296","0,33226499",,"1,30530831"
05/01/2009 2.00,,"22,85161216","0,3171596","23,93161964","1,16378666"
05/01/2009 3.00,"1,26385743",,"0,31185769",,"1,13330921"
05/01/2009 4.00,"1,60654982","23,35649488","0,27660595","22,46640968","1,21339185"
05/01/2009 5.00,"1,41867127","18,81005142","0,28779811",,"1,00670186"
05/01/2009 6.00,"1,61093614","37,89654744",,"24,42000961","1,03928552"
05/01/2009 7.00,"2,70563595","46,6325328","0,61967632",,"2,46958008"
05/01/2009 8.00,"2,98280303","66,80277528","0,55589257","26,37360954","2,21944487"
05/01/2009 9.00,"6,17487008","85,33898432","0,84451549",,"2,00205603"
05/01/2009 10.00,"4,11565154","55,27115912","0,7671292","32,23442078","2,99287133"
05/01/2009 11.00,"5,14247067","65,4698436","0,81149706",,"3,55831011"
05/01/2009 12.00,"5,15456178","52,87270808","0,75261796","42,00244141","3,52913035"
05/01/2009 13.00,"5,71633631","35,2255408","0,59895446",,"3,10845542"
05/01/2009 14.00,"4,65603449","25,17350672","0,48206535","35,65322113","2,56392819"
05/01/2009 15.00,"4,1620786","24,49082712","0,38519211",,"1,51345669"
05/01/2009 16.00,"4,18261793","23,94183456","0,33952411","21,0012207",
05/01/2009 17.00,"5,3694132","66,85596712","0,8770586",,
05/01/2009 18.00,"7,18773801","106,24506","1,20593577","32,23442078",
05/01/2009 19.00,"7,33097229","110,84986344","1,1519986",,
05/01/2009 20.00,"6,35158807","94,06846888","1,08710927","46,39804077",
05/01/2009 21.00,"5,0996865","80,22147808","1,00636312",,
05/01/2009 22.00,"3,57841722","72,32910536","0,78444926","50,79365158",
05/01/2009 23.00,"3,53383499","55,0336696","0,65917797",,
06/01/2009 0.00,"4,16122636","40,57535504","0,5451769","39,56044006",
06/01/2009 1.00,"4,33422314","38,89203024","0,47269875",,
06/01/2009 2.00,,"32,38059952","0,4339427","40,04883957",
06/01/2009 3.00,"0,00186009",,"0,37352463",,
06/01/2009 4.00,"0,1851062","31,87833624","0,35407146","29,7924099",
06/01/2009 5.00,"0,31895968","20,82433768","0,34387189",,
06/01/2009 6.00,"1,23435527","40,74018856",,"20,51280975",
06/01/2009 7.00,"0,66852292","28,78418488","0,36300468",,
06/01/2009 8.00,"0,85400236","43,04911976","0,32751296","22,46640968",
06/01/2009 9.00,"1,26049319","38,68696824","0,47945575",,
06/01/2009 10.00,"1,51154981","46,94921736","0,6157258","31,25761986",
06/01/2009 11.00,"2,01245486","39,9004764","0,56465919",,
06/01/2009 12.00,"1,76828129","37,44879528","0,61616035","33,69963074",
06/01/2009 13.00,"2,74497555","24,37922368","0,38030726",,
06/01/2009 14.00,"2,91706008","21,9015776","0,32067324","25,39682007",
06/01/2009 15.00,"2,17291203","16,81003441","0,24238524",,
06/01/2009 16.00,"0,57383106","18,15073454","0,23804678","20,51280975",
06/01/2009 17.00,"1,35797671","65,89425024","0,63203813",,
06/01/2009 18.00,"6,222006","112,13090344","1,77981244","26,37360954",
06/01/2009 19.00,"5,93085822","109,649376","1,70497284",,
06/01/2009 20.00,"2,73251018","87,08590224","0,86468863","49,32844162",
06/01/2009 21.00,"2,0115243","68,88196056","0,65836713",,
06/01/2009 22.00,"1,96752685","67,4568896","0,62707756","48,35165024",
06/01/2009 23.00,"1,00404139","65,12593216","0,59432592",,
07/01/2009 0.00,"1,58642949","63,18819664","0,71109503","53,23564148",
07/01/2009 1.00,"2,26406981","43,5280184","0,52578431",,
07/01/2009 2.00,,"35,182712","0,47352241","42,49084091",
07/01/2009 3.00,"0,64808325",,"0,43026596",,
07/01/2009 4.00,"0,51424707","37,7602792","0,35870117","32,72283173",
07/01/2009 5.00,"1,13294614","28,71801056","0,33224519",,
07/01/2009 6.00,"0,93336904","43,42679712",,"32,72283173",
07/01/2009 7.00,"0,55757228","49,13612472","0,56487122",,
07/01/2009 8.00,"2,04757288","63,27125392","0,82228147","37,6068306",
07/01/2009 9.00,"2,68708587","72,5237852","1,00776927",,
07/01/2009 10.00,"3,65624619","77,45959408","1,12484828","43,9560318",
07/01/2009 11.00,"3,51591036","66,09413072","0,83964929",,
07/01/2009 12.00,"1,92042347","34,56880704","0,52484415","37,11843109",
07/01/2009 13.00,"0,14090027","24,83217648","0,39669998",,
07/01/2009 14.00,,"28,92437272","0,4146969","32,72283173",
07/01/2009 15.00,,"25,89253344","0,25295296",,
07/01/2009 16.00,"2,82024168","39,28917176","0,17137966","20,51280975",
07/01/2009 17.00,"2,75603746","57,26858728","0,24441001",,
07/01/2009 18.00,"4,08647381","80,364228","0,63781886","26,37360954",
07/01/2009 19.00,"4,65746032","84,11119352","0,81260964",,
07/01/2009 20.00,"4,54177047","75,20389296","0,93928125","44,4444313",
