,Provincia di TARANTO,,,,
,STATTE sc.elementare,,,,
Parm,SO2,NOX,NO2,PM10,O3
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3 293K
,,,,,
,,,,,
05/01/2009 13.00,"1,426794","2,10888","6,389426",,
05/01/2009 14.00,"1,789814","4,373398","5,868978",,
05/01/2009 15.00,"2,261198","16,063031","13,648422",,
05/01/2009 16.00,"1,96139","16,445638","13,631548",,
05/01/2009 17.00,"1,600176","27,774705","25,118996",,
05/01/2009 18.00,"1,574892","25,446636","25,466827",,
05/01/2009 19.00,"1,511679","20,988941","23,531709",,
05/01/2009 20.00,"1,175751","17,55974","21,552445",,
05/01/2009 21.00,"1,099896","13,121492","18,33114",,
05/01/2009 22.00,"0,894004","7,253979","13,370669",,
05/01/2009 23.00,"0,733264","3,715832","10,257081",,
06/01/2009 0.00,"0,90484","0,178982","6,55685",,
06/01/2009 1.00,,0,"5,203169",,
06/01/2009 2.00,"1,040295",,,,
06/01/2009 3.00,"0,865107",0,"3,373169",,
06/01/2009 4.00,"0,888585",0,"2,793021",,
06/01/2009 5.00,"1,024041",0,"2,846234",,
06/01/2009 6.00,"1,020428",0,"3,732679",,
06/01/2009 7.00,"0,998756","0,551214","5,656126",,
06/01/2009 8.00,"0,906646","2,542071","8,000083",,
06/01/2009 9.00,"1,172138","0,398172","6,473785",,
06/01/2009 10.00,"1,00598","0,343699","6,2817",,
06/01/2009 11.00,"1,06558",0,"3,730084",,
06/01/2009 12.00,"1,26786","0,005187","3,811851",,
06/01/2009 13.00,"1,621849","2,289161","5,748275",,
06/01/2009 14.00,"1,878312","8,558735","8,88653",,
06/01/2009 15.00,"1,647134","11,255146","9,648382",,
06/01/2009 16.00,"1,898178","6,77799","4,298553",,
06/01/2009 17.00,"2,127549","17,942348","14,414156",,
06/01/2009 18.00,"1,793426","40,06353","37,413746",,
06/01/2009 19.00,"1,654359","43,303377","40,635064",,
06/01/2009 20.00,"1,721183","25,882418","27,647251",,
06/01/2009 21.00,"1,558637","24,58415","27,993782",,
06/01/2009 22.00,"1,356358","23,926576","28,538893",,
06/01/2009 23.00,"1,323848","21,065459","26,250746",,
07/01/2009 0.00,"1,098089","12,690896","18,576435",,
07/01/2009 1.00,"1,175751","2,814435","9,334298",,
07/01/2009 2.00,"1,244381","0,89621","7,356339",,
07/01/2009 3.00,"1,220902","0,001296","5,679489",,
07/01/2009 4.00,"1,188393","0,028533","5,558786",,
07/01/2009 5.00,"0,984308","0,080413","6,205126",,
07/01/2009 6.00,"1,015011","1,932493","8,057189",,
07/01/2009 7.00,"1,237157","9,914073","15,74967",,
07/01/2009 8.00,"1,042102","17,956614","22,701061",,
07/01/2009 9.00,"1,406927","25,035497","28,22741",,
07/01/2009 10.00,"1,3094","18,548035","22,555692",,
07/01/2009 11.00,"1,258829","13,545602","17,791229",,
07/01/2009 12.00,"1,466527","16,11102","20,431077",,
07/01/2009 13.00,"1,399703","8,165752","12,459567",,
07/01/2009 14.00,"1,491813","7,431664","11,104588",,
07/01/2009 15.00,"1,625462","8,25654","11,601675",,
07/01/2009 16.00,"1,275084","11,896075","14,322337",,
07/01/2009 17.00,"1,022234",,,,
07/01/2009 18.00,"1,435824",,,,
07/01/2009 19.00,"1,242575","58,286017","47,512492",,
07/01/2009 20.00,"1,490007","44,225534","36,833587",,
07/01/2009 21.00,"1,15769","40,513577","34,423457",,
07/01/2009 22.00,"1,273278","41,396826","35,887437",,
07/01/2009 23.00,"1,161302","32,52809","28,319548",,
08/01/2009 0.00,"1,020428","23,503756","19,544635",,
08/01/2009 1.00,,"16,942379","12,023482",,
08/01/2009 2.00,"1,134211",,,,
08/01/2009 3.00,"1,20826","21,210713","13,240888",,
08/01/2009 4.00,"1,220902","23,427238","14,917735",,
08/01/2009 5.00,"1,058356","20,723058","12,57508",,
08/01/2009 6.00,"0,883168","25,995246","17,922314",,
08/01/2009 7.00,"1,083641","43,61333","30,493492",,
08/01/2009 8.00,"1,33649","78,97537","44,305437",,
08/01/2009 9.00,"1,981257","146,66575","55,302321",,
08/01/2009 10.00,"2,078784","126,298076","52,701391",,
08/01/2009 11.00,"1,547801","79,805444","48,947925",,
08/01/2009 12.00,"1,294951","61,979814","46,286001",,
08/01/2009 13.00,"1,459303","52,096875","32,131408",,
08/01/2009 14.00,"1,630879","66,67226","37,354055",,
08/01/2009 15.00,"1,414152","39,465629","18,932053",,
08/01/2009 16.00,"1,126986","40,60826","15,858692",,
08/01/2009 17.00,"1,500843","40,749634","15,086456",,
08/01/2009 18.00,"1,504455","43,295595","21,888595",,
08/01/2009 19.00,"1,022234","35,307526","19,436913",,
08/01/2009 20.00,"0,866913","30,158549","19,308427",,
08/01/2009 21.00,"0,917482","28,209189","19,281161",,
08/01/2009 22.00,"0,888585","21,073242","13,761329",,
08/01/2009 23.00,"0,868719","20,449393","13,300585",,
09/01/2009 0.00,"0,982501","17,777632","10,895628",,
09/01/2009 1.00,"0,910259","15,291331","8,273935",,
09/01/2009 2.00,"0,973471","15,580556","8,186977",,
09/01/2009 3.00,"0,819955","15,173307","7,709362",,
09/01/2009 4.00,"0,754936","15,271876","7,595148",,
09/01/2009 5.00,"1,054744","15,533865","7,266785",,
09/01/2009 6.00,"1,078222","15,349694","6,824213",,
09/01/2009 7.00,"0,989725","16,777664","8,052",,
09/01/2009 8.00,"0,816343","17,647934","9,230467",,
09/01/2009 9.00,"0,859688","21,169205","12,297338",,
09/01/2009 10.00,"1,166721","18,576568","9,523786",,
09/01/2009 11.00,"1,060162","19,109624","8,582828",,
09/01/2009 12.00,"1,170332","23,377965","10,376487",,
09/01/2009 13.00,"1,150466","27,936824","12,617913",,
09/01/2009 14.00,"0,962634","28,634589","12,155866",,
09/01/2009 15.00,"1,278696","28,392071","12,379098",,
09/01/2009 16.00,"1,231738","27,58404","12,638675",,
09/01/2009 17.00,"1,054744","23,996613","11,429058",,
09/01/2009 18.00,"0,917482","22,852682","12,546527",,
09/01/2009 19.00,"1,042102","19,152407","11,061765",,
09/01/2009 20.00,"0,827179","17,350927","11,026722",,
09/01/2009 21.00,"0,655603","14,838685","9,776871",,
09/01/2009 22.00,"0,691724","14,175932","9,797637",,
09/01/2009 23.00,"0,727846","10,268147","5,818361",,
10/01/2009 0.00,"0,780221","8,796081","4,193425",,
10/01/2009 1.00,,"8,356407","3,753447",,
10/01/2009 2.00,"0,731458",,,,
10/01/2009 3.00,"0,61587","8,720858","3,075957",,
10/01/2009 4.00,"0,828985","8,531499","2,892957",,
10/01/2009 5.00,"0,563493","9,988","3,830021",,
10/01/2009 6.00,"0,783833","10,901071","4,414062",,
10/01/2009 7.00,"0,832598","16,618136","9,061744",,
10/01/2009 8.00,"0,673664","13,510585","6,055871",,
10/01/2009 9.00,"0,792864","15,522192","7,647063",,
10/01/2009 10.00,"1,038489","17,721861","9,055255",,
10/01/2009 11.00,"0,919289","21,038214","10,900826",,
10/01/2009 12.00,"0,838016","24,859097","12,819082",,
10/01/2009 13.00,"0,96444","30,392004","16,301268",,
10/01/2009 14.00,"0,90484","28,650153","12,9878",,
10/01/2009 15.00,"1,002368","29,226009","11,837885",,
10/01/2009 16.00,"0,91387","30,727884","12,510183",,
10/01/2009 17.00,"0,792864","35,985848","17,540736",,
10/01/2009 18.00,"0,8037","34,402232","17,706865",,
10/01/2009 19.00,"0,731458","32,205172","18,433671",,
10/01/2009 20.00,"0,975277","36,199856","24,111869",,
10/01/2009 21.00,"0,926513","42,81572","30,043121",,
10/01/2009 22.00,"0,90484","31,369916","20,856783",,
10/01/2009 23.00,"0,722427","19,656947","10,645146",,
11/01/2009 0.00,"0,597809","15,920362","7,562702",,
11/01/2009 1.00,"0,740488","13,750524","6,070148",,
11/01/2009 2.00,"0,67547","13,615638","5,491296",,
11/01/2009 3.00,"0,614064","13,417201","5,029254",,
11/01/2009 4.00,"0,901228","13,580622","5,100638",,
11/01/2009 5.00,"0,75313","13,479456","4,721657",,
11/01/2009 6.00,"0,707978","13,829641","5,410828",,
11/01/2009 7.00,"0,659215","15,553319","7,501701",,
11/01/2009 8.00,"0,511118","13,723288","6,572423",,
11/01/2009 9.00,"0,518341","13,715506","6,647701",,
11/01/2009 10.00,"0,697142","14,410685","7,201892",,
11/01/2009 11.00,"0,839821","14,885379","7,395275",,
11/01/2009 12.00,"0,791058","17,798383","9,201913",,
11/01/2009 13.00,"0,940962","20,730841","10,767146",,
11/01/2009 14.00,"1,150466","20,302839","8,610084",,
11/01/2009 15.00,"0,901228","22,346862","7,431615",,
11/01/2009 16.00,"0,948186","25,763089","8,79568",,
11/01/2009 17.00,"1,105314","26,868111","10,405041",,
11/01/2009 18.00,"1,134211","26,943349","13,044906",,
11/01/2009 19.00,"0,946379","25,773472","14,580294",,
11/01/2009 20.00,"1,045714","25,475162","15,622478",,
11/01/2009 21.00,"0,865107","23,729431","15,081268",,
11/01/2009 22.00,"0,838016","20,68415","12,562102",,
11/01/2009 23.00,"0,717009","18,523391","10,938462",,
12/01/2009 0.00,"0,789252","20,437712","12,83725",,
12/01/2009 1.00,,"14,877595","6,994233",,
12/01/2009 2.00,"0,919289",,,,
12/01/2009 3.00,"0,661022","13,875033","5,448468",,
12/01/2009 4.00,"0,6845","13,214873","5,17851",,
12/01/2009 5.00,"0,603226","12,544339","5,344638",,
12/01/2009 6.00,"1,05655","12,942509","6,346595",,
12/01/2009 7.00,"1,067386","18,108359","10,907315",,
12/01/2009 8.00,"0,691724","29,587873","20,032655",,
12/01/2009 9.00,"0,883168","45,621064","29,50321",,
12/01/2009 10.00,,"43,776768","26,476572",,
12/01/2009 11.00,"1,090866","40,520079","13,008573",,
12/01/2009 12.00,"1,015011","22,899373","8,94234",,
12/01/2009 13.00,"1,146854","28,189744","10,489394",,
12/01/2009 14.00,"1,177557","43,076383","17,526455",,
12/01/2009 15.00,"1,47014","35,634364","12,856718",,
12/01/2009 16.00,"1,072805","44,513442","22,464852",,
12/01/2009 17.00,"1,020428","48,212435","27,88736",,
12/01/2009 18.00,"1,179363","75,154484","52,853242",,
12/01/2009 19.00,"1,121569","68,200101","51,185483",,
12/01/2009 20.00,"1,043908","68,171575","50,942752",,
12/01/2009 21.00,"0,99695","61,271647","46,578019",,
12/01/2009 22.00,"0,95541","44,748197","34,988029",,
12/01/2009 23.00,"0,935543","29,245472","21,754927",,
13/01/2009 0.00,"0,810924","21,536251","14,146801",,
13/01/2009 1.00,"0,780221","17,471545","9,50951",,
13/01/2009 2.00,"0,875943","14,616905","6,005253",,
13/01/2009 3.00,"0,789252","15,622059","6,127254",,
13/01/2009 4.00,"0,778416","14,089034","4,571106",,
13/01/2009 5.00,"1,004174","13,172074","3,843",,
13/01/2009 6.00,"0,828985","13,709022","4,463382",,
13/01/2009 7.00,"1,06558","16,851591","7,187617",,
13/01/2009 8.00,"0,839821","19,88132","9,927423",,
13/01/2009 9.00,"0,903034","23,892848","14,184438",,
13/01/2009 10.00,"1,034877","20,029174","11,286287",,
13/01/2009 11.00,"0,939156","18,682919","10,994275",,
13/01/2009 12.00,"0,930125","22,022626","14,707484",,
13/01/2009 13.00,"0,742294","19,835929","12,423223",,
13/01/2009 14.00,"0,782027","15,683018","9,497829",,
13/01/2009 15.00,"0,688112","11,531401","6,096106",,
13/01/2009 16.00,"0,623093","12,654581","7,002019",,
13/01/2009 17.00,"0,69353","12,910086","7,246021",,
13/01/2009 18.00,"0,77661","13,421094","7,737914",,
13/01/2009 19.00,"0,727846","12,734994","7,098063",,
13/01/2009 20.00,"0,798282","14,43403","8,498467",,
13/01/2009 21.00,"0,677275","13,867254","7,079893",,
