,Bari,,,
,ENAIP,,,
,SO2,NO2,CO,PM10



01/01/2009 1.00,"6,39167618",,"1,22514429",
01/01/2009 2.00,"6,94072092","22,35973104","1,25273732",
01/01/2009 3.00,"6,82513277","24,32859392","1,46520769",
01/01/2009 4.00,"5,58978185","17,11244398","1,07419641",
01/01/2009 5.00,"5,32609612",,"0,94969868",
01/01/2009 6.00,"5,63312741",,"0,90455027",
01/01/2009 7.00,"5,32790231",,"0,87577827",
01/01/2009 8.00,"5,53198777",,"0,88522525",
01/01/2009 9.00,"5,6150665","7,39917041","0,90860447",
01/01/2009 10.00,"5,94015869","7,39397742","1,00413447",
01/01/2009 11.00,"5,42181718","6,11167932","0,96103413",
01/01/2009 12.00,"5,44529666","5,94165854","0,92856209",
01/01/2009 13.00,"5,53018158","4,71646806","0,94395174",
01/01/2009 14.00,"5,3459622","5,27455218","0,94733723",
01/01/2009 15.00,"5,30081147","6,41278682","0,97418116",
01/01/2009 16.00,"5,88236461","6,90078658","1,02940449",
01/01/2009 17.00,"5,49767216","6,78008393","1,05467334",
01/01/2009 18.00,"5,13645918","5,75606262","1,04377127",
01/01/2009 19.00,"4,67771693","6,18695667","1,10159138",
01/01/2009 20.00,"4,72286867","5,08765801","1,09123919",
01/01/2009 21.00,"4,76260286","7,62629689","1,03467844",
01/01/2009 22.00,"5,20689559","7,60812715","0,97973122",
01/01/2009 23.00,"5,2032832","8,85278562","0,97740821",
02/01/2009 0.00,"4,53865031","7,72104031","1,04022734",
02/01/2009 1.00,"4,7914999","10,81127207","1,0831704",
02/01/2009 2.00,"5,10936732",,"1,08691005",
02/01/2009 3.00,"4,60005575","6,89689183",,
02/01/2009 4.00,"5,1147859","6,12855272","1,12048419",
02/01/2009 5.00,"4,64159614","4,18044651","1,12965623",
02/01/2009 6.00,"5,21953791","5,66391378","1,09651431",
02/01/2009 7.00,"4,74454196","5,70804274","1,10993628",
02/01/2009 8.00,"5,08950124","10,10004058","1,34901408",
02/01/2009 9.00,"5,64576973","11,3836331","1,7208949",
02/01/2009 10.00,"4,71925629","13,71850631","1,72191777",
02/01/2009 11.00,"4,84748779","13,60558933","1,6905082",
02/01/2009 12.00,"4,66146221","13,47190994","1,60367842",
02/01/2009 13.00,"4,40500024","9,71327548","1,66941122",
02/01/2009 14.00,"4,77885758","16,0962045","1,79280685",
02/01/2009 15.00,"5,01906382","17,35124895","1,85539065",
02/01/2009 16.00,"5,39833872","25,12419624","1,85361985",
02/01/2009 17.00,"5,09853119","32,89456424","1,93623816",
02/01/2009 18.00,"6,0828387","46,37946048","2,13717503",
02/01/2009 19.00,"5,84443763","49,66177176","2,10438727",
02/01/2009 20.00,"5,95821959","33,31247008","2,12536659",
02/01/2009 21.00,"5,49947835","29,43311768","2,10789042",
02/01/2009 22.00,"5,50850931","31,7044016","2,07746412",
02/01/2009 23.00,"5,80109207","34,8945736","2,24301644",
03/01/2009 0.00,"5,31525897","31,86923512","2,20971725",
