,TARANTO,,,,
,Talsano,,,,
Parm,SO2,NOX,NO2,PM10,O3
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3 293K
,,,,,
,,,,,
04/01/2009 23.00,"11,547557","52,100755","47,690287","11,53317",
05/01/2009 0.00,"18,376853","52,871159","45,787619","11,53317",
05/01/2009 1.00,"23,529941","34,124667","32,496104","26,906931",
05/01/2009 2.00,"19,046254","51,833572","49,785056","26,906931",
05/01/2009 3.00,"19,403506","44,536808","42,546834","26,906931",
05/01/2009 4.00,"16,168378","62,122486","58,772832","26,906931",
05/01/2009 5.00,"9,916465","64,460919","61,665784","26,906931",
05/01/2009 6.00,"6,352961","51,735009","48,055001","26,906931",
05/01/2009 7.00,"4,332138","46,368139","42,066617","26,906931",
05/01/2009 8.00,"4,858996","83,783246","51,673461","26,906931",
05/01/2009 9.00,"6,838319","96,152509","44,933625","26,906931",
05/01/2009 10.00,"6,930339","57,976046","35,46693","26,906931",
05/01/2009 11.00,"19,591152","89,342082","54,00444","26,906931",
05/01/2009 12.00,"25,742018","44,957027","30,798495","26,906931",
05/01/2009 13.00,"56,00746","72,96129","50,056312","26,906931",
05/01/2009 14.00,"37,883198","67,930321","49,072531","26,906931",
05/01/2009 15.00,"15,97171","20,376757","14,389501","26,906931",
05/01/2009 16.00,"15,111054","26,969276","22,294836","26,906931",
05/01/2009 17.00,"10,062614","33,71615","29,974347","26,906931",
05/01/2009 18.00,"5,508546","22,979791","19,971643","26,906931",
05/01/2009 19.00,"4,96545","31,681189","28,888025","26,906931",
05/01/2009 20.00,"4,11923","29,573611","27,683599","26,906931",
05/01/2009 21.00,"3,682588","45,386309","42,728535","26,906931",
05/01/2009 22.00,"3,707849","40,003856","37,91083","26,906931",
05/01/2009 23.00,"3,751151","41,162071","39,592871","26,906931",
06/01/2009 0.00,"3,657328","21,372832","20,567365","26,906931",
06/01/2009 1.00,,"42,34749","41,024424","32,41568",
06/01/2009 2.00,"4,30327",,,"32,41568",
06/01/2009 3.00,"4,711043","35,013116","33,091824","32,41568",
06/01/2009 4.00,"5,945188","39,962366","37,829072","32,41568",
06/01/2009 5.00,"5,331724","45,0063","43,123095","32,41568",
06/01/2009 6.00,"4,519786","34,053331","32,184619","32,41568",
06/01/2009 7.00,"4,11923","36,368457","34,494829","32,41568",
06/01/2009 8.00,"6,619998","60,911079","54,911663","32,41568",
06/01/2009 9.00,"8,362958","48,528891","37,66942","32,41568",
06/01/2009 10.00,"10,315217","54,535151","36,762215","32,41568",
06/01/2009 11.00,"15,908564","60,79047","42,195103","32,41568",
06/01/2009 12.00,"13,765044","35,99879","25,857486","32,41568",
06/01/2009 13.00,"17,577543","16,32502","11,697717","32,41568",
06/01/2009 14.00,"9,33187","15,619466","11,162994","32,41568",
06/01/2009 15.00,"9,580864","13,545602","9,823594","32,41568",
06/01/2009 16.00,"8,272742","14,282284","11,19285","32,41568",
06/01/2009 17.00,"5,181967","28,51528","25,514856","32,41568",
06/01/2009 18.00,"4,936581","34,700544","30,694654","32,41568",
06/01/2009 19.00,"4,074123","34,972888","30,4286","32,41568",
06/01/2009 20.00,"3,751151","40,497994","36,485776","32,41568",
06/01/2009 21.00,"3,743935","40,569352","37,04125","32,41568",
06/01/2009 22.00,"3,891888","36,199856","33,405927","32,41568",
06/01/2009 23.00,"3,606808","32,220737","30,559686","32,41568",
07/01/2009 0.00,"2,663156","29,288263","28,588204","32,41568",
07/01/2009 1.00,"2,590983","23,047229","22,342847","29,32708",
07/01/2009 2.00,"2,239144","20,247066","19,616029","29,32708",
07/01/2009 3.00,"2,347402","16,288705","15,579648","29,32708",
07/01/2009 4.00,"2,017214","12,441877","11,724969","29,32708",
07/01/2009 5.00,"2,078561","10,658538","9,936509","29,32708",
07/01/2009 6.00,"2,213884","12,382217","10,930668","29,32708",
07/01/2009 7.00,"2,825543","23,865622","21,159205","29,32708",
07/01/2009 8.00,"2,881476","56,005919","45,386575","29,32708",
07/01/2009 9.00,"3,097993","67,695581","50,622187","29,32708",
07/01/2009 10.00,"3,615828","65,415504","47,21787","29,32708",
07/01/2009 11.00,"4,117426","25,118498","18,285713","29,32708",
07/01/2009 12.00,"3,707849","21,318359","15,745784","29,32708",
07/01/2009 13.00,"3,713261","17,710189","12,820372","29,32708",
07/01/2009 14.00,"3,547265","15,711551","11,539372","29,32708",
07/01/2009 15.00,"3,429986","13,658441","10,517946","29,32708",
07/01/2009 16.00,"3,642894","17,330174","14,469971","29,32708",
07/01/2009 17.00,"3,545461","20,033056","17,604332","29,32708",
07/01/2009 18.00,"3,018603","49,345986","46,083539","29,32708",
07/01/2009 19.00,"2,812913","44,530327","41,573435","29,32708",
07/01/2009 20.00,"2,935606","53,509249","50,160153","29,32708",
07/01/2009 21.00,"2,585571","47,026998","44,31842","29,32708",
07/01/2009 22.00,"3,090776","39,164738","36,930947","29,32708",
07/01/2009 23.00,"3,099798","33,24924","30,72582","29,32708",
08/01/2009 0.00,"2,767805","14,297847","12,398566","29,32708",
08/01/2009 1.00,,"9,495152","7,802807","24,05942",
08/01/2009 2.00,"3,442616",,,"24,05942",
08/01/2009 3.00,"3,455246","15,249829","11,968971","24,05942",
08/01/2009 4.00,"3,188209","13,882818","11,614654","24,05942",
08/01/2009 5.00,"3,321727","11,777826","9,104573","24,05942",
08/01/2009 6.00,"3,10521","11,795984","8,833317","24,05942",
08/01/2009 7.00,"3,058299","38,691326","27,744591","24,05942",
08/01/2009 8.00,"4,310486","111,861464","55,651452","24,05942",
08/01/2009 9.00,"5,575306","114,381459","53,801978","24,05942",
08/01/2009 10.00,"3,879258","86,113897","46,552075","24,05942",
08/01/2009 11.00,,,,"24,05942",
08/01/2009 12.00,,,,"24,05942",
08/01/2009 13.00,"2,953648","58,830766","46,561156","24,05942",
08/01/2009 14.00,"4,436789","42,221681","33,137253","24,05942",
08/01/2009 15.00,"1,71409","19,577829","16,725667","24,05942",
08/01/2009 16.00,"1,593203","33,739475","30,398752","24,05942",
08/01/2009 17.00,"0,165996","70,647502","66,647024","24,05942",
08/01/2009 18.00,"0,05052","45,362983","42,484524","24,05942",
08/01/2009 19.00,0,"39,989612","36,845272","24,05942",
08/01/2009 20.00,"0,016238","47,235805","43,969288","24,05942",
08/01/2009 21.00,"0,01263","99,200372","92,334512","24,05942",
08/01/2009 22.00,"0,032478","117,883289","110,749955","24,05942",
08/01/2009 23.00,"0,028869","114,682368","101,690865","24,05942",
09/01/2009 0.00,"0,113671","90,334273","84,176085","24,05942",
09/01/2009 1.00,"0,104649","83,552393","79,289604","18,936911",
09/01/2009 2.00,"0,018043","39,59662","36,724587","18,936911",
09/01/2009 3.00,"0,005412","26,800675","24,021009","18,936911",
09/01/2009 4.00,,"19,2017","16,732157","18,936911",
09/01/2009 5.00,"0,048716","16,467687","14,506315","18,936911",
09/01/2009 6.00,0,"11,845269","9,926127","18,936911",
09/01/2009 7.00,0,"13,484645","11,600373","18,936911",
09/01/2009 8.00,"0,014434","23,879885","21,274708","18,936911",
09/01/2009 9.00,"0,007218","28,827853","24,305228","18,936911",
09/01/2009 10.00,"0,010826","19,065526","14,532274","18,936911",
09/01/2009 11.00,"0,041499","13,380887","10,306393","18,936911",
09/01/2009 12.00,"0,086607","14,018997","11,073442","18,936911",
09/01/2009 13.00,"0,165996","9,894619","7,179829","18,936911",
09/01/2009 14.00,"0,110063","10,543106","8,36868","18,936911",
09/01/2009 15.00,"0,034282","16,277031","13,278524","18,936911",
09/01/2009 16.00,"0,032478","17,583085","14,851548","18,936911",
09/01/2009 17.00,,"14,911317","12,790528","18,936911",
09/01/2009 18.00,,"12,677926","10,74248","18,936911",
09/01/2009 19.00,"0,032478","15,641513","13,397931","18,936911",
09/01/2009 20.00,,"14,524819","11,817125","18,936911",
09/01/2009 21.00,,"14,12535","11,630227","18,936911",
09/01/2009 22.00,,"10,946466","8,275233","18,936911",
09/01/2009 23.00,,"7,0309","4,463382","18,936911",
10/01/2009 0.00,,"6,123017","3,771617","18,936911",
10/01/2009 1.00,,"8,881684","5,94036","17,34635",
10/01/2009 2.00,"0,016238",,,"17,34635",
10/01/2009 3.00,"0,021652","7,410913","4,493234","17,34635",
10/01/2009 4.00,,"8,517231","5,867679","17,34635",
10/01/2009 5.00,"0,01263","10,631301","8,023446","17,34635",
10/01/2009 6.00,,"9,774001","7,576979","17,34635",
10/01/2009 7.00,"0,014434","9,020458","6,863149","17,34635",
10/01/2009 8.00,"0,005412","11,565124","8,737276","17,34635",
10/01/2009 9.00,,"14,610419","11,824907","17,34635",
10/01/2009 10.00,,"19,134262","14,850245","17,34635",
10/01/2009 11.00,"0,010826","21,219796","16,172777","17,34635",
10/01/2009 12.00,"0,005412","18,222493","14,514097","17,34635",
10/01/2009 13.00,"0,02526","24,06925","19,831474","17,34635",
10/01/2009 14.00,"0,009022","13,5469","11,268119","17,34635",
10/01/2009 15.00,"0,032478","15,308191","13,368077","17,34635",
10/01/2009 16.00,,"19,485746","17,35255","17,34635",
10/01/2009 17.00,,"15,170712","13,18248","17,34635",
10/01/2009 18.00,,"24,11724","22,080693","17,34635",
10/01/2009 19.00,,"15,972242","14,113062","17,34635",
10/01/2009 20.00,,"25,148325","22,772455","17,34635",
10/01/2009 21.00,,"27,80065","24,851639","17,34635",
10/01/2009 22.00,,"30,441277","27,49282","17,34635",
10/01/2009 23.00,,"23,007019","20,183206","17,34635",
11/01/2009 0.00,,"18,138191","15,172123","17,34635",
11/01/2009 1.00,,"19,107031","16,179267","24,87369",
11/01/2009 2.00,,"24,451859","21,5317","24,87369",
