,TARANTO,,,,
,Talsano,,,,
Parm,SO2,NOX,NO2,PM10,O3
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3 293K
,,,,,
,,,,,
14/02/2009 8.00,"20,271372","60,112171","51,352895","16,44607",
14/02/2009 9.00,"19,066096","54,976154","42,956959","16,44607",
14/02/2009 10.00,"9,054007","27,992597","22,189716","16,44607",
14/02/2009 11.00,"11,300365","30,174112","22,877576","16,44607",
14/02/2009 12.00,"5,804452","15,828277","10,424508","16,44607",
14/02/2009 13.00,"2,901324","15,466422","10,793095","16,44607",
14/02/2009 14.00,"10,762677","27,603505","21,024217","16,44607",
14/02/2009 15.00,"8,846512","25,624318","20,136475","16,44607",
14/02/2009 16.00,"8,381001","24,078332","19,155275","16,44607",
14/02/2009 17.00,"12,465948","29,882284","24,817893","16,44607",
14/02/2009 18.00,"10,668858","29,301246","25,88345","16,44607",
14/02/2009 19.00,"9,992246","33,284228","30,499974","16,44607",
14/02/2009 20.00,"10,049984","39,671858","36,439049","16,44607",
14/02/2009 21.00,"10,143808","29,178037","27,159272","16,44607",
14/02/2009 22.00,"10,134786","43,899958","40,292435","16,44607",
14/02/2009 23.00,"5,102577","10,313542","9,309637","16,44607",
15/02/2009 0.00,"2,055105","7,7598","6,167488","16,44607",
15/02/2009 1.00,,"25,237826","23,403223","19,02821",
15/02/2009 2.00,"25,444311",,,"19,02821",
15/02/2009 3.00,"26,591854","23,480429","22,097556","19,02821",
15/02/2009 4.00,"33,182991","32,822519","30,608997","19,02821",
15/02/2009 5.00,"12,830411","46,447239","41,664275","19,02821",
15/02/2009 6.00,"8,814034","22,689263","20,684168","19,02821",
15/02/2009 7.00,"12,769065","43,483659","40,040642","19,02821",
15/02/2009 8.00,"4,1066","13,151322","10,668501","19,02821",
15/02/2009 9.00,"7,042206","29,321991","19,623812","19,02821",
15/02/2009 10.00,"25,265676","54,505346","31,655071","19,02821",
15/02/2009 11.00,"24,52592","39,347602","25,060602","19,02821",
15/02/2009 12.00,"13,732571","20,295057","14,142905","19,02821",
15/02/2009 13.00,"4,240119","9,774001","6,813829","19,02821",
15/02/2009 14.00,"3,556287","8,478322","5,55619","19,02821",
15/02/2009 15.00,"3,15573","7,858369","5,658723","19,02821",
15/02/2009 16.00,"3,46968","7,087965","5,22653","19,02821",
15/02/2009 17.00,"3,464267","9,039912","7,15517","19,02821",
15/02/2009 18.00,"7,942555","41,737927","38,920574","19,02821",
15/02/2009 19.00,"23,843899","51,475626","49,016719","19,02821",
15/02/2009 20.00,"7,626801","34,35556","32,490921","19,02821",
15/02/2009 21.00,"18,912731","30,674732","28,656998","19,02821",
15/02/2009 22.00,"25,902602","26,508865","24,663442","19,02821",
15/02/2009 23.00,"5,021383","9,667649","7,449787","19,02821",
16/02/2009 0.00,"11,875935","24,903206","23,073557","19,02821",
16/02/2009 1.00,"11,47177","19,872237","17,696479","16,942341",
16/02/2009 2.00,"6,232073","20,904622","18,350609","16,942341",
16/02/2009 3.00,"16,561722","31,22336","29,082704","16,942341",
16/02/2009 4.00,"14,169209","33,260903","28,725791","16,942341",
16/02/2009 5.00,"11,127149","30,958777","20,040435","16,942341",
16/02/2009 6.00,"11,217367","22,6724","12,668528","16,942341",
16/02/2009 7.00,"16,790852","32,918482","24,087185","16,942341",
16/02/2009 8.00,"11,24804","29,945839","20,288326","16,942341",
16/02/2009 9.00,"12,653594","27,742277","18,048199","16,942341",
16/02/2009 10.00,"17,882459","40,983069","28,401325","16,942341",
16/02/2009 11.00,"11,966154","27,768224","18,568652","16,942341",
16/02/2009 12.00,"4,456635","12,048894","8,009169","16,942341",
16/02/2009 13.00,"4,010971","14,668783","10,934565","16,942341",
16/02/2009 14.00,"4,315899","12,425016","8,93585","16,942341",
16/02/2009 15.00,"1,89813","11,845269","8,77751","16,942341",
16/02/2009 16.00,"2,520615","14,791997","11,902783","16,942341",
16/02/2009 17.00,"0,683832","16,611652","14,193521","16,942341",
16/02/2009 18.00,,"20,573904","18,698434","16,942341",
16/02/2009 19.00,,"32,02617","29,757601","16,942341",
16/02/2009 20.00,,"36,795139","34,859543","16,942341",
16/02/2009 21.00,,"34,164895","32,33127","16,942341",
16/02/2009 22.00,,"65,874614","61,58273","16,942341",
16/02/2009 23.00,"0,328383","89,805108","83,913913","16,942341",
17/02/2009 0.00,"0,151561","91,66107","84,739363","16,942341",
17/02/2009 1.00,,"88,012666","83,354537","25,56382",
17/02/2009 2.00,"1,847609",,,"25,56382",
17/02/2009 3.00,"2,222905","45,657394","42,126331","25,56382",
17/02/2009 4.00,"0,113671","31,314123","28,398725","25,56382",
17/02/2009 5.00,"0,021652","24,907088","22,820466","25,56382",
17/02/2009 6.00,,"16,527348","14,843756","25,56382",
17/02/2009 7.00,,"19,340472","16,760722","25,56382",
17/02/2009 8.00,"0,63692","51,35888","37,781043","25,56382",
17/02/2009 9.00,"4,126448","48,326564","31,468191","25,56382",
17/02/2009 10.00,"10,742835","35,49299","25,717318","25,56382",
17/02/2009 11.00,"10,400014","38,70301","29,883489","25,56382",
17/02/2009 12.00,"9,232633","30,727884","23,701725","25,56382",
17/02/2009 13.00,"4,223881","19,857974","16,040402","25,56382",
17/02/2009 14.00,"1,813327","14,705098","12,702268","25,56382",
17/02/2009 15.00,"1,779046","13,257674","12,305119","25,56382",
17/02/2009 16.00,"1,979324","16,94627","15,153946","25,56382",
17/02/2009 17.00,"1,134908","21,886435","20,5492","25,56382",
17/02/2009 18.00,"0,595421","63,92139","60,296522","25,56382",
17/02/2009 19.00,"0,229146","55,869767","53,740966","25,56382",
17/02/2009 20.00,"0,082998","27,700769","26,07813","25,56382",
17/02/2009 21.00,,"41,058325","39,454003","25,56382",
17/02/2009 22.00,,"46,086694","44,475471","25,56382",
17/02/2009 23.00,,"28,370006","26,824403","25,56382",
18/02/2009 0.00,"0,082998","7,331797","6,17787","25,56382",
18/02/2009 1.00,"0,077585","5,438214","4,700893","9,680234",
18/02/2009 2.00,"0,106454","3,791056","3,017553","9,680234",
18/02/2009 3.00,"0,039695","4,244997","3,521128","9,680234",
18/02/2009 4.00,,"4,255374","3,508149","9,680234",
18/02/2009 5.00,"0,01263","6,169708","4,455595","9,680234",
18/02/2009 6.00,"0,045108","7,637883","5,789807","9,680234",
18/02/2009 7.00,"0,046912","25,643781","23,808146","9,680234",
18/02/2009 8.00,"0,048716","32,131236","28,845196","9,680234",
18/02/2009 9.00,"0,081194","20,953913","18,196159","9,680234",
18/02/2009 10.00,"0,110063","28,175461","24,99831","9,680234",
18/02/2009 11.00,"0,147953","29,628084","26,680334","9,680234",
18/02/2009 12.00,"2,775023","31,839426","28,418208","9,680234",
18/02/2009 13.00,"3,19723","52,221385","44,706496","9,680234",
18/02/2009 14.00,"3,273011","48,745463","42,821993","9,680234",
18/02/2009 15.00,"2,96267","26,643738","23,039809","9,680234",
18/02/2009 16.00,"4,072318","23,921395","20,194868","9,680234",
18/02/2009 17.00,"1,634701","15,858109","13,291503","9,680234",
18/02/2009 18.00,"0,727136","15,507925","12,861905","9,680234",
18/02/2009 19.00,"0,277863","14,649329","11,808041","9,680234",
18/02/2009 20.00,"0,267038","13,060533","10,547802","9,680234",
18/02/2009 21.00,"0,108259","12,7752","9,717168","9,680234",
18/02/2009 22.00,"0,048716","10,652052","7,743107","9,680234",
18/02/2009 23.00,"0,02526","10,14364","7,024083","9,680234",
19/02/2009 0.00,"0,043303","10,037287","7,139595","9,680234",
19/02/2009 1.00,,"8,435523","5,547106","11,92429",
19/02/2009 2.00,"0,12991",,,"11,92429",
19/02/2009 3.00,"0,146149","8,063292","5,933871","11,92429",
19/02/2009 4.00,"0,111867","6,857105","5,024063","11,92429",
19/02/2009 5.00,"0,146149","6,374631","4,525679","11,92429",
19/02/2009 6.00,"0,097433","7,578223","5,534127","11,92429",
19/02/2009 7.00,"0,041499","10,141045","7,602936","11,92429",
19/02/2009 8.00,"0,018043","12,895819","9,924829","11,92429",
19/02/2009 9.00,"0,032478","12,443173","9,13702","11,92429",
19/02/2009 10.00,"0,005412","11,120261","8,042914","11,92429",
19/02/2009 11.00,"0,009022","11,584576","8,529615","11,92429",
19/02/2009 12.00,"0,02526","11,316103","8,098723","11,92429",
19/02/2009 13.00,"0,073977","10,316137","7,94687","11,92429",
19/02/2009 14.00,"1,477726","15,038421","11,978052","11,92429",
19/02/2009 15.00,"2,598201","18,481888","13,987165","11,92429",
19/02/2009 16.00,"7,666495","31,074186","24,085903","11,92429",
19/02/2009 17.00,"9,005291","23,959003","20,527137","11,92429",
19/02/2009 18.00,"1,571551","14,434032","12,480338","11,92429",
19/02/2009 19.00,"10,053593","21,733398","19,954778","11,92429",
19/02/2009 20.00,"5,084534","15,229075","13,409607","11,92429",
19/02/2009 21.00,"0,698266","11,911415","10,249289","11,92429",
19/02/2009 22.00,"10,672469","17,136926","16,089715","11,92429",
19/02/2009 23.00,"1,272036","11,141013","10,340143","11,92429",
20/02/2009 0.00,"0,470924","10,688368","9,849551","11,92429",
20/02/2009 1.00,"0,653159","9,930935","9,260319","12,10744",
20/02/2009 2.00,"7,376003","15,632434","14,214292","12,10744",
20/02/2009 3.00,"16,570744","23,020001","21,026817","12,10744",
20/02/2009 4.00,"16,20266","30,053485","28,096323","12,10744",
20/02/2009 5.00,"17,44582","18,645307","16,530989","12,10744",
20/02/2009 6.00,"10,79696","18,007196","15,505677","12,10744",
20/02/2009 7.00,"11,70092","29,357019","26,716681","12,10744",
20/02/2009 8.00,"15,255406","34,528023","30,4273","12,10744",
20/02/2009 9.00,"11,478991","21,162723","16,414188","12,10744",
20/02/2009 10.00,"16,700654","32,851066","25,348722","12,10744",
20/02/2009 11.00,"12,810569","33,92494","24,698488","12,10744",
20/02/2009 12.00,"7,769342","22,344262","16,634824","12,10744",
20/02/2009 13.00,"7,053032","20,344329","14,767183","12,10744",
20/02/2009 14.00,"8,243874","19,995446","14,855443","12,10744",
20/02/2009 15.00,"4,362812","17,374272","13,33693","12,10744",
20/02/2009 16.00,"6,232073","17,177133","12,930697","12,10744",
20/02/2009 17.00,"8,34311","22,934401","19,740615","12,10744",
20/02/2009 18.00,"5,465243","26,30782","25,09565","12,10744",
20/02/2009 19.00,"13,568376","24,254714","22,529746","12,10744",
20/02/2009 20.00,"1,327969","11,932167","10,21685","12,10744",
20/02/2009 21.00,"8,805013","20,308021","18,555675","12,10744",
20/02/2009 22.00,"0,920196","13,175964","11,599081","12,10744",
20/02/2009 23.00,"1,234146","14,685643","13,343419","12,10744",
21/02/2009 0.00,"1,732134","12,715539","11,074744","12,10744",
21/02/2009 1.00,,"27,177072","16,216527","8,512007",
21/02/2009 2.00,"1,158364",,,"8,512007",
21/02/2009 3.00,"9,041377","42,168528","39,717458","8,512007",
21/02/2009 4.00,"0,864263","14,113678","12,246711","8,512007",
21/02/2009 5.00,0,"12,895819","11,334309","8,512007",
21/02/2009 6.00,0,"16,343178","14,93461","8,512007",
21/02/2009 7.00,"3,920756","31,542416","29,857543","8,512007",
21/02/2009 8.00,"15,800305","45,024465","38,46242","8,512007",
21/02/2009 9.00,"1,825957","13,817968","10,502375","8,512007",
21/02/2009 10.00,"1,046497","16,230341","11,4628","8,512007",
21/02/2009 11.00,"1,941434","22,432463","15,725013","8,512007",
21/02/2009 12.00,,"10,083977","7,255107","8,512007",
21/02/2009 13.00,,"12,060567","8,94753","8,512007",
21/02/2009 14.00,,"12,299211","8,999445","8,512007",
21/02/2009 15.00,"1,97391","16,655748","12,807394","8,512007",
21/02/2009 16.00,,"8,707888","6,140233","8,512007",
21/02/2009 17.00,,"8,863525","6,337509","8,512007",
21/02/2009 18.00,,"11,49768","9,593871","8,512007",
21/02/2009 19.00,,"23,444103","21,169588","8,512007",
21/02/2009 20.00,,"20,210738","18,181887","8,512007",
21/02/2009 21.00,,"41,971361","39,169767","8,512007",
21/02/2009 22.00,"0,395143","49,930923","46,837595","8,512007",
21/02/2009 23.00,"0,167801","22,767081","20,325955","8,512007",
22/02/2009 0.00,,"30,698057","28,638833","8,512007",
22/02/2009 1.00,"0,786677","52,069629","48,544302","11,4249",
22/02/2009 2.00,"0,678419","61,081018","58,039541","11,4249",
22/02/2009 3.00,,"54,898338","47,21399","11,4249",
22/02/2009 4.00,,"70,023635","61,224515","11,4249",
22/02/2009 5.00,"2,848999","44,156799","41,992644","11,4249",
22/02/2009 6.00,"4,018189","65,890178","60,772841","11,4249",
22/02/2009 7.00,"4,543243","109,526911","72,493939","11,4249",
22/02/2009 8.00,"2,63609","51,427637","38,906293","11,4249",
22/02/2009 9.00,,"18,30939","14,781464","11,4249",
22/02/2009 10.00,"0,12991","29,511355","22,175433","11,4249",
22/02/2009 11.00,"3,195426","37,310059","28,242973","11,4249",
22/02/2009 12.00,,"19,829429","17,39408","11,4249",
22/02/2009 13.00,,"17,623292","14,947591","11,4249",
22/02/2009 14.00,,"13,519663","11,534186","11,4249",
22/02/2009 15.00,"0,539487","17,627181","15,090351","11,4249",
22/02/2009 16.00,"1,733938","23,136728","20,977488","11,4249",
22/02/2009 17.00,"1,878282","29,668292","25,97431","11,4249",
22/02/2009 18.00,"1,697852","57,231589","52,009609","11,4249",
22/02/2009 19.00,"1,766415","65,148322","57,037577","11,4249",
22/02/2009 20.00,"6,546022","94,514424","81,460932","11,4249",
22/02/2009 21.00,"2,168776","65,691731","62,313435","11,4249",
22/02/2009 22.00,"0,064955","129,195498","87,789362","11,4249",
22/02/2009 23.00,0,"82,19187","70,907931","11,4249",
23/02/2009 0.00,,"49,519766","46,440453","11,4249",
23/02/2009 1.00,,"29,471147","27,10216","24,86121",
23/02/2009 2.00,,,,"24,86121",
23/02/2009 3.00,,"13,423687","11,897584","24,86121",
23/02/2009 4.00,,"13,510585","11,810636","24,86121",
23/02/2009 5.00,,"11,825815","9,939105","24,86121",
23/02/2009 6.00,,"11,157874","9,249934","24,86121",
23/02/2009 7.00,,"15,235561","13,18897","24,86121",
23/02/2009 8.00,,"40,195823","31,688837","24,86121",
23/02/2009 9.00,"0,510618","46,231948","32,856916","24,86121",
23/02/2009 10.00,"1,075367","44,864944","31,488957","24,86121",
23/02/2009 11.00,"3,440812","13,631204","11,538081","24,86121",
23/02/2009 12.00,"5,477873","23,994011","19,835355","24,86121",
23/02/2009 13.00,"4,449418","17,484515","14,310335","24,86121",
23/02/2009 14.00,"2,784043","14,606529","11,850865","24,86121",
23/02/2009 15.00,"1,988345","12,600108","10,887845","24,86121",
23/02/2009 16.00,"4,720064","21,772306","18,63355","24,86121",
23/02/2009 17.00,"4,608198","22,944763","20,791891","24,86121",
23/02/2009 18.00,"0,106454","30,991205","32,056133","24,86121",
23/02/2009 19.00,,"23,514139","23,368177","24,86121",
23/02/2009 20.00,,"20,166647","20,050818","24,86121",
23/02/2009 21.00,,"34,871724","32,496104","24,86121",
23/02/2009 22.00,,"40,677014","37,603244","24,86121",
23/02/2009 23.00,,"39,815792","36,263833","24,86121",
24/02/2009 0.00,,"36,141484","32,706366","24,86121",
24/02/2009 1.00,,"29,5308","26,583013","27,0989",
24/02/2009 2.00,,"23,43502","20,551782","27,0989",
24/02/2009 3.00,,"20,260029","17,874294","27,0989",
24/02/2009 4.00,,"12,056675","11,188953","27,0989",
24/02/2009 5.00,,"6,557504","8,281723","27,0989",
24/02/2009 6.00,,"7,442041","8,764531","27,0989",
24/02/2009 7.00,,"14,572806","14,881402","27,0989",
24/02/2009 8.00,,"33,996298","31,250146","27,0989",
24/02/2009 9.00,,"52,234346","42,31321","27,0989",
24/02/2009 10.00,"0,303123","32,838102","26,126141","27,0989",
24/02/2009 11.00,"0,7127","11,783013","9,447211","27,0989",
24/02/2009 12.00,"0,591813","9,579455","7,38619","27,0989",
24/02/2009 13.00,"0,023456","8,063292","6,562041","27,0989",
24/02/2009 14.00,"0,101041","8,751984","6,634722","27,0989",
24/02/2009 15.00,,"9,645599","7,531551","27,0989",
24/02/2009 16.00,,"10,46918","8,307679","27,0989",
24/02/2009 17.00,,"12,191562","10,177912","27,0989",
24/02/2009 18.00,,"12,195453","10,677594","27,0989",
24/02/2009 19.00,,"16,151224","14,65816","27,0989",
24/02/2009 20.00,,"19,24709","18,01316","27,0989",
24/02/2009 21.00,,"22,349462","21,312336","27,0989",
24/02/2009 22.00,,"23,706083","22,178033","27,0989",
24/02/2009 23.00,,"20,952613","20,194868","27,0989",
25/02/2009 0.00,,"24,700879","23,97688","27,0989",
25/02/2009 1.00,,"20,678948","19,972943","23,95834",
25/02/2009 2.00,,,,"23,95834",
25/02/2009 3.00,,"22,4169","20,563483","23,95834",
25/02/2009 4.00,,"19,147227","17,296735","23,95834",
25/02/2009 5.00,,"17,256247","14,74512","23,95834",
25/02/2009 6.00,,"18,577864","15,937869","23,95834",
25/02/2009 7.00,,"21,199051","18,167606","23,95834",
25/02/2009 8.00,,"46,326631","38,540299","23,95834",
25/02/2009 9.00,,"53,690851","41,112685","23,95834",
25/02/2009 10.00,,"26,872013","20,263663","23,95834",
25/02/2009 11.00,"0,052325","10,727277","8,112998","23,95834",
25/02/2009 12.00,,"8,751984","6,425765","23,95834",
25/02/2009 13.00,"0,009022","7,932297","5,67819","23,95834",
25/02/2009 14.00,"0,030673","7,372004","5,335552","23,95834",
25/02/2009 15.00,,"7,1593","5,077276","23,95834",
25/02/2009 16.00,,"8,606724","6,31934","23,95834",
25/02/2009 17.00,,"13,124086","10,938462","23,95834",
25/02/2009 18.00,,"19,868337","17,81848","23,95834",
25/02/2009 19.00,"3,260381","30,576168","28,586922","23,95834",
25/02/2009 20.00,"0,238168","24,524477","22,646549","23,95834",
25/02/2009 21.00,,"34,115604","31,525305","23,95834",
25/02/2009 22.00,,"28,945862","26,298775","23,95834",
25/02/2009 23.00,"0,671202","66,491996","60,596345","23,95834",
26/02/2009 0.00,"0,362665","48,238365","43,88753","23,95834",
26/02/2009 1.00,,"17,500079","15,558886","21,59149",
26/02/2009 2.00,,"11,007424","8,582828","21,59149",
26/02/2009 3.00,,"11,375765","8,438765","21,59149",
26/02/2009 4.00,"0,084803","10,990562","8,440061","21,59149",
26/02/2009 5.00,,"11,321292","9,409574","21,59149",
26/02/2009 6.00,,"9,889432","8,01436","21,59149",
26/02/2009 7.00,"3,309097","42,085508","36,092496","21,59149",
26/02/2009 8.00,"18,580731","85,266996","64,73525","21,59149",
26/02/2009 9.00,"23,448744","44,056915","32,114545","21,59149",
26/02/2009 10.00,"11,859695","31,55666","22,380495","21,59149",
26/02/2009 11.00,"2,719089","18,208227","12,81778","21,59149",
26/02/2009 12.00,"1,853022","16,011152","11,16689","21,59149",
26/02/2009 13.00,"0,514227","15,003403","10,138978","21,59149",
26/02/2009 14.00,"1,96489","17,186211","12,418036","21,59149",
26/02/2009 15.00,"1,268427","16,858077","13,024146","21,59149",
26/02/2009 16.00,,"12,623453","10,270059","21,59149",
26/02/2009 17.00,,"21,563497","19,375921","21,59149",
26/02/2009 18.00,,"26,114573","24,533674","21,59149",
26/02/2009 19.00,,"36,853532","34,980229","21,59149",
26/02/2009 20.00,,"36,415148","34,553223","21,59149",
26/02/2009 21.00,"0,113671","65,006948","61,497066","21,59149",
26/02/2009 22.00,"1,582377","50,584599","48,088749","21,59149",
26/02/2009 23.00,,"23,743712","21,886013","21,59149",
27/02/2009 0.00,,"43,745642","42,358639","21,59149",
27/02/2009 1.00,,"46,170994","44,334003","27,198071",
27/02/2009 2.00,,,,"27,198071",
27/02/2009 3.00,,"28,853781","26,985337","27,198071",
27/02/2009 4.00,,"22,773564","20,856783","27,198071",
27/02/2009 5.00,,"21,505123","19,625112","27,198071",
27/02/2009 6.00,,"20,025274","17,099464","27,198071",
27/02/2009 7.00,,"43,128296","38,384564","27,198071",
27/02/2009 8.00,,"65,398641","39,525379","27,198071",
27/02/2009 9.00,,"99,52721","58,948048","27,198071",
27/02/2009 10.00,"0,806525","78,865125","59,790361","27,198071",
27/02/2009 11.00,,"21,529769","17,111139","27,198071",
27/02/2009 12.00,,"17,720564","14,624421","27,198071",
27/02/2009 13.00,"2,071343","17,13563","14,459585","27,198071",
27/02/2009 14.00,"0,29771","22,864365","20,018372","27,198071",
27/02/2009 15.00,,"21,557015","19,309727","27,198071",
27/02/2009 16.00,"0,010826","27,402476","24,205288","27,198071",
27/02/2009 17.00,,"23,834495","21,797736","27,198071",
27/02/2009 18.00,,"23,60364","21,784773","27,198071",
27/02/2009 19.00,,"39,185463","37,714849","27,198071",
27/02/2009 20.00,,"54,758244","52,949264","27,198071",
27/02/2009 21.00,,"65,332502","63,478917","27,198071",
27/02/2009 22.00,"0,826372","81,989543","80,587453","27,198071",
27/02/2009 23.00,"1,353229","48,425127","45,888859","27,198071",
28/02/2009 0.00,,"37,438468","35,120399","27,198071",
28/02/2009 1.00,,"29,945839","27,647251","27,49287",
28/02/2009 2.00,"0,007218","48,170927","45,783717","27,49287",
28/02/2009 3.00,"0,49438","46,321449","43,381365","27,49287",
28/02/2009 4.00,"0,023456","20,865712","18,470016","27,49287",
28/02/2009 5.00,,"13,829641","11,854761","27,49287",
28/02/2009 6.00,,"21,073242","20,198769","27,49287",
28/02/2009 7.00,,"45,177501","43,004988","27,49287",
28/02/2009 8.00,,"34,059851","30,614197","27,49287",
28/02/2009 9.00,"0,010826","27,416741","22,785438","27,49287",
28/02/2009 10.00,"7,312852","50,963288","39,511116","27,49287",
28/02/2009 11.00,"3,922561","21,87217","17,221464","27,49287",
28/02/2009 12.00,"13,120906","19,494808","15,21755","27,49287",
28/02/2009 13.00,"1,275644","16,747833","13,724996","27,49287",
28/02/2009 14.00,"1,331577","23,444103","20,412914","27,49287",
28/02/2009 15.00,"0,923805","27,019867","23,900306","27,49287",
28/02/2009 16.00,,"16,963132","15,113717","27,49287",
28/02/2009 17.00,,"21,068041","19,273399","27,49287",
28/02/2009 18.00,,"33,496938","32,549315","27,49287",
28/02/2009 19.00,,"29,171536","28,457136","27,49287",
28/02/2009 20.00,,"48,235783","47,251618","27,49287",
28/02/2009 21.00,,"53,942451","50,749392","27,49287",
28/02/2009 22.00,,"57,092815","54,567732","27,49287",
28/02/2009 23.00,,"58,782755","56,434056","27,49287",
01/03/2009 0.00,,"48,967275","47,35804","27,49287",
01/03/2009 1.00,,"56,941059","55,934371","30,704241",
01/03/2009 2.00,,,,"30,704241",
01/03/2009 3.00,,"37,533133","35,704457","30,704241",
01/03/2009 4.00,,"35,028681","33,529213","30,704241",
01/03/2009 5.00,,"34,47487","32,695984","30,704241",
01/03/2009 6.00,,"35,607137","33,722594","30,704241",
01/03/2009 7.00,,"19,05126","17,198102","30,704241",
01/03/2009 8.00,,"20,151084","16,118268","30,704241",
01/03/2009 9.00,,"37,670605","29,094387","30,704241",
01/03/2009 10.00,,"27,169021","24,294846","30,704241",
01/03/2009 11.00,,"17,825619","15,440781","30,704241",
01/03/2009 12.00,,"16,164194","13,902798","30,704241",
01/03/2009 13.00,,"18,300311","15,775628","30,704241",
01/03/2009 14.00,,"20,160165","17,575779","30,704241",
01/03/2009 15.00,,"15,111051","13,288908","30,704241",
01/03/2009 16.00,,"13,939883","12,784039","30,704241",
01/03/2009 17.00,,"10,720792","9,038382","30,704241",
01/03/2009 18.00,,"15,554616","13,663995","30,704241",
01/03/2009 19.00,,"18,457246","16,497248","30,704241",
01/03/2009 20.00,,"37,310059","29,84196","30,704241",
01/03/2009 21.00,,"45,065973","42,592267","30,704241",
01/03/2009 22.00,,"30,027538","29,069722","30,704241",
01/03/2009 23.00,,"38,315197","33,560379","30,704241",
02/03/2009 0.00,,"40,693859","38,912792","30,704241",
02/03/2009 1.00,,"18,203039","17,413549","24,779131",
02/03/2009 2.00,,"10,937387","9,312234","24,779131",
02/03/2009 3.00,,"7,75072","6,894297","24,779131",
02/03/2009 4.00,,"6,334423","5,118808","24,779131",
02/03/2009 5.00,,"8,259134","7,340764","24,779131",
02/03/2009 6.00,,"10,427675","9,297956","24,779131",
02/03/2009 7.00,,"15,78029","14,163677","24,779131",
02/03/2009 8.00,,"50,907535","37,003622","24,779131",
02/03/2009 9.00,,"35,079274","27,530448","24,779131",
02/03/2009 10.00,,"15,408058","12,425828","24,779131",
02/03/2009 11.00,,"19,101842","16,366164","24,779131",
02/03/2009 12.00,,"18,642714","15,630272","24,779131",
02/03/2009 13.00,,"18,343113","15,709439","24,779131",
02/03/2009 14.00,,"18,127815","15,234416","24,779131",
02/03/2009 15.00,,"15,527379","13,227908","24,779131",
02/03/2009 16.00,,"16,768585","13,475806","24,779131",
02/03/2009 17.00,,"22,252181","19,059252","24,779131",
02/03/2009 18.00,,"27,515304","24,542757","24,779131",
02/03/2009 19.00,,"24,101677","21,884713","24,779131",
02/03/2009 20.00,,"26,421966","23,752355","24,779131",
02/03/2009 21.00,,"20,419567","19,261698","24,779131",
02/03/2009 22.00,,"21,073242","19,998907","24,779131",
02/03/2009 23.00,,"40,896168","38,531214","24,779131",
03/03/2009 0.00,,"52,45354","50,210764","24,779131",
03/03/2009 1.00,,"27,524387","25,726399","35,480381",
03/03/2009 2.00,,,,"35,480381",
03/03/2009 3.00,,"23,335157","21,468088","35,480381",
03/03/2009 4.00,,"16,445638","14,507607","35,480381",
03/03/2009 5.00,,"11,264225","9,426445","35,480381",
03/03/2009 6.00,,"10,748029","9,04487","35,480381",
03/03/2009 7.00,,"12,819298","11,151317","35,480381",
03/03/2009 8.00,,"37,014351","26,393515","35,480381",
03/03/2009 9.00,"0,931022","52,732386","37,670718","35,480381",
03/03/2009 10.00,"3,940604","48,488662","37,478642","35,480381",
03/03/2009 11.00,"1,351425","31,51777","23,709506","35,480381",
03/03/2009 12.00,"0,167801","20,087529","15,086456","35,480381",
03/03/2009 13.00,,"24,351995","19,562818","35,480381",
03/03/2009 14.00,,,,"35,480381",
03/03/2009 15.00,,,,"35,480381",
03/03/2009 16.00,,,,"35,480381",
03/03/2009 17.00,,,,"35,480381",
03/03/2009 18.00,,,,"35,480381",
03/03/2009 19.00,,,,"35,480381",
03/03/2009 20.00,,,,"35,480381",
03/03/2009 21.00,,,,"35,480381",
03/03/2009 22.00,,,,"35,480381",
03/03/2009 23.00,,,,"35,480381",
04/03/2009 0.00,,,,"35,480381",
04/03/2009 1.00,,,,"22,99469",
04/03/2009 2.00,,,,"22,99469",
04/03/2009 3.00,,,,"22,99469",
04/03/2009 4.00,,,,"22,99469",
04/03/2009 5.00,,,,"22,99469",
04/03/2009 6.00,,,,"22,99469",
04/03/2009 7.00,,,,"22,99469",
04/03/2009 8.00,,,,"22,99469",
04/03/2009 9.00,,,,"22,99469",
04/03/2009 10.00,,,,"22,99469",
04/03/2009 11.00,,,,"22,99469",
04/03/2009 12.00,,,,"22,99469",
04/03/2009 13.00,,,,"22,99469",
04/03/2009 14.00,,,,"22,99469",
04/03/2009 15.00,,,,"22,99469",
04/03/2009 16.00,,,,"22,99469",
04/03/2009 17.00,,,,"22,99469",
04/03/2009 18.00,,,,"22,99469",
04/03/2009 19.00,,,,"22,99469",
04/03/2009 20.00,,,,"22,99469",
04/03/2009 21.00,,,,"22,99469",
04/03/2009 22.00,,,,"22,99469",
04/03/2009 23.00,,,,"22,99469",
05/03/2009 0.00,,,,"22,99469",
05/03/2009 1.00,,,,"26,45652",
05/03/2009 2.00,"0,122693",,,"26,45652",
05/03/2009 3.00,"0,146149",,,"26,45652",
05/03/2009 4.00,"0,099237",,,"26,45652",
05/03/2009 5.00,"0,359057",,,"26,45652",
05/03/2009 6.00,"0,135323",,,"26,45652",
05/03/2009 7.00,"0,090215",,,"26,45652",
05/03/2009 8.00,"0,315753",,,"26,45652",
05/03/2009 9.00,"0,694658",,,"26,45652",
05/03/2009 10.00,"0,333797",,,"26,45652",
05/03/2009 11.00,"0,839003",,,"26,45652",
05/03/2009 12.00,"0,173213",,,"26,45652",
