NetC,Foggia,,,
,Stat,Manfredonia - Zona 167 - Viale Michelangelo,,,
Parm,SO2,NO2,CO,PM10



05/01/2009 16.00,"2,07336604","11,77039628",,"30,49138069"
05/01/2009 17.00,"2,60073851","22,64006848",,"30,49138069"
05/01/2009 18.00,"2,39123447","19,07093043",,"30,49138069"
05/01/2009 19.00,"2,29731859","22,98269888",,"30,49138069"
05/01/2009 20.00,"2,30454336","26,41688032",,"30,49138069"
05/01/2009 21.00,"2,75967221","37,2826616",,"30,49138069"
05/01/2009 22.00,"2,62241179","35,10483624",,"30,49138069"
05/01/2009 23.00,"2,47611939","28,76602088",,"30,49138069"
06/01/2009 0.00,"2,27022774","19,93529592",,"30,49138069"
06/01/2009 1.00,,"16,78407518",,"30,37091064"
06/01/2009 2.00,"1,95958408",,,"30,37091064"
06/01/2009 3.00,"1,97042021","11,14611872",,"30,37091064"
06/01/2009 4.00,"1,69228597","6,89429725",,"30,37091064"
06/01/2009 5.00,"1,73021396","4,7372343",,"30,37091064"
06/01/2009 6.00,"1,86386302","4,07531902",,"30,37091064"
06/01/2009 7.00,"1,57127924","5,93387097",,"30,37091064"
06/01/2009 8.00,"1,88914767","9,39399825",,"30,37091064"
06/01/2009 9.00,"1,81871127","11,6458008",,"30,37091064"
06/01/2009 10.00,"1,95597169","16,30775774",,"30,37091064"
06/01/2009 11.00,"1,68325602","14,12473939",,"30,37091064"
06/01/2009 12.00,"2,16366953","13,81195531",,"30,37091064"
06/01/2009 13.00,"1,99389969","11,93652231",,"30,37091064"
06/01/2009 14.00,"2,22868838","10,49588576",,"30,37091064"
06/01/2009 15.00,"2,06072371","4,9708501",,"30,37091064"
06/01/2009 16.00,"1,92346329","3,84689238",,"30,37091064"
06/01/2009 17.00,"1,83677116","17,19030826",,"30,37091064"
06/01/2009 18.00,"2,8517819","41,0426096",,"30,37091064"
06/01/2009 19.00,"2,68562343","36,7803792",,"30,37091064"
06/01/2009 20.00,"3,04864361","38,01855216",,"30,37091064"
06/01/2009 21.00,"2,62963554","34,9711492",,"30,37091064"
06/01/2009 22.00,"2,4038768","30,27934976",,"30,37091064"
06/01/2009 23.00,"2,44361099","41,69802408",,"30,37091064"
07/01/2009 0.00,"2,29731859","25,416216",,"30,37091064"
07/01/2009 1.00,"2,18353663","13,41609866",,"29,79282951"
07/01/2009 2.00,"1,85302587","16,69323033",,"29,79282951"
07/01/2009 3.00,"1,95236033","10,9228889",,"29,79282951"
07/01/2009 4.00,"1,70492829","8,5763391",,"29,79282951"
07/01/2009 5.00,"1,79161941","5,24210554",,"29,79282951"
07/01/2009 6.00,"1,7934256","6,0117429",,"29,79282951"
07/01/2009 7.00,"1,75549862","14,83856738",,"29,79282951"
07/01/2009 8.00,"2,45444712","36,00296",,"29,79282951"
07/01/2009 9.00,"3,2129959","43,31517456",,"29,79282951"
07/01/2009 10.00,"3,26898378","41,421568",,"29,79282951"
07/01/2009 11.00,"2,66033877","36,43514848",,"29,79282951"
07/01/2009 12.00,"2,03182667","19,08780383",,"29,79282951"
07/01/2009 13.00,"2,16005817","13,95212403",,"29,79282951"
07/01/2009 14.00,"2,29190103","12,69059217",,"29,79282951"
07/01/2009 15.00,"2,32441045","11,8417808",,"29,79282951"
07/01/2009 16.00,"2,40748918","11,61855098",,"29,79282951"
07/01/2009 17.00,"2,31176711","14,35576253",,"29,79282951"
07/01/2009 18.00,"2,51585358","21,59917568",,"29,79282951"
07/01/2009 19.00,"2,5122412","24,7582012",,"29,79282951"
07/01/2009 20.00,"2,34969511","28,67258144",,"29,79282951"
07/01/2009 21.00,"2,59531993","23,96259888",,"29,79282951"
07/01/2009 22.00,"2,60796226","27,07489512",,"29,79282951"
07/01/2009 23.00,"2,7994064","21,610858",,"29,79282951"
08/01/2009 0.00,"2,55197437","17,93269006",,"29,79282951"
08/01/2009 1.00,,"17,59784342",,"31,60832977"
08/01/2009 2.00,"2,36414363",,,"31,60832977"
08/01/2009 3.00,"2,35872505","8,2466797",,"31,60832977"
08/01/2009 4.00,"2,53391449","6,88391509",,"31,60832977"
08/01/2009 5.00,"2,42374389","4,28038293",,"31,60832977"
08/01/2009 6.00,"2,27564632","3,5600637",,"31,60832977"
