NetC,Foggia,,,
,Stat,Manfredonia - Zona 167 - Viale Michelangelo,,,
Parm,SO2,NO2,CO,PM10



27/03/2009 15.00,"0,24020726","10,84890788","0,26067108","40,42340088"
27/03/2009 16.00,"0,15170996","11,62892549","0,31724465","40,42340088"
27/03/2009 17.00,"0,22214636","12,93198982","0,34898507","40,42340088"
27/03/2009 18.00,"0,08849731","16,47778043","0,47175394","40,42340088"
27/03/2009 19.00,"0,09933344","34,50391376","0,64298564","40,42340088"
27/03/2009 20.00,"0,10294583","45,4475708","0,61570833","40,42340088"
27/03/2009 21.00,"0,09752725","22,66861464","0,34040834","40,42340088"
27/03/2009 22.00,"0,06501884","30,4493648","0,43826718","40,42340088"
27/03/2009 23.00,"0,05598788","17,32269514","0,30785475","40,42340088"
28/03/2009 0.00,"0,06863021","13,92616481","0,2789476","40,42340088"
28/03/2009 1.00,"0,12100673","12,38558802","0,32539266","51,52584076"
28/03/2009 2.00,"0,13003667","7,94557221","0,28410739","51,52584076"
28/03/2009 3.00,"0,08488492","4,8514457","0,27708477","51,52584076"
28/03/2009 4.00,"0,09391588","5,24989312","0,26074914","51,52584076"
28/03/2009 5.00,"0,15351615","5,97021235","0,30059913","51,52584076"
28/03/2009 6.00,"0,17338223","17,13060798","0,3894164","51,52584076"
28/03/2009 7.00,"0,25826817","16,58809327","0,2976109","51,52584076"
28/03/2009 8.00,"0,27271669","19,9301144","0,31922398","51,52584076"
28/03/2009 9.00,"0,3214798","10,35571704","0,35410641","51,52584076"
28/03/2009 10.00,"0,24020726","7,83265905","0,22264548","51,52584076"
28/03/2009 11.00,"0,25284959","6,63472222","0,23288933","51,52584076"
28/03/2009 12.00,"0,15712752","6,30895757","0,24538395","51,52584076"
28/03/2009 13.00,"0,16435229","10,83333464","0,34409557","51,52584076"
28/03/2009 14.00,"0,1083644","10,35961178","0,27332065","51,52584076"
28/03/2009 15.00,"0,05418169","5,9689141","0,28468989","51,52584076"
28/03/2009 16.00,"0,04515175","7,30182858","0,27576482","51,52584076"
28/03/2009 17.00,"0,02889704","8,56855343","0,29450618","51,52584076"
28/03/2009 18.00,"0,01625471","11,23177632","0,22171465","51,52584076"
28/03/2009 19.00,"0,00722477","12,77754993","0,3153422","51,52584076"
28/03/2009 20.00,"0,01264233","13,412202","0,34401868","51,52584076"
28/03/2009 21.00,"0,00902994","11,94950097","0,36504809","51,52584076"
28/03/2009 22.00,"0,00180619","15,39016791","0,28251716","51,52584076"
28/03/2009 23.00,"0,00361238","9,15778594","0,26362086","51,52584076"
29/03/2009 0.00,,"6,08053093","0,26501653","51,52584076"
29/03/2009 1.00,,"5,34463846","0,3026938","46,36087036"
29/03/2009 2.00,"0,00361238",,"0,36834621","46,36087036"
29/03/2009 3.00,,"6,17138152",,"46,36087036"
29/03/2009 4.00,"0,00180619","3,16421278","0,19015596","46,36087036"
29/03/2009 5.00,"0,00180619","3,07206394","0,10253631","46,36087036"
29/03/2009 6.00,,"2,8150854","0,11182952","46,36087036"
29/03/2009 7.00,,"4,88389234","0,06716342","46,36087036"
29/03/2009 8.00,"0,00361238","6,02212698","0,12265353","46,36087036"
29/03/2009 9.00,,"6,84108438","0,25121128","46,36087036"
29/03/2009 10.00,,"7,1460847","0,28919611","46,36087036"
29/03/2009 11.00,,"8,7697226","0,41472486","46,36087036"
29/03/2009 12.00,,"10,55429162","0,36178726","46,36087036"
29/03/2009 13.00,,"6,67885118","0,19858241","46,36087036"
29/03/2009 14.00,,"4,2738936","0,21547957","46,36087036"
29/03/2009 15.00,,"4,53736146","0,25831895","46,36087036"
29/03/2009 16.00,,"4,50880766","0,31316016","46,36087036"
29/03/2009 17.00,,"8,64512712","0,30974321","46,36087036"
29/03/2009 18.00,,"8,09223217","0,24387178","46,36087036"
29/03/2009 19.00,,"15,60172115","0,45628274","46,36087036"
29/03/2009 20.00,,"16,99043926","0,41053086","46,36087036"
29/03/2009 21.00,"0,00180619","16,406394","0,26573767","46,36087036"
29/03/2009 22.00,,"6,43744588","0,17840111","46,36087036"
29/03/2009 23.00,,"5,05650962","0,27952544","46,36087036"
30/03/2009 0.00,,"2,94617021","0,26868861","46,36087036"
30/03/2009 1.00,,"4,00912749","0,25338634","56,45746994"
30/03/2009 2.00,,"2,19210609","0,26449461","56,45746994"
30/03/2009 3.00,,"2,08568034","0,24057017","56,45746994"
30/03/2009 4.00,,"2,44778638","0,22476229","56,45746994"
30/03/2009 5.00,,"5,74178571","0,23687945","56,45746994"
30/03/2009 6.00,,"17,91711491","0,3612432","56,45746994"
30/03/2009 7.00,,"17,30193465","0,3586802","56,45746994"
30/03/2009 8.00,,"15,45894829","0,36446676","56,45746994"
30/03/2009 9.00,,"12,82037299","0,30861549","56,45746994"
30/03/2009 10.00,,"10,5478023","0,23987117","56,45746994"
30/03/2009 11.00,,"11,42775823","0,26764128","56,45746994"
30/03/2009 12.00,,"12,09615902","0,27917594","56,45746994"
30/03/2009 13.00,,"11,12405615","0,65731514","56,45746994"
30/03/2009 14.00,,"11,85994862","0,25171689","56,45746994"
30/03/2009 15.00,,"10,87227252","0,29144922","56,45746994"
30/03/2009 16.00,,"8,59321058","0,23136551","56,45746994"
30/03/2009 17.00,,"10,36739362","0,21699407","56,45746994"
30/03/2009 18.00,,"12,78663384","0,31898632","56,45746994"
30/03/2009 19.00,,"20,1624224","0,55951688","56,45746994"
30/03/2009 20.00,,"25,36170488","0,45430224","56,45746994"
30/03/2009 21.00,,"19,62901264","0,40284069","56,45746994"
30/03/2009 22.00,,"9,53806171","0,14934834","56,45746994"
30/03/2009 23.00,,"10,1805071","0,23905451","56,45746994"
31/03/2009 0.00,,"6,01044466","0,22398523","56,45746994"
31/03/2009 1.00,,,,"33,73096085"
31/03/2009 2.00,,,,"33,73096085"
31/03/2009 3.00,,"3,6028925",,"33,73096085"
31/03/2009 4.00,,"3,71450932","0,18701279","33,73096085"
31/03/2009 5.00,,"5,82355239","0,21767792","33,73096085"
31/03/2009 6.00,"0,00180619","17,45248744","0,25501151","33,73096085"
31/03/2009 7.00,,"22,1313044","0,57546224","33,73096085"
31/03/2009 8.00,,"20,48560776","0,22322216","33,73096085"
31/03/2009 9.00,,"15,92099456","0,30575775","33,73096085"
31/03/2009 10.00,,"17,76007279","0,22105176","33,73096085"
31/03/2009 11.00,,"10,81256458","0,21760103","33,73096085"
31/03/2009 12.00,,"13,8158405","0,27606306","33,73096085"
31/03/2009 13.00,,"9,30574415","0,24950689","33,73096085"
31/03/2009 14.00,,"10,17531028","0,2354733","33,73096085"
31/03/2009 15.00,,"10,96182486","0,34173411","33,73096085"
31/03/2009 16.00,,"12,16884752","0,36018771","33,73096085"
31/03/2009 17.00,,"14,81650482","0,2780389","33,73096085"
31/03/2009 18.00,,"16,06895277","0,43915607","33,73096085"
31/03/2009 19.00,,"13,09941792","0,37612025","33,73096085"
31/03/2009 20.00,,"13,32135714","0,37615986","33,73096085"
31/03/2009 21.00,,"14,22597023","0,37235963","33,73096085"
31/03/2009 22.00,,"10,31028983","0,25253006","33,73096085"
31/03/2009 23.00,,"7,43550988","0,22287382","33,73096085"
01/04/2009 0.00,,"6,31414865","0,2350073","33,73096085"
01/04/2009 1.00,,"4,52697739","0,30591269","48,47293091"
01/04/2009 2.00,,"5,29272192","0,30261807","48,47293091"
01/04/2009 3.00,"0,00180619","5,8521062","0,24923544","48,47293091"
01/04/2009 4.00,,"8,20904198","0,34727718","48,47293091"
01/04/2009 5.00,"0,00361238","18,44665096","0,39131768","48,47293091"
01/04/2009 6.00,,"25,73030024","0,49521471","48,47293091"
01/04/2009 7.00,"0,00361238","17,5238624","0,49482676","48,47293091"
01/04/2009 8.00,"0,00361238","18,49726734","0,45070938","48,47293091"
01/04/2009 9.00,"0,00722477","18,68416534","0,31700116","48,47293091"
01/04/2009 10.00,"0,00722477","13,2032529","0,28544364","48,47293091"
01/04/2009 11.00,,"9,85993544","0,32355312","48,47293091"
01/04/2009 12.00,,"11,4005065","0,33696577","48,47293091"
01/04/2009 13.00,"0,01083614","15,1656341","0,37437625","48,47293091"
01/04/2009 14.00,"0,00541858","11,19673318","0,31610877","48,47293091"
01/04/2009 15.00,,"13,2240134","0,22748606","48,47293091"
01/04/2009 16.00,,"21,51221792","0,43586145","48,47293091"
01/04/2009 17.00,"0,00180619","22,34284808","0,44423547","48,47293091"
01/04/2009 18.00,"0,00722477","28,89450728","0,46951131","48,47293091"
01/04/2009 19.00,"0,00541858","21,37334936","0,5199861","48,47293091"
01/04/2009 20.00,"0,00902994","12,82816439","0,40314126","48,47293091"
01/04/2009 21.00,,"7,49391383","0,2124063","48,47293091"
01/04/2009 22.00,,"11,87941661","0,32363001","48,47293091"
01/04/2009 23.00,"0,00180619","11,04748246","0,27094522","48,47293091"
02/04/2009 0.00,"0,00180619","3,67816985","0,24985522","48,47293091"
02/04/2009 1.00,,"2,22714922","0,23966031","29,07649994"
02/04/2009 2.00,,,"0,25667863","29,07649994"
02/04/2009 3.00,"0,00180619","3,23299889",,"29,07649994"
02/04/2009 4.00,"0,00180619","3,62884981","0,07339267","29,07649994"
02/04/2009 5.00,,"3,57563694","0,07618867","29,07649994"
02/04/2009 6.00,,"7,49001909","0,13555707","29,07649994"
02/04/2009 7.00,,"16,75941994","0,18147671","29,07649994"
02/04/2009 8.00,"0,00180619","15,52384539","0,32774596","29,07649994"
02/04/2009 9.00,"0,00180619","9,15129662","0,11416418","29,07649994"
02/04/2009 10.00,"0,00180619","8,77101894","0,12231918","29,07649994"
02/04/2009 11.00,"0,00180619","7,55491237","0,16527972","29,07649994"
02/04/2009 12.00,,"9,66655194","0,11240619","29,07649994"
02/04/2009 13.00,"0,00180619","10,67239586","0,11236891","29,07649994"
02/04/2009 14.00,,"7,89235934","0,17588937","29,07649994"
02/04/2009 15.00,,"8,15972194","0,17237806","29,07649994"
02/04/2009 16.00,,"9,30184941","0,0981862","29,07649994"
02/04/2009 17.00,,"5,7352983","0,04983171","29,07649994"
02/04/2009 18.00,,"9,3070424","0,08248084","29,07649994"
02/04/2009 19.00,,"17,5238624","0,22238685","29,07649994"
02/04/2009 20.00,,"19,77566304","0,28365653","29,07649994"
02/04/2009 21.00,,"8,77751018","0,23016323","29,07649994"
02/04/2009 22.00,,"6,04159496","0,14545608","29,07649994"
02/04/2009 23.00,,"5,85859553","0,10059775","29,07649994"
03/04/2009 0.00,,"4,64248896","0,15930793","29,07649994"
03/04/2009 1.00,,"5,195382","0,18396632","30,60844994"
03/04/2009 2.00,,"3,86636227","0,15193348","30,60844994"
03/04/2009 3.00,,"3,67557335","0,0913628","30,60844994"
03/04/2009 4.00,,"3,07595677","0,06052059","30,60844994"
03/04/2009 5.00,,"5,48480718","0,11908048","30,60844994"
03/04/2009 6.00,"0,00722477","11,28240034","0,21014736","30,60844994"
03/04/2009 7.00,"0,00180619","23,5031644","0,61362531","30,60844994"
03/04/2009 8.00,"0,00361238","11,09160951","0,23915586","30,60844994"
03/04/2009 9.00,,"7,891063","0,04009581","30,60844994"
03/04/2009 10.00,,"8,57504085","0,04137032","30,60844994"
03/04/2009 11.00,"0,00180619","4,71906265","0,08610865","30,60844994"
03/04/2009 12.00,"0,00180619","6,50233916","0,131878","30,60844994"
03/04/2009 13.00,"0,00361238","6,99682825","0,12913792","30,60844994"
03/04/2009 14.00,,"7,81967848","0,1082553","30,60844994"
03/04/2009 15.00,,"4,77357377","0,14268687","30,60844994"
03/04/2009 16.00,,"6,49455158","0,19313603","30,60844994"
03/04/2009 17.00,,"7,5497232","0,18989617","30,60844994"
03/04/2009 18.00,,"5,53412722","0,09249751","30,60844994"
03/04/2009 19.00,,"14,39080375","0,22427182","30,60844994"
03/04/2009 20.00,,"10,48290519","0,12302167","30,60844994"
03/04/2009 21.00,"0,00361238","14,38301235","0,12076507","30,60844994"
03/04/2009 22.00,,"10,57635419","0,14656399","30,60844994"
03/04/2009 23.00,,"6,49714808","0,14350587","30,60844994"
04/04/2009 0.00,,"4,38550851","0,10548959","30,60844994"
04/04/2009 1.00,,"4,37772285","0,11475017","41,58132172"
04/04/2009 2.00,,,"0,18384982","41,58132172"
04/04/2009 3.00,,"3,99614883",,"41,58132172"
04/04/2009 4.00,,"3,76382936","0,32049616","41,58132172"
04/04/2009 5.00,"0,00180619","4,06234036","0,22727636","41,58132172"
04/04/2009 6.00,"0,0180609","13,73148497","0,54083844","41,58132172"
04/04/2009 7.00,,"25,19817152","0,31906321","41,58132172"
04/04/2009 8.00,"0,00361238","12,57248602","0,35168671","41,58132172"
04/04/2009 9.00,"0,00541858","11,1279509","0,36226258","41,58132172"
04/04/2009 10.00,"0,01444852","6,40240274","0,26652521","41,58132172"
04/04/2009 11.00,"0,00180619","5,31348815","0,2514536","41,58132172"
04/04/2009 12.00,,"4,4815521","0,28419243","41,58132172"
04/04/2009 13.00,"0,00361238","4,87480652","0,25916357","41,58132172"
04/04/2009 14.00,"0,00361238","3,66908402","0,31526531","41,58132172"
04/04/2009 15.00,"0,00541858","5,45884986","0,35323616","41,58132172"
04/04/2009 16.00,"0,00180619","3,54189205","0,26509226","41,58132172"
04/04/2009 17.00,"0,00902994","4,87091369","0,35300316","41,58132172"
04/04/2009 18.00,"0,00541858","5,68468001","0,29027606","41,58132172"
04/04/2009 19.00,"0,00722477","24,45968064","0,48260475","41,58132172"
04/04/2009 20.00,,"25,59273184","0,45071753","41,58132172"
04/04/2009 21.00,"0,00541858","19,47326112","0,35342955","41,58132172"
04/04/2009 22.00,"0,00902994","22,12740392","0,95343134","41,58132172"
04/04/2009 23.00,"0,00180619","18,46481878","0,52344149","41,58132172"
05/04/2009 0.00,"0,00722477","8,64901995","0,38225514","41,58132172"
05/04/2009 1.00,"0,00361238","11,38622577","0,42104032","47,02442169"
05/04/2009 2.00,"0,00361238","8,80476382","0,46733975","47,02442169"
05/04/2009 3.00,"0,00180619","7,60812715","0,35350644","47,02442169"
05/04/2009 4.00,"0,03612181","6,31674323","0,3385525","47,02442169"
05/04/2009 5.00,"0,00902994","13,37976492","0,36172085","47,02442169"
05/04/2009 6.00,"0,01083614","3,03572255","0,23091815","47,02442169"
05/04/2009 7.00,"0,00361238","5,94165854","0,3500592","47,02442169"
05/04/2009 8.00,"0,0180609","6,38423301","0,41828859","47,02442169"
05/04/2009 9.00,,"4,77876485","0,46075284","47,02442169"
05/04/2009 10.00,"0,01625471","9,0656371","0,52902184","47,02442169"
05/04/2009 11.00,"0,00541858","5,894935","0,37070999","47,02442169"
05/04/2009 12.00,"0,00722477","6,19734074","0,34137995","47,02442169"
05/04/2009 13.00,"0,00180619","2,70606316","0,30325533","47,02442169"
05/04/2009 14.00,"0,00180619","2,35304295","0,26625376","47,02442169"
05/04/2009 15.00,,"2,78912618","0,35370099","47,02442169"
05/04/2009 16.00,,"4,28038293","0,31565442","47,02442169"
05/04/2009 17.00,,"5,89623325","0,35168671","47,02442169"
05/04/2009 18.00,"0,00541858","7,65355054","0,45749783","47,02442169"
05/04/2009 19.00,,"11,36156862","0,62805267","47,02442169"
05/04/2009 20.00,,"5,6704031","0,38492882","47,02442169"
05/04/2009 21.00,,"5,49259475","0,33835794","47,02442169"
05/04/2009 22.00,"0,00541858","3,05648878","0,28520016","47,02442169"
05/04/2009 23.00,"0,00361238","2,77095644","0,28740783","47,02442169"
06/04/2009 0.00,"0,00902994","2,21676515","0,33049186","47,02442169"
06/04/2009 1.00,,"1,8910005","0,33351504","62,98194122"
06/04/2009 2.00,"0,03973317",,"0,29969043","62,98194122"
06/04/2009 3.00,"0,06140646","1,30436066",,"62,98194122"
06/04/2009 4.00,"0,0903035","1,47438335","0,17608393","62,98194122"
06/04/2009 5.00,"0,06140646","1,90397916","0,17783376","62,98194122"
06/04/2009 6.00,"0,15712752","7,3394663","0,1653135","62,98194122"
06/04/2009 7.00,"0,09933344","5,6729996","0,25831312","62,98194122"
06/04/2009 8.00,"0,142679","10,91380498","0,21870429","62,98194122"
06/04/2009 9.00,"0,11197577","12,74899803","0,25883621","62,98194122"
06/04/2009 10.00,"0,1083644","9,74702037","0,23317126","62,98194122"
06/04/2009 11.00,"0,0903035","10,32586116","0,3167402","62,98194122"
06/04/2009 12.00,"0,06140646","6,26482861","0,27933089","62,98194122"
06/04/2009 13.00,"0,04515175","11,03709839","0,32090158","62,98194122"
06/04/2009 14.00,"0,04153937","8,40631832","0,29189075","62,98194122"
06/04/2009 15.00,"0,02347846","9,25253128","0,19179395","62,98194122"
06/04/2009 16.00,"0,0198671","6,97346743","0,29893085","62,98194122"
06/04/2009 17.00,"0,00180619","15,00210074","0,33299545","62,98194122"
06/04/2009 18.00,"0,00541858","19,37722136","0,38821645","62,98194122"
06/04/2009 19.00,"0,01264233","17,43561213","0,65152509","62,98194122"
06/04/2009 20.00,"0,00180619","8,69963633","0,33186773","62,98194122"
06/04/2009 21.00,"0,00180619","7,6068289","0,42531471","62,98194122"
06/04/2009 22.00,"0,00180619","4,26740427","0,2351937","62,98194122"
06/04/2009 23.00,"0,01083614","4,98772159","0,19964955","62,98194122"
07/04/2009 0.00,"0,02889704","2,52176548","0,1742176","62,98194122"
07/04/2009 1.00,"0,01444852","2,46076503","0,15733908","81,03350067"
07/04/2009 2.00,"0,04334556","3,05259595","0,17394499","81,03350067"
07/04/2009 3.00,"0,04515175","4,4984255","0,20948914","81,03350067"
07/04/2009 4.00,"0,04695794","4,72425373","0,22376039","81,03350067"
07/04/2009 5.00,"0,08849731","4,69440358","0,15695113","81,03350067"
07/04/2009 6.00,"0,09210969","13,39013943","0,14945785","81,03350067"
07/04/2009 7.00,"0,06682504","12,66852769","0,17495621","81,03350067"
07/04/2009 8.00,"0,07404879","8,44135954","0,19276556","81,03350067"
07/04/2009 9.00,"0,02889704","6,56723244","0,17962203","81,03350067"
07/04/2009 10.00,"0,02167329","7,67691326","0,17293377","81,03350067"
07/04/2009 11.00,"0,04515175","13,40311809","0,23142026","81,03350067"
07/04/2009 12.00,"0,03431561","10,86188654","0,24020902","81,03350067"
07/04/2009 13.00,"0,01444852","9,67044477","0,23970341","81,03350067"
07/04/2009 14.00,"0,00722477","8,86446794","0,16542884","81,03350067"
07/04/2009 15.00,,"9,02280639","0,18460008","81,03350067"
07/04/2009 16.00,"0,00180619","7,95725453","0,30981894","81,03350067"
07/04/2009 17.00,,"9,31482806","0,24744251","81,03350067"
07/04/2009 18.00,,"13,37846094","0,2945353","81,03350067"
07/04/2009 19.00,,"13,45113988","0,34271737","81,03350067"
07/04/2009 20.00,,"20,6647048","0,42869787","81,03350067"
07/04/2009 21.00,,"18,04819972","0,27225235","81,03350067"
07/04/2009 22.00,,"11,3927151","0,22228317","81,03350067"
07/04/2009 23.00,,"5,7015515","0,22228317","81,03350067"
08/04/2009 0.00,"0,00180619","8,28821217","0,25288655","81,03350067"
08/04/2009 1.00,,"10,2181429","0,20555959","62,42245102"
08/04/2009 2.00,"0,00180619",,"0,15835146","62,42245102"
08/04/2009 3.00,"0,00180619","9,2304668",,"62,42245102"
08/04/2009 4.00,,"7,46795652","0,11484687","62,42245102"
08/04/2009 5.00,"0,00541858","11,28109827","0,15045742","62,42245102"
08/04/2009 6.00,"0,11017059","33,58372552","0,35292277","62,42245102"
08/04/2009 7.00,"0,38288626","43,41899616","0,71071291","62,42245102"
08/04/2009 8.00,"0,00722477","10,26486071","0,18732268","62,42245102"
08/04/2009 9.00,"0,00541858","11,10848291","0,20803172","62,42245102"
08/04/2009 10.00,,"9,27070102","0,27716981","62,42245102"
08/04/2009 11.00,,"6,74244621","0,15917745","62,42245102"
08/04/2009 12.00,,"5,97021235","0,14177584","62,42245102"
08/04/2009 13.00,,"6,33102014","0,22465511","62,42245102"
08/04/2009 14.00,,"10,00918998","0,16657403","62,42245102"
08/04/2009 15.00,,"6,57372177","0,3102197","62,42245102"
08/04/2009 16.00,,"6,97476568","0,20246535","62,42245102"
08/04/2009 17.00,,"7,3706166","0,29893085","62,42245102"
08/04/2009 18.00,,"11,45112287","0,31617518","62,42245102"
08/04/2009 19.00,,"12,87099893","0,38406672","62,42245102"
08/04/2009 20.00,,"19,70558824","0,32789275","62,42245102"
08/04/2009 21.00,,"26,94510856","0,4946625","62,42245102"
08/04/2009 22.00,"0,00361238","15,41223048","0,32956685","62,42245102"
08/04/2009 23.00,,"27,6667356","0,44421101","62,42245102"
09/04/2009 0.00,"0,00541858","19,61212968","0,52214485","62,42245102"
09/04/2009 1.00,"0,00180619","8,92806297","0,23465896","40,13214111"
09/04/2009 2.00,"0,00361238","3,88453201","0,17198546","40,13214111"
09/04/2009 3.00,,"2,7839351","0,1735419","40,13214111"
09/04/2009 4.00,"0,00722477","3,95331812","0,18623224","40,13214111"
09/04/2009 5.00,"0,00361238","4,79044717","0,24575442","40,13214111"
09/04/2009 6.00,"0,00361238","19,74711688","0,22632921","40,13214111"
09/04/2009 7.00,"0,01083614","35,47083128","0,33637861","40,13214111"
09/04/2009 8.00,"0,00541858","16,789272","0,30508088","40,13214111"
09/04/2009 9.00,"0,00180619","18,71920656","0,30492594","40,13214111"
09/04/2009 10.00,"0,11378196","13,00857306","0,19890045","40,13214111"
09/04/2009 11.00,"2,00112344","10,76194821","0,14310045","40,13214111"
09/04/2009 12.00,"1,76633475","5,15774428","0,1958866","40,13214111"
09/04/2009 13.00,"1,70492829","5,79889333","0,2007528","40,13214111"
09/04/2009 14.00,"1,38706088","5,49000017","0,22523877","40,13214111"
09/04/2009 15.00,"1,61281962","7,15257403","0,23166258","40,13214111"
09/04/2009 16.00,"1,21367763","9,46538086","0,39333196","40,13214111"
09/04/2009 17.00,"1,09086573","15,68088942","0,3694681","40,13214111"
09/04/2009 18.00,"1,05474392","16,85546162","0,37752641","40,13214111"
09/04/2009 19.00,"1,06558006","18,02484655","0,40859113","40,13214111"
09/04/2009 20.00,"1,48097574","24,48174512","0,40193432","40,13214111"
09/04/2009 21.00,"1,55321935","19,60824832","0,32458415","40,13214111"
09/04/2009 22.00,"1,50084284","18,30128542","0,42645874","40,13214111"
09/04/2009 23.00,"1,70131693","11,98454219","0,42758879","40,13214111"
10/04/2009 0.00,"1,73743772","7,39787025","0,32182077","40,13214111"
10/04/2009 1.00,,"6,41148857","0,26735935","32,78699112"
10/04/2009 2.00,"2,31176711",,"0,27265311","32,78699112"
10/04/2009 3.00,"2,17811907","4,27259535",,"32,78699112"
10/04/2009 4.00,"2,89693365","6,25055362","0,20027981","32,78699112"
10/04/2009 5.00,"2,76870317","8,7528492","0,19404007","32,78699112"
10/04/2009 6.00,"3,0504498","24,2650008","0,38430554","32,78699112"
10/04/2009 7.00,"3,29426843","27,78614","0,36169755","32,78699112"
10/04/2009 8.00,"3,00168567","9,71457182","0,23247925","32,78699112"
10/04/2009 9.00,"2,84094577","8,06238202","0,15850291","32,78699112"
10/04/2009 10.00,"2,84275196","5,7015515","0,17108491","32,78699112"
10/04/2009 11.00,"2,38039834","5,24729662","0,25470162","32,78699112"
10/04/2009 12.00,"2,18353663","3,95721286","0,18799372","32,78699112"
10/04/2009 13.00,"1,85483206","4,49063792","0,20936914","32,78699112"
10/04/2009 14.00,"1,96680884","8,36348761","0,22643173","32,78699112"
10/04/2009 15.00,"1,57850401","3,85857278","0,24272426","32,78699112"
10/04/2009 16.00,"1,3112059","5,45365878","0,28955842","32,78699112"
10/04/2009 17.00,"1,25702319","20,96970704","0,41554269","32,78699112"
10/04/2009 18.00,"1,3635814","25,71083608","0,55924194","32,78699112"
10/04/2009 19.00,"1,26786034","27,85103328","0,59791179","32,78699112"
10/04/2009 20.00,"1,3816423","18,78669825","0,41326977","32,78699112"
10/04/2009 21.00,"1,4719458","17,02028558","0,45097616","32,78699112"
10/04/2009 22.00,"1,71576545","12,74120663","0,40749254","32,78699112"
10/04/2009 23.00,"1,98125736","7,83914838","0,38234135","32,78699112"
11/04/2009 0.00,"2,09323313","14,28827275","0,39254792","32,78699112"
11/04/2009 1.00,"2,044469","8,2518727","0,42416951","35,77574158"
11/04/2009 2.00,"2,24133071","8,90989323","0,38395954","35,77574158"
11/04/2009 3.00,"2,66395116","5,31997748","0,30558067","35,77574158"
11/04/2009 4.00,"2,75606085","4,89816925","0,23270992","35,77574158"
11/04/2009 5.00,"2,98904334","8,60359466","0,23998884","35,77574158"
11/04/2009 6.00,"2,98723715","19,65495848","0,35499647","35,77574158"
11/04/2009 7.00,"3,46042691","29,34617904","0,52542665","35,77574158"
11/04/2009 8.00,"3,58685222","19,47586144","0,56424911","35,77574158"
11/04/2009 9.00,"3,53266951","10,21295374","0,22874309","35,77574158"
11/04/2009 10.00,"3,60671829","7,90404166","0,1998942","35,77574158"
11/04/2009 11.00,"3,5525366","6,08961675","0,18194621","35,77574158"
11/04/2009 12.00,"3,50738485","6,86833994","0,24083696","35,77574158"
11/04/2009 13.00,"3,34483876","7,21876556","0,26833678","35,77574158"
11/04/2009 14.00,"2,98543096","5,6418493","0,29729985","35,77574158"
11/04/2009 15.00,"3,12630478","6,63082938","0,32048684","35,77574158"
11/04/2009 16.00,"2,61338083","5,91440298","0,26325272","35,77574158"
11/04/2009 17.00,"2,56100533","11,15520263","0,38580839","35,77574158"
11/04/2009 18.00,"2,53210829","11,74314454","0,42339945","35,77574158"
11/04/2009 19.00,"2,43277384","17,7886266","0,52118955","35,77574158"
11/04/2009 20.00,"2,14922102","17,21108023","0,46279975","35,77574158"
11/04/2009 21.00,"2,20340372","16,00924483","0,55308026","35,77574158"
11/04/2009 22.00,"2,41110157","20,6802876","0,57083486","35,77574158"
11/04/2009 23.00,"2,91499456","28,31826872","0,68988737","35,77574158"
12/04/2009 0.00,"3,2111897","29,62001568","1,49597301","35,77574158"
12/04/2009 1.00,,"28,2390928","0,60184133","27,40442085"
12/04/2009 2.00,"3,50557866",,"0,68330046","27,40442085"
12/04/2009 3.00,"3,13172234","13,96380062",,"27,40442085"
12/04/2009 4.00,"3,61033068","7,22006381","0,21907942","27,40442085"
12/04/2009 5.00,"3,07031588","4,95138212","0,17988998","27,40442085"
12/04/2009 6.00,"3,3538687","5,73140355","0,13612909","27,40442085"
12/04/2009 7.00,"3,29788082","9,72365764","0,27536756","27,40442085"
12/04/2009 8.00,"3,10101911","7,02019098","0,23788019","27,40442085"
12/04/2009 9.00,"3,00168567","9,74053104","0,37455799","27,40442085"
12/04/2009 10.00,"2,8012126","9,94299846","0,37219886","27,40442085"
12/04/2009 11.00,"2,93124927","10,8372313","0,23435956","27,40442085"
12/04/2009 12.00,"2,87526138","11,99492818","0,22813147","27,40442085"
12/04/2009 13.00,"2,38762209","7,94167938","0,21049104","27,40442085"
12/04/2009 14.00,"2,04627519","3,14085005","0,20426295","27,40442085"
12/04/2009 15.00,"1,8114865","5,39265834","0,25892591","27,40442085"
12/04/2009 16.00,"1,75008004","9,03189413","0,22604262","27,40442085"
12/04/2009 17.00,"1,71215306","7,9961905","0,20983281","27,40442085"
12/04/2009 18.00,"2,09142694","9,75091511","0,21751249","27,40442085"
12/04/2009 19.00,"1,80968031","7,44199921","0,19051012","27,40442085"
12/04/2009 20.00,"2,12935494","12,7918211","0,28790179","27,40442085"
12/04/2009 21.00,"1,64171666","11,36287069","0,31583383","27,40442085"
12/04/2009 22.00,"1,56766787","10,03125446","0,20426295","27,40442085"
12/04/2009 23.00,"1,49542426","3,1421483","0,14070055","27,40442085"
13/04/2009 0.00,"1,40150939","2,18431851","0,1398501","27,40442085"
13/04/2009 1.00,"1,46833341","1,93123281","0,18642796","20,60247993"
13/04/2009 2.00,"1,26966653","3,3043815","0,22387572","20,60247993"
13/04/2009 3.00,"1,51890374","1,8170214","0,20731874","20,60247993"
13/04/2009 4.00,"1,54599458","1,86893602","0,13876665","20,60247993"
13/04/2009 5.00,"1,62546195","1,47178686","0,12825951","20,60247993"
