,Foggia,,
,Manfredonia - Scuola Elementare Ungaretti,,
Parm,SO2,NO2,PM10



01/01/2009 1.00,"1,62184956","33,02175048",
01/01/2009 2.00,"1,25702319","41,1126844",
01/01/2009 3.00,"1,19381155","47,75260152",
01/01/2009 4.00,"1,32746061","51,54887752",
01/01/2009 5.00,"1,08725334","29,49933024",
01/01/2009 6.00,"1,17575065","27,49670144",
01/01/2009 7.00,"1,26786034","41,05687312",
01/01/2009 8.00,"1,33649055","37,41504848",
01/01/2009 9.00,"1,2732779","43,75256368",
01/01/2009 10.00,"1,4719458","43,47870792",
01/01/2009 11.00,"1,33829674","31,41238184",
01/01/2009 12.00,"1,55141316","23,45773528",
01/01/2009 13.00,"1,50084284","27,97821952",
01/01/2009 14.00,"1,63991047","16,97486984",
01/01/2009 15.00,"1,52793368","7,35114862",
01/01/2009 16.00,"1,47917057","17,50828916",
01/01/2009 17.00,"1,60017628","22,16375104",
01/01/2009 18.00,"1,65435899","40,70126024",
01/01/2009 19.00,"2,03543906","47,55662152",
01/01/2009 20.00,"1,54599458","28,5051476",
01/01/2009 21.00,"1,44666114","29,29554928",
01/01/2009 22.00,"1,33287817","8,18438292",
01/01/2009 23.00,"1,3997032","7,83785013",
02/01/2009 0.00,"1,53154607","6,9098724",
02/01/2009 1.00,,"8,81125506",
02/01/2009 2.00,"1,28050267",,
02/01/2009 3.00,"1,5622493","7,70287058",
02/01/2009 4.00,"1,46652722","6,41019032",
02/01/2009 5.00,"1,24257467","3,87544618",
02/01/2009 6.00,"1,29675738","6,1960425",
02/01/2009 7.00,"1,31842965","6,13504205",
02/01/2009 8.00,"1,4195703","21,71079824",
02/01/2009 9.00,"1,67964364","33,58632584",
02/01/2009 10.00,"1,40512178","43,30739272",
02/01/2009 11.00,"1,71395925","25,74456376",
02/01/2009 12.00,"1,70131693","22,2688728",
02/01/2009 13.00,"1,53515845","12,37391143",
02/01/2009 14.00,"1,54780078","10,0637011",
02/01/2009 15.00,"1,7031221","8,39982899",
02/01/2009 16.00,"1,67422506","8,97867934",
02/01/2009 17.00,"1,46652722","18,6608007",
02/01/2009 18.00,"1,42318166","13,33174313",
02/01/2009 19.00,"1,32384822","20,7659452",
02/01/2009 20.00,"1,50445522","20,5024716",
02/01/2009 21.00,"1,42860024","29,56422352",
02/01/2009 22.00,"1,38344849","16,32592557",
02/01/2009 23.00,"1,3635814","16,82560765",
03/01/2009 0.00,"1,30217494","16,35059037",
03/01/2009 1.00,"1,23715711","17,18771368",
03/01/2009 2.00,"1,32746061","13,3460143",
03/01/2009 3.00,"1,24438086","9,17725393",
03/01/2009 4.00,"1,34371532","7,98840292",
03/01/2009 5.00,"1,37802992","7,15646686",
03/01/2009 6.00,"1,21909621","7,53804088",
03/01/2009 7.00,"1,08905954","11,32522341",
03/01/2009 8.00,"1,34010293","16,27271843",
03/01/2009 9.00,"1,16130213","18,75943504",
03/01/2009 10.00,"1,21729001","37,9225124",
03/01/2009 11.00,"1,34010293","19,80032784",
03/01/2009 12.00,"1,0601625","22,26109096",
03/01/2009 13.00,"1,04571398","30,01327584",
03/01/2009 14.00,"1,1486598","26,1663892",
03/01/2009 15.00,"1,21548382","21,88859512",
03/01/2009 16.00,"1,45027251","23,1047036",
03/01/2009 17.00,"1,28230886","30,37538952",
03/01/2009 18.00,"1,17755684","28,793286",
03/01/2009 19.00,"1,12698652","20,81655584",
03/01/2009 20.00,"1,15227219","11,56922711",
03/01/2009 21.00,"0,93373719","12,37520203",
03/01/2009 22.00,"0,96805281","13,55367279",
03/01/2009 23.00,"0,93554339","7,11233982",
04/01/2009 0.00,"0,85968841","2,5022975",
04/01/2009 1.00,,,
04/01/2009 2.00,"0,74771264",,
04/01/2009 3.00,"1,00597979",,
04/01/2009 4.00,"0,84704608",,
04/01/2009 5.00,"0,74771264",,
04/01/2009 6.00,"0,7188156",,
04/01/2009 7.00,"0,80550671",,
04/01/2009 8.00,"1,01681694",,
04/01/2009 9.00,"0,9879199",,
04/01/2009 10.00,"1,18658678",,
04/01/2009 11.00,"0,98069513",,
04/01/2009 12.00,"0,80731291",,
04/01/2009 13.00,"0,96263423",,
04/01/2009 14.00,"1,21548382",,
04/01/2009 15.00,"0,99514365",,
04/01/2009 16.00,"1,06196869",,
04/01/2009 17.00,"1,11073181",,
04/01/2009 18.00,"1,07822238",,
04/01/2009 19.00,"1,05655011",,
04/01/2009 20.00,"0,96082804",,
04/01/2009 21.00,"0,99333746",,
04/01/2009 22.00,"1,03307165",,
04/01/2009 23.00,"0,85607602",,
05/01/2009 0.00,"0,87233073",,
05/01/2009 1.00,"1,26786034",,
05/01/2009 2.00,"0,92109487",,
05/01/2009 3.00,"0,97166519",,
05/01/2009 4.00,"0,99333746",,
05/01/2009 5.00,"0,9499919",,
05/01/2009 6.00,"1,26244176",,
05/01/2009 7.00,"1,15407736",,
05/01/2009 8.00,"1,37080616",,
05/01/2009 9.00,"1,40873315",,
05/01/2009 10.00,"1,45749728",,
05/01/2009 11.00,"1,37622372",,
05/01/2009 12.00,"1,37802992",,
05/01/2009 13.00,"1,51529135",,
05/01/2009 14.00,"1,56405549",,
05/01/2009 15.00,"1,77897708",,
05/01/2009 16.00,"1,60559485",,
05/01/2009 17.00,"1,64532803",,
05/01/2009 18.00,"1,73563152",,
05/01/2009 19.00,"1,73021396",,
05/01/2009 20.00,"1,91262614",,
05/01/2009 21.00,"2,17270049",,
05/01/2009 22.00,"1,41595791",,
05/01/2009 23.00,"1,1305989",,
06/01/2009 0.00,"1,22632097",,
06/01/2009 1.00,,,
06/01/2009 2.00,"1,07641721",,
06/01/2009 3.00,"1,12337413",,
06/01/2009 4.00,"1,04571398",,
06/01/2009 5.00,"1,11615038",,
06/01/2009 6.00,"1,01862212",,
06/01/2009 7.00,"0,98972508",,
06/01/2009 8.00,"1,19381155",,
06/01/2009 9.00,"1,18658678",,
06/01/2009 10.00,"1,48458812",,
06/01/2009 11.00,"1,55502453",,
06/01/2009 12.00,"1,56586168",,
06/01/2009 13.00,"1,51529135",,
06/01/2009 14.00,"1,721183",,
06/01/2009 15.00,"1,91443233",,
06/01/2009 16.00,"1,92888085",,
06/01/2009 17.00,"1,85302587",,
06/01/2009 18.00,"1,76272237",,
06/01/2009 19.00,"1,43943638",,
06/01/2009 20.00,"1,52973987",,
06/01/2009 21.00,"1,56586168",,
06/01/2009 22.00,"1,49361908",,
06/01/2009 23.00,"1,49542426",,
07/01/2009 0.00,"1,25521801",,
07/01/2009 1.00,"1,23173853",,
07/01/2009 2.00,"1,18658678",,
07/01/2009 3.00,"1,06919244",,
07/01/2009 4.00,"1,28411505",,
07/01/2009 5.00,"1,33468436",,
07/01/2009 6.00,"1,30217494",,
07/01/2009 7.00,"1,3816423",,
07/01/2009 8.00,"1,77175333",,
07/01/2009 9.00,"1,4195703",,
07/01/2009 10.00,"1,39247843",,
07/01/2009 11.00,"1,58392157",,
07/01/2009 12.00,"1,4900067",,
07/01/2009 13.00,"1,62184956",,
07/01/2009 14.00,"1,47917057",,
07/01/2009 15.00,"1,69228597",,
07/01/2009 16.00,"1,51890374",,
07/01/2009 17.00,"1,60920724",,
07/01/2009 18.00,"1,56586168",,
07/01/2009 19.00,"1,7410501",,
07/01/2009 20.00,"1,54418839",,
07/01/2009 21.00,"1,33468436",,
07/01/2009 22.00,"1,45930347",,
07/01/2009 23.00,"1,56405549",,
08/01/2009 0.00,"1,67964364",,
08/01/2009 1.00,,,
08/01/2009 2.00,"1,34552151",,
08/01/2009 3.00,"1,45569109",,
08/01/2009 4.00,"1,45027251",,
08/01/2009 5.00,"1,2732779",,
