,ARPA Puglia,,
,Ex Ciapi,,
Parm,SO2,NO2,PM10



01/01/2009 1.00,"3,38457193",,
01/01/2009 2.00,"3,31594172",,
01/01/2009 3.00,"3,47668162",,
01/01/2009 4.00,"3,62116681",,
01/01/2009 5.00,"3,5001611",,
01/01/2009 6.00,"3,56879131",,
01/01/2009 7.00,"3,50919104",,
01/01/2009 8.00,"3,52183337",,
01/01/2009 9.00,"3,46042691",,
01/01/2009 10.00,"3,31594172",,
01/01/2009 11.00,"3,31052315",,
01/01/2009 12.00,"3,38276574",,
01/01/2009 13.00,"3,38818432",,
01/01/2009 14.00,"3,42249993",,
01/01/2009 15.00,"3,27620855",,
01/01/2009 16.00,"3,37734818",,
01/01/2009 17.00,"3,42972368",,
01/01/2009 18.00,"3,36289966",,
01/01/2009 19.00,"3,36651103",,
01/01/2009 20.00,"3,27801372",,
01/01/2009 21.00,"3,34122638",,
01/01/2009 22.00,"3,34664495",,
01/01/2009 23.00,"3,38999051",,
02/01/2009 0.00,"3,42972368",,
02/01/2009 1.00,,,
02/01/2009 2.00,"3,29246326",,
02/01/2009 3.00,"3,31594172","11,08901493",
02/01/2009 4.00,"3,30329939","7,65355054",
02/01/2009 5.00,"3,25092288","7,55231778",
02/01/2009 6.00,"3,2834323","15,37718734",
02/01/2009 7.00,"3,34303257","22,05212848",
02/01/2009 8.00,"3,44236601","24,77246472",
02/01/2009 9.00,"3,55434279","41,225588",
02/01/2009 10.00,"3,52002718","32,25729464",
02/01/2009 11.00,"3,53989427","42,000426",
02/01/2009 12.00,"3,49474253","32,37279856",
02/01/2009 13.00,"3,49113014","28,82313232",
02/01/2009 14.00,"3,42249993","29,75370272",
02/01/2009 15.00,"3,36470585","36,3183444",
02/01/2009 16.00,"3,45500834","34,3066336",
02/01/2009 17.00,"3,48390537","35,4760128",
02/01/2009 18.00,"3,36289966","45,9861812",
02/01/2009 19.00,"3,48029401","75,747704",
02/01/2009 20.00,"3,45320316","76,33952536",
02/01/2009 21.00,"3,38818432","53,23480264",
02/01/2009 22.00,"3,45139697","56,37046352",
02/01/2009 23.00,"3,45500834","62,13562152",
03/01/2009 0.00,"3,42791749","42,40536848",
03/01/2009 1.00,"3,41527516","37,3099076",
03/01/2009 2.00,"3,38818432","25,35910456",
03/01/2009 3.00,"3,35928728","23,52911024",
03/01/2009 4.00,"3,33761399","26,7296644",
03/01/2009 5.00,"3,31232934","38,03543512",
03/01/2009 6.00,"3,3917967","34,80113416",
03/01/2009 7.00,"3,30691076","20,24419864",
03/01/2009 8.00,"3,27981992","27,97041856",
03/01/2009 9.00,"3,25092288","14,67244326",
03/01/2009 10.00,"3,39902045","14,2921675",
03/01/2009 11.00,"3,37012341","24,58558584",
03/01/2009 12.00,"3,29607463","19,0047389",
03/01/2009 13.00,"3,41346897","16,64261586",
03/01/2009 14.00,"3,28885088","19,07741976",
03/01/2009 15.00,"3,28885088","26,5855952",
03/01/2009 16.00,"3,23286299","31,02432232",
03/01/2009 17.00,"3,35567489","13,14354306",
03/01/2009 18.00,"3,25453526","9,19542366",
03/01/2009 19.00,"3,15339563","12,32458757",
03/01/2009 20.00,"3,31774791","12,80220708",
03/01/2009 21.00,"3,24008674","14,98003818",
03/01/2009 22.00,"3,2310568","21,34998472",
03/01/2009 23.00,"3,26717759","18,10920208",
04/01/2009 0.00,"3,23828055","8,34012679",
04/01/2009 1.00,,,
04/01/2009 2.00,"3,22202584",,
04/01/2009 3.00,"3,27259616",,
04/01/2009 4.00,"3,19493499",,
04/01/2009 5.00,"3,18409886",,
04/01/2009 6.00,"3,27801372",,
04/01/2009 7.00,"3,33400262",,
04/01/2009 8.00,"3,34122638",,
04/01/2009 9.00,"3,18048647",,
04/01/2009 10.00,"3,25453526",,
04/01/2009 11.00,"3,35748109",,
04/01/2009 12.00,"3,33219643",,
04/01/2009 13.00,"3,27801372",,
04/01/2009 14.00,"3,36289966",,
04/01/2009 15.00,"3,29246326",,
04/01/2009 16.00,"3,3014932",,
04/01/2009 17.00,"3,24550532",,
04/01/2009 18.00,"3,37554199",,
04/01/2009 19.00,"3,2711266",,
04/01/2009 20.00,"3,3213603",,
04/01/2009 21.00,"3,35206353",,
04/01/2009 22.00,"3,24189293",,
04/01/2009 23.00,"3,27259616",,
05/01/2009 0.00,"3,3538687",,
05/01/2009 1.00,"3,38096057",,
05/01/2009 2.00,"3,36470585",,
05/01/2009 3.00,"3,33400262",,
05/01/2009 4.00,"3,16603796",,
05/01/2009 5.00,"3,33039024",,
05/01/2009 6.00,"3,36470585",,
05/01/2009 7.00,"3,33761399",,
05/01/2009 8.00,"3,61574925",,
05/01/2009 9.00,"3,4441722",,
05/01/2009 10.00,"3,69702179",,
05/01/2009 11.00,"3,49835491",,
05/01/2009 12.00,"3,50919104",,
05/01/2009 13.00,"3,52002718",,
05/01/2009 14.00,"3,51099724",,
05/01/2009 15.00,"3,47848781",,
05/01/2009 16.00,"3,44236601",,
05/01/2009 17.00,"3,53086331",,
05/01/2009 18.00,"3,58143364",,
05/01/2009 19.00,"3,66270618",,
05/01/2009 20.00,"3,64103391",,
05/01/2009 21.00,"3,48571157",,
05/01/2009 22.00,"3,50738485",,
05/01/2009 23.00,"3,47306924",,
06/01/2009 0.00,"3,35928728",,
06/01/2009 1.00,,,
06/01/2009 2.00,,,
06/01/2009 3.00,,,
06/01/2009 4.00,,,
06/01/2009 5.00,,,
06/01/2009 6.00,,,
06/01/2009 7.00,,,
06/01/2009 8.00,,,
06/01/2009 9.00,,,
06/01/2009 10.00,,,
06/01/2009 11.00,,,
06/01/2009 12.00,,,
06/01/2009 13.00,,,
06/01/2009 14.00,,,
06/01/2009 15.00,,,
06/01/2009 16.00,,,
06/01/2009 17.00,,,
06/01/2009 18.00,,,
06/01/2009 19.00,,,
06/01/2009 20.00,,,
06/01/2009 21.00,,,
06/01/2009 22.00,,,
06/01/2009 23.00,,,
07/01/2009 0.00,,,
07/01/2009 1.00,,,
07/01/2009 2.00,,,
07/01/2009 3.00,,,
07/01/2009 4.00,,,
07/01/2009 5.00,,,
07/01/2009 6.00,,,
07/01/2009 7.00,,,
07/01/2009 8.00,,,
07/01/2009 9.00,,,
07/01/2009 10.00,,,
07/01/2009 11.00,,,
