MASSAFRA,,,,
,SO2,NO2,O3,BENZENE
06/01/2011 8.00,,,"7,743762",
06/01/2011 9.00,"2,855886",,"2,337226",
06/01/2011 10.00,"0,898375",,"3,518438",
06/01/2011 11.00,"8,671678",,"2,686515",
06/01/2011 12.00,"0,652503",,"11,739901",
06/01/2011 13.00,"0,087474",,"16,097216",
06/01/2011 14.00,,,"22,522174",
06/01/2011 15.00,,,"33,941495",
06/01/2011 16.00,"2,307405",,"25,363552",
06/01/2011 17.00,"3,316895",,"18,592319",
06/01/2011 18.00,"6,439925",,"4,537077",
06/01/2011 19.00,"14,028823",,"0,678464",
06/01/2011 20.00,"12,381018",,"0,568964",
06/01/2011 21.00,"19,941548",,"0,066437",
06/01/2011 22.00,"23,818739",,"0,002155",
06/01/2011 23.00,"9,13505",,"0,016181",
07/01/2011 0.00,"22,471184",,,
07/01/2011 1.00,"19,414347",,"1,120492",
07/01/2011 2.00,"9,879755",,"12,371132",
07/01/2011 3.00,"10,083073",,"22,408699",
07/01/2011 4.00,"10,113805",,"29,121114",
07/01/2011 5.00,"5,960006",,"26,687315",
07/01/2011 6.00,"8,645673",,"21,986218",
07/01/2011 7.00,"10,719027",,"7,04709",
07/01/2011 8.00,"24,081155",,"0,69423",
07/01/2011 9.00,"34,949062",,,
07/01/2011 10.00,"26,492584",,"0,507346",
07/01/2011 11.00,"16,291312",,"6,002494",
07/01/2011 12.00,"13,634013",,"8,67404",
07/01/2011 13.00,"11,480272",,"14,176186",
07/01/2011 14.00,"13,069985",,,
07/01/2011 15.00,"12,374022",,,"2,340219"
07/01/2011 16.00,,,,"2,893467"
07/01/2011 17.00,"14,097389",,"12,00167","2,894941"
07/01/2011 18.00,"19,036083",,"1,501038","4,137817"
07/01/2011 19.00,"19,211028",,"1,014982","5,215379"
07/01/2011 20.00,"17,428461",,"2,225822","4,889431"
07/01/2011 21.00,"14,132841",,"3,483368","3,872634"
07/01/2011 22.00,"13,409419",,"5,063102","4,089204"
07/01/2011 23.00,"10,480246",,"10,41531","3,005031"
08/01/2011 0.00,"10,461329",,"12,866507","2,397679"
08/01/2011 1.00,"9,707174",,"27,391429","1,553823"
08/01/2011 2.00,,,"20,640909","1,190856"
08/01/2011 3.00,"7,910425",,"31,749588","0,968845"
08/01/2011 4.00,"8,749695",,,"0,846195"
08/01/2011 5.00,"9,562959",,"29,595327","0,840347"
08/01/2011 6.00,"8,276866",,"26,532224","0,883264"
08/01/2011 7.00,"9,499129",,"17,349681","1,304252"
08/01/2011 8.00,"11,513375",,"9,020026","1,558603"
08/01/2011 9.00,"12,310093",,"5,250651","2,712542"
08/01/2011 10.00,"14,052468",,"3,544002","3,566009"
08/01/2011 11.00,"13,068978",,"8,023015","3,211076"
08/01/2011 12.00,"11,255688",,"15,688274","3,009049"
08/01/2011 13.00,"10,825405",,"18,096183","2,482649"
08/01/2011 14.00,"13,284115",,"10,049712","3,210974"
08/01/2011 15.00,"12,260443",,"16,571341","3,8078"
08/01/2011 16.00,"9,139779",,"21,602479","2,652133"
08/01/2011 17.00,"9,116138",,"20,631432","2,720271"
08/01/2011 18.00,"8,692957",,"20,457169","2,751595"
08/01/2011 19.00,"9,468395",,"9,447107","4,299723"
08/01/2011 20.00,"13,660018",,"1,545662","4,451511"
08/01/2011 21.00,"14,478011",,"0,323443","3,974029"
08/01/2011 22.00,"12,936585",,"2,46572","3,863888"
08/01/2011 23.00,"11,416445",,"6,183987","2,996845"
09/01/2011 0.00,"11,083102",,"10,105846","2,402815"
09/01/2011 1.00,"9,123231",,"17,337112","1,957166"
09/01/2011 2.00,"8,558199",,"20,072593","1,521127"
09/01/2011 3.00,"8,279231",,"21,51031","1,427309"
09/01/2011 4.00,"7,239007",,"20,17733","1,357186"
09/01/2011 5.00,"7,905696",,"16,539503","1,509482"
09/01/2011 6.00,"4,766115",,"14,163432","1,523313"
09/01/2011 7.00,"10,123263",,"4,681433","1,721984"
09/01/2011 8.00,"13,605639",,,"2,712085"
09/01/2011 9.00,"20,676798",,,"3,538194"
09/01/2011 10.00,"29,568318",,,"4,130291"
09/01/2011 11.00,"31,587297",,,"4,324792"
09/01/2011 12.00,"31,149936",,,"3,743628"
09/01/2011 13.00,"39,554476",,,"5,254839"
09/01/2011 14.00,"40,31337",,,"5,842004"
09/01/2011 15.00,"40,734184",,,"5,833512"
09/01/2011 16.00,"30,852047",,"0,465455","4,904228"
09/01/2011 17.00,"24,400321",,"2,999415","3,563822"
09/01/2011 18.00,"19,440352",,"1,598404","3,098239"
09/01/2011 19.00,"22,260767",,,"3,413154"
09/01/2011 20.00,"24,026787",,,"3,381982"
09/01/2011 21.00,"21,719376",,"0,170876","3,312115"
09/01/2011 22.00,"20,969948",,"0,010432","3,005337"
09/01/2011 23.00,"19,903727",,"0,021616","3,068848"
10/01/2011 0.00,"18,979335",,"0,007415","2,436223"
10/01/2011 1.00,"22,54211",,"0,750357","2,229417"
10/01/2011 2.00,,,"4,561121","1,984218"
10/01/2011 3.00,,,"2,756194","1,620844"
10/01/2011 4.00,,,,"1,754783"
10/01/2011 5.00,,,"0,00638","2,604842"
10/01/2011 6.00,,,"0,01124","3,114918"
10/01/2011 7.00,,,"0,010937","3,46319"
10/01/2011 8.00,,,"0,003038","3,765341"
10/01/2011 9.00,,,"1,444627","3,073069"
10/01/2011 10.00,,,"1,357135","2,885839"
10/01/2011 11.00,"22,336422",,"2,976911","2,979607"
10/01/2011 12.00,"22,466455",,"8,368157","2,78958"
10/01/2011 13.00,"21,851769",,"9,79406","3,045813"
10/01/2011 14.00,"20,310354",,"13,446221","2,768121"
10/01/2011 15.00,"17,530119",,"19,024714","2,761765"
10/01/2011 16.00,"15,293635",,"19,665998","4,574567"
10/01/2011 17.00,"19,111727",,"14,442942",
10/01/2011 18.00,"18,976975",,"13,597012",
10/01/2011 19.00,"17,936748",,,
10/01/2011 20.00,"12,09218",,,
10/01/2011 21.00,"15,21731",,"10,108547",
10/01/2011 22.00,"12,839604",,"9,969905","4,552193"
10/01/2011 23.00,"11,119613",,"11,660196","4,451256"
11/01/2011 0.00,"6,307426",,"12,842405","3,541906"
11/01/2011 1.00,"4,428921",,"13,481661","2,168295"
11/01/2011 2.00,"2,90293",,"22,026098","1,551332"
11/01/2011 3.00,"3,811428",,"24,573991","1,512584"
11/01/2011 4.00,"2,344585",,"26,186251","1,236062"
11/01/2011 5.00,"1,289403",,"26,528293","1,070799"
11/01/2011 6.00,"1,04335",,"23,956318","1,149057"
11/01/2011 7.00,"5,122123",,"14,399037","1,783513"
11/01/2011 8.00,"9,328651",,"6,105311","3,378779"
11/01/2011 9.00,"8,912256",,"5,718436","3,31003"
11/01/2011 10.00,,,"9,226873","4,925128"
11/01/2011 11.00,"3,890006",,"19,280629","3,125699"
11/01/2011 12.00,"6,009327",,"14,103483","3,4608"
11/01/2011 13.00,"6,607893",,"13,651852","3,422612"
11/01/2011 14.00,"5,957278",,"16,452127","3,794274"
11/01/2011 15.00,"2,105629",,"20,693616","2,848464"
11/01/2011 16.00,"4,551949",,"25,433257","2,444004"
11/01/2011 17.00,"4,715191",,"19,874222","3,33515"
11/01/2011 18.00,"2,273607",,"24,93762","2,816734"
11/01/2011 19.00,"8,604692",,"9,221062","4,639605"
11/01/2011 20.00,"10,523418",,"10,947883","6,032996"
11/01/2011 21.00,"30,860487",,"4,737968","8,59065"
11/01/2011 22.00,"22,989223",,"3,163903","7,773846"
11/01/2011 23.00,"8,793964",,"3,166588","5,529479"
12/01/2011 0.00,"7,585",,"4,022333","3,873753"
12/01/2011 1.00,"3,321692",,"3,68527","2,657065"
12/01/2011 2.00,,,"12,946182","1,875602"
12/01/2011 3.00,"2,429755",,"29,265473","1,217349"
12/01/2011 4.00,"0,144318",,,"1,163499"
12/01/2011 5.00,"0,974741",,"24,317852","1,275165"
12/01/2011 6.00,"0,558346",,"34,966845","1,128107"
12/01/2011 7.00,"5,465175",,"6,665012","2,050374"
12/01/2011 8.00,"14,933403",,"2,946493","4,203108"
12/01/2011 9.00,"25,442633",,"0,155468","6,569515"
12/01/2011 10.00,"18,711711",,"8,684983",
12/01/2011 11.00,"3,113495",,"22,034994",
12/01/2011 12.00,"0,529956",,"28,219894",
12/01/2011 13.00,"0,035488",,"35,361973",
12/01/2011 14.00,,,"32,847694",
12/01/2011 15.00,,,"36,877934",
12/01/2011 16.00,,,"44,538495",
12/01/2011 17.00,"0,170341",,"45,998854",
12/01/2011 18.00,"1,014961",,"46,647189",
12/01/2011 19.00,,,"43,795039",
12/01/2011 20.00,"0,25788",,"41,812169",
12/01/2011 21.00,,,"36,411863",
12/01/2011 22.00,"0,035488",,"32,050993",
12/01/2011 23.00,,,"31,746993",
13/01/2011 0.00,"1,445552",,"31,24138",
13/01/2011 1.00,"1,928189",,"33,450025",
13/01/2011 2.00,"1,743651",,"31,346218",
13/01/2011 3.00,"1,930557",,"32,138892",
13/01/2011 4.00,"1,942386",,"31,208323",
13/01/2011 5.00,"2,928956",,"30,689025",
13/01/2011 6.00,"1,866678",,"28,565827",
13/01/2011 7.00,"2,460512",,"27,556257",
13/01/2011 8.00,"3,811428",,"27,693332",
13/01/2011 9.00,"3,130055",,"25,82336",
13/01/2011 10.00,"3,849281",,"24,761361",
13/01/2011 11.00,"3,503863",,"25,020192",
13/01/2011 12.00,"1,152016",,"26,275866","5,712387"
13/01/2011 13.00,"4,050379",,"25,716907","2,069595"
13/01/2011 14.00,"2,529122",,"27,047431","2,081138"
13/01/2011 15.00,"2,027557",,"32,005825","2,089935"
13/01/2011 16.00,"1,802799",,"40,366311","2,127767"
13/01/2011 17.00,"3,58667",,"36,130448","2,312302"
13/01/2011 18.00,"4,128455",,"27,640924","3,216161"
13/01/2011 19.00,"5,505394",,"23,562287","4,094442"
13/01/2011 20.00,"5,578738",,"23,459066","4,069373"
13/01/2011 21.00,"6,75221",,"12,936677","4,871989"
13/01/2011 22.00,"9,080234",,"6,762262","6,365911"
13/01/2011 23.00,"7,421755",,"9,549093","4,380982"
14/01/2011 0.00,"6,66704",,"17,727354","3,358134"
14/01/2011 1.00,"4,07877",,"25,845923","3,034524"
14/01/2011 2.00,,,"33,169428","2,007914"
14/01/2011 3.00,"2,609562",,"36,951332","1,373458"
14/01/2011 4.00,"1,298867",,,"1,27425"
14/01/2011 5.00,"2,876907",,"51,552714","1,328558"
14/01/2011 6.00,"2,583536",,"51,43523","1,356932"
14/01/2011 7.00,"4,648949",,"46,574491","1,464124"
14/01/2011 8.00,"5,408394",,"32,915027","1,762512"
14/01/2011 9.00,"19,378894",,"4,476202","4,032405"
14/01/2011 10.00,"19,998754",,"11,555303","7,021673"
14/01/2011 11.00,"4,731752",,"24,83025","3,054661"
14/01/2011 12.00,"3,423423",,"31,617678","2,321201"
14/01/2011 13.00,"1,840652",,"39,774753","1,70917"
14/01/2011 14.00,"2,275974",,"42,392453","2,021542"
14/01/2011 15.00,"1,675041",,"46,669814","1,943995"
14/01/2011 16.00,"2,13402",,"49,347483","1,972115"
14/01/2011 17.00,"0,943983",,"44,467871","2,260282"
14/01/2011 18.00,"4,045648",,"31,403235","3,814614"
14/01/2011 19.00,"4,909195",,"33,744868","4,213888"
14/01/2011 20.00,"3,846916",,"38,300767","3,905839"
14/01/2011 21.00,"10,140146",,"25,508908","4,667521"
14/01/2011 22.00,"19,364697",,"5,181975","7,409302"
14/01/2011 23.00,"19,319744",,"3,238837","6,421287"
15/01/2011 0.00,"6,941483",,"1,347297","5,230431"
15/01/2011 1.00,"3,073274",,"9,622027","4,158767"
15/01/2011 2.00,"0,309929",,"16,141603","2,778139"
15/01/2011 3.00,"2,56461",,"21,303848","2,400578"
15/01/2011 4.00,"0,182171",,"34,102271","1,817226"
15/01/2011 5.00,"0,030757",,"35,488358","1,669812"
15/01/2011 6.00,"0,340686",,"32,233077","1,698187"
15/01/2011 7.00,"4,045648",,"8,0404","2,747069"
15/01/2011 8.00,"24,538866",,"2,289863","4,385965"
15/01/2011 9.00,"37,806697",,"1,705689","9,786489"
15/01/2011 10.00,"27,155506",,"1,938208","8,903225"
15/01/2011 11.00,"12,825417",,"7,24014","7,003926"
15/01/2011 12.00,"2,01336",,"19,882453","3,832107"
15/01/2011 13.00,"0,248418",,"33,560009","2,5365"
15/01/2011 14.00,"0,182171",,"40,361383","2,485497"
15/01/2011 15.00,,,"42,871454","2,120801"
15/01/2011 16.00,,,"51,070426","2,107122"
15/01/2011 17.00,,,"50,416425","1,99632"
15/01/2011 18.00,,,"46,758551","2,305132"
15/01/2011 19.00,,,"39,66876","2,567671"
15/01/2011 20.00,"0,12066",,"34,623186","3,172633"
15/01/2011 21.00,,,"31,491973","3,023541"
15/01/2011 22.00,,,"29,91281","2,80753"
15/01/2011 23.00,,,"32,408914","2,358016"
16/01/2011 0.00,"2,895832",,"30,811679","2,056323"
16/01/2011 1.00,"5,186002",,"26,15882","1,651405"
16/01/2011 2.00,,,"28,387892","1,547823"
16/01/2011 3.00,"4,745948",,"27,355101","1,517618"
16/01/2011 4.00,"3,891868",,,"1,403358"
16/01/2011 5.00,"4,994366",,"19,637467","1,493617"
16/01/2011 6.00,"3,780671",,"19,202942","1,461887"
16/01/2011 7.00,"3,951015",,"16,953919","1,457564"
16/01/2011 8.00,"4,793267",,"21,086432","1,378035"
16/01/2011 9.00,"4,005429",,"19,448545","1,553315"
16/01/2011 10.00,"4,760143",,"19,670325","1,74207"
16/01/2011 11.00,"4,421823",,"23,758475","2,029067"
16/01/2011 12.00,"5,803496",,"24,481324","2,0699"
16/01/2011 13.00,"5,212026",,"24,213534","2,200076"
16/01/2011 14.00,"6,34055",,"25,541765","2,569552"
16/01/2011 15.00,"3,965209",,"31,564351","2,767511"
16/01/2011 16.00,"3,662379",,"38,273636","2,154972"
16/01/2011 17.00,"1,802799",,"40,327129","2,321455"
16/01/2011 18.00,"4,892634",,"36,744966","2,571332"
16/01/2011 19.00,"3,716792",,"29,741639","2,70405"
16/01/2011 20.00,"4,611093",,"24,087031","3,017795"
16/01/2011 21.00,"4,736484",,"19,136407","4,079797"
16/01/2011 22.00,"5,238052",,"18,67806","3,813699"
16/01/2011 23.00,"3,347715",,"23,602406","2,349066"
17/01/2011 0.00,"1,005498",,"23,4291","1,965708"
17/01/2011 1.00,"0,778373",,"23,948219","1,747664"
17/01/2011 2.00,"0,338319",,"29,494399","1,453598"
17/01/2011 3.00,"0,361979",,"32,74962","1,384798"
17/01/2011 4.00,"0,312296",,"28,985116","1,340152"
17/01/2011 5.00,"0,047318",,"29,416355","1,381493"
17/01/2011 6.00,"0,276807",,"28,791262","1,258639"
