MASSAFRA,,,,
,SO2,NO2,O3,BENZENE
11/04/2011 9.00,"4,43101","22,397358",,"0,874162"
11/04/2011 10.00,"4,861651","8,347264",,"0,740325"
11/04/2011 11.00,"4,732549","10,721069","69,777961","0,660643"
11/04/2011 12.00,"4,755119","9,274594","73,340253","0,633133"
11/04/2011 13.00,"3,775567","9,339487","76,369359","0,682966"
11/04/2011 14.00,"3,407219","7,722338","77,925738","0,569622"
11/04/2011 15.00,"3,386454","7,499753","82,240866","0,532857"
11/04/2011 16.00,"4,310033","8,774913","84,657409","0,526348"
11/04/2011 17.00,"3,64195","12,592594","84,58728","0,566316"
11/04/2011 18.00,"3,669938","19,850938","78,928687","0,786243"
11/04/2011 19.00,"4,240516","28,125519","70,57642","0,830736"
11/04/2011 20.00,"3,886613","40,141886","56,478548","0,862874"
11/04/2011 21.00,"4,027452","44,432643","49,134295","0,957607"
11/04/2011 22.00,"3,075886","43,8752","44,569918","0,854127"
11/04/2011 23.00,"2,700316","37,612978","46,217548","0,784412"
12/04/2011 0.00,"2,916088","31,087263","59,984223","0,627743"
12/04/2011 1.00,"2,749068","31,011339","61,867603","0,527518"
12/04/2011 2.00,,,"54,59601","0,564028"
12/04/2011 3.00,"2,704829","32,410446","52,541097","0,515161"
12/04/2011 4.00,"3,170681","32,758925",,"0,55696"
12/04/2011 5.00,"2,894421","36,89915","51,631101","0,643914"
12/04/2011 6.00,"3,018106","36,491608","53,157073","0,726952"
12/04/2011 7.00,"3,473124","55,164755","36,2692","1,032814"
12/04/2011 8.00,"4,499623","59,600211","25,240979","2,187364"
12/04/2011 9.00,"2,738234","30,343592","43,841583","1,104818"
12/04/2011 10.00,"2,147794","16,590697","50,506478","0,836788"
12/04/2011 11.00,"1,615133","13,394686","51,367479","0,802566"
12/04/2011 12.00,"1,876047","11,747681","48,296117","0,88657"
12/04/2011 13.00,"1,672011","13,773017","48,545374","0,785836"
12/04/2011 14.00,"1,041847","19,456396","57,158724","0,741088"
12/04/2011 15.00,"1,019277","25,24685","55,120715","1,229553"
12/04/2011 16.00,"1,070737","26,868532","56,680484","1,417647"
12/04/2011 17.00,"1,182685","38,180785","48,169375","1,509838"
12/04/2011 18.00,"1,207965","48,611795","41,894821","1,625725"
12/04/2011 19.00,"1,705415","68,867679","29,180108","2,172414"
12/04/2011 20.00,"2,913379","86,141715","16,206858","2,487073"
12/04/2011 21.00,"2,306689","80,320117","18,464549","2,462767"
12/04/2011 22.00,"1,415612","56,525562","38,521813","1,795259"
12/04/2011 23.00,"1,607008","53,191324","43,57878","1,245011"
13/04/2011 0.00,"2,561283","48,953125","45,033793","0,884536"
13/04/2011 1.00,"3,473124","46,847977","41,8475","0,822905"
13/04/2011 2.00,"3,078594","46,758418","36,281867","1,174584"
13/04/2011 3.00,"2,542323","44,073778","34,79306","1,133955"
13/04/2011 4.00,"2,578436","42,03222","37,874578","1,144227"
13/04/2011 5.00,"2,349121","48,38142","38,314793","0,913927"
13/04/2011 6.00,"2,52517","64,822862","26,319976","1,688881"
13/04/2011 7.00,"4,195375","73,961818","20,333558","2,59274"
13/04/2011 8.00,"3,514654","71,239532","28,071544","2,659201"
13/04/2011 9.00,"2,824904","60,014887","29,099847","2,052103"
13/04/2011 10.00,"1,845351","32,228097","41,601634","1,320218"
13/04/2011 11.00,"1,413806","14,344074","60,703262","0,754105"
13/04/2011 12.00,"2,189323","10,565327","66,853604","0,654439"
13/04/2011 13.00,"1,776738","14,669196","67,214386","0,710019"
13/04/2011 14.00,"0,955177",,,"1,508821"
13/04/2011 15.00,"1,555548",,,
13/04/2011 16.00,,"14,70553",,
13/04/2011 17.00,"2,448742",,,"0,737478"
13/04/2011 18.00,"8,708541","20,846402",,"0,741393"
13/04/2011 19.00,"3,046094","25,836072","121,476607","0,815329"
13/04/2011 20.00,"3,103874","39,631152","83,79726","1,1097"
13/04/2011 21.00,"3,940781","36,391669","101,953378","0,978201"
13/04/2011 22.00,"4,106899","35,293015","93,738866","1,038001"
13/04/2011 23.00,"5,099994","27,10604","76,466535","0,669542"
14/04/2011 0.00,"5,881832","25,388319","51,56604","0,664609"
14/04/2011 1.00,"2,263354","26,3669","49,087811","0,664101"
14/04/2011 2.00,,,"77,737329","0,63532"
14/04/2011 3.00,"5,868289","31,847168","71,998455","0,6192"
14/04/2011 4.00,"6,378379","29,542138",,"0,630794"
14/04/2011 5.00,"7,125908","29,801712","60,877325","0,676254"
14/04/2011 6.00,"7,633289","33,666783","65,20514","0,891706"
14/04/2011 7.00,"8,665206","40,173661","64,28582","0,957912"
14/04/2011 8.00,"9,308912","42,22302","65,246517","1,10792"
14/04/2011 9.00,"9,574339","35,200225","76,399785","1,188161"
14/04/2011 10.00,"10,679374","22,150767","104,375805","0,761682"
14/04/2011 11.00,"9,203282","20,995022","103,149782","0,846347"
14/04/2011 12.00,"6,091283","19,817192","108,232144","0,695984"
14/04/2011 13.00,"7,204453","18,233156","111,693828","0,850771"
14/04/2011 14.00,"5,187567","12,73731","110,772013","0,704222"
14/04/2011 15.00,"11,18044","13,237643","116,209268","0,671779"
14/04/2011 16.00,"12,689943","10,47253","123,155078","0,659524"
14/04/2011 17.00,"13,483518","16,348639","98,519229","0,666796"
14/04/2011 18.00,,"17,397966","75,339363","1,003677"
14/04/2011 19.00,,"26,019087","83,539545",
14/04/2011 20.00,"0,650026","52,601431","18,432439","1,183483"
14/04/2011 21.00,"0,650026","61,007768","8,402118","1,837109"
14/04/2011 22.00,"0,650026","51,41584","9,613768","1,77797"
14/04/2011 23.00,"1,452627","42,991356","19,5917","1,191873"
15/04/2011 0.00,"4,184542","42,462461","20,269341","1,101258"
15/04/2011 1.00,"5,045826","39,217147","22,587011","0,944081"
15/04/2011 2.00,"7,215287","35,91535","21,839245","0,855144"
15/04/2011 3.00,"7,42474","38,000386","22,819388","0,837194"
15/04/2011 4.00,"8,74375","33,775174","22,073299","0,765801"
15/04/2011 5.00,"9,636634","41,065305","16,396125","0,924148"
15/04/2011 6.00,"11,749218","60,187504","5,749842","1,859839"
15/04/2011 7.00,"12,698973","67,661315","2,915056","5,509241"
15/04/2011 8.00,"11,505453","54,243265","17,317111","2,198754"
15/04/2011 9.00,"14,417032","51,820782","13,711737","1,424614"
15/04/2011 10.00,"15,310813","34,482499","13,280815","1,450954"
15/04/2011 11.00,"16,905184","29,233905","66,111765","1,139091"
15/04/2011 12.00,"18,565446","34,046427","66,257898","1,400155"
15/04/2011 13.00,"17,501044","48,242551","23,466606","1,788242"
15/04/2011 14.00,"17,596723","45,662383","29,464016","1,217247"
15/04/2011 15.00,"18,84804","47,283415","25,433636","1,246079"
15/04/2011 16.00,"18,914836","42,093214","26,629219","1,079545"
15/04/2011 17.00,"20,876661","43,058199","23,635583","1,217247"
15/04/2011 18.00,"20,7313","54,496338","24,214373","1,091902"
15/04/2011 19.00,"21,565505","82,930758","16,710444","2,422748"
15/04/2011 20.00,"23,549896","87,235821","8,827971","2,472734"
15/04/2011 21.00,"22,31664","56,186183","16,524558","2,146989"
15/04/2011 22.00,"23,148139","37,752495","31,597488","1,244249"
15/04/2011 23.00,"16,315638","36,274215","34,288644","0,980693"
16/04/2011 0.00,"4,638657","35,439684","35,785035","0,887994"
16/04/2011 1.00,"5,299516","31,736848","41,021149","0,62337"
16/04/2011 2.00,"1,705415",,"45,46555","0,584775"
16/04/2011 3.00,"2,453848","35,896536","35,549305","0,608013"
16/04/2011 4.00,"5,039505","35,150916",,"0,609081"
16/04/2011 5.00,"5,648905","33,156738",,"0,599979"
16/04/2011 6.00,"5,97121","38,097728",,"0,855399"
16/04/2011 7.00,"7,017571","39,662967",,"0,911944"
16/04/2011 8.00,"8,458462","40,90697",,"1,370814"
16/04/2011 9.00,"9,028136","35,914052",,"1,055392"
16/04/2011 10.00,"9,381137","36,701852",,"0,957709"
16/04/2011 11.00,"9,273702","34,169063",,"0,945352"
16/04/2011 12.00,"11,013418","36,460463",,"0,914537"
16/04/2011 13.00,"2,359052","44,375529",,"1,404731"
16/04/2011 14.00,"8,067544","36,099648",,"1,207993"
16/04/2011 15.00,"10,130473","32,886761",,"0,99488"
16/04/2011 16.00,"11,107308","30,48246",,"0,881536"
16/04/2011 17.00,"11,040501","24,99831",,"0,787412"
16/04/2011 18.00,"10,64327","33,821883",,"0,888146"
16/04/2011 19.00,"11,546987","35,507826",,"1,158465"
16/04/2011 20.00,"11,864769","38,344317",,"1,142142"
16/04/2011 21.00,"12,187982","40,178861",,"1,306896"
16/04/2011 22.00,"13,282193","36,844641",,"1,17494"
16/04/2011 23.00,"10,517773","40,507858",,"1,300743"
17/04/2011 0.00,"6,85687","33,300788",,"1,087122"
17/04/2011 1.00,"7,084379","29,564853",,"0,765394"
17/04/2011 2.00,"7,184591","27,383146",,"0,783395"
17/04/2011 3.00,"7,358835","24,278634",,"0,759953"
17/04/2011 4.00,"7,917676","21,441493",,"0,705544"
17/04/2011 5.00,"1,865214","22,691978",,"0,674373"
17/04/2011 6.00,"3,06415","23,993745",,"0,748766"
17/04/2011 7.00,"5,649808","21,91909",,"0,749224"
17/04/2011 8.00,"6,148162","21,819801",,"0,839228"
17/04/2011 9.00,"7,232441","22,195547",,"0,886621"
17/04/2011 10.00,"7,808435","24,143665",,"1,154651"
17/04/2011 11.00,"7,754267","18,887927",,"1,184652"
17/04/2011 12.00,"9,039873","19,636795",,"1,335168"
17/04/2011 13.00,"8,769029","14,072822",,"2,144599"
17/04/2011 14.00,"8,362763","6,148021",,"1,152058"
17/04/2011 15.00,"8,577633","7,480285",,"0,750902"
17/04/2011 16.00,"7,513216","11,283693",,"0,724409"
17/04/2011 17.00,"8,626385","15,757461",,"0,788683"
17/04/2011 18.00,"8,472003","20,978788",,"0,847822"
17/04/2011 19.00,"9,200575","24,141694",,"0,971489"
17/04/2011 20.00,"8,369986","27,851663",,"1,209416"
17/04/2011 21.00,"10,090748","27,335117",,"1,149769"
17/04/2011 22.00,"9,419958","29,141767",,"1,079189"
17/04/2011 23.00,"7,313694","29,69531",,"1,018322"
18/04/2011 0.00,"3,507431","26,054766",,"0,917385"
18/04/2011 1.00,"2,609132","26,985986",,"0,869891"
18/04/2011 2.00,"3,328674",,,"0,817007"
18/04/2011 3.00,"2,901643","24,096286",,"0,787819"
18/04/2011 4.00,"3,58417","26,27541",,"0,759089"
18/04/2011 5.00,"3,085817","25,474627",,"0,748512"
18/04/2011 6.00,"3,627502","27,083269",,"0,820719"
18/04/2011 7.00,"3,586879","29,701141",,"0,84889"
18/04/2011 8.00,"3,577896",,,"1,194772"
18/04/2011 9.00,"3,290756","25,43763","28,555711","1,161058"
18/04/2011 10.00,"2,578436","28,369528","27,676116","1,156787"
18/04/2011 11.00,"3,739454","28,332531","31,006031","1,236825"
18/04/2011 12.00,"3,808971","23,355194","33,910091","1,080105"
18/04/2011 13.00,"3,334994","14,442069","39,555165","1,055443"
18/04/2011 14.00,"4,00127","7,311562","42,422898","0,870196"
18/04/2011 15.00,"3,597713","7,725583","45,272057","0,864806"
18/04/2011 16.00,"4,211626","9,88589","46,623129","0,832313"
18/04/2011 17.00,,"13,034847",,"0,90991"
18/04/2011 18.00,,"18,260019",,"0,913571"
18/04/2011 19.00,"2,626286","33,430573","38,195653","1,175144"
18/04/2011 20.00,"1,945564","36,625297","36,341859","1,326626"
18/04/2011 21.00,"2,732817","30,590183","47,292312","1,16955"
18/04/2011 22.00,"2,111682","26,532383","54,538552","0,993965"
18/04/2011 23.00,"3,030745","26,550567","53,081027","0,965235"
19/04/2011 0.00,"2,400582","23,373358","54,563909","0,930657"
19/04/2011 1.00,"3,180612","24,564171","55,142697","0,844008"
19/04/2011 2.00,"2,906158","21,995036","55,744289","0,819905"
19/04/2011 3.00,"3,66723","23,895105","53,899772","0,83994"
19/04/2011 4.00,"2,276896","23,87046","51,528019","0,815888"
19/04/2011 5.00,"1,887784","25,719918","47,164733","0,826007"
19/04/2011 6.00,"3,364787","28,245574","46,297826","0,903554"
19/04/2011 7.00,"3,634728","31,372801","43,457962","0,970981"
19/04/2011 8.00,"3,680771","37,213866","35,720815","1,144379"
19/04/2011 9.00,"4,040994","24,02556","31,077851","1,040035"
19/04/2011 10.00,"3,948004","14,808713","31,666774","0,92786"
19/04/2011 11.00,"4,080718","14,170166","34,211757","0,924148"
19/04/2011 12.00,"4,51136","11,664618","39,665009","1,073342"
19/04/2011 13.00,"2,998244","10,960522","41,979307","1,027322"
19/04/2011 14.00,"2,26877","8,044212","44,389949","0,760869"
19/04/2011 15.00,"1,551034","7,299232","47,11404","0,773683"
19/04/2011 16.00,"1,55916","9,008531","46,594404","0,797226"
19/04/2011 17.00,"1,099627","12,967031","45,865209","0,840957"
19/04/2011 18.00,"0,981358","19,977492","47,313438","0,872383"
19/04/2011 19.00,"1,393944","34,29302","41,34813","1,123378"
19/04/2011 20.00,"0,951565","37,289812","41,512897","1,137209"
19/04/2011 21.00,"1,269356","42,646758","39,224793","1,100191"
19/04/2011 22.00,"0,752946","36,191158","43,172377","1,063833"
19/04/2011 23.00,"0,709612","25,985972","52,721926","0,829211"
20/04/2011 0.00,"1,034625","26,621292","51,818688","0,788887"
20/04/2011 1.00,"0,810727","24,061888","54,429564","0,860484"
20/04/2011 2.00,,,"60,932249","0,878637"
20/04/2011 3.00,"0,650026","22,113139","57,444309","0,885451"
20/04/2011 4.00,"0,650026","30,378638","49,043044","0,82738"
20/04/2011 5.00,"0,650026","30,989276","48,527616","0,858145"
20/04/2011 6.00,"0,650026","24,160528","53,559267","0,871416"
20/04/2011 7.00,"0,650026","22,709512","55,080174","0,885553"
20/04/2011 8.00,"0,650026","27,183266","48,245425","1,253859"
20/04/2011 9.00,"0,650026","24,195556","36,319892","1,115649"
20/04/2011 10.00,"0,650026","16,287638","30,541316","1,041205"
20/04/2011 11.00,"0,650026","14,965105","29,732702","1,008"
20/04/2011 12.00,"0,650026","18,349307","26,652043","1,14682"
20/04/2011 13.00,"0,650026","13,40442","33,963337","1,103242"
20/04/2011 14.00,"0,650026","19,647826","37,92527","0,90513"
20/04/2011 15.00,"0,650026","11,500444","40,500675","0,849754"
20/04/2011 16.00,"0,650026","16,32982","41,865255","0,892468"
20/04/2011 17.00,"0,650026","12,344707","48,051929","0,888807"
20/04/2011 18.00,"0,650026","20,067683","49,196822","0,982625"
20/04/2011 19.00,"0,650026","29,608352","47,595652","1,003067"
20/04/2011 20.00,"0,650026","36,903683","42,126339","1,1516"
20/04/2011 21.00,"0,650026","36,560402","44,277567","1,16594"
20/04/2011 22.00,"0,650026","43,40473","39,144535","1,126938"
20/04/2011 23.00,"0,709612","47,567654","35,137815","1,087631"
21/04/2011 0.00,"1,659372","35,391025","45,120814","0,899892"
21/04/2011 1.00,"2,472807","41,156812","39,515462","0,814515"
21/04/2011 2.00,"2,175781","39,163265","35,786728","0,775564"
21/04/2011 3.00,"2,298563","36,473446","34,07065","0,782581"
21/04/2011 4.00,"1,897715","35,852409","35,179211","0,894197"
21/04/2011 5.00,"1,895909","34,019163","46,250505","0,744749"
21/04/2011 6.00,"1,861602","60,304976","28,919022","1,2623"
21/04/2011 7.00,"5,565846","93,964625","1,429645","3,647318"
21/04/2011 8.00,"10,692016","92,839375","0,059146","4,2056"
21/04/2011 9.00,"15,109487","76,5751","0,195181","3,52421"
21/04/2011 10.00,"11,12898","43,047799","6,878686","2,400527"
21/04/2011 11.00,"10,842786","33,372161","15,199685","1,997388"
21/04/2011 12.00,"14,564182","36,675256","23,363524","1,622115"
21/04/2011 13.00,"5,405145","28,579122","31,646506","1,638438"
21/04/2011 14.00,"2,118904","17,304526","42,825111","1,065511"
21/04/2011 15.00,"0,650026","18,678968","44,456699","0,983642"
21/04/2011 16.00,"0,650026","20,553082","44,617239","1,233316"
21/04/2011 17.00,"0,650026","27,39028","40,604594","1,366238"
21/04/2011 18.00,"0,650026","37,574029","35,458891","1,487973"
21/04/2011 19.00,"0,650026","71,016957","21,404934","2,126954"
21/04/2011 20.00,"0,650026","90,023649","5,724493","2,350795"
21/04/2011 21.00,"0,650026","94,653158","0,239119","2,720322"
21/04/2011 22.00,"0,650026","76,77626","6,625202","2,2972"
21/04/2011 23.00,"4,752411","77,747709","4,229787","2,190109"
22/04/2011 0.00,"11,757333","64,929284","19,603534","1,715069"
22/04/2011 1.00,"10,655007","47,760383","38,224379","0,878129"
22/04/2011 2.00,,,"35,873752","0,751156"
22/04/2011 3.00,"19,483614","57,193312","23,446317","1,268402"
22/04/2011 4.00,"14,119102","44,642234","27,513883","0,922877"
22/04/2011 5.00,"16,208213","60,184922","10,706269","1,547009"
22/04/2011 6.00,"18,928383","87,63556","0,418248","3,365507"
22/04/2011 7.00,"19,080058","94,543483","4,347235","4,739779"
22/04/2011 8.00,"15,700832","66,55551","18,228806","2,126089"
22/04/2011 9.00,"21,641343","61,472406","9,526738","1,739782"
22/04/2011 10.00,"29,026359","50,123155","6,955576","2,268215"
22/04/2011 11.00,"16,782391","32,204082","18,414694","1,856991"
22/04/2011 12.00,"16,003267","29,217693","22,608139","1,394765"
22/04/2011 13.00,"13,850065","23,486931","31,022091","1,283098"
22/04/2011 14.00,"13,153084","17,237688","36,414515","0,916775"
22/04/2011 15.00,"12,790157","19,062496","32,470321","1,022085"
22/04/2011 16.00,"10,204497","22,626435","30,630892","1,112242"
22/04/2011 17.00,"11,123559","29,179395","30,858161","1,357848"
22/04/2011 18.00,"15,483254","46,115985","21,348336","1,617844"
22/04/2011 19.00,"15,345115","65,133712","16,085182","1,728239"
22/04/2011 20.00,"16,016813","84,094308","3,754929","2,410188"
22/04/2011 21.00,"16,059243","79,891159","3,949266","2,737917"
22/04/2011 22.00,"17,086636","72,101961","8,165535","2,105444"
22/04/2011 23.00,"13,912356","73,367396","8,212004","2,022508"
23/04/2011 0.00,"5,619113","61,676819","18,35555","1,246232"
23/04/2011 1.00,"5,28146","53,343193","26,178011","0,884943"
23/04/2011 2.00,"5,443063","52,19651","28,44417","0,711493"
23/04/2011 3.00,"5,224583","46,203593","29,540903","0,676"
23/04/2011 4.00,"4,543861","38,925125","35,967534","0,73224"
23/04/2011 5.00,"5,396117","43,254812","31,365988","0,87162"
23/04/2011 6.00,"5,236319","41,234038","28,264183","0,980337"
23/04/2011 7.00,"5,651613","47,272383","20,876857","0,953285"
23/04/2011 8.00,"6,005516","52,660495","19,646622","1,560993"
23/04/2011 9.00,"6,978749","57,33478","7,871494","1,430054"
23/04/2011 10.00,"12,348678","46,642915","2,076027","2,101122"
23/04/2011 11.00,"10,78681","34,610336","9,570675","1,834159"
23/04/2011 12.00,"11,308643","30,195623","14,92592","1,661168"
23/04/2011 13.00,"5,240834","25,606364","21,473383","1,488837"
23/04/2011 14.00,"0,673499","15,155899","33,842523","0,93981"
23/04/2011 15.00,"2,48364","16,575765","37,087929","0,908232"
23/04/2011 16.00,"3,813485","19,602397","39,975951","1,002355"
23/04/2011 17.00,"4,493304","28,692696","36,024992","1,212366"
23/04/2011 18.00,"7,559259","53,952527","21,938097","1,691525"
23/04/2011 19.00,"11,672474","75,295377","9,607852","2,177092"
23/04/2011 20.00,"8,660692","75,957295","6,546622","2,629453"
23/04/2011 21.00,"5,520706","75,074108","9,387322","2,010355"
23/04/2011 22.00,"4,35066","64,857908","19,02897","1,483091"
23/04/2011 23.00,"3,622089","55,378249","27,056769","1,454157"
24/04/2011 0.00,"5,97121","45,969334","33,153028","0,870704"
24/04/2011 1.00,"6,93722","44,0277","30,167851","0,677729"
24/04/2011 2.00,,,"30,40781","0,663084"
24/04/2011 3.00,"7,510507","40,213908","28,196592","0,615946"
24/04/2011 4.00,"7,706418","37,639574","24,941031","0,556909"
24/04/2011 5.00,"7,1873","38,65062","23,904289","0,555333"
24/04/2011 6.00,"8,332067","40,51761","22,843887","0,596521"
24/04/2011 7.00,"7,813853","41,34566","19,985432","0,748614"
24/04/2011 8.00,"7,576413","38,262562","20,801646","1,030018"
24/04/2011 9.00,"8,515339","52,030374","7,072177","1,162889"
24/04/2011 10.00,"9,668232","50,119906","2,870272","1,766173"
24/04/2011 11.00,"11,854843","41,519575","1,118706","2,046814"
24/04/2011 12.00,"13,617131","39,842064","3,367099","2,490786"
24/04/2011 13.00,"13,791373","29,453901","5,817436","2,039543"
24/04/2011 14.00,"14,833219","16,338264","9,650944","1,476582"
24/04/2011 15.00,"11,136201","14,581586","14,827066","0,942708"
24/04/2011 16.00,"11,796162","18,00083","12,740052","0,973015"
24/04/2011 17.00,"10,599937","22,473284","12,515296","0,88601"
24/04/2011 18.00,"11,326694","35,259935","12,945371","1,084376"
24/04/2011 19.00,"9,330579","53,419748","13,842702","1,027373"
24/04/2011 20.00,"8,694096","60,41723","9,717695","1,752037"
24/04/2011 21.00,"8,167756","56,842248","12,203519","1,458225"
24/04/2011 22.00,"6,376573","52,607933","15,393175","1,220146"
24/04/2011 23.00,"5,401535","47,85317","17,218256","1,139904"
25/04/2011 0.00,"3,626602","52,39704","15,486118","0,749834"
25/04/2011 1.00,"4,486985","55,862999","13,593447","0,928368"
25/04/2011 2.00,"3,710564","42,026389","25,405746","0,92486"
25/04/2011 3.00,"4,052731","35,47213","24,68671","0,480532"
25/04/2011 4.00,"3,907378","36,677856","22,459431","0,486533"
25/04/2011 5.00,"3,568823","38,11524","22,260868","0,516178"
25/04/2011 6.00,"3,773761","42,274929","19,522412","0,542366"
25/04/2011 7.00,"3,631117","47,836956","17,693953","0,841618"
25/04/2011 8.00,"4,003979","52,148499","17,096588","1,052392"
25/04/2011 9.00,"4,177318","55,971369","4,491719","1,76419"
25/04/2011 10.00,"3,009078","41,646763","5,596906","2,241976"
25/04/2011 11.00,"4,240516","35,010727","9,502235","1,566383"
25/04/2011 12.00,"2,624479","31,849769","8,787412","1,432495"
25/04/2011 13.00,"1,984385","20,59786","12,335331","1,094597"
25/04/2011 14.00,"1,265346","18,606339","18,495554","0,858348"
25/04/2011 15.00,"0,743918","21,795805","18,986727","0,69756"
25/04/2011 16.00,"0,974135","27,926957","22,2879","0,665932"
25/04/2011 17.00,"1,179075","28,460368","26,178011","0,617116"
25/04/2011 18.00,"1,571799","38,68955","21,523238","0,798396"
25/04/2011 19.00,"1,513116","45,98425","11,104246","1,349559"
25/04/2011 20.00,"1,63319","50,809733","7,759116","1,294285"
25/04/2011 21.00,"1,291927","46,82331","4,817867","1,440123"
25/04/2011 22.00,"1,054487","40,121752","8,504356","1,033119"
25/04/2011 23.00,"1,377693","43,97644","12,218719","1,110005"
26/04/2011 0.00,"2,913379","38,123022","25,664299","0,76814"
26/04/2011 1.00,"0,826978","35,675891","33,307662","0,402681"
26/04/2011 2.00,,,"25,230846","0,374256"
26/04/2011 3.00,"1,869727","35,572069","16,410491","0,446056"
26/04/2011 4.00,"2,716566","37,897195","18,051364","0,437513"
26/04/2011 5.00,"2,755387","39,893324","8,201866","0,501025"
26/04/2011 6.00,"3,049704","42,432611","0,925213","0,618539"
26/04/2011 7.00,"3,631117","50,665015","1,257277","0,979066"
26/04/2011 8.00,"3,26006",,"13,78542","1,129022"
26/04/2011 9.00,"1,930216","12,967365","91,315223","3,037779"
26/04/2011 10.00,"1,354221","13,585469","39,26958","1,112598"
26/04/2011 11.00,"1,211576","13,898263","40,248028","1,205806"
26/04/2011 12.00,"1,422835","17,358386","44,30544","0,978964"
26/04/2011 13.00,"1,114975","17,712702","41,66669","0,998185"
26/04/2011 14.00,"0,691555","9,522488","50,318906","0,742868"
26/04/2011 15.00,"0,671693","9,645785","54,938211","0,714493"
26/04/2011 16.00,"0,947955","11,280448","53,641222","0,755631"
26/04/2011 17.00,"0,849548","13,273335","52,313826","0,895214"
26/04/2011 18.00,"0,92087","17,904789","46,215014","1,311727"
26/04/2011 19.00,"0,650026","20,710783","40,599526","1,032102"
26/04/2011 20.00,"0,706","21,006054","40,540374","1,137311"
26/04/2011 21.00,"0,650026","16,948258","43,955635","1,073342"
26/04/2011 22.00,"0,650026","10,791804","47,888859","0,898418"
26/04/2011 23.00,"0,65454","7,120127","46,560606","0,8435"
27/04/2011 0.00,"2,182101","4,061042","48,759156","0,534128"
27/04/2011 1.00,"4,968184","2,632734","48,364545","0,493703"
27/04/2011 2.00,"4,258572","2,306968","42,347704","0,491262"
27/04/2011 3.00,"4,597128","1,825457","47,064185","0,4726"
27/04/2011 4.00,"4,15204","2,321244","45,829719","0,457853"
27/04/2011 5.00,"3,297978","3,729436","42,275048","0,518314"
27/04/2011 6.00,"0,668985","8,737924","36,404382","0,649761"
27/04/2011 7.00,"1,871533","13,433623","29,698068","0,863789"
27/04/2011 8.00,"2,322037","11,486814","38,157648","0,791734"
27/04/2011 9.00,"2,186615","9,085105","45,229824","0,741495"
27/04/2011 10.00,"2,864627","8,379063","42,344332","0,730664"
27/04/2011 11.00,"1,922993","7,728828","44,925643","0,759394"
27/04/2011 12.00,"3,343119","8,243435","46,847866","0,765648"
27/04/2011 13.00,"1,495962","9,431638","46,755777","0,853314"
27/04/2011 14.00,"2,344607","6,053277","50,536063","0,749427"
27/04/2011 15.00,"2,752679","7,197999","51,893881","0,739969"
27/04/2011 16.00,"1,71354","7,412797","48,343438","0,748054"
27/04/2011 17.00,"0,743016","8,628901","51,046404","0,714544"
27/04/2011 18.00,"1,13574","9,447211","55,157061","0,814007"
27/04/2011 19.00,"1,397555","12,362225","49,230615","0,85189"
27/04/2011 20.00,"1,427348","11,876824","47,88379","0,963913"
27/04/2011 21.00,"2,356344","11,01828","46,803098","0,902333"
27/04/2011 22.00,"1,651246","6,554904","50,009661","0,733816"
27/04/2011 23.00,"2,377108","4,908553","49,190056","0,601861"
28/04/2011 0.00,"2,484543","4,841714","50,678007","0,512161"
28/04/2011 1.00,"2,321134","3,809255","53,609959","0,489228"
28/04/2011 2.00,,,"56,076358","0,450887"
28/04/2011 3.00,"3,158042","2,50619","55,789917","0,468379"
28/04/2011 4.00,"3,074984","2,020787","55,09791","0,476109"
28/04/2011 5.00,"2,378914","2,611968","56,040867","0,507483"
28/04/2011 6.00,"2,410513","4,607445","50,443114","0,586656"
28/04/2011 7.00,"2,877267","11,789864","37,194402","0,771445"
28/04/2011 8.00,"2,991227","15,711383",,"1,112903"
28/04/2011 9.00,"3,444172","9,799583",,"1,104055"
28/04/2011 10.00,"2,452641","11,286287","63,856598","0,979981"
28/04/2011 11.00,"1,926171","11,645148","59,61413","1,094444"
28/04/2011 12.00,"2,612478","14,634155","62,772238","1,016034"
28/04/2011 13.00,"2,965564","30,368237",,"1,338677"
28/04/2011 14.00,"3,249116","27,059331","52,705865","1,038052"
28/04/2011 15.00,"2,615187","26,063847","55,348004","1,23718"
28/04/2011 16.00,"1,611013","14,168864","65,060642","0,809176"
28/04/2011 17.00,"1,797038","12,242826","64,641534","0,920538"
28/04/2011 18.00,"2,090524","22,612822","58,552889","1,045018"
28/04/2011 19.00,"2,964662","24,277332","42,760891","1,337304"
28/04/2011 20.00,"3,474875","39,32745","20,566754","1,530992"
28/04/2011 21.00,"2,640472","27,413643","21,353402","1,829685"
28/04/2011 22.00,"3,119983","18,762679","20,401149","1,283912"
28/04/2011 23.00,"1,945136","16,441435","22,574343","1,174279"
29/04/2011 0.00,"2,808436","13,834658","29,425991","0,871111"
29/04/2011 1.00,"2,849073","14,911246","20,948657","1,121395"
29/04/2011 2.00,"1,927075","9,475115","24,888642","0,89557"
29/04/2011 3.00,"2,267518","6,957892","19,306958","1,024424"
29/04/2011 4.00,"1,266054","7,210978","30,544688","0,899791"
29/04/2011 5.00,"1,630879","16,815232","23,502098","1,351644"
29/04/2011 6.00,"3,742173","39,132121","13,079717","2,053781"
29/04/2011 7.00,"0,503893","29,144998","24,58277","2,036187"
29/04/2011 8.00,"2,37498","41,285947","24,263389","1,803192"
29/04/2011 9.00,"1,455691","36,725217","30,832826","1,839346"
