NetC,Regione Puglia,,,
Stat,Capitaneria di Porto,,,
Parm,SO2,NOX,NO,NO2



01/01/2006 1.00,5,201,101,45
01/01/2006 2.00,5,356,194,59
01/01/2006 3.00,3,316,164,64
01/01/2006 4.00,2,276,139,62
01/01/2006 5.00,2,160,65,60
01/01/2006 6.00,1,109,36,55
01/01/2006 7.00,1,127,45,57
01/01/2006 8.00,1,109,29,64
01/01/2006 9.00,1,30,5,23
01/01/2006 10.00,1,,,
01/01/2006 11.00,1,,,
01/01/2006 12.00,1,,,
01/01/2006 13.00,"0,91914935",,,
01/01/2006 14.00,"0,88658704",,,
01/01/2006 15.00,"0,80781836",,,
01/01/2006 16.00,"0,86409202",8,3,5
01/01/2006 17.00,"0,69686366",17,4,13
01/01/2006 18.00,"0,76189877",11,5,6
01/01/2006 19.00,"0,66328028",52,8,39
01/01/2006 20.00,"0,69273057",27,5,19
01/01/2006 21.00,"0,65457985",23,4,16
01/01/2006 22.00,"0,70690145",14,3,9
01/01/2006 23.00,"0,6730923",15,4,10
02/01/2006 0.00,"0,66114662",23,5,15
02/01/2006 1.00,,45,7,34
02/01/2006 2.00,1,,,
02/01/2006 3.00,1,14,4,9
02/01/2006 4.00,1,29,5,21
02/01/2006 5.00,"0,94879083",19,5,12
02/01/2006 6.00,1,69,16,44
02/01/2006 7.00,1,109,32,60
02/01/2006 8.00,1,90,19,61
02/01/2006 9.00,1,70,12,51
02/01/2006 10.00,1,50,9,36
02/01/2006 11.00,1,18,5,10
02/01/2006 12.00,1,25,6,16
02/01/2006 13.00,1,14,4,8
02/01/2006 14.00,1,28,4,21
02/01/2006 15.00,1,1,3,"0,58404334"
02/01/2006 16.00,"0,99137465",10,4,7
02/01/2006 17.00,1,94,22,60
02/01/2006 18.00,1,118,29,74
02/01/2006 19.00,1,102,21,70
02/01/2006 20.00,1,125,31,77
02/01/2006 21.00,1,174,59,84
02/01/2006 22.00,1,197,72,87
02/01/2006 23.00,1,172,60,80
03/01/2006 0.00,1,162,61,69
03/01/2006 1.00,1,83,21,50
03/01/2006 2.00,1,68,18,41
03/01/2006 3.00,1,6,3,3
03/01/2006 4.00,1,12,5,5
03/01/2006 5.00,1,20,4,14
03/01/2006 6.00,1,84,19,55
03/01/2006 7.00,2,162,59,72
03/01/2006 8.00,2,180,68,77
03/01/2006 9.00,3,360,173,94
03/01/2006 10.00,2,335,150,104
03/01/2006 11.00,1,97,20,67
03/01/2006 12.00,"0,96439059",52,8,41
03/01/2006 13.00,1,30,5,23
03/01/2006 14.00,"0,96516046",27,5,19
03/01/2006 15.00,"0,98830636",15,4,9
03/01/2006 16.00,"0,93078789",39,6,30
03/01/2006 17.00,1,78,15,55
03/01/2006 18.00,2,135,44,68
03/01/2006 19.00,3,346,179,71
03/01/2006 20.00,2,370,192,75
03/01/2006 21.00,2,332,166,78
03/01/2006 22.00,2,328,163,79
03/01/2006 23.00,1,87,18,58
04/01/2006 0.00,1,146,41,83
04/01/2006 1.00,,159,60,67
04/01/2006 2.00,1,,,
04/01/2006 3.00,1,20,4,14
04/01/2006 4.00,1,21,4,15
04/01/2006 5.00,1,10,3,5
04/01/2006 6.00,1,34,5,26
04/01/2006 7.00,1,48,7,38
04/01/2006 8.00,1,109,21,76
04/01/2006 9.00,2,130,33,79
04/01/2006 10.00,2,220,79,99
04/01/2006 11.00,1,,,
04/01/2006 12.00,1,,,
04/01/2006 13.00,1,90,14,68
04/01/2006 14.00,2,52,6,43
04/01/2006 15.00,1,60,8,47
04/01/2006 16.00,1,,,
04/01/2006 17.00,1,,,
04/01/2006 18.00,2,144,49,69
04/01/2006 19.00,2,267,120,82
04/01/2006 20.00,2,302,140,87
04/01/2006 21.00,3,401,201,93
04/01/2006 22.00,1,189,66,87
04/01/2006 23.00,1,69,10,54
05/01/2006 0.00,1,54,8,41
05/01/2006 1.00,1,20,5,13
05/01/2006 2.00,1,27,6,18
05/01/2006 3.00,1,5,3,1
05/01/2006 4.00,1,2,3,"0,01946798"
05/01/2006 5.00,1,,,
05/01/2006 6.00,1,,,
05/01/2006 7.00,1,3,4,1
05/01/2006 8.00,1,34,9,21
05/01/2006 9.00,1,51,12,32
05/01/2006 10.00,2,94,27,53
05/01/2006 11.00,2,115,35,62
05/01/2006 12.00,2,102,32,53
05/01/2006 13.00,2,72,20,40
05/01/2006 14.00,2,71,20,41
05/01/2006 15.00,1,51,13,30
05/01/2006 16.00,2,51,14,31
05/01/2006 17.00,2,58,15,36
05/01/2006 18.00,1,74,19,44
05/01/2006 19.00,1,54,12,35
05/01/2006 20.00,1,74,21,43
05/01/2006 21.00,2,92,26,52
05/01/2006 22.00,1,56,12,37
05/01/2006 23.00,1,29,6,19
06/01/2006 0.00,2,24,6,15
06/01/2006 1.00,,18,6,10
06/01/2006 2.00,2,,,
06/01/2006 3.00,2,9,4,3
06/01/2006 4.00,2,24,9,10
06/01/2006 5.00,2,25,7,13
06/01/2006 6.00,2,11,5,5
06/01/2006 7.00,2,15,6,7
06/01/2006 8.00,2,28,11,11
06/01/2006 9.00,2,37,12,18
06/01/2006 10.00,2,46,17,19
06/01/2006 11.00,2,49,18,22
06/01/2006 12.00,3,30,10,15
06/01/2006 13.00,3,54,13,33
06/01/2006 14.00,2,75,18,48
06/01/2006 15.00,2,26,5,19
06/01/2006 16.00,2,25,6,16
06/01/2006 17.00,2,13,4,7
06/01/2006 18.00,2,38,7,27
06/01/2006 19.00,2,76,13,55
06/01/2006 20.00,2,109,26,69
06/01/2006 21.00,2,93,18,65
06/01/2006 22.00,2,112,28,70
06/01/2006 23.00,2,90,16,66
07/01/2006 0.00,2,43,7,32
07/01/2006 1.00,2,20,4,14
07/01/2006 2.00,2,12,3,6
07/01/2006 3.00,2,,,
07/01/2006 4.00,2,,,
07/01/2006 5.00,2,,,
07/01/2006 6.00,2,,,
07/01/2006 7.00,2,19,6,11
07/01/2006 8.00,2,38,7,26
07/01/2006 9.00,2,37,9,22
07/01/2006 10.00,3,45,11,28
07/01/2006 11.00,3,30,8,17
07/01/2006 12.00,4,43,12,25
07/01/2006 13.00,3,57,13,37
07/01/2006 14.00,3,48,9,34
07/01/2006 15.00,3,14,4,8
07/01/2006 16.00,3,21,5,14
07/01/2006 17.00,2,51,9,38
07/01/2006 18.00,2,89,18,62
07/01/2006 19.00,2,155,52,75
07/01/2006 20.00,3,219,86,87
07/01/2006 21.00,2,162,53,80
07/01/2006 22.00,3,259,112,88
07/01/2006 23.00,3,238,102,82
08/01/2006 0.00,3,244,109,78
08/01/2006 1.00,,158,62,63
08/01/2006 2.00,2,,,
08/01/2006 3.00,1,86,32,37
08/01/2006 4.00,1,49,15,26
08/01/2006 5.00,1,38,13,19
08/01/2006 6.00,1,43,11,26
08/01/2006 7.00,1,49,13,29
08/01/2006 8.00,1,69,22,36
08/01/2006 9.00,2,156,70,48
08/01/2006 10.00,2,218,104,58
08/01/2006 11.00,2,137,56,52
08/01/2006 12.00,2,60,19,31
08/01/2006 13.00,2,50,12,32
08/01/2006 14.00,2,31,6,22
08/01/2006 15.00,1,9,3,5
08/01/2006 16.00,1,11,3,6
08/01/2006 17.00,1,14,3,9
08/01/2006 18.00,2,96,30,49
08/01/2006 19.00,2,240,102,84
08/01/2006 20.00,2,200,78,81
08/01/2006 21.00,2,274,119,91
08/01/2006 22.00,1,189,69,83
08/01/2006 23.00,1,125,32,76
09/01/2006 0.00,1,44,6,35
09/01/2006 1.00,1,23,4,17
09/01/2006 2.00,1,19,4,13
09/01/2006 3.00,1,4,3,1
09/01/2006 4.00,1,8,4,3
09/01/2006 5.00,1,13,4,7
09/01/2006 6.00,1,23,5,16
09/01/2006 7.00,1,20,4,13
09/01/2006 8.00,1,80,19,51
09/01/2006 9.00,1,128,43,62
09/01/2006 10.00,2,116,38,58
09/01/2006 11.00,2,203,82,77
09/01/2006 12.00,1,99,26,60
09/01/2006 13.00,2,53,9,38
09/01/2006 14.00,2,28,5,20
09/01/2006 15.00,1,11,3,6
09/01/2006 16.00,1,22,4,15
09/01/2006 17.00,1,26,5,19
09/01/2006 18.00,1,56,12,39
09/01/2006 19.00,1,177,61,83
09/01/2006 20.00,1,122,32,72
09/01/2006 21.00,1,118,34,67
09/01/2006 22.00,1,70,10,55
09/01/2006 23.00,1,56,8,43
10/01/2006 0.00,1,52,8,41
10/01/2006 1.00,,58,8,45
10/01/2006 2.00,1,,,
10/01/2006 3.00,2,12,3,7
10/01/2006 4.00,2,1,3,0.00
10/01/2006 5.00,2,"0,53824521",3,0.00
10/01/2006 6.00,2,5,3,3
10/01/2006 7.00,1,13,3,8
10/01/2006 8.00,2,36,5,28
10/01/2006 9.00,2,57,8,44
10/01/2006 10.00,2,31,6,22
10/01/2006 11.00,2,35,6,26
10/01/2006 12.00,3,23,5,16
10/01/2006 13.00,3,44,7,33
10/01/2006 14.00,3,51,7,40
10/01/2006 15.00,3,12,4,9
10/01/2006 16.00,2,11,3,7
10/01/2006 17.00,2,32,5,25
10/01/2006 18.00,2,57,12,39
10/01/2006 19.00,2,90,12,71
10/01/2006 20.00,2,67,8,55
10/01/2006 21.00,2,67,8,54
10/01/2006 22.00,2,100,14,78
10/01/2006 23.00,2,88,13,68
11/01/2006 0.00,2,49,7,38
11/01/2006 1.00,2,15,4,9
11/01/2006 2.00,2,,,
11/01/2006 3.00,2,,,
11/01/2006 4.00,2,,,
11/01/2006 5.00,2,,,
11/01/2006 6.00,2,,,
11/01/2006 7.00,2,11,4,6
11/01/2006 8.00,2,46,8,33
11/01/2006 9.00,2,117,37,60
11/01/2006 10.00,2,93,16,68
11/01/2006 11.00,2,50,7,40
11/01/2006 12.00,2,26,4,20
11/01/2006 13.00,2,48,7,38
11/01/2006 14.00,2,59,7,49
11/01/2006 15.00,2,71,7,60
11/01/2006 16.00,2,59,6,50
11/01/2006 17.00,2,36,4,29
11/01/2006 18.00,2,86,13,67
11/01/2006 19.00,2,152,33,102
11/01/2006 20.00,2,201,60,109
11/01/2006 21.00,3,232,77,114
11/01/2006 22.00,2,173,44,106
11/01/2006 23.00,2,94,12,75
12/01/2006 0.00,2,37,5,29
12/01/2006 1.00,,45,6,36
12/01/2006 2.00,1,,,
12/01/2006 3.00,2,1,3,"0,03244664"
12/01/2006 4.00,2,11,4,6
12/01/2006 5.00,2,7,4,3
12/01/2006 6.00,2,17,4,10
12/01/2006 7.00,2,61,8,49
12/01/2006 8.00,2,191,64,94
12/01/2006 9.00,3,358,158,115
12/01/2006 10.00,2,128,31,80
12/01/2006 11.00,2,62,9,49
12/01/2006 12.00,2,79,12,60
12/01/2006 13.00,2,17,3,12
12/01/2006 14.00,2,27,4,21
12/01/2006 15.00,2,30,4,24
12/01/2006 16.00,3,78,9,64
12/01/2006 17.00,3,89,10,74
12/01/2006 18.00,3,106,13,86
12/01/2006 19.00,3,228,70,121
12/01/2006 20.00,2,193,55,109
12/01/2006 21.00,2,146,27,105
12/01/2006 22.00,2,124,20,94
12/01/2006 23.00,2,85,9,72
13/01/2006 0.00,2,77,8,65
13/01/2006 1.00,2,58,6,48
13/01/2006 2.00,2,44,5,36
13/01/2006 3.00,2,32,4,27
13/01/2006 4.00,2,24,4,19
13/01/2006 5.00,2,21,3,15
13/01/2006 6.00,2,36,5,27
13/01/2006 7.00,2,75,11,57
13/01/2006 8.00,3,194,57,106
13/01/2006 9.00,3,308,120,124
13/01/2006 10.00,4,241,78,120
13/01/2006 11.00,4,79,9,65
13/01/2006 12.00,4,41,4,35
13/01/2006 13.00,3,21,3,16
13/01/2006 14.00,3,30,4,24
13/01/2006 15.00,3,23,3,18
13/01/2006 16.00,3,39,5,32
13/01/2006 17.00,3,73,8,61
13/01/2006 18.00,3,94,11,77
13/01/2006 19.00,3,120,17,94
13/01/2006 20.00,3,135,21,103
13/01/2006 21.00,3,154,27,112
13/01/2006 22.00,3,176,37,120
13/01/2006 23.00,2,125,19,96
14/01/2006 0.00,2,106,13,86
14/01/2006 1.00,,79,8,66
14/01/2006 2.00,2,,,
14/01/2006 3.00,2,28,4,21
14/01/2006 4.00,1,23,5,15
14/01/2006 5.00,2,19,4,13
14/01/2006 6.00,2,34,6,25
14/01/2006 7.00,2,75,12,57
14/01/2006 8.00,2,164,44,96
14/01/2006 9.00,2,257,96,109
14/01/2006 10.00,3,301,117,121
14/01/2006 11.00,4,126,28,83
14/01/2006 12.00,3,56,6,47
14/01/2006 13.00,2,61,7,51
14/01/2006 14.00,4,60,7,50
14/01/2006 15.00,4,32,3,27
14/01/2006 16.00,4,29,3,23
14/01/2006 17.00,3,49,4,42
14/01/2006 18.00,3,65,7,54
14/01/2006 19.00,2,103,11,86
14/01/2006 20.00,3,240,73,128
14/01/2006 21.00,3,220,65,120
14/01/2006 22.00,2,96,17,71
14/01/2006 23.00,2,183,47,111
15/01/2006 0.00,2,89,9,74
15/01/2006 1.00,2,89,10,74
15/01/2006 2.00,2,88,11,70
15/01/2006 3.00,2,88,12,70
15/01/2006 4.00,2,64,9,51
15/01/2006 5.00,1,39,6,30
15/01/2006 6.00,2,53,11,36
15/01/2006 7.00,2,67,12,50
15/01/2006 8.00,2,102,24,65
15/01/2006 9.00,2,95,26,55
15/01/2006 10.00,2,97,26,57
15/01/2006 11.00,2,88,22,54
15/01/2006 12.00,2,117,32,67
15/01/2006 13.00,2,109,21,76
15/01/2006 14.00,1,61,8,49
15/01/2006 15.00,1,39,5,31
15/01/2006 16.00,1,64,9,51
15/01/2006 17.00,2,97,18,69
15/01/2006 18.00,3,301,126,107
15/01/2006 19.00,2,302,132,99
15/01/2006 20.00,2,268,113,95
15/01/2006 21.00,3,381,179,106
15/01/2006 22.00,2,382,179,107
15/01/2006 23.00,2,255,103,96
16/01/2006 0.00,2,180,66,79
16/01/2006 1.00,,145,43,79
16/01/2006 2.00,2,,,
16/01/2006 3.00,2,69,13,49
16/01/2006 4.00,2,38,7,28
16/01/2006 5.00,2,31,6,21
16/01/2006 6.00,2,60,13,41
16/01/2006 7.00,2,145,38,87
16/01/2006 8.00,3,280,119,97
16/01/2006 9.00,3,370,174,103
16/01/2006 10.00,3,387,191,94
16/01/2006 11.00,3,288,137,77
16/01/2006 12.00,2,114,37,57
16/01/2006 13.00,2,97,32,47
16/01/2006 14.00,8,73,21,41
16/01/2006 15.00,9,48,12,30
16/01/2006 16.00,9,42,6,32
16/01/2006 17.00,9,106,23,71
16/01/2006 18.00,8,146,34,93
16/01/2006 19.00,9,127,28,84
16/01/2006 20.00,9,245,95,100
16/01/2006 21.00,10,398,196,98
16/01/2006 22.00,9,365,179,91
16/01/2006 23.00,9,270,122,83
17/01/2006 0.00,9,188,75,73
17/01/2006 1.00,8,73,16,49
17/01/2006 2.00,8,50,10,35
17/01/2006 3.00,8,62,13,42
17/01/2006 4.00,8,41,8,28
17/01/2006 5.00,8,34,7,24
17/01/2006 6.00,8,77,20,47
17/01/2006 7.00,8,171,65,71
17/01/2006 8.00,9,263,120,78
17/01/2006 9.00,11,582,312,103
17/01/2006 10.00,9,421,211,97
17/01/2006 11.00,9,167,62,71
17/01/2006 12.00,9,61,10,47
17/01/2006 13.00,9,51,7,40
17/01/2006 14.00,9,71,8,59
17/01/2006 15.00,8,72,8,60
17/01/2006 16.00,8,41,6,33
17/01/2006 17.00,8,41,5,33
17/01/2006 18.00,8,69,9,56
17/01/2006 19.00,9,242,84,113
17/01/2006 20.00,9,277,111,107
17/01/2006 21.00,10,445,210,123
17/01/2006 22.00,10,554,275,132
17/01/2006 23.00,9,349,156,110
18/01/2006 0.00,9,256,100,102
18/01/2006 1.00,,205,80,82
18/01/2006 2.00,8,,,
18/01/2006 3.00,8,73,16,49
18/01/2006 4.00,8,22,4,16
18/01/2006 5.00,8,23,5,15
18/01/2006 6.00,8,35,6,25
18/01/2006 7.00,8,57,7,47
18/01/2006 8.00,9,149,43,84
18/01/2006 9.00,9,253,97,104
18/01/2006 10.00,8,116,19,87
18/01/2006 11.00,8,67,7,56
18/01/2006 12.00,8,23,3,19
18/01/2006 13.00,8,8,3,5
18/01/2006 14.00,8,20,3,15
18/01/2006 15.00,8,18,3,13
18/01/2006 16.00,8,42,5,35
18/01/2006 17.00,8,89,11,73
18/01/2006 18.00,8,165,41,102
18/01/2006 19.00,8,118,20,87
18/01/2006 20.00,8,61,6,52
18/01/2006 21.00,8,32,4,26
18/01/2006 22.00,8,52,6,42
18/01/2006 23.00,8,92,18,64
19/01/2006 0.00,8,64,8,52
19/01/2006 1.00,8,31,4,25
19/01/2006 2.00,8,5,3,3
19/01/2006 3.00,8,18,4,12
19/01/2006 4.00,8,19,4,14
19/01/2006 5.00,8,0.00,2,0.00
19/01/2006 6.00,8,14,4,9
19/01/2006 7.00,8,42,6,33
19/01/2006 8.00,8,109,22,76
19/01/2006 9.00,8,129,28,86
19/01/2006 10.00,8,81,11,65
19/01/2006 11.00,8,71,10,55
19/01/2006 12.00,8,70,9,56
19/01/2006 13.00,8,67,8,55
19/01/2006 14.00,8,62,7,51
19/01/2006 15.00,8,58,6,48
19/01/2006 16.00,8,42,5,34
19/01/2006 17.00,8,25,4,20
19/01/2006 18.00,8,48,6,39
19/01/2006 19.00,8,64,7,53
19/01/2006 20.00,9,143,30,97
19/01/2006 21.00,9,113,18,86
19/01/2006 22.00,9,91,13,70
19/01/2006 23.00,9,179,49,104
20/01/2006 0.00,8,123,28,79
20/01/2006 1.00,,74,12,55
20/01/2006 2.00,1,,,
20/01/2006 3.00,1,40,7,29
20/01/2006 4.00,1,28,6,18
20/01/2006 5.00,1,22,5,14
20/01/2006 6.00,2,42,8,31
20/01/2006 7.00,2,124,29,79
20/01/2006 8.00,2,196,67,93
20/01/2006 9.00,4,476,224,132
20/01/2006 10.00,3,400,188,113
20/01/2006 11.00,2,133,44,66
20/01/2006 12.00,2,52,8,39
20/01/2006 13.00,2,14,3,10
20/01/2006 14.00,2,9,3,7
20/01/2006 15.00,2,3,2,2
20/01/2006 16.00,2,15,3,11
20/01/2006 17.00,2,81,5,74
20/01/2006 18.00,2,163,14,141
20/01/2006 19.00,3,346,114,171
20/01/2006 20.00,2,317,99,166
20/01/2006 21.00,3,428,165,175
20/01/2006 22.00,2,293,86,161
20/01/2006 23.00,2,205,36,150
21/01/2006 0.00,2,222,40,161
21/01/2006 1.00,2,173,18,145
21/01/2006 2.00,2,117,7,107
21/01/2006 3.00,2,116,8,104
21/01/2006 4.00,2,132,11,116
21/01/2006 5.00,2,99,6,90
21/01/2006 6.00,2,133,14,111
21/01/2006 7.00,2,186,34,134
21/01/2006 8.00,3,362,136,154
21/01/2006 9.00,3,420,165,166
21/01/2006 10.00,3,376,133,172
21/01/2006 11.00,2,179,25,140
21/01/2006 12.00,2,110,6,100
21/01/2006 13.00,2,112,6,103
21/01/2006 14.00,2,107,5,99
21/01/2006 15.00,2,103,5,95
21/01/2006 16.00,2,128,6,119
21/01/2006 17.00,2,137,7,127
21/01/2006 18.00,2,146,9,132
21/01/2006 19.00,3,405,151,173
21/01/2006 20.00,3,458,187,170
21/01/2006 21.00,4,578,257,183
21/01/2006 22.00,3,526,221,188
21/01/2006 23.00,2,355,118,174
22/01/2006 0.00,2,238,49,163
22/01/2006 1.00,,293,87,160
22/01/2006 2.00,2,,,
22/01/2006 3.00,2,,,
22/01/2006 4.00,1,,,
22/01/2006 5.00,1,,,
22/01/2006 6.00,2,,,
22/01/2006 7.00,1,,,
22/01/2006 8.00,1,,,
22/01/2006 9.00,2,,,
22/01/2006 10.00,2,,,
22/01/2006 11.00,2,,,
22/01/2006 12.00,2,,,
22/01/2006 13.00,2,,,
22/01/2006 14.00,2,,,
22/01/2006 15.00,2,,,
22/01/2006 16.00,2,,,
22/01/2006 17.00,1,,,
22/01/2006 18.00,1,,,
22/01/2006 19.00,1,,,
22/01/2006 20.00,2,,,
22/01/2006 21.00,2,,,
22/01/2006 22.00,2,,,
22/01/2006 23.00,2,,,
23/01/2006 0.00,2,,,
23/01/2006 1.00,2,,,
23/01/2006 2.00,2,,,
23/01/2006 3.00,2,,,
23/01/2006 4.00,2,,,
23/01/2006 5.00,1,,,
23/01/2006 6.00,1,,,
23/01/2006 7.00,1,,,
23/01/2006 8.00,2,,,
23/01/2006 9.00,1,,,
23/01/2006 10.00,2,,,
23/01/2006 11.00,2,,,
23/01/2006 12.00,2,,,
23/01/2006 13.00,2,,,
23/01/2006 14.00,2,,,
23/01/2006 15.00,2,,,
23/01/2006 16.00,2,,,
23/01/2006 17.00,2,74,4,68
23/01/2006 18.00,2,104,6,94
23/01/2006 19.00,2,135,9,121
23/01/2006 20.00,3,124,7,113
23/01/2006 21.00,3,94,5,87
23/01/2006 22.00,3,124,8,112
23/01/2006 23.00,3,112,6,103
24/01/2006 0.00,3,87,4,81
24/01/2006 1.00,,68,3,63
24/01/2006 2.00,2,,,
24/01/2006 3.00,2,67,3,62
24/01/2006 4.00,3,57,3,52
24/01/2006 5.00,3,61,3,56
24/01/2006 6.00,3,60,3,55
24/01/2006 7.00,3,76,4,71
24/01/2006 8.00,3,94,6,85
24/01/2006 9.00,3,130,10,115
24/01/2006 10.00,3,120,8,109
24/01/2006 11.00,4,94,5,87
24/01/2006 12.00,3,78,4,72
24/01/2006 13.00,3,106,6,97
24/01/2006 14.00,3,110,5,102
24/01/2006 15.00,3,120,6,111
24/01/2006 16.00,3,121,6,112
24/01/2006 17.00,3,120,6,111
24/01/2006 18.00,3,131,7,120
24/01/2006 19.00,4,141,8,129
24/01/2006 20.00,3,137,8,125
24/01/2006 21.00,3,153,9,139
24/01/2006 22.00,3,118,6,110
24/01/2006 23.00,3,94,4,88
25/01/2006 0.00,2,82,3,77
25/01/2006 1.00,3,67,3,63
25/01/2006 2.00,2,56,3,52
25/01/2006 3.00,2,60,3,55
25/01/2006 4.00,2,61,3,57
25/01/2006 5.00,2,59,3,54
25/01/2006 6.00,2,60,3,56
25/01/2006 7.00,3,68,3,64
25/01/2006 8.00,3,89,4,83
25/01/2006 9.00,3,120,12,102
25/01/2006 10.00,3,116,7,106
25/01/2006 11.00,3,95,4,89
25/01/2006 12.00,3,89,4,83
25/01/2006 13.00,3,102,4,95
25/01/2006 14.00,3,104,4,97
25/01/2006 15.00,3,96,4,90
25/01/2006 16.00,2,77,3,72
25/01/2006 17.00,2,73,3,69
25/01/2006 18.00,2,110,5,103
25/01/2006 19.00,2,152,10,137
25/01/2006 20.00,2,166,12,147
25/01/2006 21.00,2,161,14,139
25/01/2006 22.00,2,196,29,152
25/01/2006 23.00,2,235,42,170
26/01/2006 0.00,2,205,29,160
26/01/2006 1.00,,168,17,142
26/01/2006 2.00,1,,,
26/01/2006 3.00,1,72,3,67
26/01/2006 4.00,1,52,3,48
26/01/2006 5.00,2,54,3,49
26/01/2006 6.00,2,96,8,84
26/01/2006 7.00,2,178,29,133
26/01/2006 8.00,3,314,100,160
26/01/2006 9.00,3,521,217,187
26/01/2006 10.00,2,241,50,164
26/01/2006 11.00,2,93,3,88
26/01/2006 12.00,,,,
26/01/2006 13.00,,,,
26/01/2006 14.00,3,56,"0,05069055",57
26/01/2006 15.00,3,59,"0,02112169",63
26/01/2006 16.00,3,82,0.00,86
26/01/2006 17.00,3,86,0.00,90
26/01/2006 18.00,3,155,5,148
26/01/2006 19.00,4,331,70,224
26/01/2006 20.00,4,475,150,246
26/01/2006 21.00,4,541,189,251
26/01/2006 22.00,3,464,153,229
26/01/2006 23.00,3,212,24,175
27/01/2006 0.00,3,101,0.00,102
27/01/2006 1.00,3,114,"0,42664858",114
27/01/2006 2.00,3,113,"0,18164301",113
27/01/2006 3.00,3,78,0.00,81
27/01/2006 4.00,2,64,0.00,69
27/01/2006 5.00,2,67,0.00,71
27/01/2006 6.00,2,65,0.00,70
27/01/2006 7.00,3,64,0.00,69
27/01/2006 8.00,3,108,1,106
27/01/2006 9.00,3,113,"0,19853986",113
27/01/2006 10.00,3,125,2,122
27/01/2006 11.00,3,95,"0,02534528",95
27/01/2006 12.00,3,108,"0,41397657",108
27/01/2006 13.00,3,94,0.00,95
27/01/2006 14.00,3,93,"0,00844843",94
27/01/2006 15.00,3,100,"0,00422484",101
27/01/2006 16.00,3,98,0.00,99
27/01/2006 17.00,3,110,"0,27880052",110
27/01/2006 18.00,3,118,"0,02112169",118
27/01/2006 19.00,3,107,"0,03379495",107
27/01/2006 20.00,3,103,"0,46889071",102
27/01/2006 21.00,2,110,"0,66743056",109
27/01/2006 22.00,2,97,"0,14784806",96
27/01/2006 23.00,2,92,"0,09293392",92
28/01/2006 0.00,2,94,"0,08026066",94
28/01/2006 1.00,,84,"0,00422484",84
28/01/2006 2.00,1,,,
28/01/2006 3.00,1,77,0.00,78
28/01/2006 4.00,1,72,0.00,73
28/01/2006 5.00,1,69,"0,00844843",70
28/01/2006 6.00,1,72,0.00,73
28/01/2006 7.00,1,79,0.00,79
28/01/2006 8.00,1,103,2,101
28/01/2006 9.00,1,113,3,108
28/01/2006 10.00,1,119,3,114
28/01/2006 11.00,1,106,3,101
28/01/2006 12.00,1,101,2,98
28/01/2006 13.00,1,101,1,99
28/01/2006 14.00,1,104,1,102
28/01/2006 15.00,1,94,"0,2196603",94
28/01/2006 16.00,1,96,"0,37595803",95
28/01/2006 17.00,"0,95809739",101,"0,73079437",100
28/01/2006 18.00,1,114,3,110
28/01/2006 19.00,1,99,"0,89554053",98
28/01/2006 20.00,1,110,3,106
28/01/2006 21.00,1,145,10,130
28/01/2006 22.00,1,155,12,136
28/01/2006 23.00,1,118,4,112
29/01/2006 0.00,1,116,4,109
29/01/2006 1.00,"0,96454009",113,4,108
29/01/2006 2.00,"0,94226576",99,2,96
29/01/2006 3.00,"0,83260671",92,1,91
29/01/2006 4.00,"0,95063973",86,"0,22810872",86
29/01/2006 5.00,"0,82678947",81,"0,09715751",81
29/01/2006 6.00,"0,91538238",86,"0,53647935",85
29/01/2006 7.00,"0,87948838",85,"0,05069055",85
29/01/2006 8.00,"0,80669457",83,"0,02534528",83
29/01/2006 9.00,"0,83124698",96,1,94
29/01/2006 10.00,"0,91268428",92,"0,10983077",92
29/01/2006 11.00,"0,90084538",97,"0,51535767",96
29/01/2006 12.00,"0,85870192",121,4,116
29/01/2006 13.00,1,150,10,134
29/01/2006 14.00,1,163,13,142
29/01/2006 15.00,"0,94759687",104,1,103
29/01/2006 16.00,"0,80174076",90,"0,04224213",90
29/01/2006 17.00,"0,81482142",88,"0,02112169",88
29/01/2006 18.00,"0,88436591",98,"0,57872148",97
29/01/2006 19.00,"0,88954651",108,2,106
29/01/2006 20.00,1,137,5,129
29/01/2006 21.00,"0,82761019",111,2,108
29/01/2006 22.00,"0,79636694",95,"0,20276345",95
29/01/2006 23.00,"0,76581422",99,"0,45621869",98
30/01/2006 0.00,"0,80744003",114,2,111
30/01/2006 1.00,,98,"0,86174559",97
30/01/2006 2.00,1,,,
30/01/2006 3.00,1,80,0.00,80
30/01/2006 4.00,1,80,"0,00422484",80
30/01/2006 5.00,1,76,0.00,77
30/01/2006 6.00,1,80,"0,06336381",80
30/01/2006 7.00,1,87,"0,02534528",87
30/01/2006 8.00,2,101,2,98
30/01/2006 9.00,2,236,45,166
30/01/2006 10.00,2,139,6,130
30/01/2006 11.00,1,108,"0,8406239",106
30/01/2006 12.00,1,101,"0,13517605",101
30/01/2006 13.00,1,100,"0,04224213",100
30/01/2006 14.00,1,100,"0,03801854",100
30/01/2006 15.00,1,95,0.00,96
30/01/2006 16.00,1,100,"0,63786045",99
30/01/2006 17.00,1,105,"0,10138235",105
30/01/2006 18.00,2,121,2,117
30/01/2006 19.00,1,137,4,132
30/01/2006 20.00,1,133,3,128
30/01/2006 21.00,1,147,5,140
30/01/2006 22.00,2,117,2,115
30/01/2006 23.00,2,201,26,161
31/01/2006 0.00,2,200,26,159
31/01/2006 1.00,1,122,3,117
