,Foggia,,
,Capitaneria di Porto,,
Parm,SO2,NO2,PM10
,,,,
,,,,,
,,,,
,,,,
,,,,
05/01/2010 13.00,"5,71078858","43,19447","33,5"
05/01/2010 14.00,"5,46696893","51,962902","33,5"
05/01/2010 15.00,"5,1328468","38,63763864","33,5"
05/01/2010 16.00,"5,3134538","24,20010752","33,5"
05/01/2010 17.00,"5,33331987","26,20791784","33,5"
05/01/2010 18.00,"5,33331987","33,17748288","33,5"
05/01/2010 19.00,"6,14424516","56,91167424","33,5"
05/01/2010 20.00,"6,42599179","64,94291552","33,5"
05/01/2010 21.00,"7,08881849","70,44328064","33,5"
05/01/2010 22.00,"7,23691607","67,49583704","33,5"
05/01/2010 23.00,"7,46086862","68,64833328","33,5"
06/01/2010 0.00,"7,0689514","69,19086328","33,5"
06/01/2010 1.00,,"57,782552","23,60000038"
06/01/2010 2.00,"5,50670312",,"23,60000038"
06/01/2010 3.00,"5,32970749","45,66173392","23,60000038"
06/01/2010 4.00,"4,97571827","37,04775328","23,60000038"
06/01/2010 5.00,"5,01906382","36,57401704","23,60000038"
06/01/2010 6.00,"5,0244824","31,25274896","23,60000038"
06/01/2010 7.00,"5,04073711","31,47987544","23,60000038"
06/01/2010 8.00,"4,74092958","24,57778488","23,60000038"
06/01/2010 9.00,"5,17438616","36,90498424","23,60000038"
06/01/2010 10.00,"4,90347567","22,20009816","23,60000038"
06/01/2010 11.00,"5,18341611","35,2346228","23,60000038"
06/01/2010 12.00,"5,08227647","32,01848584","23,60000038"
06/01/2010 13.00,"5,4019511","47,34505872","23,60000038"
06/01/2010 14.00,"5,42904195","45,3346672","23,60000038"
06/01/2010 15.00,"5,37486026","54,49245888","23,60000038"
06/01/2010 16.00,"4,89986329","21,98983552","23,60000038"
06/01/2010 17.00,"4,87277244","16,48037502","23,60000038"
06/01/2010 18.00,"4,93779128","19,89506744","23,60000038"
06/01/2010 19.00,"4,9522398","26,66995264","23,60000038"
06/01/2010 20.00,"5,48683602","40,09255592","23,60000038"
06/01/2010 21.00,"5,51934545","43,19577016","23,60000038"
06/01/2010 22.00,"5,82998911","44,55852904","23,60000038"
06/01/2010 23.00,"6,50184677","52,77924952","23,60000038"
07/01/2010 0.00,"6,47294872","54,22118432","23,60000038"
07/01/2010 1.00,"6,23454764","50,19520064","24,89999962"
07/01/2010 2.00,"6,03046219","43,23081712","24,89999962"
07/01/2010 3.00,"5,43807189","36,04318848","24,89999962"
07/01/2010 4.00,"5,29719908","24,96844472","24,89999962"
07/01/2010 5.00,"5,21773172","22,23772632","24,89999962"
07/01/2010 6.00,"5,05157324","22,64915048","24,89999962"
07/01/2010 7.00,"5,21773172","35,53832488","24,89999962"
07/01/2010 8.00,"5,94196488","51,6838456","24,89999962"
07/01/2010 9.00,"6,1731422","59,62812912","24,89999962"
07/01/2010 10.00,"6,2255177","65,34915816","24,89999962"
07/01/2010 11.00,"5,23579262","56,962304","24,89999962"
07/01/2010 12.00,"5,03170717","46,0355108","24,89999962"
07/01/2010 13.00,"4,91431181","34,98543184","24,89999962"
07/01/2010 14.00,"4,92334277","30,61549848","24,89999962"
07/01/2010 15.00,"4,94140367","31,34100688","24,89999962"
07/01/2010 16.00,"4,83303927","31,38513584","24,89999962"
07/01/2010 17.00,"5,10575595","45,08157576","24,89999962"
07/01/2010 18.00,"5,50850931","49,89149856","24,89999962"
07/01/2010 19.00,"6,24899718","75,99429464","24,89999962"
07/01/2010 20.00,"6,29956649","77,4621944","24,89999962"
07/01/2010 21.00,"6,42057322","84,12805736","24,89999962"
07/01/2010 22.00,"6,56325323","88,7160352","24,89999962"
07/01/2010 23.00,"6,01962605","81,40642096","24,89999962"
08/01/2010 0.00,"5,19064088","64,63531296","24,89999962"
08/01/2010 1.00,,"41,39952264","27,2999897"
08/01/2010 2.00,"4,79330508",,"27,2999897"
08/01/2010 3.00,"4,99919774","24,93081656","27,2999897"
08/01/2010 4.00,"4,95946355","20,45704248","27,2999897"
08/01/2010 5.00,"4,82400831","16,75552329","27,2999897"
08/01/2010 6.00,"5,00495193","15,24317335","27,2999897"
08/01/2010 7.00,"4,97571827","14,5102005","27,2999897"
08/01/2010 8.00,"5,06240938","17,55890554","27,2999897"
08/01/2010 9.00,"5,07324653","22,39605904","27,2999897"
08/01/2010 10.00,"5,07324653","32,49352224","27,2999897"
08/01/2010 11.00,"5,19605843","39,62402032","27,2999897"
08/01/2010 12.00,"5,49586597","50,0861784","27,2999897"
08/01/2010 13.00,"5,05518563","48,71821888","27,2999897"
08/01/2010 14.00,"5,05518563","41,52150824","27,2999897"
08/01/2010 15.00,"5,01184007","33,78488704","27,2999897"
08/01/2010 16.00,"4,87999721","25,98987336","27,2999897"
08/01/2010 17.00,"4,87638482","28,5479764","27,2999897"
08/01/2010 18.00,"4,88541477","28,70242776","27,2999897"
08/01/2010 19.00,"4,91973038","41,67725976","27,2999897"
08/01/2010 20.00,"5,33151368","53,97589384","27,2999897"
08/01/2010 21.00,"5,524763","64,12524872","27,2999897"
08/01/2010 22.00,"5,10394874","40,78301736","27,2999897"
08/01/2010 23.00,"5,17077378","50,29902224","27,2999897"
09/01/2010 0.00,"5,31525897","56,802652","27,2999897"
09/01/2010 1.00,"5,31525897","52,2808676","21,60000038"
09/01/2010 2.00,"5,10756113","49,53586656","21,60000038"
09/01/2010 3.00,"5,02990097","37,6746216","21,60000038"
09/01/2010 4.00,"4,83303927","19,99370752","21,60000038"
09/01/2010 5.00,"4,82400831","16,91515999","21,60000038"
09/01/2010 6.00,"4,86735488","13,52382838","21,60000038"
09/01/2010 7.00,"4,91250561","30,9425652","21,60000038"
09/01/2010 8.00,"5,07866409","37,20088536","21,60000038"
09/01/2010 9.00,"5,35679935","52,21727448","21,60000038"
09/01/2010 10.00,"5,21050695","45,3100024","21,60000038"
09/01/2010 11.00,"4,83484546","39,11785656","21,60000038"
09/01/2010 12.00,"4,56032258","26,98533704","21,60000038"
09/01/2010 13.00,"4,76079667","37,68758496","21,60000038"
09/01/2010 14.00,"4,46460152","28,35329656","21,60000038"
09/01/2010 15.00,"4,68855306","17,65105055","21,60000038"
09/01/2010 16.00,"4,59644439","12,80999848","21,60000038"
09/01/2010 17.00,"4,5043347","12,88267742","21,60000038"
