, Brindisi,,,,,
,Via Taranto,,,,,
Parm,SO2,NOX,NO2,CO,O3,BENZENE
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,
,,,,,,,,
03/01/2007 17.00,"1,91298819","21,49864272","13,09812541","0,34690418","69,06093495","0,92043585"
03/01/2007 18.00,"2,79632388","22,03428952","15,88465126","0,3911667","68,5364694","1,2737925"
03/01/2007 19.00,"3,97204808","16,8930936","15,0059974","0,34539746","69,2778912","1,05803595"
03/01/2007 20.00,"4,86356859","16,79322793","14,6114409","0,33234506","69,32986095","1,122768"
03/01/2007 21.00,"2,93298935","18,45335634","16,11826898","0,35146405","63,4109952","0,9961515"
03/01/2007 22.00,"6,39059409","13,74793199","12,34665014","0,33305637","64,3715079","1,5203133"
03/01/2007 23.00,"5,45546259","10,72987058","10,1688286","0,30100995","63,1519245","1,05768"
04/01/2007 0.00,"1,35624578","12,28364591","10,43618547","0,29143002","62,02293405","1,254978"
04/01/2007 1.00,,"11,06967887","9,58868","0,28130579","61,756821","0,9099099"
04/01/2007 2.00,"0,40628743",,,"0,27511306","63,7564494","1,0300176"
04/01/2007 3.00,"0,709866","10,60017389","7,36023253",,"67,27544985","0,7616313"
04/01/2007 4.00,"0,26952331","8,69362118","6,85406303","0,2083712",,"0,34359345"
04/01/2007 5.00,"2,30351212","6,31626714","6,68793509","0,21421003","71,51861535","0,94433535"
04/01/2007 6.00,"2,9472721","8,20725618","8,18438101","0,21264491","71,22391395","0,48241395"
04/01/2007 7.00,"2,31097893","12,07094356","10,6425419","0,23008899","68,14830225","0,4616163"
04/01/2007 8.00,"1,30409096","17,56492834","14,96316286","0,24530453","66,4240437","0,52421265"
04/01/2007 9.00,"0,12984446","24,39478736","18,51673532","0,2957376","64,0468416","0,68530545"
04/01/2007 10.00,"0,93750314","21,9305444","14,97354885","0,25652667","67,38429705","0,8103456"
04/01/2007 11.00,"2,06239871","27,65149696","15,9573283","0,30016198","65,61325575","0,3283893"
04/01/2007 12.00,"3,58629693","38,92738312","20,55958304","0,35416096","63,9595404","0,33250815"
04/01/2007 13.00,"6,49769233","42,46812032","19,09299109","0,30778202","66,6112146","0,2760138"
04/01/2007 14.00,"6,78342356","60,2898532","29,016512","0,39388581","61,8225363","1,880433"
04/01/2007 15.00,"3,632006","52,89450488","24,93081656","0,36936131","64,53567645","1,954674"
04/01/2007 16.00,"5,60334965","56,25884096","29,02819432","0,38025291","64,12781865","1,8982305"
04/01/2007 17.00,"2,85038861","78,8767876","49,33210472","0,59662141","51,0307434","1,440072"
04/01/2007 18.00,"4,86252515","96,79320272","63,93967","0,6542879","41,38705305",
04/01/2007 19.00,"7,7415057","173,55983064","96,18140096","0,99803498","20,57864445","1,0347975"
04/01/2007 20.00,"8,92522251","255,6722576","110,98096928","1,48291733","16,732067","1,4344785"
04/01/2007 21.00,"8,91975919","379,6490144","126,93569152","1,73511539","15,33534156","2,0426445"
04/01/2007 22.00,"11,7388242","312,568024","108,17883768","1,40383906","13,72631022","3,677472"
04/01/2007 23.00,"9,4861214","217,5049136","97,4663032","1,107556","13,00979799","2,8999755"
05/01/2007 0.00,"9,69554814","158,93513384","85,28445408","1,18742968","15,85282661","2,89845"
05/01/2007 1.00,"9,47883765","104,3571512","68,58734048","0,77023059","16,19432273",
05/01/2007 2.00,"9,28762131","64,64250208","49,62932512","0,62014493","26,98682385","1,262097"
05/01/2007 3.00,"7,40095918","27,263686","25,64724296","0,45008997","45,27694395","1,7985645"
05/01/2007 4.00,"8,90518964","15,85032704","15,62637639","0,34796822","55,6224753","1,1029365"
05/01/2007 5.00,"6,9602524","16,58052558","17,44469604","0,35863206","56,01215865","1,24343505"
05/01/2007 6.00,"8,73764805","32,63705608","29,92501792","0,38350112","46,11775665","1,5127875"
05/01/2007 7.00,"8,78681796","87,0866288","69,01044696","0,42644614","18,00657474","1,13904"
05/01/2007 8.00,"9,90315446","179,9396584","84,45124272","0,89946278","15,8542271","1,0672398"
05/01/2007 9.00,"11,20341438","169,40432808","85,85813056","0,72539341","20,1142284","2,5155495"
05/01/2007 10.00,"11,08140489","256,472812","105,20936784","1,16274867","14,89955775","1,0337805"
05/01/2007 11.00,"11,20523481","208,7580872","96,62657192","0,80467141","13,99099086","1,387188"
05/01/2007 12.00,"9,50251137","194,9920696","88,88086872","0,78287886","14,4100067","1,2581307"
05/01/2007 13.00,"10,46404521","172,03198968","87,78806512","0,76925998","17,87109429","0,607149"
05/01/2007 14.00,"10,1981709","147,13784528","77,77885984","0,69973128","27,43865145","1,2280275"
05/01/2007 15.00,"7,0221694","92,54173688","63,13238536","0,60302205","37,228296","0,90650295"
