, Brindisi,,,,,
,Via Taranto,,,,,
Parm,SO2,NOX,NO2,CO,O3,BENZENE
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,
,,,,,,,,
17/02/2007 22.00,"2,67379673","30,25063152","15,90671192","0,58592019","55,8183843","2,605554"
17/02/2007 23.00,"1,40776598","29,47502872","16,16369428","0,63233768","56,69496735","1,2269088"
18/02/2007 0.00,"3,68388622","31,35047128","17,90284757","0,56629546","53,06402745","1,487871"
18/02/2007 1.00,"2,26516715","30,18059496","18,11309682","0,54589984","45,58924125","0,94586085"
18/02/2007 2.00,"2,81215857","24,40775072","13,82752855","0,50441832","49,3098963","0,8922141"
18/02/2007 3.00,"3,08586073","18,74258267","10,40892418","0,45018574","53,90715435","1,1112759"
18/02/2007 4.00,"4,10998176","16,00207483","9,18114867","0,44236949","52,18957905","0,98237115"
18/02/2007 5.00,"2,77983221","14,97487004","8,58412667","0,44632083","49,08204735","0,9475389"
18/02/2007 6.00,"3,0236966","14,83738959","8,22721172","0,44374422","53,68283655","0,8498052"
18/02/2007 7.00,"2,9801212","18,31198498","11,2421623","0,47775288","52,28358345","1,457361"
18/02/2007 8.00,"1,69905308","22,76190112","14,27529218","0,53314528","45,58569015","1,06535835"
18/02/2007 9.00,"3,42297182","27,00170376","15,42260499","0,6017209","38,2383645","0,71591715"
18/02/2007 10.00,"1,26277432","26,99262176","12,42971315","0,60743242","47,4520725","1,4222745"
18/02/2007 11.00,"1,42996811","29,7240476","12,4816316","0,60150715","55,72723275","1,808226"
18/02/2007 12.00,"1,27052996","34,82505328","14,49333666","0,56689698","57,14216655","1,3561695"
18/02/2007 13.00,"2,64235923","37,27633288","14,2765847","0,5394151","62,9720154","0,9804897"
18/02/2007 14.00,"3,59750732","42,24892864","16,59847926","0,5328451","62,30622405","1,37727225"
18/02/2007 15.00,"1,82888839","26,98095856","6,91765806","0,38818013","75,3046665","1,7568675"
18/02/2007 16.00,"2,94969053","23,94214048","5,96761586","0,37873334","71,35614255","0,8472627"
18/02/2007 17.00,"2,23124308","20,31190256","5,28753084","0,40565574","67,0109727","1,305828"
18/02/2007 18.00,"2,46326553","20,98244096","7,16036161","0,45984744","55,61686935","1,390239"
18/02/2007 19.00,"1,90585495","22,90845592","9,59906407","0,48969101","50,7383562","0,3917484"
18/02/2007 20.00,"6,78662101","25,29099912","11,41218499","0,57222072","48,0993702","0,5931144"
18/02/2007 21.00,"4,57923776","27,48157752","14,19482375","0,5454268","38,5694946","0,96508215"
18/02/2007 22.00,"2,93518506","25,25078976","13,57185018","0,51309306","46,85036055","1,666863"
18/02/2007 23.00,"1,65979994","18,07723153","8,46472227","0,4107237","64,25306475","1,9338255"
19/02/2007 0.00,"0,76646205","18,2056338","8,61138032","0,43691726","53,2990185","1,6744905"
19/02/2007 1.00,,"15,85421796","6,82680938","0,43116253","53,1879369","1,4710905"
19/02/2007 2.00,"1,01417376",,,"0,42747048","57,3721701","0,99732105"
19/02/2007 3.00,"0,21467955","16,25368638","5,62497781",,"55,70871915","0,32355855"
19/02/2007 4.00,"0,22992845","15,64021736","4,98253242","0,35366573",,"0,55736685"
19/02/2007 5.00,"0,14450146","17,17194542","5,95853194","0,3475676","57,6764475","0,4148343"
19/02/2007 6.00,"0,66343283","26,25334696","14,21429174","0,36753456","41,4918105","0,3205584"
19/02/2007 7.00,"0,72043365","28,9523644","17,21886207","0,40691251","36,6640701","0,45231075"
19/02/2007 8.00,"0,56023886","41,9960284","25,7316004","0,4804276","28,22547945","1,2137895"
19/02/2007 9.00,"0,14835081","36,30750336","21,96258952","0,46118947","36,4268247","0,5436882"
19/02/2007 10.00,"0,60495126","31,55666136","17,46935319","0,44547286","48,53964675","0,48414285"
19/02/2007 11.00,"0,78631796","28,11450688","13,412202","0,45736778","66,28960065","1,10542815"
19/02/2007 12.00,"0,45289858","27,3389232","11,07213962","0,4220276","75,5161764","1,961793"
19/02/2007 13.00,"0,16819044","27,38171376","9,70938074","0,40107251","77,51965515","0,8111592"
19/02/2007 14.00,"0,01969115","27,11455","9,09808374","0,38591421","80,9915736","0,8179731"
19/02/2007 15.00,0,"24,66975208","6,8021465","0,34129778","83,9027574","1,32865965"
19/02/2007 16.00,"0,00162822","26,49588416","8,01695482","0,35791608","80,49140715","0,56865555"
19/02/2007 17.00,"0,01969115","30,6941964","12,22076406","0,43091608","68,55029475","0,46614195"
19/02/2007 18.00,0,"29,79668448","13,83531039","0,48476438","60,76504665","1,77532605"
19/02/2007 19.00,"0,00325745","23,70738512","11,74443706","0,50133947","61,43121705","1,16583795"
19/02/2007 20.00,"0,25509818","18,91767216","9,94559495","0,47853778","62,4664425","0,4406661"
19/02/2007 21.00,"0,22755985","21,37543344","12,85412362","0,48905795","54,66836655","0,6092847"
19/02/2007 22.00,"0,93644546","22,58031848","12,53095355","0,4964876","54,6662319","1,1847033"
19/02/2007 23.00,"1,02113207","19,314546","9,80542432","0,4395476","60,83132055","1,409562"
20/02/2007 0.00,"0,03819852","15,53256985","6,01304115","0,3767676","68,8260237","0,55279035"
20/02/2007 1.00,"0,24088459","12,69349076","3,87544618","0,3659893","70,548786","0,8731962"
20/02/2007 2.00,"0,65706641","11,7674518","3,0993195","0,3512176","74,16246915","1,4721075"
20/02/2007 3.00,"0,71643582","10,91274382","3,24468121","0,34176965","73,83971805","0,6397947"
20/02/2007 4.00,"1,9159741","11,26033395","3,47959526","0,35714403","66,0829785","0,42190245"
20/02/2007 5.00,"1,5627161","11,11247899","3,18108426","0,3665476","66,4506171","1,24445205"
20/02/2007 6.00,"0,63337743","11,24866119","3,05259595","0,36096456","67,4751693","1,0374417"
20/02/2007 7.00,"1,16444873","13,52614955","5,6729996","0,37380438","62,8540311",
20/02/2007 8.00,"1,47210648","20,83978664","9,75221336","0,40420742","55,69363695","0,5829444"
20/02/2007 9.00,"2,3463685","20,92796808","9,9871255","0,43400778","57,6579339","1,3775265"
20/02/2007 10.00,"4,39618488","20,1912936","8,78919058","0,41906438","59,58875475","0,79331085"
20/02/2007 11.00,"4,28588411","20,68673104","9,04227629","0,91662538","60,15302055","0,5646384"
20/02/2007 12.00,"4,53624409","22,78134616","9,80931715","0,44637456","63,44181795","0,974286"
20/02/2007 13.00,"4,26323146","21,427306","7,75348695","0,41163474","71,0147382","1,12887"
20/02/2007 14.00,"3,39755597","23,96808632","7,58346809","0,42134082","68,4142158","0,5055507"
20/02/2007 15.00,"1,9984406","25,36491704","7,11493631","0,37779778","71,4621768","0,8628228"
20/02/2007 16.00,"0,78157976","27,18716776","7,99229575","0,4015876","71,66951715","0,6685758"
20/02/2007 17.00,"0,20268708","27,9407252","10,0494242","0,43198947","68,4291783","0,49726215"
20/02/2007 18.00,"0,68726928","28,29738968","12,75288513","0,4322476","63,8778651","1,6866945"
20/02/2007 19.00,"1,10271073","28,8862092","15,69646075","0,45857082","58,2086736","1,243791"
20/02/2007 20.00,"0,85693946","28,9640276","17,05273413","0,48957421","55,168533","0,357984"
20/02/2007 21.00,"0,53803063","40,87284312","23,97948184","0,54003064","43,4753592","1,5975036"
20/02/2007 22.00,"0,93540914","49,68190512","28,3857432","0,43950438","37,4257212","2,079765"
20/02/2007 23.00,"0,42698948","24,83447088","14,05724962","0,43250456","53,2876071","1,12383585"
21/02/2007 0.00,"0,88714334","19,89298336","10,62047933","0,40892965","56,8378692","0,45709065"
21/02/2007 1.00,,"16,72578595","8,8151479","0,36706269","55,72356195","0,35935695"
21/02/2007 2.00,"1,03927739",,,"0,35911795","54,90349725","1,0636803"
21/02/2007 3.00,"1,04104697","14,35361918","7,84823229",,"55,17210405","1,0128303"
21/02/2007 4.00,"1,55802976","26,34414784","18,43626689","0,36111757",,"0,3636792"
21/02/2007 5.00,"0,95075262","30,50613208","20,94374208","0,36858226","17,05027149","0,5215176"
21/02/2007 6.00,"1,0676049","33,94312416","20,55568256","0,48613795","13,58253257","0,88728165"
21/02/2007 7.00,"1,58812788","96,25755592","27,038548","1,15843058","5,83360743","1,5260085"
21/02/2007 8.00,"0,91534271","184,77216192","38,64932096","1,84033467","6,85819554","3,3301665"
21/02/2007 9.00,"3,80123582","220,6254888","53,34902552","1,79472894","7,98213864","3,3159285"
21/02/2007 10.00,"0,75776975","44,68336352","20,66600496","0,46880483","47,5347453","4,215465"
21/02/2007 11.00,"0,50104946","53,37826","23,43307048","0,48051754","51,57308415","0,5722659"
21/02/2007 12.00,"0,49750826","62,5375048","25,47980912","0,51423886","45,79604295","1,23712965"
21/02/2007 13.00,"0,37711377","67,56977408","25,56806704","0,45065645","45,4503693","1,610928"
21/02/2007 14.00,"0,63914687","71,70193112","25,57974936","0,43280941","45,2282061","1,226502"
21/02/2007 15.00,"0,43022965","63,78908088","20,93077872","0,38587216","51,47716455","2,5196175"
21/02/2007 16.00,"0,29213122","72,85106224","28,41820896","0,4018761","38,1140361","0,4662945"
21/02/2007 17.00,"0,55947509","61,78266632","24,67642496","0,46970536","48,89120565","1,2320955"
21/02/2007 18.00,"0,9932439","49,00098456","20,90091328","0,46172558","47,9273214","2,9050605"
21/02/2007 19.00,"0,13278766","60,04341552","35,36440936","0,57293086","18,65442705","0,4136139"
21/02/2007 20.00,"0,32399993","62,14065008","37,39558432","0,80851296","13,53147653","0,5225346"
21/02/2007 21.00,"0,51167202","47,35771616","32,50388528","0,6064805","18,65580759","1,1277513"
21/02/2007 22.00,"0,45855716","38,5771812","26,6686716","0,51574091","22,26497805","1,3348125"
21/02/2007 23.00,"1,94753669","40,08037648","26,32084056","0,55581149","18,5281655","1,92213"
22/02/2007 0.00,"0,30452438","33,950906","22,06511096","0,70039587","19,42028162","1,4446485"
22/02/2007 1.00,"0,25495071","28,21048928","19,55113688","0,64968482","19,64934951","1,8321255"
22/02/2007 2.00,"0,10091793","29,93157608","20,2273348","0,71768694","11,8390083","1,39761225"
22/02/2007 3.00,"0,57895064","27,46603296","19,33439256","0,70730342","13,07679608","1,9368765"
22/02/2007 4.00,"2,57251777","18,7763027","11,87292728","0,54774645","34,1943798","0,9391995"
22/02/2007 5.00,"0,66216362","17,86193459","11,15001538","0,50286955","30,67765365",
22/02/2007 6.00,"0,57895064","14,95282086","8,27393526","0,3833411","47,7996813","1,517364"
22/02/2007 7.00,"0,45324537","19,3651184","11,43424756","0,42461472","45,821559","0,60323355"
22/02/2007 8.00,"0,27973805","37,30097856","23,81594848","0,45065645","33,1670346","1,42618995"
22/02/2007 9.00,"0,03364033","46,26177688","27,5745772","0,58022386","29,68617855","1,9826415"
22/02/2007 10.00,"0,0389511","32,08714576","19,240934","0,38857608","50,8120515","1,09983465"
22/02/2007 11.00,"0,06904922","32,2207372","17,75488745","0,4088257","50,84447025","0,47926125"
22/02/2007 12.00,"0,41606589","33,26738512","17,03327379","0,43727117","54,35499195","0,6230142"
22/02/2007 13.00,"0,33639309","29,48411072","13,62635938","0,37995274","73,6276296","1,379052"
22/02/2007 14.00,"0,66393421","32,38025536","12,75677987","0,35043504","77,89088475","0,73646055"
22/02/2007 15.00,"0,13986903","33,34130304","9,39789108","0,29204322","82,12998045","1,4873625"
22/02/2007 16.00,"0,01062358","43,7767696","13,36937894","0,37403098","75,49879995","0,7010181"
22/02/2007 17.00,"0,00531179","54,18629032","22,97361688","0,38677386","57,66609345","1,2030093"
22/02/2007 18.00,0,"69,21042304","37,68890424","0,52140338","28,38352335","1,05529005"
22/02/2007 19.00,"0,43731102","56,66091544","34,51559608","0,59815733","28,64227485","1,3398975"
22/02/2007 20.00,"1,70320956","52,41721232","31,62394464","0,74746043","31,0433172","1,0323567"
22/02/2007 21.00,"1,77756955","63,30272544","39,82908232","0,92546714","18,26322152","1,9734885"
22/02/2007 22.00,"2,56012461","65,00824856","37,990006","0,84648114","16,47553194","3,3159285"
22/02/2007 23.00,"1,37389886","69,01071464","33,67716496","0,90993624","18,69995894","1,6043175"
23/02/2007 0.00,"1,34557134","27,82139728","16,79835591","0,50145394","40,80004425","1,98315"
23/02/2007 1.00,,"22,6814824","13,41609866","0,47506882","43,0582845","1,2107385"
23/02/2007 2.00,"2,46526292",,,"0,41852126","52,3258176","1,7721225"
23/02/2007 3.00,"2,99356289","15,16552512","7,58087159",,"59,34684105","0,61492905"
23/02/2007 4.00,"2,54105281","14,74530385","6,87742576","0,39981458",,"0,6505749"
23/02/2007 5.00,"1,87043487","16,05784405","7,55491237","0,3845348","59,54538345","0,33444045"
23/02/2007 6.00,"1,50132489","17,56752101","8,7100204","0,41839862","59,48292","0,6790509"
23/02/2007 7.00,"0,49076657","21,31575992","12,70226875","0,58643645","52,069899","1,550925"
23/02/2007 8.00,"1,26996248","27,4193228","15,31229024","0,70545798","47,76957675","1,687203"
23/02/2007 9.00,"1,19078699","31,36341552","16,8087419","0,72945104","55,52007195","0,5657571"
23/02/2007 10.00,"1,62778579","31,51777128","13,50175434","0,60231774","61,0511097","1,03850955"
23/02/2007 11.00,"0,98344307","41,71976352","16,5271043","0,46501234","56,75222385","1,5778755"
23/02/2007 12.00,"0,42820175","37,8379064","12,10135774","0,45883128","65,77868115","0,63354015"
23/02/2007 13.00,"0,92935799","42,40456544","13,40311809","0,5186212","70,32744075","1,402443"
23/02/2007 14.00,"1,0330147","48,8712936","15,43818779","0,47900498","75,3565764","1,551942"
23/02/2007 15.00,"1,88643737","37,98059896","7,7431067","0,34573267","87,79298745","1,440072"
23/02/2007 16.00,"3,19167449","39,24385736","8,32974272","0,36350262","85,14342795","0,58543605"
23/02/2007 17.00,"1,7129809","40,45522408","10,07667976","0,39908458","80,6772414","2,0406105"
23/02/2007 18.00,"2,69211087","38,68872728","13,47320245","0,39144469","74,72685465","0,7587837"
23/02/2007 19.00,"3,97917522","32,0741824","13,87035162","0,53548946","73,1859366","0,9087912"
23/02/2007 20.00,"1,67064421","28,85768216","15,57316734","0,51162488","69,74007285","0,96020055"
23/02/2007 21.00,"0,12064468","27,82917912","16,52450015","0,4613635","65,95962765","1,17173655"
23/02/2007 22.00,"0,66711742","20,25614864","10,91899224","0,42307763","72,1598682","0,9117405"
23/02/2007 23.00,"1,82442274","18,88395213","9,5718066","0,37230117","65,9789991","0,4356828"
24/02/2007 0.00,"1,63285045","18,00071138","8,30378732","0,34702098","62,56760895","0,57699495"
24/02/2007 1.00,"0,9101133","14,10978755","5,75736086","0,32474488","69,5052813","1,22197635"
24/02/2007 2.00,"0,44816953","12,23825312","4,55942403","0,32148266","77,071239","0,5785713"
24/02/2007 3.00,"1,40244198","13,38348185","5,14346738","0,3276205","69,77885565","1,0240173"
24/02/2007 4.00,"1,1505921","14,47812862","5,37189402","0,32388523","65,8296534","0,8545851"
24/02/2007 5.00,"1,55978104","13,73366465","4,84106354","0,31577347","67,3913793","0,84894075"
24/02/2007 6.00,"2,88715622","15,28095638","5,64444579","0,33393003","67,8078555","0,9505899"
24/02/2007 7.00,"3,72437299","16,78025883","6,86444519","0,35860987","67,85667315","0,6964416"
24/02/2007 8.00,"2,15336529","18,536362","8,21033832","0,38895451","65,3557611","0,622404"
24/02/2007 9.00,"5,98252182","22,57901832","10,69057325","0,4551404","62,6092446","0,54028125"
24/02/2007 10.00,"8,59296658","22,33389992","9,78855092","0,50552909","65,1101766","0,6564735"
24/02/2007 11.00,"8,46274379","23,47913056","8,21553131","0,44359472","67,18172475","1,10298735"
24/02/2007 12.00,"6,25251702","28,32721688","8,27004243","0,42827056","72,07514055","0,5832495"
24/02/2007 13.00,"6,80110207","34,33609752","10,32457056","0,46243573","72,6495609","1,0532052"
24/02/2007 14.00,"5,83455951","37,04029648","11,70420858","0,45857315","75,93602415","1,221417"
24/02/2007 15.00,"4,20576282","29,56712976","8,1129984","0,39496387","84,79446255","1,558044"
24/02/2007 16.00,"2,14129757","28,37778928","7,46016894","0,41522283","86,9234268","0,63852345"
24/02/2007 17.00,"0,90693009","30,2752772","9,29536008","0,4615352","82,09893825","0,7228836"
24/02/2007 18.00,"1,39462837","37,6407792","17,43171547","0,63566648","61,30672905","1,41363"
24/02/2007 19.00,"1,77105974","36,78995832","19,54983672","0,6478569","55,283844","0,86216175"
24/02/2007 20.00,"1,01212145","50,34596184","30,06518664","0,83962965","32,0187126","0,72384975"
24/02/2007 21.00,"1,54120248","47,70661792","27,50838376","0,71721741","28,2935289","1,89162"
24/02/2007 22.00,"1,70256275","33,31797664","18,95411297","0,5884968","42,11790135","1,4630562"
24/02/2007 23.00,"2,92853795","33,11434864","19,8042092","0,72494373","30,11590155","1,223451"
25/02/2007 0.00,"1,26099152","30,69937792","18,12867198","0,7420269","30,62714025","1,27730115"
25/02/2007 1.00,,"32,79659336","18,50895539","0,72120963","31,94403975","0,96070905"
25/02/2007 2.00,"0,03395966",,,"0,61841278","38,9312679","1,01867805"
25/02/2007 3.00,"0,02010101","21,32744224","10,707439",,"45,12217185","0,8965872"
25/02/2007 4.00,"0,38555487","19,97080176","9,23565788","0,54867034",,"1,4060025"
25/02/2007 5.00,"0,14359938","17,09542335","6,91636173","0,50400952","37,5308976","1,026153"
25/02/2007 6.00,"0,03081002","23,48043072","9,50950982","0,52687546","26,09338305","1,2941325"
25/02/2007 7.00,"0,00661457","24,62564224","11,33820398","0,53991851","18,33435324","0,529857"
25/02/2007 8.00,"0,27391166","38,11937192","16,3414969","0,63593278","17,04812886","0,5904702"
25/02/2007 9.00,"0,72569662","27,42970496","13,81714257","0,71208171","27,06018","1,213281"
25/02/2007 10.00,"0,86668943","27,84862416","12,88916675","0,57363867","41,2658967","1,404477"
25/02/2007 11.00,"0,73918306","26,38823856","11,65618678","0,53116669","66,27024915","1,778733"
25/02/2007 12.00,"0,62381763","30,70584048","11,41997639","0,56424328","71,71125255","0,79331085"
25/02/2007 13.00,"0,62470445","38,62389136","11,26422487","0,50559683","79,96923585","1,0423233"
25/02/2007 14.00,"0,30638244","42,3462112","9,31353173","0,3924223","86,8003752","1,29662415"
25/02/2007 15.00,"0,37112364","41,70551912","5,67948893","0,31734443","92,74669215","0,83571975"
25/02/2007 16.00,"0,33223865","44,26830656","6,79695733","0,34956371","93,5622282","1,02447495"
25/02/2007 17.00,"1,03127665","45,51862072","8,74116879","0,36586666","89,737494","0,60882705"
25/02/2007 18.00,"0,55893303","46,37462312","14,44141822","0,46595608","75,74661885","0,8216343"
25/02/2007 19.00,"0,42521279","41,0232984","16,43494781","0,49036611","68,657526","1,4222745"
25/02/2007 20.00,"0,59841907","37,3061792","16,10658858","0,58213354","63,6907341","1,5504165"
25/02/2007 21.00,"0,16375734","29,98604896","13,89112358","0,5252461","60,2334789","1,20875535"
25/02/2007 22.00,"0,17194622","25,50370912","12,78014451","0,50872824","56,37620625","0,7663095"
25/02/2007 23.00,"0,33587544","24,27287824","12,73212272","0,49251173","51,6306","1,2707415"
26/02/2007 0.00,"0,00661457","19,51297336","9,02410655","0,47063275","55,2129417","0,6330825"
26/02/2007 1.00,"0,03407459","16,29129925","7,07599843","0,41949304","61,1642262","0,52248375"
26/02/2007 2.00,"0,0005441","14,06698743","5,596424","0,36814075","64,6582293","1,2245697"
26/02/2007 3.00,"0,01088088","12,51191386","4,30374374","0,3345479","64,46317815","1,13461605"
26/02/2007 4.00,"0,00544095","13,62731156","5,00848974","0,33326077","55,9726776","0,5955552"
26/02/2007 5.00,"0,06720336","15,98650924","7,27976601","0,33450586","50,0390688","0,4717863"
26/02/2007 6.00,"0,24121104","20,48960384","11,27980767","0,32725491","43,07155125","1,185822"
26/02/2007 7.00,"1,08069776","21,71393392","12,2947336","0,41117104","40,6906185","0,1377018"
26/02/2007 8.00,"2,15366429","37,01305048","20,62707664","0,49740214","29,0566563","0,8383131"
26/02/2007 9.00,"2,98653644","34,23233328","18,5673517","0,47753914","45,6122037","1,14590475"
26/02/2007 10.00,"0,43852735","29,5658296","12,8930615","0,40709472","64,0878987","1,06017165"
26/02/2007 11.00,"0,95347818","29,245474","9,45370045","0,39594032","79,27876635","0,7156629"
26/02/2007 12.00,"1,52314768","32,98853904","10,39724759","0,39216418","81,6476892","1,05600195"
26/02/2007 13.00,"1,63284435","33,33742168","11,02411782","0,36076133","84,23003715","0,7672248"
26/02/2007 14.00,"1,03783325","36,89762304","13,58871402","0,4126287","76,7565078","0,81670185"
26/02/2007 15.00,"1,87371165","31,2207612","10,80219007","0,38204112","78,89361165","0,483075"
26/02/2007 16.00,"1,7514174","36,41774928","15,88854601","0,52198504","58,23981555","0,5404338"
26/02/2007 17.00,"0,4262725","31,66174488","15,32396874","0,47337872","59,1543036","0,9210969"
26/02/2007 18.00,"0,41533466","38,58756336","21,3473844","0,63065576","42,088515","0,82148175"
26/02/2007 19.00,"1,13123758","57,6556908","33,39812768","0,9489416","20,0149173","1,165482"
26/02/2007 20.00,"0,3084439","48,15016368","28,66998112","0,84653603","24,6121155","2,1657015"
26/02/2007 21.00,"0,98239861","43,04397648","29,13981688","0,87103366","21,7506072","1,905858"
26/02/2007 22.00,"0,37040767","34,61106224","22,2870368","0,63116968","29,44534215","1,07085015"
26/02/2007 23.00,"0,02347948","23,381848","14,81261007","0,46355234","50,4588567","1,224468"
27/02/2007 0.00,"0,01632183","21,92276256","13,15133446","0,44617834","51,9987972","0,84405915"
27/02/2007 1.00,,"17,85415275","10,02216864","0,40061699","52,4927991","0,5734863"
27/02/2007 2.00,"1,81855567",,,"0,3751324","48,20233215","0,612234"
27/02/2007 3.00,"4,5707926","12,22009486","5,66131919",,"54,91259445","0,87945075"
27/02/2007 4.00,"2,38833806","10,66761778","4,4530002","0,27251776",,"0,19114515"
27/02/2007 5.00,"5,02522481","9,3849086","3,76642394","0,28033402","76,930392","0,86053455"
27/02/2007 6.00,"2,48820746","12,02943978","6,33491488","0,30726459","71,20380435","0,70940835"
27/02/2007 7.00,"2,25277704","17,29775119","10,7814181","0,378432","64,37691435","0,7947855"
27/02/2007 8.00,"1,21047917","30,18707664","19,5134896","0,4693573","50,78134845","0,6963399"
27/02/2007 9.00,"1,38965219","33,69018568","20,3064916","0,58523574","46,76058555","0,58879215"
27/02/2007 10.00,"1,6594745","34,16101568","18,9891561","0,53305067","48,35279505","1,5677055"
27/02/2007 11.00,"2,35784534","32,96779384","16,52450015","0,45484022","55,8010278","1,6134705"
27/02/2007 12.00,"6,35022733","24,00179488","8,4569347","0,39170282","74,5226664","0,98959185"
27/02/2007 13.00,"4,79629506","25,88501928","7,62759322","0,37271931","74,0962152","0,8305839"
27/02/2007 14.00,"5,41193499","27,9614704","8,99295625","0,37654218","72,08547465","1,0650024"
27/02/2007 15.00,,"21,55571592","7,88327542","0,33969061","75,10805925","0,5584347"
27/02/2007 16.00,"1,96016275","21,63871584","8,29599974","0,37460914","67,83313215","1,0379502"
27/02/2007 17.00,"2,23024235","21,2924144","7,19021175","0,45011566","66,9025644","0,4504293"
27/02/2007 18.00,"0,37769549","23,0887384","9,01372248","0,43869029","71,6813076","1,394307"
27/02/2007 19.00,"3,56790042","29,93805776","15,09814242","0,52166968","61,4815908","1,160397"
27/02/2007 20.00,"1,47581752","35,89764704","21,00605416","0,61564346","49,6134555","1,2198915"
27/02/2007 21.00,"1,60129701","25,95505584","13,14743971","0,44148298","65,1003612","1,07268075"
27/02/2007 22.00,"2,02727966","18,86968287","8,96180786","0,34445838","74,98867845","1,4965155"
27/02/2007 23.00,"0,44841462","16,92422287","7,39267917","0,32324166","72,93622245","0,8669925"
28/02/2007 0.00,"0,30964091","14,26282977","4,49972374","0,3009936","78,5348109","0,68388165"
28/02/2007 1.00,"0,92561441","14,16426043","3,98576476","0,28986957","80,34924345","1,1720925"
28/02/2007 2.00,"0,75225761","14,42624841","4,10257458","0,28389992","78,21407475","0,983439"
28/02/2007 3.00,"0,93624512","13,23173406","3,53150989","0,28407162","77,7797034","0,60730155"
28/02/2007 4.00,"1,0686636","16,54550538","6,32323256","0,28664822","70,2840096","0,2377746"
28/02/2007 5.00,"1,27382199","15,30041098","6,01823414","0,30503138","58,98614505","0,68042385"
28/02/2007 6.00,"0,36284933","19,89688384","10,01438106","0,44826906","48,17587845","0,81771885"
28/02/2007 7.00,"0,59931098","31,18705264","19,0449693","0,48383115","36,80178495","1,4702769"
28/02/2007 8.00,"0,31104742","46,60807832","25,49799224","0,6526235","28,8156204","1,635336"
28/02/2007 9.00,"1,04523701","48,63135672","24,84775928","0,68887355","35,28941535","2,112309"
28/02/2007 10.00,"1,1492222","35,3957088","13,24607597","0,45093093","56,9228961","1,2056535"
28/02/2007 11.00,"0,4983422","46,97252464","15,29931158","0,91856893","60,638025","1,03525515"
28/02/2007 12.00,"0,23452935","66,91869984","22,97103568","0,56071125","50,28874305","2,7016605"
28/02/2007 13.00,"0,59661695","61,11084688","17,3149133","0,3797203","69,2297319","0,5273145"
28/02/2007 14.00,"5,36952406","52,67141272","9,49912574","0,3179588","82,6296681","0,5169411"
28/02/2007 15.00,"6,89916325","52,5767496","9,35506228","0,33333552","82,858335",0
28/02/2007 16.00,"2,23135495","52,9749236","9,62501947","0,35742902","81,44952585","0,3556449"
28/02/2007 17.00,"8,17354052","50,16307904","10,36220637","0,36095171","77,7530901","1,340406"
28/02/2007 18.00,"9,20313912","51,58067408","17,40316358","0,45084566","66,4588365","0,36657765"
28/02/2007 19.00,"8,30180151","46,1087404","20,05471944","0,54400301","61,598817","1,304811"
28/02/2007 20.00,"7,4581217","40,3916692","20,25978144","0,59704656","57,32778135","1,357695"
28/02/2007 21.00,"0,18278643","38,85086488","21,0722476","0,60537907","53,64572955","1,2432825"
28/02/2007 22.00,"0,26387184","35,14022736","19,27079944","0,51754664","51,1315707","1,742121"
28/02/2007 23.00,"1,32541949","37,7730896","20,3246556","0,50594957","44,4413382","0,5806053"
01/03/2007 0.00,"1,12529728","26,61651224","11,05266972","0,38835416","56,96245695","1,263114"
01/03/2007 1.00,,"26,38045672","11,83139673","0,40244141","50,69073555","0,9806931"
01/03/2007 2.00,"1,51397129",,,"0,31761541","43,8077661","0,69842475"
01/03/2007 3.00,"1,02898941","18,41703982","6,45042454",,"42,4845225","0,29304855"
01/03/2007 4.00,"1,43586569","16,52734903","6,40240274","0,28937317",,"0,72985005"
01/03/2007 5.00,"1,96180317","15,54813162","5,39395658","0,28453648","51,8904288","0,70584885"
01/03/2007 6.00,"1,34093789","26,92648568","14,81779733","0,32871258","33,57630885","0,6062337"
01/03/2007 7.00,"0,91640751","43,7352792","24,00932816","0,4913776","16,07397236","0,48078675"
01/03/2007 8.00,"0,30820388","70,56966384","30,12749872","0,7039536","14,60231472","0,7967178"
01/03/2007 9.00,"0,88573581","62,13544944","25,9210796","0,82993408","29,3969235","0,99772785"
01/03/2007 10.00,"0,17897776","41,58489104","16,10789065","0,52789162","51,92376525","1,3630851"
01/03/2007 11.00,"0,74533489","43,10365","12,91771674","0,43761222","66,7545753","1,276335"
01/03/2007 12.00,"0,91040416","47,5276356","12,63997579","0,40075598","71,27243235","0,84721185"
01/03/2007 13.00,"1,51979666","45,31369256","11,32652739","0,3957476","77,88354315","1,2940308"
01/03/2007 14.00,"1,97434481","47,32530776","12,08837718","0,38855622","76,9234893","0,4730067"
01/03/2007 15.00,"0,85114052","42,97914056","9,32910497","0,32892749","80,069724","0,7533936"
01/03/2007 16.00,"0,48706266","44,74431808","12,70226875","0,37143334","71,7017364","0,553248"
01/03/2007 17.00,"2,02855498","42,06086432","14,16367727","0,36548355","69,5879142","0,63445545"
01/03/2007 18.00,"0,50572766","39,97405016","15,53811656","0,39390683","64,22210235","0,7311213"
01/03/2007 19.00,"0,15686615","38,2789092","18,02744114","0,48902291","54,2100153","0,90446895"
01/03/2007 20.00,"0,13356464","35,82891064","18,55697718","0,51098248","47,4520326","0,52604325"
01/03/2007 21.00,"0,34832657","42,88575848","23,51094624","0,66512811","37,816023",
01/03/2007 22.00,"0,97668104","26,67486648","14,61403549","0,41150042","58,84637535","1,3327785"
