,ARPA Puglia,,,,,
,S.Maria Cerrate,,,,,
Parm,SO2,NO2,CO,O3,,BENZENE
07/02/2008 23.00,"0,55299902","4,62467551","1,1204404","76,29270354",,"1,02155006"
08/02/2008 0.00,"1,03035498","4,54040483","1,0844546","76,11290586",,"0,92760003"
08/02/2008 1.00,"1,30701399","4,87365783","1,09539455","73,94754456",,"0,86704999"
08/02/2008 2.00,"0,47321999","5,06007434","1,0222304","71,53047828",,"0,94375002"
08/02/2008 3.00,"0,29061401","4,60935288","0,94602335","72,33882228",,"1,02405"
08/02/2008 4.00,"0,76961303","4,08968337","1,04246465","75,84389604",,"0,84109998"
08/02/2008 5.00,"0,92233002","4,07053291","1,1507613","75,00625938",,"1,18449998"
08/02/2008 6.00,"0,875709","4,63105962","1,1820114","74,03809086",,"0,76130003"
08/02/2008 7.00,"0,65609002","4,1573561","1,1288446","75,13276914",,"0,73869997"
08/02/2008 8.00,"0,46142501","4,63488934","1,1183842","72,71970534",,"0,92000002"
08/02/2008 9.00,"0,826361","4,39995432","1,12615705","71,33470992",,"1,16345"
08/02/2008 10.00,"0,59111798","5,2298929","1,17830495","67,01728968",,"1,07860005"
08/02/2008 11.00,"1,48855698","4,8059851","1,2560737","65,67224058",,"1,03250003"
08/02/2008 12.00,"2,17895007","4,80981481","1,4751947","67,93884108",,"1,34899998"
08/02/2008 13.00,"2,31276011","4,23141296","1,85450035","71,02575378",,"1,06034994"
08/02/2008 14.00,"3,039114","3,84197824","2,1212877","73,80371034",,"1,11889994"
08/02/2008 15.00,"2,50414491","4,27737707","2,32161195","75,78664488",,"1,13894999"
08/02/2008 16.00,"3,59604812","4,21992005","2,5668483","77,43796218",,"1,03530002"
08/02/2008 17.00,"4,18120193","4,19055387","2,73933105","78,79497948",,"1,39549994"
08/02/2008 18.00,"3,87573099","4,60169157","2,63018225","78,05320614",,"1,21389997"
08/02/2008 19.00,"3,79923511","4,66681179","1,85561125","79,35962346",,"0,90805"
08/02/2008 20.00,"1,45260894","4,38590889","1,50563865","80,43566274",,"0,87854999"
08/02/2008 21.00,"0,33914199","5,60145059","1,3037803","77,98928418",,"0,93620002"
08/02/2008 22.00,"0,95275098","5,06390405","1,1552739","77,9200452",,"1,02919996"
08/02/2008 23.00,"0,63882101","4,93622177","1,1863653","78,93614538",,"0,95295"
09/02/2008 0.00,"0,56149399","4,40123152","1,05953295","80,38904562",,"1,23959994"
09/02/2008 1.00,,"4,38080198","1,1392337","81,1987434",,"1,03849995"
09/02/2008 2.00,"6,587286",,"1,0890615","83,18564118",,"1,04100001"
09/02/2008 3.00,"5,63593292","4,1573561",,"83,64777066",,"1,25250006"
09/02/2008 4.00,"5,27761316","4,15097199","0,5630308","83,99798766",,"1,25399995"
09/02/2008 5.00,"6,05927515","4,02584223","0,54703545","84,20307552",,"1,06844997"
09/02/2008 6.00,"5,68201685","3,84836235","0,58303275","86,13276138",,"0,96605003"
09/02/2008 7.00,"6,637537","3,82027338","0,5783166","87,3792396",,"0,89674997"
09/02/2008 8.00,"6,24878788","3,45127009","0,6013258","88,80282756",,"0,82784998"
09/02/2008 9.00,"4,98254919","3,55852283","0,44566985","89,80560576",,"0,82849997"
09/02/2008 10.00,"6,07884598","3,88538984","0,4000919","90,15984486",,"0,96485001"
09/02/2008 11.00,"7,61906385","3,49468169","0,37688605","90,48879378",,"0,7949"
09/02/2008 12.00,"9,19097424","3,43722466","0,4511979","91,86311592",,"0,74694997"
09/02/2008 13.00,"10,07351017","3,45254729","0,86222975","92,45440386",,"0,97404999"
09/02/2008 14.00,"9,28566742","3,35167678","1,0723198","94,70766276",,"0,75470001"
09/02/2008 15.00,"8,0982132","3,67343688","0,98349495","97,95573414",,"0,90165001"
09/02/2008 16.00,"8,56221008","3,49723608","0,9617059","98,8745976",,"0,82665002"
09/02/2008 17.00,"7,32930279","3,65173202","0,86962885","99,5737563",,"0,8646"
09/02/2008 18.00,"8,91257572","3,71302064","0,9862998","99,7149222",,"0,72479999"
09/02/2008 19.00,"7,44672298","3,66450025","1,0891903","97,60149504",,"0,92355001"
09/02/2008 20.00,"5,40071487","3,65428454","1,0230492","95,93018496",,"0,80645001"
09/02/2008 21.00,"4,64392519","3,92752612","0,9220286","93,27873816",,"0,77990001"
09/02/2008 22.00,"5,39553785","4,32717467","0,86800275","94,02849684",,"0,80729997"
09/02/2008 23.00,"5,65525007","4,72426881","0,644092","94,029831",,"0,89595002"
10/02/2008 0.00,"5,76673603","4,51359117","0,6488484","93,4491771",,"0,74814999"
10/02/2008 1.00,"5,56838512","4,28503838","0,5678286","93,6689211",,"0,77045"
10/02/2008 2.00,"6,03288698","3,7334483","0,48046655","95,22702378",,"0,93314999"
10/02/2008 3.00,"4,84669495","3,46659083","0,4796949","95,56262388",,"1,00024998"
10/02/2008 4.00,"6,1212678","4,37314066","0,12982235","94,57983846",,"0,69894999"
10/02/2008 5.00,"5,10804892","3,6887595","0,1397089","95,0326092",,"0,66509998"
10/02/2008 6.00,"6,82363987","3,97732371","0,2264465","93,95790408",,"0,82674998"
10/02/2008 7.00,"7,30506086","3,99519886","0,32285905","92,3904819",,"0,86755002"
10/02/2008 8.00,"6,2213912","3,92880332","0,42225355","91,30112064",,"1,1056"
10/02/2008 9.00,"7,56174278","3,58022957","0,283061","92,14809642",,"0,93535"
10/02/2008 10.00,"7,55467319","3,59682751","0,13926845","92,15875008",,"1,05830002"
10/02/2008 11.00,"5,94831991","3,46302069","0,2204596","93,0842451",,"0,8545"
10/02/2008 12.00,"7,03095579","3,56490694","0,22215815","94,74229206",,"0,79804999"
10/02/2008 13.00,"6,31797791","3,52021814","0,81982925","95,113836",,"0,78130001"
10/02/2008 14.00,"5,52394199","3,71174344","0,9578028","96,4082655",,"0,82725"
10/02/2008 15.00,"5,07054996","3,57895237","0,8838164","98,59493412",,"0,75559998"
10/02/2008 16.00,"5,39692688","3,75898476","0,6915732","99,16093188",,"0,92194998"
10/02/2008 17.00,"6,10864305","3,71685036","0,7898292","100,11842712",,"0,67315"
10/02/2008 18.00,"5,55474901","4,0156284","0,7434451","102,06531972",,"0,73234999"
10/02/2008 19.00,"6,19866419","4,41910666","0,53103895","101,57532984",,"0,90875"
10/02/2008 20.00,"6,48792124","9,56855859","0,5384783","90,25305948",,"0,69494998"
10/02/2008 21.00,"6,98840714","6,7684719","0,3892842","94,22026272",,"0,76380002"
10/02/2008 22.00,"5,40929985","5,26947478","0,2559463","97,18199982",,"0,93094999"
10/02/2008 23.00,"6,78765678","4,13564936","0,1824199","101,70050544",,"0,73019999"
11/02/2008 0.00,"6,34777498","4,21098341","0,259164","101,09583666",,"0,79234999"
11/02/2008 1.00,,"3,98115343","0,11993235","97,42836816",,"0,87709999"
11/02/2008 2.00,"1,64335203",,"0,27231655","97,0008876",,"0,87080002"
11/02/2008 3.00,"1,75946605","3,63768659",,"97,9437267",,"1,14115"
11/02/2008 4.00,"1,46847296","4,02839474","0,4098784","96,20851428",,"0,91194999"
11/02/2008 5.00,"2,28054309","3,91092818","0,37402945","94,67303346",,"0,94199997"
11/02/2008 6.00,"1,45822704","3,75004813","0,3522703","93,44786256",,"1,05305004"
11/02/2008 7.00,"1,336851","3,67088436","0,26828235","91,87777206",,"0,99585003"
11/02/2008 8.00,"1,46277499","4,17906096","0,15080295","89,59386672",,"0,93605"
11/02/2008 9.00,"1,77788305","3,85091675","0,11596715","88,82282034",,"1,09599996"
11/02/2008 10.00,"2,25137496","4,04882617","0,18853215","88,77486906",,"0,83835"
11/02/2008 11.00,"4,23643398","4,17395405","0,3110842","88,96396662",,"1,07445002"
11/02/2008 12.00,"5,62350512","3,91220537","0,52515555","89,9521083",,"1,08295"
11/02/2008 13.00,"6,76810312","3,96455549","0,9143995","91,44762318",,"0,86285001"
11/02/2008 14.00,"6,55419302","3,77558458","0,8168772","94,29350418",,"0,90714997"
11/02/2008 15.00,"8,90511513","3,89688275","0,81975795","97,87048524",,"1,09650004"
11/02/2008 16.00,"9,14879227","3,93518743","1,0622458","98,92655136",,"0,96125001"
11/02/2008 17.00,"8,25417709","4,12926525","1,0789116","99,66830508",,"1,00874996"
11/02/2008 18.00,"8,20094585","4,21609033","1,03912045","99,7495515",,"1,06190002"
11/02/2008 19.00,"7,46607685","5,1430697","0,8948127","98,22872682",,"0,91729999"
11/02/2008 20.00,"8,2143774","4,78172584","0,9060045","98,17545852",,"1,36300004"
11/02/2008 21.00,"7,78842211","3,77175299","0,84074315","98,89325622",,"1,12890005"
11/02/2008 22.00,"6,22801113","4,04754897","0,85740895","98,54299998",,"0,97079998"
11/02/2008 23.00,"6,28414679","4,08968337","0,86526805","97,35379254",,"1,04460001"
12/02/2008 0.00,"6,83810806","4,01818091","0,83400415","94,5025749",,"1,34949994"
12/02/2008 1.00,"8,71132469","4,42038386","0,7667211","92,41045506",,"1,25224996"
12/02/2008 2.00,"9,12960529","5,13413119","0,7243758","87,25804686",,"1,13399994"
12/02/2008 3.00,"9,05285645","7,22940719","0,7265562","79,48348452",,"1,17550004"
12/02/2008 4.00,"8,15105915","7,34432124","0,7528912","73,11653946",,"1,15349996"
12/02/2008 5.00,"7,82295895","6,05600177","0,58570535","68,67394362",,"1,11150002"
12/02/2008 6.00,"7,35479212","5,21074056","0,36499735","64,89719172",,"1,05050004"
12/02/2008 7.00,"7,80952787","4,79832378","0,38354225","80,17332372",,"1,03795004"
12/02/2008 8.00,"8,12803459","4,34632701","0,54953555","86,26058568",,"0,90724999"
12/02/2008 9.00,"8,46380997","4,84556698","0,5626168","87,06494682",,"1,07605004"
12/02/2008 10.00,"8,17984009","4,50082294","0,46895965","88,88407398",,"0,97850001"
12/02/2008 11.00,"8,91662788","4,10756039","0,4736091","89,64313254",,"1,00154996"
12/02/2008 12.00,"11,44165993","4,53274351","0,8036154","86,0528295",,"1,23284996"
12/02/2008 13.00,"11,76399994","4,98091057","1,1500161","85,14460008",,"0,9677"
12/02/2008 14.00,"11,10587978","4,61318448","0,93641395","86,53491252",,"1,07124996"
12/02/2008 15.00,"10,20792007","4,71022339","0,8616881","88,18624944",,"1,21895003"
12/02/2008 16.00,"11,54335022","5,02176965","1,0099047","92,14943058",,"0,98549998"
12/02/2008 17.00,"11,24403","4,9477128","1,0482135","95,09119452",,"1,21300006"
12/02/2008 18.00,"11,43013954","4,8059851","1,10088465","96,46420212",,"1,32350004"
12/02/2008 19.00,"8,56358337","5,71381213","0,9361253","89,36882532",,"1,10294998"
12/02/2008 20.00,"8,67678833","10,86198122","0,9575222","73,54003716",,"1,02590001"
12/02/2008 21.00,"7,68097401","8,26746901","0,72532225","77,05042794",,"1,08299994"
12/02/2008 22.00,"8,71324253","7,63288545","0,70384255","79,59268944",,"1,24100006"
12/02/2008 23.00,"8,48491669","10,83261128","0,9244804","75,37780332",,"1,54250002"
13/02/2008 0.00,"7,91697598","15,97823915","0,5588356","69,10676082",,"1,45949996"
13/02/2008 1.00,,"18,77832584","0,57931595","66,19162122",,"1,58350003"
13/02/2008 2.00,"0,850936",,"0,5856766","68,94827046",,"1,80550003"
13/02/2008 3.00,"0,811643","9,84180018",,"71,68761486",,"1,46899998"
13/02/2008 4.00,"1,13936496","7,5128626","0,5140155","73,33228098",,"1,296"
13/02/2008 5.00,"1,03044999","7,38518032","0,62695125","71,99258814",,"1,18649995"
13/02/2008 6.00,"1,00746906","6,56545557","0,5492262","68,65797294",,"1,32149994"
13/02/2008 7.00,"1,08877897","4,69362544","0,5104712","60,9113691",,"1,18449998"
13/02/2008 8.00,"1,44970798","4,77789424","0,3624202","71,26678548",,"1,10650003"
13/02/2008 9.00,"1,89134097","7,25238924","0,53470745","76,19680098",,
13/02/2008 10.00,"2,1362071","5,29756376","0,48495845","87,37657128",,"0,96969998"
13/02/2008 11.00,"3,50205112","4,24290398","0,4555702","92,19471354",,"0,90125"
13/02/2008 12.00,"5,80531502","3,77047579","0,68749875","95,2550019",,"1,15684998"
13/02/2008 13.00,"4,58006001","3,67599128","1,14658105","97,46564616",,"0,95254999"
13/02/2008 14.00,"2,84746289","3,61853425","1,23983225","99,67895874",,"1,05050004"
13/02/2008 15.00,"2,92995501","3,5904434","1,2438492","100,35547596",,"0,93194997"
13/02/2008 16.00,"2,90817189","3,83048721","1,3388553","99,92532708",,"0,94319999"
13/02/2008 17.00,"3,572047","4,0156284","1,44795235","101,58062724",,"0,88075"
13/02/2008 18.00,"4,33793688","6,01131297","1,3728332","98,89857324",,"0,9016"
13/02/2008 19.00,"5,5950942","7,58181254","1,19790325","97,03549728",,"0,86979997"
13/02/2008 20.00,"2,36988091","4,58892522","1,10832515","101,25703458",,"0,87080002"
13/02/2008 21.00,"1,88717699","4,93366738","1,21896895","101,13584184",,"1,16849995"
13/02/2008 22.00,"1,83611405","6,59737614","1,26311285","100,3381515",,"1,0905"
13/02/2008 23.00,"2,31511998","6,6803715","1,0720116","99,07837092",,"0,97715002"
14/02/2008 0.00,"2,176682","7,26132776","1,0467047","97,665417",,"1,20150006"
14/02/2008 1.00,"1,80218196","6,83997435","0,961262","96,85571922",,"0,86774999"
14/02/2008 2.00,"1,59446001","9,01696851","0,96064445","89,64846918",,"0,85224998"
14/02/2008 3.00,"1,78468502","9,74348407","0,90632305","77,81617692",,"1,03055"
14/02/2008 4.00,"2,35559893","8,46154683","0,6200708","78,9760917",,"1,051"
14/02/2008 5.00,"1,64135802","8,29172827","0,56778145","78,30757944",,"0,98199999"
14/02/2008 6.00,"1,24233902","6,37520935","0,65761945","79,69122108",,"1,23399997"
14/02/2008 7.00,"1,15805995","5,96406977","0,58082935","83,12171922",,"1,01279998"
14/02/2008 8.00,"1,35745096","5,88235161","0,5156646","85,60005876",,"0,88265002"
14/02/2008 9.00,"1,20544004","6,8680652","0,5635023","82,54110456",,"0,91235"
14/02/2008 10.00,"1,13222802","8,86630229","0,59995385","80,64873594",,"0,96109998"
14/02/2008 11.00,"1,67076099","10,19291892","0,6590213","78,35019408",,"1,02970004"
14/02/2008 12.00,"5,39011192","14,56478239","0,91093915","73,78507134",,"1,18850005"
14/02/2008 13.00,"9,59928322","16,66261278","1,36209795","74,33505918",,"0,58850002"
14/02/2008 14.00,"8,81077766","16,00759967","1,6332645","77,56714026",,"1,19550002"
14/02/2008 15.00,"9,17455673","14,74737858","1,73144345","83,54388276",,"1,27349997"
14/02/2008 16.00,"7,3232832","13,17303989","1,4993907","90,24242544",,"1,10300004"
14/02/2008 17.00,"6,445261","11,44804627","1,52025055","97,61879988",,"1,16244996"
14/02/2008 18.00,"4,33567286","16,15571338","1,6083693","92,68745022",,"1,08305001"
14/02/2008 19.00,"2,87042999","10,8594287","1,40484","98,24736582",,"0,98549998"
14/02/2008 20.00,"1,57755494","10,50702523","1,50817095","92,98842102",,"1,03999996"
14/02/2008 21.00,"0,98985499","13,22283372","1,26169375","78,83494542",,"1,01549995"
14/02/2008 22.00,"1,23091102","17,76452327","1,08594385","55,18898028",,"1,42449999"
14/02/2008 23.00,"0,82485998","21,64351959","0,78384115","56,56997322",,"2,38400006"
15/02/2008 0.00,"1,06912994","18,56126408","0,73421635","71,6702904",,"2,17400002"
15/02/2008 1.00,,"16,51833256","0,6722072","74,84111784",,"1,98800004"
15/02/2008 2.00,"1,37471199",,"0,7659759","82,15223616",,"1,65050006"
15/02/2008 3.00,"1,14699304","11,17607812",,"85,43226852",,"1,55400002"
15/02/2008 4.00,"2,27171707","11,65361888","0,71943885","76,53240108",,"1,17900002"
15/02/2008 5.00,"3,42583704","10,34103074","0,69994405","69,60612906",,"1,37150002"
15/02/2008 6.00,"3,45466304","9,7102863","0,5607078","71,1602685",,"1,14250004"
15/02/2008 7.00,"2,74546409","9,47024249","0,513314","75,44837646",,"1,04700005"
15/02/2008 8.00,"1,78839505","9,60175448","0,441508","70,92321966",,"1,16499996"
15/02/2008 9.00,"3,53563595","12,0583687","0,3320809","55,58850234",,"1,02499998"
15/02/2008 10.00,"2,1426971","20,62334043","0,39603585","65,34731376",,"1,171"
15/02/2008 11.00,"2,95923901","23,10165198","0,67471305","70,58495124",,"1,88699996"
15/02/2008 12.00,"4,88558912","14,57755061","1,0221292","84,40284636",,"2,18549991"
15/02/2008 13.00,"8,75531197","15,07934687","1,3253842","87,10756146",,"1,50950003"
15/02/2008 14.00,"9,95665073","13,11941258","1,24605375","94,54254084",,"1,3175"
15/02/2008 15.00,"10,24648952","14,07959725","1,4353426","104,77270314",,"1,26999998"
15/02/2008 16.00,"7,96850777","11,93834585","1,56664615","107,76906954",,"1,36800003"
15/02/2008 17.00,"5,33231783","9,56345168","1,4073309","113,09466348",,"1,16050005"
15/02/2008 18.00,"4,4803648","8,75649515","1,23276435","111,604446",,"1,12049997"
15/02/2008 19.00,"3,27883601","14,12811012","1,1780508","92,51965998",,"1,08399999"
15/02/2008 20.00,"3,51651502","15,33981834","1,19649335","66,2648823",,"1,12750006"
15/02/2008 21.00,"1,66187894","21,60266427","1,30931295","66,30747732",,"1,17999995"
15/02/2008 22.00,"3,09357309","24,42190707","1,4554607","75,68675946",,"2,06299996"
15/02/2008 23.00,"2,06967807","19,50865983","1,23844765","70,94452698",,"2,74499989"
16/02/2008 0.00,"1,32409799","21,23492877","1,0042421","70,59960738",,"1,0625"
16/02/2008 1.00,"2,14045596","16,95628391","1,0753305","75,70408392",,"2,25749993"
16/02/2008 2.00,"2,7439239","13,88934538","0,86817295","77,47259148",,"2,2974999"
16/02/2008 3.00,"2,42365909","14,05405891","0,99211535","73,043298",,"1,90900004"
16/02/2008 4.00,"1,84349895","11,27311515","0,9972271","78,45673068",,"1,90999997"
16/02/2008 5.00,"0,77745497","5,91427218","0,8874734","93,95258706",,"1,48450005"
16/02/2008 6.00,"1,20919895","5,17881999","0,8737332","88,88538852",,"1,05649996"
16/02/2008 7.00,"2,31857705","4,82386024","0,42805645","86,21131986",,
16/02/2008 8.00,"2,12782097","5,28607273","0,6117793","84,01132926",,"1,12849998"
16/02/2008 9.00,"0,66226202","6,87317212","0,67917045","87,00767604",,"1,00329995"
16/02/2008 10.00,"2,52724004","5,45206157","0,6943815","85,83977592",,"3,27399993"
16/02/2008 11.00,"3,21276307","4,48933191","0,62825995","89,13442518",,"1,16674995"
16/02/2008 12.00,"3,11329103","4,02328971","0,78054065","90,57934008",,"0,8484"
16/02/2008 13.00,"3,99283099","3,53170917","0,9247265","94,1017383",,"1,03135002"
16/02/2008 14.00,"2,7052691","3,32997004","0,99534685","96,85838754",,"0,66579998"
16/02/2008 15.00,"2,70784402","3,34018387","1,1920762","97,68270222",,"0,68045002"
16/02/2008 16.00,"3,38210201","3,5904434","1,53748905","98,07957558",,"0,80124998"
16/02/2008 17.00,"1,58350599","3,21633319","1,4330518","98,8466391",,"0,57529998"
16/02/2008 18.00,"3,12206507","3,11546268","1,31082635","101,47006854",,"0,62445003"
16/02/2008 19.00,"5,88172388","3,30315827","0,93637255","101,23570764",,"0,58530003"
16/02/2008 20.00,"4,07317495","3,25080627","0,65657065","101,24502714",,"0,72289997"
16/02/2008 21.00,"2,67397094","3,30060387","0,5013678","101,5886322",,"0,63735002"
16/02/2008 22.00,"5,67674398","3,36444501","0,28917095","101,17447362",,"0,68970001"
16/02/2008 23.00,"5,46231985","3,14100102","0,27067895","100,9427418",,"0,7062"
17/02/2008 0.00,"5,01166582","2,92393926","0,3157854","100,88009514",,"0,69835001"
17/02/2008 1.00,,"3,27379021","0,25592905","100,88680518",,"0,85329998"
17/02/2008 2.00,"1,52052701",,"0,25936295","100,4526342",,"0,73839998"
17/02/2008 3.00,"0,45913899","3,21633319",,"99,06771726",,"0,79364997"
17/02/2008 4.00,"2,39397311","3,23931524",,"96,91299",,"0,76814997"
17/02/2008 5.00,"0,271236","3,34912238",,"97,26854364",,"0,77850002"
17/02/2008 6.00,"0,991965","3,20994907",,"98,21940732",,"0,90684998"
17/02/2008 7.00,"3,3174839","3,12057148",,"98,36589024",,"0,84259999"
17/02/2008 8.00,"3,92346406","3,04651463",,"98,5017195",,"0,70564997"
17/02/2008 9.00,"3,24619508","3,28783564",,"98,19676584",,"0,90219998"
17/02/2008 10.00,"2,47675991","3,16526027",,"99,35934894",,"0,77135003"
17/02/2008 11.00,"2,7271719","3,02097817",,"98,9624952",,"0,70934999"
17/02/2008 12.00,"2,73262095","3,19590365",,"97,85451456",,"0,81989998"
17/02/2008 13.00,"3,22104192","3,20228776",,"99,3167343",,"0,74430001"
17/02/2008 14.00,"0,29669601","3,36827472",,"100,77893442",,"0,76719999"
17/02/2008 15.00,"2,18797898","3,12567839",,"101,70180036",,"0,96160001"
17/02/2008 16.00,"1,92110002","2,88308018",,"101,25173718",,"0,60855001"
17/02/2008 17.00,"1,77834702","2,66729562",,"100,75231008",,"0,59175003"
17/02/2008 18.00,"3,38626909","2,6660203",,"100,62844902",,"0,65104997"
17/02/2008 19.00,"3,88502908","3,02225537",,"100,63243188",,"0,53719997"
17/02/2008 20.00,"3,81766891","3,03629891",,"101,13444882",,"0,56260002"
17/02/2008 21.00,"5,58344984","2,69666179",,"102,60606654",,"0,6286"
17/02/2008 22.00,"5,91067982","2,66729562",,"103,92307866",,"0,52679998"
17/02/2008 23.00,"6,23344803","2,428529",,"104,1254982",,"0,68065"
18/02/2008 0.00,"6,17508078","2,55748848",,"104,61431088",,"0,53359997"
18/02/2008 1.00,"7,06385994","2,81285492",,"104,0549643",,"0,53135002"
18/02/2008 2.00,"6,68162107","2,60728608",,"103,1346882",,"0,67215002"
18/02/2008 3.00,"7,55066919","2,46427929",,"102,53141244",,"0,69035"
18/02/2008 4.00,"6,28443289","2,77327304",,"101,90153196",,"0,55989999"
18/02/2008 5.00,"4,62506104","3,05162154",,"100,83487104",,"0,61479998"
18/02/2008 6.00,"4,65293121","2,78731847",,"102,72323718",,"0,58315003"
18/02/2008 7.00,"5,31771708","3,12312399",,"102,02541264",,"0,29100001"
18/02/2008 8.00,"4,77447414","2,9865032",,"102,4342542",,"0,73675001"
18/02/2008 9.00,"5,15006495","3,84453264",,"101,38480002",,"0,72320002"
18/02/2008 10.00,"5,34324312","3,9224192",,"100,24360272",,"0,6523"
18/02/2008 11.00,"5,99232101","5,11242445",,"97,65340956",,"0,64279997"
18/02/2008 12.00,"8,94398785","13,66717107",,"80,5808115",,"0,83964998"
18/02/2008 13.00,"8,44508266","15,11892499",,"79,38626742",,"0,82445002"
18/02/2008 14.00,"6,21707392","8,71563607",,"89,12643984",,"0,95609999"
18/02/2008 15.00,"7,23385715","9,88904337",,"89,85622536",,"0,91165"
18/02/2008 16.00,"11,57069969","13,41181403",,"87,5510127",,"0,8125"
18/02/2008 17.00,"12,59646988","14,61075403",,"85,79716128",,"0,76190001"
18/02/2008 18.00,"11,22684002","11,0279663",,"91,53018414",,"0,69050002"
18/02/2008 19.00,"6,50608206","6,33817998",,"96,95427048",,"0,69050002"
18/02/2008 20.00,"3,83982491","6,56417837",,"95,37619464",,"0,70609999"
18/02/2008 21.00,"3,876755","6,51183014",,"95,58659952",,
18/02/2008 22.00,"4,551054","7,8920816",,"94,64905782",,"0,89805001"
18/02/2008 23.00,"4,44429922","11,07138542",,"86,50161738",,"0,97084999"
19/02/2008 0.00,"3,91501808","14,04384132",,"78,55928442",,"1,39450002"
19/02/2008 1.00,,"12,75041681",,"77,10903288",,"1,66600001"
19/02/2008 2.00,"3,18325806",,,"71,64366606",,"1,73549998"
19/02/2008 3.00,"2,39133906","10,55171779",,"75,9331278",,"1,78849995"
19/02/2008 4.00,"2,33153605","9,86478224",,"77,45528664",,"1,48899996"
19/02/2008 5.00,"2,693295","11,74043831",,"76,30467174",,"1,33350003"
19/02/2008 6.00,"2,35642099","12,86660806",,"74,60275446",,"1,50349998"
19/02/2008 7.00,"2,04175401","13,81146258",,"75,7480131",,"1,49699998"
19/02/2008 8.00,"2,18480897","15,01167977",,"74,99825442",,"1,30900002"
19/02/2008 9.00,"1,58851194","13,73612853",,"80,14401144",,"1,24399996"
19/02/2008 10.00,"2,5413301","15,46750626",,"82,75949478",,"1,36049998"
19/02/2008 11.00,"3,98611689","12,88320036",,"85,95162954",,"1,61500001"
19/02/2008 12.00,"3,979985","13,08749013",,"86,60283696",,"1,34749997"
19/02/2008 13.00,"7,7078042","15,27215125",,"85,95162954",,"1,08500004"
19/02/2008 14.00,,"15,89396094",,"83,46265596",,"0,97799999"
19/02/2008 15.00,"3,86619306","14,92358126","1,97695235","92,0801916",,"1,01374996"
19/02/2008 16.00,"4,13474321","14,17025016","2,176053","99,87072462",,"0,9034"
19/02/2008 17.00,"1,92125499","11,28078023","1,87620315","107,45616978",,"0,86905003"
19/02/2008 18.00,"1,13126504","7,10555462","1,85015105","112,23432648",,"0,90890002"
19/02/2008 19.00,"0,260737","7,28303261","1,2626448","109,91579184",,"0,9612"
19/02/2008 20.00,"0,139402","13,58035163","0,5373651","83,78758278",,"0,83609998"
19/02/2008 21.00,"0,28379199","12,63166552","0,53958115","57,13194888",,"1,03960001"
19/02/2008 22.00,"0,49801901","14,22132495","0,417266","46,55147148",,"1,02400005"
19/02/2008 23.00,"0,83621103","31,47127434","0,1668558","30,54023694",,"1,07465005"
20/02/2008 0.00,"0,78422302","34,65313632","0,1670306","26,96192172",,"1,84800005"
20/02/2008 1.00,"0,38392201","36,06657615",,"25,79133366",,"4,9295001"
20/02/2008 2.00,"1,00947905","37,08931347",,"27,16834374",,"5,38399982"
20/02/2008 3.00,"0,34676501","32,7435075",,"23,8639041",,"8,62200069"
20/02/2008 4.00,"0,130677","31,11121332",,"24,81119694",,"7,73549986"
20/02/2008 5.00,"0,191644","31,29762042",,"25,24666284",,"6,40649986"
20/02/2008 6.00,"0,063869","28,01106198",,"29,06602938",,"5,07649994"
20/02/2008 7.00,"0,025504","23,27786406",,"40,15788246",,"4,08500004"
20/02/2008 8.00,"0,011609","14,28899205",,"54,34865568",,"3,06150007"
20/02/2008 9.00,"0,147039","15,21724298",,"56,16513414",,"2,13199997"
20/02/2008 10.00,"0,41693601","17,69684865",,"62,8010694",,"1,70749998"
20/02/2008 11.00,"0,83350801","14,79972493",,"68,85105336",,"1,4655"
20/02/2008 12.00,"1,05573404","10,06779292",,"90,45549864",,"1,20299995"
20/02/2008 13.00,"1,45436597","8,41175112",,"95,13116046",,"1,03954995"
20/02/2008 14.00,"1,30039895","6,54247351",,"94,16966274",,"0,84149998"
20/02/2008 15.00,"0,581496","4,70000768",,"92,90185758",,
20/02/2008 16.00,"0,62075001","4,30802232",,"89,81759358",,
20/02/2008 17.00,"0,36672601","4,73448264",,"93,51576738",,
20/02/2008 18.00,"1,19217706","4,31568176",,"195,49862424",,
20/02/2008 19.00,"0,62646502",,,"87,04897614",,
20/02/2008 20.00,"0,70880002",,,"77,36605488",,0
20/02/2008 21.00,"0,63020098","10,31294177",,"78,17439888",,"8,42000008"
20/02/2008 22.00,"0,99739802","8,07594559",,"87,89993478",,"4,15150023"
20/02/2008 23.00,"0,702995","6,10962719",,"90,3156669",,"1,73000002"
21/02/2008 0.00,"0,89842999","5,85553983",,"91,58345244",,0
21/02/2008 1.00,,"5,1405153",,"89,03455938",,"1,91299999"
21/02/2008 2.00,"3,45646191",,,"85,22317818",,"3,88249993"
21/02/2008 3.00,"0,923621","6,60759185",,"82,54375326",,"1,22300005"
21/02/2008 4.00,"1,05129397","6,60886905",,"74,5508007",,"4,01350021"
21/02/2008 5.00,"1,29046404","4,41527506",,"74,19522744",,"2,34050012"
21/02/2008 6.00,"3,20917296","4,09862188",,"68,07066786",,"3,11199999"
21/02/2008 7.00,"1,67380702","4,18289256",,"60,57710316",,"1,02049994"
21/02/2008 8.00,"2,2881341","5,12008576",,"49,45727196",,"2,08200002"
21/02/2008 9.00,"3,48862195","9,87627515",,"43,23549528",,0
21/02/2008 10.00,"3,52045989","15,0716912",,"53,86924098",,0
